gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Muscle-Lung)	pct_gene_expr	max_pct_tx_expr
LOC113242661	0.0020194400024164043	3.1589748724698466e-4	5	1	-0.80773890006013	1	1
CNNM4	8.45812043612241e-4	0.0012950227959175843	4	1	0.8064955170687466	1	0.6666666666666666
IRF4	0.04307985969547103	1	3	0	0.8045132627899352	1	0.8333333333333334
MYO5B	0.007403635591294441	0.032556227961927454	5	1	-0.8041802289863633	1	0.6666666666666666
NUMB	0.02665048518345432	0.2154050054966795	3	0	-0.8041682012314694	0.8333333333333334	0.6666666666666666
STXBP1	6.112254658421452e-12	1	7	0	0.8036665089073007	1	0.8333333333333334
MEGF10	4.758386891250651e-7	2.6814393427798036e-6	4	1	-0.8018429354556463	1	0.8333333333333334
FHL1	6.103850278222625e-9	5.300668434819822e-8	4	2	-0.799514417899435	1	1
FAM117B	0.012659362613551895	0.013044266655533066	3	1	-0.7975143218564212	1	1
EVI5L	0.0019118047648195695	0.007136381493490764	4	1	0.7961736856649769	1	0.6666666666666666
ANKRD39	1.9742014937329546e-26	1.9461798415976651e-16	9	1	-0.7943736899082066	1	1
FLNC	5.497425446803777e-13	3.5930236152506055e-11	5	2	-0.7910564077065192	1	1
PHF23	0.008786061479162395	0.0016911062827686637	3	2	0.7885851294022702	1	0.8333333333333334
IKBKE	0.024652743870752267	0.004742900002122202	7	1	0.7869805758646383	1	0.6666666666666666
MYOZ2	0.016661448041089037	0.002312418092983652	4	1	-0.7836232574047189	0.8333333333333334	0.8333333333333334
AGAP2	0.03401076297509321	0.008512796351658488	3	2	0.7828823968460732	1	0.8333333333333334
novelGene_GDPD2_AS	0.011390186946765692	1	3	0	-0.7820842639832992	1	0.5
LOC113257933_NECAP1	0.04251046276803173	0.30051371040520003	3	0	-0.7806450592109045	1	0.6666666666666666
WDR7	4.263342832158244e-10	0	2	2	0.780230653644837	1	1
ADGRV1	0.009721962269667555	7.561786979105655e-4	4	2	0.7792892311213875	1	0.8333333333333334
ITGB1BP2	1.3456660052220992e-4	0.02959167272059504	4	1	0.7792598639684918	1	0.8333333333333334
CPEB3	8.281672118154727e-6	5.795137668577572e-6	5	1	0.7771510193913299	1	1
POGLUT1	0.010676090582943734	0.8458076372807718	5	0	-0.7758506991795466	1	0.6666666666666666
MYL3	0.009096545671617738	1	4	0	0.7751382949757882	1	0.5
CGN	0.03949353804492415	0.010640397403856434	3	1	0.7749685496950721	0.8333333333333334	0.8333333333333334
novelGene_FRMD4A_AS	0.015561003724150944	0.0038883484546008776	3	1	0.7746122701254087	1	0.8333333333333334
EXTL3	0.010480089807161534	0.0027545710827521766	3	1	0.7734640137627476	1	1
HRC	1.2015148964857188e-11	6.087159439779937e-9	7	3	-0.7705144059785217	1	1
ST3GAL2	1.1197321442742675e-11	1.1536801850885639e-11	3	2	-0.7650136557847873	1	1
ZNF214	0.003696446820619116	0.0016828976092949002	3	1	0.7642618722079587	1	0.6666666666666666
EXPH5	0.0023861055455640825	5.211889535445161e-4	6	1	0.7636607574005809	1	0.8333333333333334
ATP5MC1	9.7046817707922485e-17	0	2	2	-0.7634552462448662	1	1
MON2	8.556909662205479e-9	5.568885720421717e-9	5	2	0.7611751803211598	1	1
CTTN	2.715212070316775e-7	1.898937581077517e-7	6	3	0.760143124145165	1	1
ERCC1	0.019114104648593363	0	2	2	-0.7587285724542558	1	0.8333333333333334
LOC113247190	0.0053622834542248875	0	2	2	-0.7568684486708658	1	0.8333333333333334
SYNPO	2.3673208209657128e-6	2.8548644577561274e-7	3	2	0.7545563193063793	1	1
PRKG1	5.6565682410005533e-14	5.8068898132177625e-6	5	2	0.7535516040162556	1	1
DYNC2H1	1.0608189782307206e-4	0.0012859471517411031	7	1	-0.7533436104089021	1	0.8333333333333334
LOC113248649	0.003933032498764667	0.010181455647846022	3	1	-0.7506117814015992	1	0.8333333333333334
HSPB3	0.002769425763345137	0	2	2	-0.7497347472564785	1	1
AMPD1	6.652069330868254e-4	1.3063699331969283e-4	4	1	-0.7460944652550878	1	1
TNNT3	0.016716676084937356	0.6147813055784369	5	0	0.7454724966154784	0.6666666666666666	0.6666666666666666
SMTN	3.1448251739564354e-6	2.4412612842274693e-7	7	2	0.7429890855113686	1	1
LOC113270876	4.890653133520314e-6	8.677160255966677e-4	6	2	0.7423631355499646	1	1
DENND1A	0.044374197441037246	0.019353867044720384	4	1	0.7380745843765406	1	0.8333333333333334
CHD7	0.0030217512763501464	0.018428462596391585	4	1	0.7376872383489015	1	1
MPP6	0.04249794414234363	0.011952289509367118	3	1	-0.7349315749483337	1	0.8333333333333334
IFT20	1.8637187478878414e-4	6.405708077596128e-5	3	2	0.7328605889709132	1	1
PLXNC1	2.765143554334255e-9	8.583381434001424e-7	4	2	-0.7323837180287545	1	1
SYT7	3.873556350278927e-4	0	2	2	0.7285691099737354	1	1
PPP1R12B	8.142357308105496e-23	3.959418359207899e-17	5	2	-0.7280527226547718	1	1
DNAJB5	0.0012199968399390425	0.016755218787629794	3	1	0.7272838886360123	1	1
RNF128	6.439907468620735e-4	0	2	2	-0.727246934324685	1	1
KCNN3	0.0010155339765561527	0	2	2	0.7253156680588608	1	0.8333333333333334
VWA7	0.010281133536395214	1	3	0	0.723126542022504	1	0.8333333333333334
HMGN3	2.5842365413028572e-8	2.429590038686733e-10	4	4	0.71876404549401	1	1
MYO5C	1.4100286345945248e-8	6.224787848307988e-7	4	1	0.7187502500518574	1	1
IMPDH2	2.0948576726385624e-13	0	2	2	-0.7182355285157869	1	1
COLEC11	0.0479442579485449	0.24016110636441257	6	0	0.7163154194459882	1	0.6666666666666666
LOC113257917	0.01930974726414961	0.029993961766460124	5	1	-0.7152392007956513	1	0.8333333333333334
TYROBP	0.03091596428262281	0	2	2	-0.7149183382606988	1	1
LOC113245579	0.0024959113431950895	0.030584449653294713	4	1	0.7110889009760255	1	0.8333333333333334
ABCB1	0.0013928035215501767	0.0011590181059334204	5	1	-0.7051952678496597	1	0.6666666666666666
STAP2	0.011183939479072345	0.026795220523066276	3	1	-0.7027734156208227	1	0.6666666666666666
CD53	0.04611558482413223	0.06725297983110846	5	0	-0.7016829105010377	1	0.8333333333333334
DIP2C	2.827126980529717e-13	1.851448853241187e-6	4	3	0.7012588168553492	1	0.8333333333333334
ACSL5	0.0018189009573036403	2.7270114617058554e-4	12	1	0.6998908809957821	1	0.6666666666666666
STRN	0.014465173511555357	0	2	2	-0.6965664608439885	1	0.8333333333333334
ANGPT4	9.057107713931282e-4	4.939003109536682e-5	3	2	0.6960551188745363	1	0.8333333333333334
CACNA1D	0.013921658716677884	0.010203997413879236	3	2	0.6957697919613097	1	0.8333333333333334
USP5	1.3382921853721013e-7	1.7326707537184492e-4	13	1	0.6914690819172423	1	0.8333333333333334
TRAK1	9.844598118348917e-16	2.2775481842604528e-15	7	3	0.6911090587077361	1	1
UNKL	0.00618910742090589	0.1143025550637262	6	0	0.6876809501079388	1	0.8333333333333334
ANKFY1	3.7272625257070965e-6	4.495179544214074e-6	4	2	-0.6870716466252944	1	1
THSD1	0.0013165270744282206	0.005002078669572355	4	1	0.686062952150423	1	0.8333333333333334
SLC8A1	0.013958151334290986	0.0933946065415092	7	0	0.6817900181140355	1	1
PLXNB2	0.0018639400255181994	0.0019683888446604624	13	1	0.6810168106552456	1	1
NLRC5	0.015408131753397825	0.013942469610590771	4	2	0.6805316024539875	1	1
LOC113264264	5.770733816450528e-4	0	2	2	0.6776699981918265	1	1
CXCL6	0.0015997106337626902	0	2	2	-0.6768751520248067	1	1
BANP	0.027173614953819383	0.0044014041100445805	8	1	0.676500646598017	1	0.8333333333333334
DOCK4	2.8062333593457195e-10	0	2	2	0.6764718830066294	1	1
ALG3	0.006724568294344136	0.06522423920436696	6	0	-0.6738545761495089	1	0.6666666666666666
FGD5	1.0108125317911734e-6	4.0807706272848234e-7	5	2	-0.6715855880772474	1	1
APBB2	1.0682896408938535e-4	0.012575225572121358	10	1	0.6711700997624861	1	1
SLC26A11	5.551283135428047e-4	1.3140322028473085e-4	4	2	-0.6697420321836332	1	0.8333333333333334
NUDT5	0.008405512640458865	0.8859467149286908	10	0	-0.6682669286862236	1	0.6666666666666666
NCAPG2	7.72210474726832e-4	2.944758317419317e-4	6	1	0.6681009212288993	1	0.8333333333333334
PHETA2	0.010408563111672738	0.13346955468062752	4	0	0.6668609169982496	1	1
CCDC117	4.7878054711943715e-4	0	2	2	-0.6653036702479518	1	1
PDLIM7	1.3874007337862624e-19	1.1726919573589982e-12	11	1	0.6644496227599723	1	1
TMEM268	1.3456660052220992e-4	1.236058048341518e-4	4	2	0.6641815950975196	1	1
RCAN1	0.004884682725740173	0	2	2	0.6631036652863441	1	1
AGBL4	0.003933032498764667	0	2	2	0.6619569229992678	1	1
ABI1	3.8064983734609265e-20	2.6743727440473026e-16	10	1	0.6615302989526087	1	1
SLC43A3	0.04267835360416114	0.046889311189950454	5	1	-0.6604350522164713	1	1
DERL1	2.4887577191870438e-5	0.0026709035241682644	6	1	-0.6595072619431309	1	1
RGN	0.003024327290907694	0.0019637365275998317	6	1	0.6590651190717922	1	1
ALKBH3	3.009735358111173e-6	1.7043182994817397e-6	6	2	0.654991535306425	1	1
MTSS1	3.1205738791867157e-10	4.351363908124467e-8	11	1	0.6540030600602242	1	1
ANHX	0.002769425763345137	0.020816894760767108	4	1	-0.6537855461303286	1	1
ACTA1	0.014845608297142352	0.022000700745179787	4	1	-0.6533562882277235	0.8333333333333334	0.6666666666666666
AKAP2	5.057250647100455e-5	7.236753915030383e-4	7	2	0.6522072761653471	1	1
CBLB	0.0021556044942432685	0.005338137633464421	8	1	0.6488001081756508	1	0.8333333333333334
LRRFIP2	5.933268662017749e-20	3.604644274510583e-12	14	2	-0.6487906744078917	1	1
TCTN2	0.009096545671617738	1	5	0	0.6470856707949487	1	0.8333333333333334
CGNL1	5.477425631046703e-16	2.0517962633076018e-14	7	3	-0.6452028571784278	1	1
ZNF436	0.0024959113431950895	4.579874217249375e-4	4	2	0.6446295144128098	1	1
COL4A3BP	1.2100029537512522e-6	0	2	2	-0.6442341029082073	1	1
ROS1	0.001686064137575424	0.006633258624513638	5	1	-0.644095274444957	1	0.8333333333333334
TOR1AIP1	4.0845767116843564e-5	2.5285058042662617e-6	5	2	-0.6440393029851942	1	1
LOC113244055_RBM14	0.02543249971046353	0.04518230962047027	5	1	-0.641977470059469	1	1
ISYNA1	0.03772921013618441	0.05637973477844511	6	0	0.6417250158550448	1	1
MAP3K20	7.264066492756367e-58	5.2941547687525e-45	4	2	-0.6410584867809986	1	1
SCD	3.882116019853296e-5	2.4010765243393374e-4	8	1	-0.6408878958988027	1	1
CPT1A	1.7664645134048304e-6	1.8489237383020242e-5	6	2	-0.6404174524393582	1	1
DLG1	7.64233847000771e-5	0.021223195632681293	7	2	0.6392860115289611	1	1
TRIM2	0.022514075211387437	0.12838010917316944	3	0	-0.638662899145678	1	0.8333333333333334
MTFP1	0.018155926965807166	0.014243716753091738	5	1	0.6382321703575032	1	0.8333333333333334
ZNF134	6.997039937502102e-6	0	2	2	0.6374452150018464	1	1
PUM3	0.0048572913592629776	0.02112088979078056	6	2	-0.6366413532487626	1	0.8333333333333334
ADD1	2.707982548224467e-13	1.570138492455578e-10	6	2	-0.6364989352243811	1	1
METTL3	0.02870807329471445	0.17344161402895392	11	0	0.636002595420789	1	0.8333333333333334
XPO5	0.012216176682657613	0.004870578874121417	3	2	0.635729448412931	1	1
novelGene_LOC113253698_AS	0.023430667436064964	0.007163393072756501	4	1	-0.6343979147144558	1	1
CASKIN2	2.767858061142769e-4	6.582141894566553e-4	5	2	0.6298518273277477	1	1
ITGB7	0.017268994315558873	0.41700871935621503	5	0	-0.6294790870490686	1	0.8333333333333334
LOC113243776	0.020840000424937864	0	2	2	0.6268882438089285	1	1
TBC1D4	5.500893826870629e-19	9.244910615530508e-8	6	3	0.6259401719003235	1	1
S1PR1	1.970409316699435e-10	1.2598669912963733e-10	3	2	-0.6248451555506538	1	1
CLSTN1	2.549730711843057e-4	0.0330343561182794	8	1	0.6227523085725403	1	1
DENND2A	0.0020344970933440314	0	2	2	0.6214567414574483	1	1
MYOT	0.001657033165401142	0.014280874124229825	9	1	-0.6211659589672581	0.8333333333333334	0.6666666666666666
DCTN2	4.178689984264506e-12	6.782565828479378e-14	3	2	-0.6203824697951538	1	1
TRAP1	5.335029927575383e-4	4.616265298373888e-4	8	2	0.6201220083531418	1	1
LOC113247193	0.0011297595485957152	3.541455696850418e-4	3	2	0.619760054168361	1	1
FMNL1	9.994802941570785e-4	0.30428026563457433	6	0	0.6196491246403033	1	1
NPNT	0.004557106694258085	0.1379361184434021	4	0	-0.6177682117424044	1	0.8333333333333334
CAMK2D	5.458993319343356e-6	4.549462729215035e-7	9	2	0.6175765697206791	1	1
FBP2	0.018934378647968653	0.022988721089365137	3	1	0.6166450831142436	1	0.6666666666666666
LOC113266115_EGLN3	0.039188239503152617	0.19687377197074854	3	0	-0.6151696502292285	1	1
GMFB	0.013588011507634048	0.0018255430487876339	4	1	0.6143091577173891	1	0.8333333333333334
ZNF684	0.015987159266164692	0.1963154837771084	5	0	0.6141012604367031	1	1
ZNF366	0.037534754709477244	0.08840757636311904	4	0	0.6104608520428945	1	0.8333333333333334
NOP9	0.03269709308740412	0.007347419704265789	3	1	0.6089298390894036	1	1
ADAM17	6.09036674094264e-4	0.004838148850613352	9	1	0.6084348126414479	1	0.8333333333333334
RHOT1	1.0669712695181723e-4	0.15060809703612713	4	0	-0.6076890872263704	1	1
FXYD6	3.4165640834020123e-11	1.4187467453162033e-8	3	1	-0.6052203922133584	1	1
AGBL3	0.013656508892474243	0.025397036771568942	6	1	0.6036642856696932	1	0.6666666666666666
AP1S2	3.210331335359983e-8	2.532590641831919e-7	5	2	0.6029150419043874	1	1
ITGB1	7.498954845115268e-10	2.2100356344915854e-11	3	2	0.602889252204642	1	1
PFN2	0.018131194035310695	0.00292856106632101	3	2	0.6021923678831632	1	1
BAIAP2	0.03507480328828191	0.015087124145200408	5	1	0.6014825191699291	1	1
HSDL1	0.02880537069224181	0.07628190693552854	6	0	0.6012227112248434	1	1
RASAL2	0.013300415566415055	0.0016393771183356594	3	2	-0.5999912051583476	1	1
FGFR1OP	1.4183541918399032e-4	0.0014195838172541171	3	1	0.5999359667116739	1	1
HIGD1B	0.02363056238915063	0	2	2	0.5988256630266223	1	1
SMAD7	0.008179867527488456	0	2	2	0.5978937909786016	1	1
ARHGEF6	4.475055878878344e-4	0.0054438106961695615	6	1	0.5976206485517727	1	1
FBXO31	0.019279129674110437	0	2	2	0.597236339912348	1	1
P2RX6	0.0044167572462578296	0.18748124210986944	4	0	-0.596265014086863	1	1
TSC22D3	1.897071079101312e-8	1.3352809344621185e-6	6	2	-0.5958186526014346	1	1
MEF2D	2.713522738046419e-5	0.0956542247721621	5	0	0.5950843574320658	1	0.8333333333333334
COBL	1.3703198323797015e-13	7.724774460920405e-11	10	2	-0.5949292376185006	1	1
CAPN15	0.0069542363968286	0.03689508072844878	4	1	0.5948354091379371	1	0.8333333333333334
NDRG2	4.446187567379924e-22	1.6505203054126233e-12	7	3	-0.5935167002332306	1	1
IDH3B	0.0011721278187073283	0.015185443433644748	7	1	0.5916108341210722	1	1
FAF2	0.001997268902599571	1.5674557300074377e-4	3	2	0.5905850349854593	1	1
PDE4D	6.13331859630143e-13	5.571882309775448e-10	7	2	-0.5883534683487659	1	1
ENO1	1.967085297146744e-6	5.7259151158452985e-5	3	1	0.5869181779044762	1	1
HHIP	0.03708246096525049	0.026464793127949863	5	1	0.5858511154224925	1	1
DNAJA4	9.926783287545592e-10	2.122743008970428e-12	4	2	0.5852250455553274	1	1
NR4A1	0.004159221747090306	0.08139364238734474	5	0	0.5850179041423949	1	0.8333333333333334
QKI	4.629323626498697e-17	2.38360670185596e-16	6	3	0.5849293912337988	1	1
UGGT1	0.012524491441662377	0.10636237140860547	6	0	0.584643989258997	1	1
GAB1	0.001954825139438645	3.699470264417378e-6	7	2	0.5844547074935725	1	1
CHPF2	0.029495106442247558	0.00609535639888358	3	2	0.5834442167701418	1	1
LIAS	0.0184831128895118	0.02566554203105314	7	1	0.5818474906859427	1	1
TSPAN5	0.002715657747285386	0.00871665134105134	4	2	-0.5793455607837085	1	1
WDR90	0.0026097873690188057	1	14	0	0.5791414840838108	1	0.6666666666666666
DENND6A	0.04381768024575559	0.04971728212330262	3	1	-0.578655546573152	1	1
MDK	0.04380990534461199	0.8361539929152452	3	0	-0.5778876736317305	1	0.8333333333333334
ELMOD2	7.035988966559788e-4	0.08477945043017289	7	0	0.577450920043054	1	0.8333333333333334
ETV3	5.618571835705526e-4	3.709094013542625e-5	3	2	0.5771072381265063	1	1
TRDN	0.009244442594124217	0.018320633497257464	9	1	-0.5767868398020013	0.5	0.5
LSP1	1.4486920262103953e-16	1.0606662037512197e-6	5	1	-0.5767704981896242	1	1
SRCAP	0.04953923723203384	0.09555192814203692	5	0	-0.5760845819103707	1	0.8333333333333334
CAPN3	0.009857763719052573	1	7	0	0.5758239547898079	1	1
HERC3	0.01228799466139384	0.010236594061843097	12	1	0.5752405101300946	1	1
CCT8	1.0810019665563159e-16	1.1618504218518042e-9	6	4	0.5740443094642265	1	1
HM13	9.769018013064837e-4	0.02661262044074108	8	1	0.5735806483016844	1	0.8333333333333334
CEMIP2	1.3277880881820124e-16	2.6706684296563742e-20	6	2	-0.5735252116373695	1	1
LOC113244552	7.214994112857482e-4	1.0950593455151135e-4	6	1	-0.5735054359116094	1	1
PLEKHA4	0.023053241894423104	0.615022591356868	5	0	-0.5734488460308745	1	0.6666666666666666
LOC113247886	0.01450199889159645	0.12857189833738916	6	0	0.5731749140664424	1	0.8333333333333334
PHRF1	0.01764672825145682	0.021440733049462164	5	1	0.5712536568858382	1	1
PFKFB1	7.270964782469976e-4	1	8	0	-0.5698131248957194	1	1
KCTD10	0.012620241030614595	0.009005577560511104	3	1	-0.567917749969508	1	1
RTN4	0.006120860416019053	0.001851193356777846	5	1	0.5679156037668217	1	1
FTO	0.0012150212390639476	6.624870223898984e-4	10	1	0.5666517658118375	1	1
ABHD4	2.634239445907096e-6	2.4169135004945417e-5	8	2	-0.5662110687586805	1	1
RNF115	1.4898125977356652e-4	2.3531662321301714e-4	4	2	0.5660721720908369	1	1
TECR	7.897844410409197e-10	3.378726481321651e-10	3	2	0.5658054457907499	1	1
RRP8	0.007410045819827407	0	2	2	0.5656123025984218	1	1
AQP7	0.008786061479162395	0.08399785802698422	8	0	-0.5654258349275413	1	1
HDAC5	3.090085681517406e-4	0.036262460062218116	4	1	0.5653961295143376	1	1
LETMD1	0.0018283488490605578	0.017375342224926194	6	1	0.564535922571084	1	0.8333333333333334
PDCD11	6.453264632844464e-4	0.003189266342525205	6	1	0.5641501243711159	1	1
SNAP23	6.218637418794995e-15	4.2826366970159784e-10	7	2	0.563630236346603	1	1
NCOA5	0.011166306862638805	1	4	0	0.5620294527446095	1	1
TXNL1	2.0489825672108766e-9	1.6771785930449905e-6	6	3	-0.5619641331959625	1	1
MTF2	1.4575651537060985e-5	4.6865363922396305e-6	3	1	-0.5611240258587405	1	1
TNIK	2.389996264215708e-6	2.540692086894647e-7	4	2	-0.5588623620033027	1	1
MALL	5.016731395910299e-4	0.05808066078474339	5	0	-0.5588378624314128	1	1
LEPR	1.4055930794728216e-5	3.3292089392290413e-6	5	1	0.5578159498267194	1	1
SRL	0.02823264948117734	0.032356188436363634	8	1	-0.5566683513753433	1	0.8333333333333334
TNS1	2.0347249249851092e-4	0.0011011462156041885	9	2	0.5562236771242625	1	1
EXOC7	1.3958821684951115e-4	0.002659504708664707	7	2	-0.5561204363778288	1	1
AKAP6	0.009909058969675318	0.062405631234959714	5	0	-0.5532987693504912	1	1
GCH1	0.0216664396700267	0.9639434736897865	5	0	-0.5495489561268142	1	0.8333333333333334
RNF125	1.0795077062946559e-6	4.235215317050511e-5	10	1	0.5495234571864196	1	1
IL1R1	5.062369887007397e-4	1.3510186040362643e-4	7	2	0.5473793426248759	1	1
CD44	1.8232708427027397e-6	6.988370532828598e-7	8	1	0.547350295680616	1	1
LOC113255141_ATP6AP1L	0.004799442310706195	0.01301890869247195	10	1	0.5472612010929522	1	0.8333333333333334
ARMH3	2.3894697650984853e-5	1	5	0	-0.5462745880399996	1	1
DNAAF2	0.007686791175697275	0	2	2	0.5450566221253816	1	1
PMP22	0.0024244152704981	0	2	2	0.5426266679977707	1	1
LOC113246267	0.009591267302235596	0.104050371816845	5	0	0.5416850105413401	1	0.8333333333333334
LRRC14B	0.027959128475374573	0	2	2	-0.5413521743760814	1	1
PEX10	0.016845610917594424	0.006772012383793001	7	1	0.5389317441268987	1	1
LOC113255603	1.4115565535069094e-4	2.0710009960347403e-4	3	1	0.5382205613064985	1	1
TSC2	0.025965953785845583	0.7003042260114433	8	0	0.5379194297979568	1	1
PPID	4.0433185916469844e-4	1.9307116640075823e-4	8	1	0.5364559658152279	1	1
XRN2	7.464377301791046e-12	7.475724488416023e-14	5	2	0.5364136372832112	1	1
PRELP	0.008284425393702636	0.026469715744399065	5	1	-0.5349748494326232	1	1
TOM1L2	8.442665442098951e-4	9.03539590855205e-4	4	2	-0.5343178868978724	1	1
FBXW7	0.001997268902599571	1.5128554510096648e-4	3	1	-0.534207588466281	1	1
EEF1A2	0.03585902843887027	0.01077968571552253	3	1	-0.5334574890262012	1	0.6666666666666666
MAP2K7	0.0027804199384606804	0	2	2	-0.532375644590559	1	1
SLC36A1	0.03047034364316094	0.37226778531036164	6	0	0.532201969820745	1	1
LOC113245319	1.0941195362718085e-13	2.0505066471228152e-4	9	2	0.5321768833719174	1	1
KIF7	0.030570973558568006	0.0705807011884207	4	0	0.5320120962684645	1	1
ALKBH1	0.0011347669541705093	8.488209938963589e-4	5	1	0.5316553767759071	1	1
CERS5	0.001657033165401142	1	8	0	0.531370270457522	1	0.8333333333333334
TMEM106C	0.018155926965807166	0.0047651954331728785	5	1	0.53126915874528	1	1
ATAT1	5.5384133752685004e-5	0.002288867940948715	10	1	0.5310665557895821	1	0.6666666666666666
ADAP2	0.002129993892144396	0.015545969956995241	5	1	0.5301689424982349	1	1
DENND5B	0.0020139309976097545	1.6819300352020384e-4	3	2	0.5291971526934148	1	1
DIPK1A	0.007326980621010557	0.008246884850514965	3	1	0.5291057360263165	1	1
CLTCL1	6.914803461075381e-4	0.17556453923323323	7	0	0.5260502452215534	1	0.8333333333333334
LOC113264282	0.024294750201448594	0.00299449467477891	3	1	0.5257062041178387	1	1
NEDD4	7.067852449892006e-4	0.0358638278898616	7	1	-0.5240173684474517	1	1
NDUFV3	3.9980744821804e-4	0	2	2	-0.5231100820425768	1	1
TWSG1	0.046459750496452824	0.05831163289250884	4	0	0.5226565031534822	1	1
LOC113249271	0.031789588277143635	1	5	0	0.5225398337090649	1	0.8333333333333334
PPFIBP2	1.3286202617044515e-6	0.007001535514019647	14	1	0.522152634516869	1	1
ANGPT1	0.014370003087070172	0.01672198931726423	3	1	0.5186722091343523	1	1
RPS6KA2	9.572441141946883e-5	0.0014659797557550782	7	2	-0.51802187272433875	1	1
LYVE1	0.01450199889159645	0	2	2	0.5179489561525187	1	1
RYR1	7.078634374774039e-7	0	2	2	0.5175814559567697	1	1
USP2	0.04285273122655873	0.16183934639196168	4	0	-0.5175606086738043	1	1
TMEM134	0.003992722468085525	0	2	2	0.5163380419320472	1	1
IL17RC_CRELD1	0.030199856677607124	0.08440850062863511	5	0	0.5160996835503718	1	1
POLR1B	0.02719661704519787	0	2	2	0.5147073289103284	1	1
LOC113252197	0.009751266042296237	0.044364035700647474	7	1	-0.5144401143523082	1	1
LOC113248016	0.03732276858596886	0.1160842436049839	5	0	0.5143964346307374	1	1
MED18	0.03007367055053669	0.0038420077888449214	3	1	-0.5124156723482298	1	1
GIMAP7	0.01246639037066376	0.05166186356632724	4	0	0.5117797191575802	1	1
KMT2B	0.04626578549865858	0	2	2	-0.5101374348020344	1	1
WASF2	0.034316781597062807	0.011429871576764686	5	2	0.5088050711673421	1	1
CMYA5	0.02359830450404403	0.05173770185214363	8	0	0.5085772035892928	1	1
CISD1	2.528402081029979e-4	1.016737923818272e-5	3	2	0.5082671145351807	1	1
ACTN2	2.061385371246653e-4	6.226382445479247e-4	7	1	-0.5076986462866127	1	0.8333333333333334
EBF1	0.008169191873274289	0.013109393915578584	5	1	-0.5076814319140773	1	1
TNFRSF21	0.019732018904734378	0.1725016826687141	4	0	0.5074603136489337	1	0.8333333333333334
BAZ2B	6.9717698436180984e-6	0.021787908713875124	19	1	0.5074342235660336	1	1
