gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Atrium-Gall Bladder)	pct_gene_expr	max_pct_tx_expr
EVI5L	0.004117926335838058	0.004016855699794133	3	1	0.7811142694539689	1	0.8333333333333334
FAM81A	4.16871507735296e-5	2.217142113623369e-6	4	2	0.7784307761742619	1	1
LOC113256005	4.877626725513249e-4	1.0915807067590914e-4	3	1	-0.7745965653593847	1	1
PTK2B	0.005727453128761771	1	6	0	0.7740992395363331	1	0.5
CIITA	0.0342120387883563	0.008475021765298074	5	1	0.7734226581904834	1	0.8333333333333334
RAB9B	0.014328960220212635	0	2	2	-0.7733750082973323	1	0.8333333333333334
RMND1	0.0015821962529526076	1.1628937430089644e-4	7	1	0.771943650096248	1	0.8333333333333334
RUVBL2	3.4853939109457126e-4	1.504283347611807e-4	3	2	0.7696798381662718	1	1
LOC113247187	0.031176851878234737	0.02634633155385762	3	1	0.7690503502727226	1	0.8333333333333334
CMYA5	1.2532074504597395e-10	1.5980019655862814e-7	5	1	0.7677647190747068	1	0.8333333333333334
PISD	9.343783514308795e-5	0.019194781643465948	9	1	0.7674628793500184	1	0.8333333333333334
ZCCHC10	2.0603050750383175e-7	0.03429685886191778	3	1	0.7673676103258648	1	1
FAM168B	3.314323195401173e-4	0	2	2	0.7662159747752839	1	1
ANKRD44	0.003366048547549255	0.014636667955810657	4	2	0.7652849641051817	1	1
BBS10	0.002178989192682108	0.0031327673626547208	3	1	0.7642904056794477	1	0.8333333333333334
LOC113264073	0.01370474366099025	0.011193317753272602	3	1	0.763726053902836	1	0.8333333333333334
TMEM143	3.41331642454697e-4	0.6364701569529682	7	0	0.7637150807974565	1	0.6666666666666666
SOD2	0.001056801077937438	0.0010715636318664838	4	1	0.7572560288691781	1	1
UVSSA	1.1286768238873068e-6	1.6473588006897679e-6	7	1	0.7556876322100793	1	1
KCNE3	0.0018718571789137356	0.0010493265817680237	3	1	0.7527708108500509	1	0.8333333333333334
TBC1D4	2.560362644122064e-9	0.003285846952238016	6	1	0.7525847951089603	1	1
SLC35D2	0.007217336942004513	1	5	0	0.7524409809575425	1	0.6666666666666666
SKA1	0.005139295662690441	0.005296401081160562	4	1	0.7492278988518701	1	0.8333333333333334
LOC113243849	0.028604177254150247	0.027186459130465086	3	1	0.7467755706726527	0.8333333333333334	0.6666666666666666
SFMBT2	0.011621425156672744	0.006728753872968241	4	2	0.7457073513720635	1	1
PDHX	4.956470279629446e-10	3.9373845206975046e-12	10	1	0.7454882397285325	1	1
L2HGDH	3.155870448161566e-8	0.02181301760168622	6	2	0.7453465227334068	1	0.8333333333333334
DBNDD2	1.4531564481775308e-14	1.6285520125906685e-17	3	2	0.7423116265441464	1	1
LARS	6.658487536437483e-5	7.9841557944451e-5	8	1	0.7409818094622519	1	1
LAMC2	0.048041930381931344	0.08652224816425313	4	0	-0.7405003091720166	1	0.6666666666666666
VPS33B	1.6714633360216222e-5	1.7639687490875148e-4	8	1	0.7397014065966142	1	0.8333333333333334
PPWD1	9.424378516750581e-4	3.0516839215102027e-5	6	2	0.738362014706226	1	1
ASDURF	0.038214872655960394	0.027350915818280273	5	1	0.7336668441460733	1	0.8333333333333334
TBK1	2.4158062577106588e-4	0.1326322543105104	5	0	0.7330865773911057	1	0.8333333333333334
NDUFA10	5.309826919212876e-4	2.2260894916005742e-4	7	1	0.7320729288090884	1	1
SGCD	0.001852028511395015	0.010305582429023793	4	1	0.7305111888928078	1	1
HECW2	0.010774135204817889	0.0025288568458632717	3	1	-0.7293863955051856	1	1
NBL1	0.0479434619594142	0	2	2	-0.7286988017295194	1	1
CDK19	0.011008699216086318	0	2	2	-0.7273737548139758	1	1
ATG2A	1.7959084041012894e-8	0	2	2	-0.725031239198691	1	1
HSPB2	5.968008883589901e-7	0	2	2	-0.7250298900977387	1	1
BNIP3	3.675859094500281e-4	3.818116418488842e-5	6	1	0.7241232082330158	1	1
ADPRHL1	1.2648345771627444e-9	5.882740076217658e-11	5	3	0.7224831519735945	1	1
ANKRD1	2.928529744048974e-7	3.0869272800444338e-9	3	2	0.7224426547206468	1	1
CUL9	0.0035858793693949653	0.006561171610189023	4	1	0.7216695932662339	1	1
ANKRD39	1.8079022419279274e-33	1.4663487435503458e-16	9	1	-0.7213116042990049	1	1
TARS2	0.0030697406536892794	0.0032577138191813774	7	1	0.7208386769553466	1	1
CARM1	7.823317830229916e-4	0.003914716046144093	3	2	0.715610737136029	1	1
ZNF786	0.04488252319386923	0	2	2	0.7153424501733098	1	1
ARF3	2.0576439129415457e-8	0	2	2	-0.7149163134016207	1	1
HYAL1	0.044024122017714995	0.0390974905655123	3	1	-0.7128747834089805	0.8333333333333334	0.5
LACTB2	1.1764109996545881e-4	0.5092001064896462	5	0	0.7126875200645136	1	1
ITGB2	0.04777028789382001	0.03848110266943974	5	1	0.711929761935103	1	1
PRMT7	2.3095536489703906e-9	3.013131383606488e-6	9	1	0.7118410858863242	1	1
DPF2	0.01460000893634213	0.007870283604870814	8	1	0.7111450950416375	1	0.8333333333333334
COIL	0.011873740475683918	0.0041100599106947	5	2	0.7107675779921181	1	1
AUH	1.670022068851653e-8	1.1769060548016247e-8	6	1	0.7087776591005732	1	1
FAM222B	0.04302472167498587	0	2	2	-0.7081007806195283	1	0.8333333333333334
LOC113262953	0.005691942484367804	0	2	2	0.707792192995051	1	1
LOC113256824	0.0022875448839531436	0	2	2	-0.7076303095242498	1	1
SQOR	0.016424549429342388	0.029763752179725104	5	1	0.7064053007089444	1	1
ABRAXAS2	0.0029908847074265775	0.0019110600044680715	4	2	0.7054409091605521	1	1
IFT20	1.933224213583782e-4	2.4674863077141762e-5	5	2	0.7048813163968561	1	1
NCALD	6.0060558315139236e-5	9.840890804386241e-4	9	1	0.7043094216811232	1	0.8333333333333334
IP6K1	0.0013074305337755455	0.0020596886764174746	3	2	0.7041215060017608	1	0.8333333333333334
MBP	0.016759542265324837	1	6	0	0.7033484644129381	1	0.5
ABHD14B	0.0027156615183885585	0.005948840896098947	8	1	0.7023032277864862	1	0.8333333333333334
LRSAM1	0.001899246374722529	0.022639581662160197	5	1	0.7021463889658439	1	1
SRL	9.136138574751711e-11	2.0202888763513223e-9	5	1	-0.7019306681604227	1	1
DGAT2	0.028094083175430915	0.009505481349281027	3	1	-0.7017646157713406	1	0.8333333333333334
DUSP27	9.337742992903808e-4	0	2	2	-0.7000725373576365	1	0.8333333333333334
COQ6	4.9120719347899346e-5	0.7314597338604262	8	0	0.6997087766711422	1	0.8333333333333334
LOC113258537	3.4288941995924103e-6	1.61554341356078e-6	8	2	0.6987061725159355	1	1
LOC113246636	0.01634069883444123	0.011760802414760073	3	1	0.6978415855702311	1	0.8333333333333334
MMACHC	0.0050249266295013095	0.07361786241654283	3	0	0.6969356445138669	1	1
DRC3	0.02996538759481061	1	3	0	-0.6955038612208364	0.8333333333333334	0.6666666666666666
MGST1	2.7979817700760484e-5	0.02617014796425577	3	1	-0.6951694348658034	1	1
IARS	3.841293975074416e-10	1.2279428805391808e-6	8	1	0.6946774131087506	1	1
TFB2M	6.485834656311028e-5	3.706865359658766e-5	6	2	0.693699253125993	1	1
FAHD1	0.002947937131920781	0.0014141085781881264	4	2	-0.6919565982007619	1	0.8333333333333334
LOC113245930	1.035001594857658e-5	1.0379606804959165e-5	8	1	0.6914285962615111	1	1
LOC113245842_TMEM41B	0.004736757959460605	2.4256512330848382e-4	3	2	0.691415906106815	1	1
NR4A2	0.009033020986702365	0	2	2	-0.6904700506523125	1	1
SSBP1	0.006791153629894602	1	5	0	0.6903157331396532	1	1
FARS2	0.002811554853634485	0.0016948238716699862	5	1	0.68940098329576	1	0.8333333333333334
OTUD1	1.848109914746795e-4	0	2	2	-0.6882837287933491	1	1
FN3KRP	0.03997350854123935	0.009196543002814254	3	1	0.6880636232326346	1	0.8333333333333334
USP10	0.0017348340433575307	0.18468517097984663	13	0	0.6871772258588811	1	1
LOC113248686	2.1895435603969465e-4	0.13900412671484688	3	0	0.6865105072098229	1	0.8333333333333334
BCAP29	2.6042133156543665e-6	3.837386273598012e-5	3	1	-0.6862586559802579	1	1
DOK5	0.03301193261375979	0	2	2	0.6858093980369175	1	0.8333333333333334
SMAD1	3.74335990472812e-4	3.309512644945294e-4	5	1	0.6851785940068496	1	1
PLXNA3	0.0031828454169869976	0.004539433479372603	4	1	-0.6838868752348795	1	1
SCML1	0.012235801923070489	0.0030681038196860135	3	1	0.6838847384746345	1	0.8333333333333334
FLT3LG	0.035371228786105234	1	5	0	-0.6838345856912152	1	0.6666666666666666
LOC113247893	0.019958023128370334	0.006157905953137071	3	2	0.6829961347252166	1	1
NUDT12	0.04074524723029415	1	6	0	0.681686190409175	1	0.6666666666666666
DAGLB	0.004239861710483131	8.237947581118218e-4	5	1	0.6812439458728018	1	1
USP5	6.401267517295e-7	9.922262803319645e-6	10	1	0.6809818587330707	1	0.8333333333333334
TNS3	9.709420962899064e-5	0.053018228182489684	9	0	0.680701383434367	1	1
RRBP1	3.375332424283332e-5	0.01466560704969115	11	1	0.6800928236874463	1	1
PIP4P1	0.0016696565005064074	0.007380335544554656	5	1	0.678768240988796	1	1
HDAC7	1.1877803746120991e-7	0.14278040626989025	6	0	0.6787570268950931	1	0.8333333333333334
MYLIP	0.03339941535370359	0	2	2	0.6787507467562406	1	0.8333333333333334
PM20D1	0.002088481494399489	1	6	0	0.6780718171630762	1	0.8333333333333334
ASL	0.010035713132843247	0.07451389278333487	8	0	0.6760040843640411	1	0.8333333333333334
ME3	0.006972120190865757	6.433167169067994e-4	3	2	0.6752373167411577	1	0.8333333333333334
ATP9B	9.972457740224462e-10	2.4758258699278355e-12	11	1	0.6727911507761978	1	1
IFT88	0.027548882837821066	0.05621240458388845	5	0	0.6723179024844924	1	0.8333333333333334
SYNPO	0.006972120190865757	0.004141882908525711	5	1	0.6706995803411875	1	1
KCNIP3	0.04682933376077933	0	2	2	-0.6705044230161403	1	0.8333333333333334
PPM1K	7.61738794613386e-6	2.9527108205636754e-6	7	1	0.6699831068267134	1	1
NUP107	9.787881499708287e-4	2.140604568106755e-4	5	1	-0.6695834920591117	1	1
RELL1	0.0034790691659595105	0.005109546823664151	5	1	0.6693477097321018	1	1
TBC1D8	0.0016447183887443007	0.009917493501397107	5	1	-0.6692532227352294	1	1
ZNF484	0.010454359150863646	0.027873250543481082	5	1	-0.6680822064155921	1	1
NAXD	1.5334899563238e-4	0.005861326892818722	11	1	0.6678571953172147	1	1
CDK14_CLDN12	0.0025711209655928783	1	3	0	-0.6677776621735736	0.8333333333333334	0.6666666666666666
XRN2	0.01883967466891562	0.6217928184711949	7	0	0.66701832397427685	1	0.8333333333333334
PROS1	7.744082453083516e-4	1.9782895877686507e-4	5	2	0.6653892012564881	1	0.8333333333333334
ZFYVE1	2.675875582698298e-5	3.657028169769381e-5	6	1	0.6644608160383185	1	1
PLOD3	0.014598058995490893	0.019661206046558747	5	1	0.6641876517496996	1	0.8333333333333334
REEP5	8.684049187706924e-30	3.11101073112288e-25	4	2	-0.6626481215835025	1	1
METTL22	8.619664928296802e-4	0.03277941734759364	9	1	0.660841983314784	1	0.8333333333333334
LYRM1	0.005422454787528689	0.0011999220218525078	6	1	-0.6606832623428586	1	1
MED24	7.964952754325045e-8	1.1249033353280463e-5	15	1	0.6592590352711412	1	0.8333333333333334
ASH2L	0.0032728645891754384	0.0042095544867973645	5	1	0.6592239009662897	1	1
DOK7	0.030128947692185586	0	2	2	-0.6592230380815413	1	0.8333333333333334
ELP4	0.014328960220212635	0.0022149632636739493	8	1	0.6589383021243973	1	1
DRG1	5.7801222823183934e-8	1.1807827857355261e-9	6	2	0.6587583561990356	1	1
HRC	3.878564601937951e-21	1.1379754909366909e-14	8	1	-0.6558342877139308	1	1
NEBL	3.3095267599260463e-6	4.641405381984874e-8	5	2	0.6555320701519693	1	1
TRDN	1.5044299103995681e-5	2.963951337145474e-4	8	1	0.655056140442732	1	0.8333333333333334
FECH	0.00780619437557304	0.0020729035324029807	6	1	0.6548543102626274	1	1
HPS4	0.00762104968505965	0.34191343526601253	5	0	0.6548151763458783	1	1
BCKDHB	0.0081169238307164885	0.0018672678531039622	11	1	0.6545188567379328	1	0.8333333333333334
ADAMTS19	0.01872170130320944	0.09940118369552682	3	0	-0.6542983649407961	1	0.8333333333333334
GGACT	5.667302462151496e-4	0.041712906691379	6	1	0.6522596566373402	1	0.8333333333333334
RCN1	1.9175232110828915e-7	6.046970444218074e-7	3	2	0.6477511177219807	1	1
QKI	1.0556501223759379e-44	3.534148644358076e-31	6	2	-0.6472096363983981	1	1
TMEM159	0.019075093593320165	0.005742443154050674	6	1	0.646412727250038	1	1
RPL26L1	0.03197808069497463	0.06328611173698566	3	0	0.6455579540881775	1	0.8333333333333334
ABHD11	0.00780619437557304	0.017227596004254914	3	1	-0.6454745711991984	1	0.8333333333333334
UTP20	0.028986321728761234	0.012044933529813017	3	1	0.6438659548377164	1	1
VPS8	0.00263310379335434	0.005728781219501531	11	1	0.6432722136270114	1	1
novelGene_CLN5_AS	0.01143733041977707	0.002548576034154751	3	2	0.6418850327793433	1	1
LOC113248437	0.013944832424814394	0.001231022636093707	5	1	0.6409958898237265	1	1
NCAPD2	0.01756040252141635	0.034321922134832886	4	1	0.6408738247137575	1	0.8333333333333334
CPA1	0.044574913439352146	1	3	0	0.6401319952102127	0.8333333333333334	0.6666666666666666
RAPGEF4	8.66301484433963e-6	2.8110521971469597e-5	5	2	0.6393910375101475	1	1
LOC113260594	0.04960672391502459	0	2	2	-0.6390184842185656	1	0.8333333333333334
NDUFA9	0.0013029425560961135	0.024015868948819272	4	1	0.637211205927924	1	1
KIAA1841	0.012311617606826739	0.21782980799196477	3	0	-0.6357178710188732	1	0.8333333333333334
MRPS22	0.005282922355979596	0.020652138004465182	8	1	0.6351898563167766	1	1
CCDC12	0.03392593179782495	0.28349179359425164	4	0	0.6345471251283384	1	1
IFT46	0.00624938691963673	0.012780446930243227	5	2	0.6344491002839967	1	1
RFK	1.3453599366512286e-7	1.3247199547560488e-7	5	1	0.6339463599595722	1	1
ST6GAL2	0.028591967775757468	0.12135965046234053	4	0	0.633847071679331	1	0.8333333333333334
OLFM1	0.03952887017132106	0	2	2	-0.6334486065419876	1	0.8333333333333334
ACAD9	1.7703817498086145e-4	0.006474297015543597	7	1	0.6326780989914798	1	1
AGAP1	6.838482018342364e-4	5.59208826440056e-4	6	1	0.6321289575391736	1	1
LOC113248165	0.015410660879269383	0.002715787405987656	4	1	0.6320288576036497	1	1
RPF1	0.0019102433058882902	0.18841945456915934	7	0	0.6306914927912711	1	1
CALCOCO2	2.833125036385193e-15	2.8088334341569937e-16	4	3	0.6298061429967963	1	1
ZNF792	0.003932593461220603	0.0017193015524923695	5	2	0.6294932583855565	1	0.8333333333333334
NFS1	0.025570996398627567	0.02063444950343693	9	1	0.6278653445051579	1	0.8333333333333334
MBNL2	2.553055464474752e-10	3.917852250953577e-11	11	1	0.6278637388170923	1	1
PATL1	9.383624360638039e-5	0.0010641161268440122	7	1	0.6270439807824043	1	1
ACBD6	0.04010828719678557	0.11112427323450487	6	0	0.6262534840481044	1	0.8333333333333334
LOC113245319	2.3956736296816004e-6	2.7517833518630796e-4	7	3	-0.6250897538900229	1	1
EXTL3_LOC113269942	3.3488610842452386e-6	5.7911144878324955e-5	5	2	-0.6250356442689304	1	1
NOL4L	3.0815127890445725e-4	0.522250640137669	5	0	0.6226293817272291	1	0.8333333333333334
TSTA3	0.016409507005204868	0.013969335515976067	10	1	0.622330189134388	1	1
NPC1	0.001358038301189658	0.003347198940435323	4	1	0.620977316332014	1	1
ICA1	0.03573049855364629	0.05251263884280725	10	0	0.6203108587090185	1	0.6666666666666666
AFF1	2.854018360633152e-4	0.0013813218409044325	4	2	0.6202187179026214	1	1
LOC113261570	0.0035067356548913802	0.053398742241282396	8	0	0.6200035961506437	1	0.8333333333333334
R3HDM2	0.0146303274610289	0.029415516766960942	9	1	-0.6199718994732948	1	0.6666666666666666
MBD5_LOC113250909	0.0010859403984528387	0.02908738708576179	4	1	-0.6195981337268204	1	0.8333333333333334
ZSCAN16	0.0022799325712407345	8.040402069283405e-5	3	1	0.6173823584531732	1	0.8333333333333334
MYO7B	0.030783538031198876	0.023738202621062077	4	1	0.616343188304876	1	0.6666666666666666
MYO7A	0.017396390736816487	1	4	0	0.6146618595643243	1	1
RNF145	0.012893784189501064	0.0034313009324880967	6	1	0.6138275310083441	1	0.8333333333333334
R3HCC1	0.005159250847315507	0.0010959997501437527	6	1	0.6134186039179444	1	1
XPO5	0.005691942484367804	0.001070734093715889	3	1	0.6124340254221875	1	0.8333333333333334
ARHGEF9	0.02457503614480436	0.06220552538159439	5	0	-0.6115609555852753	1	0.8333333333333334
PHKB	4.3175631588579103e-7	9.180067655850676e-4	13	1	0.6112323023521946	1	0.8333333333333334
ECD	0.008890158629539291	0.0037043002636136966	7	1	0.6105148848005835	1	1
ACYP1	1.3008054049005817e-5	9.766790864342936e-9	5	2	0.6103886272479473	1	1
PIGM	0.0044402212344608625	0.01918141286557596	3	1	-0.6103467160189576	1	1
PIP5K1A	2.913614547682664e-4	0.0024299078224822046	10	1	0.6088052002003173	1	0.8333333333333334
VWA5A	0.0020342860711150324	0.03472234348358552	8	1	0.6070254167084309	1	0.8333333333333334
RBM18	0.048031458673790085	0.12804489061339544	6	0	0.6070073639061664	1	1
RENBP	0.011471984856136678	0.6569373912816863	9	0	0.6068162713590011	1	1
PPP1R3A	2.9053304312279426e-9	1.6602172095179357e-6	5	2	-0.6065920354240125	1	1
LOC113270622	0.04470600191810932	0.20935111608671841	8	0	0.6057752609927216	1	1
PPP2CA	1.5523776447449438e-8	8.04288195539623e-9	6	2	0.6056349320210466	1	1
EPS15L1	3.695039179429437e-5	1	10	0	0.6040905372268232	1	1
BAG3	0.005700237083010964	0.04026477694742523	5	1	-0.6038297060824784	1	1
PIGZ	0.015136787796775724	0.892752420680238	4	0	0.6025462064023572	1	0.8333333333333334
ZFYVE16	0.00780619437557304	0.07120332744938739	4	0	0.6019898873459679	1	1
SYT7	0.00909495073810531	0	2	2	0.6017511422776971	1	1
EFNA5	0.04733105969652946	0	2	2	-0.6017052018144116	1	0.8333333333333334
DIABLO	2.607937942973216e-5	7.542845816931131e-5	7	2	0.601357807571026	1	1
CTNNBL1	1.0035511189944203e-4	0.008418230471329611	5	1	0.6009822535771577	1	1
DECR1	0.009474956610859628	0.0924121439243763	10	0	0.6002517604086673	1	1
SPNS3	0.016811553548936115	1	4	0	0.5997857456940059	0.8333333333333334	0.3333333333333333
LRRFIP1	3.8182103250116977e-11	1.2928396969142169e-8	9	2	0.5990167535482197	1	1
DENND2D	0.018956900431773643	0.19540135274156456	11	0	0.5982848722605961	1	0.6666666666666666
TRIP10	9.297053135415897e-4	0.6072991007399298	10	0	0.5971227987264747	1	1
LOC113246877	0.002178989192682108	0.06886950901571122	6	0	0.5968335336287192	1	0.6666666666666666
PRKACB	3.4177617913844235e-6	3.048197767254417e-9	4	2	0.5965822119904951	1	1
ZCCHC7	0.007040957954525927	0.02595958108001277	4	1	0.5962163709975656	1	1
RFX3	0.011514931765111824	0.009147561672868194	4	1	0.5952435845088206	1	1
LOC113264440	8.296578687731004e-8	4.173503287135349e-7	5	3	0.5948208208766887	1	1
DRG2	0.0036634142718892414	0.042965201895547325	13	1	0.5942980026902202	1	1
AKT1S1	0.015052030322251117	0.0021078911674370943	3	1	0.5935642339906739	1	1
TRAK1	7.464221575734361e-23	2.4862678101907265e-14	11	2	0.5935243945026563	1	1
GATAD1	3.337995334171281e-7	0.00811291753667992	5	1	0.5928377820616143	1	0.8333333333333334
MRC1	0.0027972979141146583	0.0034592939118399404	3	2	0.5927226722362718	1	1
GOLM1	0.013193199065395988	0.02311452987498403	3	1	0.5923660512002713	1	1
LOC113259832_TAF1D	6.717727158395623e-7	1	8	0	0.5918296673371939	1	0.6666666666666666
TRABD	0.007983886893783463	0.04101960371098721	11	1	0.5903126340741035	1	0.8333333333333334
HNRNPH1	1.6173202432439103e-7	1.3057302502916082e-5	10	1	0.5902602980019583	1	1
GPR63	0.032005807371750065	0.004354341131323213	3	1	-0.5894077933443679	1	1
LIN7B	0.048186199913342095	0	2	2	0.5893480000651294	1	0.8333333333333334
MYEF2	0.03510496058358076	0.2253769382131885	7	0	-0.5887426865315504	1	0.8333333333333334
MAPRE1	0.04770128129751579	0.05190128295715507	5	0	0.5877247541937495	1	1
CEP128	0.041916333001922663	0.28130636604957066	3	0	-0.5876427783044742	1	0.8333333333333334
ZNF609	0.016424549429342388	0.1553677538550241	5	0	0.5865101444528777	1	1
MLST8	1.4627168413903325e-4	1	7	0	0.5863345934661582	1	1
LOC113249271	1.9009347741701686e-5	0.3658281332911885	5	0	0.5854238884536879	1	1
SEMA4D	0.005740884541880187	0.0012573723345794886	3	2	0.5852878161004313	1	1
VMP1	7.615266808834317e-11	2.1384222493427084e-4	5	2	-0.585263070272969	1	1
OSBPL5	1.6502897958760047e-4	0.0022828019368863243	5	1	0.5851136575087201	1	1
TBC1D20	2.9936635497551158e-5	0.037106572297895164	10	1	0.58502914475253	1	1
IFRD1	0.0028877772706781563	9.095587382220414e-5	5	1	0.5846212954974244	1	1
TUBGCP2	0.016526692419937348	0.7345525179652136	9	0	0.5837613067877284	1	1
CDK5RAP1	0.021535563414195987	0.00628294577067328	6	2	0.5827503111218835	1	1
CCDC50	2.795673622910543e-4	0	2	2	0.5822460588520103	1	1
POLR2C	0.025647850441740516	0.24162324934048443	9	0	0.5820224155020879	1	1
UEVLD	0.014328960220212635	0.017200298147581877	6	1	0.5812586825539191	1	0.8333333333333334
GTF3C3	0.00380717074900438	0.02240007914746593	4	1	0.581065653360814	1	1
MFSD14A	0.002376327737695759	0.0012427975520447677	8	1	0.580926887738316	1	1
TTBK2	4.0197058502836595e-4	0.0016334867873421153	3	1	-0.5804130593365111	1	1
ELOVL1	0.006482622210304803	0.2803451454606192	6	0	0.5803126578438691	1	1
NOP2	0.04010828719678557	0.006827429119165459	8	1	0.5800035339922136	1	1
GLYCTK	0.004853262250523917	0.9213006542687007	9	0	0.5794562384323177	1	0.8333333333333334
ZBTB45	0.033736753972328296	0.048107547466542236	4	1	0.5782715627991728	1	0.8333333333333334
