gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Skin-Muscle)	pct_gene_expr	max_pct_tx_expr
LOC113259202	0.03705447688432861	0.22588820332968634	3	0	0.7563639637545541	1	0.75
ST3GAL2	3.6851646124510595e-5	1.0137411484540307e-4	3	2	-0.7558907871967001	1	1
SEMA4D	6.263021861912827e-7	0	2	2	0.7549065881816223	1	1
RPS24	5.92951231418145e-45	6.209115018148666e-33	4	3	-0.7543580571072115	1	1
LRRFIP2	6.426902102737328e-25	7.996855094006e-17	11	2	0.7523859922900903	1	1
TBC1D4	1.8520521207738538e-4	0.04780865377609254	5	1	0.7496685153201004	1	1
KLHL18	0.0255435156518893	0.033865108528544165	4	1	-0.7483838913807155	1	1
PPP1R3F	0.042227761004065244	0	2	2	-0.7452258917091792	1	0.75
LEPR	0.00460560494487425	0.008153627250871171	7	1	-0.7449501934885258	1	1
LOC113261538	0.020555747681155066	1	4	0	0.744621501016395	1	1
LRRC2	9.045158131029666e-9	1	10	0	0.7445209840574032	1	0.75
RNF115	9.976081737859712e-4	0.0015100253026061874	3	2	0.7435343656371887	1	1
TLK2	0.0325775559378531	0.10333240279076066	3	0	-0.7423827743626128	1	1
LOC113245579	0.01962272295557194	0.06398673853499591	3	0	-0.7412261245158781	1	1
CEP170B	0.020930957949162384	0.023627454362817855	3	1	0.7401859735398865	1	0.75
SYNPO	0.002843635562964103	3.0275253926768703e-4	3	2	-0.7379054609979968	1	1
COL4A3BP	0.0015927180235381917	0	2	2	0.7361193539461868	1	1
PDE4A	0.01962272295557194	0.026649737563714023	3	1	0.7338494117424265	1	0.75
MRLN	0.013503248813567764	0.01930377053965831	7	1	0.7327031384230486	1	1
ELN	1.7483880411831364e-7	1.6516793935332185e-7	7	1	-0.7303903839026593	1	1
TSPAN5	0.035195154664516545	0.02342974841267759	3	1	0.7296368174297229	1	0.75
PLXNC1	5.337584327840692e-4	0.007411565784057231	4	1	0.7284844806198151	1	1
TUBA8	0.013772265508800535	0.9875335187129008	4	0	-0.727969998146076	1	1
LOC113268864	0.0462575271305635	1	3	0	-0.7265625788403456	1	0.75
ALKBH3	1.916958186295842e-8	1.334886357268427e-9	6	1	-0.7246072949337798	1	1
MPI	0.0038513876926439513	0.0032536806115016073	5	1	0.7215939732963531	1	0.75
FGFR1	1.3524559016996833e-4	8.354003863686696e-4	6	1	-0.7186075050929831	1	1
LIPN	3.7580843721232094e-8	4.4693210503772264e-5	8	1	-0.7172010241179634	1	1
KIF1B	6.786935407293307e-40	3.914181715331942e-28	4	3	0.7157783002532409	1	1
MAPRE3	1.5646240994479408e-6	1.0074694543200572e-6	4	1	-0.7156116676035773	1	1
SLC26A11	0.003975180511083459	0.031021348170979693	4	1	0.7099201920292317	1	0.75
CHD1L	0.0029990090701144927	0.03971560720772479	7	1	-0.7090294765972678	1	1
PDE5A	0.024772113091388284	0.2799284337352464	4	0	-0.7084100884949782	1	1
STAP2	0.00817774309427777	0.00831204109014983	3	1	-0.7064998502700053	1	0.75
ASL	0.01176636520093824	0.020917149509640166	8	1	-0.7031144421631614	1	0.75
LOC113246267	5.516213776112212e-4	0.014143277365511022	5	1	-0.7017366414540163	1	0.75
MRPL4	0.006774915807337853	0.015971840570686773	3	2	-0.7005797330054506	1	1
CTTN	0.0011033127419276519	6.762439102412787e-4	6	1	-0.698663523953279	1	1
RARG	0.02712601535893375	0.03281752265212729	5	1	-0.6971087000900966	1	1
DCTN2	3.847000411952523e-16	3.813589759122652e-18	3	2	-0.6951177657166179	1	1
FBXO40	3.6979453755585804e-7	7.730259515118163e-5	10	1	0.6942599084939136	1	1
IMPDH2	2.397149753372745e-12	0	2	2	0.6925840680522422	1	1
IMMP1L	0.007894985170094999	0.016198136713914166	9	1	-0.6917758198616346	1	0.75
ZNF280B	0.030348043425716835	0	2	2	0.689690791987772	1	1
ZC3H12C	0.031172971861710676	0.34225422354055796	4	0	-0.6880618172530997	1	1
TMEM245	2.377254157273203e-4	0	2	2	0.6841095137785338	1	1
PHRF1	0.002034424402947877	0.050409525092034585	5	0	-0.6833536167965583	1	1
PLXNB2	0.0034820001956819137	0.1201555094796116	9	0	-0.6820574419494396	1	1
ZC3H18	2.166940695571734e-4	5.179293094713109e-4	4	1	-0.6820570160635945	1	1
NDRG2	2.6638463134953907e-25	1.5137813858185777e-13	7	2	0.6801941675200214	1	1
ADPRHL1	3.03261591916679e-6	7.285388174449443e-4	5	1	-0.6795374470890063	1	1
TRIQK	0.007193722474574966	0.037640510066021135	5	1	-0.6787861354896181	1	1
ARPP21	4.3934146141920807e-5	1	7	0	0.6782505137858227	1	1
TRAK1	0.0029193649255353006	0.0020528726880856955	5	2	-0.6774297777713367	1	1
RNF2	2.428708637962924e-4	1	5	0	-0.6754129160896318	1	1
ACSL5	0.003267216549134439	1	5	0	-0.674501758970283	1	0.75
RTN4	0.004780334755432405	0.0021826164652383397	4	1	-0.67264045340032	1	1
S1PR1	1.0513235061837924e-4	5.619828331015123e-4	3	2	0.6719935826237876	1	1
CAMK2B	0.0012741402142837708	0.02772288652592612	5	1	0.6713984784875766	1	1
FXYD6	1.6857404346259828e-10	4.3072317991700016e-8	3	1	0.6693322591853373	1	1
LOC113249271	1.0349688725209969e-5	0.037570536618299975	5	1	-0.667951753605984	1	1
ZNF436	0.0025619414699324223	5.623634955910602e-4	4	2	-0.6661221780605054	1	1
PUM3	0.0025458697889921386	0.07785807092646217	4	0	0.6644531683121416	1	1
POSTN	0.018971673589854146	0.32823481391148573	5	0	0.6639914339032446	1	0.75
ADD1	1.5343912398827127e-6	1.071474232059795e-4	6	2	0.6612332856346961	1	1
POLR3GL	0.0020804217882547022	0.006625442591968942	4	1	0.6610454597001891	1	1
PLEKHA4	0.002034424402947877	0.05972966244118082	5	0	-0.6596449357011693	1	0.75
PFN2	0.002176046264896057	3.0203142055770094e-4	3	2	0.6591831054470665	1	1
WDR7	0.002134309016759517	0	2	2	-0.6587430859342848	1	1
RAPGEF5	8.630695284131594e-5	0.0027232084288574022	5	1	-0.6579591313425396	1	1
EXPH5	0.003861974926080151	0.007259231850883375	4	1	-0.6548671288152517	1	1
DENND2A	0.025006234820209	0	2	2	-0.6544895512746947	1	1
LYSMD2	0.026010066338503817	0	2	2	-0.6531178259425642	1	1
GPT2	3.765122881401674e-4	9.663616807693927e-6	5	1	-0.6506619271914041	1	1
CERS5	2.956911926782964e-7	0.010848558062147184	6	1	-0.6502008207294431	1	1
PPP1R27	0.0020852350068636537	0.0034657468961945426	3	1	-0.65010066662485	1	1
UGGT1	0.004540168851555325	0.006131985788324624	5	1	-0.6490037677430938	1	1
ZNF134	0.0013396965209095675	0	2	2	-0.6483651438165341	1	1
LTBP3	6.021002136999363e-4	3.7027795290646384e-5	3	1	0.646627490187087	1	1
NICN1_AMT	0.03240653052860202	1	14	0	-0.6462189937562968	1	1
SEPT9	1.2799816097731206e-4	9.058664968825826e-4	6	2	-0.6460767519861967	1	1
RAB40C	0.018847139599976213	0.020979843845183435	3	1	-0.6450780940644613	1	1
RALGAPB	0.0110196636316357	0	2	2	0.6448287598929597	1	1
NDUFV3	1.2799816097731206e-4	3.4945145565103426e-5	3	2	-0.6405705099443505	1	1
R3HCC1	0.015927096317768386	0.26077458890349176	8	0	-0.6392624721350623	1	1
SMTN	0.010450269480549257	1.8371550404512547e-4	8	1	-0.6383247153547396	1	1
ABL2	0.0066123893487957264	0.022974554197593828	5	1	-0.6370789540444548	1	1
ATP9B	0.0031630728764210857	0.0060413273019564355	6	1	-0.6365003719863708	1	1
HDAC5	8.820885408141832e-4	0.008030185687705806	4	1	-0.6340249601370717	1	1
HSPB2	0.037197769947115725	0	2	2	0.6339735586480582	1	1
KCNS3	0.0057097827052013305	0.1440816493898498	3	0	-0.6328182267087527	1	1
HMGN3	0.017422321844397005	0.0010376211965614176	6	1	-0.6325201919570071	1	1
CCDC50	2.5345109674876256e-6	0	2	2	0.6322733759643023	1	1
TXNL1	1.7635783515292923e-10	1.0504855620472613e-5	4	2	0.6317801259770215	1	1
COQ8B	0.04669250927519421	0.4149388773911821	3	0	0.6305167014965499	1	1
FAM198A	0.0325775559378531	1	4	0	-0.6299490246472963	1	0.75
BICRAL	0.0472458052452877	1	4	0	0.6284916288745606	1	1
MYBPC1	5.18191146783991e-7	4.3890944932106074e-5	14	1	0.6268535483667896	1	1
CCT8	2.733689734727454e-12	2.279513694522593e-8	5	2	-0.6265824734568151	1	1
TP63	5.365862994586441e-4	0.09096651444311897	6	0	-0.6258666254595526	1	0.75
RHBDL1	0.002512871491458105	1	6	0	-0.6250669100785123	1	1
ICK	8.293943882355582e-4	0.015796963988854322	4	1	-0.6239843254808768	1	1
MCM8	0.008269692784341014	0.1549764693372746	7	0	-0.6237907840911756	1	0.75
HRC	6.3298950687165006e-40	2.2572965246066484e-15	7	2	0.6207095143175088	1	1
PERM1	0.00408911876032103	0.04090919082313591	6	1	0.6197518001422297	1	0.75
BPIFC	0.0325775559378531	0	2	2	-0.6183564605900066	1	1
LIAS	0.0441770010154578	0.022090294751991084	6	1	-0.6183216319484683	1	1
SETDB1	0.018323108344837875	0.009371966550309158	4	1	-0.6181602114353678	1	1
AP1S2	1.2542025969096488e-9	1.9834772755075694e-8	5	3	-0.6156745397525603	1	1
ZNF382	0.00621557474183613	1	7	0	-0.6140794895044237	1	0.5
SENP5	0.0015444761999284262	1.0995471118332375e-4	7	1	-0.6131121917413073	1	1
SLC7A2	4.595375655937229e-6	1.5413482725220063e-4	7	1	0.6114891192664166	1	1
SUMF1	0.010615265968229435	0.004761649343360941	4	1	0.6109879716035564	1	1
ZNF684	0.012783056004340775	1	5	0	-0.6087266729691451	1	0.75
CAMK2D	3.4667020048242355e-5	2.01720019277993e-4	5	2	-0.6066759195212581	1	1
FHL1	5.061910088798789e-9	0.16433558127515419	14	0	-0.6064060764600914	1	1
PQLC2	0.01573825027508118	0.03822440642118357	3	1	0.6025196215089046	1	1
MTSS1	0.014767210172646941	0.005619411379691939	6	1	-0.6018944478109189	1	1
NUDT5	4.264699660629735e-4	1	9	0	0.6018605632508521	1	0.75
LAMA3	0.001666148527608348	0.09672390844854635	4	0	-0.6014617943436753	1	1
DNAAF2	0.0364578276684513	0	2	2	-0.601407578579418	1	1
DLG1	0.023065054816662486	1	6	0	-0.5997107966065032	1	1
CAPN15	0.025776376344091155	0.22158663475097556	4	0	0.5894873618586849	1	1
KIF3A	0.0011550186992959957	1	4	0	0.5894860544071756	1	1
ENO1	5.091582657415655e-7	8.23066018274965e-5	3	1	-0.5888416787882608	1	1
SCD	0.00617121681158877	0.10311158998814374	6	0	0.5887398336180517	1	1
WBP1L	0.015595698161190297	0.49398095988411866	3	0	0.5878280469207599	1	1
ENO3	0.009152287807425743	0.01976104656810266	6	1	-0.5854945577759296	1	1
ASXL1	0.0013370053210722311	0.015780867960511532	5	1	-0.583361679247143	1	1
MTMR14	3.9495884382171036e-4	0.01244928208273814	7	1	-0.5829966518922954	1	1
FSD1L	3.951621963703758e-17	3.077581340682297e-5	5	1	-0.5813621169015408	1	1
PPFIBP2	2.6954357562432187e-5	1	11	0	-0.5778340651279611	1	0.75
ANK3	1.9744694710071122e-8	2.8794568255861673e-8	4	3	-0.576524256531155	1	1
PDCD11	1.6235754222362287e-4	0.014448101136131722	6	1	-0.576484761247306	1	0.75
HERC3	0.019408653119592115	0.01610576558039847	13	1	-0.5741540314544259	1	1
SCYL1	0.025776376344091155	0.026698190689378763	4	1	-0.5719400705768672	1	1
STK38L	5.97348047643542e-4	0.005609165239795591	5	2	-0.5670355051456236	1	1
PIH1D1	5.757900735064963e-4	0.0015230918499737677	5	2	0.5656170630714508	1	1
TTI2	0.0325775559378531	0.06483236704631062	6	0	-0.565543635846721	1	1
SNX5	4.040127752603674e-5	0.0010339223641059661	5	1	-0.5626976680155875	1	1
FTO	2.2773292654642677e-5	3.8396982425165994e-4	7	1	-0.5621342828465201	1	1
C1R	2.099629264918178e-5	0.030598619153121072	5	1	-0.561761268322124	1	1
PPID	0.006445585178948168	0.01624204652796336	4	1	-0.5614449683697705	1	1
CASP8AP2	0.002034424402947877	0.0011088784798746745	5	2	0.5612060483011688	1	1
USP25	8.198002050117227e-22	1.1397675406477482e-10	4	2	0.5609811321219549	1	1
DNAJB6	1.4164762386251765e-8	8.186345455981103e-5	9	2	0.5583286673293137	1	1
MEF2D	0.04771564443520351	1	5	0	-0.5573947092292927	1	0.75
SGPL1	0.03525891802624172	0.43129515932485896	6	0	-0.5562038511873201	1	1
SNAP23	6.868260621119126e-5	0.0016169362018918054	6	2	0.555610344421944	1	1
LOC113246947	0.023197722748704304	0.02321796335506114	5	1	-0.5555929443491651	1	1
MKRN1	3.0426133253355642e-5	0	2	2	0.5554196807261047	1	1
XRCC4	0.0225596499767376	0.26083645412697093	8	0	-0.5544636635353821	1	1
FAF2	0.02658689428002423	0	2	2	-0.5539091025799835	1	1
TECR	0.0025619414699324223	3.2883781578384413e-4	3	2	-0.5529694546087723	1	1
LOC113259016	0.04023435521337119	0.06517520762655388	3	0	0.5518921084331271	1	1
ATP5MC1	0.018842857764555448	0.0023700857527615147	3	2	-0.5517897154831444	1	1
DIP2C	6.082436128455055e-5	0.004037285273872474	4	3	-0.54984535355239	1	1
XPO5	0.018689263735091645	0.002667126596021921	3	1	-0.5493477409086531	1	1
RHOT1	1.2280274566810084e-4	0.0030829112706759454	5	1	-0.5489935417987847	1	1
LOC113247244	0.023758755179407533	0.006093004373182769	4	1	0.5475614632418595	1	1
CLSTN1	0.019375491264770128	0.930802021592979	8	0	-0.5445743681324382	1	1
F8	4.552435798407277e-4	0.06457239605750047	4	0	-0.5379277793071034	1	1
TMEM134	0.010615265968229435	0	2	2	-0.5375277587818696	1	1
NSFL1C	0.001953875511647422	2.8372045923021115e-4	3	2	0.5364309636595531	1	1
DNAJC13	9.65634122341526e-5	0.08659591674279592	4	0	-0.5354876814227474	1	1
GLMN	0.008490789463460567	1	9	0	-0.5339327286971162	1	0.75
FYCO1	4.833863640210432e-4	4.6954963632868716e-5	3	2	0.5333768215267802	1	1
XRCC5	0.0017436698701661741	4.423960759931225e-4	5	1	-0.5333043718632581	1	1
LRRC66_SGCB	0.004556035416714796	0.010651567110690038	4	1	-0.5322913554045532	1	1
CUNH19orf47	8.456502382352131e-9	0.020894587278853696	8	1	0.5316743425225314	1	1
MAST4	0.008533346840681534	0.004052158849587617	4	1	-0.5312173954852856	1	1
HECTD1	5.508934587138191e-7	0.0011162961184155024	10	1	0.5305131918928577	1	1
BRWD1	2.751923217932786e-4	0	2	2	0.5265312234315496	1	1
ACAP3	0.001145561714488328	0.07511547767286544	3	0	-0.5254724548314702	1	1
ASPH	1.6743453714341588e-11	0.07253927170768029	9	0	0.5247134523848799	1	1
FAN1	0.0076584842615722406	0.06158940681967652	10	0	-0.5245856473056871	1	1
RNF123	0.0015505868435128527	1	13	0	-0.5245011179419301	1	1
OSTM1	5.241998333523915e-5	1	5	0	-0.5240685118951828	1	0.75
PPT2	0.01479210055306813	0.014633065823709863	8	1	-0.5207760889905816	1	1
BNC2	0.0026729577606204235	0.35122511394316974	5	0	-0.5195210981768821	1	1
MYOT	0.013019177365303109	0.24677912423348272	8	0	0.5187638874818539	0.75	0.75
MCAM	0.01567530941426416	0	2	2	0.518290345020492	1	1
NCOA5	0.013240307153164325	1	4	0	-0.51709764876429265	1	1
TBL1XR1	0.0010977050732060042	0.10288586438823454	9	0	-0.5155031753003507	1	1
PTGS1	4.139775188039437e-4	0.0064067938100411705	4	1	0.5142944627493147	1	1
DUSP26	3.61071369387206e-5	0.17021862875850644	6	0	-0.5122516361335921	1	0.75
IL1R1	0.040581030876306025	0.1805947508068551	6	0	-0.5121957158179561	1	1
ACSL1	8.417887576741121e-20	7.458185895044514e-5	11	1	-0.5100324964654309	1	0.75
FLOT1	0.003915422019034096	0.012966777905927693	8	1	-0.5081999923196315	1	1
SLK	1.5216119365512819e-15	9.88238398833919e-7	3	1	0.5081766358370663	1	1
LPIN1	2.3614083718330838e-4	0.02076121900310816	8	1	0.5050974441066716	1	0.75
PYGM	0.006496543674238412	0.22812485313063496	5	0	-0.5045532602059731	1	0.75
SPPL2A	9.65634122341526e-5	3.664417790097424e-5	4	2	-0.5034226115946807	1	1
PPP1R12B	0.0025412284945349737	0.026405175322132123	5	1	-0.5025462074909941	1	1
ATL3	8.820885408141832e-4	0.009772822262133222	7	1	-0.5022645362339855	1	1
ZNF106	5.4447753240629174e-42	1.0032493858124432e-21	6	2	0.5014316446822198	1	1
UTP15	0.0033159816061100705	0.020226565638811582	3	1	-0.49770711144229396	1	1
MAP2K3	0.0441770010154578	0	2	2	-0.49662970074807494	1	1
RNF125	0.003560082356059552	1	9	0	-0.4959673253060159	1	1
ESYT2	3.631839964722e-15	1.3186171735359655e-7	7	4	-0.49537061661687276	1	1
TOM1L2	0.001471819498175587	3.2973866446257187e-4	4	1	-0.4936073147168425	1	1
FZD6	0.0029990090701144927	0.004029430045008364	3	1	-0.49320248696341884	1	1
FOXO3	0.0447008156241657	0	2	2	0.49296472980754036	1	1
LOC113249004	0.03257753441254228	1	5	0	0.49111356898888936	1	1
CAPN1	0.016508871945276157	0	2	2	0.4909058905125231	1	1
ELMOD2	0.04498203887194086	1	7	0	-0.48919742417085765	1	1
LSM14A	2.4931006118586815e-4	5.166879824375997e-5	7	1	-0.4890165247793724	1	1
GPATCH1	0.006224714665369304	0.8057159595497085	5	0	0.48894916170674496	1	1
SMIM19	0.014331012538883768	0.2990698126114615	9	0	-0.488409691735549	1	0.75
EXOC7	4.05264831954003e-6	0.0013068223674323285	10	1	-0.4882762518905608	1	1
MAST2	0.015595698161190297	1	6	0	0.4873872179608897	1	1
LOC113247645	5.621585087505929e-19	7.244491480236304e-10	8	3	-0.4856422874248121	1	1
IRAK1	0.04231323440060423	0.00936837157857271	3	1	0.48499948153706374	1	1
NIN	0.017282364304118565	0.31176751032568834	6	0	-0.48494751785904017	1	1
SLC2A9	1.4773722024094456e-5	1	11	0	-0.48398052841987477	1	1
HSF2	0.007647190344266927	0.46269639106214117	5	0	0.4814847659448895	1	1
TMEM218	0.026976796442172827	1	7	0	-0.480114907923218	1	1
MYL2	0.0055167910615954675	1	5	0	0.48003451843604994	1	1
DMXL1	0.045939814417957255	0.00919653765308417	5	1	0.47841731770983	1	1
KLHDC3	4.990128515412012e-18	0.04780138946566741	9	1	-0.47676260800183096	1	1
TNRC6B	0.006510779968733501	0.8819469812490475	3	0	0.47595053693267014	1	1
CBLB	0.004954290724295541	1	6	0	-0.4757361312730206	1	1
RAB3GAP1	5.975762118933165e-7	1	7	0	0.4757112214357981	1	1
RBM19	0.010404802431084974	0.025810490657732253	3	1	-0.4745047887471926	1	1
CPSF1	0.002512871491458105	0.17675149862936715	15	0	-0.4728477861072873	1	1
NFIC	0.04885665773036071	0.08687088357004391	4	0	-0.47206687359984023	1	1
ATL2	5.516213776112212e-4	0.0013536033899153401	6	2	-0.4697729387027147	1	1
PKP4	0.04977615743698304	0.3942213996751391	7	0	-0.46975170456807214	1	1
XPO4	4.154502725524622e-24	9.232426978145036e-4	6	1	-0.46934938477912674	1	1
KRT10	0.002574357486864482	0.004326494237409739	3	1	-0.46830778045698584	1	1
PPIP5K2	1.2924480265195344e-7	1	10	0	-0.4673973123452036	1	1
MAP3K3	0.010932091420106621	0.017603599694447546	3	1	0.46628567655444786	1	1
STOML1	0.040012718638241136	1	6	0	-0.46516155694119543	1	0.75
KIDINS220	1.328921350179205e-8	7.413179787394391e-4	10	2	0.46366984095148717	1	1
TCP11L2	8.13920667368728e-4	0.2874527946852885	7	0	-0.46334049189673404	1	1
CPT1A	4.833863640210432e-4	0.01429786440721419	6	2	-0.4626701316672441	1	1
NAA35	0.017909690389035476	0.05922394025521234	4	0	-0.46246013185028834	1	1
BAZ2B	0.0029193649255353006	0.2562496327574764	13	0	-0.4622486476839045	1	1
NAPRT	0.003267216549134439	1	7	0	-0.4620175056751609	1	1
ZNF34	0.0054258602721436395	0.8692760552554094	7	0	0.46171367626493104	1	1
HTD2_RPP14	0.0062130715428437774	9.174122509247144e-5	7	1	-0.46049215488243644	1	1
CASP6	0.01801334710072963	1	7	0	-0.46028661679079946	1	0.75
GAS8	0.03833835958030465	0.857172714289832	9	0	0.4594924535583571	1	0.75
NLN	0.0340149066665964	0.005247124534281564	3	1	-0.4578243845629797	1	1
SIRPA	0.042408680253059876	0.035918906339320836	3	1	-0.4572852288448953	1	1
N4BP2L2	1.9629987277850497e-15	1.3445186546157021e-8	6	3	0.45520095907288205	1	1
TRADD	0.008425944670185937	1	5	0	0.4551907736850243	1	1
ZSCAN9	0.001960315248305749	1	5	0	0.45377041000868107	1	0.75
DLC1	3.0111879779773986e-5	0.03155792863349474	6	1	-0.45355655213985746	1	0.75
GOLGA2	1.3736024015485626e-9	1	4	0	0.4531153414712643	1	1
ZNF664	0.0010344393796230342	0.031056278385076762	5	2	-0.45291983548275955	1	1
CBX5	0.001575093875889079	0.010712629562894442	4	2	-0.45229076730734064	1	1
LOC113266115_EGLN3	0.031118236997066742	0.006961082419944802	3	1	-0.45097480978868104	1	1
RPRD2	0.00247612361547819	1	7	0	-0.4500444901376464	1	1
CLIC5	0.01083989233186729	0.0971394126915345	4	0	-0.4496649674788886	1	1
SEC31A	3.349796085607751e-4	0.7264249748664147	16	0	-0.4480052882302655	1	1
SAMD4A	0.002717225544474413	0	2	2	0.4447178983786467	1	1
GRB2	0.006801686335291301	0	2	2	0.44396512766004426	1	1
LAMA4	0.043331831483706826	1	10	0	-0.4438053356909249	1	1
TEX10	0.025907099218005936	1	6	0	-0.4433225406926645	1	1
IP6K2	0.013671079251451498	1	10	0	0.44199814688817035	1	1
RPL38	1.5185243615736425e-4	3.9382403569572283e-4	3	2	-0.44108307313208805	1	1
UBE3A	0.0027816119288200606	0.004662588545304594	4	1	0.44066476145053624	1	1
CARM1	0.0036945081550424255	2.335797128276818e-4	3	1	-0.4398160987350729	1	1
LOC113260612	0.035773683761719306	1	5	0	0.438785553273576	1	1
CFL2	0.007987509080459731	0.0025340113156837258	6	1	-0.4383580987877192	1	1
SCHIP1	4.2296327938716466e-4	0.028497243663529816	5	1	-0.4377062823161735	1	1
CENPC	0.010531559872065333	0.0775551850378086	5	0	0.43745507582981097	1	1
DDX56	0.015595698161190297	1	9	0	-0.4373869139329792	1	1
TEAD1	0.0011691769180142949	0.03130432770454198	5	1	-0.43714559436828926	1	1
ULK2	0.0012395114528536884	0.0011087936519808925	4	1	0.4358204798103875	1	1
SLC10A6	0.007294887485955032	0.0505659253101209	5	0	0.4357832038248396	1	1
SIK3	5.479896387310283e-4	0.20547324929141586	6	0	0.4355694597406563	1	1
SSR1	0.026878298866244543	0.004812932871902449	3	1	-0.4353488072935522	1	1
RASSF4	0.04889523685277665	0.3217667474150723	9	0	-0.4346631133217943	1	1
MAP3K20	2.5488985121291197e-8	6.427075038743602e-6	4	3	0.4334256361475388	1	1
NDUFA10	2.238293341348794e-7	0.004565322017153285	9	2	-0.4333285195145259	1	1
ADK	2.035756486254333e-4	0.19496334611712152	9	0	-0.433192397155588	1	1
GCLC	0.008888452408265789	1	6	0	-0.4328606825347014	1	1
PRSS23	0.044308038352758795	0.03590454758685195	3	1	0.432651136942209	1	1
OSBPL8	5.214516992148138e-11	0.01766996479756903	13	1	-0.42955671765094733	1	1
EML1	9.167526661773042e-5	0.09023611349187154	5	0	-0.4291439763009534	1	0.75
