gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Adipose-Ventricle)	pct_gene_expr	max_pct_tx_expr
MMACHC	0.03201873410640479	0.003577460430668526	4	1	-0.6510009039964172	1	1
CPT1A	0.024575571147465024	0.0121376464938608	5	1	-0.6492375322915803	1	1
OMA1	4.7444063570710634e-5	1	5	0	-0.6482484408148449	1	0.8333333333333334
ASPH	1.050371085154951e-64	5.856376345063592e-30	10	1	0.647929505836481	1	1
SLMAP	4.213720727865984e-33	4.922275370737739e-4	10	1	-0.6478330204557459	1	1
LOC113248444	0.0391755447621595	0.015784351086087143	12	1	-0.6467423133210667	1	0.8333333333333334
SPRED2	0.04651332702436592	0	2	2	0.6459886355487537	1	1
MPZL2	0.012942834259283427	1	6	0	-0.642471054925767	1	0.6666666666666666
CARM1	0.007703603985541012	0.008133181391717067	3	1	-0.6413505243269133	1	1
LOC113246148	0.03201429904901479	0	2	2	-0.6407935940624385	1	1
LRRC2	1.0058012677735614e-4	1	12	0	0.6393505043152803	1	1
CLSTN2	0.02037109274984556	0	2	2	0.6391544389713497	1	0.8333333333333334
PCYT1A	1.3793359257145101e-17	2.1058123308269276e-15	7	2	-0.6390721275357806	1	1
SEMA4D	0.017072791264037844	0.002637110328206478	3	2	-0.6388112239277683	1	1
KIAA1614	0.007845868014190568	0.016636290051130653	4	2	-0.6383343350408759	1	1
NBL1	2.3554055330583812e-4	0	2	2	0.6380921573523005	1	1
SPPL2A	4.093107330932417e-6	1.2453912086458108e-6	3	2	-0.6370662158027282	1	1
PDP2	0.01316542861872801	0.002436617951895351	5	1	-0.6364141762257457	1	1
LRRFIP1	2.477423982282703e-16	4.7987649579504055e-11	8	3	-0.6314590165930246	1	1
HSPB2	0.02635855153307248	0	2	2	0.6307625383294302	1	1
HMGXB4	0.0010132994518711714	0.020997733178601548	5	1	-0.6294844428276809	1	1
DPH1	0.04192026701297145	0.009231163165796143	4	1	-0.6282820775275494	1	1
CCT8	1.9815712144814894e-16	1.801478396365875e-9	5	4	-0.6278541269984323	1	1
ZFYVE27	0.010221015057018577	0.3910403126028823	6	0	-0.6243009354263424	1	1
ARHGEF2	0.015436936823147519	0.036027056691533645	5	1	-0.6235839645663099	1	1
STK25	0.015153415067759603	0.06312279795280017	6	0	-0.6207447577093925	1	1
UBXN8	0.0035851539896202783	0.4334640868161247	4	0	-0.6200025192875132	1	1
VEPH1	2.7634827840597826e-8	1.8029893711347854e-6	3	1	-0.6198286697836264	1	1
ADAMTSL4	0.047795494318513564	0.17955174303601515	5	0	-0.6190457868298173	1	0.8333333333333334
MAPRE3	0.03998335071249041	0.11303322967544027	7	0	-0.6183336542298109	1	1
LOC113248648	0.047795494318513564	0	2	2	0.6164558234562654	1	0.8333333333333334
ACTN2	0.0023935777774244673	0.010705054060094305	5	1	-0.6154043701054619	1	0.6666666666666666
CORO6	9.823716266339306e-4	0.06384961838820355	3	0	-0.6152280304552316	1	1
SLTM	2.05901120221322e-8	1.5731194221339413e-6	5	1	-0.6079293801587471	1	1
USP33	3.906917602480091e-4	9.159797433899099e-4	5	2	-0.6077990866167549	1	1
RAI1	0.03223898198479516	0	2	2	-0.6066451022444641	1	1
MPP7	5.09471863135666e-4	5.821169679566596e-4	6	1	-0.6043587098110983	1	1
PDLIM7	1.4580631936762557e-6	7.072675234430528e-5	9	1	-0.5999491637519676	1	1
DNAJA4	0.0016989799131921107	8.555481819103161e-5	4	1	-0.5997861368901153	1	1
MYL9	7.597841737825509e-18	0	2	2	0.5992969648643349	1	1
IARS	0.0030543745174630957	0.028978868925871794	6	1	-0.5988300493906904	1	1
DENND4C	3.774084123186387e-10	6.323569598711275e-9	3	2	-0.5969660372675433	1	1
LOC113247260	0.017923980899618778	1	4	0	0.5969256237609313	1	0.5
ATP2B4	3.648505458607582e-5	0.0011847479013659247	8	1	-0.5968013228930579	1	1
TBC1D8	1.5536505077393858e-13	6.805244219770724e-11	5	2	0.5964252204924965	1	1
YPEL5	5.73090682099488e-5	5.929479331332002e-5	6	1	-0.5963580174811532	1	1
STYX	0.008726289121530693	0.01941509382392879	4	1	-0.5949107282362835	1	1
NDUFA10	7.013127209343643e-4	0.00558793975811746	8	1	-0.5936747420298378	1	1
LOC113265650	0.00780053291532047	0.002438582516295674	3	1	0.5929849620256973	1	1
DUSP19	0.010786116812668773	0.007547536124401852	3	1	0.5925942817552973	1	1
ACO2	8.902062883861771e-4	6.799709974171171e-6	7	1	-0.5920898566158082	1	1
DDR1	0.014701608318541785	0.5501270308888068	7	0	-0.5909259671120016	1	0.8333333333333334
LOC113256764	0.010037489635566792	0.00686616723473444	4	1	-0.5889636287749788	1	0.8333333333333334
LOC113249271	2.3609484681843692e-5	0.1815207409408274	5	0	-0.5880486919334031	1	1
CCS	9.123318679896069e-4	0.002348126497349283	5	1	-0.5857610002865237	1	1
TOM1L2	8.189148761427514e-4	0.002862011607383931	4	1	-0.5831653303264077	1	1
ACYP1	0.01595621478648366	0	2	2	-0.5826657848644856	1	1
POLL	0.027526740134144637	0.3099174163150991	6	0	-0.5801746376505375	1	0.6666666666666666
TRAP1	0.003670470485808566	1	8	0	-0.5799642751669676	1	1
TXNL1	1.703055004045368e-22	3.359823071733633e-12	5	2	0.5799458240380431	1	1
LOC113265298	0.01238015706748024	0.026408926465935078	4	1	-0.5799287448190504	1	1
PHKB	2.966728341103082e-5	6.440097934872101e-4	7	2	0.5794498174723208	1	1
ECHDC1	4.2899417225490735e-12	5.019424474910182e-6	7	1	-0.5785783478361547	1	1
USP39	0.04994352232190252	0.4387875881634851	7	0	-0.5783993485782364	1	0.8333333333333334
CTBP1	0.0011920071894136307	1.6635062091882656e-4	3	1	0.5776151318718772	1	1
LOC113245930	4.088972475504102e-4	0.008971116313773286	7	1	-0.5769027298024587	1	1
FES	0.007260923690326093	0.08668030076207822	6	0	-0.5754807574301227	1	1
ANXA7	1.0318444553693027e-4	4.609176284529723e-4	7	2	-0.5754370180111359	1	1
MXRA8	0.044497159066633506	0.0046011037313336564	4	1	-0.5738425547940667	1	0.8333333333333334
FAM53A	0.03718176493951083	0.005095513344685397	9	1	-0.5734243500742371	1	1
SLC9A8	0.03793890638196783	0.11124993083479537	7	0	0.5718634079988351	1	0.8333333333333334
PDE4D	1.707926266730867e-18	1.5635692120011885e-7	6	1	0.571664535818542	1	1
PDE1B	0.001404652309917149	0.015850924665714583	9	1	-0.5694420848935358	1	0.8333333333333334
ETV6	0.022765018147224966	0	2	2	-0.5684964759598833	1	1
NHEJ1	8.430150398366808e-6	1	7	0	-0.567873353724238	1	0.8333333333333334
PDE7B	0.02635156523540577	0.032879214588914026	3	1	0.5653491744103877	1	1
ENO1	3.1671724333890077e-8	3.470060567018325e-4	4	1	-0.564788676858808	1	1
BTBD1	1.3707040594408683e-5	5.080499951182652e-7	3	2	-0.5643497967950094	1	1
MAP2	0.014157177859827877	1	5	0	-0.5641811989502568	1	0.8333333333333334
OTUD6B	2.56345696598447e-4	7.06580653850375e-4	7	1	-0.5630964563045737	1	1
CUNH19orf47	1.0168205490459017e-18	0.004055316394462921	6	1	-0.562329903004533	1	1
NREP	0.0024671290746442797	7.076371233688081e-4	4	2	0.5621286106125996	1	1
FNIP1	2.255886577523069e-6	0.004807138560147373	4	2	-0.5618503959407134	1	0.8333333333333334
NOSTRIN	1.981137273090229e-5	2.810610931934555e-6	13	1	-0.5616075903855107	1	0.8333333333333334
DDX50	0.0014185181617971413	0.030409316426295414	6	1	-0.561385933148842	1	1
ITGA7	8.637581575320105e-4	0.016753016552239267	8	1	0.5597194924907881	1	1
CKM	5.321538688137094e-9	1.174420204670682e-8	4	1	-0.5589592880178182	1	1
LOC113253409	3.922766732091191e-5	1.9226700685513143e-6	4	2	-0.5583126638083366	1	1
UBP1	2.573545244829024e-6	2.4379093292863237e-6	4	1	-0.5574348569553077	1	1
LDLR	0.012710382816196372	0.011301211603164803	6	1	-0.5566027757429285	1	1
UVSSA	0.03643748026260419	0.256146420324487	6	0	-0.5549284169088562	1	1
FAM192A	0.028525931206704117	1	8	0	-0.554750950282016	1	1
PPIP5K1	0.0022045164776171512	1	12	0	-0.5542260856925082	1	0.6666666666666666
PLD1	9.825171492027127e-7	1.201942332665367e-8	4	1	-0.5519313103303537	1	1
SGK1	0.0014625396721848183	1	11	0	-0.5513941661178698	1	1
PTCD3	0.02839151612477866	0.054366697386956146	10	0	-0.5509322632984183	1	0.8333333333333334
IL1R1	0.03160305062507745	0.005391459764465912	6	1	-0.5494469997670068	1	1
TSEN34	0.006728796496177154	0.03169024969787081	3	1	0.5493368948504324	1	0.8333333333333334
RABGGTA	0.0017589630280397143	1	6	0	0.5478750592929651	1	1
CFL2	1.0958359696070666e-5	1.7558914040509335e-6	6	2	-0.547823338080415	1	1
CEP85	4.900790829906583e-4	0.015175775406815814	13	1	0.5454083297216071	1	0.6666666666666666
LRRC66_SGCB	1.959223594159029e-5	4.691794358583641e-5	3	2	-0.5454064820413456	1	1
WDR45	0.015444779684338886	0.08601326247032315	8	0	-0.5445655708279663	1	1
SYBU	0.0046625622875499	0.731725300304195	6	0	-0.5427129435168714	1	0.8333333333333334
MLF1	9.130115877055733e-14	6.348492875196229e-16	5	1	0.5426045641744729	1	1
ZNF134	0.0404546163860659	0	2	2	-0.5406789194132302	1	1
TTC9C	0.03223898198479516	0.6598328825751516	6	0	-0.5388635716188461	1	1
MLXIP	0.013547800445378488	0	2	2	-0.537503385948277	1	1
WDR78	0.03358834498335911	1	4	0	-0.5371129137282401	1	0.8333333333333334
PEX11A	8.009373239913165e-4	0.06645383658874875	6	0	-0.5367782436455479	1	0.8333333333333334
HSPB7	0.04426726228768474	0.01853733580721654	3	1	0.5359111847161684	1	0.8333333333333334
CD47	4.229467734637251e-8	3.496939058548176e-8	7	1	-0.535847446619011	1	1
PAQR3	0.03403252446382011	0.009339778140415946	3	1	-0.5352555742464439	1	1
ABLIM1	1.6699604759136538e-35	8.88199645364328e-23	6	2	0.5351774647808187	1	1
LTBP3	0.01386694298592232	0.0017231539217484602	3	1	-0.5319086592531281	1	1
PDHX	1.7556436337453115e-10	2.1965387862473332e-11	5	3	-0.5310267620089462	1	1
ACKR2	0.0032426259428385332	1	6	0	-0.5305976356222682	1	1
ICK	0.038973106191563106	0.15895217224000605	5	0	0.5292492506281234	1	1
STARD13	0.014157177859827877	0.06148719305081762	5	0	-0.5275571078887699	1	1
NRAP	1.1665058988126695e-20	3.094421212782818e-4	15	3	-0.526595624835837	1	0.8333333333333334
ETS2	1.359755655217776e-4	6.936366463665518e-4	4	2	0.526542582366282	1	1
TMEM218	0.004642759211510794	1	6	0	-0.5264039785261894	1	1
PFKM	5.400678243117239e-6	0.0011406714722434705	7	2	0.5253669307743859	1	1
PIEZO1	3.0897290448285593e-4	0.0015435838491748267	5	2	-0.5250990439972554	1	1
ADGRD1	0.01316542861872801	0.07331190578687188	7	0	-0.5237807254931356	1	0.8333333333333334
BAG3	0.009464261745919534	0.021061581209435274	4	1	0.5224849722670717	1	1
SCHIP1	1.5364635436030424e-4	1.4665254187743963e-5	4	1	-0.5223316008095004	1	1
KCNIP2	0.009998868184098422	0.026683897004645917	7	1	0.5220404705653094	1	1
HDAC5	0.02697229065444904	0.29477747283577965	4	0	-0.5197031243962507	1	1
RPS24	7.8325726518309e-17	0	2	2	-0.5196204137190532	1	1
MFSD14B	0.043479165087039875	0.33060873151432957	4	0	-0.5162464966763112	1	1
PTPRC	0.007649273057733236	0.7580414513635755	5	0	0.5148210574719158	1	0.5
CPLANE1	0.04566283480611905	1	9	0	-0.5139703646015351	1	1
DLG1	0.039265453774975936	0.03450325398812005	7	1	-0.5136323066667758	1	1
CAMSAP2	0.003670470485808566	0.026529265151530767	5	2	-0.513590176899596	1	1
NDRG2	6.08800270808256e-6	1.8124753647790206e-5	5	2	0.513082814816425	1	1
UGGT1	0.0010152192339817582	0.13063710928149486	6	0	-0.5113669755350592	1	0.8333333333333334
HM13	0.009027344079586821	0.3025832995040505	5	0	0.5113633393774726	1	0.8333333333333334
LOC113247187	0.04402843109161418	0.02322250149514549	3	1	-0.5113032577823928	1	1
SLC38A10	0.00979315094646325	0.04417717016348401	4	1	-0.5104215945113928	1	1
ADK	1.2512303769530032e-4	0.001836893028951521	10	1	-0.5081571531007906	1	1
RAB29	0.025395680730269526	0.07479597626405879	6	0	0.5081521286159575	1	1
RHOBTB1	2.8679425306196276e-4	0.09951466279955329	11	0	-0.5076270893191035	1	1
HRC	1.283924905430192e-87	1.3501042981348323e-31	6	3	0.5075165958567931	1	1
EPN2	0.04861931407928427	0.7442071338575074	5	0	-0.5063670476208635	1	1
MTMR11	0.04337735039045039	0.31165414471789343	5	0	-0.5026069369399472	1	0.5
CUNH19orf12	0.009614157908825527	0.7859122855644639	3	0	0.5025048169751147	1	1
SERPINB6	0.04337735039045039	0.08965268148030145	5	0	-0.5015037223128319	1	1
CNOT6L	0.003966595014527763	0	2	2	-0.5013775393170619	1	1
USP3	0.01017571376665532	1	10	0	-0.5012009891125433	1	0.8333333333333334
UBN1	0.022765018147224966	0.003850846637692866	3	1	-0.4984722804051892	1	1
HAX1	0.004966123179657499	0.0020684177004116283	3	1	-0.4980049288816087	1	1
LOC113254340	0.0374361368554392	1	9	0	0.49739883919766287	1	0.8333333333333334
PMM1	0.0391755447621595	1	8	0	-0.49718724766979183	1	1
CKMT2	6.917034921560582e-4	0.10043410560060499	5	0	0.496886526785998	1	1
ESR1	0.040093559933275597	0.06665616961652912	7	0	-0.4962343998535107	1	0.8333333333333334
SNX8	0.04821743492754846	0.19464693943962316	4	0	-0.49497246656840027	1	1
SIK3	0.004043982690527559	1	7	0	-0.4948876979881344	1	1
TACC2	1.3839128918191512e-4	1.8603668944683268e-5	10	1	0.49324222374459215	1	1
SENP5	1.761752604416756e-5	1.119025838779079e-4	6	2	-0.49087386011776535	1	1
CLCN4	2.4920452471900966e-4	1	7	0	0.4899796733050767	1	1
AQP7	1.229350803023971e-5	0.006196258004995391	10	1	-0.4896933212057843	1	1
ECI2	2.2814819007423223e-5	1.888214917779952e-4	4	2	0.4889654196957603	1	1
FGF2	0.02785176443765794	0	2	2	0.48891395863967274	1	1
SCN5A	0.011779137517635834	0	2	2	-0.48774654070823564	1	1
DBNDD2	0.0011771828922448994	0	2	2	-0.48762965647198797	1	1
EFTUD2	0.043349916859553896	0.024668306084849174	3	1	-0.4859727278558034	1	1
WDR12	8.304444677082253e-5	0.0024580796555075113	4	1	-0.4856797762729677	1	1
CCSER2	4.120640765567448e-8	1.6413409100139445e-7	10	1	-0.4845410926036387	1	1
RBBP6	1.183528673285808e-4	3.180720324190461e-6	3	1	0.48288154327230726	1	1
MASP1	8.742459639997134e-11	1.716800293939716e-5	8	2	-0.48228248204984014	1	1
CSDE1	1.8632090676279257e-10	0.20794735508630677	11	0	-0.48196976053791407	1	1
STAT3	0.04218602196943687	1	5	0	-0.4816918989216822	1	1
CEP112	9.375816779202932e-4	0.6574468516674885	7	0	-0.4812891087713972	1	0.8333333333333334
PSMD14	0.009998868184098422	0.007069915200034913	3	1	-0.4807321305594715	1	1
SEH1L	0.00697368535842858	0.00410755313157392	5	1	-0.479463913748158	1	1
PLRG1	0.03403252446382011	0.12461103182636608	3	0	-0.4788304105289716	1	1
USO1	3.9989484104747354e-8	2.5341442419001665e-4	8	2	-0.4785551224807212	1	1
PRKCD	0.028589451067567533	0.18050086832066106	3	0	0.4783366215853096	1	1
ZNF410	3.059076986037354e-5	0.008391206682381863	6	2	0.4781456211581453	1	1
TANGO2	0.0014859780126716246	1	11	0	-0.4770554849297992	1	1
DCAF6	3.1245759121813726e-6	0.40716142682417117	11	0	-0.47675131194419756	1	1
CSGALNACT2	0.043349916859553896	1	9	0	-0.4765686362452885	1	1
BECN1	6.569888302135564e-4	0.00285065744988914	10	1	-0.47566251545151805	1	1
PFKFB2	8.188884343137596e-4	0.10919832684532371	8	0	0.4721441091606536	1	1
FAT1	0.010736296237666096	0.003803747587563866	7	1	0.4716040345613942	1	1
FBXO31	0.007651807101413711	0	2	2	-0.47126392870146094	1	1
KIAA1217	0.028571149079471954	0.03529593869268586	4	1	0.4700827242635352	1	1
THAP6	0.0455942317946225	0.38432648135127706	7	0	-0.46993089702789803	1	1
CYTB	2.081750512309467e-27	2.9529013711610316e-11	3	1	0.46982373256043236	1	1
MTMR1	0.0404546163860659	1	5	0	0.4695498255278945	1	1
USP4	0.0016706283400021353	0.26064010829197526	10	0	-0.4687687452682203	1	1
TOPBP1	1.9495156560562626e-5	0.050058888455078554	6	0	-0.46851743440191185	1	1
THAP4	0.026185197341329673	0	2	2	-0.46763174648164785	1	1
ATL3	0.040818568983138806	0.35382576685569705	6	0	-0.4674269260298162	1	1
USHBP1	0.046600222046325114	0.5383393550566324	9	0	-0.466448819132889	1	0.8333333333333334
ZHX1	5.400926061870956e-5	4.8778698195184264e-5	5	1	-0.46622074531446117	1	1
GAB1	5.7935791252379325e-5	0.07666486325151262	6	0	0.46572939559206716	1	1
