gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Kidney_cortex-Gall Bladder)	pct_gene_expr	max_pct_tx_expr
LOC113246783	0.01833227390912944	0.0335367645016502	3	1	0.6644037242316178	1	1
ECD	0.03301798332749932	0.07838314456738828	7	0	0.6611153088268669	1	1
PRKCD	0.008353839491612157	0.0011778388703964312	3	2	-0.6606292393261481	1	1
MYO7A	0.042160358699527674	0.0025848711220596158	4	1	0.6606184964904529	1	0.75
TMEM159	0.04137925668969864	0.6846077156000921	6	0	0.6604202032637734	1	1
NINL	0.0010305403601415476	1.584029339760017e-4	6	1	0.658475974195591	1	1
REEP5	6.367448074713598e-10	2.129176136563094e-8	4	2	0.6561253263469191	1	1
LOC113243743	0.014828181744920432	1	6	0	-0.6561149108741211	1	0.75
ZCCHC7	0.0010021941768007419	0.0025294691791717602	4	1	0.6549146478052748	1	1
VPS33B	0.04349233246920186	1	6	0	0.6545914976978	1	0.75
LACTB2	0.0014798251104562994	0.3744829654115454	5	0	0.6542506852453223	1	1
HUNK	0.02560787748115947	1	4	0	0.6538980922367496	1	1
LOC113248767	0.017831286765170238	0.006601525450216148	4	1	0.6537789419460334	1	1
MFSD14A	0.013386074761397004	0.0010499950200252464	8	1	0.6491245534876594	1	1
LOC113245526	0.03919494291193792	0	2	2	-0.6488111386992371	1	1
CHKA	0.040349478928587534	0.027063855365457204	3	2	0.6475970148996418	1	1
LOC113259624	0.005689686414666348	0.0040626262049928375	7	1	-0.6475469665107838	1	0.75
CDIP1	0.017754404082054788	1	10	0	0.6459477925591883	1	1
SLC12A3	0.02187361508024168	0.037278134291359996	4	1	-0.6451512630775895	1	1
UBN2	0.019099386523735096	0.04768311290302508	3	1	0.644319281376994	1	1
OGFRL1	0.002671566724235692	5.457051005982904e-4	3	1	-0.6428660473622859	1	1
OXSR1	0.0035917909925988604	0.06919563122669191	6	0	-0.6428345588346747	1	1
EIF2AK3	0.0010460048747137445	0	2	2	-0.6423243547371043	1	1
BTLA	0.015377993214420332	1	4	0	0.6421072995350864	1	0.5
NUP107	0.008353839491612157	1	5	0	-0.6414334495350109	1	1
SLC6A6	0.005268515864476844	0.037663550473300444	6	1	0.6399871321835602	1	1
OTUD1	0.016000294957100803	0	2	2	-0.6399784183481656	1	1
AMMECR1L	0.011297839300276943	4.316486864511096e-4	5	1	0.6394270437259265	1	1
FECH	0.04252978960156007	0.07444317471157604	6	0	0.6373673503025135	1	1
CHD7	9.035527170249123e-4	7.215233932310833e-4	4	2	0.635987056578174	1	1
IFT140	2.292660441296568e-6	0.0010721008419414208	7	1	0.6351444680960832	1	1
MYO1E	0.020896778832851404	0.012947313018136673	3	1	-0.6348078754986513	1	1
SEMA4C	0.01624828189630474	0.034729578861210364	4	1	0.6341477800500502	1	0.75
RNF145	0.0014995372280195733	0.018185041156350466	5	1	0.634058688871923	1	1
SP3	3.5294657308941466e-4	0.258362231156019	4	0	0.6339607978646147	1	1
HOGA1	4.601561865917399e-12	0.0036654093574368988	8	2	0.6330354587935108	1	1
POMK	0.0014046153381871008	0.004813012647125685	7	1	0.6328916893484946	1	0.75
PROS1	0.04688782752496538	0.30528847137069937	4	0	0.632668191446025	1	1
DECR1	0.0028960316102818145	0.136999712622057	10	0	0.6324500230450105	1	0.75
ZNF786	0.016133908539574613	0	2	2	0.6318852258921284	1	1
HDAC8	0.009389285075531354	0.0027750355648475033	5	1	-0.6307530655684526	1	1
PRR14L	0.03828674120087186	0.3789157916158491	4	0	0.6295885343842405	1	1
AP5M1	1.5763645842327642e-4	1.9335200180169894e-4	5	2	0.6270816137643243	1	1
PI16	9.966732098940416e-4	0.00493914082663769	7	1	0.6269930209878941	1	1
LOC113268718	4.707653621780245e-5	0.009237902292898252	4	1	0.6266940590352955	1	1
MALL	0.021356160443838305	0.043867521061613006	5	1	0.6262518300448215	1	0.75
SYTL3	0.016504435224133696	0.0024098952647776967	3	1	0.6256028646622651	1	1
RUFY3	2.915622617484062e-10	5.520399267723341e-8	7	1	0.6237842103528368	1	1
PDCD11	0.04624247012454106	0.3100806310410066	6	0	0.6235842894672957	1	1
LAMA2	0.006702552820117749	3.21618363709268e-4	4	1	-0.6233108234841512	1	1
EIF2AK4	3.178796499587357e-5	2.0449360823661206e-5	4	1	0.6222673196039331	1	1
PGAM5	0.014387333115347789	0.44159117796787883	3	0	-0.6212973364347777	1	1
LDLRAD3	0.006635282845644676	0.003334202957952604	5	1	0.6192917066940984	1	1
FAH	0.021783061507190168	1.7943595850232667e-4	10	1	0.619084417371085	1	1
ZFYVE16	1.638123262939451e-10	1.8497581378699626e-9	4	1	0.6186083112801195	1	1
LOC113258763	0.005627175670735508	0.2659389002743711	6	0	0.6167244356173269	1	1
FBXL17	0.008593137090880743	5.720804289733622e-4	4	1	0.6166896502536435	1	1
EXTL3_LOC113269942	0.002662220964901348	0.15807430755960733	5	0	-0.61557475823357	1	1
CALCOCO2	7.341978316775315e-5	0.001716675892354169	4	2	0.614910016876952	1	1
IL1R1	9.16226189627779e-5	7.650540738427001e-6	8	2	0.6146530558015928	1	1
TMCC3	0.0060819493326062	0.04928413612296842	6	1	-0.6136499487812153	1	0.75
TRIP10	0.0020167256918632165	0.00735428316507108	8	1	0.6120966654467875	1	1
FAM210B	0.03201254922090655	0	2	2	-0.6105747533909254	1	1
LARS	0.013146006766433918	0.018788107552029826	8	1	0.6090777551996706	1	1
PRMT7	3.0299668848216377e-5	3.5319843787093296e-5	8	1	0.6057746755040935	1	1
CROCC	0.015509109469910395	0.007224652330750543	3	1	0.6054947986287665	1	1
UBE2F	0.039699173835318895	0.018984742060669878	3	1	0.6036493484543495	1	1
CNNM4	0.013675762673253272	0.01809991232527683	4	2	0.6024566265335722	1	1
FES	0.013572345663520006	0.48474728714358273	7	0	0.6013424212641196	1	1
NR1H4	0.025221165438077703	0.29106145785441234	9	0	0.6002943022298635	1	1
PAF1	0.019476771329815703	0.008582305472770961	6	2	0.5979770060489662	1	1
ZNF165	0.002269166425656987	1	3	0	-0.5968683107261362	1	1
TATDN1	0.011637495779523409	0.23978025160141536	12	0	0.595978037201929	1	0.75
NPL	0.01727349627016908	0.0010614783889664756	7	1	0.5951691684980408	1	1
HERPUD1	0.01698700440415065	0.0011803510174001582	10	1	0.5943087616884832	1	1
SGF29	4.711018018029978e-4	3.842180401124741e-4	7	1	0.5939706401585454	1	1
RCN1	0.0018310263646650628	0.001609473284232603	3	2	0.5936021028977513	1	1
DLC1	2.454318720941329e-4	0.0010836489814921538	7	2	0.5933284176333635	1	1
RFK	0.004524264602222711	2.6324275771171733e-4	5	1	0.5931964764290582	1	1
ALAS1	8.818185657312661e-4	0.0026276442775135366	8	1	0.5909781264925311	1	1
MOB2	0.004655611978090672	0.03247866833642665	5	1	0.588881165849036	1	1
ANXA4	4.904709018681347e-4	8.093275101388386e-4	8	1	0.5879245983112712	1	1
PINX1	0.03328788589987353	0	2	2	-0.5867492122689377	1	1
CRLS1	8.022699114044795e-4	0.07788691594965112	3	0	0.5850653824889019	1	1
UVSSA	0.01162085491195585	0.0010537339385343002	7	1	0.5838285993595199	1	1
GNL2	0.0034197846956972	0.002086138782875118	9	1	0.5810820207522327	1	1
IFRD1	0.01727349627016908	0.004174815586285053	5	1	0.581016955895557	1	1
ZBTB26	0.018574652748315854	1	3	0	-0.5805208723686005	1	1
USP9X	0.01643748075420249	0.018924280524176277	7	1	-0.5803740620061306	1	1
ACAD9	0.012555400465236894	0.07683401491332041	7	0	0.5788849730569653	1	1
KIF3A	8.517065560473756e-4	0.0034581307686648256	3	1	0.5773116928815508	1	1
ERO1A	0.0025981682401236177	1.7473679332809513e-4	4	1	0.5766192807783198	1	1
NHEJ1	0.012555400465236894	1	8	0	-0.5758698846691018	1	0.75
MED16	0.0010791220179731625	0.0018443060788490948	10	1	0.5752925874732747	1	1
ENO3	0.006899891495152155	0.031068858099465458	7	1	0.5745543036483626	1	0.75
LOC113247926	0.020253121257621166	1	3	0	0.5734925655442139	1	0.75
PAWR	8.841937959972164e-8	8.787435612894829e-8	4	2	-0.5733936005709518	1	1
ZNF782	0.002882511130564949	1	4	0	-0.5729480626701535	1	1
TLK2	0.011915771911353854	0.0010026504201508964	3	2	-0.572197962289237	1	1
BCAP29	0.0029574736452830327	0.11069947702071042	3	0	0.5721846710969752	1	1
LGALS8	5.752534813629166e-9	1	10	0	0.5719203730244377	1	1
GSN	1.3415388870152128e-6	8.696689681085636e-9	3	3	0.5702379605996686	1	1
ABCB10	0.040076968012974036	0.28869057015820593	5	0	0.5702231706968082	1	1
EP400	0.0018663430869103328	0.0026714261703283722	11	1	0.5701003281231863	1	1
LOC113261110_TMEM30A	0.010171701778732653	0.008027155251161404	3	1	0.5690110419384133	1	1
CUNH1orf167	0.008546584968636754	0.014261081930802689	5	1	0.568471594821905	1	1
RASAL2	0.0058594994345836406	0.0019684955404664856	4	1	0.5667166858925078	1	1
MRLN	1.4824576033366322e-4	1	7	0	-0.5616694572558734	1	1
SDC2	6.7453890814342e-4	4.5556568596524734e-4	3	1	0.5601275715498535	1	1
LOC113257856	0.027591825828669737	0.22020235294956075	3	0	-0.5595791474063548	1	1
ACSS3	0.007963655913456597	0.0022587792656351986	3	1	0.5594971246361911	1	1
BCL6	1.6174892841282478e-7	0.11381382924652984	6	0	0.5586596864610431	1	1
TFDP1	0.04631025808551315	0.06946433687911144	3	0	0.5572674843540244	1	1
STK38L	0.01299449299086799	0.4069079199361514	5	0	0.5564970056147456	1	0.75
BCR	8.818185657312661e-4	1.6275037301689946e-4	4	1	0.5560738029703818	1	1
LOC113255248	0.025372031833585818	1	3	0	0.5558003441949178	1	1
KYNU	0.00294145087582477	1	5	0	-0.5553920015519883	1	0.5
RELL1	0.01069411555538466	0.17756852617311755	6	0	0.5553145844040956	1	1
DZANK1	0.005627175670735508	0.26256545052026803	6	0	-0.5546045828607463	1	0.75
EGFLAM	0.001959056700375133	0.08698964808051828	4	0	0.5539016231361921	1	1
ANKRD12	2.3899838873974014e-5	3.7962890673575055e-5	4	2	0.5529665001480605	1	1
LOC113250780	0.028214722770283085	0.023364291906450053	4	1	0.5516621509283506	1	1
PPP2R5A	0.0056258420067471365	0.10949852801804101	5	0	0.5516130724864517	1	1
MGAT1	0.047484768179622855	0.032267052196207756	5	1	0.5511355239732909	1	1
SLC22A8	0.007817394164436645	0.5304157893905013	9	0	0.5498675778739001	1	0.75
SPAG16	0.04319902682634443	1	6	0	-0.5496585891697818	1	1
HIVEP3	0.01433461037734626	1	4	0	0.5496132576413962	1	1
ITGB6	0.01572980207120936	1	9	0	-0.5492382371468936	1	1
HSD17B14	3.0647541571365595e-4	0.026473736879252443	6	2	0.5490271549141152	1	1
PCSK5	0.04154328663526902	1	3	0	0.5480182718175151	1	1
XRN2	0.0490654543798909	0.22687010333836033	6	0	0.547330083954181	1	0.75
CREBZF	3.272400553500549e-4	1.9480935884843276e-4	5	2	-0.5467472050762714	1	1
GATAD2B	0.0257936605825225	0.004822222425162614	5	1	0.5463556341509482	1	1
ZBTB41	0.003323577602211606	0.014534767835282292	3	2	0.5459183967737025	1	1
MFHAS1	0.00576558757435659	9.612184757182815e-4	5	2	0.5456854927634426	1	1
CUNH20orf194	6.238362979784267e-4	0	2	2	0.5453339809021966	1	1
SPRED2	0.012507043236302149	0.0014504836941305697	3	1	0.5450174188640419	1	1
SLC26A6	0.030810051230368042	1	6	0	0.5449514135254404	1	1
STX10	9.800012763146997e-4	0.006970212021857507	5	1	0.5445410397264734	1	1
DTWD1	0.035844305017026096	0.24432304825014756	7	0	0.5437794503785288	1	1
DRG1	0.011844280797289662	2.0355381157653398e-4	6	1	0.5435511556781301	1	1
PKN2	0.033091676950647485	0.010786172995672699	3	2	0.5433059048963287	1	1
PPARGC1A	0.0026079214489595896	1.2638389085362775e-4	3	2	0.5423494615198174	1	1
TEN1	0.026688789642480212	0.6480581101075336	4	0	0.5422968064962189	1	1
PYGB	2.454318720941329e-4	4.4311553982378355e-4	4	2	0.5419845633959663	1	1
RHEB	1.557555141625988e-5	2.1017155267950566e-7	5	2	0.5413021111021609	1	1
THAP4	0.02577749886989912	0	2	2	-0.5402407184579668	1	1
CS	0.048956996170854625	0.16509197907490328	8	0	0.5393746582392314	1	1
CPT1A	0.029744626672567387	0.23740851341754984	6	0	0.5390570826173152	1	1
IQSEC1	9.78738309968346e-4	1.6908348189020905e-4	8	1	0.5389989036134845	1	1
CACNA1D	0.009879731896451078	0.0083865763731958	3	2	0.5388437441418752	1	1
IRF1	0.028400796828398623	0.03441436393196199	8	1	0.5354277157827552	1	1
ITFG1	3.8569043815700206e-4	4.7797212912771164e-5	4	1	0.5353636474715316	1	1
ABHD10	0.001248108160931285	1	4	0	-0.5350777266733199	1	1
TLE1	0.00954803047644897	2.982547337679163e-4	4	1	-0.5336461248423179	1	1
IGSF5	0.02807091559194947	0.016194099036093885	4	1	-0.5315670875715046	1	1
FRMD1	0.009341218933181667	0.015849878363543023	6	1	0.5311853731647583	1	1
SBF2	0.017601409868668507	1	5	0	0.5310718701033756	1	1
IDO2	0.009581874619245192	0.006706253866008587	3	2	-0.5308644277775373	1	1
SHPRH	0.035026769622387745	0.03588839580886489	7	1	0.5305703823879417	1	1
VPS8	7.548604183657207e-4	0.21526169802754078	11	0	0.5297602322217275	1	0.75
ALDH3A2	6.27146984368922e-6	1.2623557591433896e-5	15	1	0.5293318999297398	1	1
NMRK1	0.018522737244419135	0.005515929434788634	5	1	0.5293174200804462	1	1
CAMKK2	0.011397514033156529	0.10371470432990154	10	0	0.5284651427057006	1	1
RNF168	0.011984489226651235	1	5	0	0.5281579288521325	1	0.75
NR3C2	0.01733754813550507	0.0021021357293534767	4	1	-0.5279271101492392	1	1
RUFY2	0.04964367003545339	1	10	0	0.5272114183355577	1	0.75
HNRNPH1	2.6429425812235576e-11	5.478223289728143e-8	10	2	0.5269339314620507	1	1
OPLAH	0.01238671626930238	0.048531465210173756	5	1	0.5256632855750356	1	1
PCGF2	0.03067827932344764	1	7	0	0.525075700120743	1	1
LPIN1	0.0060819493326062	1	7	0	-0.5248050928536427	1	1
DAB2	1.5423431849110289e-10	0.07779126764350702	6	0	0.5244708982379649	1	1
TMEM168	0.03079499356118639	0.021253740157381178	5	1	0.5241241854358497	1	1
GTF3C3	0.020070838935517872	0.013565887483904698	4	1	0.52322480682336	1	1
LOC113265816	0.02962026104432785	0	2	2	-0.5225722874235914	1	1
HIBCH	7.339300613175989e-4	0.021701541577519818	8	1	0.5222265481849662	1	1
CSF1R	0.005557196183643252	0.10864830549267762	8	0	0.520339537174605	1	1
DNAJC14	0.013801935909758393	0.012618948807004059	4	1	0.5197698191625186	1	1
ZNF286A	0.04137925668969864	0.026344355450180157	4	1	-0.5181563761238918	1	1
ATP2A3	0.03039340874316914	0.1636161871986749	4	0	0.5176180540148009	1	1
UBE2V2	0.002090984951921019	5.761327859187178e-4	3	2	0.5173937128887937	1	1
PITPNB	0.01433461037734626	0.051622962204865716	4	0	0.5171537052918163	1	1
KIAA0232	6.466307378901479e-4	5.319432507561855e-7	8	1	0.5166899887100457	1	1
SDCBP	9.548174579587048e-11	0.043164461660955146	7	1	0.5166689609295375	1	1
OGT	0.004790168762618233	0.0016287309535426742	5	1	0.5160851788475833	1	1
DCAF4	0.04948292837121306	0.5634593132347832	10	0	0.5160757698877596	1	1
CUNH11orf54	0.040586071337799665	1	8	0	0.5159878521556267	1	1
NOX4	1.9402995652062995e-5	4.2091376114480765e-7	7	2	-0.5156440349883928	1	1
KCNK5	3.397568272977704e-5	1.0836693537773558e-6	4	1	0.5154923866452429	1	1
GGT7	0.011537896086480624	1	4	0	0.5151418830520268	1	1
LRRCC1	0.020858207067115317	0.17036456253259208	5	0	-0.5139801083357305	1	1
CDK14	0.0012613565824262907	0.5164767429619059	7	0	0.5122799215497362	1	1
STARD3	0.03942963813266397	0.22473665363443782	5	0	0.5116620294809137	1	1
PDLIM5	0.012418324346358308	0.04758241932939085	10	1	0.511234698475568	1	1
DHX32	0.010600889617543073	0.9497133829105437	4	0	0.5096811387387261	1	1
PANK1	0.03822008782748683	1	4	0	0.5088463054655782	1	1
FPGT	0.025151942656365597	1	4	0	0.5077818625654245	1	1
PKP2	0.04081403881950283	1	3	0	-0.5076788410485722	1	1
CBFA2T2	0.04319902682634443	0.027878603748401343	6	1	0.5064993656355127	1	1
DDB1	8.925084729589467e-4	0.0017461906389912509	5	2	0.504763156063892	1	1
ACSL4	0.002384313925839862	1	9	0	0.5043616145777642	1	1
DUSP19	3.298955172067464e-4	0.014109232083709395	3	1	0.5040352766064156	1	1
LOC113244018	5.020318378989187e-4	7.488968983428476e-4	3	2	0.5019362905727169	1	1
PPARA	0.0013404365416593692	0.0010482453643852001	6	2	0.5008652516991315	1	1
DMAP1	0.0055676689779461715	0.0075335684260592	3	1	0.5008021286113177	1	1
ARHGAP1	0.032897705118868505	1	7	0	0.49885432813000974	1	1
SYDE2	0.027529275408429955	0	2	2	-0.49868874449043155	1	1
WWOX	0.016724770909450598	1	7	0	-0.49850404302604645	1	1
PPCDC	0.01665753220076416	1	5	0	-0.49808649853871995	1	0.75
SIRT5	1.6240231281532122e-4	0.018634139357631214	7	1	0.4976594191303194	1	1
MORC4	0.04777688532302549	0.19678873662411994	3	0	-0.49714778073792854	1	1
CARMIL1	0.013099791996949604	1	5	0	-0.49682798748795004	1	0.75
BAG1	0.007814598332690176	0	2	2	-0.4962775551351132	1	1
STAU1	0.017575802453148246	0.1110380321330689	15	0	0.49550187413997593	1	1
LOC113250565	0.007037880224555328	8.124639475668308e-4	3	1	-0.4951945614365276	1	1
SAT1	6.0620843715119375e-6	4.7042848173340046e-4	7	1	0.4944924573746763	1	1
SHC2	0.04137925668969864	0.04287485247415816	3	1	0.4937597125878139	1	1
TXNL1	0.014233669892743708	0.012388871490465607	6	1	0.493615074141232	1	1
SCFD1	4.063636624552258e-5	1	9	0	0.4927848630539883	1	1
WDR37	0.002277858625794229	0.06864231427322989	8	0	0.49240139154218043	1	0.75
ATXN2L	0.033559058927916635	0.8575170689296372	10	0	0.4922110217763633	1	1
PURA	6.193500219557748e-5	3.851323784625777e-6	7	1	0.49130144518567936	1	1
RBL1	0.012624993694926003	0.03046712863632018	4	1	0.4910465903265249	1	1
RNF138	0.002345315925220031	1	8	0	0.4910168922706768	1	1
OSBPL5	0.007458487887935863	0.49497603496544285	5	0	0.4909865451067718	1	1
DMGDH	0.0043191148936808504	0.10015359577365444	9	0	-0.4905137960478306	1	0.75
ZBTB24	0.012172808674547557	0.4883873353103979	4	0	0.4904515979039905	1	1
JAK2	0.0014932834957511712	0.014421666660251815	5	2	0.49032143371460774	1	1
SBNO2	0.013781867643736515	0.0054624997089648165	3	2	0.4900493803661264	1	1
