gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Muscle-Small Intestine)	pct_gene_expr	max_pct_tx_expr
CDK5RAP1	0.015892778144878453	0.017796306114491497	7	1	0.7460660950855021	1	1
FRMD3	2.744083816128346e-7	1.3088661124373683e-8	3	2	-0.7450352024593233	1	1
PDE4D	4.4568215320197674e-18	9.129522139676872e-15	7	1	-0.7448780979876588	1	1
PHF23	0.041424299911157446	0	2	2	0.7439206926218493	1	0.75
CUNH10orf88	0.043571647315149536	0.14573176346245265	3	0	0.7414322194997596	1	0.75
LIAS	0.027086603444625216	0.07187758713892996	6	0	0.7342528408324998	1	0.75
FAM49B	0.0323901963263587	0.0818607284642977	6	0	0.7338242836890365	1	1
TEX10	8.476690147335883e-4	7.511492858934591e-4	8	1	0.7315260645064396	1	0.75
novelGene_LOC113253698_AS	0.004103574879703544	2.598750100091119e-4	4	2	-0.7313482173951539	1	1
TMEM268	6.064443265823725e-5	1.9878984892651116e-5	4	2	0.7260317648408448	1	1
KHK	0.005960196398649868	0.015714735961311347	7	1	0.7258348951054892	1	0.75
LOC113270472	4.3890488242455053e-4	5.236155220655767e-4	4	2	0.7218854586439738	1	1
ATG16L1_SAG	0.003449311039383765	0.016562359315062725	7	1	0.7206174791027102	1	1
ANGPT1	0.024886770058364985	0.036116251490756916	3	1	0.7122985050929913	1	0.75
PKM	5.062565191419841e-4	1.930457477684599e-5	7	1	0.7109308536734117	1	1
RIN2	5.3120768897689055e-5	0.049143656107626554	8	1	0.7107033329247257	1	1
CHD1L	8.292881692643934e-4	1	8	0	0.7098729236177915	1	0.75
SIRPA	0.005702590170975416	0.3002294453797177	5	0	-0.7074435442616414	1	1
IMPDH2	2.0025783367433845e-16	0	2	2	-0.7060413502871908	1	1
CA3	9.485542084277074e-4	0.0013823309631674902	4	1	-0.7042975480898687	0.75	0.75
ELN	0.0016918958475267989	1	6	0	0.70278801057014	1	1
FAM117B	0.03368295909902975	0.04255124092873685	3	1	-0.6992306098114142	1	1
PDHX	6.354754766243287e-7	4.5125892506574654e-8	10	1	0.6970340136255165	1	1
STRN4	0.03066006298954663	0.008312408284341826	3	1	0.6959171405114819	1	1
SEPT9	1.3861057784407106e-6	2.3656253386703985e-5	6	2	0.6957421307338438	1	1
CTTN	9.147360591847641e-4	0.18154029317434386	7	0	0.6942040893296514	1	1
FILIP1L_LOC113250506	0.001353704552399513	0.005332172076767462	5	1	-0.6888929126995836	1	1
DNMBP	3.217210501494766e-5	5.281287500438812e-6	3	2	0.6874454586106512	1	1
CASQ1	1.5847724829212607e-5	2.2081373170525502e-7	4	2	-0.6873898508799487	1	1
LOC113257633	7.898957991420032e-5	0.0011181737228757504	3	1	-0.6871218424030315	1	1
PHRF1	0.01723334654569481	0.3785704350381029	4	0	0.6859848526993039	1	1
PFKFB1	0.0026734885354170934	1	7	0	-0.6856780917047307	1	1
EXPH5	0.024959804743159397	0.018997582268709335	6	1	0.6839975246902499	1	1
LRRFIP1	4.4913616954583804e-5	1.4181360103097359e-5	9	2	0.683526881360048	1	1
ABHD6	0.02920793360696733	1	3	0	0.682675661588483	1	0.75
TRAK1	8.590498384335282e-6	1.5783133831353675e-7	10	1	0.679018925791417	1	1
RAB33B	0.007965979999504174	0.03419398265454858	4	1	0.6749998097317662	1	1
LTBP3	4.62207654837655e-4	0.0019310807301626666	3	1	-0.673288138642838	1	1
CACNA1S	1.5059364596092147e-4	1.0193748281234814e-6	9	1	-0.6723213231990356	1	0.75
ESR1	0.026046918814765455	0.11354847552548158	6	0	-0.6654857336335104	1	0.75
RNF2	0.00524746651820705	0.0026622693612611283	5	1	0.6620505253359932	1	1
LZTS1	0.0059481402468201305	1	4	0	0.6570448257225141	1	0.75
CBLB	0.00524746651820705	0.025054020187009987	8	1	0.6562222653906872	1	0.75
HDAC5	0.0031450798714536513	0.09461163355433798	4	0	0.6453024028108113	1	1
ZNF382	0.01240630158304124	1	10	0	0.6452250921565822	1	0.75
KREMEN1	6.456877209999925e-4	3.973505892922024e-4	3	2	0.6449314684350635	1	1
TRIM2	0.0246594287495018	0.06371173303539521	3	0	0.6426870625623036	1	1
CPEB3	0.02155796559583072	0.28665995556829676	5	0	0.6408677139976289	1	1
QKI	6.08013712714342e-14	2.586021448553031e-10	6	2	-0.6408493676321767	1	1
ASL	0.0027281755330333265	1	8	0	0.6403475132463795	1	0.75
IGSF3	0.01837184774848326	0.017435111393285636	3	2	0.6363901280682256	1	1
COG8	0.04709714849426097	0	2	2	0.6341353768026629	1	1
ARHGAP29	0.018755537441994208	0.06518775681228405	9	0	0.6290656965331153	1	1
LOC113246854	0.03511926546695007	0.15462136976076438	9	0	0.6285831235703333	1	0.75
LOC113249271	0.004411935692277044	1	5	0	0.6272255843559296	1	1
SLC45A3	0.02441145837554444	0.11765027697275397	6	0	-0.6271351812283059	1	0.75
LOC113248645	0.0019318464926838402	1	8	0	0.6270695572475716	1	1
EHBP1	4.538035422257402e-5	0.044743157964053516	9	1	0.6270193237546973	1	1
TMEM136	0.012261722185688242	0.029666583738489932	5	1	-0.6268210868711304	1	0.75
UNKL	0.03248630102979982	1	5	0	0.6239349319165866	1	0.75
ACVR1	0.014218260898692534	1	7	0	0.6226995287149696	1	0.75
PARP14	0.001127594061271304	0.8309029069878107	3	0	-0.6206985962813255	1	1
HMGN3	0.005475878969856047	4.1797858227903337e-4	6	1	0.6206796220881501	1	1
TNKS1BP1	2.0590036882175994e-7	1.3112172134533832e-6	3	3	0.6200705513982143	1	1
DCUN1D3	0.02155796559583072	1	5	0	0.6188827891805259	1	0.75
TPD52L2	0.04319435392379771	1	9	0	-0.6188526496858082	1	1
CCDC117	0.0373458608579508	0	2	2	0.6180394204980538	1	1
LOC113258953	5.029223234873717e-6	9.894023004502175e-6	4	2	-0.6153483993623959	1	1
GLMN	0.006416037626585267	1	10	0	0.6147374956965237	1	1
CUNH19orf12	0.008127344994364181	0.4994745808916947	4	0	0.6144753743521307	1	1
ACSL5	0.03026261411940886	0.10469074263055064	6	0	0.6140667853386206	1	0.75
KLHL34	0.006938639529969024	1	3	0	-0.6120749158306668	1	1
RAPGEF5	0.0036538926303269223	0.038028177447516055	4	1	0.6116506708841327	1	1
GAB1	0.0017021296520807817	1	6	0	0.6112549683590137	1	0.75
LOC113247193	0.03153240658912123	0.8824443739783554	3	0	0.6109652891461279	1	1
TNIK	0.006359800658586434	0.7779263396811226	7	0	-0.6100062824026838	1	1
CSTF3	0.022805973869498206	0.1035736754561596	6	0	0.6084524363278233	1	1
SEH1L	0.004709357123638679	0.004621766044209659	5	1	0.6080037881943592	1	1
FLNC	0.024770650666942194	0.03500886136470077	5	1	-0.605961537898235	1	1
CLIC5	1.1260481963484892e-7	0.010112509889709497	6	1	-0.6058757887737756	1	1
SLC7A8	0.012465699787557235	0.003045999153314188	3	1	0.605503365596022	1	1
ABI1	3.908491719589414e-5	1	10	0	0.600828491353929	1	0.75
LETMD1	0.011819691793964086	1	7	0	0.599823178382785	1	1
GORASP1	6.48803079816903e-5	1.7929792677586886e-6	6	1	0.5987223058926705	1	1
LCP1	0.02793841454471888	1	6	0	0.5974418727651053	1	0.75
AKAP6	6.754377582712155e-8	2.5106537628856344e-5	5	1	-0.5959884701762057	1	1
WDR90	0.03416982703376294	1	10	0	0.5957146648246561	1	0.5
NOP2	0.004709357123638679	0.0038339294824853297	8	1	0.594887970892005	1	1
PHKG2	0.02155796559583072	1	11	0	0.591208221392178	1	0.75
MEGF10	0.028402709148292883	0.04163253287426708	4	1	-0.5909533224174374	1	1
SENP6	3.0082315337603868e-6	0.0010442092815133933	9	1	0.5893184568015213	1	1
YES1	0.0059481402468201305	0.10304603138512192	5	0	0.5859277008048198	1	1
SUMF1	3.7543852403782265e-4	0.0032046787281767414	3	1	-0.5852602979645393	1	1
ENO1	4.3630511465587514e-5	0.002937193617560328	3	1	0.584566414138572	1	1
CASP8AP2	4.1502960153408543e-4	2.6892750729564468e-5	6	2	0.5842648639723326	1	1
AHCYL2	3.1648002553950125e-7	5.436471916109141e-6	4	2	-0.5833414841800656	1	1
DIP2C	4.73087011655864e-5	0.0010794263140821102	4	2	0.5823644674310458	1	1
RNF115	8.07105783240056e-5	4.078041864678426e-4	5	2	0.581396322197156	1	1
WDR7	0.007392293622774503	0	2	2	0.5789315323626221	1	1
CMYA5	0.015892778144878453	0.06195734263618863	6	0	0.5780426764853014	1	1
MAP3K20	3.9345921688176295e-18	2.7864006038051186e-17	4	2	-0.5755512608099069	1	1
CERS5	0.004381386588463932	1	9	0	0.5754416466721767	1	1
PATL1	6.501264136154539e-6	1	10	0	0.574582444274317	1	1
AMIGO1	6.323999158920046e-5	7.130337366319592e-4	3	1	0.5730911253881397	1	1
FTO	0.005386260280455599	0.006621123498329678	8	1	0.5728906271901535	1	1
MYBPC1	9.960232154363055e-9	1.1484459614468935e-4	13	1	-0.5723794203754273	1	1
CAMK2D	2.1267977604084304e-4	4.591887819868717e-4	6	1	0.5703428364403706	1	1
SUGP2	0.03286226206186152	1	7	0	0.5693376663113614	1	1
CAPN3	0.010652082128551893	1	5	0	0.5668964494777542	1	0.75
BCAP29	0.03989386848887151	0.012423048732548155	3	1	0.5667306592506773	1	1
PLXNC1	0.01724107719880483	0.19890762681303134	4	0	-0.5661573471603314	1	1
LOC113243743	0.0495820706068865	0.629003644040382	6	0	0.5625430093922951	1	1
ZNF184	0.02999991644313971	0.9334256470278625	9	0	0.5591476803691194	1	0.75
CD44	6.751106790149331e-4	0.0020843830539003347	6	1	0.5588425293178181	1	1
FXYD6	0.02155796559583072	0.29596917381143023	5	0	-0.5576815942528518	1	1
GNL2	0.001095671563681482	0.031693983348302944	6	1	0.5538168503840087	1	1
LOC113255603	6.693451098186484e-4	5.947260931176148e-4	3	1	0.5537115817387838	1	1
LOC113244957	0.03723703009649276	0.03688400329611392	3	1	0.5533808296257993	1	1
FSD1L	1.043724150222483e-13	6.221515116727819e-10	5	3	0.5532831742131804	1	1
TMEM117	0.004411935692277044	0.004186478500692082	4	1	-0.5529352906052664	1	1
LOC113244018	7.421999327767932e-7	3.675400705829184e-6	3	2	-0.5520432053275711	1	1
FGFR1	0.043571647315149536	1	8	0	0.5514277188787606	1	1
HERC3	0.028560344331659385	0.20469451873217884	12	0	0.5502544178393272	1	1
RAB28	2.225603693769068e-7	3.505509495104884e-4	6	1	-0.5467320345418194	1	1
ARFGAP2	8.07105783240056e-5	4.0756221075963736e-5	10	1	0.544008228178345	1	1
MRLN	0.005475878969856047	0.04527685489003359	10	1	-0.541681826480327	1	1
PARL	0.03281614573742025	0.02377442338749963	6	1	0.5387955407458064	1	1
MTSS1	0.03281614573742025	0.4322106913636934	10	0	0.5386973173135309	1	1
SYNPO2	6.354636948580239e-46	5.0354960162135076e-17	12	3	-0.5384772679964477	1	1
DHX8	0.02582258687340943	1	5	0	0.5377338106925409	1	1
LPIN1	4.892902538512927e-4	0.012641858237584043	7	1	0.5375157859638704	1	1
GNE	9.703054870812606e-4	0.11007683361831305	14	0	0.5369648945700803	1	1
PEX26	0.00524746651820705	0.12281277799395829	9	0	0.5321429235579344	1	1
LOC113255141_ATP6AP1L	0.009117502176424784	1	11	0	0.5312703891761179	1	0.75
LOC113253409	0.024114937985234952	0.024800682076942526	4	1	-0.5307449103737049	1	1
DCAF7	0.0037330754753559995	2.4109281836576194e-4	3	2	0.5300114002623262	1	1
PTPN3	2.7941818860069245e-6	0.01261734659966993	12	1	-0.5293978128211599	1	1
SMARCB1	0.049274051028724314	0.09930008406409661	3	0	0.52843534169378	1	1
MME	3.82568735867175e-4	7.3290514084149375e-6	8	1	-0.5279833898942865	1	1
TELO2	0.0057145058309242755	0.033293453229067585	5	1	0.5271282355955965	1	1
CYTIP	0.016790298298783462	0.6492503775566556	9	0	-0.5266204207425971	1	0.75
MOB2	0.038299431339224636	0.6883019646277394	5	0	0.5260818588256155	1	1
ZNF365	0.0246594287495018	0.335660983783101	4	0	0.525737500692786	1	1
ALDH18A1	1.9382100103420387e-5	0.1773662977338942	4	0	-0.5251780808432754	1	1
MAFK	0.003033953759048541	0.006741257563045045	6	1	0.5251613570280057	1	1
OSTM1	8.930279793790233e-4	0.7166976857065815	5	0	-0.5246965273976925	1	0.75
CTDP1	0.04399119922081884	0.0590109691887185	4	0	0.5222923844303976	1	1
ERBIN	0.004149071511645322	1	7	0	0.5204333086621402	1	1
TBC1D4	0.001353704552399513	0.20918677996075652	6	0	0.5198431912671294	1	1
LOC113263747	0.03281614573742025	0	2	2	-0.5184243065582184	1	1
STK38L	0.0344765689551009	0.23258446630411336	5	0	0.5183419274471602	1	1
TXNL1	1.159098650653672e-6	0.003251569990569883	5	2	-0.5177284856567148	1	1
OSBPL6	6.343661361616618e-9	0.056145839701226524	7	0	-0.5161506974321094	1	0.75
SCAMP4	0.019690145720677288	0.7308914622319882	6	0	0.5149561891029591	1	1
FBXO42	0.008127344994364181	0.15511228824490844	4	0	0.5129360203190962	1	1
FBXO34	0.045615410343651616	1	6	0	0.5128479069209109	1	1
ACAP3	0.017852441286169224	1	3	0	0.5123016357354302	1	1
CAPN1	4.546231888726213e-4	0	2	2	-0.5122450682199724	1	1
LOC113247645	4.61259206519207e-25	3.9869623748023615e-17	8	3	0.5119004832423473	1	1
FAM76A	0.03295280603022831	0.4363915740796511	5	0	0.5114005901057109	1	1
ACTN2	4.4294324709929437e-4	0.03513051545393691	7	1	-0.5093619824286598	1	1
LOC113245998	2.1593777063549913e-4	0.29760951133530317	9	0	-0.5069455801159028	1	1
ZDHHC6	0.0103892334409188	0.47310859461454824	8	0	0.5059319933699614	1	1
FAM53C	0.0435592397750192	0.008099177534418515	4	1	0.5038059766487525	1	1
R3HCC1L	4.892902538512927e-4	0.04523539521921877	10	1	0.5035256667651444	1	1
TAB2	0.002241431905842796	8.459040579289669e-4	5	1	0.5018394617295322	1	1
WIPF1	0.001095671563681482	0.4245359303519239	6	0	0.5012230249552314	1	1
KYAT1	0.0246594287495018	0.03650057999050582	11	1	0.49921487914535156	1	1
DHRS3	4.8401632742273116e-4	0.1246047242656991	7	0	-0.49811057677817105	1	1
PIH1D1	0.02406711334809701	0.2684617414467883	8	0	-0.49497609144366844	1	1
TNS1	0.00972725654430956	0.02789387027729535	9	1	0.49467539401397626	1	1
MAST2	1.5847724829212607e-5	0.0016422337976130024	6	2	0.4945809232389117	1	1
CPT1A	0.04630634550289969	0.4330704892933045	6	0	-0.4941748389504509	1	1
SNX8	0.01834075572572479	0.25998781423518863	4	0	-0.4932655529641149	1	1
DUSP22	0.0425246461445191	1	6	0	0.4926092994850776	1	1
AQP7	0.04977348826723983	1	10	0	0.4920819188586462	1	1
RGS6	0.025749631741094462	0.9307230668029695	11	0	0.48873097282711436	1	0.75
APP	7.677066924893554e-7	0.006841732838617198	7	1	0.4882722606170738	1	1
PPFIBP2	0.013706472857814648	0.16084204027319915	12	0	0.4879603576640711	1	1
PSAP	3.0262541842973695e-14	2.258722016747585e-16	3	2	-0.4866378659844878	1	1
RNF31	4.3630511465587514e-5	0.0579472577373901	8	0	-0.4851930940740858	1	1
TMCC2	0.03313731445787306	1	3	0	0.48448547718601276	1	1
MINDY2	0.005620501366452483	0.7244952616941399	4	0	-0.48280579466208595	1	1
NKAPD1	0.001032345719415071	0.20255301413197255	5	0	0.481706458440964	1	1
CRAT	1.4130325756928057e-17	2.326193701283981e-15	4	2	0.48128377170848546	1	1
SUPT5H	0.02793841454471888	0.01661679180551281	4	1	-0.48110580173491707	1	1
OAZ1	8.13199556616381e-5	4.35860180216073e-6	3	2	-0.4806046797634324	1	1
LOC113254378	6.277132819450392e-4	0.0015272356892979072	8	1	0.48054899274598994	1	1
SCHIP1	4.06878234150862e-5	2.0371628533409056e-4	6	2	-0.480116590867026	1	1
VGLL4	0.03357005403595128	1	6	0	0.47952495108205595	1	1
GOT1	0.03061205889332729	1	6	0	0.47883392370114325	1	1
GPD2	0.03368295909902975	1	7	0	-0.4784628405937441	1	1
CAMK2G	0.003511452394931625	2.3636524798000967e-5	6	1	0.4754902387720178	1	1
IRAK1	0.030560390755767778	0.003653085834812894	3	1	0.4753050586173444	1	1
GOLGA2	5.585829237203959e-5	0.4308277418576583	4	0	-0.47521349746726316	1	1
DAGLB	0.03136584454734774	1	8	0	0.47280353861888547	1	1
PNPLA6	0.03509000742952734	1	11	0	0.4707431857123008	1	1
GHR	3.146655521022815e-13	6.312161927951551e-6	12	1	0.47062559871063925	1	1
TNRC6B	0.0025960539990967832	0.08327814458791016	3	0	0.46976125180055295	1	1
USP40	0.03913267244872972	0.34908380027996655	6	0	0.469673090209942	1	1
PEX5	0.013899580633080187	1	10	0	-0.4691680493017153	1	1
NFKBIB	0.04008599055926662	1	3	0	0.46692295959099095	1	1
LOC113257917	0.026573661972376615	1	10	0	0.46646809597130395	1	0.75
LPL	0.019101148471713417	0.026141550919645422	4	1	0.46608220422983354	1	1
SCRN3	0.03313731445787306	0.14315239494331036	5	0	-0.4660727253470898	1	1
AMPD2	0.026558025566774387	0.11283074492685748	12	0	0.4657723092171535	1	1
SCN4B	0.005981490420150406	0	2	2	0.46509789807100366	1	1
LOC113271214	4.667960418137615e-6	1	12	0	0.462346061520284	1	1
LOC113260612	0.01240630158304124	1	6	0	-0.46080145392707134	1	1
ABLIM2	0.0026657578173210367	0.10636449916179282	10	0	-0.4599659544098297	1	0.75
MINDY3	0.03295814646411267	0.48236031930577855	10	0	0.4596286348236217	1	1
MGAT5	0.02155796559583072	0.14646149295358452	7	0	0.4594406674933743	1	1
STOX2	0.007785548242682162	1	4	0	0.45920827878325227	1	1
KIAA0513	0.002448555851675177	0.02904876713118321	4	1	0.45897784286231724	1	1
HBS1L	0.010871419815962749	1	7	0	0.4587152812688069	1	1
COBL	1.3438744070563214e-5	1	10	0	0.4583050034761717	1	0.75
LOC113248376	2.770570311186162e-5	0.004597883889479618	8	1	0.45803168754808404	1	1
B4GALT7	0.002873420266124249	0.29844319254276297	5	0	-0.456334166431448	1	1
RNF152	0.0037870865726926956	1	6	0	0.4562134194530077	1	1
RORC	0.038401968064883	0.05455710149478199	8	0	0.45573610521271324	1	1
TFCP2	2.226763598961742e-4	1	7	0	-0.45340210213129495	1	1
TRUB2	0.03881317407662981	1	5	0	0.45314673279182083	1	1
DLG2	0.027040525518914674	0.8191706638662045	5	0	0.45308459525974887	1	0.75
DDX31	0.04487309553776437	1	4	0	-0.45185233490946725	1	1
GRB2	0.014308345547024145	0	2	2	-0.45012258470863553	1	1
RC3H2	0.030560390755767778	0.026586606747993416	3	1	0.44800205904234836	1	1
CCT8	5.895448662869916e-4	0.02947122999898127	6	1	0.4459886390079293	1	1
ADIPOR2	0.0029770157869881972	1	12	0	0.44581735670590034	1	1
MTF2	0.0062580949766868725	0.005563197401919208	3	1	-0.44541611685744004	1	1
LOC113248372	0.007067438920061398	0.3376502819769475	6	0	0.4439313806332782	1	1
MORF4L2	0.004411935692277044	0.00785570308661171	4	1	0.44387724717288024	1	1
LACTB2	4.892902538512927e-4	0.02456519538210744	5	1	0.4432843404040321	1	1
DYRK1B	7.396172885620716e-5	1	5	0	0.44153053337028936	1	1
TSN	5.901596077816282e-4	0.004906486756371344	4	2	0.43870260505329245	1	1
NAA35	0.04225992697918053	0.1000212236386657	5	0	-0.4378652622033952	1	1
FAF1	0.023611457202377072	0.05144703192931226	6	0	0.43777382209144666	1	1
MADD	0.03723703009649276	1	11	0	0.4373329752099599	1	0.75
SRSF2	0.024844146285672917	0.001271642763495552	4	1	0.43671325900134544	1	1
DCTN2	0.006541694641763609	7.537543245550292e-4	4	2	0.4365225721335131	1	1
MAPK6	0.0059481402468201305	1	8	0	0.4359190715007704	1	1
USP28	0.03398381554544841	1	8	0	-0.43501520554103246	1	1
AFAP1	7.996674530158215e-4	1	5	0	0.43477877835122064	1	1
UPF2	0.011819691793964086	1	6	0	0.43316534308973903	1	1
LVRN	0.049868931762048575	1	5	0	0.4326701351699609	1	1
NCEH1	0.04267848423272406	0.019252968771203492	3	1	0.4311631445938959	1	1
EEF2K	0.0014586697167084234	0.039209626432543936	7	1	0.4304194031508191	1	1
AASDH	0.016677604783403577	1	9	0	0.4301046800022145	1	1
SEPT8	0.0031491349033748043	1	7	0	-0.4297642459385804	1	1
KLC1	1.562364609242339e-4	3.4376487882584285e-5	13	1	0.4295084991368101	1	1
LDB3	0.004177104997996616	0.08521754602227079	8	0	0.4289800200661758	1	1
NRAP	1.7158487494383008e-7	0.006555081408650453	11	1	-0.4288396596431945	1	0.75
PFKFB3	0.003403588465409845	1	14	0	0.42770502228019974	1	1
N4BP2	0.001112379598657535	1	10	0	0.427409551872732	1	1
FERMT2	4.343862544911289e-6	1	10	0	0.42725139739798634	1	1
PGGT1B	0.004149071511645322	0.1896480468994815	4	0	-0.4262697786902664	1	1
DNAJB6	2.530258481482019e-5	5.158220633285512e-4	11	1	-0.42588236561799164	1	1
NUDT17	0.004709357123638679	0.47794370107283896	7	0	0.42585417111566076	1	1
ATP2A2	4.467850088221478e-18	6.1702371569378636e-9	5	3	0.42573435940795756	1	1
PTGS1	4.352349756321062e-4	0.02601399452264189	4	1	0.42565920529808265	1	1
ESYT2	3.5759283780104267e-6	8.602519770662995e-4	9	2	0.4255962266717591	1	1
TRIT1	0.025579624671100278	0.019336199088601517	8	1	0.4223746537993524	1	1
KLHDC3	5.3120768897689055e-5	1.1226755370374817e-5	10	1	0.42010452115311475	1	1
RCSD1	3.89723512618241e-4	0.011816978790798405	5	1	0.41983823470494874	1	1
FNBP1L	4.455068425820585e-5	0.00917634111601842	10	1	0.4197448827625255	1	1
ZSCAN23	2.2994719993548403e-10	1.397509462941602e-4	10	1	0.41913647118930253	1	1
DNPEP	0.04328289932974514	1	6	0	0.4188556956820959	1	1
FAM13B	0.0035476281536990914	0.5699554037315271	8	0	0.41737163998460736	1	1
NEDD4	0.015746001282161217	1	8	0	-0.4158678238250834	1	1
RNF6	1.6757047270244443e-4	0.004230259837993345	9	1	0.4143371324901387	1	1
ARHGEF10L	7.844196857128789e-7	0.13482947692439448	8	0	0.4142001354304641	1	1
DERL1	4.546231888726213e-4	0.01804212928084055	6	1	-0.4140401123864059	1	1
NADK	0.038299431339224636	0.1948529590594712	6	0	0.4133897146330973	1	1
TOP1	0.009831200400083085	7.126992918828229e-4	4	1	0.41277011124909524	1	1
EPB41L3	0.00612004150734894	1	7	0	0.41270850151445204	1	1
CARM1	0.03471313333246636	0.006040923926780407	3	1	0.4124267712011545	1	1
GGA1	0.043181307182584026	1	5	0	0.4116513063206599	1	1
MBNL2	4.8401632742273116e-4	1	10	0	0.4107196846913563	1	1
N4BP2L2	8.312757155461962e-17	3.207652436835135e-6	8	2	0.41042718303245795	1	1
PEX3	0.021277540842672277	1	5	0	-0.41025208719089357	1	1
LOC113264906	2.226763598961742e-4	0.4697483022801043	6	0	0.4093962446526105	1	1
ACSL1	2.744083816128346e-7	2.3612121437814327e-4	19	1	0.4089114305147565	1	1
FDFT1	6.746950749745113e-6	2.1555969200960808e-7	3	2	0.40746340453800306	1	1
