gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Spleen-Gall Bladder)	pct_gene_expr	max_pct_tx_expr
TCEANC2	0.015385976250478163	0.07177736461643767	5	0	-0.634836341172576	1	0.75
SCML1	8.039370422665126e-4	1	5	0	0.6348141496174933	1	1
COL4A3	4.558882798950666e-5	2.611394141258979e-5	6	1	0.6341040083925357	1	1
PKN1	0.006847908540720825	0.0017973470168784272	3	2	-0.6335008419964834	1	1
LOC113246636	0.0495504610786196	0.056400664871886705	3	0	0.6332935152906327	1	1
PIGM	0.011111572847445064	0.5970007096969047	3	0	0.6321250094778265	1	1
ADSL	9.288760003409978e-5	0.03883427030434244	5	1	0.6293244661200952	1	1
FAM210B	0.01847923165284076	0	2	2	-0.6271750627256757	1	1
PDE7B	5.036172605546965e-4	1.4345178281263698e-4	3	2	-0.624483342987101	1	1
LSP1	0.0010094232519645566	4.617828828954131e-4	5	2	0.6235040856723956	1	1
RCN1	2.4136833783024843e-6	1.194807682754265e-5	3	2	0.6231242105361365	1	1
LOC113246783	0.026958832128122563	0.07384414251379069	3	0	0.6214840288085532	1	1
CDC14A	0.03960778714724529	0.003105307419309185	7	1	0.6213408525735158	1	1
SESN1	9.47989176892114e-5	0.2724097055711613	9	0	0.6206514393344649	1	1
TNIK	0.005276515753411081	0.08664547774370748	7	0	0.6170754790033482	1	1
GPR63	0.009731758822088994	0.666211874570971	3	0	-0.6153268389956482	1	1
LTBP3	4.068123258174795e-8	1.1998783319728198e-9	3	2	-0.6146545847121904	1	1
NEURL1	0.00417659201116072	0.059307116350155425	4	0	-0.6140572339445265	1	1
MRPS27	0.00428386887628535	2.935106717989006e-4	6	2	0.6130853761797243	1	1
GIMAP8	0.046170043074599626	0.4151009633773658	6	0	-0.6082572984013399	1	1
UBE2F	0.017080920786570534	0.001521356293708854	3	1	0.6072689274241587	1	1
LOC113258763	0.00760470586105645	0.009792355465606957	5	1	0.6031543226683638	1	1
USP39	0.021636482413570954	0.051506417436821494	5	0	0.6010267954465299	1	1
LCLAT1	7.56273436336364e-7	1	8	0	0.6008133110265582	1	1
RFK	2.4884493682532073e-4	5.553513025498693e-6	5	1	0.5947777656681751	1	1
SEMA3B	9.710457329878172e-5	4.978299618538228e-6	6	1	0.59370777984635	1	1
RNF145	0.024647088458143097	0.00769611512489018	5	1	0.5919415659509732	1	1
KCNAB1	0.03319356433192893	0	2	2	-0.5895562920777458	1	1
ZNF165	0.011874974162692961	1	3	0	-0.5876670827248494	1	1
DIABLO	2.3231723328548463e-4	2.6820063909900816e-4	7	2	0.5873220279776793	1	1
TMCC3	0.03304856661330631	0.5544698445485287	6	0	-0.5861811067763658	1	1
REEP5	2.5076985320261183e-9	1.2948443953736192e-8	4	2	0.5803904716697821	1	1
TSPAN12	1.0992533931848174e-5	1	12	0	0.5781792149135963	1	0.75
STARD3NL	2.1458254160782768e-4	8.72255295093984e-7	4	1	0.5773314944353231	1	1
GEMIN8	0.010685398205238533	1	4	0	-0.5764794152429525	1	1
ERP44	2.837021258709292e-9	1.4435437413979889e-8	6	1	-0.5761154404256492	1	1
ANKRD33B	0.038437511689394216	0	2	2	0.5746238169316642	1	1
IKZF2	0.007881444418674461	0.11939732772979918	6	0	-0.5745661082013456	1	1
PGAM5	0.04702436374120045	0.01536100433700977	3	1	-0.5742229497197934	1	1
STYX	0.037538329686267406	1	6	0	0.5721041715447704	1	1
PXDN	0.03855176717593756	0.23155605087706094	5	0	0.5720083980239781	1	1
NCAPH	0.0203385711645919	0.08755613048265785	5	0	-0.5708196441131854	1	1
TPM4	0.004009722015808139	8.859519186596369e-4	5	1	0.5676453048101506	1	1
LOC113246178	0.005936176417239174	1	8	0	0.5638820383011042	1	0.75
FARP2	3.372606338610147e-8	0.0030534980630409006	5	1	-0.5638209130831408	1	1
EVC	0.010025282833683135	0.2513061851036438	4	0	0.5626927452773128	1	1
CAD	0.046952837131788376	0	2	2	-0.5623327000207393	1	1
BCL6B	9.288760003409978e-5	0.002140528122581922	9	1	0.561798112489599	1	1
GPATCH2L	0.025024264987560028	0.015217997887462394	5	1	0.561680408041406	1	1
AKAP7	0.008658245516402189	0.07611183373952042	7	0	0.5606824413941537	1	1
DIPK1A	0.03889876501736728	0.007366034044859977	3	1	-0.5606561288112542	1	1
SH2D3C	0.01085317348651528	0	2	2	-0.560212933913922	1	1
FCHSD1	0.011514777483039642	0.09878346423797761	6	0	0.5587823098190766	1	1
LOC113247918	0.010307913728635343	1	7	0	0.5570726315981702	1	1
PACSIN2	0.0011319284113458174	3.932888869761794e-4	12	1	0.555876447477114	1	1
USP9X	0.03912986189842281	0.06803802247587487	7	0	-0.5551060225098101	1	1
ALCAM	0.02774908377529596	0.028579109344802265	4	1	0.5506424778000253	1	1
GAREM1	0.015644710113389887	0	2	2	0.5483134456251988	1	1
MICU1	0.020504577939842634	0.06985682522358162	6	0	0.5483113625187592	1	1
PSD4	0.005862082429478494	0.017498084233265664	6	1	-0.5478392274322235	1	1
EDC3	0.012995844000171161	0.056151964672752214	3	0	-0.5475431144573848	1	1
CASP8	0.0028828739416534043	0	2	2	0.5465213177817111	1	1
MCM4	0.03614810392614435	0.30315728185397073	4	0	-0.545684228493102	1	1
RELL1	0.047615769752479255	1	5	0	0.5455706420468868	1	1
DEF6	0.0403585568013875	0.259649937331634	7	0	0.5453789396508415	1	1
RAB30	0.02722158317974019	0	2	2	0.5444728747772001	1	1
DDX52	0.023235083197383294	0.008195211642598395	8	1	0.5440519642324607	1	1
GRAMD2B	0.027753612859849258	0.049939144886424626	4	1	0.5439354424092249	1	1
NUP107	0.007728348584909841	0.503612248485376	5	0	-0.5429552544598981	1	1
STARD3	0.037538329686267406	0.2526381478239913	5	0	0.5426454636254726	1	1
TBC1D24	0.020760532833385817	0.04198576472004427	3	1	0.5418696459282988	1	1
MYO1G	0.02359201581640378	0	2	2	0.5404528984264666	1	1
DUSP19	1.34733697641875e-4	0.002221290845720092	3	1	-0.5375942395225778	1	1
CREBZF	4.59304455025777e-5	1.7898218442883874e-6	5	1	-0.5333928718792148	1	1
CLK3	0.03304856661330631	0.0016306789913902574	7	1	0.532589089992824	1	1
LOC113245319	0.003980316024570486	3.1180953483282866e-4	6	1	-0.531545356099054	1	1
LOC113248584	0.022168045745193973	0.33649862426190313	5	0	-0.5307670877371772	1	0.75
BCAP29	3.7406010427882164e-4	0.0037596875159387096	3	1	-0.5297735826455171	1	1
TMEM65	0.006951524624892805	0	2	2	-0.5294360578075901	1	1
NFATC3	0.03351069940632413	1	8	0	-0.5291273946172163	1	1
POLA2	0.00444125126262442	0.11277246336775207	5	0	0.5278042578125607	1	1
VANGL1	1.7527174881750293e-5	0.0012403640829091332	4	1	0.5272855695514823	1	1
TMEM63B	0.003582149216009513	1	9	0	0.5269627395129048	1	1
NT5E	0.03929673244735364	0.01673467600758419	3	2	0.526630027473745	1	1
APC	1.8394469643862076e-4	2.403083862440529e-4	8	2	0.525349412567966	1	1
PGBD1	0.003955323728483335	1	7	0	0.5244847492005023	1	1
SDCBP	4.671738753345773e-12	0.10420037649299956	7	0	0.5243479392935707	1	1
PROX1	0.0016582972574749639	0.0025890530715252575	6	1	0.5219107466519182	1	1
PRKCD	0.019383564903618988	0.004068656426948019	3	2	-0.5206942904766887	1	1
SESN3	0.024831558258336224	0	2	2	-0.5202492306483744	1	1
CLASP1	2.2529185802243893e-6	0.00455062660224164	7	2	0.5182321664415157	1	1
LOC113250450	0.002006447084124593	1	6	0	-0.5175780781104651	1	0.75
CCDC50	1.7527174881750293e-5	0	2	2	0.5152907481928214	1	1
LYSMD1	2.150536110121951e-4	0.06921475455029555	5	0	-0.5148393999352249	1	1
SESTD1	0.0016234909893074764	0.1225617446938053	15	0	0.5143467951696085	1	1
IKZF1	3.662812109983635e-4	0.001580654959931084	6	1	-0.5128428562580473	1	1
PPP2CA	0.0026695947179371446	1.3980285028987952e-5	6	1	0.5127737625474035	1	1
AGAP1	0.03774509739643802	0.06034901603404688	6	0	0.5121002291443991	1	1
IFT140	6.03909529398161e-6	1.3380147923884863e-5	6	2	-0.5117786125167565	1	1
MAPK3	0.004906249511488507	0	2	2	0.5108761366425744	1	1
UBXN8	0.00185476504052254	0.022628365191679902	4	1	0.5107245473894305	1	1
MBNL2	4.015514029662134e-5	5.983369865525119e-5	11	1	0.5101447761139101	1	1
FAM227B	0.04420875729326576	0.3851205537595549	5	0	0.5087031046002672	1	1
TSC22D2	0.0011560084923211466	5.497241879965569e-5	3	2	-0.5076570069495148	1	1
ANXA4	8.861108018398922e-5	1.315137780609879e-4	9	1	0.5076134909786939	1	1
UBFD1	0.008621378491536286	0.02202223674985344	7	1	0.5073204540494747	1	1
TCOF1	5.9308089751985e-4	0.06475352878597689	8	0	-0.505693521377343	1	1
LOC113247389	0.023042821946569203	0.7595129947844654	6	0	-0.504842194320545	1	1
ANKRA2	0.022076890478767975	0.07053514967245594	7	0	0.504248166220341	1	1
GSTO1	0.011111572847445064	0	2	2	0.5034248959628331	1	1
HSD11B1	0.004719388440132086	0.1419552948745042	7	0	0.5032383276602491	1	1
CUNH20orf194	0.020421692162950693	0	2	2	0.5026871018848339	1	1
CD44	3.4088875068255836e-7	0.786219509874686	7	0	-0.5016447897298417	1	1
BIN2	0.0311831073544693	0.17023687678631183	7	0	0.5006599277813675	1	1
PCSK5	0.015390836253790317	0.018410609159397354	3	1	-0.49991678337662737	1	1
ABLIM3	0.0011298944527354325	0.0023447604798947155	8	1	0.4998232316035083	1	1
LOC113247411	0.04205777038658321	0.2303748268685501	3	0	0.49941061658822905	1	1
CARNS1	0.005300009623088998	0.08288531339158095	4	0	-0.49847493106630886	1	1
DLC1	0.0011319284113458174	0.012652345288438734	7	2	0.4981785892261814	1	1
CTBP2	0.02575272332816093	0.01477611851318474	6	1	0.4981173754273456	1	1
DCLK1	0.0059138027665569665	0.028991136561530385	5	1	0.49729611520761463	1	1
ERC1	0.008688191400515776	0.03885538630425864	4	1	0.49689623862714183	1	1
LBR	0.018218588874762503	0.015199625722172042	8	1	0.4960632680918116	1	1
LOC113259832_TAF1D	2.2586839386462632e-4	0.17786236285255533	9	0	-0.49528658706802114	1	0.75
HYKK	0.02135043619614445	1	8	0	0.49335855496646724	1	1
RMI1	0.020091139869118545	0.3910865763018825	4	0	0.4933306779794304	1	1
PLAT	0.002591868309354638	3.5744210820804585e-4	3	2	0.49307961270946205	1	1
HNRNPH1	1.4074157717576063e-11	1.3002906406798234e-8	8	2	0.4930466787614464	1	1
FES	0.04407943864971508	0.41725688132669886	8	0	0.49224002741914546	1	1
MPEG1	2.107763252240982e-4	3.2853569149561047e-4	3	2	-0.4918052723477704	1	1
NMT2	3.710615545319992e-4	1	7	0	0.49151355955922743	1	1
CPXM2	0.02163280905659901	0	2	2	0.4908765215853303	1	1
PRIMPOL	0.01711837818998096	0.10354259303398348	6	0	-0.49075619672316617	1	1
CHST3	2.954558735919651e-4	3.874166895489535e-6	4	2	0.48994853175287	1	1
L2HGDH	0.00629049634179404	1	9	0	0.4867165621857093	1	1
MYO1B	0.0017997509709464224	0.8441219265502228	7	0	0.4865846081883276	1	1
SLC43A3	0.03126888333858373	0.09931089047229497	6	0	-0.48610644881339055	1	1
RHEB	2.5882241610327675e-4	2.510631740114811e-6	5	1	0.48399745134450256	1	1
LOC113249257	0.01562699742441864	1	8	0	0.48214064504984677	1	0.75
CMTR2	0.020147666909168624	0	2	2	0.4816232087606407	1	1
PAWR	1.5330068475730664e-7	6.004501836963548e-6	4	3	-0.4814864812036427	1	1
UTP15	0.018781401208800196	0.014712445346334228	3	1	-0.47899841163547907	1	1
MSH6	0.006265625922526432	0.12025477929519458	4	0	0.47790966345953056	1	1
NEDD4L	3.8522771613772554e-4	6.656606000941968e-4	7	2	0.47766621583243635	1	1
DNAJB2	0.035314643220226684	0.10674975780975036	5	0	0.4755279050822944	1	1
ZNF76	0.016843470721884857	0.07619791869625364	8	0	0.47541537945316137	1	1
SLC25A36	0.0021966654421046246	0.001963277928184205	6	2	0.47497375561148936	1	1
LOC113261110_TMEM30A	0.02687248383090429	0.1031761748971747	3	0	0.4747975973184819	1	1
SUPT6H	4.4424804977609135e-4	1.273830539953314e-5	8	1	0.4725356872012939	1	1
RASAL2	0.0010020547381966562	0.0016292940477727648	5	1	-0.47094130536057943	1	1
EOGT	0.02216107840249238	0.7876246408608409	4	0	0.4706457229027754	1	1
LAMP1	0.012809033657148623	0.00487308830319462	5	1	0.46997042689146773	1	1
PPFIBP2	4.3404337877619756e-5	2.448173000082581e-4	16	1	0.46979832311662123	1	1
MERTK	0.005862082429478494	0.0030914617335997593	4	1	0.4695446425329091	1	1
MFSD11	8.861108018398922e-5	0.0021088872193281145	10	1	0.4694854882164475	1	1
MYH11	5.143221382703598e-4	0.057501677869947164	5	0	0.4691492214518375	1	1
MRPL1	0.026690641470389846	0	2	2	-0.468861808035366	1	1
HSD17B14	0.02926579294385661	0.7088528572571855	6	0	-0.46834626262372925	1	1
SETD4	0.01385070996342068	0.02999294085547904	11	1	0.4670653241362931	1	1
SASH1	7.859412371960892e-7	2.3479358431233294e-6	8	2	0.46660015090800055	1	1
ZNF485	0.031168987576157704	1	6	0	0.4643436175156037	1	1
LOC113246566	0.019953571131111483	0	2	2	-0.4633611974170948	1	1
DDB1	0.0038654837603486467	0.006629600919404315	5	2	0.4619386953500485	1	1
ADA2	0.0014997821519673017	0.012414313149224171	7	1	-0.4606592278204171	1	1
COASY	0.0025416978823744134	0.02054872855161532	11	1	-0.4604090433470579	1	1
MNAT1	0.008744885503820621	1	4	0	0.45944944429970336	1	1
RTN4	6.669337029326226e-10	0.11674568821853495	9	0	0.45900770448475664	1	1
BHLHE40	0.03089431639883408	0.0035434258132050066	5	1	0.4589786828698997	1	1
CD58	0.04355439212649493	0.002739726199244519	5	1	0.4586713370060733	1	1
POLR1B	0.04511623144317617	0	2	2	0.4584682823694296	1	1
SLC4A7	0.0016693227917698157	1.972524975020363e-4	3	1	0.4569332967326091	1	1
GABPB2	0.028096168881693945	0.03277492682908093	4	1	0.4562209345401444	1	1
CBFA2T2	0.03977608895322046	0.18176168385289265	7	0	0.455705411574881	1	1
BRD3	0.042335990755109326	0	2	2	-0.4550224692346083	1	1
HIVEP3	6.870587676416262e-4	0.07569154976109643	4	0	0.45313541864713214	1	1
MALL	0.020160476498082114	0.13304678996080427	5	0	0.4530409155702552	1	1
CNTRL	0.04226247493844767	0.7355742386267771	6	0	-0.45261985676888505	1	1
BAG1	0.01437406045843508	0	2	2	-0.4525909560740888	1	1
CCDC80	1.0047461522013399e-7	0.0022182207608579677	5	2	-0.4522951541113801	1	1
IRF3	0.02777337278428051	1	8	0	0.45116252522818945	1	1
EXTL3_LOC113269942	3.1503412550100264e-7	1.1674680587892232e-6	4	2	0.4507371106991419	1	1
LOC113251245	7.837219747793483e-5	1	13	0	0.44828609831737776	1	1
PBX3	0.00694330316112638	0.024034425366434686	4	1	-0.4482057476696609	1	1
MAGI1	0.034251534364303574	0.18101477347681524	8	0	0.44792039041353493	1	1
PAIP1	0.024179497478610038	0.005487225350415388	4	1	0.4476329509122997	1	1
UVSSA	0.012571213714383729	0.06963276826807305	7	0	0.4470452947815127	1	1
NR1H3	0.01733489405345467	0.3506605475747773	6	0	-0.44601015970323016	1	1
CYTB	0.01658180965663361	0.00302001113231045	3	2	-0.4452574852338299	1	1
PTPRA	0.008502810395133736	0.02110269458408589	5	1	-0.443804836382711	1	1
FBXL17	0.006223867548121323	0.01799700037696124	4	1	0.4432599337836579	1	1
GEM	0.030137643983764735	0.009287862854867057	3	1	0.4431955978919726	1	1
CLCN4	0.039604699612524386	1	7	0	0.4427843658090267	1	1
LDLRAD3	0.030512215052499538	0.42501624009346634	5	0	0.4415411444407838	1	1
ZNF280C	0.03126888333858373	1	4	0	0.4405802059824118	1	1
AP5M1	0.026005022623853798	0.01608515567161394	6	1	-0.4404072927372629	1	1
CMYA5	0.025144633339712296	0.4711108042422726	6	0	-0.44001205670015586	1	1
LOC113246338	0.03357867778647652	0.03580652760401318	4	1	0.4398862947546762	1	1
SAP30BP	0.04910436389720945	0.1952531347384847	4	0	0.4390442099380559	1	1
PRMT7	0.00478828182428116	0.18179851861718208	10	0	0.4388628769074875	1	1
TPP2	3.7266150964894616e-5	0.006768799812328424	9	1	0.4388060935600833	1	1
ZC3HAV1	0.0076503158191090605	0	2	2	0.43790005598944093	1	1
ARHGAP5	0.005487423320026319	3.376985420787443e-4	3	1	0.4378656827717649	1	1
RAD21	1.0286969545582865e-8	1.1779371507642077e-8	7	2	-0.4378209644003308	1	1
ZFYVE16	2.4188080297961607e-10	8.222946842929207e-11	5	2	-0.4376911746856299	1	1
PMM1	0.024984229482746884	0.11029823779203743	6	0	0.4373754949975044	1	1
RXRB	0.001543715272373168	6.914684390451255e-4	5	1	0.4371847369246472	1	1
SLAIN2	3.7266150964894616e-5	0.007560797019390782	6	2	0.43693893298168374	1	1
LZTS2	0.02320529523787646	0.005768923937139116	3	1	0.43657227313106706	1	1
HDAC7	0.008966257406117908	0.5272248578432821	6	0	0.4365600488319868	1	1
ELOVL5	6.658276723338699e-4	0.03334857791240576	14	1	0.43613828798134824	1	0.75
CPT1A	9.349423978360642e-6	0.10637994172471084	5	0	-0.4357176341993785	1	1
ZWINT	0.014549279749843767	1	7	0	-0.43484845362412167	1	1
ZSCAN16	0.0095547033168202275	0.0010464867711474236	3	1	0.4345336374058488	1	1
CSAD	0.001758226195751298	0.03091358946873915	11	1	0.4341852210962273	1	0.75
ICOSLG	0.016403490293839928	0	2	2	0.43366605266159275	1	1
ARHGEF25	0.012204665169475666	0.02149201963599185	4	1	0.4336050884187444	1	1
AGPAT3	0.045637975452721004	0.38327668560885536	4	0	0.4326572523234866	1	1
ERCC6	0.0036299050798102124	0.07785149955258093	7	0	-0.43259902947938966	1	1
R3HCC1L	0.012784359725875317	1	11	0	0.4320133197129527	1	1
PLD1	3.3818897147293865e-8	9.443499470148365e-8	5	3	0.43157019176466116	1	1
VPS33A	0.016932380999488107	0.0015317253035732146	4	1	0.4303757045735782	1	1
MED16	0.031020566307597405	0.5216556365481133	11	0	0.42867945149300124	1	1
PTS	0.02843757975101981	1	8	0	0.42860573125197854	1	1
ATXN2L	0.01545652873736138	0.4776557289627924	10	0	0.42841730985829385	1	1
SPG11	0.011035608600176149	1	11	0	-0.42742975113807186	1	1
THRB	0.007881444418674461	0.48252228680139264	12	0	0.4263028440417755	1	1
ARAP2	0.030343815452361377	0.13101349081939292	5	0	0.4250005405862718	1	1
EIF5	0.03455458781143703	0.0012454481674784971	7	1	0.4247294771265236	1	1
LOC113261187	0.03224464319826697	0	2	2	0.42469162691690465	1	1
PPA1	0.04402863746635538	0.9316398103776298	5	0	0.42449449076249446	1	1
COL3A1	2.4397945573281205e-12	1.2617197002373622e-5	6	2	-0.42416373851085054	1	1
GGACT	0.004294670746392864	1	9	0	-0.42223424052797653	1	1
PPM1B	0.006069649519059605	4.909531815204618e-4	3	1	0.4206866634303394	1	1
RASSF4	0.006705101494781394	7.311750220721558e-4	10	1	0.4176857716127472	1	1
PPP2R5A	4.7122291497124684e-05	0.0030308960917924945	4	1	-0.41767512637768367	1	1
TAF1	6.53438483461387e-4	1	9	0	0.41716199080302685	1	1
ZFP3	0.03554386115791211	0.23787915580416194	5	0	0.41672805061644225	1	1
SLC23A2	0.0068101922336614605	0.007340653527980867	5	1	-0.41613291675851033	1	1
MADD	0.0010969555159998298	0.024342048725073034	12	1	-0.41557541092580796	1	1
MAPK8	6.533176492568666e-4	0.006863255849709353	6	2	0.4152986631882105	1	1
ST5	2.7178684520425127e-10	5.147126966346074e-6	8	3	0.4150821318459397	1	1
ANTXR1	0.013962178636516246	0.001406494174215509	3	2	-0.4142530783775664	1	1
RNF34	0.012302737655626226	1	4	0	0.4142156114652361	1	1
MAN1A1	0.0016433024928519085	7.116630095213135e-4	4	2	-0.4140868194923408	1	1
PAN3	0.016567674702972955	0.02538951291591073	6	2	0.4128037744052234	1	1
CLCN7	0.020814092695968314	0.01065392863689469	4	1	-0.4121403581065346	1	1
RECQL	0.03543981911893973	0.8365231649357746	7	0	0.41159154545886506	1	1
ZNF385A	0.0371927226431883	0.9667112517333425	6	0	-0.4108581094149098	1	1
PHYHD1	0.002611764658500909	0.030078904730679548	8	1	0.4106632760132132	1	1
IARS	7.179585619594454e-4	0.17939327034187305	8	0	0.410350460198059	1	1
TNPO2	0.0013500900767887038	0.01606015995569004	4	1	-0.41004074673869256	1	1
NR2F2	0.029726531657376213	0.021330136635589653	4	2	-0.4095867230535611	1	1
