gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Kidney_medulla-Small Intestine)	pct_gene_expr	max_pct_tx_expr
MAFK	0.04734228978794999	0.058708658763504264	6	0	0.5151680455874251	1	1
EMC1	3.885210039087407e-6	1.5880596046560975e-4	8	1	0.5135478716440555	1	1
KCNK5	6.834320516049828e-6	0.35104816764257707	4	0	0.5079534417835908	1	1
GLB1	0.036350647499428464	0.23671488412187575	8	0	0.5073217323976085	1	1
CD55	0.03411003477509034	1	5	0	-0.5054458667675865	1	0.75
GLYR1	0.0468611658368673	0.803894643067021	9	0	0.5041929501564257	1	1
BBIP1	0.034776237550241715	0.08261486675903898	7	0	-0.5036851331905655	1	1
EGFR	0.0058097186813830404	1	7	0	0.5032192002725655	1	1
SREBF1	0.002149359421772023	0.03138563615205922	6	1	0.4948071173962164	1	1
CROT	3.885210039087407e-6	2.173277529811121e-5	11	1	0.49451061302934196	1	1
PLCD1	0.010241468665142894	1	6	0	0.4916481722271051	1	0.75
DNPEP	0.046963320217918436	1	5	0	0.490402349404068	1	1
GORASP1	6.834320516049828e-6	9.559500937413475e-7	7	1	0.486534479778136	1	1
LPIN2	0.045165627018885934	0.8070224669166925	6	0	0.4850118333899496	1	1
DCUN1D3	0.03266770107011724	0.7427069699160533	5	0	0.48444739531892334	1	1
CARD14	0.015064535410807984	0.7278255491435416	5	0	0.481971383335868	1	0.75
PTCD1	0.027635643114185066	1	8	0	0.4809201439259505	1	1
LMTK2	0.04512012059826365	0.0048150254488029415	3	1	0.4774502127503127	1	1
NEURL4	5.686025335523255e-4	0.013505876208539307	3	1	-0.47607636221361677	1	1
LOC113250606	0.0068533093731914475	0.05822610677462832	11	0	-0.47527917302395983	1	1
LOC113246305	0.04886323281643885	0.24495158564650063	6	0	0.47517199562156504	1	1
SLC25A37	0.02464629168147114	0.14309967430508277	5	0	0.4747973892780255	1	1
GNE	0.03804884100244284	0.05933978211733519	13	0	0.4692553765988017	1	1
CASP8AP2	0.005209770273757417	0.006210008721447705	7	1	0.46919109663697345	1	1
LOC113255248	0.048414978715066156	1	3	0	0.46725426051273034	1	1
LOC113245456	0.016249756649655233	1	8	0	-0.46720388209692043	1	0.75
APEX1	0.028118911542601783	1	4	0	0.46701090932519906	1	1
ABLIM1	4.549027637942762e-5	4.566127920964787e-8	6	2	0.4637202358944375	1	1
LDLRAD3	0.034078960076592946	0.3135216947066802	5	0	0.45822891507412705	1	1
TSTD2	0.015232286551842696	0.017428485168288817	4	1	-0.45463806731549883	1	1
SCAMP4	0.011036551207510499	0.015512418179008364	5	1	0.4531341782698163	1	1
MAT2B	0.008259156774485299	1	5	0	-0.45266851835309707	1	1
PRICKLE3	0.010682799532476944	1	9	0	0.44891951137558045	1	1
ANXA3	0.043678389591791864	1	6	0	-0.44799888195091625	1	1
CSGALNACT1	0.048414978715066156	0	2	2	-0.4473319785163058	1	1
SAMHD1	0.011036551207510499	1	9	0	0.4438329711713608	1	0.75
DENND4B	0.029244554431892823	1	5	0	0.4420984277700529	1	1
ANKRD12	2.0102901798806772e-4	1.0251777706343647e-5	4	2	0.43593825950172743	1	1
LOC113262879	0.04251928050040054	1	7	0	0.4354209765993567	1	0.75
NFAT5	0.011036551207510499	0.04122937119022242	7	1	0.4341284367245265	1	1
NBN	0.018584751257584887	0.0017492052232343429	13	1	0.43351188279828157	1	1
MORC4	0.025408251980130768	0.6031913454907463	3	0	0.43203356171504936	1	1
DOT1L	0.03180387329546447	1	5	0	-0.4297630714588393	1	1
ST3GAL6	5.211025935350819e-4	1	7	0	0.4280709113838448	1	1
PARP9	0.02861426040550474	0.4671200093032695	10	0	-0.42633521782748524	1	1
MRPL47	0.046963320217918436	1	4	0	0.425330264674188	1	1
GRB2	0.040822753488297496	0	2	2	-0.424402786854413	1	1
SEMA6D	0.012973978908087913	1	10	0	0.42106359316227676	1	1
SORBS3	0.04859108295960017	0.42299474570194506	11	0	0.4163183119404761	1	0.75
TFCP2	0.02487197042922082	1	8	0	-0.4154604786330763	1	1
RAPGEF5	0.04470769476220567	0.02832819014143664	3	2	0.4087985420670953	1	1
MMD	9.22598131582644e-4	3.8886394465527727e-4	10	1	0.4065906615697732	1	1
PATL1	1.1410892275378809e-4	1	8	0	0.4064219086836342	1	1
FAM199X	0.040822753488297496	0.01721627971562763	3	1	0.40518982439637097	1	1
RIDA	0.00344228568218634	2.4345199367579846e-4	3	2	0.40090301191378347	1	1
STOX2	0.01796996450989044	1	4	0	-0.39998157179223726	1	1
MCM8	0.020444944044214087	1	6	0	-0.3992288129097016	1	0.75
DYNC1LI2	0.020444944044214087	0.005430908830926814	5	1	0.3971477598990293	1	1
ERGIC1	0.04859108295960017	0.13348498600689218	9	0	0.3939694247697948	1	1
HDAC4	0.03768044404241394	0.3056683222846309	4	0	-0.39352447143105507	1	1
BCL2L11	0.011774330867199655	1	11	0	0.39325181194125375	1	1
ARHGEF28	0.010984388152708477	0.026831238138739492	3	1	0.39177371343435163	1	1
EPHA7	0.020444944044214087	1	5	0	0.38964434142574744	1	1
FAM214A	0.011020143717918882	0.46306874961601313	7	0	0.3881626718663104	1	1
EXD2	0.038864633422671914	1	6	0	-0.3880191112959864	1	1
PDE4D	0.014105079038177596	0.008448905299737056	5	2	-0.38702073570713813	1	1
FOXJ3	0.020444944044214087	1	5	0	0.38653400416741646	1	1
LAMC2	0.04786519783835227	0.2806472500646369	3	0	-0.3852943542121472	1	1
LOC113243522	0.011036551207510499	0.7773831112333078	13	0	0.38517571574852927	1	1
RALGAPA1	0.019945696685255507	0.4179487534919005	5	0	0.3786596821138613	1	1
SHLD2	0.012973978908087913	1	8	0	0.3772680083202083	1	0.75
MIOS	0.029244554431892823	0.0033656820258782098	3	1	0.37626894203990957	1	1
RAB28	0.044843220517106035	0.27531701653016266	5	0	0.3759623540015691	1	1
KIAA1614	0.00036003639273483033	0.09868541160692361	6	0	-0.37407621636948213	1	1
LRRFIP1	0.005209770273757417	0.001004435107564844	11	1	0.3738130961996078	1	1
TAB2	0.017305362993462945	0.008589220707274086	5	1	0.37353800162669215	1	1
RGS3	0.04995111083678979	0.18532455654225913	8	0	0.37199157678545647	1	1
LOC113270722	3.885210039087407e-6	2.482337976475732e-4	7	1	-0.37034573819747196	1	1
USP3	0.009183093152140063	0.02064706230740506	10	1	0.3698016192302642	1	1
ALDH9A1	0.012973978908087913	0.24100617483346587	8	0	0.3686818766336607	1	1
ALG6	0.006485500000034684	0.014156160274796246	4	1	0.36775089883029644	1	1
ALDH4A1	0.022793154977401763	0.7421856649939153	6	0	-0.3613344618005998	1	1
PC	0.04995111083678979	1	10	0	-0.3605613692022809	1	1
ADGRL2	0.010534431778878594	0.027432835798802103	8	1	0.358303318771528	1	1
GK	8.804678234604169e-4	0.003770737551468626	8	1	0.35466759377630286	1	1
ANAPC1	3.810008554625464e-4	0.012138112413609216	7	1	-0.3524077488372333	1	1
LMAN2L	0.035365925828230525	1	7	0	0.3517067303212359	1	1
WDR59	3.875102241782261e-5	1	13	0	0.3513334031365881	1	1
DDB2	0.04891449420271964	0.9198416076882384	7	0	0.35131990958705356	1	1
ZSCAN23	0.020444944044214087	0.6262029568413557	10	0	-0.3511701639333802	1	1
USP40	0.0058496365976382055	1	9	0	-0.35042440717233836	1	1
CUNH19orf12	0.00539275494380062	1	4	0	0.3490556088440018	1	1
SLC4A4	0.0025121610557589853	0.008128039583461455	4	2	0.3477297874055242	1	1
DYRK1A	0.04511865638956449	1	9	0	0.34762554532928397	1	1
CHIC2	2.1858217303008672e-4	0.06427335522881865	8	0	0.3415216198638856	1	1
DHDDS	1.6009367182164298e-4	0.37674473932649083	8	0	0.34024982174324353	1	1
LRRCC1	0.019945696685255507	0.9013782750630212	5	0	0.33906810186347486	1	1
ZNF568	0.026177953976697494	1	8	0	0.3370422971919662	1	1
GPATCH2L	0.028683004368508985	1	5	0	0.3357560601352618	1	1
RASGRP3	0.010682799532476944	0.22271563701876101	7	0	-0.3348159859239832	1	1
MED15	2.1644544714820418e-4	1	9	0	0.3329481805055244	1	1
LOC113261047	0.0047186679951751785	7.080678636513574e-4	6	1	0.3325863452478184	1	1
PGGHG	0.04799581035786038	1	13	0	0.33118775704275344	1	0.75
PPP3CB	0.047991846686978	1	7	0	-0.3300492295020514	1	1
CALD1	3.810008554625464e-4	0.007100261393430391	13	1	-0.3279705418538174	1	1
TMCO3	7.556073977493187e-6	0.002963503906923337	13	1	0.32791097209838976	1	1
NKAPD1	0.037378674060350656	0.18853710050842104	5	0	0.3273468990903435	1	1
RINT1	0.02023606595882919	0.23390926880553378	8	0	0.3272555105608521	1	1
TCF12	3.885210039087407e-6	3.676924587331225e-9	6	1	0.32680481509559534	1	1
LOC113244773	0.030262132069044295	1	7	0	-0.3251217286045013	1	1
LOC113249140	0.04739391697545561	0.06419136416691616	5	0	-0.3243288697984422	1	1
PPP1R13B	0.008109496490892158	1	5	0	0.32304830747379615	1	1
DHRS3	0.014386011676705867	1	5	0	0.3226939477367136	1	1
DGLUCY	0.035331277894667806	0.07356158368514103	13	0	0.3203404421715024	1	1
THRB	0.020444944044214087	1	14	0	-0.3190336856206707	1	1
ZFX	0.046238985332852554	0.6609892548247956	5	0	-0.3175649319134224	1	1
SNRNP70	0.0058496365976382055	0.64665770766228	7	0	-0.317314354169602	1	1
SLC25A25	4.765564242725946e-4	1	12	0	0.317026161891833	1	1
SETD2	0.00869700028277085	0.7505347339371008	5	0	0.3160998529172994	1	1
FBXO42	0.046963320217918436	1	4	0	-0.3159645791235547	1	1
ACCS	0.045165627018885934	1	8	0	-0.31541228424744033	1	0.75
SYNPO2	0.049652430857460746	1	7	0	0.31417278011964717	1	1
NFX1	0.03090821646594709	0.9772758677250613	12	0	0.3083088684492937	1	1
R3HDM1	0.029714854448576737	1	10	0	0.3074747658528896	1	1
FRYL	0.02023606595882919	1	5	0	0.3053766428099824	1	1
CLN3	0.03099112290780849	1	12	0	0.3039799384154782	1	1
LIMCH1	0.015232286551842696	1	7	0	0.3028470080743601	1	1
PEX3	0.024721861168364136	1	5	0	-0.30237155360042356	1	1
RNF19A	0.03761922339531424	0.6559954541801638	10	0	0.30076438340655715	1	1
TNS1	1.554397076106774e-5	8.619052810691555e-5	6	1	-0.30063138016231405	1	1
RAB11FIP3	0.02734287715279467	0.008443098066676544	3	1	-0.30019174085002065	1	1
RCBTB2	0.016249756649655233	1	8	0	0.3000933445805388	1	1
DDR1	3.1443753249328854e-4	1	7	0	0.2993328540021594	1	1
ECE1	0.008252249086708642	0.0919022866744181	5	0	0.298536137377525	1	1
ASPG	0.018235174833379747	1	9	0	0.2973839659352546	1	1
ELF1	0.014386011676705867	1	7	0	-0.29723904521763084	1	1
PTBP2	0.012592330636587188	1	8	0	-0.2948814037277717	1	1
MTSS1	0.018320764479486475	0.2568967200670196	10	0	0.29200115345312094	1	1
TACC2	9.22598131582644e-4	1	14	0	0.2918501800850132	1	1
PHKA1	0.03099112290780849	1	10	0	0.2918118911372452	1	1
SLC25A36	0.005209770273757417	0.2314873965067859	7	0	0.2901481925699437	1	1
TSPAN12	0.0058496365976382055	0.4430003808382375	16	0	0.28955799305258195	1	1
ASH1L	0.006427773883626002	0.07898240577958252	6	0	0.2888357088534649	1	1
GAB1	0.005988281995142115	0.038746402570220745	5	1	-0.28771528770997606	1	1
LOC113247886	0.0473067738049146	1	6	0	-0.28696461680197094	1	1
ANKRD11	0.0068533093731914475	1	3	0	0.28539646922158834	1	1
TRABD	0.018320764479486475	1	10	0	0.28465864834455457	1	1
ST6GAL1	0.03411003477509034	1	12	0	-0.28432711159041757	1	1
ARSD	0.0034628914312424047	1	9	0	0.2834904348317794	1	1
RNF152	0.028118911542601783	1	6	0	0.2823344455653122	1	1
ESCO1	0.04995111083678979	0.36865906288387956	9	0	0.2806763695503719	1	1
TNS3	0.04772181448281145	0.22777326214626994	9	0	0.27952775947602865	1	1
SEC31B	3.9814343109048075e-4	1	14	0	0.27835832463350757	1	1
ATP11A	0.004090519757234044	1	9	0	0.2782193290709694	1	1
HOGA1	0.029930554168187472	0.47519902711784506	9	0	-0.2770016282441161	1	1
WNK1	0.014386011676705867	0.16781059834938206	10	0	0.27477059729292785	1	1
CTSH	0.013566016733852304	0.764288019556063	6	0	0.27451805346808816	1	1
GPAT3	0.046238985332852554	0.008842602384268025	5	1	0.2739643614506491	1	1
HNRNPH3	0.04826992586438824	1	11	0	0.27279630656348064	1	1
IFNAR1	0.0247784684463307	0.7611251911676274	8	0	-0.2722915283409697	1	1
ABCF1	7.380932077477241e-4	0.40368255495557226	10	0	-0.27084454867197943	1	1
N4BP2L2	0.011036551207510499	0.02131113687508884	8	1	-0.2705502629141199	1	1
KSR1	1.6009367182164298e-4	1	9	0	0.27054964489896316	1	1
IFI44	0.021003082199735845	1	10	0	-0.2671400905818291	1	1
CELF1	0.018320764479486475	1	10	0	-0.2664401961029578	1	1
VMP1	0.018520269407447082	1	6	0	0.26269136164638407	1	1
UGGT1	0.013257087182857228	1	6	0	-0.2610313799680426	1	1
LOC113246291	0.01796996450989044	1	10	0	0.2595920752470715	1	1
MAPK14	0.037378674060350656	1	10	0	0.25933263834651943	1	1
PHC3	0.02861426040550474	0.021785422488205444	7	1	0.2557646206943568	1	1
ACSL1	0.03266770107011724	1	18	0	0.2547353818227836	1	1
RAI14	0.02023606595882919	1	11	0	0.25457195802769056	1	1
WIPF1	0.03042394455730883	0.5221683269934378	6	0	-0.2517111193012388	1	1
ABI1	0.011084926655195098	1	10	0	0.25042388085600875	1	1
TAF1	0.028118911542601783	0.020281083985438927	11	1	0.2441253623822177	1	1
KMT5B	4.1921918657286087e-4	1	11	0	-0.24349922502617322	1	1
LOC113254378	0.032798863568400144	1	7	0	0.24316190410748467	1	1
SDHD	0.036103806285418205	1	5	0	0.2418147576422776	1	1
NRF1	0.015536943173717881	1	8	0	0.24081962980109875	1	1
USP19	0.02821201781867116	1	8	0	0.2393845746011081	1	1
GYPC	0.035331277894667806	1	5	0	0.2377833521579068	1	1
ZNF106	0.03042394455730883	1	8	0	-0.23489296021407446	1	1
LRBA	0.007147884194062937	1	11	0	0.23266693933589164	1	1
R3HCC1L	0.04512012059826365	1	9	0	0.23195944480634043	1	1
GAPVD1	0.029244554431892823	1	6	0	0.23031263943706023	1	1
RAB3IP	0.017570733006457083	1	11	0	0.22825348021533975	1	1
CTNND1	0.001648162997197356	0.6479298491266441	10	0	0.22274501842533923	1	1
ZNF410	0.047991846686978	1	10	0	0.2223876527127501	1	1
LOC113248376	0.02045901333642418	1	8	0	0.22163961470233987	1	1
PKP4	0.019867319509086274	0.12616384328492639	8	0	0.22156392823195026	1	1
ARHGEF7	0.002149359421772023	0.3533575896905223	16	0	0.22040736684689896	1	1
GTPBP4	0.04891449420271964	1	5	0	-0.21986806600712694	1	1
CD47	0.009100909118004099	0.429776439209819	10	0	0.21441968657579202	1	1
NEDD4L	0.03042394455730883	1	7	0	-0.21440014454761328	1	1
OCIAD1	0.04799581035786038	1	8	0	0.2118076019359609	1	1
HERC3	4.830691131845388e-4	1	13	0	0.21150285827086535	1	1
GPAM	3.338317875767002e-5	1	16	0	0.2102033300308067	1	1
MFF	0.04859108295960017	1	13	0	0.20922106405353577	1	1
CDC27	0.011245091600803385	1	11	0	-0.20603268794719803	1	1
HP1BP3	0.02487197042922082	1	9	0	-0.20509199453271695	1	1
POMT1	0.007161065661967179	1	14	0	0.2009911746929576	1	1
PCBP2	9.323064244780616e-6	3.066142169810574e-6	10	1	0.19782285084998108	1	1
FN1	0.005209770273757417	1	15	0	-0.19755873234119842	1	1
GART	0.008245799088051464	1	12	0	0.1966579328089454	1	1
WWP1	0.046963320217918436	1	13	0	-0.19651856929758202	1	1
STAG2	0.049872486427494166	0.916348563798241	13	0	0.18739145667129534	1	1
DCAF11	0.02775379796623308	1	15	0	-0.18531812247590396	1	1
LOC113246261	0.03042394455730883	1	11	0	0.18421310207962674	1	1
BROX	0.011036551207510499	0.5966394453379675	12	0	0.18265309484285738	1	1
GOLGB1	0.020444944044214087	1	11	0	0.18180651118294078	1	1
MBTD1	0.0050583194589369955	1	5	0	-0.17588551419421197	1	1
LOC113258542	4.235485643097493e-4	1	14	0	0.1754160277615227	1	1
CSNK1A1	0.04512012059826365	1	9	0	0.17362870784564577	1	1
MPRIP	0.02487197042922082	0.001989070383165344	6	1	-0.17295438537717045	1	1
CES3	0.002149359421772023	1	12	0	0.17251626344930704	1	1
GPRC5C	0.04771463751360523	1	9	0	-0.16745705962584734	1	1
RBM6	0.02357818497634227	0.658845171095531	12	0	0.16744024303909216	1	1
KANSL3	0.016249756649655233	1	12	0	-0.1672797826804676	1	1
ANXA11	0.014632688112116985	0.36796369873486084	11	0	0.16504890270562428	1	1
PPP6R3	0.018294359085534444	1	13	0	0.16402845464973342	1	1
TRA2A	0.044843220517106035	1	11	0	-0.16233490833736441	1	1
HERC1	0.013566016733852304	1	12	0	0.15706903659718952	1	1
PCNT	0.03266770107011724	1	11	0	0.14960118495017258	1	1
ADK	0.023414493941703727	1	11	0	0.14699083549534767	1	1
PLXNB2	0.0058496365976382055	1	11	0	0.13881531711195483	1	1
TXNIP	0.01796996450989044	1	8	0	0.13155571187562642	1	1
MTFR1L	0.011774330867199655	1	8	0	-0.12473874562565998	1	1
PHF14	0.019945696685255507	1	11	0	0.12018288176660058	1	1
LAMB1	0.01796996450989044	1	17	0	-0.10919989861088786	1	1
TLN1	0.011774330867199655	1	6	0	-0.07208983458864163	1	1
