gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Lung-Atrium)	pct_gene_expr	max_pct_tx_expr
IL4I1	0.03768239800454098	1	3	0	-0.8284024810427469	1	0.375
BMX	0.003253946255821673	0.09985165942053165	4	0	-0.8214430074864063	1	0.625
SYNC	4.365043557082553e-17	1.2199762043231126e-13	5	1	0.8204935307384223	1	0.75
LOC113243849	0.007099095954945458	0.0053595304864002295	3	1	0.820146439334819	0.875	0.5
SCNN1A	9.881450144874101e-4	5.401916661853518e-5	4	1	-0.8178952566299347	1	0.75
LOC113247381	1.7564955412178506e-7	7.933017341629163e-8	3	2	0.8150090460720769	1	0.75
REPS2	0.008536127499581646	0.0010888453014045348	3	1	-0.8130489833671841	1	0.625
MB	3.1790279609807343e-7	1.193876097914734e-7	4	1	-0.8129097857505068	1	1
CD53	5.869222974640259e-5	5.513649745581081e-6	5	1	-0.8112544405311741	1	0.625
LRRFIP2	3.788456854310026e-14	6.410954374415874e-11	7	2	0.8063449449963143	1	0.875
EXO5_ZNF684	0.0032411383558557873	0	2	2	0.8058688888350798	0.625	0.5
FGFR1OP	5.5077165967788186e-5	2.600193188279565e-5	3	2	-0.8027086211384327	1	0.75
FICD	0.006842210063397594	0.0013762157990152325	3	2	-0.802248306144741	1	0.625
HSPB3	1.3860651193821664e-4	0	2	2	0.8015173877778554	1	0.875
ANKRD39	9.81831450303569e-46	5.650901382717702e-26	8	2	0.8004653552640929	1	1
NTRK2	0.0017371140442495412	0	2	2	-0.795911018886903	0.875	0.625
PTK2B	3.2728674979740905e-5	0.1925677481182508	6	0	-0.7949041896850739	1	0.75
SEMA4D	5.061336456781682e-8	0	2	2	-0.7938710806762933	1	1
MYOZ2	0.005555604636491191	4.6497099576148384e-4	4	1	0.7931378526212784	0.875	0.875
HPN	0.03503798017494698	0.01090724034541364	4	1	-0.7920632157194095	0.875	0.625
KCNE3	6.167021982024694e-6	3.0338352224964995e-6	4	1	-0.7913707177085154	1	0.75
HMGN3	4.484506523309781e-16	1.3002480540007043e-17	4	4	-0.7897919774019184	1	1
LOC113247411	0.008043881818725401	0.003288779898160984	3	1	-0.7897524491005697	0.875	0.625
SYT7	1.968110440092749e-8	0	2	2	-0.7883120055714867	1	1
LRRC4C	0.013775529062881302	0.0025874348592169853	3	2	-0.786928882508398	1	0.625
LOC113264036_RNF145	0.002278981015934725	0.0013752577743647517	4	1	-0.7860181906181798	1	0.625
MYO5C	9.344063667365132e-10	7.476646031601604e-9	4	1	-0.7846238306041314	1	1
HRC	1.423252044930687e-31	1.1756513868381255e-20	5	3	0.781109719752573	1	1
STEAP4	0.0012425430372409556	0.002190722313115113	4	1	-0.7720144461091671	1	0.875
ATP10A	0.001084551716798388	0.006553282040908357	3	1	-0.7693640851741388	1	0.625
LMOD3	1.7777514842987605e-4	0.03379159884533354	3	1	-0.7661845690710055	1	0.875
FGFR4	0.004643585291107481	0.00480508718039914	5	1	-0.7659738410156208	0.875	0.75
TRMT11	0.04068344592554228	0.4124308985150427	3	0	0.7601924688550377	0.875	0.5
OCLN	3.319482068353652e-4	3.7119324406721993e-5	3	2	-0.7585802206062363	1	1
NCAM1	6.684880932770502e-15	1.290714122355703e-15	4	3	0.7581978447721742	1	1
DBNDD2	1.5956167496705633e-14	0	2	2	-0.7569091106855972	1	1
LRRC3B	0.00361679467610008	0.0012046245638447487	3	2	-0.7558447060067587	1	1
MYOZ1	4.5635282438515366e-4	8.612675511845318e-5	5	1	-0.7541853276808953	1	0.625
LIG4	7.699533511008851e-4	0	2	2	-0.7534650516841211	1	0.875
ATP7B	4.771728983224798e-10	3.81826993028399e-10	3	2	0.7531533793365123	1	1
TLR4	0.006465374995188571	0	2	2	0.753013537004831	1	0.75
ATP8A1	1.1897124519453543e-8	9.785669533794157e-9	3	2	-0.751291870396154	1	1
novelGene_GJB3_AS	0.04489235915231886	0.16638169049261223	3	0	0.7503250674594073	1	0.625
NBL1	0.009155681355096479	0	2	2	0.7492242117270002	1	1
FRS3	0.003942076060424017	9.048861339112681e-4	3	2	0.746478211090788	1	0.625
MPEG1	3.1567891134071562e-6	0.01575760105268491	3	1	0.7442559479328336	1	1
LOC113266115_EGLN3	2.8676728219102364e-4	3.098546099800408e-4	3	2	0.7442439034424152	1	0.75
SOCS7	7.438954448360395e-4	1.019580942176867e-4	3	2	-0.7425678992063092	1	0.75
LOC113248649	0.0022467514789155287	0.0013023129330181986	3	2	0.7421621779570491	1	0.75
PIDD1	0.010534781114986019	0	2	2	-0.7393097247892421	1	1
IFT20	3.4820735261491293e-9	3.083730041063791e-10	3	2	-0.735456361291327	1	1
ANKRD1	8.946536712363683e-5	0	2	2	0.7342585626075546	0.875	0.875
PPP1R12B	3.018909895398079e-34	1.6459707758164213e-34	4	2	-0.728960333273193	1	1
SIPA1L3	0.022165018077458486	0.014104065728424871	4	1	-0.7281265238488801	1	0.875
ARF3	8.255324641734873e-12	0	2	2	0.7271349214182398	1	1
SYNPO	2.722374462212787e-7	3.6586104698841567e-7	3	2	-0.7253493206556292	1	1
EXOC7	7.21382658140569e-11	1.1089303587277717e-10	5	2	-0.7249716447096897	1	1
LOC113246291	3.249182014268622e-25	3.903599587759719e-14	6	3	-0.7204490312422772	1	1
TBC1D4	1.59788399646564e-8	1.0736962099904877e-7	5	2	-0.7192159849471821	1	1
TDP2	3.2630664855145003e-7	1.7071827796026514e-7	3	2	0.7188098296939216	1	1
ZNF423	0.005234514075160115	0	2	2	0.7175886427972601	1	0.75
NLRP1	0.016509795687413675	0	2	2	0.7172300706845555	1	0.625
FAM107B	6.630705060499503e-6	3.5645423816716276e-7	3	2	-0.7162074486488486	1	1
ABI3	0.012164368075965881	0	2	2	-0.7124590883672951	1	1
CHD7	3.177379687475165e-4	1.1421146067869279e-4	4	2	-0.7120014448744829	1	1
PGBD2	0.034631369835082006	0.04736579556565277	3	1	-0.7108527428764505	1	0.875
LRRFIP1	4.3641050525056627e-26	5.876025158749892e-23	7	3	-0.7098785413736569	1	1
PRKRA	1.3564924609582135e-4	0.40455862675705384	8	0	-0.7053069526145904	1	0.875
USP5	1.0146298790752149e-10	1.715109488315747e-7	8	1	-0.7036631441316052	1	0.875
SLC37A4	0.003597487319880488	0.35846974179714713	4	0	-0.7017376822514867	1	0.75
ABCA13	0.034631369835082006	0	2	2	0.7007086202250555	1	0.625
ALKBH3	1.1641853816041305e-9	3.5362374063600193e-11	6	2	-0.7003656516505266	1	1
RHBDL3	0.02470657076766998	0	2	2	0.6968916250740264	1	1
PIP5K1C	7.653827125395418e-4	3.2932400076921274e-5	3	2	0.6956128922403882	1	0.875
LOC113242608	0.040828571252636364	0	2	2	-0.6942348728397213	0.875	0.625
ASDURF	0.00511440500894226	0.001678192994322485	5	1	-0.6906408078499949	1	1
DENND2D	0.032568610476123055	0.006251103806140766	6	1	-0.6898253206198532	1	0.875
FGF2	1.3021312163527334e-4	0	2	2	0.6888819031659046	1	1
AGAP2	0.011089897069309046	0	2	2	0.6887642444924557	1	0.75
FAM117B	0.020583492100308156	0.013688255952964764	3	2	-0.6865957228579006	1	0.875
LOC113247260	0.03173911154307817	0.0043345550539068325	3	2	-0.6829334394847635	1	0.75
SLC17A9	0.0033752034561428364	0.003673332746613719	4	1	-0.6809715949359155	1	0.75
ABHD14B	2.1393028307554942e-4	0.0020612851531403454	5	2	-0.6800276211037757	1	0.875
MMP28	0.04947278906854296	0.3336288876966792	4	0	0.6797896958562062	1	0.625
LAMC2	0.02126907212082012	0.0029761239006754745	4	1	0.6797146029655339	1	0.75
VEPH1	1.6205486126473492e-5	7.068343060968583e-4	5	2	-0.6790614070422172	1	1
FBP1	0.006249377793611825	0.012500035499418723	5	1	-0.6780294173706604	1	1
LOC113259918	0.019378856249643802	0.016787630442698643	3	1	-0.6766938302850392	1	0.75
TNNC1	9.932444663756473e-5	0	2	2	0.6753664364166435	1	0.875
MBP	0.011200301070702417	0.016928748604588064	5	1	-0.6750484631625515	1	0.625
LOC113264107	0.048533125955656474	0	2	2	0.6739810333765504	0.875	0.625
MEGF10	6.362825349536287e-5	0.0038934189894130867	3	1	-0.6728960111088425	1	0.875
CAMSAP3	0.04386711448614072	0.478667615231057	3	0	-0.6710835167721588	0.75	0.75
FHL1	8.20301679508449e-19	3.448176247314066e-19	4	2	0.671037044221336	1	1
LOC113268068	0.03354093224012021	0	2	2	-0.667241883225975	1	0.75
TBC1D24	0.0014521705920619425	6.62887499653943e-4	3	2	-0.6668013107728052	1	0.75
CUNH16orf58	2.653918321637852e-4	0.0012253523851030582	6	1	-0.6667094646140159	1	0.75
TYROBP	0.023744003420986676	0	2	2	0.6659121906277733	0.875	0.875
DENND1A	0.0017506250219921232	0.21588912528267049	3	0	0.6645901326527275	1	0.75
LOC113250068	0.02064082805959226	0.0033391762649911455	4	1	-0.6623604244496949	1	0.75
NDUFV3	1.6078871297006482e-12	0	2	2	0.6605004708960749	1	1
LOC113264440	3.27704716091319e-15	1.236798126066313e-13	6	2	-0.657609711564364	1	1
CUNH2orf88	0.007953978951632443	0.009886100689716024	3	2	-0.65712673338417	1	0.75
LOC113246872	0.010836442807278338	0.00677060478614828	6	1	-0.6564710964926328	1	0.875
SCLY	0.0027802566176858114	0.004941708217085931	4	1	-0.656361425675643	1	0.875
FAM122B	0.01202574901382241	0.01245605199779547	5	1	-0.654346659710726	1	1
L2HGDH	1.563672548114603e-5	1.7305833218777338e-5	6	1	-0.6528823551977527	1	1
ATP5MC1	6.791070614453469e-28	0	2	2	0.6524591469997992	1	1
CUNH1orf216	9.67272732770668e-4	4.816452171266704e-5	3	2	-0.6479502377535897	1	1
LOC113245579	0.011195902810900103	0.16689874871238725	4	0	-0.6466272903362397	1	0.875
P2RX6	0.011057246443432183	0.029340283542428264	5	1	0.6442955926655515	1	0.75
IFT74	0.04662864753609603	0.013454962313832041	3	2	-0.6439189239787102	1	0.625
PEX10	3.8391006653696865e-4	0.002415988729536826	7	1	-0.6411537669800842	1	0.875
LOC113260329	0.004682502498093569	3.430869396521883e-4	7	1	-0.6410071454007767	1	0.75
CUL9	0.004675831283892373	0.014091926643655297	4	1	-0.6390641307160592	1	1
LOC113259202	0.02329551243168138	0	2	2	0.6379839093822874	0.875	0.625
COBL	5.84400088003203e-28	5.0395162559440255e-19	7	2	0.6373631959752849	1	1
SLC39A8	0.016696850442154965	0.007842976792902788	4	1	-0.6364559960529734	1	0.625
HECW2	2.1344242685293395e-6	3.3892395166740407e-6	3	2	-0.6352494835046528	1	1
ZNF518A	0.0019142295398429535	0.02551482782594668	6	1	-0.6330436357511435	1	1
KPNA3	5.0739332536644044e-5	3.112200488098471e-5	3	2	-0.6327309670826959	1	1
USP28	1.924875898749462e-15	1.6660565063083424e-5	5	3	-0.6324754286189389	1	0.875
GPER1	0.029865479856692623	0.03554066784017741	3	1	-0.6317471152346701	1	0.75
GNG2	0.009013328905185563	0	2	2	-0.6308826557441853	1	0.75
TMEM268	6.216155642970618e-8	1.7764889510389354e-7	4	2	-0.6275943663647632	1	1
RXRG	0.012164368075965881	0.3104443173144247	4	0	-0.627491826445675	1	1
LOC113258058	0.03823534699934693	0.0332949679404461	4	1	-0.6269116703254545	1	0.75
LRSAM1	0.009183607369883518	0.06919355826325709	5	0	-0.6266657708954572	1	0.75
OSGIN2	1.3860651193821664e-4	4.7745755568974187e-4	3	1	-0.6258215183638053	1	0.875
MBIP	1.2121927058904362e-7	2.785006416565936e-5	8	1	-0.6252915939118181	1	1
TNFSF13	0.04979723046800292	0	2	2	-0.6252670708883552	1	0.75
BIN2	0.00509545335079776	0.04521841049990832	5	1	-0.6239665723411572	1	0.625
CGN	0.028125150380369484	0.005315590194763548	3	1	-0.6226642051325635	0.875	0.875
EPS15L1	8.399524346352645e-5	1.4320960873970287e-4	8	2	-0.6208093375901257	1	1
LOC113270271	0.04715886348059352	0.1782625703932666	3	0	0.6191695508590758	1	0.75
CADPS2	0.02080209064419215	0.013949666710384008	3	1	-0.6186152702894476	1	1
FANCL	7.43233421216374e-4	0.0792247602808014	4	0	0.6155608642830693	1	0.875
SYVN1	0.024015134881072236	1	5	0	-0.6152239191100289	1	0.75
AQP7	1.7987501859716434e-6	4.337566445166293e-5	6	1	0.6145419844355554	1	1
TRAP1	8.582594321113231e-10	7.811994348125607e-7	5	2	-0.6133603971147751	1	1
ITGB2	0.03759021591463386	0.013977895649953949	4	1	-0.6130460195589688	1	1
CEP162	0.00285220538953444	0.005414137039586579	4	1	-0.6124530868326102	1	1
RNF115	1.9821523506493644e-12	6.9361285784581564e-12	4	2	0.6124206218698846	1	1
PISD	0.023223878813016414	0.12279502494223653	7	0	-0.6122104364787258	1	1
PRKDC	9.117771904292063e-15	1.5345733344508729e-10	5	2	0.6109687873034667	1	1
EVA1B	0.030169027496512915	0	2	2	-0.6092700717140261	1	0.75
CERS5	1.915399210970495e-5	0.004759638532148018	6	1	-0.6080970390664893	1	0.75
RANBP3L	0.04287032902280538	0.040967272502514536	4	1	-0.6078213670843242	1	0.75
ASB14	2.269441241372159e-4	4.739617370053221e-4	7	1	0.6077980474599202	1	0.75
MORN2	0.043428417516739974	0	2	2	0.6077720431324841	1	0.75
TMEM116	0.016412033339717608	0.29152390850939647	5	0	0.6057440882134609	0.875	0.5
LOC113247893	0.02776520994531511	0.011102351908652953	3	2	-0.60481779649339	1	0.875
DKKL1	0.049404136912375086	0.03589996289073811	3	1	0.6038399284428836	1	0.625
IDH3B	1.6648901735080675e-7	6.838443302716157e-5	6	1	-0.6011767180916947	1	1
INSR	1.147573290106925e-4	0.008948923778928915	4	2	0.6010620165342743	1	0.875
NPNT	2.366095173202322e-9	3.7371415418018475e-10	4	2	0.6008690483603757	1	0.875
TOM1L2	1.5852162115829015e-12	8.486215478741486e-10	4	2	-0.5998786747625248	1	1
CARMIL1	0.007140198438493797	0.03517406784011143	4	1	0.5988475028318068	1	0.875
COTL1	0.016910177500089343	0	2	2	-0.5976949377078787	1	0.75
TIFA	0.030756931648516145	0.43422532183185103	3	0	-0.5976248037414753	1	0.625
SLC7A7	0.01325099181155414	0.006601210908949811	6	1	-0.5966765407332232	1	0.625
LOC113270849	0.03872067448234499	0.07975130888955778	4	0	-0.59551416197556	1	0.75
WDR78	0.00590138973397008	0.02034541927443909	4	1	-0.5947657276172957	1	0.75
BRMS1	0.006016465563911792	0.003168129685044909	7	1	0.5943125540300349	1	0.875
PFN2	6.999013561309814e-4	3.729215423461013e-5	3	2	-0.594100001618113	1	1
LOC113245309	0.02663637117060368	0.04492337103281803	3	1	-0.5913060628404031	1	0.75
LOC113248846	0.015835615335552545	1	5	0	-0.5904769039094555	1	0.75
CARD19	5.082116443534899e-4	6.968396375068274e-5	3	2	-0.5900524146062402	1	1
PCNA	0.007513139041616256	0.09879039477238397	3	0	-0.5900213393798206	1	0.75
BMF	0.034631369835082006	0.03759025115793421	3	1	-0.5893774253528261	1	0.75
PATL1	0.001364502030113906	0.001448372768888241	6	1	-0.5891109178679279	1	1
MYO18B	0.002028671439910991	0.0011987647328375274	3	1	0.588236393897868	1	0.875
LOC113245842_TMEM41B	0.0369171727266958	0.0013063225680783807	3	1	-0.5864466442534283	1	0.875
LMO7	2.8432351873874674e-51	1.9494698449581353e-34	8	2	-0.5856299288299518	1	1
PDE1B	0.0240185368741521	1	6	0	-0.5840801893259456	1	0.5
PPP2R5B	4.709202107111564e-4	0.027558855212729823	6	1	-0.5831740851891147	1	1
EML1	1.5131822698895016e-9	1.3465234046489756e-5	5	2	0.5830071067890326	1	1
FGD6	3.2851327626521325e-5	2.6460536442939736e-4	3	2	0.5817368193625376	1	1
FAM57A	0.0017371140442495412	0.3168881864193163	4	0	-0.5815446225337171	1	0.875
LOC113254340	5.456274636492462e-5	0.04334904910826127	7	1	0.5802533835798402	1	0.625
AGBL4	0.0036708970390934704	0	2	2	-0.5800475044448569	1	1
AKAP7	4.012803928464874e-7	3.3427161825855615e-7	6	2	-0.5785388897790777	1	1
IMPA1	3.0755624880014303e-6	1.0444849251924426e-4	5	2	-0.5785355623470072	1	1
SIPA1L2	0.011244039569846051	0.010813547104539993	5	2	0.5782220578779664	1	0.875
MEIOB	0.03598603532876199	0.02347464078437857	3	1	-0.5776256838435807	1	1
SLC22A3	5.870166186586755e-6	1.689399194986193e-5	4	2	-0.5775390129791035	1	1
GFPT1	5.2640907781783745e-12	1.298487977901083e-9	3	3	-0.5773432090007758	1	1
ANXA7	1.8844451732071152e-23	3.991066106041297e-15	7	3	-0.5768583605489891	1	1
BPNT1	3.398061494871171e-5	4.358400681948127e-5	4	2	0.5766875551280023	1	1
FAM221A	0.026326167464668156	0.061387502309303295	4	0	0.5762870089721215	1	0.75
ITGB7	0.028755716389564697	0.03406666507017806	5	1	0.5752599603037867	1	0.75
ZBTB45	0.025254072806960282	0.023596951934613728	4	1	-0.5749558355230173	1	0.625
E2F5	0.03768239800454098	0	2	2	-0.5740631198233686	1	1
TSPAN5	0.0240185368741521	0.011350350894834613	4	1	-0.5738639980160534	1	0.75
TMEM136	0.026623438474541128	0.06684266961497552	4	0	-0.5730254046792546	1	1
ALPK1	0.02147225181099471	0.3869564514118248	7	0	-0.5726264005276098	1	0.75
TRIM54	0.004058741098156149	0.0010335113141032978	3	2	-0.570617433641005	1	0.875
CAMK2B	2.249862887169511e-6	0.008890763038837797	5	2	-0.5694617531507841	1	0.75
CEP85L	4.599856264662048e-4	0	2	2	0.5687746330360519	1	1
ZBTB11	0.013136026065702366	0.023890497013315942	3	1	-0.5685628224884598	1	0.875
BRPF3	0.0016154134328061917	0.015930891962978196	5	1	-0.5681264476350254	1	1
EXTL3_LOC113269942	1.7994263704481688e-6	7.040413938082776e-4	6	2	-0.5653579179677594	1	1
R3HDM2	0.0012425430372409556	5.249929801269722e-4	5	1	0.5651824360236103	1	0.875
PID1	0.0045420519733015315	0.002267613399516272	3	1	-0.56492000536706	1	0.875
MBD5_LOC113250909	0.0018247207400208442	0.017047644508861398	4	2	-0.5636321744337727	1	0.875
TMEM106C	0.007125332288100902	0.042317657618356444	3	1	-0.5628757614033604	1	1
PDLIM7	2.620505084579032e-13	7.439979820385349e-10	8	1	-0.5614820209016037	1	1
COL4A3BP	2.622821110196997e-5	0	2	2	0.5614782134782149	1	1
UNKL	0.012889783487751974	0.03564748805008559	3	1	-0.5612940664901389	1	0.875
RPL26L1	0.0026799299700860425	0.005970064503672951	3	1	-0.5605830780016545	1	1
KCNA3	3.6493818424801873e-4	1.1401398113826898e-5	3	2	0.5600412159899022	1	1
PYGM	2.428436955691361e-7	8.263240512596678e-4	7	2	-0.559830425935613	1	0.75
PKM	2.028665315202927e-15	0	2	2	-0.5589048144086769	1	1
BORCS8	1.3860651193821664e-4	6.05256234399642e-4	6	1	-0.5575822452849389	1	1
CELSR1	0.007144740668585835	0	2	2	-0.5575659172842878	1	1
CUNH18orf54	0.042212419430440434	0.5276380859562961	5	0	-0.5575220736206948	1	0.75
LSP1	2.3458372237790347e-21	1.5505552667432398e-21	5	2	0.5573542807056092	1	1
LOC113248686	0.006721131720218002	0.0038559342232672668	3	1	-0.5563415384363466	1	0.875
KDM1B	0.0275181555609122	0.007394439135254611	6	1	-0.5558146464054984	1	0.875
QKI	6.841808076363362e-34	1.4034762710669965e-23	6	3	-0.555576515164364	1	1
ALKBH1	1.7271789548667075e-5	2.058900936072907e-6	5	1	-0.5550132001582602	1	1
TXNL1	5.061716329247643e-13	3.775063516537263e-10	7	2	0.5544352161451328	1	1
EMID1	2.100541459830142e-7	0.0944492259046295	6	0	0.5534536589989377	1	0.75
NRAP	2.1698951387399245e-18	7.541778619526918e-12	8	1	-0.5524573992526766	1	0.625
SEPT6	0.02036118912366407	0.9879414860422401	6	0	0.5524554497490202	1	1
P2RX5	0.0035433407707658603	0.008142360908306253	4	1	0.5512512291788823	1	0.75
IMPDH1	0.039847724031156204	0.0016095321411826232	6	1	-0.5506177909294434	1	1
SLC37A3	0.004025207894565322	0.002459070667332823	3	1	0.5498861333764329	1	0.875
ADORA1	0.04260256339634374	1	3	0	-0.5495747622366529	1	0.875
SMIM14	0.0031789170384058677	0.05009376417191616	6	0	-0.5482499208250581	1	1
AAK1	3.7801742453151023e-7	4.347218865598916e-6	9	3	0.5478438157490524	1	1
ACACB	1.5386562209233176e-5	1	8	0	-0.5475939997443193	1	0.875
TRIP10	0.003921101902967441	5.147061181963875e-4	3	2	-0.547218609042105	1	1
THAP4	2.3561180505703521e-4	0	2	2	-0.5471021370900978	1	1
PPP1R3A	4.096396561748463e-19	1.807146963965477e-10	5	3	0.5468090686335486	1	1
CARM1	0.0010660124402230853	1.590361106647497e-4	3	2	0.5462578524465433	1	1
ADAMTS20	0.03511917679233443	0	2	2	-0.5460129208619433	1	0.875
LOC113269004	0.012975798247903987	1	5	0	-0.5452063796675413	1	0.875
FRAS1	0.004021654122477874	0	2	2	-0.5446043756404244	1	1
USP54	0.010653987626097795	0.10435456536622731	7	0	-0.5433453072389408	1	0.875
CCT8	2.4103493464359144e-27	2.6554850426619326e-12	5	4	-0.542849252590251	1	1
LOC113248443	0.0010477099690060876	0.0328859721995815	4	2	-0.5418361417571471	1	1
TEAD1	1.555938263375567e-7	7.536559268152615e-5	6	2	-0.541742331657047	1	1
COQ6	6.625918614450098e-5	0.005312483547335132	6	2	-0.5401412992976492	1	0.875
CLTC	1.8844451732071152e-23	1.0631942858858815e-12	6	3	-0.5399526497011964	1	1
LOC113249271	0.01302994637778962	1	4	0	-0.5396980337303802	1	0.875
CUNH15orf41	0.01427232037823129	0.07192739581179242	3	0	-0.5395811976833944	1	0.875
LOC113260369	0.009368202546701048	0.005421447920713378	3	1	0.5376747077123021	1	1
TRAK1	8.485138685802966e-17	1.9134009910108952e-11	5	3	-0.536791757513225	1	1
LOC113253421	0.007716280223481082	0.04500453903587014	3	1	0.5363686858658809	1	1
RAPGEF6	2.407668090336551e-8	5.32742239313276e-5	7	2	-0.5362187838830458	1	0.875
RFX7	0.009638230573165625	0	2	2	-0.5361785792355014	1	0.875
ADGRL2	1.7512732267974485e-16	5.212614203955819e-13	8	2	-0.5360253882100309	1	1
BST1	0.02373938204901113	0.010130802658613698	3	2	0.5359619118367241	1	0.875
TMEM175	1.24583051051564e-4	0.0013910001574055605	4	1	-0.5334688217407589	1	1
LRRC2	8.19527115989808e-6	1	9	0	0.5331909786170832	1	0.875
AATK	0.00509545335079776	0.007346663160205694	3	1	-0.5322696856520168	1	1
NOL4L	0.047583600788193466	0.06327638081468588	5	0	-0.5308011789239185	1	0.875
EPS8L2	0.004319964784608172	0.13048181151175633	7	0	-0.5305633420453606	1	0.5
SMG6	4.200213139611241e-5	1.2627678508803729e-5	3	2	-0.5305270172331363	1	1
ANK2	6.999222401087716e-10	1.49828074780867e-4	9	2	0.5294358619278906	1	0.875
LOC113268656	0.04795801038829103	0.6841338647923672	4	0	0.5278213403392805	1	1
PTPRF	0.012512427522079617	0.009220532891845757	3	1	-0.5276363278836771	1	1
USP4	3.2425597623776545e-4	0.0017557783584169356	8	1	-0.5269733413181092	1	1
TMEM245	4.8458555203921746e-9	0	2	2	0.5268282710106191	1	1
NUDT5	0.026868007018548808	0.13751502016195885	6	0	0.5262496082039176	1	0.75
LIAS	1.8979681505673624e-4	0.008897704351554438	5	1	-0.5256980848368855	1	1
SFXN1	0.006748476376188971	0.02459745683641326	5	1	-0.5235992893021728	1	1
WDR91	0.001155337083821943	0.017212142841178446	6	1	-0.5235286109752764	1	0.875
HMGCLL1	0.0019688459815462565	1	5	0	0.5228041707285469	1	1
ABCC3	0.026868007018548808	0.021323852770810118	3	1	-0.5224367198178246	1	0.75
FHL3	0.023893220971263725	0.16906426797454924	5	0	-0.5213077940428267	1	0.875
EEF1A2	0.017190759726188498	0.0038354778336686705	3	2	0.5212402123638219	1	0.75
SLC4A7	0.01944564409783878	0.007668810218135828	4	1	0.5211070885637077	1	1
PFKFB3	1.5116531852188346e-9	1.698251321197168e-6	9	2	-0.5205402963124474	1	1
LOXL3	0.023893220971263725	0.18590378493309737	5	0	-0.5199915788686215	1	1
LOC113258957	0.004636920279684949	1	4	0	-0.5173050264903183	1	0.875
UBN1	0.006479844969408439	9.867045429727587e-4	3	2	-0.5173002248231922	1	1
SUPT6H	0.0488070847997161	0.1274431542451859	5	0	-0.5169122774462049	1	1
ARRB2	0.0011726850740613904	0.002087807282961685	5	1	-0.5168275285411154	1	0.875
NDEL1	0.038861480136393636	0.06753372441684387	8	0	-0.5166747829630878	1	1
ZNF507	8.967740778643619e-4	0.003779005691731548	11	1	-0.5162727241772519	1	1
DYNC2LI1	0.022377074455890728	0.02081596734689135	6	1	-0.5149693755042324	1	1
DYSF	1.0454574852498003e-11	0.0016472364102434172	10	1	0.5138810738470951	1	1
