gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Lung-Ventricle)	pct_gene_expr	max_pct_tx_expr
LRRFIP1	7.100201193944784e-42	1.429177679871586e-33	7	2	-0.7339001117288613	1	1
CPT1A	6.370067742841612e-6	8.9714861158041e-6	4	2	-0.733402012653258	1	0.875
DLEC1	0.007001265812047207	0	2	2	0.7323869860902841	0.875	0.875
MAML2	0.007675702196338162	8.930379920607229e-4	3	1	0.7309751396609968	1	0.75
SNPH	0.03315926378989792	0	2	2	0.7307585959576532	1	0.75
LOC113245579	2.3211287123109424e-4	0.00958306422230935	4	1	-0.7210220289509093	1	0.875
OCLN	0.002225089548166962	3.749759129291489e-4	3	2	-0.7209874550494596	1	1
LOC113246184	0.007958255455219714	0.013398218886493632	3	1	0.7196787529949189	1	0.625
EVI5L	0.011326391096979983	0.0016937554278933314	4	2	-0.719207062037461	1	0.75
B3GNT9	0.012573871891127962	0.006429994775727315	3	2	-0.7187680253831967	1	0.75
ITGB1BP2	1.0313023496435606e-8	0.04106071239675719	4	1	-0.7148592591564845	1	1
FGFR1OP	5.007431298794278e-5	7.403581670955534e-6	3	2	-0.7136518227563096	1	0.75
novelGene_GJB3_AS	0.037243686078521285	0	2	2	0.7136429625134934	0.875	0.625
EVC2	0.005608859302805043	0.007965180464968604	5	2	-0.7122099612226274	1	0.875
ALKBH3	7.81939397553239e-8	8.333275656849956e-10	6	1	-0.7113889192677362	1	0.875
STAP2	0.010423243419017902	0.0031632133986342586	3	1	-0.7107820583298762	1	0.625
LOC113245842_TMEM41B	0.03276177815977299	0.0063368272923336666	3	2	-0.7101610446565763	1	0.75
ATP8A1	2.761431644484512e-7	1.1596981682234085e-8	3	2	-0.7101158565751562	1	1
RXRG	5.113790593645235e-4	0.048454900828485185	4	1	-0.7097545453933777	1	0.875
MEGF10	2.708974169003418e-4	0.002456752917565362	4	1	0.7096722202842443	1	0.625
SYNC	1.6992522219369002e-15	1.897249503172723e-11	4	1	0.7093567164671193	1	1
LOC113248649	0.008043022482545842	0.005889641544229569	3	2	-0.7082481840442868	1	0.75
COPRS	0.0033109132668030935	0	2	2	0.7056157726316732	1	0.75
L2HGDH	2.2808065398608613e-5	7.101834099771242e-4	7	1	-0.6991341104626715	1	1
UNC5C	4.6261174423748173e-4	0.0016308308378204055	4	2	0.6979229888089156	1	1
PLCG2	0.027100020193833133	0	2	2	0.6972573931656093	1	0.625
FGL1	0.036818979910015016	0.016439034074869702	3	1	0.6971172870750346	1	0.625
PIP5K1C	5.996526654739426e-4	2.5814028346772558e-5	3	2	0.695983207657945	1	0.875
LOC113268656	0.017011882836894216	0.01638759077656548	4	1	-0.6934241475590722	1	0.75
BCAR1	6.141701928234365e-4	1.314806582988777e-4	4	2	-0.6927204312615336	1	0.75
IL17RC_CRELD1	0.0010823913157600087	0.004927310322569191	5	2	-0.6914593127206556	1	0.875
MARVELD2	2.850726954022049e-10	7.044746903848283e-10	6	2	-0.6903565410323398	1	1
NDUFV3	7.062157447805212e-21	0	2	2	0.6899487581215211	1	1
ITGAL	0.02665886262681713	0.003050075137150171	3	1	-0.6896321281972035	1	0.625
SLC16A2	0.03314669649463158	0	2	2	0.6893023631895164	1	0.625
PIEZO1	2.838013450128646e-9	3.65526677053166e-8	5	2	0.6891149958831058	1	1
ABHD6	0.004175163693224042	0.006839878338046258	3	2	0.6888557053810972	1	0.875
SYNPO	6.583578587191763e-11	1.1220441433053501e-10	4	2	-0.6887325095877062	1	1
ABI3	0.019030531979229503	0	2	2	0.6865040269967012	1	1
YIPF7	0.041190554379123265	0.025376432235727133	5	1	0.6864794608930949	1	1
LOC113268666	1.3706911280927714e-5	5.716111161734312e-6	5	1	-0.6857362430587423	1	0.875
ABI1	1.421758592346837e-22	7.42010559324179e-19	6	3	-0.6853958483496596	1	1
ANXA7	3.133805223207369e-19	8.957453277157747e-15	7	3	-0.6803212151440913	1	1
SLC43A3	0.002864599078657562	0.0014191202514239364	5	2	-0.6799923695281413	1	0.875
PFN2	2.076970167686743e-4	9.878592908942804e-6	3	2	-0.6798893844117851	1	1
DCLRE1B	0.04658974532357129	0	2	2	-0.6796586636932548	0.875	0.625
TMEM268	1.3177639387271467e-5	7.092783051232091e-5	4	2	-0.6794953672255049	1	1
RDH16	0.007122662423214121	0.03027760808692573	4	1	0.6792505476668719	1	0.5
DBNDD2	1.4543709499313315e-9	0	2	2	-0.6784018858699248	1	1
LRRFIP2	5.0255695398166394e-8	5.643669797602657e-7	6	2	0.6776735186156513	1	0.875
TNNC1	5.586540304802463e-6	0	2	2	0.6764661233628366	1	0.875
MYBPC1	0.002072182847550899	1	5	0	-0.6762801012329506	0.875	0.625
TRAF5	0.03526589156019028	0.0314791820040544	3	1	-0.6749009096822842	1	0.625
MED29	0.018476326206490496	0	2	2	0.6743607744126906	1	0.875
AGAP2	0.005405533205359626	0	2	2	0.6722841742230077	1	0.875
NLRP1	0.042715237954708864	0	2	2	0.6705218303113477	1	0.625
RTL6	0.0022739935849694234	0	2	2	0.669280443983919	1	1
PRR5L	0.003426253111207229	1.9586477365779085e-4	4	1	-0.6691836584142439	1	0.75
ATP2B4	8.079869640750202e-19	4.958295216893617e-12	8	2	-0.6691001178262477	1	1
PDE1B	0.003780106509876941	1	6	0	-0.6665320716368298	1	0.625
OPLAH	6.703053279737322e-5	3.3771867156885595e-4	5	1	-0.6646341405441529	1	1
LOC113248444	0.001418137409821387	9.608305115652793e-4	10	1	-0.664296045316906	1	0.75
TNFRSF1B	0.006918938452746555	4.819266727988735e-4	3	2	-0.6631725104228511	1	0.875
MAP3K8	0.004296875935050066	0.00180523981776393	4	1	-0.6631567029287144	1	0.875
IMPDH1	4.567248808726717e-4	9.762978891412954e-5	5	2	-0.6626754552910857	1	1
SH3PXD2A	0.008570522730005312	8.546734988779395e-4	3	1	0.6611619534798441	1	1
AQP7	7.523416065810327e-9	1.4408495663640323e-5	5	2	0.6609176299794274	1	1
SLC25A19	0.005309680793043453	0.0032596319950928777	4	1	-0.6603539690167674	1	0.875
NOD1	0.014950616841797744	0.01289907090113766	5	1	-0.6597702638577624	1	0.875
TDP2	3.3801978185271067e-4	3.3205044993863113e-4	3	1	0.6575384583195292	1	0.875
FBN2	0.032149030853249536	0.011029469129203015	3	2	-0.6553729699638299	0.875	0.625
COBL	1.973344355819932e-16	2.554676180873057e-13	6	2	-0.6553394648221723	1	1
PSPH	2.2465501135812997e-4	1	6	0	-0.6550137850245092	1	0.75
GPER1	0.0344575842648618	0.030796708930392134	3	2	-0.6548547140778761	1	0.75
PLEKHA4	0.023125775816020173	0.03382100599624789	4	1	-0.6529160158941191	1	0.75
ACACB	5.1847131393847435e-5	0.47695274958915407	6	0	-0.6525889127608993	1	0.875
FBXL12	0.010974293820584851	0.008221390709514291	3	1	-0.6517453220439521	1	0.75
MEIS3	0.049753890030596666	0.2267578319992664	3	0	0.6512676981734137	1	0.75
OSGIN2	1.4133080283415978e-6	1.8917244506583343e-6	3	1	-0.6488368233672996	1	0.875
LOC113263131	0.03133991750390331	0	2	2	0.6487723486477573	1	0.75
CLSTN2	0.010061622213102663	0	2	2	0.647852149385309	1	0.75
SYT11	0.006966749929038871	0	2	2	0.6453405154915228	1	0.875
TXNL1	3.1888312335658764e-24	8.486122866167381e-17	5	3	0.6440493313907164	1	1
NINL	8.180198166368281e-4	7.828871904648676e-4	4	1	-0.643363887400842	1	1
PCNX3	6.313016396445201e-5	3.484780187287605e-5	4	1	-0.643142306795477	1	0.875
CAMSAP2	5.590443176227724e-11	2.182893308602883e-9	4	2	0.6406891874411342	1	1
FAS	0.0384853164765053	0.04498858362329819	5	1	-0.640565790249054	1	0.75
LMLN	0.015120698180474826	0.007594001899591242	3	2	-0.6396241911596219	1	0.875
C3	7.955744092084661e-4	0.007414608333772081	6	1	-0.6393100558125687	1	0.875
ARHGAP26	2.0517907554594924e-4	2.607866640943291e-4	4	1	-0.6387816571340725	1	1
LOC113270472	1.7992693872686557e-4	1.554384572916044e-5	3	1	-0.6384106679043756	1	0.875
WSCD2	0.04970708681269581	0	2	2	-0.6368172999872987	1	0.875
SMAP1	2.5144619120775455e-5	1.941941638913012e-6	3	2	-0.6353626110167574	1	1
PPIP5K1	7.566482967704062e-7	3.0606972461976306e-5	7	1	-0.6344159215409738	1	0.625
LOC113245037	0.0038688720457119323	0.008266764899748967	4	1	-0.6329632991446377	1	0.625
TMEM87B	0.0015086761935367672	0	2	2	-0.6326855920789829	1	1
ASB14	4.233442706464687e-6	4.232124128841875e-6	7	1	0.6311177462866248	1	1
ATG16L1_SAG	0.009091159228671392	0.025467640757741588	4	1	-0.6300763604959043	1	0.75
LOC113249722	0.008469004625576622	0.02558049491856311	4	1	0.6295515772544733	1	1
ACKR2	0.02511883806058003	1	3	0	-0.6286969730956148	1	0.5
QKI	5.633360169608173e-21	4.2202141484265736e-14	5	3	-0.6286328890880121	1	1
EML4	0.00306782280474055	2.539020633399047e-4	4	1	0.6285955924121143	1	0.875
C4BPA	0.021990528901923198	0.03706366256578652	6	1	-0.6275224643632432	0.875	0.875
IL1R1	1.3525896322507866e-13	2.016188755365856e-12	4	2	-0.6266867360526447	1	1
EIF2D	1.2321549554183144e-8	3.870776666019066e-9	5	2	-0.6264126971394276	1	1
ZNF229	7.127645622790349e-4	0.19847750644414291	5	0	-0.6261369500830481	1	0.625
KIF6	0.018530210383116065	0.0241358727944556	5	1	-0.6259410724314093	1	0.75
CDPF1	0.038214479665217724	1	5	0	-0.6241301045233562	1	0.625
LOC113270541	0.03526589156019028	0.05200396817821161	4	0	-0.6235786585421614	1	0.75
TEX264	0.04088867100509529	0.016589873095948216	4	1	-0.6228705645901411	1	1
GANAB	1.1405805733772763e-8	1.7147705444357875e-9	3	2	0.6218914635485832	1	1
RNF128	0.02970462869730771	0	2	2	0.6216185375299419	1	0.875
LOC113259202	0.007588109015638507	0	2	2	0.621592867901144	1	0.75
BRMS1	0.036198875872534876	0.027049238846274564	6	1	0.6211116911765923	1	0.875
TEAD1	2.55030629708987e-6	0.0010938034312374609	6	2	-0.6176843010300272	1	1
CCT8	1.0367158079492288e-29	9.303558493757246e-14	5	4	-0.6174984321378588	1	1
LRRC14B	0.0036901470345601143	0	2	2	0.6166267583722619	1	0.875
EPS8L2	0.0010635661647257783	1	6	0	0.6164606543179648	0.875	0.5
ARMC6	0.03508223580826268	0.05902938383032639	4	0	-0.6164373129290234	1	0.625
TOM1L2	4.1296359986908073e-7	5.798149943864689e-6	4	2	-0.6160612566667626	1	0.875
ATG7	0.012140594983235732	0.026718948896143475	7	1	-0.6153637731886851	1	0.75
GATAD2B	0.003142541009855919	1	4	0	-0.6124840451338219	1	0.75
FAM192A	5.280753897754156e-6	0.12592494761919348	9	0	-0.6124483422362114	1	0.875
TNRC6A	0.0038865921116922994	0.004743777925963112	6	1	-0.6117806210358007	1	1
PLCL2	0.002193081171413655	0.011712852992159614	4	2	0.6113216332284872	1	0.875
SLC2A8	0.048636899285712416	0.8474976785751208	3	0	-0.6103540440714555	0.875	0.625
GAR1	0.0024605846142426975	9.099154666359979e-4	5	1	-0.6085577043512136	1	0.625
LOC113246872	0.017058548507204254	0.00509884801688642	7	1	-0.6081738711157647	1	1
LOC113265298	1.2803640971861172e-8	4.189462596128163e-5	5	1	-0.6081371058515299	1	1
ALKBH1	4.892849756269416e-7	1.487888257954923e-7	5	1	-0.6074992004931531	1	1
RPL26L1	4.8015395533159344e-4	3.0877836810984567e-4	3	1	-0.6068845084381431	1	1
SUPT20H	4.937211165054028e-10	1.0834622690148412e-5	12	1	-0.6015312579163808	1	0.75
USP28	3.3490546598626085e-17	4.353178434942864e-5	6	2	-0.6015294126051582	1	0.875
SVIL	7.067998796447269e-28	1.7394954698170366e-14	8	5	-0.6014871225550253	1	1
DYSF	5.6763499631503554e-21	5.098832363770532e-7	9	1	0.6014712117817602	1	1
CD55	0.03031011443459785	0.008231394749344338	5	1	-0.6009628546215005	0.875	0.625
TTC9C	0.007792598029322128	0.038202729969329455	4	1	-0.6006309817291228	1	0.875
LOC113253409	1.710108065018582e-8	1.3141588882266207e-9	3	2	-0.6002526310018764	1	1
THAP4	5.280753897754156e-6	0	2	2	-0.5978539172877168	1	1
ARHGEF28	9.385894314754278e-6	8.409779944257104e-7	3	2	-0.5977209045921	1	1
ACTR3B	1.6200380446687712e-4	0.0016964557517963265	5	1	-0.5975009444383046	1	0.875
SLC37A4	0.005082355504066262	0.2423522309476839	4	0	-0.5961797816965602	1	0.625
LOC113248593	0.04202169297323783	0	2	2	-0.5941910041784935	0.75	0.625
TNIK	9.87843102583403e-9	1.6208693095903778e-7	4	2	-0.5939821163480021	1	1
USP39	0.007491011676903447	0.03023396775088896	6	1	-0.5939407421025333	1	0.875
IRAK2	0.018476326206490496	0.24252456184732296	5	0	-0.5937521286112133	1	1
GIMAP7	0.0020592631443228614	0.002684755051547174	4	1	-0.5927515815827492	1	1
HECW2	3.2702507814701584e-5	3.0219291041816904e-05	3	2	-0.5924260325684445	1	1
ETV6	1.9075881611543895e-4	1.075669099065467e-4	3	2	-0.5918109113364415	1	1
SLC10A3	0.021132938078573717	0	2	2	0.5914609947065237	0.875	0.875
CCDC163	1.998992181757128e-5	1.3609463026059715e-4	6	2	0.5914291426403298	1	0.75
LOC113248505	0.0064748867895204135	0.22156230685868164	7	0	-0.5913655306101914	1	1
ZNF134	1.0151470226933335e-4	0	2	2	-0.5905114436033901	1	1
TRIM37	0.006208113199163369	0.19735824335442548	4	0	-0.5892547487320899	1	0.875
FAM117B	0.04568122104493706	0.041678597366338284	3	1	0.5891334878199205	1	1
WASF2	6.029343812809783e-10	2.4342524983592508e-11	3	2	0.5886751719748221	1	1
LOC113265295	0.010911425285812303	0.0052892475295421475	3	2	-0.5882092130889817	1	0.875
MXRA8	0.019367672344076745	0.0027840562251025018	3	1	-0.5880797064660452	1	0.875
LOC113270876	8.605016607706404e-6	1.8781379500673032e-5	6	2	-0.5876143945877637	1	1
EPB41L5	4.488643041543078e-4	1.9455833186987344e-4	7	1	-0.5869125869241278	1	0.875
COQ6	1.442916556073385e-4	0.009051654784908787	7	2	-0.5860663161852129	1	0.875
DNAJC13	6.14411776793159e-5	1.504739305470717e-5	4	2	-0.5857113466340703	1	1
MAN2C1	0.03417379486891293	0.07635645704993861	7	0	-0.58564813799113	1	0.75
TMEM245	9.283391206552044e-16	0	2	2	0.5846618773647208	1	1
MAP2K7	3.929441266928978e-6	0	2	2	0.5843886628000509	1	1
CUNH19orf47	2.006574018375717e-48	3.651988983506908e-10	6	2	-0.5843884134924296	1	1
ADAM11	0.025232344978995878	0.2507719738510291	5	0	-0.5842079133159628	1	0.625
ENO1	2.137785139077237e-9	2.688629644863327e-7	3	1	-0.5841019685337745	1	1
NCK2	0.006725916256815424	0.36705868652897655	5	0	-0.5838839475879064	1	1
SS18	0.017158631869638195	0.019094132146255556	7	1	-0.5838620045091044	1	0.875
MYL2	5.147484863772105e-4	0.004442556099104432	4	2	0.5836744548637749	1	1
PITPNM2	0.0176611631589016	0.022358098190735365	6	1	-0.5832472272864972	1	1
FRAS1	0.007122662423214121	0	2	2	-0.5831586729198421	1	1
TRIM54	0.0010003724517696623	5.568204290461842e-4	3	2	-0.5821092692478892	1	0.875
CD274	0.004459304602154037	0.0018922316593598964	5	1	-0.5806195959541668	1	0.75
FADS2	0.016093519077498446	0.002229518188599672	3	1	-0.5805820194307784	1	1
TLR4	0.024739012839923698	0	2	2	0.580350434737881	1	0.75
RNF115	6.461608327555983e-12	7.67145136016534e-11	4	3	0.5797928854318186	1	1
SHLD2	0.038214479665217724	0.5688643373288026	4	0	0.5789579519688985	1	1
UBP1	3.825413875533986e-8	8.950296247001709e-10	4	2	-0.5787808552896	1	1
SIDT2	0.003766512161332956	0.16249840684469413	5	0	-0.5786502791118192	1	0.625
LSP1	4.0202398457326434e-28	3.855863639571559e-27	5	3	0.5785160496622062	1	1
P2RX5	4.6505082674677e-4	0.002242537304266414	4	1	0.5781741389631329	1	0.625
SYNGR1	6.141193419742706e-5	0	2	2	0.577882810769257	1	1
FAM122B	0.007792598029322128	0.01776174524791744	6	1	-0.5765629319850172	1	0.75
GFPT1	1.8745380888359822e-14	1.6008292877783132e-11	3	3	-0.5755786700622904	1	1
C1GALT1	0.01371983306953763	0.0035926992142113886	4	1	-0.5750017815500448	1	0.75
LNX1	0.004176696854833507	0.003037641712074845	9	1	-0.5749209395631282	1	0.75
RPN2	9.109960126373257e-5	2.7225101173347e-6	5	1	-0.5725264289981513	1	1
USP40	0.017230239015663767	0.009837341285773226	8	1	-0.5717157004239315	1	0.875
LIAS	8.463256341774333e-4	8.437192925291552e-4	4	1	-0.5716929447795457	1	1
LMO7	1.173197768189051e-256	5.656324187303355e-120	8	2	0.5716852378155124	1	1
PTCD3	8.252271329452179e-6	5.632381544458182e-6	11	1	-0.571038966717799	1	1
ZBTB17	0.010116496047798327	0.006981898600244111	4	1	-0.5706348241969038	1	0.875
POSTN	0.028822564452565976	0.1254538906679168	6	0	-0.5696215191686873	0.75	0.625
AUH	5.198325605360135e-6	2.557978801597698e-6	4	3	-0.5691027900561794	1	1
ITGB2	0.005851925441669586	0.018905016894552793	5	1	-0.5688774405016783	1	0.75
GOLGA2	0.0020110787362690704	5.327867256722943e-4	4	3	-0.5685196623491757	1	1
CUNH1orf216	2.62794887798364e-4	0.0012042360475006163	3	1	-0.5684544202301197	1	1
CEP85L	4.5823399165553834e-4	0	2	2	0.5673362661625557	1	1
NRAP	5.2008884133652533e-17	1.898959305111377e-11	8	2	-0.5664549266800988	1	0.75
IDH3B	1.637917145285189e-8	1.6498324687432807e-5	6	2	-0.5663588704161563	1	1
PDE4D	3.703884118083451e-21	2.5451241311084786e-16	6	2	-0.5663108117040057	1	1
WDR4	0.008800298070213864	0.004216564193174367	4	1	-0.5648957985932452	1	0.875
SYBU	2.128892505984859e-4	0.02861886990774333	6	1	-0.5645891009371586	1	0.75
AGPAT2	0.003964496983232751	0.0017508160888636875	4	1	-0.5637932483178483	1	0.875
PYGM	4.328568377814089e-5	0.014241126223194804	6	1	-0.5637039455048414	1	0.75
AGBL3	0.0010227418946907665	4.084899062645295e-4	5	1	-0.5602193231995752	1	1
MPZL2	0.007552570441657179	0.004737862497635359	6	1	-0.5600058552142121	1	0.75
UBXN8	0.01127103426793801	0.20675659513066605	4	0	-0.5595500121976097	1	1
ERAL1	0.002033612113735036	0.006457708303580233	5	1	-0.559201695769846	1	1
LOC113245526	0.02495568345422855	0.11175810614515778	3	0	-0.5589353703496454	1	0.875
COL4A3BP	0.001788843614061664	0	2	2	0.557771477927509	1	1
TRIM55	2.35912131993338e-4	0.0053209554371527485	6	1	-0.5550499895284452	1	0.875
PPP1R3A	5.595581046407387e-29	5.396085252843696e-14	5	3	0.5545718310150921	1	1
KRI1	0.0041887205752733315	1	6	0	-0.5544535788652313	1	1
LOC113270849	0.034545334971298185	0.02605154141394991	4	1	-0.5543008637627895	1	0.875
DIPK2A	0.01203954080354426	0	2	2	0.5535565769482872	1	0.875
FBXO31	0.006037123878132362	0	2	2	-0.55304227392016	1	1
PLA2G4A	0.0011718706561831755	0.13070306400346968	7	0	-0.5525685823008158	1	1
LOC113271213	0.04032423573084267	0.10904104583521242	4	0	-0.5521295558730829	1	0.625
RNF114	0.03703017289450235	0.006887023390167656	3	2	-0.5516437178770311	1	1
SDR42E1	0.024330010693036322	0	2	2	0.5512265627368531	1	0.875
HM13	3.9029304902544526e-5	0.015078096065701822	6	1	0.5509697188536578	1	0.75
TRAK1	2.1429620673757393e-12	7.60937689987793e-9	6	3	-0.5504943279619824	1	1
FAM53A	0.0027787621868861994	7.168040458756082e-4	8	1	-0.5489730383208461	1	0.875
ZNF436	1.92405161331576e-4	6.012787166054063e-4	4	2	-0.5484219803903592	1	1
LOC113249271	0.009521421562400685	0.9054341528359078	4	0	-0.5481390916601482	1	0.875
TANK	4.8684352279260216e-5	0.0048980413762145505	10	1	-0.5478112554279494	1	0.75
TRAP1	9.218506184485004e-5	0.005582107398963313	6	2	-0.5473494449204557	1	1
LOC113258957	0.008616154731459316	0.027924073335352143	4	1	-0.5470898712295357	1	0.875
CSDE1	8.516818144867468e-16	6.989069205206662e-13	6	2	-0.547070439383372	1	1
LOC113262163	0.006420116713877989	0.00409492487887224	4	1	0.5455837876956435	1	0.875
TNC	0.03145728493592623	0.0054506263231288805	4	1	-0.5455809174984297	1	0.75
WDR81	0.032470990531387814	0.13425548354474992	4	0	0.5454213685057393	1	0.75
SENP2	4.3811617354147515e-8	6.8567268348150435e-6	10	2	-0.544515245661871	1	1
CEMIP2	2.227704567404891e-8	2.193179260391815e-11	5	2	0.543229098053201	1	1
AGMO	0.0393944572828979	0.5448437513466756	6	0	0.543075483530284	1	0.625
ANK2	1.0239453820719634e-8	9.523278758835031e-4	8	2	0.5397806972375973	1	0.875
SLC19A1	0.032249318696988515	0.284942305429072	6	0	-0.5383585582258865	1	0.875
MSI2	8.262197535499796e-4	0.0034843054240792965	3	2	-0.5381200861582773	1	0.875
METTL1	0.03596065766199349	0.06243626978533122	4	0	-0.5378322510549378	1	0.875
