gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Spleen-Lung)	pct_gene_expr	max_pct_tx_expr
TTC39B	0.01590113967549636	0.009529747794604018	4	1	-0.4691091568239034	1	1
LOC113246291	2.587922962892196e-21	8.359297085263117e-6	9	2	0.4625067963743593	1	1
HYKK	0.0016499823027973151	0.011885838654077802	11	1	0.45589534313221497	1	1
RASGRP3	0.033672338113841155	0.5846749534008981	7	0	0.45585882131055155	1	1
PPFIBP2	1.020363339992246e-6	0.0071462455596785655	13	2	0.4370339129510319	1	1
SHROOM2	0.008734743860561337	0.00719883376609631	4	1	0.43196666255217075	1	1
DNAJB9	0.0012564367827126914	3.569062425110814e-5	4	1	0.42976517945147424	1	1
PDE1C	0.046141085278820916	0.017016390275466	5	1	0.4249770239004816	1	1
KATNAL1	8.240556851002554e-5	0.06537506210453455	5	0	0.4227419138475161	1	1
SLC33A1	0.02411492544207468	0.1460563651018109	6	0	-0.42002558955651337	1	1
FYN	8.103844436911355e-6	0.006790484916854509	7	2	0.4152938500303026	1	1
USP4	0.005871458310699193	0.12475940915133761	10	0	0.4126429635183396	1	1
FMO2	6.283161057523552e-6	0.002400245466390902	7	1	0.4114338799869073	1	1
TTC21B	0.002297045884825023	0.0016989395508842826	10	1	-0.4088894420756002	1	1
FILIP1L	0.025143418534347588	0.02085509980863498	5	1	-0.40101079924309935	1	1
ARHGAP17	0.005716193843749272	0.28400091231202335	11	0	0.3985583569296605	1	1
COBLL1	0.008817867975666303	1	9	0	0.39520050191870126	1	1
TPM1	3.5281008945919923e-17	1.0090667170878942e-17	4	1	0.39493236675212173	1	1
PGBD1	0.008119331103559226	0.9495487978381799	6	0	0.39173181054353723	1	1
LIMA1	0.0019227472506301061	3.1708637334563827e-4	10	1	-0.38914492045158916	1	1
UROS	0.0375229631105936	0.013435713422011055	14	1	0.38463754151522145	1	1
COL12A1	0.0023810977582281005	0.024374710955760603	6	1	-0.3841577933508776	1	1
MYOF	0.003435879374574385	1	7	0	0.38221081036108223	1	1
RPS24	4.664209397790669e-10	1.2356174584163582e-11	3	2	-0.38148895702238056	1	1
SEPT9	0.021229145263580905	0.19876446651643292	9	0	-0.37651235614399803	1	1
TMEM131L	0.0023439500013606824	0.05767709205755915	10	0	-0.37530584263619404	1	1
MANEA	0.013652119882230777	0.1433188808338817	9	0	0.37503028201691246	1	1
TBC1D23	0.03521664038555826	0.11809436707403242	8	0	-0.3743243550867632	1	1
EPB41L2	1.1532566591765567e-17	3.252314275150828e-7	10	3	-0.37244534891139053	1	1
EXTL2	0.003994145096096545	0.007356850121192852	5	1	0.3708810906531039	1	1
ACACA	2.9140587603999874e-4	0.10586916657387356	14	0	0.3697926389584066	1	1
FOXN3	0.002624120277801285	1.6198736663513893e-4	6	2	-0.3681312657213809	1	1
FOXP1	0.014421151954086848	0.2592314446769958	5	0	0.3670377226576826	1	1
WIPF1	0.002810430448347462	0.1902415148462664	6	0	-0.36583966536139545	1	1
LAMA4	1.0037656095173833e-6	5.1449757572852616e-5	13	1	0.3636157046660865	1	1
KIAA0513	0.026613194107833252	0.12153728369526398	4	0	-0.36351770381319404	1	1
FIG4	0.0030297650709444797	0.011568066287120945	7	1	0.3611266188271137	1	1
RASAL2	0.0011520606825804426	2.3427548597585747e-4	5	1	-0.3604707064927711	1	1
FZD6	0.02734214847113502	0.03033805778330258	3	1	0.3578678436082298	1	1
NEDD4L	3.0565828519957735e-6	0.001958885940819575	9	1	0.3570525718053148	1	1
ECE1	0.033672338113841155	0.32350010221503045	5	0	0.35505338483666493	1	1
PMP22	0.0015031663565645476	0	2	2	0.3504968057970757	1	1
SCFD1	0.002665328985163032	0.26329646244772914	11	0	-0.34610825410692553	1	1
VWA5A	0.014527582367786677	0.026036321435895283	9	1	-0.34028297858303724	1	1
MYO9A	8.631569968966944e-6	0.010737652734276728	7	1	-0.3383479195051946	1	1
LIMS1	2.1877457881983715e-8	1.1967574124140468e-4	5	3	0.33383614474469425	1	1
UTP20	0.001671811367975088	6.689118744652212e-5	3	1	-0.3291524108750228	1	1
CD44	1.4735175470797641e-22	2.4281874960911766e-7	8	1	-0.32811601654273087	1	1
PDS5B	1.0896255703233579e-4	0.01212011166306623	7	1	-0.32806263825730553	1	1
FRMD4B	0.0030297650709444797	0.16471835911452493	8	0	0.32666461504786415	1	1
APC	0.01507178403562223	0.01629040443656562	6	1	0.32611812193144785	1	1
NEK3	0.015003278244592085	0.04625714357030176	9	1	0.3222043830454798	1	1
TMEM39A	0.00835320973140728	1	8	0	0.3187099215456967	1	1
LIFR	0.0018840138473605276	0.04966247209076817	4	1	-0.3159151719872953	1	1
ADARB1	0.002364501806452932	0	2	2	0.31573892114221314	1	1
SIRT5	0.01487323065009003	0.040552674128198116	7	1	0.3131101021484153	1	1
SLC18B1	0.009915690602078107	0.11906001012884986	15	0	-0.3121934029015791	1	1
GPD1L	0.02894263020020027	0.44960491649856343	5	0	0.31166618216427033	1	1
TRAF3IP2	0.02354583151394283	0.0455642742957793	6	1	-0.30980154491269996	1	1
MEF2C	1.2728003142272487e-4	0.07807947153506271	16	0	-0.30902657575891085	1	1
TMEM61	0.006909598970777984	1	6	0	-0.30682130259650786	1	1
CLK1	0.0027774832659121216	1.985298683777853e-4	5	2	-0.3066577043784998	1	1
TJP2	0.027626610660840007	0.13349298357178052	8	0	-0.3066275354853134	1	1
MAMDC2	0.006835451882066111	0.306161072276414	11	0	0.29027301307169423	1	1
COQ6	0.008247706225362078	1	10	0	-0.28842193517495957	1	0.8333333333333334
GRHPR	0.0021195744524993565	5.8634986908489e-5	6	1	-0.2849163515208187	1	1
VMP1	8.17417252463176e-6	8.391381671138857e-4	4	2	0.2838080244116298	1	1
CRTC3	0.001206658328888609	1	3	0	-0.28379694771765296	1	1
ISM1	0.033672338113841155	1	3	0	-0.2832885708031865	1	1
TSN	0.017135163060928795	0.005925963248335733	3	1	0.28154584825284207	1	1
APLP2	0.0011316191552541409	0.10817197791970276	6	0	0.2805050987952352	1	1
GPBP1L1	0.02354583151394283	4.144141579409167e-4	10	1	-0.27595196669688854	1	1
DLG1	2.8244054344793944e-4	0.8778078771986397	7	0	-0.2744378173392469	1	1
PTPRB	0.01750220111021485	0.05591131176669963	3	0	0.27310711036703267	1	1
LIMCH1	9.776629974518981e-18	4.185474557019194e-4	6	1	0.2706070451781669	1	1
EFL1	0.032249812225098796	1	4	0	0.27057936336541855	1	1
MYLK	2.824864781138217e-7	0.00651484752862538	6	1	0.26901792953507986	1	1
KIAA0355	0.016702631231199985	0.5034696361632319	5	0	0.2678636103448427	1	1
CFAP97	0.036261451816638514	1	5	0	0.2644005121811901	1	1
TMEM170A	2.625306260988179e-4	0.06818634913459289	8	0	-0.263325722670392	1	1
SYNPO2	0.009188822453017914	0.47954253304243144	6	0	0.26301568371366535	1	1
RHOBTB1	0.0023810977582281005	1	14	0	-0.2627265783713181	1	0.8333333333333334
SNRNP70	0.038423401176865414	0.05848214725694799	7	0	-0.26166021797652644	1	1
ROBO1	0.0016499823027973151	0.25777911322866653	6	0	0.2616347737946218	1	1
NET1	4.730734269506091e-5	3.7683900061166243e-6	4	1	-0.26152740822180065	1	1
SCARF1	0.042335438626797645	0.00511177257204757	6	1	0.26131818711244714	1	1
NEXN	0.011272803416486624	0.262715799638251	8	0	-0.2606909373401806	1	1
NCK1	1.108680028173632e-5	6.89238208955531e-5	8	2	0.2605021551752533	1	1
CPSF1	0.009188822453017914	1	16	0	-0.25902254971301775	1	1
LOC113249365	0.008320821435146054	1	12	0	-0.258332931036519	1	1
SUOX_RAB5B	0.041876453019915674	0.018212211275852763	3	1	-0.2567085259376038	1	1
COL4A4	0.0038156081894407273	1	8	0	0.25389416193097525	1	1
PRMT5	0.010504130868418346	1	7	0	0.2530177795312246	1	1
DST	6.447009466067317e-4	0.005882836432275275	19	1	-0.2518418559787624	1	1
STARD13	0.0019227472506301061	0.03801896403367002	5	1	0.24876747840160104	1	1
BCL6B	0.02196414252284028	1	9	0	0.2484496260918243	1	1
NQO1	4.730734269506091e-5	0.5513255605311838	5	0	-0.24798714350976409	1	1
SIRT3	0.03414981735144043	0.025919535244082824	11	1	0.2469755620246437	1	1
PRXL2C	0.022150994660343076	0.16673706057926813	3	0	0.2461704184094472	1	1
SLC2A9	0.004934066932042588	0.0060731350904169885	8	1	-0.24331751864644013	1	1
RRP1B	0.029974140812240667	0.38928326682689657	3	0	0.23901286733791827	1	1
USP15	0.022986495330700327	0.2967761259250622	12	0	-0.23856410399466402	1	1
NFAT5	0.041420806053680446	1	7	0	-0.2376361557372707	1	1
SLTM	0.03706868230207709	0.11730686591906303	5	0	-0.23666742703464633	1	1
NPNT	0.004077777023979142	0.09281124340741254	5	0	0.23610322883938217	1	1
AKAP13	8.506613236390341e-8	3.065275699130872e-4	10	1	0.23603158936221014	1	1
SARAF	0.0070158286718692295	0.0019504997122814236	5	1	0.23339494217237705	1	1
ABL2	0.04465648136922544	0.037908877889731935	7	1	-0.23277690720973354	1	1
AFDN	1.2514662471629922e-4	0.4357119209787997	8	0	0.2311382842018126	1	1
PAOX	0.0012719205848887138	0.0015239350642991371	3	1	-0.228372721583481	1	1
GPAM	1.260409038894664e-4	1	17	0	-0.22787867157532138	1	1
MCTP2	0.004813357778171652	0.3565073107870779	4	0	0.22660458508371484	1	1
ELF2	0.03706868230207709	0.026165065794694704	8	1	-0.22637097705130166	1	1
DMD	1.2728003142272487e-4	1	10	0	0.2244361212211476	1	1
LEPR	5.939218466992257e-4	0.036219966303141	7	1	0.22160553903784752	1	1
RAB1A	0.018500882380185095	0.013075784178490951	4	1	-0.2206440617789651	1	1
PSMC6	0.02849194625540925	0.004384865043950482	3	1	0.21920398261231877	1	1
ADGRL2	0.031047831033330527	1	9	0	0.21557319337654626	1	1
SPAG1	8.626069027078963e-4	1	5	0	0.21478338286505871	1	1
SVIL	0.002364501806452932	0.14956413584964148	9	0	0.2137195337632305	1	1
VPS35	0.0016076557020831626	1	6	0	-0.2137003243537422	1	1
LMNTD1	0.014546202451079524	1	10	0	-0.21308106716341987	1	1
CLCC1	0.048802745565460395	1	12	0	-0.21243600613691777	1	1
NRDC	0.025197550332290475	1	13	0	-0.2121443349982299	1	1
LEPROT	0.0043814601628230174	1	7	0	0.21200953597632766	1	1
PPFIA1	0.03743528184020814	0	2	2	-0.20856127950747738	1	1
NCOA4	0.004287512457008281	0.0956261907054738	8	0	-0.2029252545006542	1	1
LOC113259254	0.03786582694908375	0.987022189214886	8	0	0.2015130659773911	1	1
GNPAT	0.03125817651443845	1	13	0	-0.20147774010471287	1	1
TACC1	3.187183883563052e-5	0.3436295220176314	10	0	0.20015215584432805	1	1
SETD5	0.003563423049119757	7.531366340068194e-4	12	1	-0.19959593090773026	1	1
ADGRF5	0.0062183023976483155	0.01200570290490381	5	1	0.19920546214171486	1	1
WSB1	0.00892212205237107	0.028766746343317676	10	1	0.19796910305843254	1	1
PLS3	7.043473300199322e-5	1.3191441362487334e-6	3	1	-0.19777493522502	1	1
FAXDC2	0.0016499823027973151	1	15	0	-0.19766689299272344	1	1
PHACTR2	0.0049439991822688165	1	4	0	0.19744819526992718	1	1
ST6GAL1	0.02958657710611918	0.005053283656427783	8	1	0.19712085620695372	1	1
LZTS3	0.036261451816638514	1	3	0	-0.19531484238114893	1	1
RAPGEF3	0.016920803910929726	1	11	0	0.19504408020630015	1	1
ENAH	0.00111043186341818	0.19998567299139677	3	0	0.19393708886167843	1	1
MTUS1	0.009466095256901204	1	12	0	-0.1934821964153499	1	1
ABI1	1.2372016155965147e-6	6.46553769105034e-8	8	1	-0.1934488055018874	1	1
ZNF514	0.0090274464877222	1	9	0	0.1932145763445694	1	1
BROX	0.03266497328068899	1	10	0	0.19229620953198745	1	1
FUS	0.04415279571173209	1	8	0	-0.191176302568345	1	1
RBM33	0.04998948808269884	1	8	0	-0.191071002223891	1	1
NDUFS2	0.018500882380185095	0.9258893913041133	7	0	0.1889562805326652	1	1
KPNA2	0.02346619638504164	1	6	0	-0.18762231686902373	1	1
DHX8	0.02698976184196124	1	5	0	0.18760856365483491	1	1
C7	1.0657076358563321e-17	1	4	0	0.18552539652579497	1	1
KANK2	0.0012564367827126914	1	8	0	0.18544056153219457	1	1
ARHGEF2	0.03712915226227674	1	8	0	-0.18538887419835054	1	1
ZNF638	0.02354583151394283	0.9009152320846339	8	0	-0.1840983166209733	1	1
RUSC2	0.002100993445581291	0.5040598153874729	16	0	0.1827338336003007	1	1
PA2G4	0.021229145263580905	0.002979622626321705	3	1	-0.1813810770380446	1	1
LOC113257917	0.002864833718805379	0.18109442779512885	5	0	-0.1810850551114982	1	1
ZFYVE16	6.058302304361104e-4	1.719602329433917e-5	5	1	-0.18007816697417667	1	1
PSAP	0.044418419606726295	0	2	2	0.1796624691569455	1	1
SMC1A	0.045746455771074515	1	7	0	0.17879642355747827	1	1
ZFP30	0.027196679312584345	1	13	0	-0.1782818163243253	1	1
MTFR1L	0.019383213665771913	1	8	0	-0.1773401554404112	1	1
CD163	0.016464145205213467	1	5	0	-0.17658386260618386	1	1
MBIP	0.04095518455334433	1	9	0	0.1735808324050615	1	1
TTN	0.0018058329340752272	1	23	0	-0.17168856073738484	1	0.8333333333333334
TRAF7	0.005029731219440167	1	7	0	-0.16642751254637977	1	1
MYO18A	0.015499359271123444	1	9	0	0.16447447353375977	1	1
WDR13	0.048802745565460395	1	13	0	0.16409553521559134	1	1
MON2	0.01089725306999334	1	5	0	-0.16310894987947705	1	1
LOC113265233	0.013065177245855831	1	14	0	0.1613628795920229	1	1
RBM45	0.006650595566206352	1	7	0	-0.16059439137948003	1	1
PECAM1	0.001193104081255124	1	5	0	0.15909880448037797	1	1
SLK	0.04109273022658575	0.008981804362709065	3	1	-0.15609506085744826	1	1
MAP4K4	0.017599728919844508	1	9	0	0.15516319988112948	1	1
SPTAN1	1.561990986954671e-15	1	10	0	0.15253736073007182	1	1
RNF13	0.017627756278358782	1	13	0	-0.1501398110517687	1	1
DNM1L	0.024274162640040776	0.18749423243598518	7	0	-0.14797803465169046	1	1
SYNCRIP	0.02411492544207468	6.861610849448798e-4	5	1	-0.1469621353333329	1	1
TPT1	0.029409793827654136	1	3	0	-0.14598660502602887	1	1
LOC113246573	0.044495785076478736	0.7306199035005644	13	0	0.14485941176990613	1	1
TAX1BP1	0.04145774818908715	1	9	0	-0.14472339053961314	1	1
THNSL1	0.023720428571491807	1	5	0	0.14011332579060298	1	1
CALD1	3.815648124684504e-4	1	11	0	-0.1395597551393744	1	1
EZH1	0.02917060019966916	1	5	0	0.13854493762074438	1	1
OGA	0.01172605428915046	1	3	0	0.13721230351999192	1	1
NT5C2	0.01487323065009003	1	20	0	0.13600274845559818	1	1
NRAS	0.046649199618032246	1	8	0	0.135208057058116	1	1
PLIN3	0.042522907011120936	1	8	0	0.13366930885607464	1	1
CD47	5.572335510258689e-4	1	8	0	0.12731764494358278	1	1
CAST	0.02697367922459197	1	12	0	-0.1252510443692173	1	1
MPRIP	3.2535829711454754e-5	1	6	0	0.12503375241745468	1	1
ZNF532	0.0021195744524993565	1	8	0	0.1239123280707832	1	1
CAP1	1.4800530188186769e-5	1	7	0	0.12259143585952341	1	1
SMARCA2	2.6202041869537786e-4	1	10	0	-0.12140113876816125	1	1
HNRNPH3	0.027650625176676717	1	11	0	-0.12084798969699405	1	1
HSDL2	5.819067068053215e-4	1	9	0	0.12067943347362184	1	1
LTBP4	0.0012719205848887138	1	4	0	0.11776592773317007	1	1
RRN3	0.008188084303308215	1	11	0	0.10768661443325844	1	1
CDK12	0.002665328985163032	1	11	0	0.10538648469032405	1	1
DOCK1	0.012684337922512981	1	8	0	0.10387706128213514	1	1
APPL1	0.04391728710845831	1	7	0	-0.0954279228784764	1	1
SPTBN1	1.459761948123214e-4	1	5	0	0.09416033396686124	1	1
TMBIM1	0.010462893253542875	1	4	0	0.08090191227381596	1	1
PJA2	0.00835320973140728	1	3	0	0.071982153313225	1	1
ITGA3	0.0049439991822688165	1	3	0	-0.0715806056471235	1	1
