gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Liver-Kidney_cortex)	pct_gene_expr	max_pct_tx_expr
ADAL	0.011322515927673802	1	4	0	-0.5371327178145819	1	0.75
LOC113247073	0.0017446044244912456	0.023404908593292913	5	1	0.5362601722084029	1	1
SAP130	0.03191029303810907	0.022415724639058124	4	1	0.5355447632278524	1	1
NCALD	2.1666060987537e-5	0.8469861832013862	6	0	-0.5282512071617019	1	1
RNF125	0.004144553785231172	1	9	0	-0.5216967316266004	1	0.75
VNN1	0.0010084934886418666	1	8	0	0.5160263315643416	1	1
VPS13C	0.006976669040634053	1	4	0	-0.5151809599240723	1	1
USO1	0.002493218275415136	0.003323985291524343	6	1	-0.5147978324661134	1	1
KCTD9	0.00958789129993902	1	7	0	-0.5100228374131748	1	1
CA12	0.005592329162054041	1	4	0	0.5088851112814565	1	1
FRMD4B	0.019094292733018353	0.7709043822130303	6	0	0.5047071590050475	1	1
URB2	0.04616058849592745	1	3	0	-0.5000548699751434	1	1
FGA	0.0308542631621733	1	4	0	0.49906864850774996	1	1
GSN	0.015215009970532673	0.01728684650566785	4	1	-0.4917979243412387	1	1
CCNH	0.01763411109830834	1	4	0	-0.48997965367999985	1	1
DIAPH1	0.00332106834689961	0	2	2	0.4872073121414996	1	1
SCP2	5.269017864982072e-11	0.011295906676291273	5	1	-0.48647163394557863	1	1
LAMA4	0.02138125021534292	1	7	0	0.48513169169368037	1	0.75
CRB3	3.3434033958542426e-4	0.05395397498005783	6	0	-0.4834857761456857	1	1
LRAT	0.0026401961597734627	0.11356037546193787	9	0	-0.4817950740575223	1	1
NFKBIZ	0.03084530654836158	0.0033217331111907926	6	1	0.48097592748905266	1	1
MAP7	4.906776635311685e-4	0.004208108249181658	6	2	-0.47534988204783996	1	1
LOC113246291	2.8084129095305067e-6	0.05768177589513002	7	0	-0.4723729448181644	1	1
CSTF1	0.0013971579825121754	1	4	0	0.47125362685228517	1	1
MIS12	0.027161208779287467	1	6	0	-0.4704721247720819	1	1
SARAF	4.656038122196363e-5	3.0028816181742455e-5	5	2	-0.46515739149887736	1	1
IQSEC1	0.04331688079124005	0.4327310796554805	6	0	-0.464064750289531	1	0.75
VPS13B	0.008013862816585908	0.005901519324589958	5	1	0.4630897974016183	1	1
TEX264	0.004737740411860896	0.0050706220143984255	4	1	0.4591346197659605	1	1
SLC38A4	1.2807831634843267e-5	0.00165689036595911	5	1	0.45477374134373166	1	1
MAPK10	0.0028035059767154554	0.058251994300866694	8	0	0.45421408411777797	1	1
THNSL2	0.04373244557599759	0.02614179926621047	7	1	-0.44674498718192795	1	1
ACSL4	0.008570557739912233	0.39742462907108145	7	0	-0.44334232740012036	1	1
OXR1	9.912770905452348e-5	9.186602729722132e-5	5	1	-0.4432490963932529	1	1
ZMYM4	0.003751747929489465	1	6	0	-0.43917674470294665	1	1
MYO9A	1.4221081837392728e-9	0.00102038579538085	6	2	-0.4297141755428978	1	1
PLEKHA5	0.003751747929489465	8.618521448373256e-4	7	1	-0.4286569013093976	1	1
NUP214	0.04866404588714278	0.1907228208832378	4	0	0.4268422153137648	1	1
BCAR3	0.0038203413196475746	1	4	0	-0.42415314393260756	1	1
MAP4K3	0.03554884279558798	1	4	0	-0.42265772340520935	1	1
CRLS1	0.04011308980159946	0.7989358559538173	3	0	-0.4203619835895039	1	1
CP	6.620739769476189e-4	2.6519872433952815e-4	4	1	-0.4184410079402909	1	1
TUBGCP2	0.008583316336676913	0.20319211751399918	8	0	0.4165090506894735	1	1
XPC	0.03564120733283523	0.28136769741056283	5	0	-0.41612492220721553	1	1
MDN1	0.006976669040634053	4.253688080076206e-4	3	1	0.4153109801468879	1	1
IL13RA1	0.0014640944760533057	1	5	0	-0.41492149090405667	1	1
PHKA2	0.006440966189050047	1	9	0	-0.4130581357283391	1	0.75
GPAM	3.7974107118157556e-4	1	13	0	-0.412830947324221	1	1
MITF	0.04078473014875765	0.012949908983765211	4	1	0.40758331530718683	1	1
MAT2B	0.001731727432388559	0.0021578116071661576	3	1	0.4046984653401139	1	1
CD47	0.013322218676515174	1	6	0	-0.40439776696966767	1	1
ATP10D	0.027713628253814813	1	4	0	-0.40307762837585964	1	1
CMC2	0.004233628082979931	0.08771410137820225	12	0	-0.39939421411632764	1	1
BCL6	0.04179991417807401	0.4604592436063253	5	0	-0.39402714081114565	1	1
TTC23L	0.03554884279558798	1	4	0	-0.3930577705064332	1	1
HIBADH	0.02789519423733329	8.014877191423391e-4	5	1	0.3929878629268893	1	1
SEC31A	0.026757957191920295	1	13	0	-0.3820147767211021	1	1
CPEB3	0.04616058849592745	0.3209137333106732	5	0	0.3792096257493427	1	1
SRBD1	0.00775536891616732	1	7	0	0.3781186760251862	1	1
PJA2	0.025558346472907757	1	3	0	0.3739010278883715	1	1
RFWD3	7.372814497797928e-4	0.0011305056175733286	5	1	-0.3724393139107495	1	1
FAM13B	0.014547841034907185	1	8	0	-0.3699061903993662	1	1
MBTD1	0.04685106109497598	1	7	0	0.36974669682987393	1	1
PIK3R1	0.03588989506708623	0.007396485268408958	4	1	0.36817077848427465	1	1
LMO7	0.01113442804269266	1	8	0	-0.3632958679734182	1	1
PCK2	1.8875743219497884e-4	1.7347700011106844e-4	4	1	-0.35844805508960786	1	1
ERBIN	0.003455778774811685	0.03296027275576648	5	1	-0.35703996319381964	1	1
TSC1	0.03934006481380906	1	4	0	0.3566442465193129	1	1
EPM2AIP1	0.03564120733283523	0.3646636049231101	5	0	0.35436145307769945	1	1
PHLDB2	0.034933095591508354	0.10166850819080593	12	0	-0.35145017400866657	1	1
GATD3A	0.04985942219204812	0	2	2	0.35144569515037116	1	1
ATP2B1	0.015215009970532673	0.7122857867429148	4	0	0.35079855096114376	1	1
BET1L	0.008815806104457355	1	5	0	-0.35039868870883173	1	1
ZHX1	0.02231257967682881	0.015536998417979373	5	1	0.34874457585698254	1	1
RTN4	0.0034428438267371142	1	6	0	0.34824810914014015	1	1
PABPC1	0.013617965749119335	0.0037341393948922847	4	1	0.3422813933662956	1	1
MYO6	5.962682805260049e-4	0.05892552223487625	12	0	-0.33237648259656755	1	1
KLF15	0.013042381434909524	1	7	0	0.32614568665832033	1	1
LOC113243704	0.02092333682143465	0	2	2	0.32331830268047623	1	1
CHD4	0.04495253556083877	0.00844782637794202	3	1	0.32233324941958685	1	1
FZD1	0.03588989506708623	0.012979716379588618	4	1	0.32019294192836817	1	1
MOCS1	0.015597863291528614	0.44261721569350193	8	0	-0.31429925424207594	1	1
RPRD2	0.0023461426721924786	0.16818920817300181	8	0	0.31315616647641237	1	1
ESYT2	0.023018918523703056	1	6	0	-0.31137728854969093	1	1
OSBPL1A	0.02719415640666883	1	6	0	0.3092737220003059	1	1
ADGRF5	2.749288159153191e-7	0.023674042370216468	5	1	0.3081050660167284	1	1
MAP3K20	0.020248107079797736	0.18739770392043367	5	0	0.29511727185757364	1	1
TTPAL	0.023018918523703056	1	9	0	0.2947775542715263	1	1
SUPT20H	0.01754005373498863	1	15	0	-0.2935758293974601	1	1
IRF6	0.004298528413956148	1	5	0	0.291809086114865	1	1
RHOBTB1	0.0019358715896413477	0.4371320442904291	13	0	0.28389147944040555	1	1
RGN	0.002344266672329169	0.052083026978081405	5	0	0.2838429640862765	1	1
NOC2L	0.0013421387676173908	0.1053785230443001	7	0	-0.2801848498034929	1	1
AHR	0.008512980142767822	1	5	0	-0.27585742675213154	1	1
JAK1	0.04526276376545733	1	7	0	-0.27424681729453265	1	1
HSD17B12	0.03177967538055808	1	8	0	0.2702892366128276	1	1
SMARCA2	0.006976669040634053	0.13839892301916726	10	0	0.26265904899539727	1	1
ALB	1.049209328535936e-6	1	15	0	0.25767450100109274	1	1
RBMS2	0.008164690324892759	1	11	0	0.2496441950493317	1	1
AGPS	0.0011957276571564954	0.010143165641325162	8	1	-0.24920561225010918	1	1
PLS1	0.035352488710531614	1	12	0	-0.24482986162815595	1	1
PRRC2C	0.00680449483093084	0.92185899838851	8	0	-0.2423754915573299	1	1
FBXO21	0.04373244557599759	1	9	0	0.23891285959376046	1	1
NCOR1	7.331307264235506e-4	0.15862337691884454	10	0	-0.23056345209626694	1	1
CARF	0.04373244557599759	1	10	0	0.22802975244478613	1	1
MYLK	0.0024392726901919385	0.10940175497096186	7	0	0.22753512060612224	1	1
CLU	0.03838405001505923	1	7	0	-0.2234356446888613	1	1
INO80	0.04509564846956187	1	3	0	-0.2122133457757258	1	1
LOC113265994	0.005074087240777282	1	11	0	-0.20867640313431968	1	1
TRPM3	0.03564120733283523	1	4	0	-0.2057470434661953	1	1
ACMSD	0.04078473014875765	1	7	0	0.20265697270141778	1	1
APP	0.0014031750758448493	0.4114728011884341	5	0	0.200268590763702	1	1
MIA2	0.04373244557599759	0.2224997346542061	9	0	0.1967631050395795	1	1
WWP1	0.01585922732050945	0.09374823370714681	11	0	-0.19207068286408735	1	1
MAGED2	0.0013971579825121754	0.015793477131422193	5	1	0.1913350914555341	1	1
HDLBP	4.7064124861418834e-5	0.012709826635751762	9	1	0.1834216596619553	1	1
PICALM	0.03818603142010083	1	6	0	0.18312657557488576	1	1
PPP4R2	0.023482427848151646	1	4	0	-0.17606903742199154	1	1
GGACT	0.0057833841630515635	1	7	0	-0.1700152652576822	1	1
LOC113242918	0.03917560056802853	0.30124246927553155	7	0	-0.16696370733973032	1	1
HDGF	0.04075941808763282	1	5	0	-0.16055211549378767	1	1
LOC113243115	0.017007805292684662	1	10	0	-0.1583637946055657	1	1
LOC113246349	0.0011905708373619172	0.0027721419668742015	6	1	-0.15553417980349954	1	1
PCMTD1	0.0024392726901919385	1	8	0	-0.1433990129574929	1	1
ACAD11	0.031399712130523144	1	4	0	0.13137996176634967	1	1
MACF1	0.033702446431560465	1	7	0	-0.13036257385716388	1	1
RDX	0.014403163787132425	1	4	0	0.11920064378306888	1	1
