gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Muscle-Liver)	pct_gene_expr	max_pct_tx_expr
ACSL5	4.883780121738122e-4	1	6	0	0.6913475022497885	1	0.75
BRPF3	6.3439531012612815e-6	2.7931555437040356e-4	6	1	0.687768043781383	1	1
LAMA3	0.03311398881160294	0.02782483678317768	5	1	0.6824400004152074	1	1
CPT1A	0.011662054539147091	0.0029713822311986304	5	1	-0.6802375190593768	1	1
SRD5A1	0.041772255340874566	0	2	2	-0.6792739213934905	1	1
TMEM245	8.376622630468607e-4	0	2	2	0.6790503458672134	1	1
KIF1B	8.605009268051503e-7	9.189799681970362e-5	4	1	-0.6785123115378553	1	1
SREBF1	0.011675877261597085	0.16566777221959633	4	0	-0.6744377042653459	1	0.75
MPI	0.009815599243073224	0.05674328876343904	6	0	0.6743811532556653	1	0.75
BAIAP2	0.020485559131556266	1	4	0	-0.6732376439894392	1	1
LDB3	0.011662054539147091	0.0365140088607595	4	1	-0.6727682883366958	1	0.75
FITM2	2.8853494106328666e-4	6.329182556975551e-6	3	1	-0.6718367313288038	1	1
MROH1	0.022825862129711966	0.28261191969352517	6	0	0.6711813774433373	1	1
BIN1	1.0739651929072267e-12	1	9	0	-0.6709133601563726	1	0.75
SPARCL1	4.60299742832236e-5	0.03143065172795315	9	1	-0.6692281392137567	1	1
LOC113245998	2.3386296185051275e-16	1.9717524934806473e-15	7	1	-0.6683675760986436	1	1
LOC113252107	0.002588427441676244	0.010827345982541831	4	1	0.6661858624475089	1	1
PLXNC1	0.03681460605840279	0.31297584538811757	4	0	-0.6651543897754135	1	1
TBC1D4	7.296545868416622e-12	0.0547633158115946	5	0	0.6616238524666633	1	0.75
RNF115	0.0030348046777517786	0.0014535417339178668	3	2	-0.6561822378460095	1	1
COBL	0.005716929218970669	0.0019265585600232401	9	1	-0.6525587106304218	1	1
PPP1R12B	0.02226634490292794	0.00189292372089182	7	1	0.6491315393571734	1	1
PARN	4.5321735350321434e-4	1	6	0	-0.6487088540872377	1	0.75
POLR3GL	0.010940431407633403	0.02376224985571988	4	1	-0.64693321919356	1	1
ABI1	7.737219215646641e-8	1	8	0	0.646852155574018	1	1
CAMK2D	0.0036590571260483045	1	5	0	0.6461401940266799	1	1
FBF1	0.005287916931987489	0.12349090602332811	6	0	-0.6427534125801725	1	0.75
WDR7	0.00843452276664842	0	2	2	0.6425628011637834	1	1
SLC27A5	4.1621571511225197e-4	0.02227249326974194	6	1	-0.6387197456844724	1	1
CUNH18orf25	0.039631367998514806	0.33083087684619955	5	0	-0.638220658396326	1	1
PRELP	0.021229448327614184	1	5	0	-0.6343344524482567	1	1
KPNA3	0.031386339261899064	0.10009138707017358	3	0	-0.6334672375913951	1	1
PON1	0.002013936804872456	3.051598310561991e-4	3	1	0.63271187320136	1	1
ERC1	8.90854745947211e-4	0.004926744659150835	4	2	0.6310546077639477	1	1
WIPF1	8.537366078410834e-4	0.2601807329636272	4	0	0.6301483007089492	1	1
DLG1	0.009815599243073224	1	6	0	0.6291035678022254	1	1
IQGAP2	0.021229448327614184	0	2	2	-0.6244840470995128	1	1
TBC1D8	2.8853494106328666e-4	0.07555070736503636	5	0	-0.6239423832697488	1	0.75
ME1	0.0012671758509969068	0.002367318344602194	3	2	-0.6224630528530322	1	1
QKI	2.4151934491769624e-13	4.001157470891187e-11	6	2	-0.6210521554334381	1	1
ITGB7	0.04381851050280751	0.3778231541608856	3	0	-0.6209812771990023	1	1
RNF157	0.026678244847934858	0.37282960767022016	4	0	-0.6133318425291167	1	1
ENAH	0.003455938735868334	0.05903817531114555	4	0	-0.6096698707355895	1	1
DERL1	0.002300940791766799	0.0017524411616088684	5	1	-0.6078159742967358	1	1
SEMA4D	0.014011135434131962	0	2	2	0.6064580351272588	1	1
SLC39A14	0.033437105878003505	1	6	0	0.5999952942604247	1	1
MTSS1	9.167073981286882e-6	0.005608142501116953	7	2	0.5998811009370669	1	0.75
AP1S2	5.91061360876412e-4	0.17782749315403074	5	0	0.5953160122486164	1	1
UBE2G2	0.0010867013112747447	0	2	2	0.5946379320465713	1	1
ARHGEF28	0.01320493826468972	1	3	0	-0.5933296732492542	1	1
CERS5	0.011230652211861921	1	6	0	-0.5894240227718882	1	1
LOC113262216	0.03704285038966576	0.7280323932073484	7	0	-0.5882358934646762	1	0.75
SEPT4	0.0029111082708878815	0.010954023811271196	5	1	0.5874082770039005	1	1
HERC3	0.006687173446099104	1	11	0	0.5865781384632467	1	1
C1R	9.474659111885611e-15	1.9452549884796467e-7	5	2	0.5793459975155607	1	1
TSC22D3	0.00420983272510635	0.022901269739535508	6	1	-0.5771374833026648	1	1
TRAK1	0.004459407539589485	0.006370734023042752	5	2	0.5770090946425441	1	1
COL4A3BP	0.021229448327614184	0	2	2	-0.5757537984351224	1	1
MTHFR	0.0011462656430388024	0.001544735588651839	9	1	-0.5699971588187365	1	1
FAF2	0.02530890422209663	0	2	2	0.5694964620389816	1	1
ENO1	7.491508969580177e-5	0.05155356633478486	4	0	0.5683485497618546	1	1
PLIN2	0.04211662960025884	0.16644698356499643	6	0	-0.5665250065232624	1	1
ADD1	1.336812531843782e-7	8.803874123668206e-4	7	1	-0.5643679016406489	1	1
RYR1	0.005614807425568989	0	2	2	-0.5626752740550877	1	1
RNF114	0.040735678298216615	0.008690265850891474	4	1	0.5622524864289085	1	1
ATP5MC1	4.6357014044307943e-8	0	2	2	-0.561770942079221	1	1
NRAP	0.04838942834155931	0.019829891451515008	8	1	-0.5596924304716643	0.75	0.75
DNAJB6	6.003707490113535e-4	0.05378554897843578	9	0	-0.5588663018671485	1	1
TXNL1	0.020051515728854313	0.005285927308922372	4	1	-0.5569236292054214	1	1
USP28	7.44976542650547e-5	0.0023129105975810338	6	1	-0.5559157290022407	1	1
GNE	2.5444540085264763e-4	1	9	0	0.5558500378661444	1	0.75
ZHX1	8.382857201616994e-4	0.0021402404840003024	5	1	0.5543962760629192	1	1
CD99	7.902991508212047e-19	1.8676442522973604e-12	4	2	-0.5535913140116246	1	1
FSD1L	2.8853494106328666e-4	1	5	0	0.5530634597581564	1	1
XRCC4	0.02745371928054112	0.08699800715890392	7	0	0.5513571731925182	1	1
TRIT1	0.008548431958561807	1	7	0	-0.549226004170516	1	0.75
ABCG2	3.8745787363934105e-6	0.002131867070417132	12	1	0.5490714432002987	1	1
PTGS1	0.0024743304714701353	0.01522842378003375	4	1	-0.548534882642348	1	1
MAP3K20	3.7817741908310957e-28	5.7693676194988546e-15	4	3	0.5481559839242239	1	1
FMO2	0.03832488208884052	0.8018217552937563	6	0	-0.5464993012091967	1	1
USP32	0.0483050197737727	0.06782330981902661	3	0	-0.5412245391788878	1	1
ARHGEF10L	1.7232323996859672e-4	1	7	0	-0.5408795618175191	1	0.75
UPF3A	0.008862100485925114	1	10	0	-0.5403610533582899	1	1
RIDA	0.003202777016440906	5.86673363629896e-4	3	2	0.5383916972270694	1	1
ANKFY1	0.04970855945578746	0.07479526394658834	4	0	-0.5361942283615999	1	1
AHI1	0.039229184808520154	1	8	0	0.5329674892797789	1	0.75
MBD4	0.011872375761246473	0.18345179349277368	8	0	0.531764499595386	1	1
N4BP2L2	1.410054549632485e-7	5.801396411262229e-5	5	3	-0.5302980990977605	1	1
CCDC91	0.011069894443182397	1	8	0	0.5302264710616251	1	1
HMCES	0.019069218927781705	1	3	0	0.5300096386981605	1	1
SENP7	0.04415696672118085	0.009090843308117305	4	1	0.5298806839708567	1	1
SLC35A3	0.01777608972792147	0.35564253042021315	4	0	-0.5295481091187206	1	1
COG6	0.016584856173753913	0.221788705131782	4	0	-0.5293610355044821	1	1
ALKBH1	0.038577414262673214	1	5	0	0.5280853641572002	1	1
MITF	0.006340067549454623	0.05816817737247566	5	0	0.5275157241942912	1	1
SLC9A3R2	0.025225723713826247	0	2	2	-0.5267544415200651	1	1
MME	0.0073805048979667266	0.05789176530951868	8	0	-0.5263132332294808	1	1
MPDZ	1.2759605151430663e-4	1	13	0	-0.5245630354986639	1	1
FGGY	0.0018287383899212345	1	10	0	0.5241821958019104	1	1
SNAP23	4.883780121738122e-4	0.02499175322250781	7	1	-0.522743581496638	1	1
LRRC2	0.01777608972792147	1	9	0	-0.5225918015805536	1	1
WDR33	2.9168434960369723e-5	6.977987259835859e-6	9	2	0.5212243898711036	1	1
SPAG9	2.117449990072188e-9	4.527303994878816e-5	5	1	-0.520793992654219	1	1
LOC113248580	0.01273511257980076	0.1544005968934052	7	0	-0.5185415672015434	1	1
LOC113244552	0.001559413433857929	0.1745651873775356	6	0	-0.5180311899485927	1	1
CAMK2G	0.0018751243068744405	3.423739687374413e-5	5	1	0.5163811358636866	1	1
LSM14A	0.005168867144977099	0.005963505100754115	5	1	0.5141616287738362	1	1
FPGS	0.0046960544567225156	0.2691118224766658	4	0	-0.5115762923165063	1	1
USP47	1.8910852972412366e-12	7.635372209212598e-4	7	3	-0.509856810591549	1	1
ESYT2	1.203860893629354e-12	3.6303434012603257e-4	7	1	0.509398742578841	1	1
VTN	4.2508800652940486e-5	0.031699744878511994	5	1	0.5054744329993339	1	1
ARFGAP2	0.016599460410807367	0.0015114464854450896	8	1	0.5047501726272626	1	1
SLC23A2	0.017096840121108632	0.08200040320384692	4	0	-0.5039274970848028	1	1
XRCC5	0.038577414262673214	0.024104990120454233	5	1	0.5031778994345284	1	1
ZNF41	0.041772255340874566	0.25260750700724877	3	0	-0.49844417578121647	1	1
PHKA2	0.0395784123191742	1	8	0	0.497311233285793	1	0.75
SCARB1	5.903290189875822e-4	1	7	0	0.4951917560009981	1	1
ATP2A2	4.0706489589417047e-13	1.5622636584584515e-7	5	3	-0.48597307300043946	1	1
OAZ1	4.745491632305776e-6	8.98081744493507e-8	3	2	-0.4844822619647145	1	1
RNF123	1.7454629955985566e-4	1	11	0	0.4833723528268351	1	1
ITGA7	0.034563956125102005	1	9	0	-0.4830732898672535	1	0.75
SIK3	0.0014708595383645556	0.007908364668764586	5	1	-0.4826361725499106	1	1
MADD	0.0073805048979667266	1	14	0	0.4804200007665535	1	0.75
FNIP1	7.855510327668637e-5	0.025114754761389742	4	1	-0.4795007668679259	1	0.75
TNIK	8.204741050391894e-5	0.009185332139826072	5	1	0.47920667251480004	1	1
ISCA1	0.018453996429146625	0.015150241459937718	4	1	-0.4746016977050845	1	1
TSN	1.365820709991123e-5	0.0077280280515564775	3	1	0.46858486269934974	1	1
DDX47	0.02350700775548011	0.008772314808876974	4	1	0.467541672381292	1	1
PSAP	4.2443950986872093e-7	4.943914754673488e-9	3	2	-0.46703560995460286	1	1
AGPS	1.336812531843782e-7	0.02949368199858653	7	2	0.46569944936497815	1	1
FKBP15	0.012424961785127807	0.21573869835018186	11	0	0.46523236210140545	1	1
DLC1	0.019163532417213053	1	5	0	0.46404508241258147	1	1
PABPC4	0.010402194542041488	0.6601820123278962	7	0	-0.4637958886393994	1	1
UTP20	0.029848917821096832	0.3915594131197436	3	0	-0.4617697213957358	1	1
SLK	2.2893528160556e-4	0.17086159056498273	3	0	-0.4614955845890891	1	1
DAPK2	4.2508800652940486e-5	0.17538853619033773	10	0	-0.4579084541332769	1	1
SORBS1	1.4379204587046807e-17	9.245021346459158e-6	12	1	-0.4578755006766547	1	1
ACACB	0.003918528102397361	0.10163600815223339	6	0	0.45464521910595845	1	1
FIG4	0.03660259913363861	0.8727663727719467	6	0	0.45330913969726827	1	1
FARP1	0.029113203583165537	1	6	0	-0.4509203145703091	1	0.75
TM6SF1	0.0013428895262846178	1	10	0	-0.44974894180148	1	1
HMBOX1	0.021051764250923186	1	5	0	0.44868252092076566	1	0.75
NCALD	0.01934799525293836	1	6	0	0.4466867977551595	1	1
RNF216	2.941227564975426e-4	0.4382429654507927	7	0	-0.4461254985215929	1	1
UCKL1	0.01746729013226962	1	13	0	-0.44517954989928854	1	1
AGTR1	0.029972448076303893	0.4526260530161327	7	0	0.44240622317314515	1	0.75
MYO9A	1.547129498778391e-6	0.18166666566303005	6	0	0.4420262196380582	1	1
TBL1XR1	0.004434019741188277	1	9	0	0.44158756091022894	1	1
ATP9B	0.011675877261597085	0.3814581126107757	4	0	0.4410798287775847	1	1
FXR1	7.732427277356114e-18	8.90364121937581e-9	6	2	0.4394229092737705	1	1
CARM1	0.045383627736024286	0.9839524650057676	3	0	0.43859511157448394	1	1
LRRFIP2	3.0107231625305694e-16	0.039571243683529246	11	1	0.4360819789900838	1	1
RTKN	0.00466631338159938	1	9	0	-0.434157642873481	1	0.75
CASP6	0.005141077735981864	1	6	0	0.4304738418707313	1	0.5
NEK4	2.5444540085264763e-4	0.2546348980282658	5	0	-0.42991282601637604	1	0.75
PPFIBP2	0.03311398881160294	1	11	0	-0.42676186700525365	1	1
KPNA1	0.0011854177606830318	6.067941123885976e-5	3	1	0.42538868281411113	1	1
USP25	0.006497274469803355	0.20212217957326792	5	0	0.4247920173997235	1	1
MDN1	0.007072306282698265	6.540980410292654e-4	3	1	-0.42207396702917466	1	1
ABCD3	1.3342305764641265e-4	0.012902365618331885	6	1	0.4198912257327564	1	1
LOC113264723	0.025886732361894763	1	6	0	-0.4195813278077603	1	1
SFMBT1	0.0012946615949334585	0.11391892470744021	9	0	0.4177229137427935	1	1
LOC113246291	2.3955142584078035e-4	0.013862685630414533	11	1	0.4176074585375459	1	1
RPRD2	0.04483826106437767	1	8	0	0.4157761791697087	1	1
TMEM94	0.022657412289060565	1	7	0	0.41392354316880997	1	1
NLRX1	0.01845293056362229	0.004401399610827299	3	1	0.41351184560243137	1	1
CCPG1	3.884622335383866e-17	8.846370561899353e-6	9	3	-0.41212411312013253	1	1
SUPT6H	0.007538486748563117	0.8499101441207237	6	0	0.4087888377438851	1	1
LOC113247645	0.017096840121108632	0.04200214395170494	7	1	0.4086902160052369	1	1
IDE	0.011872375761246473	0.01437077476008924	4	1	-0.40847184230247807	1	1
MAP4K3	0.012225497835850023	1	4	0	0.40803823458338245	1	1
PTK2	0.01796037623956074	1	7	0	-0.4068867986839029	1	1
LOC113260369	0.04491278721462156	1	4	0	0.4066170927245687	1	1
CEP162	0.03859070389909704	0.5092730807145566	5	0	0.4063642281859648	1	1
REPS1	0.002760655429740094	0.061868359989188805	4	0	-0.4050203476642784	1	1
LOC113258953	0.03859070389909704	0.050590028348974324	4	0	-0.40470056777780855	1	1
TRAPPC13	0.020110576121948148	1	4	0	0.40282441716269485	1	1
XPO4	0.017096840121108632	0.23535506302474307	6	0	0.402567208615666	1	1
SCP2	5.4446583601711296e-17	0.0034210673389973916	5	1	0.40098593822038164	1	1
FDFT1	0.0019867789334435163	1.1486746032609771e-4	3	1	0.40014916503043224	1	1
CUNH19orf47	1.9883133686583104e-5	1	8	0	-0.39942535689531544	1	1
SMYD1	0.0011373638596206379	0.6734725086937553	3	0	0.3972081931075888	1	1
TTC33	0.031386339261899064	0.5938495239098256	7	0	-0.3969095871689007	1	1
WDTC1	0.0029111082708878815	0.015904888285382696	5	1	-0.3968008641387756	1	1
ZEB2	0.008316405198053567	0.35943380081962684	7	0	-0.39615289714013036	1	1
RARRES2	6.3439531012612815e-6	4.340011851372082e-7	3	2	-0.39460396896752437	1	1
LOC113244413	0.01777608972792147	1	12	0	-0.39446339453590207	1	1
NRDC	0.043915940809430475	0.13786846888176815	8	0	-0.3935123482291223	1	1
RUFY3	0.0073805048979667266	1	7	0	0.3886301778700574	1	1
ACAD9	0.03639763760156572	0	2	2	-0.38828550818864316	1	1
CSDE1	1.3964853184994176e-21	7.683292392860216e-8	8	3	0.38655286663769794	1	1
USO1	8.233900108847067e-4	0.24136737350821286	6	0	-0.38618050140515864	1	1
LRIG2	0.041406031425106654	1	5	0	-0.3820246796824523	1	1
PAIP1	0.033381647149473025	0.21034959061283315	5	0	0.3796164971173726	1	1
WNK1	3.171372922859532e-14	0.009529378132447069	10	1	-0.3792748842213932	1	1
CLU	0.011872375761246473	0.5463755290454652	10	0	0.379136725579287	1	0.75
TSC1	0.012424961785127807	1	5	0	-0.3789551053548531	1	1
ZBTB38	0.00950701590467045	0.07682893226504456	6	0	0.3787295237946442	1	1
LOC113251518	0.00319089531875849	0.6748236663593014	10	0	0.3783422837290577	1	1
SLC38A4	1.9301904674142197e-7	1	12	0	-0.37795666074257017	1	1
XPA	0.006727204954417749	1	3	0	0.3776425973851603	1	1
LOC113262256	0.002760655429740094	1	13	0	0.3762358316343154	1	1
VPS13D	0.021229448327614184	0.021274108876966517	4	1	0.3738284148420065	1	1
YWHAE	2.5369371100863873e-17	4.808838068474702e-5	4	3	0.3716475560742174	1	1
MAP4	2.0765641473867916e-5	1	12	0	-0.36786433760358067	1	1
EPS15	5.17826353846744e-5	1	8	0	0.3635487643783111	1	1
DCAF11	8.233900108847067e-4	0.02164681176755707	11	2	0.36277261002416156	1	1
LOC113261185	0.032941927728391766	0	2	2	0.36095392547016636	1	1
VPS13A	0.012702718077367843	0.016469704468404407	5	1	0.3607048137479096	1	1
MAPK1IP1L	0.0011435541459858948	0.0037767737798575386	7	1	0.35854159127773605	1	1
ENOX2	0.027355938341816738	1	8	0	-0.35843209396617026	1	0.75
DMD	0.004068588364172236	1	12	0	0.35763595011894445	1	1
ATP6V0A1	3.6759776823105935e-7	0.0014934526556033896	10	2	0.35669757135240743	1	1
PABPC1	2.7013644779276183e-6	1	7	0	-0.3549340814305111	1	1
NCOA6	0.025225723713826247	1	6	0	-0.35456866850074187	1	1
CACNA2D1	0.01394634619754506	1	4	0	0.35408905313813754	1	1
CHD2	0.0010509907350148141	1	11	0	0.35283254695815003	1	1
ZDHHC6	0.04838942834155931	1	4	0	0.3522286837086269	1	1
LOC113243115	3.656862454137233e-5	0.032155245130746885	12	1	0.34886385629608097	1	1
DNM2	2.865515830823631e-4	1	7	0	0.3471148819113755	1	1
TACC1	0.0043120964093859805	0.17791885887167672	10	0	-0.3459871896137832	1	1
CDH5	0.003754359660160076	1	8	0	0.3457562600080872	1	1
ZNF655	0.00437396219533814	1	11	0	-0.34394759351179754	1	1
HNRNPM	0.00149411787223488	0.3291551703856878	9	0	0.3436579148203797	1	1
RAB28	0.006843679985227931	1	6	0	-0.33751451999663373	1	1
COL12A1	0.010940431407633403	1	6	0	0.33717084475822057	1	1
KLC1	4.2508800652940486e-5	0.027319463425701768	12	1	0.3367125420258025	1	1
SNX14	0.004068588364172236	1	17	0	0.33300158109030703	1	1
PCSK7	0.014192567317655853	1	8	0	0.33159621688931656	1	1
OSBPL1A	0.0014926545841006569	0.12512526158435044	5	0	0.32986539014008226	1	1
U2AF2	0.04491278721462156	1	6	0	-0.32926461722024425	1	1
KIDINS220	7.123382848351426e-7	0.1793846666266054	9	0	-0.3287982467694478	1	1
RAB3GAP1	4.973917324111762e-7	0.13714784244571654	8	0	0.32768615709769694	1	1
MYO6	0.005253979173330227	1	12	0	0.32736885549889394	1	1
COPS7B	5.044185684339267e-4	1	6	0	0.3263058026750402	1	1
GPAM	3.184995394122532e-6	1	10	0	-0.3260399176541333	1	1
ZNF606	0.04626011923365268	1	7	0	0.32501488885814145	1	1
HPS5	0.0024743304714701353	1	13	0	-0.3247179426718426	1	0.75
ZFX	0.011230652211861921	0.3807377247219947	3	0	-0.324358293577146	1	1
LOC113244843	7.062799301362125e-4	0	2	2	-0.3233650847781897	1	1
LOC113267793	0.005769585593436574	0.032103588945081	4	1	0.3229191399047211	1	1
CLIP1	3.1759862364823956e-6	1	13	0	0.32171549460200727	1	1
CPT1B	5.806922473980629e-8	0.22837140798992628	11	0	-0.32125516642873847	1	0.75
SEPT11	0.03591551859543341	1	6	0	0.3186266360918116	1	1
PCM1	0.038307154121604806	1	11	0	-0.3171896020300934	1	1
MAP3K7	0.008316405198053567	1	6	0	-0.3168167290133586	1	1
COL6A3	0.03029870925378138	1	5	0	0.3157346412879738	1	1
CRAT	5.259587771173123e-8	3.8025554707497005e-10	3	2	-0.3156745928553585	1	1
AKAP9	8.091987397533385e-17	0.030462258666622506	11	1	-0.31536624889802695	1	1
ENSA	0.019069218927781705	0.010676172708945313	6	1	0.3145426396508266	1	1
LOC113249364	0.018774089355938654	0.8214333335232464	7	0	-0.3128388482834301	1	1
CXCL12	0.012242211410789358	0.0014768875183156132	3	2	-0.31219732403654654	1	1
TSR1	2.2893528160556e-4	8.412300541740063e-5	7	2	-0.31213231805044345	1	1
PFKFB1	4.779527038717995e-8	1	15	0	0.3115439362788479	1	0.75
PICALM	0.001239101375929033	0.003632530633540686	8	1	0.30752177850340273	1	1
RBFOX2	0.0038727510418020998	1	12	0	-0.3039632416603186	1	1
AFDN	8.706281562940438e-8	1	12	0	-0.30381229612869054	1	1
LRBA	0.0016172719916346103	0.8070488724672358	8	0	0.30040821590985123	1	1
RENBP	0.041406031425106654	0.3187109495286615	4	0	0.299329659190012	1	1
ATP11B	0.01540583171232941	1	6	0	-0.2990475761640651	1	1
CSNK1A1	1.547129498778391e-6	1.1499177086658256e-4	7	2	-0.2989112208523429	1	1
MTR	0.04117590313001763	1	5	0	0.2978413426046116	1	1
ZNF638	0.002760655429740094	0.1800212800537902	10	0	-0.29703405589821963	1	1
MPHOSPH9	0.033072327926655105	1	11	0	-0.29649548417180555	1	0.75
ANKRD17	0.010621789916598547	0.08631344517063536	7	0	-0.2953713144148774	1	1
DOCK1	0.025898229632373433	0.18102561136798384	7	0	-0.2948384689069659	1	1
MAP4K4	0.0022826190610866926	0.5072771035001028	12	0	-0.2918546322615983	1	1
LARP1B	0.001248253066953742	1	12	0	0.29088568375721313	1	1
CUNH11orf54	2.941227564975426e-4	1	14	0	-0.28927081570351626	1	0.75
SH3GLB1	0.004434019741188277	0.015801983885329593	6	1	0.28604621913148154	1	1
MKLN1	1.6095452682685798e-4	0.4840232862677862	7	0	0.28488214625783714	1	1
KIF21A	3.5841866103630035e-4	1	12	0	0.2847836647751601	1	1
ATXN1	0.005769585593436574	0.016102913934397566	7	1	-0.28397346085621694	1	1
PTPN3	1.6860184763761198e-21	3.766583427083541e-4	11	3	0.2837207286305371	1	1
AKAP13	0.040735678298216615	0.38066096953818995	10	0	0.2835133934568721	1	1
CAST	8.890479627893741e-4	0.8647595616274446	13	0	0.28198151957175477	1	1
MEF2A	2.711871868386528e-10	0.053203091865638076	14	0	0.27974837650669	1	1
DCN	0.012242211410789358	0	2	2	-0.277712018463672	1	1
BROX	0.019983006649877615	1	11	0	-0.2776362459806775	1	1
SLC25A12	6.558315470500043e-4	1	9	0	0.2766877025138259	1	1
NFIA	0.004150044293383836	0.1475984872670697	5	0	0.2760868526506648	1	1
GOLGA4	0.019068824298241055	1	7	0	-0.27322888428968545	1	1
ANP32E	0.04838942834155931	1	4	0	0.27222886479176034	1	1
MTUS1	2.5241185915066854e-4	0.06424139288885633	10	0	0.27061642274459197	1	1
PAFAH1B2	0.003548791695685469	0.002897305099274861	6	1	0.26985780804717346	1	1
STAG1	0.01112866506039461	0.1032412768795993	5	0	0.2696691708126144	1	1
DST	3.521951937175392e-7	1	15	0	0.2683894799796387	1	1
VPS29	0.04155776460254935	1	4	0	-0.2657320031183558	1	1
TTN	2.0458399912927925e-4	0.09085270860205581	17	0	0.26280133925073895	1	1
