gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Skin-Kidney_medulla)	pct_gene_expr	max_pct_tx_expr
SNX22	0.008079920638669627	1	3	0	-0.7462862588541763	1	0.75
PLAG1	0.035444938386333884	0.8959042828300086	4	0	-0.7397114250309031	1	0.75
KHK	0.0025143606720239606	0.03204356052939758	4	1	-0.737658902027918	1	1
RPS24	5.74512508106574e-32	9.332147438138762e-33	3	3	-0.735084152553099	1	1
CNTROB	0.02863113570933904	0.2560678794595183	3	0	-0.7302507750485714	1	0.75
MOB3A	0.034110292650964054	0	2	2	-0.7283390450147142	1	1
VEPH1	1.8425776098641543e-10	1.0555528001905386e-10	7	3	0.722335024671458	1	1
PIGR	0.012415120656253236	0.005649730606236334	4	1	0.7190857113613063	1	1
HOXB6	6.698085420125971e-4	1.9399932587576565e-5	5	2	0.716894122793565	1	1
FRAS1	1.1056408256512396e-6	5.750877425089468e-5	4	2	-0.7137674883573858	1	1
ZNF438	0.008854256145031606	0.01971367044803663	7	1	-0.7124936533533058	1	0.75
PIP4K2C	7.951254253826943e-4	0.0042775404910320005	8	1	-0.7096738444825542	1	0.75
LOC113255366	0.03218406881261501	0.0048224572386387	3	1	-0.7067985475334249	1	1
ANPEP	0.004412966295750732	1.1107251588724729e-4	3	1	-0.7067738200737912	1	1
FBN2	0.04388112036970561	0	2	2	-0.7057087809458362	1	1
ZBTB49	0.011732861463054982	0.1876764717496183	9	0	-0.6984766140666837	1	1
PMEPA1	1.5248992961468992e-4	2.1622355950901858e-4	3	1	0.6971490593189429	1	1
TLE2	0.005934629184252063	1	6	0	-0.6929532831598569	1	0.75
DCN	1.2568217238012265e-23	0	2	2	-0.6917951667932911	1	1
PIP5K1C	0.04887354516080698	0.10897349952494184	5	0	0.6902071220999788	1	1
MXRA5	0.035542628549954644	1	3	0	0.686682331389561	1	1
TFEC	0.04164917940387386	0.274524677602048	4	0	-0.681258159153757	1	1
RAI1	0.01108331849784197	0	2	2	-0.6797002006979175	1	1
CEP170B	6.806998025844635e-7	0	2	2	-0.6773747542925892	1	1
HPGDS	0.0062378673553545256	1	4	0	-0.6732970253640588	1	0.5
SLC2A5	0.024420062796052754	0.01554628595712301	5	2	-0.672367873107041	1	1
FES	0.0036157165574872093	0.3506297334023905	6	0	-0.6712791491492806	1	0.75
DAGLB	3.9510618178968177e-4	6.93414466401494e-5	6	1	-0.6688796066196601	1	1
SIPA1L3	9.545862026992449e-4	0.0054289053580085685	4	1	0.667725435083367	1	1
LBR	6.698085420125971e-4	5.880814234576775e-4	8	1	-0.6664124601369846	1	1
KDM8	0.0065793057900774225	0.05938507660562561	3	0	0.6650099028626523	1	1
ZNF287	0.028590878482687584	0.010988967831610815	4	2	-0.6589212780180821	1	1
NFKB2	0.036878106496903644	1	4	0	-0.6583732561431593	1	0.75
PDPR	0.012721327928891628	0.03422685919147969	6	1	-0.6543650833435031	1	1
MRPL4	0.04673156809012167	0.007624021715373203	3	1	-0.6539299022105177	1	1
LAMB3	2.3783621051903979e-4	1.1645926557132477e-4	6	1	0.6518230614393494	1	1
NR1H4	0.046361988083622754	0.18624534936626144	4	0	-0.6480453372484859	1	0.75
LOC113243522	0.034110292650964054	0.2411464687300178	10	0	0.6473276860128505	1	0.75
ARNTL	0.0020480495323862975	0.25476769764833274	6	0	0.647183792908031	1	0.75
ANHX	0.024420062796052754	0.09339580081144988	4	0	-0.6453273942095589	1	1
TULP3	0.00831043617683862	0.08105079921094874	5	0	-0.6451912795488566	1	1
LOC113253240	0.01702774741852601	0.32926929662820903	3	0	0.6427184964889145	1	1
EIF4A2	6.558298713129398e-17	1.1103419479809737e-12	6	3	-0.6422936003330628	1	1
HIPK2	0.00100421271744446	3.781700587083609e-4	3	1	0.6420627091467644	1	1
NOD2	0.03894329966465306	0.1082943661487849	4	0	0.6358222800913245	1	1
PDHX	1.1705874907600463e-6	4.770464991358242e-7	5	2	-0.6326554508416946	1	1
DIPK2B	0.042925363461314744	0	2	2	0.631984378448117	1	1
MCTP2	0.0012655779815734258	1	6	0	-0.6285811158670287	1	1
MYO7B	0.008517973170476565	0.05004231505721104	4	0	-0.6263060616540974	1	1
HSPA12A	0.041050051360991345	0.023586703979570543	6	1	0.6173723189799564	1	1
FAM117B	0.013102700232366026	0.045147709405464045	3	1	-0.6168848877948971	1	1
LOC113244055_RBM14	0.023855698684348253	0.19917611628074716	4	0	0.6159171634076196	1	1
ZNF512	6.73688615189409e-5	0.6969735193737714	10	0	-0.6156002541037916	1	1
LIPN	0.045410090826321095	0.1553000989025144	7	0	-0.613438764416483	1	1
PSAP	5.258952988040872e-4	8.6843677530204e-6	3	2	-0.6105846946798452	1	1
HNRNPA2B1	5.829028185736741e-10	6.837260483828592e-10	7	2	-0.6097837907877462	1	1
BCKDHB	0.010331549201570488	0.04609517380763801	8	1	-0.6094525744739744	1	0.75
HIBCH	0.00570761869428861	0.0024237889758127727	7	2	-0.6079161289287055	1	1
USO1	2.087869502117387e-9	1.93948673520007e-7	5	3	-0.607811656061396	1	1
WDR25	0.024058734711953158	1	6	0	-0.6077617577621339	1	1
CCAR2	0.005522490968710124	0.019325372844904678	5	1	-0.6074581859290038	1	1
ABCC3	0.012786272115092305	0	2	2	0.6060009178238432	1	1
GALNS	0.007654504050610325	0.023106619046260893	5	1	-0.5973881237749626	1	1
WBP1L	0.03471822032468456	0.0778093414458768	3	0	-0.5952523539067824	1	1
PDE5A	0.0048940719783198165	0.0607799591931203	4	0	-0.5917238524376232	1	1
CASP10	0.03894329966465306	0.05831248172307355	3	0	-0.5903957356851506	1	1
TYK2	3.727000944087213e-4	1.4408729733103636e-4	9	1	-0.5901388688057235	1	1
LOC113255713	0.04945101564855206	1	4	0	0.5883422253226036	1	0.75
CKMT1B	0.01841460012215778	0	2	2	0.5880070157871059	1	1
TRMT44	0.04844416811065279	0.025397335621326185	4	1	0.5878161481538254	1	1
ATG16L1_SAG	0.0193853032757545	0.07535648111211576	7	0	-0.5870597559964464	1	1
PPP1R13L	0.03035025045378947	0	2	2	-0.586631008957001	1	1
AP5Z1	0.009019872247253027	0.0362617910773149	6	1	-0.5861132321447837	1	1
PXN	0.004859772776321378	0.07627181293915831	8	0	-0.585968115570197	1	1
TMEM135_LOC113269409	0.0025143606720239606	8.869454770315671e-5	3	1	-0.5827241544200871	1	1
PPP6C	0.024270411399706156	0.018673504417576012	6	1	-0.5811637516384569	1	1
WWOX	5.724976748711609e-8	8.034568498501831e-4	6	1	-0.5793622935844772	1	1
ABLIM1	4.7040303864983935e-29	1.420014572992175e-32	4	2	-0.5784281451516514	1	1
RARG	0.046361988083622754	0.3132069270440744	5	0	-0.5770729530768937	1	1
ELMO1	2.745260772446831e-7	1	9	0	-0.5765263196767384	1	1
LMF1	0.0014700398443805633	1.6580023220076973e-4	3	2	-0.5760388309759521	1	1
TEAD1	8.280454832500797e-4	0.037873416126174106	6	1	-0.5757550580490469	1	1
ACSF3	0.030986235669586616	0.40318645963942923	7	0	-0.5754553022478287	1	1
PAPSS2	0.0017340742162936604	0.13409230931896546	6	0	0.5730247775055868	1	1
ZNF620	0.02434059813602309	0.09534202282546039	8	0	-0.5721078548906151	1	1
SLC23A2	0.012857188618254505	0.5359612042624307	4	0	-0.567304744668011	1	0.75
LOC113245792	0.03869833169369503	0.15134956220956391	5	0	-0.5661641576145194	1	1
DHX57	0.023200997602526856	0.12688491464415236	3	0	-0.5660963185962389	1	1
CPZ	0.03918989089493455	0	2	2	0.5644847077281832	1	1
INPP1	0.015155701945488962	1	3	0	-0.5634234476862614	1	1
AGK	0.03598246573349924	0.02653875624735605	4	1	-0.5631811043110364	1	1
YWHAH	0.0017340742162936604	0	2	2	0.561617177893065	1	1
SSH3	0.0013664323332694787	0.003343821597054456	10	1	-0.5613936588762951	1	1
SESN3	0.004089876241191915	0	2	2	0.5613044603994053	1	1
CEP112	0.01108331849784197	1	7	0	0.5593717537247673	1	0.75
MANEA	9.359232355453196e-6	4.897008337084611e-7	10	1	-0.5590328924089382	1	1
CLIC5	2.2474460565269372e-4	0.23384175049736797	6	0	0.5588294835566208	1	1
LSM14B	0.005348400819631977	0.005006407442727238	3	1	-0.5563009110672907	1	1
LPIN2	0.006165652305175815	0.009128243187566195	5	1	-0.5558613548348273	1	1
LOC113267063	0.011828483222034768	0.1899558942269248	6	0	-0.5549762233538023	1	1
LAMA1	0.008583136265208026	0	2	2	-0.5511183277279881	1	1
SLC4A4	9.609121058270724e-5	9.424645395518083e-6	4	1	0.5510090598041719	1	1
ANGPTL2	0.012962610881663946	1	6	0	0.5495548331049569	1	1
NR1D1	0.02746903603713569	0.10277033071076656	5	0	-0.5449791496725005	1	1
POMT2	0.005030569745792157	0.9326003999685583	3	0	0.5441551982486114	1	1
KLC2	0.046361988083622754	1	5	0	-0.5416337437256	1	1
TTC12	4.681816943302841e-6	0.002290707518358221	7	1	-0.5404362063252907	1	1
MPV17	0.011574580254620954	0.01614408210918157	10	1	-0.5380124463215495	1	0.75
HPD	0.004075584489851145	0.291294904206523	6	0	-0.5351786782130472	1	0.75
CASP8AP2	0.010982395802546589	0.027668547129463837	6	1	0.5350055517673401	1	1
CUNH17orf49	6.73688615189409e-5	2.6474958456914255e-6	4	2	-0.5343273249614104	1	1
DDR2	0.03229346310017798	0.2949807635672967	4	0	-0.5334514029675883	1	1
PRICKLE3	0.016308246335114577	0.10033978491823742	5	0	0.5301608580200565	1	1
KANK1	7.93192899135314e-8	3.7161620156531773e-4	8	1	0.5301206345301479	1	1
BCL6B	3.534149815731845e-4	0.003435254940031294	8	1	-0.5292854250332443	1	1
TRIM33	3.73433795819818e-4	7.2194168301265545e-6	3	2	-0.5287843306151735	1	1
MORF4L1	0.0021622470565417305	0.001000520449808376	5	2	-0.5283972881057016	1	1
INIP	0.0490356683126358	0.11026859875476201	4	0	0.5266325455823718	1	1
LMTK2	0.008036275630130162	0	2	2	-0.5258734565787392	1	1
CLASP1	0.028088922425184452	0.05140770706055912	8	0	-0.5243385898568785	1	1
EIF2AK2	0.020114176414349125	0.6800279179831658	4	0	-0.5238191831895176	1	1
CBL	0.03894329966465306	0	2	2	-0.522923965429831	1	1
SLC2A9	0.013036290685976013	1	10	0	-0.5216685204344996	1	1
SGSM2	0.03846648956432446	0.1377495857945479	4	0	-0.5199630026749323	1	1
HPN	8.280454832500797e-4	2.597195190499e-4	6	1	-0.5169418542269822	1	1
NAGPA	9.162316706083075e-4	1	5	0	-0.5142905489902597	1	1
MAPK8IP3	0.012949749625756079	0.23938782383698134	5	0	0.5139622144720204	1	1
EPHA7	0.001169813126211494	0.06548301656755705	5	0	0.5129497976220792	1	1
LOC113242943	0.046993988219242146	0	2	2	-0.5124495259542176	1	1
SLC39A8	3.8684986333375007e-7	8.979697914489524e-9	4	2	-0.5106510929229393	1	1
LAS1L	4.99675262537969e-5	0.019429075967327458	10	1	-0.5079974528422248	1	1
DESI2	0.0194999845532452	0.013306113290692735	3	2	0.5065022184376201	1	1
RITA1	0.03894286007643716	0.7823014362118587	3	0	-0.5043335560028475	1	1
CA12	1.1685299031074394e-6	1.966657864856988e-6	3	1	-0.5038039018431868	1	1
PLEKHA8	0.0018428705657038825	0.45788332894705797	4	0	0.5027434345783416	1	1
NOSTRIN	0.00831043617683862	1	13	0	-0.4993836610061707	1	0.75
NF2	0.046349829782238595	0.37666093200119183	6	0	-0.4947384969038022	1	1
SRPX	0.030088876761059327	0.24276569155010166	3	0	-0.490458435758066	1	1
BCL2L11	2.1297729149880807e-5	6.042191883426729e-6	10	1	-0.4898863905192419	1	1
CUNH15orf40	0.02392396291735961	0.009919150113893858	8	1	-0.4893919834854514	1	1
LOC113247886	0.010783339525516664	0.32521120761988037	5	0	0.48862480408313647	1	1
ENTPD6	0.0193853032757545	0.189661404542383	6	0	-0.4877738993980299	1	1
SLC25A39	2.3291708258508246e-5	0.426137618295386	5	0	-0.48716930793764074	1	1
FLT1	0.016128355818327552	0.015539020314548985	6	2	0.4870539089536377	1	1
MPEG1	0.01460442300550924	1	3	0	0.48552404842237584	1	1
RNF152	0.004311238243086602	0.036655813542848935	5	1	0.48290305850784665	1	1
ACTR3B	0.032798388649017914	0.73868101151953	5	0	0.48232584443983473	1	1
CNTNAP2	0.04613752819404236	0	2	2	-0.48198806036372477	1	1
SMIM19	0.003338213242801543	0.024509267829524957	9	1	-0.48147176684691484	1	1
STRADB	0.00864205017979324	0.02856262422017535	10	1	0.48133208749548656	1	1
KRT10	0.001296825188299519	4.4641875903156695e-4	3	1	-0.4811390376582926	1	1
RFWD3	0.032798388649017914	0.041507669824194404	4	1	0.48065857840347426	1	1
RRP7A	0.016128355818327552	0.0406798918928329	3	1	-0.47912165557290265	1	1
HSD11B1	2.745260772446831e-7	0.011961242676278369	7	1	0.47816522457804067	1	0.75
ITM2C	4.2187687850428615e-4	0	2	2	-0.47692274398011303	1	1
TMEM175	0.011799762317827152	0.643010361151048	5	0	-0.4759643328711153	1	1
RHBDL1	0.014605980326261774	1	6	0	-0.4755545591305968	1	1
ACP5	0.037919502760778406	0.01069903662566698	3	2	0.47468041346562884	1	1
FBLN5	1.2310676809209643e-6	6.714085700690631e-8	3	2	0.47281587570601824	1	1
UBE4B	0.008335227127935158	4.177301597726389e-4	3	1	-0.4713583577095368	1	1
DNAJC3	4.999330978231369e-4	0.011180083213444313	4	1	-0.4692614047445371	1	1
MAPK1IP1L	0.007735346057039561	0.0012133520130520028	7	1	-0.46910909381704735	1	1
LOC113244055	0.015155701945488962	0.0015815695885862944	4	2	-0.468955175190918	1	1
ECHDC1	0.04425490964242974	0.014017273911163204	6	1	0.46666834104982025	1	1
VAMP4	0.0058365151410645615	0.006649598742088663	7	1	0.4663529285053011	1	1
SSX2IP	0.014153411177154934	0.40495894440454394	6	0	0.46434657150957426	1	1
SMYD4	0.045990043995279305	0	2	2	-0.46433017599013415	1	1
PHKB	0.020579366125484815	0.009642847336338889	6	1	-0.46364074119869664	1	1
FRMD1	0.034110292650964054	0.007819650275892143	4	1	-0.4629132445342813	1	1
TPM4	2.020613213484911e-6	0	2	2	0.46266435585734844	1	1
ZEB1	0.007654504050610325	0.0021614890162355784	4	1	0.4606611389180665	1	1
CYTB	0.005797822657624612	0.0032169619263463906	3	2	-0.4596163440617578	1	1
INPP4A	0.00840043288261918	0.0017733304877817911	4	1	-0.4580011730951541	1	1
COL6A3	5.26090346798764e-10	3.152486149908706e-13	7	2	0.4566882885060908	1	1
LOC113249828	0.04162292342397522	0.014614127585309097	3	1	-0.4555619712229359	1	1
CFB	0.03035025045378947	1	8	0	-0.4549988474234367	1	0.75
LRRFIP2	0.014919662582056173	0.001038632048992903	4	1	-0.4548284062733922	1	1
FLOT1	0.04164917940387386	0.006571451764701655	9	1	-0.4535736058456737	1	1
TRIM52	0.019641132506648454	1	5	0	-0.4509101929055612	1	1
CNTLN	0.004859772776321378	0.061177730478595795	7	0	-0.450763248892272	1	1
MAST3	0.010783339525516664	1	7	0	-0.4500158565810985	1	1
TMEM184A	0.007940702882569288	0.019783512287040932	7	2	-0.449918336604889	1	1
MTF2	0.0049378358249071025	3.357964499357774e-4	3	1	-0.44958068023625547	1	1
TRIM38	0.02014495275538555	0.02837789016011477	4	1	0.4492412437128054	1	1
ACPP	0.006415915764124395	0.0012527742071638387	4	2	-0.44848650128999534	1	1
ANKFY1	0.0031338138996969632	6.968122336065522e-4	4	2	-0.44787490119845436	1	1
FGFR3	1.2598285988371667e-5	4.971588188331311e-5	8	1	0.4467563951807716	1	1
TMEM218	0.002683726827358587	1	6	0	-0.4457650426625604	1	1
PDE4D	0.001417493234198809	8.085898662833897e-5	5	2	0.4452441288166134	1	1
OGFRL1	0.0011730393931781381	2.470813217700836e-4	3	1	-0.4437022960814825	1	1
NEDD4L	0.009534769970414437	0.13860839380902717	4	0	-0.4424394992211288	1	1
MLX	0.0070242158569671165	1	6	0	-0.4423996976958354	1	1
RIN2	0.042925363461314744	0.5524964433372856	9	0	0.44174188803499903	1	1
GALNT12	0.0031888375155255033	0.2633124840959401	4	0	0.4409492200803769	1	1
PEX11A	0.012700351160132342	1	6	0	0.4406434782507957	1	1
STK3	0.0010906743591624205	0.001422013229974527	7	1	-0.4378582356017458	1	1
STOML1	4.7150213538583807e-4	0.2809918464252829	6	0	0.43775127966797317	1	1
SGK2	0.0045392596776334775	1	8	0	-0.4374032083144578	1	0.75
LOC113264440	0.02423646707349345	0.08691901655885288	5	0	-0.4370672158580778	1	1
SREBF1	0.004897546734475277	0.026484433619778782	6	1	-0.43675784086036623	1	1
RAPGEF5	0.0011078337157307363	6.880488636189546e-4	4	2	-0.43643852890533325	1	1
ULK2	7.648327215774367e-4	9.521258549301592e-4	4	2	0.4357814090074555	1	1
GTPBP8	0.010783339525516664	0.14532775547826085	7	0	-0.43531671577446823	1	1
HAUS3	1.3609869238643377e-4	0.2061641006108527	5	0	0.43424287753881385	1	1
NEK4	0.04121358409253206	0.20048983988794863	5	0	0.4341160034827811	1	1
HMGXB4	0.0461044236050117	1	5	0	-0.4303300043572413	1	1
RTL6	0.04325091500524834	0	2	2	0.42957369633975395	1	1
INTS2	0.0023280816318678485	2.3762029415019738e-4	4	1	0.42859894312175895	1	1
NFKBIZ	1.0770972218621288e-6	8.88529443012738e-6	7	1	0.4258278591808361	1	1
IL11RA	0.025634709429581078	1	9	0	-0.4252839007219927	1	1
ADCY6	0.003987137031241122	0.2761648788670905	8	0	0.42390341793555597	1	1
LOC113247264	0.008100880556776775	6.268102090956332e-4	5	1	-0.4236012302687928	1	1
LMO7	5.8639744083639944e-5	0.002253674254868857	7	1	0.4231782295401584	1	1
RAB6A	2.317481941417379e-4	0	2	2	0.4226645580926465	1	1
ARAP3	1.0134943124916942e-5	0.027011512314942202	7	1	-0.4226533852490133	1	1
RNF2	0.01992345341471643	0.4812443302945884	4	0	0.42158677786934384	1	1
LOC113248686	0.004946129245534227	0.1299049870662327	3	0	-0.4213867219391777	1	1
BCCIP	0.00441630866651092	0.008267844209223607	3	2	-0.4204787440314154	1	1
PLCD1	0.01107236282253155	0.0960502450223747	8	0	-0.4188131067327824	1	1
SEC24C	0.02103325715930692	1	9	0	-0.41849723126113103	1	1
GRB2	0.01460442300550924	0	2	2	0.4175597590989245	1	1
FITM2	0.01626861742153814	0.011302957840593209	4	1	-0.4170666189854174	1	1
LEPR	0.0016290523772897554	0.14660173294137727	7	0	-0.4165560975666542	1	1
CENPC	0.005297498157657759	0.024217345142798264	5	1	0.4162284085808233	1	1
FNBP1	0.001732215942699671	0.01244394978340077	8	1	-0.4161642405752761	1	1
ARHGEF28	3.1656178884523574e-6	1.2258585487873703e-4	4	2	-0.4159288219740669	1	1
DCTN2	1.8504309177515103e-5	3.78150076462486e-7	3	2	-0.41499751871293544	1	1
AGFG1	4.452688189665736e-5	0.008552542241491963	4	1	-0.4142709956916611	1	1
OXR1	0.0017340742162936604	7.625068194516322e-4	6	1	-0.41390850462782897	1	1
ETFDH	0.0018666536097181926	1	10	0	0.41263888336096444	1	1
CCDC88A	0.01107236282253155	0.8895136621622758	5	0	0.4119094984571526	1	1
SLC38A1	0.042601008301248224	1	4	0	0.4078606047852744	1	1
MTMR14	6.698085420125971e-4	0.03167286452538723	7	1	-0.4074854679275359	1	1
NRAS	3.4466075194721274e-10	4.2451152241528246e-7	6	1	-0.4072256976028419	1	1
EXD2	0.03894329966465306	1	6	0	-0.4071149398659698	1	0.75
MINDY2	0.03894329966465306	0.05047938962197871	4	0	-0.40706843057866904	1	1
CDK14	0.03471822032468456	1	7	0	-0.4069650462520927	1	1
ADGRG6	0.043810273715870485	0.010901147334606042	3	1	0.4061415327941501	1	1
NEURL4	0.003477260801715664	1	3	0	0.40611422591446134	1	1
ELMOD2	0.0406065551729039	0.9038145791578596	7	0	-0.4059664962933986	1	1
TLN2	0.001028679897780205	1	11	0	-0.40517143303864217	1	1
ITSN2	5.142719754314364e-4	0.02293203140753321	5	2	-0.40472614625922404	1	1
UTP20	0.001501853303148869	5.387104082741036e-5	3	2	0.4033649307934569	1	1
WNK1	5.4537788574690285e-6	0.07202212997022339	8	0	0.40251537773683543	1	1
CD99	2.3262058737654602e-7	4.339086256773493e-7	4	3	0.4020568977450545	1	1
FASTK	0.023844535813680318	0.003083279099521235	5	1	0.4019159559785628	1	1
LOC113262286	0.0036157165574872093	0.15015986082848554	14	0	-0.4017416455048243	1	1
CYFIP2	0.0036595463094380963	1.9691236689953784e-4	3	2	-0.4013765739363782	1	1
ECI2	0.02863113570933904	0.6574069286664286	5	0	0.3983528879320371	1	1
ACLY	0.044265422899097795	1	7	0	0.3979320006363515	1	1
ATMIN	0.033785619884051446	0	2	2	-0.3973307742998975	1	1
PPP1R13B	0.016573512895301422	0.3377473072093784	4	0	0.39612996270907475	1	1
PPOX	0.003908651531130952	1	12	0	-0.39537972962620843	1	0.75
ORMDL3	0.0406065551729039	0.32596425087116826	4	0	-0.39518782881954106	1	1
BGN	0.020114176414349125	0.05723169916459807	3	0	0.3941989935100947	1	1
PTPRB	1.1266345133454634e-4	3.851185650371943e-6	3	1	-0.39378356635357786	1	1
ADSS	0.012266444763831683	0.017464578266399265	3	1	0.392697368718718	1	1
PDE3A	0.003974286280505961	0.0029244922304830926	5	1	0.39223923430548524	1	1
PPP2R5B	0.001501853303148869	0.10884762515552943	6	0	-0.3919751388201461	1	1
ROBO4	0.03487039344796952	1	8	0	-0.3918767463796762	1	1
NUCB1	4.216038021736902e-5	0.003729868453788902	6	2	0.39151800864058195	1	1
FAM45A	2.71346797350079e-4	1	9	0	-0.39124313240936137	1	1
HMGCL	0.017369163037604385	0.11140029198196809	5	0	-0.39074794104200994	1	1
RASSF4	0.013262877215060347	0.7819037157508559	9	0	-0.39068085189300433	1	1
WDR45	0.01733487863307771	1	9	0	-0.3906794454084768	1	0.75
TMEM260	0.0037528383920081903	3.7310457162710006e-4	6	2	-0.3886588527808514	1	1
AUP1	0.026708443149705035	0	2	2	-0.3877185036334843	1	1
ASB1	0.045410090826321095	0.26738613736492933	5	0	0.3875678447970811	1	1
GAA	4.6956867633574334e-4	1	9	0	-0.38680247893191744	1	1
MAD1L1	8.659486950262538e-4	0.07922657107714758	7	0	0.3867764370004836	1	1
SGMS1	1.4298515974682836e-4	0.003635954339106632	8	2	-0.3861961987804229	1	1
NSRP1	7.932694853371657e-4	2.4753424991300923e-6	5	1	0.38515429574357296	1	1
MYL9	0.025374938481875706	0.0045497198005843556	3	2	0.3850960667521347	1	1
MANBA	0.014919662582056173	0.44921836712827135	6	0	0.38395456480627577	1	1
TBC1D13	0.009790352084936647	0.0020918707491244023	6	1	0.38338457662512765	1	1
MCM8	1.0032092622982342e-4	0.2381348257729602	7	0	-0.3833443312928972	1	1
GATD1	0.0015926446926867767	1	12	0	-0.38284768701094385	1	1
LOC113267060	0.012895970181599624	1	6	0	-0.38268848006260686	1	1
MTIF2	9.760020361212616e-4	0.520790289208159	6	0	-0.3820309384518236	1	1
IL13RA1	9.319567349296747e-4	0.003240534136964412	5	2	0.3817950083978371	1	1
ERCC6	0.004101818943529754	0.04393259282659383	7	1	-0.379724819982041	1	1
GALNT11	1.1181887400568076e-7	0.06084180001093972	11	0	-0.3795470424220362	1	1
OSTC	0.01974265208803539	0.07266988113864535	4	0	-0.37941545177403335	1	1
RFT1	0.006747270101173382	0.2109453103614333	5	0	0.3776659972107326	1	1
VPS50	0.03043857729581496	1	5	0	-0.3769094548122731	1	1
B3GNT2	5.389536396833872e-4	0.008984120290732712	5	1	0.37663008385650665	1	1
CDC42EP4	2.71346797350079e-4	0.002114814287196537	4	1	-0.3764265907934452	1	1
ASAP2	2.745260772446831e-7	4.7466795153492644e-4	3	1	0.3763040626642833	1	1
ZNF568	0.006523295864279992	0.0014825466434412896	7	1	-0.3759685412809771	1	1
HTRA3	0.00831043617683862	1	4	0	0.3755114830727383	1	1
RABGGTB	7.307517547714268e-4	0.0023211007290357905	5	1	-0.37520811775884777	1	1
DERA	0.0071580522615284446	0.0017193344162544201	5	1	-0.3749458718903292	1	1
LOC113248307	0.02746903603713569	1	11	0	0.374907341125758	1	1
SLC9A8	0.03667158771088903	1	7	0	0.3743163011144156	1	1
PCSK6	0.03182260498339735	0.02229113445168326	3	1	-0.3738364821470236	1	1
ACAP3	0.03035025045378947	1	3	0	-0.3738087552655345	1	1
RASA4B	0.0031776829767258706	1	14	0	-0.37302077320112054	1	1
UBA7	0.0025867184460580906	0.24179048847169038	7	0	0.37245696484618285	1	1
CES3	0.007866819187697029	0.07639741153616965	8	0	0.37147957689132516	1	0.75
RNF144A	0.024531577012642632	0.06721382777936351	3	0	0.3707032267205642	1	1
GPATCH11	0.012971378560377108	1	6	0	0.3692304426048606	1	1
