gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Spleen-Small Intestine)	pct_gene_expr	max_pct_tx_expr
LOC113258957	0.0056623764005014595	0.013985249212739618	4	1	0.733105596367581	1	0.75
PRKCQ	0.039811446828815704	0.447049141611937	4	0	0.7229663711611676	1	1
STC2	0.041499931018675426	0	2	2	0.721098794052136	1	1
BNIP3L	8.2728664998854e-7	0.0020803525035217488	6	1	0.718801755608885	1	1
EGFR	0.04529379259043087	0.042338270119538064	6	1	0.6989655028759321	1	1
NCAM1	0.017778264443737795	0.3505218612554882	7	0	-0.6945553545542977	1	1
CARD11	0.04403011574351465	0.029427088662448198	4	1	-0.6902048923307115	1	0.75
TMEM268	4.76150987899849e-6	1.5108520605883044e-5	4	2	0.6812874605319326	1	1
DPP9	0.023857762713935127	0.7853298149908107	5	0	0.6806931444888698	1	1
TRIM2	0.006207111008121055	0.015087844407770765	3	1	0.6769813968306742	1	1
LTBP3	1.434488334689624e-4	3.7394252903300945e-4	3	1	-0.676424126117689	1	1
DNAJB2	7.918342348681096e-6	2.453629196353708e-6	6	2	0.67313849101712675	1	1
LOC113265298	0.025729967114942277	0.5824571029742672	4	0	0.6710686263361887	1	1
HSPBP1	0.031290130768976125	0.23678886930965806	4	0	0.6690784765295851	1	1
DHX32	0.027868297186177008	1	4	0	0.6646677244010656	1	0.75
LOC113244699	0.014647261816585985	1	6	0	-0.6636919205561372	1	1
LOC113250446	0.04596426032855125	1	3	0	0.6634394555216323	1	0.75
PHACTR1	0.023857762713935127	0.36858001352516767	5	0	-0.6610275538073352	1	0.75
ARHGAP27	0.016070020238097445	0.0014871762837607562	3	1	-0.6548110694929974	1	1
HIP1	0.011001431681906768	0.29913903374443124	5	0	-0.6490194146503749	1	1
IL1RN	0.03074576772336981	0.48536808807073634	4	0	-0.6459186656389303	1	0.75
PPCDC	0.04576233440456942	1	5	0	0.6424108098689765	1	0.75
NR2C2	0.0016676025527234991	0.04075268157886346	3	1	-0.6410595390746923	1	1
MICU1	0.0018283818600600271	0.02159902656492576	7	1	0.6346210255322046	1	1
CIPC	0.00361009165502308	0.7020290221045906	5	0	0.6331962462550443	1	1
KIAA1522	0.04430188158991712	1	3	0	-0.6318578552176737	1	1
PRKACB	0.027179479051824478	0.005125598066376534	4	1	0.6309696989689747	1	1
CLIC5	5.1415612184473364e-8	6.347765707800879e-5	7	2	0.6301342011498311	1	1
LOC113257633	0.02776765171469239	0.18145695317973173	3	0	-0.6224189215280391	1	1
SCML1	0.011891190649050308	1	5	0	0.6131352878059128	1	1
ZFAT	0.04326998783373877	0.06749520348204754	3	0	-0.6123564158581912	1	1
POLD1	0.026986867267486746	0.26197232132404746	5	0	0.6053414130496542	1	1
PTPN14	0.028001235711684835	0.09852584034207648	4	0	0.6052159545009838	1	1
GRAMD1C	0.043844443817126724	0.5544042689706914	5	0	0.5977478126758277	1	1
LOC113251513	0.023700894369748357	1	4	0	-0.5956374528898263	1	1
SEMA3B	0.0012205595916292384	4.3235768881586724e-5	6	1	0.5888771720209366	1	1
EVL	0.003252969705114697	7.0773138533747565e-05	3	2	0.5882730858573683	1	1
FOXJ3	0.03935103770824443	0.1700881907184997	4	0	0.5792764615331596	1	1
LOC113256785	0.030824367380827486	1	3	0	-0.5779662427073504	1	0.75
LOC113252107	0.009261420059334393	0.06109843388056747	4	0	-0.5774200583084199	1	1
NDUFAF4	0.032916806064506095	0.06352222506041835	3	0	0.576803855759134	1	1
ALDOB	0.02387809947651386	0.3160167005113662	6	0	0.5758452787430194	1	1
RGL1	0.021140295233001188	0.04139346444741918	4	1	0.5681069112454497	1	1
ARID1A	0.021604294238391848	0	2	2	-0.56289348777201	1	1
TNRC6B	0.0320475907290586	0.02880593151701832	3	1	0.5602657469193311	1	1
FMNL1	0.043485793239280666	0.2544844839743875	6	0	-0.5597340036371666	1	1
TMEM41B	0.02818805253949695	0.015050860734042685	7	1	0.5585814229304595	1	1
TSPAN12	0.028935107913521968	0.2115886853906479	13	0	0.558058240106374	1	0.75
IKZF2	0.007130175354647099	0.8116874179536896	4	0	0.5572274390897405	1	1
RAB2B	0.043844443817126724	0.10511254467333574	3	0	0.5562849668033613	1	1
PLD1	7.42966989991934e-12	5.2814611623110925e-12	5	2	-0.555378630738909	1	1
RAPGEF5	8.798371821676463e-6	1.2532368531121307e-6	3	2	0.5553055455121865	1	1
DOCK4	0.00806882872503291	0	2	2	-0.5517446229131588	1	1
PCED1B	0.013625665777007228	1	6	0	-0.5478607313817622	1	1
PEMT	0.025677905101230653	0.18219916444361822	4	0	-0.5466450589236329	1	1
PHOSPHO1	0.04430188158991712	0.28383631704485124	5	0	-0.5431705790622096	1	0.75
ROBO1	0.009646549476805294	0.1188420247735404	4	0	0.5413573552929798	1	1
OSBPL6	1.1364947915104588e-9	1	7	0	-0.5247213851553587	1	0.75
HSD11B1	0.033867239399645664	0.6930991402964417	6	0	0.5205271692335293	1	1
DNMBP	0.0032639544694174137	5.37053180580306e-4	3	2	0.5190456035088812	1	1
CCDC82	0.011211724050203278	0.4699229736472287	5	0	-0.5162590511224993	1	1
UBXN8	0.030824367380827486	0.055146565762480795	3	0	0.5117255892308289	1	1
LOC113265231	0.0278029659400447	0.30558291827229284	5	0	0.5114086041491895	1	1
PDZD2	0.01667892582619638	0.12326666818338107	8	0	-0.5042519626580545	1	0.75
CWF19L1	0.003096756246127129	0.9635158331911419	6	0	0.4961159514140086	1	1
ZNF382	0.02445801108980045	0.94724113322369	9	0	0.4928271253382431	1	1
AAGAB	0.0320475907290586	0.1294503087974258	5	0	0.4912959533517605	1	1
MERTK	0.013291065539633135	0.3635401874261148	4	0	0.4872269781263707	1	1
NEDD4L	5.1415612184473364e-8	6.858260375079748e-4	9	2	0.4868379260175504	1	1
ELP3	0.04433035255981641	0.006357520362229104	3	1	-0.4866174747108227	1	1
CUNH16orf54	0.04319192188179976	1	3	0	0.4810568986898056	1	1
ECE1	1.2085352294748823e-4	1.4384542778556205e-4	5	1	0.47981370979021026	1	1
BAG3	0.03853444286811422	1	3	0	-0.4750081315181274	1	1
EXOC1	8.453785509776299e-6	4.688276105336655e-5	7	1	0.4746770761432483	1	1
ERI3	0.026204075282609783	1	7	0	-0.4739268737666007	1	1
LOC113243634	0.0320475907290586	1	5	0	0.4736483934515937	1	1
SLC20A1	0.021321621585248123	0.8688150086093092	6	0	0.4734285167481868	1	1
CSGALNACT1	0.03376029274965553	0	2	2	-0.47145248711822507	1	1
LCLAT1	0.0278029659400447	1	7	0	0.47119065247982805	1	1
SPECC1	0.03635016859992434	1	8	0	0.4711790892277656	1	1
LOC113248525	0.02266592426322715	0.011430400432997782	3	1	0.47116873905283985	1	1
ARHGAP32	0.04326998783373877	0.02428618718145052	5	1	-0.469105854037574	1	1
CEPT1	0.01696106003897066	1	10	0	0.46890399007695754	1	1
CPED1	3.2146482955625944e-4	0.02416453634228027	10	1	0.46865393727720484	1	1
NTRK3	0.00361009165502308	0.5730015792169919	4	0	0.4682337443075811	1	1
HOGA1	0.01994852356444688	0.0027528759924603844	9	1	0.4681948705363259	1	1
SLC33A1	0.013161939546505009	0.01233638997481229	5	1	-0.46121259496799627	1	1
SLC25A36	0.011180931653481038	0.03716847179239717	6	1	0.45647985001550223	1	1
ATP5MC1	0.001334058351148635	0	2	2	-0.44859478858125046	1	1
FNIP1	0.02102941728126618	0.21264559205474437	5	0	0.44411528413626283	1	1
ATP10D	0.013161939546505009	0.04256676629248238	4	1	-0.4416439088626413	1	1
THY1	0.007968807257221452	6.098935857268895e-4	3	2	0.43080483430067706	1	1
ZNF527	0.005384334480631426	1	6	0	-0.42596789370920596	1	0.75
DHX8	0.04391266148515889	0.3104748469283242	5	0	0.42336840808023407	1	1
SGMS2	0.0278029659400447	0.5673440948676446	4	0	0.4226377305546659	1	1
ANKRD11	0.001436584424883726	1	3	0	0.4172960268949548	1	1
BST1	0.04430188158991712	1	4	0	0.41667233288938266	1	1
FLNB	8.898410857512896e-4	0.0037090982997689233	6	2	0.41573669719182227	1	1
TLR6	0.027179479051824478	1	5	0	0.41302979102597653	1	1
PAK1	0.0017534187798096093	0.9359990354022518	4	0	-0.4118819590443388	1	1
SAMHD1	0.001334058351148635	1	9	0	0.4117649950114527	1	1
LIMA1	0.0024421055904567815	0.010914296593987807	12	1	-0.40909746533687086	1	1
CSF1R	3.6880067283306896e-4	0.09613878346829789	9	0	-0.4088763125788496	1	1
WDR75	8.5350692524174e-4	0.010367272155143955	9	2	0.4085604294710116	1	1
PXYLP1	0.0465823198180869	1	8	0	0.40467211387769464	1	1
DHRS1	0.010133510714178012	0.02579430911329494	8	1	0.40236644844783703	1	1
ERAP2	0.03935103770824443	1	5	0	-0.4020228268779437	1	1
TOP1	0.02135443369612008	0.002921996422775945	4	1	0.40201599167400726	1	1
DIABLO	0.03522439459590122	0.005156779239183896	7	1	0.3956715867827083	1	1
ABCG2	0.027179479051824478	1	12	0	0.39125514561104574	1	1
CUNH19orf12	0.0012979107712806988	1	4	0	0.38695203087577346	1	1
CHD1L	0.024922401495155053	1	10	0	-0.3859773956375431	1	1
DYNLL2	0.001999520405067659	0.0013537984909604138	3	1	0.38539647375649655	1	1
NUP107	0.004344560222147995	1	5	0	0.3851249762145958	1	1
ARHGAP17	0.03676556953249347	1	11	0	0.384030464658701	1	1
NOC2L	8.798371821676463e-6	0.017671830718588844	9	1	-0.38215735486215613	1	1
PDIA5	0.039709098446197105	0.4731590463679038	4	0	0.3783631032219541	1	1
MORC4	0.04832182463271351	1	3	0	-0.37017489626965727	1	1
FIG4	0.039709098446197105	0.8981043787317986	8	0	0.36914088206706763	1	1
HDAC2	0.03926694574037482	0	2	2	0.3670890294320286	1	1
ANAPC1	0.004248033160489004	1	5	0	-0.3656235589346672	1	1
ADGRD1	0.041499931018675426	1	5	0	0.36350309075072207	1	1
PIGN	0.0320475907290586	0.24839132585861534	5	0	0.3605698434365547	1	1
GRHPR	0.023907643478900384	7.640722999615962e-4	6	1	-0.3543325566986431	1	1
ERBIN	0.03635016859992434	0.41491666468649424	6	0	0.35117184760418385	1	1
RAPGEF3	0.034353903132851193	1	11	0	-0.35070807468492954	1	1
FAXDC2	0.021901951729918927	1	15	0	-0.35028387876821904	1	0.75
TAB2	6.656382827188961e-4	4.234914704107706e-4	5	1	-0.34925530777471697	1	1
SMTN	3.6880067283306896e-4	0.01004894304541866	8	1	0.348172458094614	1	1
VEZT	0.0011522148577443859	0.2806314760895198	9	0	0.34662683211282297	1	1
IL4R	0.023857762713935127	0.29717498080185367	8	0	0.3455224488659953	1	1
TNPO2	0.039709098446197105	0.36099725485420286	4	0	-0.3452456709374864	1	1
TP53I11	0.011001431681906768	0.014062593213384727	4	1	0.341757787414778	1	1
NEK3	0.005224700825154106	1	9	0	0.3398098422306325	1	1
UTP20	0.032916806064506095	0.0047329211227555195	3	1	0.3393167034582336	1	1
CD44	2.704942819769373e-8	0.014170801863692056	7	1	-0.33665308996379106	1	1
JADE2	0.0320475907290586	0.13263384213268226	10	0	0.3340259750498436	1	1
ULK4	0.046076562279241576	1	6	0	-0.33369980362655893	1	1
DNAJC10	0.011891190649050308	1	7	0	0.3328115919129795	1	1
FBXL17	0.03707888568840429	0.07863657959942028	4	0	0.33174021496774997	1	1
LOC113248505	8.5350692524174e-4	0.15527693047414345	10	0	0.330299816162003	1	1
SPART	0.030824367380827486	1	9	0	-0.3295206229718661	1	1
FNBP1	0.0043031542166095515	0.29097370185115073	7	0	-0.32906327395596596	1	1
LOC113244953	0.02042981149575891	1	3	0	0.32588359974603887	1	1
PPP3CB	0.04188902996517937	0.475501579531702	7	0	-0.3199707335877973	1	1
FNBP1L	0.0446003734124119	1	9	0	0.3185420565339335	1	1
PFKFB2	0.0320475907290586	0.7121883712517688	5	0	-0.31730185449447434	1	1
SLMAP	0.045910318727746854	0.019123570162110175	10	1	0.31575691019283	1	1
ZNF512	6.963145047118691e-5	1	13	0	0.31563314404527004	1	1
CTNND1	4.76150987899849e-6	1	10	0	0.31547948836157197	1	1
GNL2	0.046076562279241576	1	8	0	-0.3094167335981128	1	1
AFDN	1.08730578826986e-4	1	10	0	0.30695957720779	1	1
KIAA0355	0.006928050256686938	1	5	0	0.30447956706049556	1	1
MYO9A	0.0011522148577443859	1	7	0	-0.3040257978873321	1	1
PCIF1	0.007139841903641798	0.0014135130110493924	8	1	-0.30341612454270145	1	1
SYNPO2	0.04048702314468598	0.3994456312058397	6	0	0.2984758975843428	1	1
POMT1	0.0043031542166095515	1	13	0	0.2896643886230207	1	1
RNF6	0.0428645435264288	1	9	0	0.2876993587060019	1	1
CALD1	0.042913114067439535	1	12	0	-0.2860055014815618	1	1
PDE5A	0.029340217228262532	0.011357253123628643	3	1	-0.2851014398968601	1	1
FAM208B	0.026209501993272023	0.15549165510393367	6	0	0.283982125611207	1	1
CASP8AP2	8.328429750108308e-4	0.03304057923762281	7	1	-0.28249196069115895	1	1
RAI14	0.01667892582619638	0.5892098493275877	11	0	0.2821171036461314	1	1
WDR19	0.040067734347940566	1	8	0	-0.2781249673026877	1	1
EPS8	0.007968807257221452	1	10	0	-0.2771357532421105	1	1
DDR1	0.010133510714178012	1	6	0	0.2766916792948182	1	1
ALG6	0.027179479051824478	0.11508248117150421	4	0	0.2766217774918316	1	1
EPB41	0.0010650728879627	0.20098550647925903	9	0	0.2709731464678638	1	1
SMARCA2	0.0320475907290586	1	11	0	-0.2701235258376603	1	1
CENPC	0.023857762713935127	0.10382557542013099	5	0	-0.26847059304154525	1	1
CHIC2	0.0022848131173202587	0.007000611129242416	8	1	0.2684222232086702	1	1
TBC1D15	0.033867239399645664	1	9	0	-0.26616944676660237	1	1
MED24	0.04674351692341716	1	13	0	0.2658499107320847	1	1
MTUS1	0.03707888568840429	1	12	0	-0.2655261002915515	1	1
FAM13B	0.017556242740558413	0.17672488389144525	9	0	0.26163480891761837	1	1
PLIN3	0.023857762713935127	1	6	0	0.261118420632773	1	1
MANBA	0.04792953130009423	0.0028022712713868113	5	1	0.2579113184546959	1	1
PECAM1	0.0011975056344274843	1	7	0	-0.25617236081184647	1	1
TRPS1	0.04430188158991712	1	6	0	-0.2499110363491187	1	1
MEIS2	0.0019147925175082778	0.06644312037556649	5	0	0.24858260538278446	1	1
SYTL4	0.033867239399645664	1	6	0	0.24724137562165371	1	1
PTPN6	0.009848557142290774	1	6	0	-0.24642102828961543	1	1
LTBP1	0.011048527333448554	0.07486533489681742	8	0	0.2430773335553365	1	1
INTS10	0.032645323169265474	1	9	0	0.24289253430296892	1	1
TTN	0.0032639544694174137	1	18	0	0.24032732173151852	1	1
GCC2	0.04260065567808806	0.7564990224094478	5	0	-0.23841721014166226	1	1
DYSF	0.0064743983765431085	1	15	0	0.22030715974263437	1	1
CCDC66	0.03707888568840429	0.3459492917608505	12	0	0.21961998666751917	1	1
MFF	0.0022621826159523804	0.20800075120827463	13	0	0.21466633950183156	1	1
ADGRE5	0.04319192188179976	1	9	0	-0.2084654172345699	1	1
SON	0.038143509826760104	0.058954908265235105	9	0	0.20480108845967815	1	1
N4BP1	0.027179479051824478	0.05865150089886584	4	0	-0.2006280360798995	1	1
LOC113265233	0.039709098446197105	1	15	0	0.1982467970146781	1	1
ADK	0.011891190649050308	1	10	0	0.19556464002476476	1	1
NUCB2	0.021604294238391848	1	4	0	0.19408519100569888	1	1
RIN2	0.032992467477736154	1	8	0	0.19386461840238392	1	1
MBD1	0.04674351692341716	1	23	0	-0.1936694826212285	1	1
ARHGEF6	0.03522439459590122	1	5	0	-0.19287563688944803	1	1
CPSF1	0.03853444286811422	1	16	0	-0.19107591314671776	1	1
C7	0.03935103770824443	0.032178273971134624	6	1	0.1885035552090105	1	1
TMEM150A	0.048648041713627514	1	7	0	-0.18378170862948345	1	1
SPTAN1	1.2085352294748823e-4	1	10	0	-0.17300969153821844	1	1
PLXNB2	0.020747605467062485	1	10	0	-0.17196877792110654	1	1
DST	0.0043031542166095515	0.0531123771350153	23	0	0.17043697495992008	1	1
MTFR1L	0.03602607607213017	1	8	0	0.1688698692701862	1	1
SEPSECS	8.898410857512896e-4	1	6	0	-0.16839016883979815	1	1
PANK4	0.03074576772336981	1	12	0	-0.16313737148745422	1	1
BRD2	0.0011522148577443859	1	11	0	-0.15689452290998124	1	1
TRAF7	0.032992467477736154	1	6	0	0.15601129524560706	1	1
PTCD3	0.030636002190733817	1	15	0	0.15461939519998816	1	1
ANK2	0.009221314544617538	1	8	0	-0.15222514756202055	1	1
DCAF11	0.038143509826760104	1	17	0	-0.14831089442213807	1	1
MBNL1	0.032916806064506095	1	14	0	0.14802158589466646	1	1
KMT5B	0.03940625982798166	1	13	0	0.1474007322531319	1	1
LOC113248518	0.011716312519698697	1	17	0	0.14494629958367045	1	1
TRAK1	0.047375306446867625	1	10	0	0.13721465052988882	1	1
AKAP13	0.01932577756554204	1	11	0	-0.13163528483951953	1	1
ITGA3	0.014444642249239333	1	3	0	0.12848917350820205	1	1
SLC6A6	0.006850723431488654	1	6	0	-0.1259637624871065	1	1
CREBBP	0.03930913092732968	1	4	0	-0.12251391129567034	1	1
