gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Adipose-Kidney_cortex)	pct_gene_expr	max_pct_tx_expr
FAXC	0.0028702829569011326	0.0024212405872232525	3	1	-0.8099026928944557	1	0.75
TBKBP1	3.725597333422284e-5	1	4	0	-0.8082227463350451	1	0.75
LACC1	0.01063636212758408	0.010028037619125723	6	1	-0.804957112186311	1	1
CD109	5.232052635971331e-4	1.2796415850729907e-5	4	1	-0.7985939546955412	1	0.75
LOC113248820	0.002428475908719927	0.005164820727844013	3	1	-0.7981735430850755	1	1
SCML2	0.035101806484815166	0.040761565948704725	3	1	-0.7964931208177252	1	1
PRLR	6.636598318316648e-6	2.1861669335954923e-5	3	1	-0.7934963652891263	1	1
DMGDH	7.061467582966504e-9	4.034688316534486e-7	8	1	0.7932044456152914	1	0.75
RALGPS2	0.01185937388994579	0.02122225146746316	3	1	0.7773396860397562	1	1
SLC26A4	0.005531564041164345	0.0010473191997943238	3	2	0.7758038053467576	1	1
EXTL3	0.0010453605971953372	2.4290499925656348e-4	3	1	-0.7733637445021707	1	1
AMPD3	0.033162720810807914	0	2	2	0.7709536484111679	1	1
HMCES	0.03540724738413331	0.009961981899754183	3	1	-0.7675739080169031	1	0.75
LOC113249328	3.0005790642895694e-7	1.187452213560233e-8	6	1	-0.7666343852634037	1	1
HIVEP3	3.265899944417905e-4	0.013030349259123731	4	1	0.7640808416099598	1	1
FES	5.707560200304336e-4	0.007774046188552583	6	1	-0.7578567706031527	1	1
ZNF620	7.448453507272333e-5	7.930792619379538e-5	6	1	-0.7540616859529298	1	1
BBOF1	0.02730333031107975	0.0030035671554686093	3	1	0.7509246651673984	1	0.75
SLC23A2	6.0014094677850404e-5	0.014881017365449951	4	1	-0.7459916025704912	1	1
ADCK1	0.00546225239083481	0.04504544107104976	4	1	0.7437001368174052	1	0.75
ABCC4	0.0028258285029816644	0.0033561507390212526	3	1	0.7414992684884192	1	1
LOC113247260	0.010040381107611957	0.13566432057344835	4	0	-0.7369587072611542	1	0.75
PRICKLE2	0.008126097292578875	4.5301852740859273e-4	3	2	-0.7362768454007407	1	1
CIDEA	1.8379147824834657e-4	1.677617251916461e-4	7	1	0.7357193387208012	1	0.75
GK	7.570066699716705e-8	1	7	0	0.7345361536945861	1	1
CRTC1	0.0346980965123131	0.13926623347426892	4	0	0.7292289903223456	1	1
HIVEP2	0.0012068508278246103	5.31443134121806e-4	5	1	-0.7282065027399123	1	1
TMEM218	2.2519863065711036e-7	1	6	0	-0.7262153081256271	1	1
CRLF3	9.232891039305042e-5	3.721717661084216e-4	5	1	-0.7257815986256902	1	0.75
CIART	0.0028258285029816644	0.02046147262276228	3	1	-0.7198550833062811	1	0.75
LOC113255096	0.0023539270599288206	1	4	0	-0.7189309146905738	1	1
MCTP2	7.924181646372781e-5	0.583402419322742	4	0	-0.7179749475969187	1	1
CCDC50	1.2304419023437144e-10	0	2	2	0.7175621821707994	1	1
ZNF286A	0.0019901791733798607	2.7366131795265945e-4	4	1	0.7172576327590737	1	1
PEAR1	0.015519302541375351	0.08253434107468662	7	0	-0.7161815188411771	1	0.75
FRAS1	3.981935002668174e-4	0.0013497486764477795	4	2	-0.7161487659883875	1	1
PAPSS2	2.6227311606936656e-4	0.014258184768310336	5	1	0.7034028093125184	1	0.75
ANPEP	0.00477287197004126	2.131381350988058e-4	3	1	-0.7018966560499104	1	1
MIGA1	0.0010939136312836406	2.2436328833140594e-4	3	2	-0.6955963541143426	1	1
LOC113244018	1.0207986920702279e-6	2.3075711604375298e-5	3	2	-0.6951293218288195	1	1
PRELID2	2.4527497417204704e-4	7.221283542617317e-5	6	1	-0.6935950606181698	1	1
NAT8	0.01447984618518861	0.0031420997005715944	3	1	-0.6895267840972196	1	1
CARM1	0.03577603980641969	0.02187677569049745	3	1	-0.688825253504155	1	1
CSGALNACT1	3.992161261167025e-6	1.2087640295971817e-7	3	2	-0.685768088931109	1	1
ETS2	0.01098398409890721	0.07477026875382743	4	0	-0.6798268941764957	1	1
CSNK1G1	0.022760972607480553	0.05952549959831609	4	0	0.6768351115915984	1	1
PDCD11	0.009116776865924539	0.05919811168139304	6	0	-0.672766032395786	1	1
CD274	0.015331049766350172	0.00700335961121736	5	1	-0.6722272153824036	1	1
SEC24C	4.989483556954146e-4	0.1113896895189467	8	0	-0.6665756611041332	1	1
ABLIM1	7.235047602041972e-7	1.0336403363472326e-7	4	2	0.6612779819637655	1	1
STX18	0.03456103195265705	0.017246055346559274	3	1	-0.6598353170691122	1	1
CUNH1orf167	0.033146255500176976	1	5	0	-0.6575621523988305	1	0.75
MAP2K7	0.00691916115505195	0	2	2	-0.6552560445733516	1	1
COL4A3	0.005681100733605732	0.0077079068958805525	5	1	0.6551121557817363	1	1
IVD	0.003388462787345078	0.02883225269598299	4	1	-0.6539081429962489	1	1
LOC113249382	1.7511324230113905e-4	9.449230284635582e-4	3	1	-0.6504715701250936	1	1
NAV2	0.021263140609663375	0	2	2	-0.6478169947102258	1	1
ARHGAP27	9.367926683548924e-4	0.00675827534747059	4	1	-0.6447274499205847	1	1
CDK19	0.014295832471208294	0	2	2	0.6436808320617597	1	1
CDC23	0.001203358360972599	0.027789152417035504	5	1	0.6433686221326612	1	1
LAMC2	0.009483023338122508	6.526136730169991e-4	4	1	-0.6421406680948536	1	1
ECI2	4.2483122750284135e-4	0.01430667794968097	7	1	0.6419707605501678	1	1
PDHX	2.782746378425135e-7	6.298291197782509e-7	5	1	-0.6403793071273143	1	1
KNG1	0.0045281832907727694	0.042963576089776044	7	1	0.6372055121994165	1	1
PSAP	4.1560629869946626e-15	0	2	2	-0.6371835013898428	1	1
LOC113265650	0.025670235028420283	0.0072215717588843134	3	1	0.6349600168183342	1	1
ABCB1	9.877316455394245e-6	0.007797557771691496	5	1	-0.632754631882551	1	1
CUNH8orf58	0.02038876865172945	1	5	0	-0.6297776716420188	0.75	0.75
MORC4	0.03094461349709019	0.010974741704080724	3	1	0.6295613509839231	1	1
TRAF5	0.04314071918080736	0.07750966168623195	3	0	-0.6284761986560434	1	1
ECHDC1	1.0061920490169422e-8	1	6	0	-0.6250343065794699	1	1
PTPRC	2.1858796531292915e-7	0.025636528978206688	5	1	0.6240422780729228	1	0.75
FHOD3	0.009168585130850712	0.06607682339187372	5	0	0.6239877305405604	1	1
DCLRE1C	2.2926540885606537e-7	1	4	0	-0.6235435041076335	1	1
LOC113244055	0.047562002739497664	0	2	2	0.6213780990311621	1	1
EIF1AD	0.028632862972962317	1	4	0	-0.6200022175054271	1	0.75
MOB3B	0.0014771215293848813	4.7077765099658565e-5	3	1	0.6193208015446877	1	1
LOC113265291	0.0241808201766992	0.038855889335392683	5	1	-0.6183978278837392	1	1
LOC113270541	0.03331750798138593	1	7	0	-0.6163254361051593	1	0.75
GSN	7.632281810026332e-20	7.891510108247335e-16	4	3	-0.6131656824789041	1	1
LOC113250068	0.015740233080472437	0.05236149317279811	3	0	-0.6093871504885932	1	1
ENTPD1	0.0012764442032627056	0.006151092261188333	4	1	-0.6069208574797378	1	1
BAG3	0.024020510366518328	0.09394406830947027	4	0	-0.6062307523035484	1	1
ZNF395	0.0042941694355321395	0.003742872918421864	3	1	-0.6040184403541812	1	1
MBTPS2	0.015597442187654019	0.031205195888825758	4	1	0.6027912082446739	1	1
LOC113245198	0.005175811544768398	1	4	0	0.6022862252907646	1	1
DDX50	0.032446614699621366	0.48932032506458323	6	0	-0.6004196466480775	1	1
KYNU	8.161934869234715e-5	0.7834480457457924	5	0	0.5993352445429735	1	0.75
FAM198A	0.015519302541375351	0.06318274058746512	4	0	-0.5964993180330008	1	1
ALDOB	3.126461017816451e-5	0.0026980550743688557	6	2	0.5949059268878945	1	1
CSF1R	0.00776365300364965	0.008229995384299246	7	1	-0.594788321833171	1	1
F13A1	0.04800921135218532	0	2	2	0.5942164871302044	1	0.75
DUSP26	0.004172836064307582	1	6	0	0.593803385626797	1	1
ACYP1	0.028423015696078156	0	2	2	-0.5920728382308421	1	1
HNRNPA2B1	5.3474458315008795e-9	2.1993699235904242e-6	6	2	-0.5907255671846584	1	1
TRMT44	0.040298464193210475	0.6422449331518075	4	0	0.5903393221264209	1	1
ACO2	0.022471901680146716	0.012695938336590199	7	1	-0.5876184705984909	1	1
CLIC5	1.9444887663450377e-7	1.0106682543917489e-6	3	2	0.5865766015519821	1	1
ZMIZ1	1.7511324230113905e-4	1	5	0	-0.5863671009341593	1	1
EEF1AKMT1	0.006980111027745877	0.008963041735029095	6	1	-0.5858490760718906	1	0.75
CRLS1	1.7822997921923848e-4	0.06912243627477592	3	0	-0.5857360490121788	1	1
SELENOI	0.00776365300364965	0	2	2	-0.5840611760144584	1	1
KLC4	0.0014619950104893897	0.07356448878259063	4	0	-0.5814004324570956	1	1
DCN	1.2831766492205796e-5	0	2	2	-0.5810092341853537	1	1
PALM	0.024020510366518328	0.00444957046987833	3	1	-0.5791434365446289	1	1
SYNE3	2.9010319438765277e-5	0.004917461327356712	6	1	-0.5779842405574526	1	1
STARD13	0.008730279034121744	0.010685140148925156	5	1	-0.5764450086533595	1	1
PPT2	0.020907958387119438	0.42405590482540517	8	0	-0.5763418631958643	1	1
LRRC66_SGCB	1.8977611000379292e-4	3.2314659026673066e-5	3	2	-0.5753503990050793	1	1
TSEN34	0.03875651958222853	0.721032586883694	3	0	0.5749586326223336	1	1
ARHGAP17	0.009995885946664593	0.019449795219081613	9	1	-0.5747636702015546	1	0.75
CSTF3	0.002917503567252767	0.007317523694228275	6	2	-0.5742982568963505	1	1
CD44	0.006617649363691487	6.873932949760799e-4	4	1	0.5735022814162087	1	1
FAM234B	0.03806748634101485	0.0034212170027041497	4	1	-0.5712129270970301	1	1
MAN2C1	0.0380854195799712	0.04014415145541871	10	1	-0.5701483984449862	1	1
SCYL2	0.006946176147424603	0.004689035139116784	4	1	0.5682950049444588	1	1
LAMA2	0.0010756636076152972	1.0191145988389605e-4	5	1	0.5674841161937276	1	1
POU2F1	0.009984787928093415	0.017527587045093627	3	1	0.5668896350283888	1	1
GOLGA2	3.7677396237024454e-4	1.4276060579482701e-5	3	1	-0.5622490205043976	1	1
CRCP	0.032446614699621366	1	9	0	-0.5618427876774179	1	1
HTD2_RPP14	0.033162720810807914	0.32747461702060804	7	0	-0.5609611976328007	1	1
HIPK2	0.0033432895924969384	0.0032417618657667314	4	2	0.5608732773448938	1	1
LPIN1	0.009575771780114309	1	6	0	0.5605639248807187	1	1
SENP5	9.818381913017691e-8	3.0770845957983025e-5	7	2	-0.5600546748568633	1	1
ARHGEF28	6.604176530796637e-5	1.9195380586906027e-5	3	2	0.5599035008410328	1	1
COL6A3	0.008400979164665248	0.006033073518458991	7	1	-0.5578461027695913	1	1
CNOT10	0.04324791363149852	1	5	0	-0.5550520609600668	1	1
KIF13A	3.04133286751538e-4	0.02691248130002031	6	1	0.5546332154019062	1	1
LRRC8D	0.0028258285029816644	7.756517023617104e-4	3	2	0.5535262281707714	1	1
FAM129A	0.040636319448697	0	2	2	0.5532515365141004	1	1
TMEM161B	0.01907976135226495	0.2181566911616279	4	0	0.5530624746729682	1	1
EP400	0.0018156120541668248	1	8	0	-0.5522014136984459	1	1
RNF44	0.043344625504952786	0.026100346398399164	3	1	0.5504762895708892	1	1
SLC2A11	0.0372147686797384	1	5	0	0.5493622214264594	1	1
DCAF7	0.014327472135966603	0	2	2	0.5483920191064583	1	1
C2CD3	0.016263038755164445	0.05352178804322465	3	0	-0.5478195852936916	1	1
RCAN1	0.009984787928093415	0	2	2	0.5469949472075857	1	1
MYL9	6.13995801979325e-6	8.068986771559703e-8	3	2	0.5445386595756923	1	1
BCL6	5.183273606622215e-6	0.2799933337048287	6	0	-0.5440101562040481	1	1
RAP2C	0.0035104003905936957	1.7886655832970082e-4	3	2	-0.54400563936069	1	1
TLK2	0.027726280076200323	0.004991969039460577	3	1	0.54290538773303	1	1
CAMKK2	0.02432999304777452	0.9168393979985157	9	0	-0.5414174479160345	1	1
PDZK1	0.024710654711147577	0.03463891293754958	7	1	0.5404173495596646	1	1
LMF2	0.0034162917556128684	0.6979636602501939	11	0	-0.5399056770475001	1	1
STX10	0.046097830303154334	0.009575889947028871	4	1	0.5395808526348932	1	1
GPX8	0.03450292867503708	0.009418458443489078	4	1	-0.5388284013543373	1	1
MAN1A1	0.0014879447274082109	7.119095284113236e-4	3	2	-0.5379391877550733	1	1
HPD	7.518322553569169e-5	0.0730512360559015	7	0	-0.5379126120754235	1	0.75
KIAA0513	0.024326925916273733	0.03141849654933076	4	1	0.5371569299134686	1	1
LOC113263287	0.027159468251481793	0.289586703263227	5	0	0.5365517490720701	1	1
TBC1D15	0.008506622359421996	1	9	0	-0.5362463989141056	1	1
APP	7.357198843552059e-25	6.262085280673056e-13	5	3	0.5361561366415314	1	1
ADAM22	0.04428299538694828	1	6	0	0.5357864344779105	1	1
JADE2	0.0010431272841622612	0.05629914425159493	8	0	-0.5347289295849004	1	1
POLL	4.790023827868891e-4	0.06864381655270242	5	0	-0.5345111014440788	1	1
DCUN1D3	0.04332782151907022	0.3734976206915383	6	0	0.5320986980084582	1	0.75
SOCS2	0.016945843378433398	0	2	2	0.53027935403904	1	1
KIAA1217	0.0053638282675446125	0.8613267703027454	4	0	0.529894489333763	1	1
ACSL4	3.691396784981695e-4	0.02909922245054099	7	1	-0.5284687333241981	1	1
NF2	0.041096176763771204	0.3985204825557293	7	0	-0.5280088380339836	1	1
TRIP10	0.004090783655848749	0.0519394964292559	6	0	-0.5277314642036189	1	1
EIF4A2	1.4265489968560258e-8	6.387163648811464e-9	5	2	-0.5268706782204635	1	1
CIDEC	0.008155221961819776	0.24664393338964738	6	0	0.5266963073499709	1	0.75
NRP2	0.02608446320678175	0.08224550496055305	4	0	-0.526252257859651	1	1
PANK1	0.019025586392895935	0.0014392522785036535	4	1	-0.5250912061161197	1	1
LOC113252152	0.0030569448572277803	1	10	0	0.5241604878642697	1	1
TMEM106C	0.01203639466054266	0.0010110471369548933	3	2	-0.5227404828466525	1	1
PRKAB2	4.248466784117487e-7	0.12060409559756899	7	0	-0.521908525223392	1	1
ADD3	1.6632589256104368e-12	4.756762170572204e-12	4	3	-0.5206292775332813	1	1
IARS	0.03333543811925378	0.12820282606688121	6	0	-0.520023660741255	1	1
LOC113244609_ANXA4	0.032817501543062046	0.5544611465921921	3	0	-0.5194408227764586	1	1
FITM2	1.866222461662898e-5	3.1386649319460435e-6	5	1	-0.5185906407134542	1	1
STARD8	0.008506622359421996	0.01246168614005305	3	2	0.5172018074229261	1	1
EPB41	7.570066699716705e-8	1.2827336916050678e-7	7	2	-0.5169971395066911	1	1
IL1R1	0.001133456851702595	4.6531762574456125e-6	5	1	0.5161792896190259	1	1
LOC113268362	0.0070877592060443785	1	8	0	-0.5158278823670222	1	0.75
ENPEP	8.592129811801713e-4	0.2364992194976913	7	0	-0.5124447463269937	1	1
MTMR2	0.04265382040230474	0.023166369552308594	5	1	-0.5103545731441301	1	1
PRKAR2B	0.020157218775167407	0.026413005582643017	3	2	-0.5100733335209062	1	1
SPAG9	4.82904312085475e-4	0.01218362749450459	5	1	0.5093632017692256	1	1
CDK14	0.017594208355523357	1	7	0	-0.5089612635120548	1	1
NREP	0.02859618891956412	0.02994645937587888	4	1	0.5088923007620717	1	1
DAB2	1.2304419023437144e-10	3.9464469411858485e-10	7	2	-0.5084939390368236	1	1
DPM1	0.0031628664834095553	0.0010425760683894427	3	1	-0.5064247204599578	1	1
ATP5MC1	2.9225446348125374e-6	0	2	2	0.5048393147101625	1	1
DVL1	0.005531564041164345	0.05474034882529596	5	0	0.504641856618859	1	1
KHDC4	0.014401297864347734	0.1020327500204661	8	0	-0.5046275453825703	1	1
GPKOW	0.021375241261623098	0.09765650264503414	3	0	-0.5038175828024216	1	1
PROSER3	0.006979453906510812	1	6	0	-0.5031121982014732	1	0.75
MTG1	0.013952812568077655	0.041277247602865476	7	1	-0.5024265930221559	1	1
SH3D19	7.180574307268075e-7	7.855743975478275e-6	7	2	0.5022680988233982	1	1
ZNF782	0.033146255500176976	0.711482437423253	4	0	0.500638211345685	1	1
ZBTB21	0.02791633070042341	0.43502272734383757	4	0	-0.5002978959062697	1	1
PRMT9	0.009984787928093415	0.00947235278982762	6	2	0.499225726762651	1	1
IRF2BPL	0.03977630589983869	0	2	2	0.4992248022730419	1	1
RNF125	8.973812212269742e-4	0.5556409194263515	11	0	-0.49787524914466985	1	0.75
ARHGEF3	0.03995096434540184	0.21465666120343024	9	0	-0.49634260369378924	1	1
KIF6	0.016931910461845456	0.1965888679574003	8	0	0.49481906648941854	1	1
TOPBP1	0.0035164706869761715	0.2331787358725207	6	0	-0.49454639871007133	1	1
TBC1D23	6.318641415658986e-4	0.042435737075204254	6	1	-0.4939358004139287	1	1
CLCN4	0.010693827874531131	1	5	0	0.4917595683544962	1	1
ATG9A	0.019025586392895935	0.6471469811772691	14	0	-0.4905927459359472	1	1
SPOPL	0.018150016290798147	0	2	2	0.489851550338263	1	1
PPP1R13B	0.022471901680146716	0.8215696959252685	3	0	-0.48788748079151634	1	1
ZNF410	5.896850303689326e-4	0.01379402648672812	8	1	0.48742908405184115	1	1
CUNH11orf54	0.03578439016047021	1.7088382735166547e-5	12	1	-0.4870169941182965	1	1
MGAT1	0.0033327506974193846	0	2	2	-0.4846081791630263	1	1
RC3H2	0.011857471033085367	0.013963980965433567	3	1	-0.48312740763040846	1	1
FAR1	0.0024013664712365904	0.02506434938411869	8	1	0.4830739240020525	1	1
LOC113248649	0.022471901680146716	0.03920460901519073	3	1	-0.48098539272718194	1	1
PTK2	0.0049088021659914405	0.03031681842441541	6	2	-0.47959368393676294	1	1
POLR2B	0.016600190652804273	0.1448573099622708	7	0	0.4787740271737315	1	1
ZHX1	9.272628929808293e-10	2.6669679734701596e-11	5	1	-0.4783372725472003	1	1
ASB8	0.0018371700420886205	0.13923993832055284	6	0	-0.4775053901115709	1	1
CFB	0.016842303747662307	1	11	0	-0.47649348806001623	1	0.75
LOC113244591	0.0030569448572277803	4.418614405240335e-4	4	2	0.4752820771583127	1	1
MAP7	0.01156930110847172	0.7650609259360996	5	0	-0.4747924436115967	1	1
MORF4L1	0.020926105417460334	0.7691502934886242	4	0	-0.4739693966587107	1	1
P4HA2	0.02214562350523202	1	9	0	0.47372830665361987	1	1
MAZ	0.03393475130312359	0.032138959018117245	3	1	-0.4728364879247607	1	1
VPS13C	0.032206373531310575	0.01643682235912691	4	1	-0.4715764259714283	1	1
YTHDF3	0.003677368328908003	1.8216364818015687e-4	7	1	-0.4715297671974364	1	1
MYO6	9.120465975276977e-5	0.004161300656539698	9	1	0.470873976425933	1	1
EIF5B	0.002501089972021202	0.002141718688528975	4	2	0.47032864716701767	1	1
DDX27	0.04160044504714398	1	4	0	-0.4701308862533295	1	1
EIF5A2	0.0027611289318100673	0.023468951144162507	3	1	-0.46848761279628937	1	1
RTN4	5.858981777802796e-5	1.9524706749551894e-7	6	1	-0.4666321427271249	1	1
PTPRU	0.02038876865172945	0.011049379138239283	3	1	-0.4664194223047716	1	1
CD99	1.0613282760409833e-5	1.6434339261390113e-7	3	2	0.46623958711313784	1	1
APC	0.014046148385121427	0.6772392304568061	6	0	0.46587295084849933	1	1
SP3	0.024641533247990618	0.307506236688916	6	0	-0.4649863039036869	1	1
LOC113249004	0.041303729120488894	1	6	0	-0.4632100663171877	1	1
TMEM138	7.695840014053928e-4	0.31129326942933155	7	0	-0.46320518184352644	1	1
ANK3	0.009340489682267339	1	5	0	-0.4631869449764054	1	1
PURA	3.4942047485573875e-5	1.0099227946731089e-4	7	2	-0.46280093431342484	1	1
SLK	1.664770097201299e-4	1.065050829579379e-4	3	2	0.462285134961687	1	1
SLC2A9	0.003015368154912299	0.4202168047771014	10	0	-0.4620134269027301	1	1
ZMYM4	4.4049284438468e-6	1.2901188307118922e-7	6	1	-0.4616428252733702	1	1
DNAJC30	0.0019217956881507124	0.0747576819555834	3	0	-0.4609835458477321	1	1
SORBS1	1.831839976903823e-12	2.904431130211795e-4	11	2	-0.4605453436334962	1	1
PFKFB2	0.02432999304777452	1	8	0	0.45992203033161716	1	1
IDO2	0.02938674708405055	0.01697318485316436	3	1	-0.45861984073637885	1	1
NOL12	0.047562002739497664	1	8	0	-0.4576629062138719	1	1
RUFY3	4.176206108169093e-4	0.0015943426911795475	5	1	-0.45634148652944007	1	1
NUP214	0.0021114325488275597	6.15341405500688e-5	4	1	0.45628519420659996	1	1
FANCL	0.012304438233839475	0.12922232421971355	6	0	0.4559570933735888	1	1
TANC2	7.037977290598358e-7	0.10563153733015812	8	0	0.4542925441234551	1	1
MLF1	8.856465984419421e-4	0.12170571669388848	5	0	-0.452820757426849	1	1
UBXN8	0.022471901680146716	0.17028658014494474	4	0	0.4521183258572286	1	1
DOCK9	2.9010319438765277e-5	0.025917890409647634	6	1	-0.4520842868381968	1	1
MAP4K3	2.450126755156672e-8	0.10091910813183998	4	0	-0.45110172923730224	1	1
SLC39A14	0.005477485471962027	1	7	0	-0.4474393173604418	1	1
SARAF	7.743516941483667e-14	1.529415900449836e-13	5	2	-0.4452721238235833	1	1
LPL	0.022571664886865784	0.158001720859835	4	0	0.4451337459645322	1	1
BCAR3	0.001850054038509887	0.49631640069642485	4	0	0.4446620546926653	1	1
SCMH1	0.011812838681130757	0.026004517358163462	5	1	-0.44427063955652363	1	1
RNF152	0.005307960892795231	3.2437644673047604e-4	5	1	-0.44360849610873937	1	1
SYTL2	2.591904336385203e-8	8.948121393763229e-6	5	2	-0.4426549519011526	1	1
COL21A1	0.03333543811925378	0.05398895517191497	5	0	0.44120795775130317	1	1
RNFT1	2.567500604121159e-7	3.082336046983975e-5	6	1	-0.44114890497148374	1	1
LOC113261568	0.042917611189696524	0.1064327654752293	7	0	-0.44009028779523296	1	1
AHCYL2	0.00670647526378399	0.5265857204909581	5	0	0.438420361903878	1	1
KLHL13	0.032446614699621366	0.38037391492104305	6	0	-0.4373534977772417	1	1
NOSTRIN	8.93504065866071e-7	1.4061765872439646e-6	12	1	-0.437326335265164	1	1
CCDC12	0.037200016352494224	0.4008940132184486	4	0	-0.43645894759935494	1	1
DAPK2	0.03291042176860699	1	5	0	-0.43576369787111685	1	1
EHBP1	1.0229890151642436e-6	0.037004360820690224	9	1	-0.43530220908682926	1	1
SLC25A44	0.028570562085016616	0.5199324676218241	5	0	0.43219695641771916	1	1
SRGAP2	0.04468383362125433	1	11	0	0.431852775548291	1	1
FHL1	1.447879595044236e-12	2.6402943264170343e-4	17	1	-0.43004445755647835	1	1
TPM1	3.4942047485573875e-5	0.012310622134457138	9	2	0.42922155832244524	1	1
KCNJ15	0.00691916115505195	0.029116156840628456	4	1	0.42792263665745356	1	1
PHF20L1	1.214125179262301e-7	1.0108382663172033e-7	5	2	-0.42779830500300275	1	1
ZNF236	0.0346980965123131	0.9561230325904535	5	0	0.42761488738185094	1	1
CENPU	0.042813039018733	1	6	0	0.4275301985500676	1	1
EI24	0.02950890754380812	0.07447757654757003	4	0	-0.42720371982579913	1	1
GPAM	6.086803782804022e-5	1	13	0	-0.4265526122315675	1	1
DNAJB9	0.029826781347105664	1	4	0	-0.42577542469861085	1	1
SEMA4G	0.042617549813805215	1	9	0	0.42563436417389966	1	0.75
TEAD1	0.020028726321710752	1	5	0	-0.4243638014908056	1	1
TMEM25	0.009061555018987819	1	15	0	-0.4237619352531061	1	0.75
RPS24	5.724865151685355e-6	0	2	2	-0.42131432367294586	1	1
CREB3L4	0.03317866025423874	1	4	0	0.4208648333859362	1	1
GAB1	5.6002757975670277e-5	0.09122003460907148	6	0	0.41999935901344787	1	1
OGFRL1	0.03806748634101485	0.014640885645064668	3	1	0.41987796309809106	1	1
LOC113249425	0.04481682026854535	0.17220933914806638	3	0	-0.4197042411349475	1	1
PCDH7	0.024020510366518328	0.0031284415446813122	3	1	0.4196701300135922	1	1
CIAPIN1	0.04170998045645455	1	4	0	0.4187748698372171	1	1
FAM45A	0.0016204349715183543	0.048016402774998204	8	1	-0.4184243193576571	1	1
PPM1B	0.00930869348681995	0.026392329113786223	3	1	0.4178592682260902	1	1
CUNH12orf10	0.03595219717809366	0.15338465889307173	6	0	-0.41743699108429194	1	1
PNPLA6	0.04481058626788355	1	14	0	-0.4160452018063407	1	0.75
WNK1	3.666779066371768e-7	5.49942985534969e-6	6	3	0.41538714759108575	1	1
TMEM260	0.007465747270169033	9.827805185498972e-4	4	1	-0.41507306310357134	1	1
PLIN2	1.0779033326782968e-9	5.415793502673144e-7	7	1	-0.4142268825397346	1	1
ZFP36L1	9.120465975276977e-5	6.25254477291703e-5	3	2	0.41325957122165236	1	1
PHKA2	0.022760972607480553	1	8	0	-0.41289191346880905	1	0.75
NAA16	0.012604492671566868	0.5540435371218776	8	0	-0.4126156927802626	1	0.75
PC	5.629705980219062e-4	0.03147147843778202	9	2	-0.4124342200443776	1	1
OSBPL6	0.03180586720702396	1	7	0	-0.4123351638891282	1	0.75
ARAP3	0.04257154534208398	1	9	0	-0.41122119813206665	1	1
ZNF529	0.021050064660559246	0.04285270698942015	8	1	0.4107094473030983	1	1
L2HGDH	0.03727963760384072	1	7	0	-0.41060820494559414	1	1
METTL14	0.029990951521874625	0.36343230787768427	8	0	-0.4104652769996733	1	1
BCL2L11	0.002882851263425914	0.01109647603526836	12	1	-0.41031980408785873	1	1
UBP1	0.0372147686797384	0.007643462464163233	4	1	-0.4098347808449362	1	1
