gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Spleen-Kidney_cortex)	pct_gene_expr	max_pct_tx_expr
TMC6	0.029780965207455046	0.3502330251206553	6	0	-0.5830997362703755	1	1
URB2	0.01966857476586713	0.013142406462340444	3	1	0.5827818022230957	1	1
PHACTR1	0.001096375758252253	0.013466522682336538	6	1	0.5795054363455711	1	1
ABLIM1	2.3834270609370686e-4	2.0913944867104945e-5	4	2	-0.5792121471249411	1	1
VEPH1	2.258654900651381e-6	0.024681706129394146	8	1	0.5759093665364174	1	1
DAPK2	0.0012357458291040206	0.40908184424553495	6	0	-0.5730369050683597	1	1
EDN3	0.004331150519192253	0.13002081540824165	3	0	0.5722347834536465	1	1
TMEM131L	0.003558930341327937	0.25551833305187877	10	0	-0.568751133692757	1	1
PLD3	8.166634644940441e-6	7.203605227241992e-7	4	2	0.5657267591256012	1	1
KCNAB1	0.03327825194167722	0.06903938076990389	3	0	0.5643708317459353	1	1
DNAJB9	0.006345207072679581	0.1380715076262214	4	0	-0.5521849261058525	1	1
NFATC4	0.03052571985329986	0.3269173336680575	5	0	0.5499699391779558	1	1
HIVEP3	0.00543073281097944	1	4	0	0.5481101885711852	1	1
KCNK5	0.028695067758162926	0.7124904774053736	4	0	-0.5430056920837468	1	1
APP	2.511600221955104e-9	9.705782991497243e-10	7	2	0.5403173339146862	1	1
CUNH11orf54	0.0018982932832426885	1	12	0	-0.5373528787135262	1	1
PTK2	0.03351481478826774	0.03059999459415186	6	1	-0.5338178869295271	1	1
SUPT7L	0.006019369421956497	0.0015029741622179715	4	1	-0.5327826863913858	1	1
MME	0.013524253030693986	0.013790561173038616	7	1	-0.5266802388720236	1	1
INPP5D	0.0453901065913803	0	2	2	0.5212919188745265	1	1
CSGALNACT1	0.02186877745041794	0	2	2	0.5195413895118426	1	1
EPB41	2.9662843149024727e-10	4.1716735873593014e-7	7	1	-0.516686562789293	1	1
BRD3	0.04672419451683748	0	2	2	0.511018330888322	1	1
PDHX	0.004346789960426024	0.0041760280795530656	6	1	-0.5089795430977231	1	1
PTK2B	0.0017626584953180217	0.8370727123611993	5	0	-0.5073615874802809	1	1
TRNT1	0.00522547192218045	0.45639785190549437	5	0	-0.507146057896381	1	1
WWC1	0.001092617751588287	0.529847692672359	5	0	0.5056401601555133	1	1
BIN2	0.041641626536401175	1	7	0	0.5036523379940109	1	0.5
MGAT1	0.009325862443927878	0.028125142116005336	5	1	-0.502380672337537	1	1
CYTIP	0.03391627895407602	1	9	0	0.5016639634454243	1	0.75
GABPB2	0.012880954707672683	0.001368437268519267	4	1	0.5001776391753244	1	1
FHL1	0.0026284401074004853	0.9739528339713323	14	0	0.49968023732298983	1	1
AACS	0.001003039909912963	0.03428611616509861	5	1	-0.49848068436156284	1	1
VPS13C	3.374207783713356e-4	4.901740216266785e-5	4	1	-0.49839236885276883	1	1
SEMA3B	0.03854391372967967	0.25660738221826973	6	0	0.49520810251629505	1	1
SLC44A2	0.01793440088528952	0.0023921949809250858	5	1	0.49287025423689096	1	1
ZNF382	0.009325862443927878	1	7	0	0.49176626459958156	1	1
RPS24	3.4383591158086103e-6	5.95723477977483e-7	3	2	-0.48853025543564627	1	1
NCK1	4.895468637034625e-4	8.398813461431779e-4	8	1	-0.4869340609278741	1	1
LOC113249536	0.003977183997503801	3.7752723007239034e-4	3	2	-0.4830448392243202	1	1
YTHDF3	4.062624265386082e-6	1	8	0	-0.48121885765443784	1	1
FGFR3	0.015451826705022705	1	5	0	-0.4797305340853878	1	1
GLS	0.012880954707672683	0.0022675411988442814	3	1	-0.4791481732779851	1	1
LMTK2	0.031386920507396734	0.004157898982771782	3	2	-0.4765768869817447	1	1
FNIP2	0.0018588014091027792	9.700596454812928e-5	3	2	-0.4761283991100894	1	1
COL4A3	0.007233307034129162	0.037090118542087526	5	1	0.47414222895062413	1	1
LAMB3	9.336887091717731e-4	1	7	0	0.47391548400697314	1	1
TMEM41A	0.04221597460113189	1	11	0	0.472346953528023	1	1
SLC2A9	5.127261487762526e-4	0.02986473533032392	11	1	-0.4669032649632873	1	1
DMAP1	0.0029993995934546294	0.04144831085028709	3	1	-0.46603517923910187	1	1
ANK2	0.0012767591504849192	0.037413663419561934	8	1	-0.46480855615005734	1	1
PSPH	0.0297887253526985	1	7	0	0.4642157036562422	1	1
FAM149A	0.0015943486807907853	0.1786648479559294	4	0	-0.4582507684322616	1	1
CDK14	0.019883762767474222	0.3386142596457089	7	0	-0.45576865211681455	1	1
ANKRD12	0.017741122681677705	0.04660011206935282	4	1	-0.45441186895513086	1	1
TMTC3	0.04114814862059667	1	5	0	-0.4512423099121477	1	1
BABAM2	7.559913288122962e-4	1.0185964767682058e-4	4	1	-0.449282083217196	1	1
SLK	9.567321546690386e-4	2.61803046371547e-4	3	2	-0.4479876493697845	1	1
MRPS10	0.04786348963986968	0.3110549520964887	5	0	-0.4470651156163603	1	1
CHST3	0.018509642652364832	0.046857484591155685	4	1	-0.4468491258920856	1	1
EXOC1	1.3445948627695072e-4	0.0022301166099220455	7	1	0.4427571398568273	1	1
LAMB1	0.028168788565251353	0.2814337715741194	10	0	0.44257823728950885	1	0.75
MAT2B	1.1890077603555503e-4	2.4380819584421835e-4	3	2	0.44041746475755195	1	1
MPZL2	2.154175915493703e-4	1	6	0	-0.43995446806994254	1	1
LAMA2	0.009422448982459732	0.021523172500782065	6	1	0.43820864248696695	1	1
PLEKHH3	0.040215862418139334	0.13595485342452	5	0	-0.43524618426003714	1	1
LOC113245198	0.01947686057488887	1	4	0	0.4336565907871572	1	1
SCFD1	0.028695067758162926	1	10	0	-0.4334169171000867	1	1
TBC1D23	0.0023369710030708467	0.17820898321216763	8	0	-0.4302040316287289	1	1
ATP5MC1	2.6274695846957395e-4	0	2	2	0.43005730730350733	1	1
OSBPL6	0.021513868752412665	1	7	0	-0.4294348649655592	1	1
AKTIP	0.006905271070824264	0.05932592833407319	6	0	0.4278379408908026	1	1
RXRB	0.015166068789857282	0.010758825844339901	5	1	0.42772433302824064	1	1
VMP1	0.042163335360782525	0.25918890755291285	6	0	0.42725240213769855	1	1
WNK1	3.964123021449976e-4	1.3003827691120343e-4	5	1	-0.42650220344972745	1	1
SLC25A37	0.04786348963986968	1	7	0	0.42628753342061443	1	1
LIMCH1	8.693393972945454e-7	0.00120072953539248	6	1	0.4252575749993518	1	1
CD47	0.014106347028840605	0.08440522258881956	6	0	-0.42139069244218386	1	1
DAB2	1.2872905819171803e-16	4.657801688715994e-10	7	3	-0.41987657468684003	1	1
GK	0.041641626536401175	0.002122532831893058	7	1	-0.4181068437320169	1	1
MAN1A1	0.02971615532803727	0.07114051608529935	3	0	-0.41159871669290193	1	1
STX3	0.042163335360782525	1	4	0	-0.41062406209015817	1	1
MAP7	0.023861764172366212	1	7	0	-0.41023192784007456	1	0.75
NUDT9	0.0044697250305807176	0.05197607297897319	4	0	-0.4096526942200798	1	1
FMO2	5.4762975003279985e-5	0.027008699212064915	6	1	0.4058422471357106	1	1
ATP7A	0.0424789888012237	0.9389174155261589	3	0	0.4032660353863195	1	1
MANEA	1.107329888214041e-4	0.07213006502569522	9	0	0.40154548014621005	1	1
EXTL2	0.00333942408839262	1	5	0	0.4014792357104147	1	1
SPAG9	0.0020332201034982088	0.004226080634067523	6	1	-0.4012450132243657	1	1
SARAF	8.50494374738939e-9	6.585094756990145e-11	5	2	-0.39780510061793795	1	1
SIRT5	0.002291651210601697	0.5210737647563664	7	0	-0.39677402821281815	1	1
PRKAB2	0.01874696953124635	1	10	0	-0.3937762404188906	1	1
UTP20	0.008207077658594764	5.044045278194891e-4	3	1	-0.3916471914459223	1	1
ECI2	0.02925479731851734	0.015230973310120143	6	1	0.39118293645910374	1	1
AP4B1	0.029236075933337487	1	8	0	-0.3897176757026627	1	1
FAM214A	0.011481049983309973	0.17292380002259275	7	0	0.3895014653157662	1	1
MYO9A	1.4977184730961953e-12	3.9450465158863245e-9	6	2	-0.38910567123118356	1	1
IPO9	0.036697588827956984	0.24876426189992637	5	0	-0.38842467409120846	1	1
TANK	0.029780965207455046	0.1304540329322503	10	0	-0.38735480782485393	1	1
MARVELD2	0.04498748656627102	0.30102788520942686	5	0	-0.38110692949176084	1	1
SPTAN1	4.506318327988352e-8	1	8	0	-0.3799613451269426	1	1
BCL2L11	0.039202848726427424	0.04453363715450774	11	1	-0.3777576033068136	1	1
CEP250	0.008488719646152647	0.6415254179411546	6	0	0.3767024287402667	1	1
SORBS1	2.9994868619212766e-4	0.05073803070423464	8	0	0.37427518617222866	1	1
NOX4	0.04786348963986968	0.05542044088687427	8	0	-0.3720972669534222	1	1
DGKA	0.03090310884551014	0.33488284456209527	12	0	-0.3720295291365091	1	1
SLC25A25	0.02093325635487316	0.04911601238348035	11	1	0.370645675866643	1	1
LOC113260099	0.04114814862059667	0.0930104865649017	4	0	0.36884099102594214	1	1
PHF20L1	3.9157298158580203e-4	0.0010579950387370166	5	2	-0.36762155896808807	1	1
ANKRD28	0.0029294469027229338	0.22624589591334535	8	0	-0.36723906817265956	1	1
USP40	0.026386604206363736	1	8	0	-0.366067657932288	1	1
RFWD3	0.0029294469027229338	0.001725130716919958	5	1	-0.3649241144183639	1	1
NFS1	0.04981408676000443	0.19364009470066534	6	0	-0.36480456051071664	1	1
MEF2A	0.002406204605244404	0.001689536908182417	8	1	-0.3631931322779909	1	1
NPL	0.0029791952718279994	7.044199361912707e-4	5	1	-0.3615472459255814	1	1
FARP2	3.574680444468553e-4	1	5	0	-0.36118014097262696	1	1
STAG2	0.014572218843667169	0.059551445019441665	9	0	-0.3607616759076782	1	1
LAMA4	0.004023723603680466	0.7947279945769093	9	0	0.3598614603784228	1	1
XYLB	0.03825324603804512	1	3	0	-0.3594601816090365	1	1
CHTF8	0.03441585038447681	1	8	0	-0.3588597063032239	1	1
CD44	0.002574661372113614	0.6075996165862794	5	0	-0.35559656201034356	1	1
ACAD9	0.02186877745041794	0.14454612767318406	5	0	-0.35517368937960975	1	1
B3GALNT1	9.336887091717731e-4	1	10	0	-0.3542561899217242	1	0.75
BFAR	0.03052571985329986	1	8	0	-0.35234491102206644	1	1
WWOX	4.5471182650783196e-4	0.4705330230637608	6	0	0.3523328686596188	1	1
MLF1	0.026041837540492555	1	5	0	0.35107863314074333	1	1
AP1S2	0.042247725222377644	0.06335127384362618	4	0	0.35060105049659074	1	1
PRPF3	0.04515904752192312	1	11	0	0.3501709802019328	1	1
PML	0.026153204952254212	0.0045486353341747604	9	1	-0.3486077661804045	1	1
VIPAS39	0.01673415836373853	1	11	0	0.3484640984380829	1	1
FBXL3	0.03166149260454282	0.0034369866412228877	3	1	-0.34443042353320974	1	1
PSEN1	1.4511997720204513e-5	1	5	0	-0.34003206983727957	1	1
CELF1	0.033975811725176275	1	12	0	0.33949280802911236	1	1
TMEM106A	0.01641009252421124	1	6	0	-0.3389134235552444	1	1
LOC113243704	6.647207654003206e-4	0	2	2	0.3376535664408695	1	1
ABCG2	0.04652819326757722	1	10	0	0.33751171687152404	1	1
MAPK10	0.00333942408839262	1	10	0	0.3352107720244266	1	1
RUSC2	4.928775925650101e-5	1	11	0	-0.3307367917019941	1	1
ENTPD1	0.04863383471079971	1	4	0	-0.3302100047834635	1	1
TTPAL	1.4051883244776275e-4	0.12064788681461275	8	0	0.3289323188947907	1	1
PTPRA	0.04672419451683748	0.7854352755883379	5	0	0.32547786086234204	1	1
SLMAP	1.4511997720204513e-5	0.03858773271832556	11	1	0.32495329965291253	1	1
ZMYM2	6.519943606874776e-6	0.06596021930368828	10	0	-0.32306427519420017	1	1
CLSTN1	0.029918349107592706	0.05418028078918381	7	0	-0.32213404167774434	1	1
SORBS2	8.471005887834954e-5	6.538590882573392e-4	9	1	0.3220895342479135	1	1
SPAG1	0.0020862034496908475	1	4	0	-0.32008589305367574	1	1
CPSF1	0.03412075452425997	1	14	0	-0.31602252608006653	1	1
CSTF1	0.017741122681677705	1	6	0	0.31344308851071634	1	1
CUBN	0.012828029221502644	0	2	2	-0.3113667614132639	1	1
NISCH	0.009710557108730108	0.010461027192595132	6	1	-0.3112124473560929	1	1
DDX41	0.014106347028840605	1	9	0	0.30266686284393884	1	1
ANK3	0.046100919738205404	0.19517767570905434	6	0	-0.3013510452244407	1	1
AMOTL2	0.006019369421956497	0.18005672238338274	4	0	-0.300883930440023	1	1
MBIP	7.559913288122962e-4	0.3777173529689476	9	0	-0.3002478729656889	1	1
PAFAH2	0.014150585000467099	1	12	0	0.2992899097135427	1	1
MECR	0.009710557108730108	0.5561075812412103	4	0	0.29618291690241727	1	1
PCNP	0.01764478767725395	1	8	0	0.2935332729553361	1	1
PRPF39	0.02095099112696558	1	15	0	-0.29259280414126354	1	1
ELF1	7.191510603240244e-7	1	7	0	0.2921307112721735	1	1
GULP1	0.015173396285791924	1	17	0	-0.28976243811795366	1	1
EPB41L2	5.406804240288858e-4	0.19606030777599767	9	0	-0.28830158156511504	1	1
LOC113258946	0.01555925508250041	1	8	0	0.2881885100080372	1	1
ANKRD17	0.009325862443927878	0.059817047837799925	7	0	-0.28652779004266427	1	1
TACC1	0.00543073281097944	0.4234854144740309	11	0	0.2860262678976031	1	1
ZFYVE16	0.008755551679161738	0.046595163007243534	4	1	-0.2854414538024138	1	1
NOC2L	8.608305813995768e-4	0.013296524989454817	8	1	-0.28420150285323204	1	1
CALD1	0.01065331643212334	0.6935659525867822	11	0	-0.2833325706512827	1	1
SLC4A7	0.008207077658594764	0.033234421245585705	3	1	-0.28184135619396566	1	1
KIF3A	0.04107955174588932	1	3	0	0.2815504371860904	1	1
COL4A4	0.010036074601412648	1	7	0	0.28150200743121667	1	1
GORASP1	0.026041837540492555	0.05384777490124248	8	0	0.279236133541098	1	1
TGM2	0.026041837540492555	0.1094227543911711	3	0	0.278665362015561	1	1
PCBP2	0.002406204605244404	0.10088590324137214	11	0	0.27279841751663425	1	1
RAI14	0.014697513494043121	0.2173785499459275	10	0	0.2713011763822643	1	1
SAT1	0.001003039909912963	0.6851409015035717	6	0	-0.27091078756998704	1	1
SYNE1	0.036697588827956984	1	10	0	-0.2683831630276229	1	1
ACSL1	0.013012920320844019	1	14	0	-0.2667300219367522	1	1
FAM133B_LOC113259966	0.039202848726427424	1	7	0	-0.264476447297744	1	1
FBXO21	6.647207654003206e-4	0.8885737182576693	11	0	0.2632389483434538	1	1
CLIC5	0.03301458810215565	0.027026425347207148	4	1	-0.2622098430302296	1	1
LOC113258529	0.026041837540492555	1	5	0	-0.2600339407130554	1	1
SRRM1	0.008880525782260833	0.016220280317958857	13	1	-0.2599259661400743	1	1
PFKFB2	0.03575364990237134	1	7	0	-0.2558324697351577	1	1
TNS1	0.04221597460113189	0.09038265015982985	5	0	0.2542900832976499	1	1
BAZ2A	0.014350455926979842	1	7	0	0.25378341665086657	1	1
PI4KA	0.046752495320431166	0.23970952772010135	4	0	0.25011575573070016	1	1
NSMAF	0.008177716195058629	0.718081241591197	10	0	-0.24810913173097016	1	1
CTSH	1.1245241461426157e-4	0.008304201462676948	6	2	-0.24657242718501735	1	1
GATM	0.00442065488932239	0.019365114449883186	6	1	-0.24425218412553606	1	1
CXCL12	0.011815633300793361	0.0011225038719991102	3	2	-0.24388501936474916	1	1
GCC2	0.03391627895407602	0.2252065993627917	4	0	-0.2433040127124571	1	1
PDLIM3	3.053365349540961e-4	0.6492685531804839	3	0	0.24198956115601777	1	1
MYO5A	0.02976512084868684	0.21362977133062608	6	0	-0.24188896566545126	1	1
PDE7A	0.01793440088528952	0.001292187446098495	6	1	-0.24064395197750554	1	1
TBC1D1	0.03495443918386497	1	8	0	-0.2378576925957558	1	1
KTN1	0.004215655665048596	0.3147106381442522	7	0	-0.23670771146695785	1	1
TPD52L2	0.011481049983309973	1	3	0	0.2347197937150969	1	1
RFC5	0.03391627895407602	1	5	0	-0.23363246522021006	1	1
PANK4	0.013432424797460384	1	11	0	-0.22966059023099783	1	1
LRRFIP1	0.02725815137951639	0.5122669991986883	5	0	0.22434563500373028	1	1
CUNH6orf106	0.0012767591504849192	1	4	0	-0.21933551312956948	1	1
VPS13B	0.03689987602082993	0.9928768299035692	7	0	0.2178592762008651	1	1
LOC113258542	1.1245241461426157e-4	0.1114801430466138	12	0	-0.21039779180760207	1	1
LOC113243115	8.757690140135942e-4	1	10	0	-0.2083080674433776	1	1
NUCB1	0.007233307034129162	1	6	0	-0.20574563708341836	1	1
RBPJ	0.038760295754822066	1	6	0	-0.20570357261921973	1	1
ACER3	0.03132809037665487	1	6	0	-0.20364450740983467	1	1
DST	0.014150585000467099	0.218067537459207	18	0	-0.2026632898082793	1	1
LOC113265994	0.007575370243761581	1	11	0	0.20227769318141045	1	1
RBM6	0.0027638107596093184	1	13	0	-0.20063907300522674	1	1
THUMPD3	0.04221597460113189	1	6	0	-0.20063675267095357	1	1
SLC25A36	4.895468637034625e-4	1	8	0	0.1997074869066479	1	1
PPFIBP1	0.03689987602082993	0.299597497962727	9	0	-0.19475538532364636	1	1
GRN	0.005545733813563594	1	6	0	-0.19345444346617804	1	1
ARGLU1	0.042163335360782525	1	7	0	-0.19134537662904672	1	1
C7	0.004878047809527787	0.013735855596857874	5	1	0.1905257225151403	1	1
NID2	0.044703064619584905	1	6	0	-0.1896416685293359	1	1
PLXNB2	0.00543073281097944	0.0689894928359954	8	0	-0.1877193047474645	1	1
NAP1L1	0.015997679969669495	0.6289476388312141	6	0	0.18534426370007528	1	1
PABPC1	0.0060216873478226305	0.08342213696184257	5	0	0.1841703523234881	1	1
BAZ2B	0.010854816005507752	0.5168853651160568	23	0	-0.17832668448246308	1	1
ASPH	0.026551470806467532	1	5	0	-0.17815764536316842	1	1
LOC113251518	0.012446991305380567	1	12	0	0.17601052422068902	1	1
STT3A	0.030382942487521804	1	5	0	0.17086296527962824	1	1
GCDH	0.0012357458291040206	1	8	0	-0.16297036850236332	1	1
HNRNPH3	0.00978458813100202	0.07629349614051414	9	0	-0.1623916529589723	1	1
VPS13A	0.02646302326077251	1	5	0	0.16039229085358409	1	1
FUBP1	0.036697588827956984	1	13	0	-0.1555155076902835	1	1
NBR1	0.047676724781327666	1	5	0	-0.1528472885201302	1	1
MBNL1	6.401796811085012e-4	1	13	0	-0.14871864663003026	1	1
PHKB	0.01793440088528952	1	12	0	-0.1438028038380998	1	1
SPARCL1	9.458536294519507e-4	1	8	0	0.1427240660136657	1	1
MYLK	0.03989849147949715	1	6	0	0.14260235706892532	1	1
LAMTOR3	0.03166149260454282	1	5	0	0.1420851284413251	1	1
NFKBIZ	0.02143745543548451	1	7	0	0.1411249719229565	1	1
ZNF2	0.007886576894942782	1	13	0	-0.13460338613590903	1	1
CAST	2.526482449271862e-4	1	14	0	-0.13121271062320283	1	1
AP2A2	0.009325862443927878	1	6	0	-0.12688044873401713	1	1
THRAP3	0.035696913731091275	1	7	0	-0.10617694430672578	1	1
PICALM	3.201722583006965e-6	1	7	0	-0.08387054532042337	1	1
