gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Gall Bladder-Stomach)	pct_gene_expr	max_pct_tx_expr
ITFG1	0.013510663210286648	0.0014421602612080724	4	1	-0.5474600825358781	1	1
LTBP3	0.03895581362615391	0.006890548999260942	3	1	0.5436555773700175	1	1
TFB2M	0.02720558969286841	0.0025675692135476583	6	1	0.5315351883569385	1	1
CUNH1orf198	0.002866237440859181	1	7	0	-0.529332083202988	1	1
CALCOCO2	0.002542894322309135	4.403651917466127e-5	4	1	-0.524046683877577	1	1
ADGRA3	0.023641787468565982	0	2	2	0.5235446765423941	1	1
LOC113243631	0.044915057885163485	1	7	0	-0.5168428148727133	1	0.75
SNX22	0.029777977958642787	0.1941727839057047	3	0	0.5143724544346201	1	1
ARHGAP35	0.005877627539909483	0	2	2	-0.5106237116047294	1	1
IFT140	0.0036505794012665527	0.169978449962715	6	0	-0.5089523821252192	1	1
PCGF5	0.01423417743502625	0.0028944542891329505	4	1	-0.49641851433365486	1	1
UBFD1	0.027496108453294442	0.4373173956425559	8	0	0.49635009552759574	1	1
SRGAP2	0.029777977958642787	0.4692474534309944	10	0	-0.494792554617429	1	1
CPSF2	0.019223362227287724	0.00449879612405708	4	1	-0.4908819463987829	1	1
HDAC1	0.023641787468565982	1	10	0	-0.4899889724874001	1	0.75
TUBA8	0.008689565604615108	1	4	0	0.48659022611008207	1	1
MSH3	0.03851523989064674	0.3183201201997831	5	0	0.48480948494169424	1	1
DUSP19	0.0026405754056411123	0.03477542094867325	3	1	0.48226409051898445	1	1
OSBPL3	0.04287352852526188	1	4	0	-0.48212852200786255	1	0.75
KDM2B	0.013895518730102613	0.003253818446201873	5	1	-0.4752247608720603	1	1
FBXO42	0.047218498277808586	0.15746133921487335	4	0	-0.4744074822854335	1	1
LOC113265298	0.001377695174635268	0.32491268023330755	4	0	0.4714756174937429	1	1
CCDC80	1.3208447272599732e-4	0.320448757109887	5	0	0.4613810042791643	1	1
NOP2	0.040693329148849273	1	9	0	-0.45373404862636674	1	1
PTS	0.00503179547186076	1	8	0	-0.45112120226002866	1	0.75
SDC2	0.002866237440859181	4.92820482631242e-5	3	1	-0.44917099248151415	1	1
ASXL1	0.027622910140691133	0.05986004206846664	6	0	0.44503603024753857	1	1
EVC	0.01526355270782138	0.6168982747331432	4	0	-0.444804843916363	1	1
SHPRH	0.005188743374277641	0.00601427284203065	6	1	-0.4424110098711935	1	1
DPYS	0.013800231267071385	1	5	0	0.44199640213697916	1	0.75
AGPS	1.3208447272599732e-4	6.141242249826306e-4	6	1	-0.4378650495889145	1	1
COASY	0.01975206596595749	1	12	0	0.4354481546363481	1	1
RALBP1	0.030441625567742384	0.17869384322258836	3	0	0.4311280744430338	1	1
SELENOT	0.011315418490664298	0.8329547711579646	5	0	-0.43026358425735023	1	1
CCDC102B	0.012319577665704722	1	6	0	-0.4265610160990327	1	1
MSH6	0.04342462245362614	1	3	0	-0.42533917980053915	1	1
PIGR	0.04275293139015918	0.11693317558371771	5	0	0.4251920445429759	1	1
ZNF613	0.047218498277808586	0.5773488140654867	5	0	0.42502867270039185	1	1
IARS	0.019833887162832426	1	9	0	-0.42117732627510285	1	1
SPARC	0.03851523989064674	0.013984529080801295	5	1	0.4191322256682327	1	1
ARHGAP5	0.02530721379020779	0.0023338198218722113	3	1	-0.41898234010060537	1	1
JMJD6	0.04275293139015918	1	7	0	-0.41885361032433366	1	1
OPLAH	0.020087344630577594	0.05885956051784345	5	0	0.41785334060251667	1	1
TPP2	4.8989018239017875e-5	0.009514898929785182	9	1	0.4153391084678551	1	1
RFC1	0.002036873322817028	0.0014168386482387363	4	2	0.41213245888618993	1	1
YPEL5	0.015202647438886288	0.19354405187250304	7	0	-0.4116955354616838	1	1
WWC3	0.015202647438886288	0.006614332102742119	4	1	-0.4096400046702599	1	1
ZBTB41	0.012319577665704722	0.164120677354586	3	0	-0.40925566184004847	1	1
SDCBP	4.8989018239017875e-5	1	7	0	-0.40566628515300923	1	1
GPD1	0.03599025796847889	1	10	0	-0.40385989684666396	1	1
LOC113259832_TAF1D	0.009016515744491705	1	6	0	-0.4035095210389897	1	1
CTSV	0.049297208212534804	0.961245758297694	3	0	-0.3958877862990907	1	1
LOC113263700	0.0012253544853814814	0.0016889008875879158	4	2	-0.39496175752562246	1	1
SUGP2	0.012319577665704722	0.8401537675516784	9	0	-0.39457163158126124	1	1
ANKRD17	0.044871060908232216	0.1265483272283404	7	0	-0.39309704287408503	1	1
ASPH	1.3208447272599732e-4	0.08701690384712178	7	0	0.3840901617076799	1	1
PLSCR4	0.01261930067277583	0.002911461710094431	7	1	0.38376506116698056	1	1
PNRC1	0.040235458532294335	0	2	2	-0.3827806324069968	1	1
GCFC2	6.458594434638217e-5	0.4129806216946674	6	0	0.3762444032069812	1	1
EXOC3L1	0.020234316455848892	1	18	0	-0.3755065854760253	1	0.75
AKAP2	0.011315418490664298	0.11842141645450445	8	0	-0.3747504409307806	1	1
DLG1	0.01526355270782138	0.002757948774955483	8	1	-0.3733242846796522	1	1
PATL1	0.04275293139015918	0.833166549862835	6	0	-0.3713949545617533	1	1
BABAM2	0.028814007536505745	0.014170929809086038	4	1	0.3705578481396753	1	1
ZNF782	0.040635119651156425	1	3	0	0.36826118253356643	1	1
HNRNPH1	0.007793146251634277	0.0418949233886542	8	1	0.36825603192756673	1	1
XRCC1	0.02496997541134085	0.8884305898374755	6	0	-0.3655805866645065	1	1
SAP130	0.009645031748953868	1	9	0	-0.36480259285143185	1	1
TUT7	0.011315418490664298	1	13	0	0.3634687655352259	1	1
MIDN	0.005877627539909483	0.008787985852190778	4	1	0.3624011335289349	1	1
NEURL4	0.03268462323079311	0.6518744923799603	3	0	-0.3609429427162167	1	1
EOGT	0.03599025796847889	1	4	0	-0.3606361789983258	1	1
OXR1	0.006020630738350922	8.442863776796478e-5	9	1	0.357181630529902	1	1
PPM1K	0.03599025796847889	0.15142010991256036	6	0	-0.35663393366881413	1	1
MIS12	0.03186095949232054	1	9	0	0.35488244542188463	1	0.75
ZNF462	0.04324759435221854	0.3640135597635544	8	0	-0.35452501125509756	1	1
SLAIN2	0.0028690407798076362	0.017499958789257315	6	1	-0.3521150977625387	1	1
SBNO2	0.005940911807354225	0.38298286412830657	3	0	-0.35110719985460287	1	1
TGFB2	0.013717493920722974	1	4	0	0.3488472841933568	1	1
SLC25A39	0.02720558969286841	0.005039910277473264	7	1	0.34680087807476645	1	1
CPT1A	0.04095697916800947	0.4298629546030205	5	0	0.346138834646616	1	1
MFSD11	0.03599025796847889	0.1404984846716342	9	0	-0.34279907133996296	1	1
MAPK8	0.010112679713120512	0.11331855969406858	5	0	0.3373112976776371	1	1
TDRD7	0.04765211737209753	1	11	0	-0.33727480769349893	1	0.75
ATP9B	0.01493760567339263	0.15468041211983682	12	0	-0.33645976968472346	1	1
YES1	0.009016515744491705	0.07732424908958202	5	0	-0.3341720975797229	1	1
CCDC186	0.029640091138387812	0.020618484103577445	4	1	0.3338088036373176	1	1
RNASEL	0.040635119651156425	1	3	0	0.33285313015706697	1	1
NRDC	0.026891041255420103	1	13	0	0.33198893662725737	1	1
XDH	0.04127760289304948	0	2	2	-0.32980528494770855	1	1
TOGARAM1	0.02501051124939871	0.01830809548455779	5	1	-0.3284724251905636	1	1
DCUN1D1	0.021838184503547773	0.06565302865262457	13	0	-0.3221939247126846	1	1
ZNF618	0.001377695174635268	0.8925044875157504	9	0	-0.3214078088427278	1	1
WDTC1	0.001438331418740887	0.03868382536324442	5	1	-0.31461777057232354	1	1
INO80	0.03895581362615391	0.14297294675432057	3	0	0.3138716651824978	1	1
ACTR3	0.024904295912563972	7.946979774807467e-4	4	1	-0.31366044863555353	1	1
CNBP	0.024904295912563972	0.02178395945387165	9	1	-0.31274663644704725	1	1
COPS4	0.01526355270782138	1	7	0	0.3119739393683396	1	1
CUNH2orf42	0.04965596496069092	1	9	0	0.3111918381664472	1	1
AFF1	0.04065365307292279	0.6954432986596569	4	0	0.3087644256369301	1	1
COL15A1	0.004291402944793786	0.08447399536746518	9	0	0.30674766599632675	1	1
NFIX	0.04275293139015918	0.3971157292705154	6	0	-0.3034966765513111	1	1
HGS	0.02764836588598091	1	9	0	-0.2992355113252105	1	1
PPFIBP2	0.040693329148849273	1	15	0	-0.2992122180026985	1	1
CDV3	0.020541873634884963	0.32934960994599966	4	0	-0.2988582975628961	1	1
KCTD9	0.024904295912563972	1	8	0	0.2983981101875217	1	1
USP40	0.002866237440859181	0.24735262609748562	10	0	-0.2938211072943851	1	1
SLCO2B1	0.04965721127963504	0.27383092802864467	11	0	0.2936976210458192	1	1
CLASP1	0.0330324775183862	0.39276093680411933	8	0	0.28726867207686985	1	1
ARFGEF1	0.04065365307292279	0.004711153181960804	4	1	-0.2871511125079416	1	1
HNRNPA2B1	0.013895518730102613	1	10	0	-0.2851560209455761	1	1
CRY2	0.0390333574102176	0.03008524715840193	12	1	-0.28376601561202786	1	1
LOC113251518	0.023641787468565982	1	11	0	0.2835971441773033	1	1
FMNL2	0.03150356354716834	1	6	0	0.28290219642953346	1	1
VIM	4.8989018239017875e-5	8.62826886727662e-4	3	1	0.27890260478285367	1	1
AFAP1L2	0.028886787661887417	1	7	0	-0.27808858720249835	1	1
PICALM	0.02720558969286841	0.06325188562011594	6	0	-0.2741532682350808	1	1
PABPC1	1.2457040988832136e-13	6.435284879779793e-11	6	3	0.27393230134161195	1	1
HDAC7	0.037129957426578805	0.9329431084303498	6	0	0.2724443104429811	1	1
CAVIN1	1.3208447272599732e-4	1.570841620433531e-6	4	2	0.26864580948188516	1	1
FAM135A	0.034817665820268205	0.16308164550879575	8	0	0.2665142300064971	1	1
EPHX2	0.037129957426578805	1	12	0	0.26468457353756003	1	1
EVC2	0.040693329148849273	1	4	0	-0.26456123771437334	1	1
MIA3	0.005877627539909483	0.0034617668253091156	13	1	0.25964151966860105	1	1
ARHGEF37	0.012076762386388117	0.2586002616653203	7	0	0.25763299945526763	1	1
CPEB4	0.019833887162832426	1	3	0	-0.2566271493386654	1	1
IFI44L	0.029640091138387812	1	14	0	0.2552736093203343	1	1
CDKN2AIP	0.03895581362615391	1	5	0	0.2511395580802496	1	1
EIF5	0.027496108453294442	1	9	0	-0.24887312310358198	1	1
RNF19A	0.023641787468565982	1	9	0	-0.24752919573749024	1	1
DNAJC10	0.02501051124939871	0.0175158289116012	7	1	0.245645371087859	1	1
PACS2	0.026380005279907023	0.16876305651012913	7	0	0.24425472724182165	1	1
SECISBP2L	0.033343439398241685	0.6300238647163343	6	0	0.24412863984100433	1	1
ANXA5	0.024904295912563972	8.761694631599643e-4	5	1	0.2413360900296131	1	1
FMO4	0.04095697916800947	1	10	0	0.24056884176115498	1	1
WSB1	0.03851523989064674	1	9	0	-0.23644094304457364	1	1
RRBP1	0.00503179547186076	0.18384648545600074	11	0	-0.23608700288965276	1	1
FOXRED1	0.040635119651156425	1	10	0	0.22836334359216934	1	1
CSNK1A1	0.026452530822764435	0.14354251315463934	8	0	-0.22690568942653946	1	1
PNP	0.004291402944793786	1	6	0	-0.22598031685359454	1	1
ING4	0.04025523531084749	0.9992088084621991	9	0	0.2246014054917658	1	1
HNF1B	0.02532356917024576	1	6	0	0.2223270620665498	1	0.75
ANXA11	0.019833887162832426	1	10	0	-0.22197118570323537	1	1
ND5	0.03268462323079311	0	2	2	0.22051260783756033	1	1
UFM1	0.004600721061291413	1	4	0	-0.2194466302487095	1	1
AS3MT	0.033343439398241685	1	10	0	0.2176696861426684	1	1
ASCC3	0.02713518055399412	1	10	0	-0.21746700171779246	1	1
IQSEC1	0.019326392371619764	1	8	0	-0.21666419743998935	1	1
CCDC138	0.011315418490664298	1	8	0	0.21552552958139828	1	1
ERGIC1	0.023639312200944174	0.5251295854789582	7	0	-0.21360760308581306	1	1
SRP54	0.0390333574102176	1	8	0	0.21352880380007866	1	1
PLXNB2	0.04296185178045509	1	11	0	-0.208702876430456	1	1
ZDHHC20	0.023641787468565982	1	8	0	-0.20752069666752818	1	1
PPIG	0.0330324775183862	1	7	0	0.2072433207485124	1	1
SLC25A51	0.034966094002674676	1	15	0	0.2069476033566065	1	0.75
CHD8	0.03268462323079311	0.7361245471789036	9	0	0.2062508623691247	1	1
TARBP1	0.029228418413302416	0.1116740700809707	8	0	-0.20420717946651842	1	1
PLIN3	0.040693329148849273	1	8	0	-0.20409767170413942	1	1
PPP4R3A	0.047218498277808586	0.19103574229094492	7	0	-0.2005674589119791	1	1
TMCO3	0.0330324775183862	1	13	0	-0.1969168821294876	1	1
LOC113261047	0.020523308032484575	1	7	0	0.18801210884036135	1	1
RDX	0.01773272781384776	0.006509654668905574	5	1	0.18672231757618662	1	1
GSN	0.01731211424945173	0.00537091092298586	5	1	-0.183686115382468	1	1
FOPNL	0.037232846697283474	1	6	0	-0.1833145171772051	1	1
MTUS1	0.01648015118780876	1	14	0	-0.1829541026021833	1	1
ATG13	0.04759963253362914	1	15	0	-0.17192152131050845	1	1
PTPRG	0.01975206596595749	1	4	0	0.16974395778019563	1	1
IP6K2	0.01975206596595749	1	10	0	0.16664733490757322	1	1
EVL	0.04095697916800947	1	3	0	-0.16165303944664874	1	1
THOC1	0.04109300751011144	1	11	0	-0.1589180175308271	1	1
PPP6R3	0.011315418490664298	0.7526389994635466	16	0	-0.15544333807464378	1	1
FAM120B	0.01526355270782138	1	11	0	-0.15239476740676894	1	1
BIRC6	0.005706139388265862	1	8	0	-0.15183275118225503	1	1
LOC113251245	0.03599025796847889	1	12	0	-0.14975894043299742	1	1
ZNF655	0.02379464303933156	1	15	0	0.1278431379037673	1	1
TTN	0.04783285549096482	1	25	0	-0.12213374191498445	1	1
EEF1A1	0.047218498277808586	1	3	0	0.08659959286888719	1	1
