gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Liver-Lung)	pct_gene_expr	max_pct_tx_expr
KPNA3	7.78790606023052e-8	5.165712946993807e-7	3	2	0.7459396994414523	1	1
ANKRD6	0.0013778811214127246	1	7	0	0.7391886152622515	1	0.8333333333333334
DDR2	9.320662371753576e-5	4.0417516924124824e-4	3	1	0.7383085760364798	1	1
SUGP1	2.716543269645399e-6	1.8701515161277242e-4	6	1	0.7342902774608931	1	1
OTC	3.815763760440732e-18	1.1651887132049473e-11	6	2	0.7268065602172681	1	1
IMMP2L	0.0010282044321252893	0.0018650700949736864	5	1	0.7257587907304044	1	0.8333333333333334
TMEM268	3.2823085476261425e-4	0.0014819907682960668	4	1	0.7243045953284416	1	1
MTFP1	0.0010282044321252893	0.0011766719780692987	5	2	0.7226711508853019	1	1
LOC113249327	0.006186481886409402	2.1555799576342406e-4	5	1	0.7206560765051133	1	1
NCAM1	3.897816899440727e-6	2.8369876161953352e-5	5	1	-0.7201529733025496	1	0.8333333333333334
MRPL4	0.0014515886225011918	0.00175390470347576	6	1	0.7169921416736985	1	0.8333333333333334
SPARCL1	9.566583380853285e-30	2.2049280315249185e-20	8	2	0.7169213060899551	1	1
ADGRG1	0.007482791330163527	0.0033275525876369865	3	1	0.714880235269435	1	0.8333333333333334
SLC23A1	0.02214787251694995	0.4189881107686685	4	0	-0.71357862925069	1	0.6666666666666666
ANO1	0.011620767439808635	0	2	2	0.702424126414996	1	1
ANKS4B	0.019441041852145104	0	2	2	-0.7024142695759812	0.8333333333333334	0.6666666666666666
TUBE1	0.008141309486993147	1	3	0	-0.693740164973974	1	0.6666666666666666
ADGRV1	6.95769364963568e-8	9.472722819191176e-8	6	2	0.6868115024761459	1	1
DIO1	0.006855039732790578	1	6	0	0.6863321319184006	1	0.6666666666666666
CHAF1A	0.019207284428780256	0.01585921803836333	3	1	0.6862638531764693	1	0.8333333333333334
ZNF214	0.04072488181298828	0.3507327285209352	3	0	-0.6854272741183791	1	0.8333333333333334
SGCD	0.026406059913916584	0.0032995349920713866	4	1	-0.6812817968218522	1	0.8333333333333334
MYRF	0.011860250282358455	0.0021006592896009916	3	1	-0.6806288296233319	1	0.8333333333333334
PIK3R3	0.04873264823569842	0	2	2	0.6795668321038116	1	0.8333333333333334
LAMA3	2.2709525114191434e-9	1.629962861607855e-8	6	3	-0.6789611696728675	1	1
FAH	5.6528973066322735e-9	3.3046890867611886e-14	13	2	0.6750275621458843	1	1
EML6	0.0021303729513030487	0.0011017309938422335	3	2	0.6732110880444321	1	1
AGBL4	0.0029005302429511107	0	2	2	0.6711522106487164	1	1
KIF13A	0.014735758919742867	0.3422154941879073	5	0	0.6698321261115953	1	1
HSD17B13	2.3742777109624925e-5	3.6905860925047636e-7	5	1	0.6638981423633912	1	1
CUNH1orf116	0.0012673773380794343	0.024029522256586305	3	1	-0.6630455020547125	1	1
MYO7A	0.022047459327055405	1	5	0	-0.6621808801043569	1	0.8333333333333334
STX10	4.5942803722819823e-4	0.012671752514009541	7	1	0.6586064809442106	1	0.8333333333333334
NAV2	0.028946317617233756	0.005782593019159143	3	2	-0.6502663007160182	1	1
LLGL2	8.927157306575245e-4	6.740328548127182e-5	3	2	0.6494660222221489	1	1
PLEKHA2	0.0020523770640872275	0.1772851016220233	7	0	0.644343189075602	1	1
TAT	4.235943114678418e-10	1	8	0	0.6438185695062497	1	1
PDE1C	1.7542951327522237e-5	5.513456426821273e-5	5	2	0.6431531418168153	1	1
LOC113264073	0.0035198421196570326	0.052146745402794285	6	0	0.6430356829324867	1	1
PADI2	0.03359185799719657	0.012631422850679473	4	1	0.639469796571968	1	0.8333333333333334
CEP104	0.004153346168980959	0.012374451393641185	3	2	-0.6388281995244315	1	1
FMO2	1.7348786563975375e-7	9.946859152134082e-5	8	2	0.6359833520827693	1	1
LOC113244018	5.765686987593603e-9	0.0029688045036894285	3	1	-0.6348277720398556	1	1
ARHGAP9	0.030296874053347262	0.002990819775534998	7	1	0.6347229501220543	1	1
TMEM184B	0.02401032179726153	0.008014489831871752	3	1	-0.6320106851633615	1	0.8333333333333334
RASA2	0.0429559586940873	0	2	2	-0.6297365918604532	1	1
SLC38A4	7.735623400872373e-6	3.310678091478496e-6	5	1	-0.6267691580587597	1	0.8333333333333334
AGPAT2	0.011972444427946934	0.0013631357608958404	4	2	0.6256399765044305	1	0.8333333333333334
BAIAP2	0.009829474092401305	0.003195067996334664	5	1	0.6248780602124979	1	1
ZNF229	2.7645393785611055e-4	1	5	0	0.6244490771793404	1	1
TTC21A	0.04072488181298828	0.059476231576120885	5	0	0.6232143085511174	1	0.8333333333333334
LLGL1	0.04182825039407285	0.23650471729162167	6	0	0.6176888005309631	1	0.6666666666666666
MYO9B	0.011985874834191704	0.18135550967265526	5	0	0.6131633993020374	1	1
FBLN2	0.04742556036859496	0.0700957305729572	4	0	0.613144465569683	1	0.8333333333333334
FITM2	2.884727711332079e-6	5.711928036202125e-6	4	2	0.611174653563553	1	1
LOC113259624	3.721768362801678e-5	0.5544861181328911	7	0	-0.6068222824455372	1	0.5
BHLHE40	4.614641623300463e-5	3.821768567499739e-6	5	1	0.6059398586619195	1	1
ELOVL5	0.006826035712198051	0.03336880157687	10	1	0.6053428149439105	1	1
TRAF1	3.435268016618358e-5	1.284892655161971e-4	6	2	0.6047771876950718	1	1
KLKB1	1.439927913336598e-11	9.878268258338296e-10	13	1	-0.6036809372367358	1	1
PMP22	2.857907000975145e-4	0	2	2	-0.6002552212512734	1	1
C6	0.03766556800123521	1	6	0	0.5994512050163925	1	0.6666666666666666
FBF1	0.005959817170769945	0.05000566994591448	8	0	0.5973427576574479	1	0.8333333333333334
TCEAL1	0.0076366793167905855	0.010470626675404573	4	2	0.5909731956233657	1	1
RCL1	1.8445109997338838e-9	1	14	0	0.590522783022624	1	1
IDH3A	4.3465025307790575e-9	2.981179325361633e-7	6	1	-0.5891805855436802	1	1
KIAA1522	0.006096670929238675	0.058040414476539084	4	0	0.589063353303292	1	0.8333333333333334
RNF157	0.022230671229531818	0.1745962349429672	4	0	0.5886503646171589	1	0.8333333333333334
MTMR2	0.0029005302429511107	0.05315305875024703	5	0	0.5879281346250501	1	1
ZNF146	3.2687949891099766e-4	3.1266209906434295e-4	4	1	-0.5878544361089297	1	1
AFAP1	0.007185303429748388	0.04874446306953303	4	1	0.587624430678096	1	1
APBB2	0.03613175423031899	0.0018540547878473188	7	1	0.5862946002326396	1	1
LOC113248580	1.9725067226883575e-12	1.1902751004427438e-12	7	2	-0.5849363728805155	1	1
STARD8	0.033995651519372845	0.006936964744183481	3	1	-0.5836747011085142	1	1
CEMIP2	1.8338210496897393e-11	5.292392579693437e-16	5	1	-0.5827411060898939	1	1
NFKBIZ	6.62088222210962e-13	5.2634592201303126e-15	7	1	0.5808940938073183	1	1
ADH4	0.03114970827870332	0.025964519142372883	5	1	-0.5796823157410863	0.8333333333333334	0.8333333333333334
CUNH9orf72	0.019652860428594845	0.006919376672123229	11	1	0.5769235732728906	1	0.8333333333333334
A1BG	4.8006902755068434e-5	0.002774965278004872	5	1	0.5750393616360595	1	0.8333333333333334
APEH	0.007704014646171179	0.2406508028935337	13	0	0.5738751072577333	1	1
MIS12	0.008730601429317761	0.007373597483307866	8	1	-0.5673014702985736	1	1
FES	0.036168525292582805	1	8	0	0.5668555182324675	1	0.8333333333333334
NPC1L1	0.009478935135649907	1	6	0	0.5660169091707216	1	1
LOC113252107	0.003372451905728018	0.010689945161137304	4	2	-0.5643784082736769	1	1
MPP6	0.03923832571346462	0.0928319582715736	3	0	-0.5634660483232851	1	1
FOXJ3	0.043568298650748405	0.12395976647244258	6	0	0.5625204953795719	1	1
C2CD3	0.001924684879057342	0.005318922551879417	3	1	-0.5612981730265223	1	1
KRBOX4	0.029915948050493454	1	7	0	0.5600597573018061	1	0.8333333333333334
DYRK1B	0.007807823436857962	1	6	0	-0.557218880126527	1	0.8333333333333334
RPS6KA2	0.037381543258182166	1	6	0	-0.5572005860409394	1	1
CUNH1orf216	0.02825502675088102	0.006819241527973637	3	1	0.5559703140275658	1	1
MRTFB	2.7645393785611055e-4	0.0010452556815632472	7	2	0.5554815418578933	1	1
LOC113268943	0.002876829931314406	0.04979633337642633	3	1	0.5550811426967669	1	1
DYRK1A	0.007755434823397673	0.7581548229157368	10	0	0.5544983974677988	1	1
CNTLN	0.004563565998148091	0.025650291567892013	7	1	0.5538843899386549	1	0.8333333333333334
RCBTB2	0.03492560125301503	0.05785848036304431	9	0	0.5461696233478123	1	1
PFKFB1	3.360388797370459e-5	0.012349618385199414	11	1	-0.5460064338434549	1	0.8333333333333334
FAM149A	0.04146816044244535	0.018707689421799293	5	1	0.544543933145762	1	1
VNN1	1.2008055791857694e-8	2.015131548406842e-4	8	2	0.5445060374293195	1	1
PPM1G	9.359768613750879e-6	0.029109059379022823	3	1	-0.5441996161767908	1	1
FMO1	3.4146739964341543e-12	1.6708694560744208e-12	4	2	0.543457869200615	1	1
RFX5	0.04654779584935195	0.08509717866417162	3	0	-0.5418819995526574	1	1
NICN1_AMT	0.011710340616679964	0.14592046403086273	14	0	0.5379777801088881	1	0.8333333333333334
SYNE3	8.436388527555652e-5	0.01315530110659497	7	1	0.5371084470566184	1	1
ACOT12	0.007185303429748388	0.06894853403025375	12	0	-0.5363679243802412	1	1
KHK	0.043568298650748405	0.1436124756468381	8	0	0.5359566042865571	1	0.6666666666666666
FARP1	3.12980658740915e-6	3.208562629227524e-7	6	1	0.5340817725801206	1	1
EBF1	3.742149917387523e-4	0.11881018233365227	4	0	-0.5328672657390494	1	1
LOC113247193	0.007207537029646565	0.001051826673899739	3	1	0.5327117421782817	1	1
LOC113248320	0.0035198421196570326	0.06202402314820689	9	0	0.5323464240689985	1	0.8333333333333334
KLF15	0.02661224603789771	0.0520183190140877	3	0	-0.5322920503798918	1	1
ZCCHC9	0.016110164217534983	0.04346184530146093	3	1	-0.5301825845205981	1	1
SCP2	1.2140761799356061e-26	2.7353207449925826e-6	5	3	-0.5239253584446828	1	1
RALB	6.162479725791624e-5	0.001182584463844058	5	2	0.523753867880268	1	1
HPX	0.001205556620109272	1	9	0	0.520785403313559	1	0.8333333333333334
FPGS	1.3585800325761618e-8	8.59990515252399e-4	4	1	0.5185238884605351	1	1
HDAC5	0.03285400388667583	0.1246833038616737	4	0	0.5180233465354985	1	1
ST5	0.005242616196910413	0.4701804929948927	9	0	0.5161241288660882	1	1
SPAG9	1.2575373978247954e-10	7.014549240134789e-10	5	2	-0.5144583199143377	1	1
LOC113241702	1.2573836546965025e-5	0.02934348549760145	10	1	-0.5142857961285519	1	0.8333333333333334
DOCK11	2.2042682192870012e-4	1.0297743452476625e-4	6	1	-0.5138233774623607	1	1
EXOC7	0.01337489591741843	0.00837377925958721	8	1	0.5134614122482126	1	1
MYOF	0.04987246592528646	0.660266317777196	7	0	0.5132748590821318	1	1
GRAMD1C	0.046595389461710386	0.26056041414304537	5	0	0.5114157251496435	1	1
PGF	0.041447658786751156	1	6	0	0.5109613342899555	1	0.8333333333333334
MCF2L	2.9207820564382963e-4	0.004275747109425993	13	1	0.5104989416078265	1	1
PCNX4	3.686720699547889e-4	0.0037555698118967307	5	1	0.510082094520045	1	1
MYADM	0.04654779584935195	1	5	0	-0.509729308379968	1	1
SUGCT	0.018887948036198542	0.02181295790510264	5	1	-0.509112520974029	1	1
MACF1	1.8489032841556555e-36	5.68818029188463e-19	9	2	0.5085881607046906	1	1
MPDZ	6.0906517009128784e-6	6.082270128823078e-4	11	1	0.5083262748155656	1	1
CD34	4.5393225976227613e-4	0.001087607360961289	4	2	-0.506429900068382	1	1
BHMT	7.090641431353542e-4	0.04750229443018875	5	1	0.5049201069723611	1	1
CA12	0.0385085116444372	1	5	0	-0.5040915555339878	1	1
AKAP2	2.47860485859438e-10	2.692398390678283e-7	7	1	-0.5028181553114557	1	1
UBN1	5.051772759594158e-4	0.16379490892408768	3	0	-0.5026557753563797	1	1
PFAS	0.004705625465680931	0.306792804076393	5	0	0.5019224985469569	1	1
IRGQ	0.011111993995026275	0	2	2	-0.5012985608917231	1	1
CLEC1A	0.0385085116444372	0.018729613768508922	3	1	0.5011611882722282	1	1
ARHGEF28	0.03508002827597766	0.08846648784977124	4	0	0.5009401614936982	1	1
MOGAT3	5.249788349966667e-4	2.0347774925567126e-4	5	1	-0.49919600408188686	1	0.8333333333333334
PRPSAP1	0.020100289178518558	0.02788060628857648	4	1	-0.49886428704363317	1	1
PCSK6	0.00232557953277839	0	2	2	0.49690251688860854	1	1
RIOK1	0.0264222541295464	0.4136979718116979	7	0	0.49394094295740093	1	1
VEPH1	0.004106721010456344	0.002608125390991511	6	1	0.49341379602361346	1	1
CDC23	0.01168785312372589	1	6	0	-0.4916006702498165	1	0.8333333333333334
COG6	0.0057540725932297395	0.01935377390494539	4	1	0.4893989489438424	1	1
LIMA1	0.0026047234613111527	0.06942307478798072	6	0	0.48761598472392353	1	1
SLC12A4	5.21949116789958e-4	1	11	0	0.48214591123653805	1	0.8333333333333334
GLS2	0.01801217331312517	0.12683573760800915	8	0	-0.48138878383552147	1	0.6666666666666666
SPATS2L	1.4903307538500563e-7	1	8	0	0.4811530144555612	1	1
ZMYM2	0.0039357663697934435	0.0482640289972382	10	1	0.48063714302532723	1	1
CP	0.0020523770640872275	9.484569920338637e-5	6	1	-0.47965029076930327	1	1
RIN2	2.0086020643366254e-9	1.1223438797309832e-11	10	1	-0.47837256322717486	1	1
FRMD4B	1.057076276465747e-9	0.0046248762992527675	8	1	0.47533470945571865	1	1
MRS2	0.008845957752637572	0.038937470718523624	5	1	-0.4745486818696738	1	1
OAS3	1.8245273715088517e-5	1.350277294687255e-7	5	2	-0.4732781434662428	1	1
CCM2L	0.03600994170920975	0.00589496470942969	3	1	-0.47158463574404996	1	1
TFB2M	4.547177572573557e-4	0.07986789381071686	6	0	0.4702992189291154	1	1
RTEL1	0.03077788149538606	1	6	0	0.4700498778988885	1	1
AGPS	2.2871468941481896e-14	1.3094627651359055e-5	7	3	-0.4688680624596463	1	1
FILIP1L	0.02861935345917184	0.010826602614936927	4	1	0.46856872817736184	1	1
SMG7	0.03766556800123521	0.6738376927874634	13	0	0.4670430079049701	1	1
RTN4	0.021012277109256152	0.053874885954079264	6	0	0.466393052601058	1	1
MITF	0.0011029935011184148	0.09162252927445833	6	0	-0.4662524605853329	1	1
PPFIBP2	0.009145599535137957	0.0073636673704544015	10	1	0.4638022200598395	1	1
WNK1	2.234003985922438e-19	1.309864313729716e-16	8	2	-0.4631474898358918	1	1
STARD13	7.735623400872373e-6	1.2191353633975997e-5	5	1	0.46207565965972086	1	1
THRB	0.037381543258182166	0.05955550986486688	16	0	0.4620231592200052	1	1
LOC113262635	0.004675375916547711	0.03973553788378229	5	1	0.4619118195140148	1	1
MCTP1	0.0319401416711787	0.04295652606643544	4	1	-0.4600019434686903	1	1
PRTFDC1	0.022230671229531818	0.0022931504627461776	3	2	0.4596690097524184	1	1
LOC113260144	0.04616864113356532	0.16471094605223946	4	0	0.45855188028504035	1	1
DYSF	0.007993721270553507	1	12	0	-0.45675162671502034	1	1
FCHSD1	0.02046500555776724	1	5	0	-0.4558325194499192	1	0.8333333333333334
DGKZ	0.048745925257170836	0.09646912030451991	11	0	0.4531104450009842	1	1
ZBED6CL	0.014158941323018339	1	8	0	0.45273303940047877	1	0.8333333333333334
NDUFV3	0.030502242202950197	0	2	2	-0.4524724524033675	1	1
MPST	0.006100705801283622	0.0010989395323484613	4	1	0.45245667638832754	1	1
ADCY6	0.037381543258182166	0.5740481054200952	8	0	0.4511585361069038	1	0.8333333333333334
OCLN	0.031902927515991934	0.008230501795681945	3	2	0.44977622101137715	1	1
RGN	7.898154889335935e-6	4.640702545784421e-4	6	1	0.44954478661313485	1	1
FAM219A	0.03051055555385539	0.17797326384514042	4	0	0.4494186644648044	1	1
LIMS2	5.752815659117988e-4	0.0052457783164837285	13	2	0.44691783217203357	1	1
CRIM1	0.04323137775735049	0.6524886648033977	7	0	0.4458285254179665	1	1
MEIS1	0.009766812371543518	0.003378526353085192	5	1	-0.445601392223166	1	1
FAM13A	2.010022130281185e-4	7.51059446469201e-4	18	1	0.44548796907900046	1	1
TMEM94	0.03825713202337902	1	7	0	-0.44244011969235414	1	1
EFTUD2	2.3167826670571093e-4	1.2132163648500745e-5	3	2	0.4390379522789649	1	1
ARHGEF10L	0.02087828404773167	0.6113858812098188	7	0	-0.437517149114105	1	1
EMP1	0.033995651519372845	1	5	0	-0.4367014349264606	1	1
SLC27A5	0.0037118589942049503	1	9	0	0.4338000643349747	1	1
WIPF1	0.013124151360663807	0.4958745946841567	4	0	-0.42793266228099985	1	1
LOC113243743	0.0026578457878553437	0.021084068056807632	7	1	0.4278576766231202	1	0.8333333333333334
FXR2	0.016293331237012095	0	2	2	-0.42700420093693575	1	1
TAB3	0.01801217331312517	0.03562058225996329	4	1	0.42486311612982364	1	1
ALKBH3	0.008828763672039733	0.05519543747049988	6	0	0.4246784131605542	1	1
NSFL1C	0.045908213565878785	0.0069233613666651326	3	2	0.4245229380037914	1	1
TC2N	0.008140037253752367	0	2	2	0.4241319947721597	1	1
MKRN2	0.04940058429410948	0.023537702791024018	5	1	0.4226551438461094	1	1
SYNPO2	0.003912884312011195	0.03014213561349376	6	2	0.4218894367542939	1	1
FAM13C	0.045803815147903854	0.049979924254824136	9	1	-0.4215431627800954	1	0.8333333333333334
ANKRD11	0.005465622155763893	0.033242799432091207	3	1	0.42146600588250704	1	1
CFLAR	0.006904201263428345	2.279922914312433e-4	9	1	0.4190323131340605	1	1
TNKS1BP1	7.735623400872373e-6	5.599951633496581e-6	3	2	0.4188750440764948	1	1
IQSEC1	9.479531714963805e-6	0.0024313181284154497	8	2	0.4166888655734689	1	1
TIA1	0.004829424561537054	0.0700925483244579	13	0	-0.4158433789597039	1	1
NR2F2	0.010487452537791835	0.03146307550747621	5	1	-0.41467419765606267	1	1
NSMCE4A	0.004090893033137363	0	2	2	-0.41459977324916397	1	1
C8B	0.0013283757197248148	0.04140031591205759	6	1	0.41457372580364893	1	1
FMO4	3.0777500447191557e-7	0.05882500752196044	10	0	-0.413818439273458	1	0.8333333333333334
SORBS3	0.005691095376551739	0.4228763785627761	12	0	0.4128552944116105	1	1
CUNH17orf58	0.02661224603789771	0.06059653640353727	3	0	0.41270651583428697	1	1
MINDY3	0.03119377006914151	0.0634395114963521	8	0	0.4124744062138759	1	1
FYN	0.0036841230390078626	0.5736621801348268	7	0	0.41231373464196674	1	1
SREBF1	0.0015881395063299427	0.11959529114113915	6	0	0.40971060490805555	1	1
NFATC4	0.03825713202337902	0.669721005756331	6	0	0.40889177037674784	1	0.8333333333333334
MAT1A	0.001556590252521419	3.8519959334328246e-4	10	1	-0.40746384495377036	1	1
APOB	0.04383504545784598	0.10589526234682983	5	0	-0.40683292991428466	0.8333333333333334	0.6666666666666666
LOC113246783	0.018822175971674737	1	3	0	0.4061685466264222	1	1
EPB41	1.7620021963038915e-4	8.656363777390636e-4	10	1	0.40521839293054973	1	1
IL11RA	0.021590683336690515	1	9	0	0.40470902812037346	1	1
LAMA4	0.006799243895538075	0.06838500062404872	12	0	0.4030241791835405	1	1
SPART	0.0012718254794328362	1	10	0	0.40281902353277155	1	1
ZFAND6	0.029349643536750517	0.06088485057384857	7	0	0.40042827163683986	1	1
MYO9A	2.484285579478673e-9	7.91796508143518e-6	7	2	-0.3947697672287494	1	1
PPP1R37	0.03116318843386434	0	2	2	-0.39440507857474605	1	1
SLC39A11	0.002367852617494229	0.5152730603966449	8	0	0.393664291057059	1	1
DOCK6	2.050114750894004e-6	0.2309225425266481	8	0	0.39060647835854884	1	1
ARHGAP29	0.026464787741330743	0.020669010623610717	6	1	0.38950366444617013	1	1
WDR75	8.322107014610889e-8	1.019538218324783e-5	8	2	-0.3893171797457308	1	1
LOC113247645	1.243608950720697e-10	1.095732829467832e-6	8	2	-0.3890572747775898	1	1
MTSS1	8.57006640294337e-6	0.007168701869932896	10	2	0.38897386605566475	1	1
PDLIM7	0.015774011177751405	1	10	0	0.3878167038336666	1	1
TACC1	9.326200351804239e-9	5.181571842859395e-4	9	2	0.38752249856753423	1	1
LOC113241646	0.043568298650748405	1	4	0	-0.38639058624994366	1	1
LOC113240971	0.023474434701033386	1	3	0	-0.3856175870569491	1	0.6666666666666666
CCNH	1.963279998949257e-4	0.07116936273621077	4	0	-0.385537797303049	1	1
MDN1	0.0233578249499044	0.008862652147998595	4	1	0.3848762052636561	1	1
CPN1	1.2442980655768834e-7	1	6	0	-0.38482051128832745	1	0.5
SELENOT	0.004237578087505261	8.055942144802515e-4	5	1	-0.38333165120484525	1	1
SYNCRIP	4.287300276306827e-4	0.14142797051796846	6	0	0.3832208711505166	1	1
CPEB2	0.02607067241290264	0.7585198601192463	8	0	-0.3823610509727291	1	1
ACO1	0.04421138080752903	0.8939952671003069	12	0	0.3822230293884384	1	1
WARS	0.002306589202448906	9.940550419936587e-4	8	1	0.3819072425975958	1	1
CCDC85A	0.030502242202950197	0.2325994911714153	7	0	0.3812723008058005	1	1
LOC113248631	0.01801217331312517	0.7174298597964551	7	0	0.380997055670756	1	1
MCTP2	0.037381543258182166	0.05135387198160406	5	0	-0.3806532497197032	1	1
CNTN4	0.0060036264807759145	0.023009511734909397	3	1	0.3804598638756521	1	1
IL1R1	0.0034180828473457004	4.9638119648198794e-5	8	1	-0.3800134921231818	1	1
TBC1D8	0.008105072669878454	1	5	0	0.3776909150699693	1	1
MMP12	0.035465394751905986	0.012848264496983772	3	2	0.3775323271143616	1	1
ABL2	0.04814442079029876	1	7	0	0.3768244916253244	1	1
USO1	0.019736913741934148	6.557886329209678e-4	7	1	-0.3758088155372408	1	1
PGBD1	0.025875534585769005	0.18601704810054645	6	0	0.37538391281199285	1	1
SLC25A25	3.663301527494372e-8	1.65212127407025e-5	12	1	-0.37403802782648127	1	1
LOC113253457	9.108295222760826e-6	0.05537091909640436	9	0	-0.37372512390603435	1	0.6666666666666666
HSD11B1	5.036144457441488e-4	0.2557959957454164	8	0	0.37305917782304265	1	0.8333333333333334
CRTC3	0.002471943638185185	0.08467497973467464	3	0	0.3727304319033449	1	1
NPNT	0.0012876406369031624	5.199432578591254e-4	5	2	0.37234457375434693	1	1
LAMB3	1.5368407647865077e-4	0.019616007493194056	10	1	0.372217204459137	1	1
ANO6	0.018096474586759937	0.03067831343513532	3	2	0.3714828890381947	1	1
ZNF662	0.008105072669878454	1	7	0	-0.3697855123958092	1	0.8333333333333334
LIMCH1	3.4289902952052514e-33	9.994136747057268e-17	5	3	-0.36973748804939155	1	1
COL12A1	0.0020523770640872275	0.015675936641065147	5	2	-0.36830626260121746	1	1
FAM20B	6.060890274685773e-6	8.256444255107241e-4	5	1	0.3681965944672697	1	1
MPRIP	3.62432938330981e-6	1.4734182349397702e-6	6	2	0.3671276227589214	1	1
KCTD9	0.020335587158137308	0.7162641516958441	9	0	0.3668934212745568	1	1
LDLRAD4	0.038023346955206344	1	9	0	0.3660863196449103	1	1
DENND2D	0.04390105262781659	0.45045877579709004	14	0	0.3650397342326135	1	1
MGRN1	0.014544803157935937	1	6	0	0.36219220661840257	1	1
