gene_ID	gene_qvalue	minimal_tx_qvalue	number_tx	number_significant_tx	max(Adipose-Skin)	pct_gene_expr	max_pct_tx_expr
RPS6KB2	0.03986187714232301	1	12	0	0.2885239342513076	1	1
CSTF1	0.04350790443041635	1	6	0	0.28817778782468084	1	1
GNB4	9.955464490739628e-4	8.123329522552487e-4	4	1	0.28632172181178117	1	1
ELOVL5	0.012913534746750957	1	13	0	0.28475203945268635	1	1
ENAH	0.011970130361255823	0.4377760477712422	4	0	-0.28408751725798337	1	1
SORBS1	0.001820559821681511	1	11	0	0.2836293261903408	1	1
EHBP1	0.0017605184682607012	0.5657607916553541	11	0	-0.2768071263610983	1	1
WDR33	0.008810098368271516	1	5	0	-0.27594659701317653	1	1
LOC113241780	0.025455595615640758	1	4	0	0.27578718671529506	1	1
ACACA	0.029154441002286653	0.08133277145855569	11	0	-0.272393278319279	1	1
ZNF236	0.02419587467845577	1	5	0	0.27226115369351356	1	1
TBC1D23	8.802521509931875e-4	0.0020426056870041834	6	1	-0.27150745855430103	1	1
CBLB	0.0037270457325211557	0.04156214077853363	5	1	0.26989748545456155	1	1
OLFML2B	0.026231585395990936	0.22953966083451588	4	0	-0.26845936805592424	1	1
OLA1	0.010187555772131242	0.45617683822505606	3	0	-0.26797778512447024	1	1
IZUMO1	0.023878089804296686	0.35352503580929107	8	0	-0.2658754957742888	1	1
HEATR5A	0.011795711578220042	0.2392869199579087	9	0	-0.2653636509556657	1	1
AMOTL1	0.0061176206673295205	7.170822853079906e-4	4	1	-0.26454959290687075	1	1
FAM219B	0.035361457153956076	0.00665878774097373	12	1	0.2635060025109398	1	1
ACIN1	0.0283395759825801	0.06710878273549832	12	0	-0.262285246210207	1	1
TEAD1	1.9822939951608253e-4	5.70929163490771e-4	5	1	0.2617584029942193	1	1
NUCB1	0.02384267503696021	4.443107673211054e-4	5	1	0.25970328266146187	1	1
ATL2	0.012745243272910493	1	8	0	0.25873829783836577	1	1
TLN1	1.1595220730176328e-5	2.168372454992996e-5	5	2	0.2583992231538307	1	1
PRELID2	3.61099904830613e-4	0.014357831566416982	6	1	-0.25628568061112234	1	1
SENP5	0.019169522208521653	0.002192869049231339	6	1	-0.25569320063979983	1	1
METTL14	0.007599793184264598	1	8	0	-0.25519551521965894	1	1
DARS	5.211090939264089e-4	0.001371002451305217	5	1	0.25349092089898534	1	1
SEC24C	0.006105489333287623	1	9	0	-0.2515221440424358	1	1
XG	5.868564125903554e-6	9.185325569178351e-4	4	1	-0.25067497665985344	1	1
BRPF1	0.00460216617884123	0.3448302973944876	6	0	-0.25010825985676705	1	1
PQLC1	0.048945417798737186	1	6	0	0.24803796012633772	1	1
CD47	0.031831593271516016	7.538242218996306e-4	8	1	-0.247894051516138	1	1
RBFOX2	0.02419587467845577	0.004031112295635296	7	1	0.24772632268722894	1	1
MIA3	0.02502129008040316	0.7528147252153986	7	0	-0.24630654712044053	1	1
GAA	1.9822939951608253e-4	1	9	0	0.2448229467735284	1	1
FSD1L	0.014792637635197068	1	5	0	0.244537472111203	1	1
VPS13D	0.03713087482245006	1	4	0	0.23994820778262502	1	1
GAB1	0.03820959661671772	1	4	0	-0.23741193052894702	1	1
PPFIBP1	0.025608777648821038	1	5	0	-0.23563410066275325	1	1
SMAD3	0.04013263360515957	1	5	0	0.23326203071570498	1	1
SUOX_RAB5B	0.015656246374436328	1	3	0	-0.23191339418711507	1	1
PLIN2	0.03986187714232301	0.6217004959999236	7	0	0.23113996847278362	1	1
EIF2S2	0.02628180652214635	0.0037702816631558682	3	2	-0.2308532549624256	1	1
LIPN	0.01974682438071734	1	7	0	-0.23028373986878545	1	1
FNBP1	5.944353789110041e-4	0.5250644642632811	9	0	0.23000627674683444	1	1
RBM22	5.3246780767303754e-5	0.4646473677557093	7	0	-0.22987988351064303	1	1
ZNF664	1.1595220730176328e-5	0.010596271846990284	6	1	-0.22640527127284985	1	1
POLG	0.04208324857875183	1	6	0	-0.2253386476138575	1	1
CCDC186	0.03610200296376232	1	4	0	-0.21820026330081702	1	1
ACOX1	0.03924150300272172	0.05294394860938407	7	0	-0.21344935793934494	1	1
HIPK3	0.026231585395990936	4.852224688021118e-4	6	1	0.2122202274430245	1	1
LOC113246261	1.9507380304106586e-4	1	12	0	0.20765251593786777	1	1
MYO18A	0.015427846574684158	1	8	0	0.2060066017424373	1	1
GYG2	0.0070305618971961345	0.27973135069897853	10	0	0.20538353832720244	1	1
MAP4K3	7.645496840067497e-5	0.02143968802706768	4	1	0.2052345219881156	1	1
MYO1C	1.2604185911248304e-7	1	10	0	0.20481123421021466	1	1
TM2D1	0.011970130361255823	0.10940030681334624	11	0	-0.20437089950434847	1	1
ZNF606	1.1595220730176328e-5	1	6	0	0.20383387333226874	1	1
DOCK9	0.008492311100970274	0.4548248255202412	7	0	0.20191768411429134	1	1
TMEM41A	0.031831593271516016	1	12	0	-0.20169248939996565	1	1
TLN2	0.02161258701715714	1	10	0	-0.20093590019433416	1	1
PICALM	1.9822939951608253e-4	0.06132493861789221	8	0	-0.20081013488603594	1	1
DNM2	0.0458354616102777	1	8	0	0.19932880745093634	1	1
SULF1	0.034282163174752966	1	6	0	0.19586235503940017	1	1
PPIP5K2	5.890242752874046e-5	0.4858233466920737	12	0	0.19480606894821717	1	1
EBF1	0.007599793184264598	1	4	0	-0.19444975693671174	1	1
CETN2	0.033459420848223675	1	5	0	0.19105579872114162	1	1
ANKRD27	0.01768326702306052	1	11	0	0.18985986109994424	1	1
PDXDC1	0.02419587467845577	1	7	0	-0.18957745505460033	1	1
FKBP5	0.03591963414421298	1	9	0	-0.18565256356280901	1	1
FBXO21	0.035363108946004994	0.2026447777938061	10	0	-0.18510356469039008	1	1
SHC1	0.03153188163475908	0.9110829002058017	8	0	0.18332746192731542	1	1
RBM6	0.0037912561589371206	1	13	0	-0.18115412279338514	1	1
CTSV	0.009914388291022895	7.523902828436685e-4	3	1	-0.17969876610195656	1	1
TRA2A	0.021876170849899734	1	9	0	0.17097976151495728	1	1
LOC113244307	0.032886156235055024	1	18	0	0.17042438339480892	1	1
MYLK	0.01125430962559702	1	9	0	0.16553351280235098	1	1
LOC113268043	0.02628180652214635	1	13	0	-0.16463271581191521	1	1
UBXN4	0.011970130361255823	1	5	0	-0.15866398767720458	1	1
NRP2	0.033373968004352536	1	5	0	-0.15851098028304877	1	1
DIDO1	0.03820959661671772	1	8	0	0.15674611519818796	1	1
YTHDC1	0.008764334135049524	1	5	0	0.15598394972612595	1	1
PLA2G7	0.012676928916703693	1	8	0	-0.1557597786828645	1	1
BET1L	0.013303460016099238	1	7	0	-0.15385921427174326	1	1
CAST	2.7665721617901543e-17	1	7	0	-0.1505728908364406	1	1
RAPGEF3	0.012676928916703693	1	12	0	-0.1503427495454112	1	1
COL6A3	8.729369463161912e-6	1	7	0	0.1501618283498048	1	1
MBNL1	0.004681684795123052	1	8	0	-0.1493194601832022	1	1
LOC113250851	0.0032989472899150564	1	8	0	0.1473871123590884	1	1
LOC113248431	0.03924150300272172	1	15	0	0.1450895529808514	1	1
WTAP	0.019422432801773696	1	8	0	0.14368761365533478	1	1
ITSN1	0.03713087482245006	0.1390105917470653	10	0	0.13379996740792688	1	1
ELF1	0.03349211686404127	1	6	0	0.13281571242923934	1	1
ZNF250	0.007599793184264598	1	9	0	-0.13254841448829013	1	1
EIF3A	0.026471381749615518	1	3	0	0.12604740428631844	1	1
UAP1	0.04013263360515957	1	9	0	0.1225960407007638	1	1
ZSCAN22	0.042732203753475535	1	6	0	-0.1203923563095363	1	1
DDX6	0.031831593271516016	1	5	0	0.1202613369533922	1	1
JKAMP	0.026231585395990936	1	11	0	-0.11986464112715232	1	1
KPNA4	0.007599793184264598	1	4	0	0.11972260396685369	1	1
CANX	0.020860431188803995	1	6	0	0.1158826628324821	1	1
HSPA4	0.02238614768292355	1	4	0	-0.11402769292620407	1	1
ALDH2	0.0024706431932481035	1	5	0	0.11180597713367892	1	1
PRKAA1	0.0389686507677244	1	4	0	-0.10249013368821083	1	1
LPL	0.021265918690833704	1	4	0	0.09659153304223439	1	1
ATP2B4	0.024153632116604002	1	8	0	0.09224314382082587	1	1
MARK3	0.034807267413351835	1	6	0	-0.09152698379429049	1	1
CIDEA	0.015454021533553568	1	7	0	0.08076333159681917	1	1
ABLIM1	0.03153188163475908	1	5	0	-0.07090175823298617	1	1
