Orthogroup	ailMel.longCDS.prots	ursArc.longCDS.prots
OG0000067	rna-XM_019801732.2	rna39439
OG0000067	rna-XM_034638974.1	rna50740
OG0000068	rna-XM_034649918.1	rna30505
OG0000068	rna-XM_019797283.2	rna30503
OG0000068	rna-XM_019800609.2	rna42228
OG0000068	rna-XM_034649752.1	rna42102
OG0000068	rna-XM_019807464.2	rna30492
OG0000068	rna-XM_011234171.2	rna30491
OG0000069	rna-XM_002929941.3	rna24761
OG0000070	rna-XM_011232699.2	rna53506
OG0000070	rna-XM_002931023.3	rna635
OG0000070	rna-XM_034650688.1	rna53507
OG0000070	rna-XM_011217954.3	rna636, rna53505
OG0000071	rna-XM_011218338.2	rna23723
OG0000071	rna-XM_034653320.1	rna54060
OG0000071	rna-XM_002926914.4	rna23727
OG0000071	rna-XM_034650586.1	rna53919, rna23706
OG0000072	rna-XM_002930341.2, rna-XM_002930339.2	rna17048
OG0000072	rna-XM_011217113.2	rna17051
OG0000072	rna-XM_002930337.4	rna17045, rna17049
OG0000072	rna-XM_002930338.2	rna17046
OG0000072	rna-XM_011217112.3	rna17050
OG0000073	rna-XM_034646283.1, rna-XM_034646377.1	rna53532
OG0000073	rna-XM_034651808.1	rna28981
OG0000073	rna-XM_011217186.2	rna28980
OG0000074	rna-XM_002926878.3	rna53731, rna53734, rna49363, rna49361, rna53733, rna53736, rna49364
OG0000074	rna-XM_002926881.3	rna49369
OG0000075	rna-XM_034672380.1	rna53998
OG0000075	rna-XM_034650274.1	rna53702
OG0000075	rna-XM_034650343.1	rna53997
OG0000075	rna-XM_034650286.1	rna53701, rna53705, rna44227
OG0000077	rna-XM_034654611.1	rna95, rna91
OG0000077	rna-XM_034653924.1, rna-XM_034649716.1	rna84
OG0000077	rna-XM_034650335.1	rna94
OG0000077	rna-XM_034650574.1	rna54474, rna54473
OG0000078	rna-XM_002930878.3	rna53156
OG0000078	rna-XM_002930877.1	rna53158
OG0000078	rna-XM_034644823.1	rna53159
OG0000078	rna-XM_034646554.1	rna53160
OG0000078	rna-XM_034646605.1	rna53161
OG0000078	rna-XM_002930879.2	rna53157
OG0000079	rna-XM_034650092.1	rna36166
OG0000079	rna-XM_034653229.1	rna36167
OG0000079	rna-XM_002926094.4, rna-XM_034667604.1	rna52211, rna36164
OG0000079	rna-XM_002928582.1	rna36163
OG0000079	rna-XM_002928571.2	rna36162
OG0000080	rna-XM_034654784.1	rna6351
OG0000080	rna-XM_011229264.3	rna24357
OG0000080	rna-XM_034645486.1	rna17092
OG0000081	rna-XM_034645322.1	rna17241
OG0000081	rna-XM_002930972.4	rna17243
OG0000081	rna-XM_034651744.1, rna-XM_034651421.1	rna53936
OG0000081	rna-XM_034645785.1	rna17244
OG0000081	rna-XM_034645784.1	rna53935
OG0000082	rna-XM_034670228.1	rna33422
OG0000082	rna-XM_034670262.1	rna33356
OG0000082	rna-XM_034670623.1	rna47656
OG0000082	rna-XM_034646947.1	rna39525
OG0000082	rna-XM_034647203.1, rna-XM_034651651.1	rna39521
OG0000083	rna-XM_034666477.1	rna52164
OG0000083	rna-XM_002924987.4	rna52163
OG0000083	rna-XM_002931185.4	rna52168
OG0000084	rna-XM_002926852.4	rna49359
OG0000084	rna-XM_011234340.2	rna49360
OG0000084	rna-XM_002926865.2	rna49351
OG0000085	rna-XM_034653427.1, rna-XM_034652811.1	rna53305
OG0000085	rna-XM_011217839.1	rna53306
OG0000085	rna-XM_034653430.1	rna53312
OG0000086	rna-XM_034653842.1, rna-XM_034653843.1	rna12390
OG0000086	rna-XM_002930367.4	rna12395
OG0000086	rna-XM_002930364.4	rna12393
OG0000086	rna-XM_011222974.3	rna12396
OG0000087	rna-XM_019808677.2	rna50602
OG0000087	rna-XM_019808666.2	rna50604
OG0000087	rna-XM_011235184.3	rna50599
OG0000088	rna-XM_034647604.1	rna24965
OG0000088	rna-XM_034650632.1, rna-XM_034652292.1, rna-XM_034650580.1, rna-XM_034652822.1, rna-XM_034650599.1, rna-XM_034651012.1	rna39894
OG0000088	rna-XM_034652730.1, rna-XM_034652637.1, rna-XM_034652704.1	rna40670
OG0000089	rna-XM_034642571.1	rna32907
OG0000089	rna-XM_034667189.1	rna23490
OG0000091	rna-XM_002923247.4	rna17216
OG0000091	rna-XM_034645559.1	rna17245
OG0000092	rna-XM_034647810.1, rna-XM_019794440.2	rna23497
OG0000092	rna-XM_034644934.1	rna45338
OG0000092	rna-XM_034667628.1	rna25987
OG0000092	rna-XM_002922393.4	rna25988
OG0000092	rna-XM_034663574.1	rna19864
OG0000093	rna-XM_011217898.3	rna49208, rna49131
OG0000093	rna-XM_011222266.3	rna25512
OG0000093	rna-XM_019796911.2	rna45386
OG0000093	rna-XM_034648060.1	rna23570
OG0000093	rna-XM_002926735.4	rna32910
OG0000094	id-LOC105240710	id45717
OG0000095	rna-XM_034652813.1	rna15693
OG0000095	rna-XM_002930822.3	rna15684, rna54155, rna54164, rna54165
OG0000095	rna-XM_011218265.2	rna53261, rna15696, rna15698, rna53865, rna15685, rna15686, rna15687
OG0000095	rna-XM_034643067.1	rna15690
OG0000095	rna-XM_011217814.2	rna15689
OG0000096	rna-XM_002918229.4	rna2196
OG0000096	rna-XM_011224218.3	rna6207
OG0000096	rna-XM_011224217.3	rna6208
OG0000096	rna-XM_011226315.3	rna17482
OG0000096	rna-XM_034640604.1	rna30382
OG0000097	rna-XM_034652958.1, rna-XM_019799082.2	rna38290
OG0000097	rna-XM_011237023.3	rna39206
OG0000097	rna-XM_034650314.1, rna-XM_002922227.3	rna18128
OG0000098	rna-XM_002929980.2	rna49291, rna54059, rna54047, rna49300, rna54406, rna54407, rna53928, rna53882, rna49299, rna49296, rna49293, rna54308, rna49304, rna49303, rna49297, rna49306, rna49302, rna53749, rna53758, rna49287, rna49294, rna49288, rna53750, rna53759
OG0000099	rna-XM_002923031.3	rna20571
OG0000099	rna-XM_002923023.2	rna20574
OG0000099	rna-XM_002923022.3	rna54374
OG0000099	rna-XM_011229642.2, rna-XM_011229644.3	rna20572, rna20575, rna20573
OG0000101	rna-XM_034641930.1	rna19184
OG0000101	rna-XM_034668382.1, rna-XM_034651210.1, rna-XM_034653238.1	rna9989
OG0000101	rna-XM_034653535.1, rna-XM_034651779.1, rna-XM_034650227.1, rna-XM_034649850.1	rna34458
OG0000102	rna-XM_034645293.1	rna50089
OG0000103	rna-XM_002912520.4	rna27743
OG0000103	rna-XM_002917015.4	rna25206
OG0000103	rna-XM_002912519.2	rna27742
OG0000103	rna-XM_002927241.4	rna49862
OG0000103	rna-XM_019802399.2	rna26925
OG0000104	rna-XM_002929093.4	rna16811
OG0000104	rna-XM_034645916.1	rna18273
OG0000104	rna-XM_019793751.2	rna18278
OG0000104	rna-XM_034649988.1, rna-XM_034651311.1, rna-XM_034652634.1, rna-XM_034658832.1	rna16904
OG0000106	id-LOC117798844	id591311
OG0000106	id-LOC117798737	id581872
OG0000106	id-LOC109488358	id581875
OG0000106	id-LOC117798617	id588979, id589680
OG0000106	id-LOC117798776	id587022, id581866
OG0000106	id-LOC117798537, id-LOC117798759	id592085
OG0000107	rna-NM_001304846.1	rna18178
OG0000107	rna-XM_034638851.1	rna14268, rna24580
OG0000108	rna-XM_034667951.1	rna27031
OG0000108	rna-XM_034653030.1	rna37091
OG0000108	rna-XM_002913054.4	rna32466
OG0000108	rna-XM_002914936.4	rna22085
OG0000108	rna-XM_034660919.1	rna36784
OG0000109	rna-XM_002929790.4	rna26471
OG0000109	rna-XM_034649928.1	rna40680
OG0000109	rna-XM_034655998.1	rna24242
OG0000109	rna-XM_034658903.1	rna5119
OG0000109	rna-XM_019806489.2	rna33700
OG0000110	rna-XM_002928526.4	rna28163
OG0000110	rna-XM_002928550.4	rna53631
OG0000110	rna-XM_019809269.2	rna28158
OG0000110	rna-XM_002927084.4	rna27991
OG0000110	rna-XM_011236409.3	rna28179
OG0000111	rna-XM_002912448.4	rna1533
OG0000111	rna-XM_002927300.4	rna33961
OG0000111	rna-XM_011231236.3	rna38454
OG0000111	rna-XM_034652091.1	rna18137
OG0000112	rna-XM_002931351.2	rna53421
OG0000112	rna-XM_034648664.1, rna-XM_034648665.1	rna53309, rna53345
OG0000114	rna-XM_034641590.1	rna19102
OG0000114	rna-XM_034642280.1	rna10440
OG0000114	rna-XM_034669107.1	rna20524
OG0000114	rna-XM_034650399.1	rna19101
OG0000114	rna-XM_034650079.1, rna-XM_034645122.1, rna-XM_019810249.2	rna34764
OG0000115	rna-XM_034665569.1	rna21957
OG0000115	rna-XM_034651827.1	rna52865, rna52777
OG0000115	rna-XM_034657364.1	rna42858
OG0000115	rna-XM_019798266.2	rna12298
OG0000116	rna-XM_034642336.1	rna49244, rna49169
OG0000116	rna-XM_034645430.1	rna45177
OG0000116	rna-XM_002914046.4	rna4694
OG0000116	rna-XM_034639013.1	rna44345
OG0000117	rna-XM_002915055.4	rna39773
OG0000117	rna-XM_034653189.1, rna-XM_002930093.4	rna45727
OG0000117	rna-XM_034658820.1	rna4187
OG0000118	rna-XM_034650748.1	rna54214, rna54213
OG0000118	rna-XM_002929402.2	rna35491
OG0000119	rna-XM_034665613.1	rna36085
OG0000119	rna-XM_002931089.2	rna36080
OG0000119	rna-XM_034650087.1	rna36081
OG0000119	rna-XM_034650110.1	rna54357, rna54358, rna36084, rna36093
OG0000120	rna-XM_011217730.3	rna36040
OG0000120	rna-XM_011218027.2	rna36041
OG0000120	rna-XM_002930850.3	rna36037
OG0000120	rna-XM_002930852.2	rna36039
OG0000120	rna-XM_002930851.3	rna36038
OG0000122	rna-XM_034670157.1	rna33526
OG0000122	rna-XM_034652876.1, rna-XM_034652867.1, rna-XM_034652866.1, rna-XM_034652794.1, rna-XM_034652872.1, rna-XM_034652574.1, rna-XM_034650752.1, rna-XM_034652205.1, rna-XM_034650541.1, rna-XM_034652803.1, rna-XM_002912326.4	rna35821
OG0000123	rna-XM_011222248.3	rna28669
OG0000123	rna-XM_002913321.4	rna34852
OG0000123	rna-XM_034639960.1	rna19033
OG0000123	rna-XM_034642471.1	rna10529
OG0000124	rna-XM_019804216.2	rna12707
OG0000124	rna-XM_034656261.1	rna13983
OG0000124	rna-XM_011222201.3	rna15850
OG0000124	rna-XM_034657764.1	rna43442
OG0000125	rna-XM_002925838.4	rna44458
OG0000125	rna-XM_034642784.1	rna38016
OG0000125	rna-XM_034645217.1	rna45197
OG0000125	rna-XM_002928596.4	rna19645
OG0000126	rna-XM_034661217.1	rna42011
OG0000126	rna-XM_034639210.1	rna9250
OG0000126	rna-XM_034641039.1	rna19246
OG0000126	rna-XM_034637793.1	rna22607
OG0000127	rna-XM_034648895.1	rna48024
OG0000127	rna-XM_034649473.1	rna39849
