Orthogroup	ailMel.longCDS.prots	ursMar.longCDS.prots
OG0000018	rna-XM_002929136.4	rna33297
OG0000018	rna-XM_019809817.2	rna33296
OG0000018	rna-XM_011237719.2	rna33289
OG0000018	rna-XM_034653321.1	rna32909
OG0000018	rna-XM_011234385.2	rna32906
OG0000018	rna-XM_011237132.2	rna32901, rna32864
OG0000019	rna-XM_002930584.4, rna-XM_002930586.4	rna32549, rna32547
OG0000019	rna-XM_002930589.3	rna32546
OG0000019	rna-XM_002931130.2	rna33764, rna33767
OG0000019	rna-XM_034653121.1	rna33757, rna33765
OG0000019	rna-XM_002930588.1	rna32554
OG0000019	rna-XM_011217418.3	rna32550, rna32551, rna32552
OG0000020	rna-XM_002928225.4	rna15377
OG0000020	rna-XM_002928232.4	rna15376
OG0000020	rna-XM_011229262.2	rna15367
OG0000020	rna-XM_002922702.2	rna15368
OG0000020	rna-XM_002930995.2	rna15373
OG0000020	rna-XM_002930993.3	rna15372
OG0000020	rna-XM_034651828.1, rna-XM_002928233.2	rna15369, rna15370
OG0000020	rna-XM_002930996.1	rna15374
OG0000020	rna-XM_002930997.4	rna15375, rna15371
OG0000021	rna-XM_002929574.4	rna30780
OG0000021	rna-XM_034663707.1	rna30779
OG0000021	rna-XM_002918886.2	rna30657
OG0000021	rna-XM_019799304.2	rna30656
OG0000021	rna-XM_034663705.1, rna-XM_019799301.2	rna32669, rna16492
OG0000021	rna-XM_011237621.3	rna30785
OG0000021	rna-XM_034663708.1	rna30781
OG0000022	rna-XM_034639175.1	rna4317
OG0000022	rna-XM_034650395.1	rna23716
OG0000022	rna-XM_034639191.1	rna23713
OG0000022	rna-XM_034639072.1, rna-XM_034639071.1	rna23718
OG0000022	rna-XM_034650316.1	rna23730
OG0000023	id-LOC105235235, id-LOC117797938, id-LOC117797786, id-LOC117797812, id-LOC117798016, id-LOC117798015, id-LOC117800354	gene26562
OG0000023	id-LOC117797799	gene26560
OG0000024	rna-XM_002930630.3	rna23003
OG0000024	rna-XM_002930631.2	rna23001
OG0000024	rna-XM_019793192.2	rna23008, rna23012, rna23014
OG0000024	rna-XM_034645999.1	rna22986, rna22979
OG0000025	id-LOC105240638	gene19084, gene19083
OG0000025	id-LOC105234960	gene19081
OG0000025	rna-XM_034665944.1	gene19078
OG0000025	rna-XM_034665897.1	gene19075
OG0000025	id-LOC109488455	gene19074
OG0000025	id-LOC105234544	gene19080
OG0000025	id-LOC109488456	gene19077
OG0000025	id-LOC117795072	rna25870
OG0000026	rna-XM_019808319.2	rna18740
OG0000026	rna-XM_019799401.2	rna26051
OG0000026	rna-XM_034643547.1	rna6197
OG0000026	rna-XM_034641543.1	rna15050
OG0000026	rna-XM_034647281.1	rna8247
OG0000026	rna-XM_034659452.1	rna22059
OG0000026	rna-XM_034667630.1	rna1701
OG0000026	rna-XM_034642450.1	rna7337
OG0000026	rna-XM_034658502.1	rna25967
OG0000027	rna-XM_034667730.1	rna32565
OG0000027	rna-XM_002926087.4	rna32564
OG0000027	rna-XM_034667616.1	rna32563
OG0000027	rna-XM_019794055.2	rna32559
OG0000027	rna-XM_034652629.1, rna-XM_002930581.3	rna32558
OG0000027	rna-XM_011217419.3	rna32557
OG0000027	rna-XM_002930582.2	rna32556
OG0000027	rna-XM_002930587.4	rna32555
OG0000028	rna-XM_019802703.2	rna23331
OG0000028	rna-XM_034641051.1	rna23332
OG0000028	rna-XM_002922160.4	rna23334
OG0000028	rna-XM_034652696.1, rna-XM_034639721.1	rna1053
OG0000028	rna-XM_034640779.1, rna-XM_034640778.1	rna23336
OG0000028	rna-XM_002922114.4	rna23335
OG0000029	rna-XM_002930847.3	rna26929
OG0000029	rna-XM_002927215.3	rna26934
OG0000029	rna-XM_002927219.2	rna26931
OG0000029	rna-XM_002927216.2	rna26932
OG0000029	rna-XM_002927214.4	rna26936
OG0000029	rna-XM_002927208.2	rna26933
OG0000029	rna-XM_002930846.2, rna-XM_034644782.1	rna26928
OG0000029	rna-XM_002929995.3	rna26926
OG0000029	rna-XM_011216694.3	rna26927
OG0000029	rna-XM_002927218.2	rna33120
OG0000030	rna-XM_034650186.1	rna33278
OG0000030	rna-XM_002926085.4, rna-XM_011217984.2	rna32633
OG0000030	rna-XM_002931045.2	rna32630
OG0000030	rna-XM_034650187.1	rna33276, rna34706
OG0000030	rna-XM_002931189.2	rna33280
OG0000030	rna-XM_002931242.4, rna-XM_034650891.1	rna33796
OG0000030	rna-XM_011218101.2	rna33277
OG0000030	rna-XM_002931190.2	rna33279
OG0000031	rna-XM_002930608.4	rna29065, rna29066, rna32972
OG0000031	rna-XM_034657195.1	rna32971
OG0000031	rna-XM_002930607.4	rna29064
OG0000031	rna-XM_034657197.1	rna32970
OG0000031	rna-XM_019793538.2	rna29063
OG0000031	rna-XM_002930606.4	rna29068
OG0000031	rna-XM_002930716.3	rna29061
OG0000031	rna-XM_002930605.4	rna29067
OG0000032	rna-XM_002931096.4	rna34705
OG0000032	rna-XM_034653438.1, rna-XM_034653407.1, rna-XM_002931337.4, rna-XM_034650212.1, rna-XM_034653405.1, rna-XM_034653406.1, rna-XM_034653392.1	rna36061, rna34700, rna34703
OG0000032	rna-XM_034653441.1	rna34702, rna14151
OG0000032	rna-XM_002930755.3	rna35166
OG0000033	rna-XM_034642847.1	rna2802
OG0000033	rna-XM_019802760.2	rna10356
OG0000033	rna-XM_034657064.1	rna13652
OG0000033	rna-XM_002917048.2	rna13649
OG0000033	rna-XM_002919906.4	rna13648
OG0000033	rna-XM_034657062.1	rna13650
OG0000033	rna-XM_002924875.4	rna2765
OG0000033	rna-XM_034641584.1	rna19735
OG0000034	rna-XM_034660159.1, rna-XM_034651690.1	rna33150
OG0000034	rna-XM_002931255.4	rna24521
OG0000034	rna-XM_002930302.1	rna24518
OG0000034	rna-XM_002930301.3	rna24517
OG0000034	rna-XM_002930300.3	rna24516
OG0000034	rna-XM_002930303.2	rna32969
OG0000034	rna-XM_011218319.2	rna24519
OG0000034	rna-XM_011217079.3	rna24515
OG0000034	rna-XM_002930299.2	rna24514
OG0000034	rna-XM_011217953.2	rna24520, rna32968
OG0000035	rna-XM_002921817.2	rna18841
OG0000035	rna-XM_034653915.1	rna18838
OG0000035	rna-XM_002921829.4	rna18839
OG0000035	rna-XM_002921827.4	rna18836
OG0000035	rna-XM_034648599.1	rna18833
OG0000035	rna-XM_034648651.1	rna18832
OG0000035	rna-XM_002929133.2	rna18834
OG0000035	rna-XM_002921816.2	rna18840
OG0000036	rna-XM_034651676.1	rna32695
OG0000036	rna-XM_019804162.2	rna19324
OG0000036	rna-XM_034667301.1	rna22713
OG0000036	rna-XM_034667296.1	rna22712
OG0000036	rna-XM_034664929.1	rna12872
OG0000036	rna-XM_034638257.1	rna35253
OG0000037	id-LOC105234852	gene20013
OG0000037	id-LOC105235063	gene20015
OG0000037	id-LOC117797993	gene20017
OG0000038	rna-XM_011216996.2	rna22990
OG0000038	rna-XM_019793062.1	rna22991
OG0000038	rna-XM_034646065.1	rna22992
OG0000038	rna-XM_034646064.1	rna22994
OG0000038	rna-XM_034646613.1	rna23000
OG0000038	rna-XM_034645874.1	rna22998
OG0000038	rna-XM_034650404.1	rna22999
OG0000038	rna-XM_034646538.1	rna22993
OG0000038	rna-XM_034653136.1	rna22996
OG0000038	rna-XM_019793643.2	rna22995
OG0000039	rna-XM_034651468.1, rna-XM_034652149.1, rna-XM_034651913.1, rna-XM_034651917.1, rna-XM_034641559.1	rna102, rna32764
OG0000039	rna-XM_034652439.1	rna28497
OG0000039	rna-XM_034662592.1	rna28925
OG0000039	rna-XM_034652899.1, rna-XM_002913271.4	rna15901
OG0000039	rna-XM_034651557.1, rna-XM_034651560.1, rna-XM_034651456.1, rna-XM_034652425.1, rna-XM_034650499.1, rna-XM_034651670.1, rna-XM_034651746.1, rna-XM_034650853.1	rna8307
OG0000040	rna-XM_034654035.1	rna26518
OG0000040	rna-XM_011223692.3	rna5940
OG0000040	rna-XM_002919208.4	rna26519
OG0000040	rna-XM_002920527.4	rna26134
OG0000040	rna-XM_002918261.4	rna5944
OG0000040	rna-XM_011231771.3	rna24841
OG0000040	rna-XM_034650939.1, rna-XM_011226623.3	rna26132
OG0000041	rna-XM_034645235.1, rna-XM_034654505.1, rna-XM_034651363.1	rna6863
OG0000041	rna-XM_002928987.4	rna14159
OG0000041	rna-XM_011233500.3	rna6862
OG0000041	rna-XM_002915119.4	rna8737
OG0000041	rna-XM_011233514.3	rna6861
OG0000042	rna-XM_034643019.1	rna2466
OG0000042	rna-XM_011216931.3, rna-XM_034652303.1, rna-XM_034652085.1, rna-XM_034672111.1, rna-XM_034650288.1, rna-XM_034651989.1, rna-XM_034652683.1, rna-XM_034650510.1	rna10433
OG0000042	rna-XM_019793821.2	rna35016
OG0000042	rna-XM_002931069.4	rna35015, rna35014
OG0000043	rna-XM_002930259.2, rna-XM_034653250.1	rna33287, rna33291
OG0000043	rna-XM_002930261.2	rna32960
OG0000043	rna-XM_002930260.4	rna32959, rna35725
OG0000043	rna-XM_019793089.2	rna33286
OG0000043	rna-XM_002929677.2	rna33288
OG0000043	rna-XM_011237720.3	rna33292
OG0000046	rna-XM_011217598.3	rna22777
OG0000046	rna-XM_034667338.1	rna22783, rna22784, rna22785
OG0000046	rna-XM_034667340.1	rna22792
OG0000046	rna-XM_034667335.1	rna22790
OG0000046	rna-XM_034667339.1	rna22788
OG0000046	rna-XM_019793557.2	rna22778
OG0000046	rna-XM_019793558.2	rna22781
OG0000047	rna-XM_002927275.4	rna22737, rna22735, rna22739
OG0000047	rna-XM_011234811.3	rna22734
OG0000047	rna-XM_002930742.4, rna-XM_034667681.1	rna22775
OG0000047	rna-XM_011237480.3	rna22732
OG0000048	rna-XM_034650367.1	rna10147
OG0000048	rna-XM_011217727.2	rna10143
OG0000048	rna-XM_034668363.1	rna10140
OG0000048	rna-XM_019793614.2	rna10144
OG0000048	rna-XM_034650851.1, rna-XM_034650336.1	rna10148
OG0000048	rna-XM_034651954.1, rna-XM_034664280.1	rna10138
OG0000048	rna-XM_034650312.1	rna10139
OG0000049	rna-XM_002930914.2	rna35739
OG0000049	rna-XM_002931217.2	rna35734, rna35737
OG0000049	rna-XM_034653263.1	rna35736
OG0000049	rna-XM_034653274.1	rna35733
OG0000049	rna-XM_002929840.2	rna35726, rna35727
OG0000050	rna-XM_011228336.2	rna27999
OG0000050	rna-XM_002921919.4	rna27997
OG0000050	rna-XM_034657224.1	rna27998
OG0000050	rna-XM_002921920.4	rna27996
OG0000050	rna-XM_002921921.4	rna27995
OG0000050	rna-XM_002921925.4	rna27991
OG0000050	rna-XM_002921926.4	rna27990
OG0000050	rna-XM_002921922.4	rna27992, rna27994
OG0000051	rna-XM_034648398.1	rna23323
OG0000051	rna-XM_034641239.1	rna23321
OG0000051	rna-XM_034641240.1	rna23320
OG0000051	rna-XM_034648682.1	rna23322
OG0000051	rna-XM_002922111.4	rna23328
OG0000051	rna-XM_002922113.4	rna23330
OG0000051	rna-XM_002922112.4	rna23329
OG0000052	rna-XM_019805397.2	rna29222
OG0000052	rna-XM_034639499.1	rna29220
OG0000052	rna-XM_034650411.1, rna-XM_019807812.2	rna29119
OG0000053	rna-XM_034660461.1, rna-XM_034660207.1	rna13906
OG0000053	rna-XM_034653156.1	rna22997
OG0000053	rna-NM_001304845.1	rna32958
OG0000054	rna-XM_034656137.1	rna12305
OG0000054	rna-XM_034653093.1	rna12309
OG0000054	rna-XM_034655628.1, rna-XM_034653092.1	rna12307
OG0000054	rna-XM_034656135.1	rna12304
OG0000055	rna-XM_034663715.1, rna-XM_002930671.2	rna20631
OG0000055	rna-XM_011217520.3	rna20630
OG0000055	rna-XM_019793497.2	rna20635
OG0000055	rna-XM_002931256.2	rna20636
OG0000055	rna-XM_002931317.4	rna20638
OG0000055	rna-XM_034664456.1	rna20629
OG0000056	rna-XM_034666171.1, rna-XM_034650117.1	rna32560, rna32561
OG0000056	rna-XM_034666107.1	rna32562
OG0000056	rna-XM_002925001.2, rna-XM_034666476.1, rna-XM_034651771.1, rna-XM_002924997.2	rna34055
OG0000056	rna-XM_002924985.4	rna34054
OG0000056	rna-XM_002924998.4	rna34056
OG0000057	rna-XM_019793500.2	rna20628
OG0000057	rna-XM_034653272.1	rna20639
OG0000057	rna-XM_002915958.4	rna20637, rna20640
OG0000057	rna-XM_002915959.2	rna20641
OG0000057	rna-XM_002930725.3	rna20619
OG0000057	rna-XM_002930728.3	rna20618
OG0000058	rna-XM_002926106.4, rna-XM_034667610.1	rna32619
OG0000058	rna-XM_002926105.4	rna32618
OG0000058	rna-XM_002926107.1	rna32620
OG0000058	rna-XM_011233431.2	rna32621
OG0000058	rna-XM_002926082.2	rna32622
OG0000058	rna-XM_002926083.3	rna32623
OG0000059	rna-XM_034639057.1	rna4320, rna23728, rna4318, rna4321
OG0000059	rna-XM_034639067.1, rna-XM_034638125.1	rna23729
OG0000059	rna-XM_034650371.1, rna-XM_034650262.1, rna-XM_019793917.2	rna23727
OG0000059	rna-XM_034639104.1	rna23723, rna23719
OG0000059	rna-XM_011218170.2	rna23714, rna23715, rna23717
OG0000060	rna-XM_002931011.2	rna33748
OG0000060	rna-XM_002931213.4	rna33747
OG0000060	rna-XM_002928570.2	rna33736
OG0000060	rna-XM_034666461.1	rna33758
OG0000060	rna-XM_034650104.1	rna33752
OG0000060	rna-XM_002931013.4	rna33759, rna33751
OG0000061	rna-XM_002930731.4	rna33293
OG0000062	rna-XM_002926072.4, rna-XM_034667722.1	rna32595, rna32593
OG0000062	rna-XM_002926097.2	rna32591
OG0000062	rna-XM_034666467.1	rna32574
OG0000062	rna-XM_011233415.1	rna32575
OG0000062	rna-XM_002926100.4	rna32594
OG0000063	id-LOC109488739	gene24367
OG0000065	rna-XM_011236154.3	rna26552
OG0000065	rna-XM_002920437.4	rna35610
OG0000065	rna-XM_002928302.3	rna26555
OG0000065	rna-XM_002920436.4	rna35609
OG0000065	rna-XM_034638981.1	rna4126
OG0000065	rna-XM_011226481.3	rna32317
OG0000066	rna-XM_034665468.1	rna4538
OG0000066	rna-XM_002925583.4	rna32292
OG0000066	rna-XM_034642590.1	rna11035
OG0000066	rna-XM_034655281.1	rna11036
OG0000066	rna-XM_034650007.1	rna18754
OG0000066	rna-XM_034665466.1	rna4536
OG0000067	rna-XM_011218801.3	rna28172
OG0000067	rna-XM_034670322.1	rna18595
OG0000067	rna-XM_019801732.2	rna8202
OG0000067	rna-XM_034638974.1	rna4192
OG0000068	rna-XM_034649918.1	rna17875
OG0000068	rna-XM_019797283.2	rna17873
OG0000068	rna-XM_034649752.1	rna17861
OG0000068	rna-XM_019807464.2	rna17867
OG0000068	rna-XM_011234171.2	rna17866
OG0000069	rna-XM_002929941.3	rna28761
OG0000070	rna-XM_011232699.2	rna24100, rna10151
OG0000070	rna-XM_002931023.3	rna10152, rna10149
OG0000070	rna-XM_019793613.2	rna10142, rna10145
OG0000070	rna-XM_034650688.1	rna10153
OG0000070	rna-XM_011217954.3	rna10146, rna10150, rna10154
OG0000071	rna-XM_011218338.2	rna32905
OG0000071	rna-XM_034653320.1	rna32907, rna32904
OG0000071	rna-XM_002926914.4	rna32900
OG0000071	rna-XM_034650586.1	rna33081, rna33080, rna33079, rna33082
OG0000072	rna-XM_002930341.2, rna-XM_002930339.2	rna34722
OG0000072	rna-XM_011217113.2	rna34725
OG0000072	rna-XM_002930337.4	rna34723, rna34719
OG0000072	rna-XM_002930338.2	rna34720
OG0000072	rna-XM_011217112.3	rna34724
OG0000073	rna-XM_011217181.3	rna23010
OG0000073	rna-XM_034646283.1, rna-XM_034646377.1	rna23005
OG0000073	rna-XM_034651808.1	rna23013, rna23016
OG0000073	rna-XM_034644807.1, rna-XM_034651354.1	rna23004
OG0000073	rna-XM_011217186.2	rna23011, rna23015
OG0000074	rna-XM_002926878.3	rna15271, rna15277, rna15275, rna15273, rna15278
OG0000074	rna-XM_002926881.3	rna15283
OG0000075	rna-XM_034672380.1	rna3892
OG0000075	rna-XM_034672383.1	rna32710, rna32708, rna32706
OG0000075	rna-XM_034650379.1	rna32709
OG0000075	rna-XM_034650274.1	rna3890
OG0000075	rna-XM_034650343.1	rna3891
OG0000076	rna-XM_002930898.3	rna17616
OG0000076	rna-XM_002930899.3	rna17617
OG0000076	rna-XM_011218067.2	rna17619
OG0000076	rna-XM_019793857.2	rna17615
OG0000076	rna-XM_002931117.3, rna-XM_034661799.1	rna17614
OG0000076	rna-XM_002930897.3	rna17621
OG0000076	rna-XM_034650402.1, rna-XM_034651274.1	rna17620, rna17623
OG0000076	rna-XM_034663551.1	rna17622
OG0000077	rna-XM_034654611.1	rna33197
OG0000077	rna-XM_034653924.1, rna-XM_034649716.1, rna-XM_034650335.1	rna33199
OG0000078	rna-XM_002930878.3	rna15400
OG0000078	rna-XM_002930877.1	rna15402
OG0000078	rna-XM_034644823.1	rna15403
OG0000078	rna-XM_034646554.1	rna15404
OG0000078	rna-XM_034646605.1	rna15405
OG0000078	rna-XM_002930879.2	rna15401
OG0000079	rna-XM_034650092.1	rna30065
OG0000079	rna-XM_034653229.1	rna30066
OG0000079	rna-XM_002926094.4, rna-XM_034667604.1	rna32587, rna30063
OG0000079	rna-XM_002928582.1	rna30062
OG0000079	rna-XM_002928571.2	rna30061
OG0000080	rna-XM_034654784.1	rna7184
OG0000080	rna-XM_034645486.1	rna27183
OG0000080	rna-XM_034645564.1, rna-XM_034661816.1, rna-XM_019809931.2	rna3807
OG0000081	rna-XM_034645322.1	rna27067
OG0000081	rna-XM_002930972.4	rna27066
OG0000081	rna-XM_034645784.1	rna27065
OG0000082	rna-XM_034670228.1	rna4801
OG0000082	rna-XM_034670262.1	rna18691
OG0000082	rna-XM_034670623.1	rna18267
OG0000082	rna-XM_034647203.1	rna8254, rna8257
OG0000082	rna-XM_034651651.1	rna32310
OG0000084	rna-XM_002926852.4	rna15265
OG0000084	rna-XM_011234340.2	rna15270
OG0000084	rna-XM_002926865.2	rna15255
OG0000084	rna-XM_002926873.2, rna-XM_011234347.3	rna15269
OG0000085	rna-XM_034653427.1, rna-XM_034652811.1	rna36080, rna36070
OG0000085	rna-XM_011217839.1	rna36071
OG0000085	rna-XM_034653430.1	rna36081, rna32996
OG0000086	rna-XM_034653842.1, rna-XM_034653843.1	rna11215
OG0000086	rna-XM_002930367.4	rna11222
OG0000086	rna-XM_034653832.1	rna11223
OG0000086	rna-XM_002930364.4	rna11220
OG0000086	rna-XM_011222974.3	rna11224
OG0000087	rna-XM_019808677.2	rna4292
OG0000087	rna-XM_019808666.2	rna4290
OG0000087	rna-XM_034639122.1	rna4293
OG0000087	rna-XM_011235184.3	rna4297
OG0000087	rna-XM_034639111.1	rna4286
OG0000088	rna-XM_011229078.3	rna29722
OG0000088	rna-XM_034651687.1	rna33511
OG0000088	rna-XM_019801319.2	rna15446
OG0000089	rna-XM_034642571.1	rna36261
OG0000089	rna-XM_034667189.1	rna12631
OG0000090	rna-XM_034646508.1, rna-XM_034650555.1	rna36030
OG0000090	rna-XM_002930685.3, rna-XM_034653232.1	rna36032, rna11495
OG0000090	rna-XM_002930823.3	rna32364, rna31210
OG0000090	rna-XM_019793758.2	rna31211, rna31212, rna32956, rna36026, rna36028, rna36027, rna36025, rna33002, rna33003, rna36029, rna35070, rna35072, rna33552
OG0000091	rna-XM_034652943.1, rna-XM_002923247.4	rna27091
OG0000091	rna-XM_034645559.1	rna27060
OG0000092	rna-XM_034647810.1, rna-XM_019794440.2	rna12642
OG0000092	rna-XM_034644934.1	rna31987
OG0000092	rna-XM_034667628.1	rna1716
OG0000092	rna-XM_002922393.4	rna1714
OG0000092	rna-XM_034663574.1	rna9975
OG0000093	rna-XM_011217898.3	rna2486
OG0000093	rna-XM_011222266.3	rna23254
OG0000093	rna-XM_019796911.2	rna31957
OG0000093	rna-XM_034648060.1	rna12690
OG0000093	rna-XM_002926735.4	rna36263
OG0000094	id-LOC105240710	gene16288
OG0000096	rna-XM_002918229.4	rna6054
OG0000096	rna-XM_011224218.3	rna7283
OG0000096	rna-XM_011224217.3	rna7282
OG0000096	rna-XM_011226315.3	rna26912
OG0000096	rna-XM_034640604.1	rna822
OG0000097	rna-XM_034652958.1, rna-XM_019799082.2	rna16159
OG0000097	rna-XM_011237023.3	rna8077
OG0000097	rna-XM_002922227.3	rna35540
OG0000099	rna-XM_002923031.3	rna11813
OG0000099	rna-XM_002923023.2	rna11809
OG0000099	rna-XM_002923022.3	rna11812
OG0000099	rna-XM_011229642.2, rna-XM_011229644.3	rna11811, rna11808, rna11810
OG0000101	rna-XM_034641930.1	rna19788
OG0000101	rna-XM_034668382.1, rna-XM_034651210.1, rna-XM_034653238.1	rna9544
OG0000101	rna-XM_034653535.1, rna-XM_034651779.1, rna-XM_034650227.1, rna-XM_034649850.1	rna15514
OG0000102	rna-XM_034645293.1	rna30316
OG0000103	rna-XM_002912520.4	rna13259
OG0000103	rna-XM_002917015.4	rna23527
OG0000103	rna-XM_002912519.2	rna13260
OG0000103	rna-XM_002927241.4	rna5266
OG0000103	rna-XM_019802399.2	rna28983
OG0000104	rna-XM_002929093.4	rna19561
OG0000104	rna-XM_034645916.1	rna27267
OG0000104	rna-XM_019793751.2	rna27266
OG0000104	rna-XM_034649988.1, rna-XM_034651311.1, rna-XM_034652634.1, rna-XM_034658832.1	rna19485
OG0000106	id-LOC117798844	gene26822
OG0000106	id-LOC117798737	gene26821
OG0000106	id-LOC117798776	gene26820
OG0000107	rna-XM_002924114.4	rna1589
OG0000107	rna-XM_034649040.1	rna16727
OG0000107	rna-XM_034638851.1	rna4547, rna3857
OG0000108	rna-XM_034667951.1	rna7609
OG0000108	rna-XM_034653030.1	rna11708, rna11709
OG0000108	rna-XM_002913054.4	rna9172
OG0000108	rna-XM_002914936.4	rna30707
OG0000108	rna-XM_034660919.1	rna28633
OG0000109	rna-XM_002929790.4	rna14335
OG0000109	rna-XM_034655998.1	rna12466
OG0000109	rna-XM_034658903.1	rna35371
OG0000109	rna-XM_019806489.2	rna20392
OG0000110	rna-XM_002928526.4	rna13957
OG0000110	rna-XM_002928550.4	rna13963
OG0000110	rna-XM_011236409.3	rna13948
OG0000111	rna-XM_002912448.4	rna27810
OG0000111	rna-XM_002927300.4	rna20224
OG0000111	rna-XM_011231236.3	rna34734
OG0000111	rna-XM_034652091.1, rna-XM_002922232.4	rna35547
OG0000112	rna-XM_002931351.2	rna34161
OG0000112	rna-XM_011218315.3	rna33442
OG0000112	rna-XM_034648664.1, rna-XM_034648665.1	rna36074
OG0000113	rna-XM_002931164.4	rna32541
OG0000113	rna-XM_019793765.2	rna33123
