Orthogroup	ailMel.longCDS.prots	ursAme.longCDS.prots
OG0000012	rna-XM_002929998.2	transcript_ENSUAMT00000024271
OG0000012	rna-XM_002923997.4	transcript_ENSUAMT00000024261
OG0000013	rna-XM_034652742.1	transcript_ENSUAMT00000000807, transcript_ENSUAMT00000000800
OG0000013	rna-XM_034655700.1	transcript_ENSUAMT00000000681
OG0000013	rna-XM_034656174.1	transcript_ENSUAMT00000000708
OG0000013	rna-XM_034655701.1	transcript_ENSUAMT00000000787
OG0000013	rna-XM_034656172.1	transcript_ENSUAMT00000041696
OG0000013	rna-XM_034656173.1	transcript_ENSUAMT00000000824
OG0000013	rna-XM_034656170.1, rna-XM_034652743.1	transcript_ENSUAMT00000000741, transcript_ENSUAMT00000000730
OG0000013	rna-XM_034651155.1	transcript_ENSUAMT00000003467
OG0000013	rna-XM_034656145.1	transcript_ENSUAMT00000000770
OG0000014	rna-XM_002915516.4	transcript_ENSUAMT00000031792
OG0000014	rna-XM_011225512.1, rna-XM_034660394.1, rna-XM_034639053.1	transcript_ENSUAMT00000022001
OG0000014	rna-XM_002926120.4	transcript_ENSUAMT00000031071
OG0000014	rna-XM_034657626.1	transcript_ENSUAMT00000033546
OG0000014	rna-XM_034660444.1	transcript_ENSUAMT00000038478
OG0000014	rna-XM_034652674.1, rna-XM_034651617.1, rna-XM_034653402.1, rna-XM_034653288.1, rna-XM_034650745.1, rna-XM_034650953.1, rna-XM_034651101.1, rna-XM_034643153.1, rna-XM_034651534.1, rna-XM_034651631.1, rna-XM_034652819.1, rna-XM_034652893.1	transcript_ENSUAMT00000021786
OG0000015	rna-XM_034657834.1	transcript_ENSUAMT00000028161
OG0000015	rna-XM_011217345.3	transcript_ENSUAMT00000036480
OG0000017	rna-XM_011217917.3	transcript_ENSUAMT00000037780
OG0000017	rna-XM_034660134.1	transcript_ENSUAMT00000015959
OG0000017	rna-XM_034660132.1	transcript_ENSUAMT00000004951
OG0000017	rna-XM_011234659.3, rna-XM_034645991.1	transcript_ENSUAMT00000032587
OG0000017	rna-XM_034660133.1	transcript_ENSUAMT00000015998
OG0000018	rna-XM_002929137.4	transcript_ENSUAMT00000003234, transcript_ENSUAMT00000000709
OG0000018	rna-XM_019809817.2	transcript_ENSUAMT00000006759
OG0000018	rna-XM_011237719.2	transcript_ENSUAMT00000025226
OG0000018	rna-XM_011234385.2	transcript_ENSUAMT00000034544
OG0000018	rna-XM_011237132.2	transcript_ENSUAMT00000014575
OG0000019	rna-XM_002930584.4, rna-XM_002930586.4	transcript_ENSUAMT00000000079
OG0000019	rna-XM_002930589.3	transcript_ENSUAMT00000030903
OG0000019	rna-XM_002931130.2	transcript_ENSUAMT00000036482, transcript_ENSUAMT00000036485
OG0000019	rna-XM_034653121.1	transcript_ENSUAMT00000036483
OG0000019	rna-XM_002930588.1	transcript_ENSUAMT00000004193, transcript_ENSUAMT00000003296, transcript_ENSUAMT00000000542
OG0000019	rna-XM_011217418.3	transcript_ENSUAMT00000016673, transcript_ENSUAMT00000003328
OG0000020	rna-XM_002928225.4	transcript_ENSUAMT00000036817
OG0000020	rna-XM_002928232.4	transcript_ENSUAMT00000036818
OG0000020	rna-XM_002922702.2	transcript_ENSUAMT00000036834
OG0000020	rna-XM_002930995.2	transcript_ENSUAMT00000036829
OG0000020	rna-XM_002930993.3	transcript_ENSUAMT00000036831
OG0000020	rna-XM_034651828.1, rna-XM_002928233.2	transcript_ENSUAMT00000036833
OG0000020	rna-XM_002930996.1	transcript_ENSUAMT00000036826
OG0000020	rna-XM_002930994.4	transcript_ENSUAMT00000036832
OG0000020	rna-XM_002930997.4	transcript_ENSUAMT00000036822
OG0000021	rna-XM_002929574.4	transcript_ENSUAMT00000020741
OG0000021	rna-XM_034663707.1	transcript_ENSUAMT00000020738
OG0000021	rna-XM_002918886.2	transcript_ENSUAMT00000012088
OG0000021	rna-XM_019799304.2	transcript_ENSUAMT00000012093, transcript_ENSUAMT00000006392
OG0000021	rna-XM_034663705.1, rna-XM_019799301.2	transcript_ENSUAMT00000003909, transcript_ENSUAMT00000000865, transcript_ENSUAMT00000004224, transcript_ENSUAMT00000003971, transcript_ENSUAMT00000006941, transcript_ENSUAMT00000002483, transcript_ENSUAMT00000002841
OG0000021	rna-XM_011237621.3	transcript_ENSUAMT00000020751
OG0000021	rna-XM_034663708.1	transcript_ENSUAMT00000020742
OG0000022	rna-XM_034639175.1	transcript_ENSUAMT00000016690
OG0000022	rna-XM_034650395.1	transcript_ENSUAMT00000010937
OG0000022	rna-XM_034650316.1	transcript_ENSUAMT00000002996, transcript_ENSUAMT00000003196, transcript_ENSUAMT00000003036, transcript_ENSUAMT00000001479, transcript_ENSUAMT00000002923, transcript_ENSUAMT00000001607
OG0000022	rna-XM_034638121.1	transcript_ENSUAMT00000010876
OG0000023	id-LOC117797917	transcript_ENSUAMT00000001497, transcript_ENSUAMT00000005138
OG0000023	id-LOC117797864, id-LOC105235206	transcript_ENSUAMT00000004987, transcript_ENSUAMT00000005337, transcript_ENSUAMT00000005125
OG0000023	id-LOC105235235, id-LOC117797938, id-LOC117797786, id-LOC117797812, id-LOC117798016, id-LOC117798015, id-LOC117800354	transcript_ENSUAMT00000014322, transcript_ENSUAMT00000000455, transcript_ENSUAMT00000004028, transcript_ENSUAMT00000003630, transcript_ENSUAMT00000005173, transcript_ENSUAMT00000021458
OG0000024	rna-XM_002930630.3	transcript_ENSUAMT00000018301
OG0000024	rna-XM_002930631.2	transcript_ENSUAMT00000018304
OG0000025	id-LOC105240638	transcript_ENSUAMT00000022235
OG0000025	id-LOC105234960	transcript_ENSUAMT00000010646, transcript_ENSUAMT00000017186
OG0000025	id-LOC105234754	transcript_ENSUAMT00000019357
OG0000025	id-LOC109488455, id-LOC105234961, id-LOC105234544	transcript_ENSUAMT00000010652
OG0000025	id-LOC109488456	transcript_ENSUAMT00000017185
OG0000025	id-LOC117795072	transcript_ENSUAMT00000001130
OG0000026	rna-XM_019808319.2	transcript_ENSUAMT00000025265
OG0000026	rna-XM_019799401.2	transcript_ENSUAMT00000008595
OG0000026	rna-XM_034643547.1	transcript_ENSUAMT00000021048, transcript_ENSUAMT00000025755
OG0000026	rna-XM_034647281.1	transcript_ENSUAMT00000040626
OG0000026	rna-XM_034659452.1, rna-XM_034667630.1	transcript_ENSUAMT00000022391
OG0000026	rna-XM_034642450.1, rna-XM_034658502.1	transcript_ENSUAMT00000031086, transcript_ENSUAMT00000018747
OG0000027	rna-XM_034667730.1	transcript_ENSUAMT00000012756
OG0000027	rna-XM_002926087.4	transcript_ENSUAMT00000014904
OG0000027	rna-XM_034667616.1	transcript_ENSUAMT00000014901
OG0000027	rna-XM_019794055.2	transcript_ENSUAMT00000003143, transcript_ENSUAMT00000023294
OG0000027	rna-XM_034652629.1, rna-XM_002930581.3	transcript_ENSUAMT00000023291
OG0000027	rna-XM_002930582.2	transcript_ENSUAMT00000001359, transcript_ENSUAMT00000003370
OG0000028	rna-XM_019802703.2	transcript_ENSUAMT00000011076
OG0000028	rna-XM_034641051.1	transcript_ENSUAMT00000011081
OG0000028	rna-XM_002922160.4	transcript_ENSUAMT00000011087
OG0000028	rna-XM_034640779.1	transcript_ENSUAMT00000011155
OG0000028	rna-XM_034640778.1	transcript_ENSUAMT00000011153
OG0000028	rna-XM_002922161.4	transcript_ENSUAMT00000011145
OG0000028	rna-XM_002922114.4	transcript_ENSUAMT00000011131
OG0000029	rna-XM_002930847.3	transcript_ENSUAMT00000010999
OG0000029	rna-XM_002927215.3	transcript_ENSUAMT00000021576
OG0000029	rna-XM_002927216.2	transcript_ENSUAMT00000021581
OG0000029	rna-XM_002927214.4	transcript_ENSUAMT00000039760
OG0000029	rna-XM_002927208.2	transcript_ENSUAMT00000021577
OG0000029	rna-XM_002930846.2, rna-XM_034644782.1	transcript_ENSUAMT00000010996
OG0000029	rna-XM_002929995.3	transcript_ENSUAMT00000031613
OG0000029	rna-XM_011216694.3	transcript_ENSUAMT00000031612
OG0000030	rna-XM_002931045.2	transcript_ENSUAMT00000007049
OG0000030	rna-XM_034650187.1	transcript_ENSUAMT00000000738, transcript_ENSUAMT00000001698, transcript_ENSUAMT00000003813, transcript_ENSUAMT00000003857, transcript_ENSUAMT00000005226, transcript_ENSUAMT00000004161
OG0000030	rna-XM_034650081.1, rna-XM_002931189.2	transcript_ENSUAMT00000005424
OG0000030	rna-XM_002931242.4, rna-XM_034650891.1	transcript_ENSUAMT00000003567, transcript_ENSUAMT00000008443, transcript_ENSUAMT00000003290
OG0000030	rna-XM_011218101.2	transcript_ENSUAMT00000001725
OG0000030	rna-XM_002931190.2	transcript_ENSUAMT00000003322
OG0000031	rna-XM_002930608.4	transcript_ENSUAMT00000026222
OG0000031	rna-XM_034657195.1	transcript_ENSUAMT00000026220
OG0000031	rna-XM_002930607.4	transcript_ENSUAMT00000005146
OG0000031	rna-XM_034657197.1	transcript_ENSUAMT00000026219
OG0000031	rna-XM_019793538.2	transcript_ENSUAMT00000005149
OG0000031	rna-XM_002930606.4	transcript_ENSUAMT00000004964
OG0000031	rna-XM_002930716.3	transcript_ENSUAMT00000026218
OG0000031	rna-XM_002930605.4	transcript_ENSUAMT00000004963
OG0000032	rna-XM_002931096.4	transcript_ENSUAMT00000001428
OG0000032	rna-XM_034653438.1, rna-XM_034653407.1, rna-XM_002931337.4, rna-XM_034650212.1, rna-XM_034653405.1, rna-XM_034653406.1, rna-XM_034653392.1, rna-XM_034653441.1	transcript_ENSUAMT00000036487
OG0000032	rna-XM_002930755.3	transcript_ENSUAMT00000018281
OG0000033	rna-XM_034642847.1	transcript_ENSUAMT00000038847
OG0000033	rna-XM_019802760.2	transcript_ENSUAMT00000014220
OG0000033	rna-XM_002917048.2	transcript_ENSUAMT00000006108
OG0000033	rna-XM_002919906.4	transcript_ENSUAMT00000002774
OG0000033	rna-XM_002924875.4	transcript_ENSUAMT00000002585
OG0000033	rna-XM_034641584.1	transcript_ENSUAMT00000034686, transcript_ENSUAMT00000017210
OG0000034	rna-XM_034660159.1, rna-XM_034651690.1	transcript_ENSUAMT00000000966
OG0000034	rna-XM_002930303.2, rna-XM_011218319.2	transcript_ENSUAMT00000021395
OG0000034	rna-XM_011217953.2	transcript_ENSUAMT00000005484
OG0000035	rna-XM_002921817.2	transcript_ENSUAMT00000016510
OG0000035	rna-XM_034653915.1	transcript_ENSUAMT00000007638
OG0000035	rna-XM_002921829.4	transcript_ENSUAMT00000016378
OG0000035	rna-XM_002921827.4	transcript_ENSUAMT00000021469
OG0000035	rna-XM_034648599.1	transcript_ENSUAMT00000033225
OG0000035	rna-XM_034648651.1	transcript_ENSUAMT00000033226
OG0000035	rna-XM_002929133.2	transcript_ENSUAMT00000033224
OG0000035	rna-XM_002921816.2	transcript_ENSUAMT00000016377
OG0000036	rna-XM_034651676.1	transcript_ENSUAMT00000034323
OG0000036	rna-XM_019804162.2	transcript_ENSUAMT00000006245
OG0000036	rna-XM_034667301.1	transcript_ENSUAMT00000018211
OG0000036	rna-XM_034667296.1	transcript_ENSUAMT00000028622
OG0000036	rna-XM_034664929.1	transcript_ENSUAMT00000000565
OG0000036	rna-XM_034638257.1	transcript_ENSUAMT00000029882
OG0000037	id-LOC117798029	transcript_ENSUAMT00000021443, transcript_ENSUAMT00000002243
OG0000037	id-LOC105234852	transcript_ENSUAMT00000007129, transcript_ENSUAMT00000020812
OG0000037	id-LOC117797997	transcript_ENSUAMT00000021441
OG0000037	id-LOC105235063	transcript_ENSUAMT00000012648, transcript_ENSUAMT00000003503, transcript_ENSUAMT00000002687, transcript_ENSUAMT00000006962, transcript_ENSUAMT00000004166, transcript_ENSUAMT00000001455, transcript_ENSUAMT00000019169, transcript_ENSUAMT00000003009, transcript_ENSUAMT00000019157
OG0000038	rna-XM_011216996.2	transcript_ENSUAMT00000026411
OG0000038	rna-XM_019793062.1	transcript_ENSUAMT00000026412
OG0000038	rna-XM_034646065.1	transcript_ENSUAMT00000026415
OG0000038	rna-XM_034646064.1	transcript_ENSUAMT00000018321
OG0000038	rna-XM_034646613.1	transcript_ENSUAMT00000018306
OG0000038	rna-XM_034645874.1	transcript_ENSUAMT00000018312
OG0000038	rna-XM_034650404.1	transcript_ENSUAMT00000018308
OG0000038	rna-XM_034646538.1	transcript_ENSUAMT00000018317
OG0000038	rna-XM_034644808.1, rna-XM_034650305.1	transcript_ENSUAMT00000026416
OG0000039	rna-XM_034652147.1, rna-XM_034652067.1, rna-XM_034652640.1	transcript_ENSUAMT00000007878
OG0000040	rna-XM_034654035.1	transcript_ENSUAMT00000009088
OG0000040	rna-XM_002919208.4	transcript_ENSUAMT00000009153
OG0000040	rna-XM_002920527.4	transcript_ENSUAMT00000041665
OG0000040	rna-XM_002918261.4	transcript_ENSUAMT00000020398
OG0000040	rna-XM_011231771.3	transcript_ENSUAMT00000011396
OG0000040	rna-XM_034650939.1, rna-XM_011226623.3	transcript_ENSUAMT00000041660
OG0000041	rna-XM_034654505.1	transcript_ENSUAMT00000027329
OG0000041	rna-XM_034651363.1	transcript_ENSUAMT00000006483
OG0000041	rna-XM_034650883.1, rna-XM_034650880.1, rna-XM_034652624.1, rna-XM_034652654.1, rna-XM_002928987.4	transcript_ENSUAMT00000005900
OG0000041	rna-XM_011233500.3	transcript_ENSUAMT00000027328, transcript_ENSUAMT00000019562
OG0000041	rna-XM_002915119.4	transcript_ENSUAMT00000027254
OG0000042	rna-XM_034643019.1	transcript_ENSUAMT00000028852
OG0000042	rna-XM_034653053.1, rna-XM_034651347.1, rna-XM_034652471.1	transcript_ENSUAMT00000031829
OG0000042	rna-XM_002931069.4	transcript_ENSUAMT00000035669
OG0000043	rna-XM_002930259.2, rna-XM_034653250.1	transcript_ENSUAMT00000030925, transcript_ENSUAMT00000026923
OG0000043	rna-XM_002930260.4	transcript_ENSUAMT00000007484
OG0000043	rna-XM_019793089.2	transcript_ENSUAMT00000015759
OG0000043	rna-XM_002929675.2	transcript_ENSUAMT00000026922
OG0000043	rna-XM_002929677.2	transcript_ENSUAMT00000030926
OG0000043	rna-XM_011237720.3	transcript_ENSUAMT00000026924
OG0000046	rna-XM_011217598.3	transcript_ENSUAMT00000008167, transcript_ENSUAMT00000004191
OG0000046	rna-XM_034650069.1	transcript_ENSUAMT00000017158
OG0000046	rna-XM_034667340.1	transcript_ENSUAMT00000003335
OG0000046	rna-XM_034667335.1	transcript_ENSUAMT00000006613
OG0000046	rna-XM_034667339.1	transcript_ENSUAMT00000005002
OG0000046	rna-XM_019793557.2	transcript_ENSUAMT00000020542, transcript_ENSUAMT00000020662
OG0000046	rna-XM_019793558.2	transcript_ENSUAMT00000006924
OG0000047	rna-XM_002927275.4	transcript_ENSUAMT00000039096, transcript_ENSUAMT00000039097
OG0000047	rna-XM_011234811.3	transcript_ENSUAMT00000039091
OG0000047	rna-XM_002930742.4, rna-XM_034667681.1	transcript_ENSUAMT00000006562, transcript_ENSUAMT00000000374, transcript_ENSUAMT00000022328
OG0000047	rna-XM_011234815.2	transcript_ENSUAMT00000039095
OG0000047	rna-XM_011237480.3	transcript_ENSUAMT00000017982
OG0000047	rna-XM_011237481.2, rna-XM_034650114.1	transcript_ENSUAMT00000021390
OG0000048	rna-XM_034650367.1	transcript_ENSUAMT00000024533
OG0000048	rna-XM_011217727.2	transcript_ENSUAMT00000006123, transcript_ENSUAMT00000001774, transcript_ENSUAMT00000002425
OG0000048	rna-XM_034650851.1, rna-XM_034650336.1	transcript_ENSUAMT00000005778
OG0000049	rna-XM_002930914.2	transcript_ENSUAMT00000025850
OG0000049	rna-XM_002931217.2	transcript_ENSUAMT00000003984, transcript_ENSUAMT00000004629
OG0000049	rna-XM_034653263.1	transcript_ENSUAMT00000007668
OG0000049	rna-XM_002929840.2	transcript_ENSUAMT00000006993, transcript_ENSUAMT00000000884
OG0000050	rna-XM_002921919.4	transcript_ENSUAMT00000020423
OG0000050	rna-XM_034657224.1	transcript_ENSUAMT00000020422
OG0000050	rna-XM_002921920.4, rna-XM_002921921.4	transcript_ENSUAMT00000020424
OG0000051	rna-XM_034648398.1	transcript_ENSUAMT00000020214
OG0000051	rna-XM_034641240.1	transcript_ENSUAMT00000025410
OG0000051	rna-XM_034648682.1	transcript_ENSUAMT00000020228
OG0000051	rna-XM_002922111.4	transcript_ENSUAMT00000011062
OG0000051	rna-XM_002922113.4	transcript_ENSUAMT00000011072, transcript_ENSUAMT00000011075
OG0000051	rna-XM_002922112.4	transcript_ENSUAMT00000011070
OG0000052	rna-XM_019805397.2	transcript_ENSUAMT00000016286
OG0000052	rna-XM_034639499.1	transcript_ENSUAMT00000016287
OG0000052	rna-XM_034650411.1, rna-XM_019807812.2	transcript_ENSUAMT00000005366
OG0000053	rna-XM_034660461.1, rna-XM_034660207.1	transcript_ENSUAMT00000041055
OG0000053	rna-XM_034653156.1	transcript_ENSUAMT00000018313
OG0000053	rna-XM_034653258.1	transcript_ENSUAMT00000006208
OG0000053	rna-XM_034660460.1, rna-XM_034660459.1	transcript_ENSUAMT00000001119, transcript_ENSUAMT00000040106, transcript_ENSUAMT00000010788
OG0000054	rna-XM_034656137.1	transcript_ENSUAMT00000005888, transcript_ENSUAMT00000016583
OG0000054	rna-XM_034653093.1, rna-XM_034655628.1, rna-XM_034653092.1	transcript_ENSUAMT00000016613, transcript_ENSUAMT00000005892
OG0000054	rna-XM_034656135.1	transcript_ENSUAMT00000016571
OG0000055	rna-XM_034663715.1, rna-XM_002930671.2	transcript_ENSUAMT00000016713
OG0000055	rna-XM_011217520.3	transcript_ENSUAMT00000016711
OG0000055	rna-XM_019793497.2	transcript_ENSUAMT00000034492
OG0000055	rna-XM_002931317.4	transcript_ENSUAMT00000016708
OG0000055	rna-XM_034664456.1	transcript_ENSUAMT00000016718
OG0000056	rna-XM_034666171.1, rna-XM_034650117.1	transcript_ENSUAMT00000006968, transcript_ENSUAMT00000006971
OG0000056	rna-XM_034666107.1	transcript_ENSUAMT00000014900
OG0000056	rna-XM_002924998.4	transcript_ENSUAMT00000024466
OG0000057	rna-XM_019793500.2	transcript_ENSUAMT00000016167
OG0000057	rna-XM_034653272.1	transcript_ENSUAMT00000020927
OG0000057	rna-XM_002915958.4	transcript_ENSUAMT00000019192
OG0000057	rna-XM_002915959.2	transcript_ENSUAMT00000026006
OG0000057	rna-XM_002930725.3	transcript_ENSUAMT00000005087
OG0000057	rna-XM_002930728.3	transcript_ENSUAMT00000038123, transcript_ENSUAMT00000038124
OG0000058	rna-XM_002926106.4, rna-XM_034667610.1	transcript_ENSUAMT00000037532, transcript_ENSUAMT00000000913, transcript_ENSUAMT00000004730
OG0000058	rna-XM_002926105.4	transcript_ENSUAMT00000037531
OG0000058	rna-XM_002926107.1	transcript_ENSUAMT00000000860
OG0000058	rna-XM_011233431.2	transcript_ENSUAMT00000000871
OG0000058	rna-XM_002926082.2	transcript_ENSUAMT00000000876
OG0000058	rna-XM_002926083.3	transcript_ENSUAMT00000000901
OG0000059	rna-XM_034639104.1	transcript_ENSUAMT00000031432, transcript_ENSUAMT00000008118
OG0000059	rna-XM_011218170.2	transcript_ENSUAMT00000006515
OG0000060	rna-XM_002931011.2	transcript_ENSUAMT00000003886, transcript_ENSUAMT00000007447
OG0000060	rna-XM_002931213.4	transcript_ENSUAMT00000007440
OG0000060	rna-XM_002928570.2	transcript_ENSUAMT00000006912
OG0000060	rna-XM_034666461.1, rna-XM_034650104.1	transcript_ENSUAMT00000020178
OG0000061	rna-XM_002930731.4	transcript_ENSUAMT00000005070, transcript_ENSUAMT00000003664, transcript_ENSUAMT00000008155, transcript_ENSUAMT00000005198, transcript_ENSUAMT00000002114, transcript_ENSUAMT00000006840, transcript_ENSUAMT00000004102, transcript_ENSUAMT00000000610, transcript_ENSUAMT00000002730, transcript_ENSUAMT00000006726, transcript_ENSUAMT00000035163, transcript_ENSUAMT00000015954, transcript_ENSUAMT00000001960, transcript_ENSUAMT00000001235, transcript_ENSUAMT00000006437, transcript_ENSUAMT00000003954, transcript_ENSUAMT00000006777, transcript_ENSUAMT00000026925, transcript_ENSUAMT00000006906, transcript_ENSUAMT00000026926, transcript_ENSUAMT00000006904
OG0000062	rna-XM_002926072.4, rna-XM_034667722.1	transcript_ENSUAMT00000004965
OG0000062	rna-XM_034653264.1	transcript_ENSUAMT00000005167, transcript_ENSUAMT00000004971, transcript_ENSUAMT00000004849
OG0000062	rna-XM_002926097.2	transcript_ENSUAMT00000010703
OG0000062	rna-XM_034666467.1	transcript_ENSUAMT00000001799, transcript_ENSUAMT00000001553, transcript_ENSUAMT00000004739
OG0000062	rna-XM_011233415.1	transcript_ENSUAMT00000003763, transcript_ENSUAMT00000001564
OG0000062	rna-XM_002926100.4	transcript_ENSUAMT00000001808, transcript_ENSUAMT00000002332
OG0000063	id-LOC117797710	transcript_ENSUAMT00000004748
OG0000063	id-LOC105234920	transcript_ENSUAMT00000020945
OG0000063	id-LOC117797716	transcript_ENSUAMT00000006662
OG0000064	rna-XM_011217535.3, rna-XM_034646220.1	transcript_ENSUAMT00000004374
OG0000064	rna-XM_034644642.1, rna-XM_002931311.4	transcript_ENSUAMT00000031535, transcript_ENSUAMT00000004052, transcript_ENSUAMT00000031538, transcript_ENSUAMT00000000436, transcript_ENSUAMT00000002002, transcript_ENSUAMT00000010689, transcript_ENSUAMT00000007106, transcript_ENSUAMT00000031561, transcript_ENSUAMT00000031543, transcript_ENSUAMT00000002025, transcript_ENSUAMT00000003878, transcript_ENSUAMT00000006754, transcript_ENSUAMT00000012099, transcript_ENSUAMT00000015887, transcript_ENSUAMT00000001150, transcript_ENSUAMT00000015885, transcript_ENSUAMT00000015883, transcript_ENSUAMT00000028644, transcript_ENSUAMT00000028830, transcript_ENSUAMT00000017318, transcript_ENSUAMT00000003858, transcript_ENSUAMT00000005217, transcript_ENSUAMT00000020531, transcript_ENSUAMT00000003226
OG0000065	rna-XM_011236154.3	transcript_ENSUAMT00000004807
OG0000065	rna-XM_002920437.4	transcript_ENSUAMT00000035166
OG0000065	rna-XM_002928302.3	transcript_ENSUAMT00000004804
OG0000065	rna-XM_002920436.4	transcript_ENSUAMT00000026826
OG0000065	rna-XM_034638981.1	transcript_ENSUAMT00000014841
OG0000065	rna-XM_011226481.3	transcript_ENSUAMT00000035168
OG0000066	rna-XM_034665468.1	transcript_ENSUAMT00000022546
OG0000066	rna-XM_002925583.4	transcript_ENSUAMT00000003833
OG0000066	rna-XM_034642590.1	transcript_ENSUAMT00000003011
OG0000066	rna-XM_034655281.1	transcript_ENSUAMT00000032674
OG0000066	rna-XM_034650007.1	transcript_ENSUAMT00000029149
OG0000066	rna-XM_034665466.1	transcript_ENSUAMT00000013294
OG0000067	rna-XM_011218801.3	transcript_ENSUAMT00000031915
OG0000067	rna-XM_034670322.1	transcript_ENSUAMT00000021981
OG0000067	rna-XM_019801732.2	transcript_ENSUAMT00000033162
OG0000067	rna-XM_034638974.1	transcript_ENSUAMT00000026643
OG0000068	rna-XM_034649918.1	transcript_ENSUAMT00000002268
OG0000068	rna-XM_019797283.2	transcript_ENSUAMT00000002290
OG0000068	rna-XM_019800609.2	transcript_ENSUAMT00000030262
