Orthogroup	ailMel.longCDS.prots	homSap.longCDS.prots
OG0000005	rna-XM_011229901.3	ENST00000305748.7
OG0000005	rna-XM_002923244.4	ENST00000267119.5
OG0000005	rna-XM_011229902.3	ENST00000549343.5
OG0000005	rna-XM_011229956.3	ENST00000537672.6
OG0000007	id-LOC117799039	ENST00000390618.2, ENST00000570121.2, ENST00000390632.2, ENST00000390627.3, ENST00000434710.1, ENST00000390606.3, ENST00000390604.2, ENST00000390617.2, ENST00000390607.2, ENST00000390624.3, ENST00000390602.3, ENST00000425181.3, ENST00000390609.3, ENST00000632099.1, ENST00000454421.2, ENST00000603660.1, ENST00000390615.2, ENST00000562905.2, ENST00000424969.2, ENST00000390603.2, ENST00000558565.2, ENST00000390636.2, ENST00000390625.3, ENST00000433072.2, ENST00000569103.2, ENST00000354689.6, ENST00000565407.2, ENST00000390601.3, ENST00000390598.2
OG0000007	id-LOC105235261, id-LOC117800014, id-LOC105235222, id-LOC109488764, id-LOC117798827, id-LOC117798806, id-LOC117798740, id-LOC100482805, id-LOC117798506	ENST00000632950.2, ENST00000390626.2, ENST00000624687.1, ENST00000390633.2, ENST00000390594.3, ENST00000630556.1, ENST00000604066.1, ENST00000390605.2, ENST00000390639.2, ENST00000631943.1, ENST00000390621.3, ENST00000390628.3, ENST00000390595.3, ENST00000622028.1, ENST00000338912.5, ENST00000390622.2, ENST00000632209.1, ENST00000390610.2
OG0000008	rna-XM_002930205.2	ENST00000366696.1
OG0000008	rna-XM_002928529.4	ENST00000613854.1, ENST00000369163.3
OG0000008	rna-XM_034660113.1	ENST00000612966.1, ENST00000634733.1, ENST00000614378.1, ENST00000618052.1
OG0000008	rna-XM_034667222.1	ENST00000340398.4
OG0000008	rna-XM_034651932.1	ENST00000366816.5
OG0000008	rna-XM_019793752.2	ENST00000331491.1, ENST00000369158.1
OG0000009	rna-XM_034656141.1	ENST00000239449.6
OG0000009	rna-XM_019795563.2	ENST00000194155.6
OG0000009	rna-XM_002912603.4	ENST00000316105.6, ENST00000239446.5
OG0000009	rna-XM_034656139.1	ENST00000231137.5
OG0000009	rna-XM_002912549.4	ENST00000354757.4, ENST00000239450.4
OG0000009	rna-XM_002912555.4	ENST00000194152.3
OG0000009	rna-XM_034656138.1	ENST00000231134.7
OG0000009	rna-XM_002912553.4	ENST00000231136.3
OG0000009	rna-XM_019795555.2, rna-XM_034656144.1	ENST00000231130.3
OG0000009	rna-XM_034656143.1, rna-XM_034651165.1, rna-XM_002912551.4	ENST00000231173.5
OG0000009	rna-XM_002912550.4	ENST00000341948.6, ENST00000239444.3, ENST00000609684.2
OG0000010	rna-XM_011218081.2	ENST00000331925.6
OG0000010	rna-XM_011218625.3	ENST00000224784.10
OG0000010	rna-XM_002921486.4	ENST00000345517.7
OG0000010	rna-XM_034662529.1	ENST00000366684.7
OG0000010	rna-XM_034661201.1	ENST00000290378.4
OG0000010	rna-XM_002926067.1	ENST00000423391.2
OG0000010	rna-XM_034652944.1, rna-XM_034652886.1, rna-XM_034652776.1, rna-XM_034650917.1	ENST00000331789.9
OG0000011	rna-XM_002928416.4	ENST00000336596.6
OG0000011	rna-XM_011223454.3	ENST00000622150.4
OG0000011	rna-XM_034643534.1	ENST00000166244.7
OG0000011	rna-XM_002920297.4	ENST00000369303.8
OG0000011	rna-XM_034671255.1	ENST00000358432.7
OG0000011	rna-XM_019808018.2	ENST00000358173.7
OG0000011	rna-XM_002919539.4	ENST00000400191.7
OG0000011	rna-XM_034661964.1	ENST00000398015.7
OG0000011	rna-XM_034661745.1	ENST00000330394.2
OG0000011	rna-XM_002925177.4	ENST00000281821.6
OG0000011	rna-XM_034657115.1	ENST00000389672.9
OG0000012	rna-XM_002928187.4, rna-XM_002928201.3	ENST00000341493.3
OG0000012	rna-XM_002929998.2	ENST00000328064.2
OG0000012	rna-XM_002923997.4	ENST00000306842.2
OG0000013	rna-XM_034652742.1	ENST00000617380.1, ENST00000519479.1
OG0000013	rna-XM_034655700.1	ENST00000522605.1
OG0000013	rna-XM_034656174.1	ENST00000523390.1
OG0000013	rna-XM_034655701.1	ENST00000520790.1
OG0000013	rna-XM_034656172.1	ENST00000252085.3
OG0000013	rna-XM_034656171.1	ENST00000571252.2
OG0000013	rna-XM_034656170.1, rna-XM_034652743.1	ENST00000394576.2, ENST00000253812.7
OG0000013	rna-XM_034651155.1	ENST00000518069.1
OG0000013	rna-XM_034656145.1	ENST00000398610.2
OG0000014	rna-XM_002915516.4	ENST00000217133.1
OG0000014	rna-XM_011225512.1, rna-XM_034660394.1, rna-XM_034639053.1	ENST00000315491.11
OG0000014	rna-XM_002926120.4	ENST00000340384.4
OG0000014	rna-XM_034657626.1	ENST00000264071.6
OG0000014	rna-XM_034660444.1	ENST00000327892.12
OG0000015	rna-XM_034657834.1	ENST00000339282.11
OG0000015	rna-XM_019793332.2	ENST00000622593.4, ENST00000590798.1, ENST00000343949.9, ENST00000429654.6, ENST00000304060.9, ENST00000304030.2, ENST00000439326.7, ENST00000547628.1, ENST00000344980.10, ENST00000439556.2, ENST00000334213.9, ENST00000242804.8, ENST00000293725.9, ENST00000356109.9, ENST00000301547.9, ENST00000430385.3, ENST00000595562.1, ENST00000357901.4, ENST00000341191.10, ENST00000343979.5, ENST00000361113.9
OG0000017	rna-XM_011217917.3	ENST00000377803.3, ENST00000578186.2, ENST00000244537.5, ENST00000615164.2, ENST00000615353.1, ENST00000634956.1, ENST00000621520.1
OG0000017	rna-XM_019807841.2, rna-XM_002928528.4, rna-XM_002928543.4, rna-XM_034660134.1, rna-XM_019809268.2, rna-XM_034660132.1, rna-XM_011234659.3, rna-XM_034645991.1	ENST00000614247.1
OG0000017	rna-XM_034660133.1	ENST00000358064.3
OG0000018	rna-XM_002929137.4, rna-XM_034653247.1, rna-XM_002929136.4, rna-XM_019809817.2, rna-XM_011237719.2, rna-XM_034653321.1, rna-XM_011234385.2, rna-XM_011237132.2	ENST00000317996.1, ENST00000318021.3, ENST00000319968.4
OG0000019	rna-XM_002930584.4, rna-XM_002930586.4	ENST00000316987.3
OG0000019	rna-XM_002930589.3	ENST00000610445.1
OG0000019	rna-XM_002931130.2	ENST00000321522.2
OG0000019	rna-XM_034653121.1	ENST00000445557.1
OG0000019	rna-XM_002930588.1, rna-XM_011217418.3	ENST00000379946.2, ENST00000537935.1
OG0000020	rna-XM_002928225.4	ENST00000302572.2
OG0000020	rna-XM_002930993.3	ENST00000302581.2
OG0000020	rna-XM_034651828.1, rna-XM_002928233.2	ENST00000357377.3
OG0000020	rna-XM_002930996.1, rna-XM_002930994.4, rna-XM_002930997.4	ENST00000309403.2
OG0000021	rna-XM_002929574.4	ENST00000374781.2
OG0000021	rna-XM_034663707.1	ENST00000277216.3
OG0000021	rna-XM_002918886.2, rna-XM_019799304.2, rna-XM_034663705.1, rna-XM_019799301.2	ENST00000341959.2
OG0000021	rna-XM_011237621.3, rna-XM_034663708.1	ENST00000335040.1
OG0000022	rna-XM_034639175.1, rna-XM_034650395.1, rna-XM_034639191.1, rna-XM_034639072.1, rna-XM_034639071.1, rna-XM_034650316.1, rna-XM_034638121.1	ENST00000600810.1, ENST00000311015.7
OG0000023	id-LOC117797917, id-LOC117797864, id-LOC105235206, id-LOC105235235, id-LOC117797938, id-LOC117797786, id-LOC117797812, id-LOC117798016, id-LOC117798015, id-LOC117800354, id-LOC109488775, id-LOC117797804, id-LOC117797798, id-LOC117798022, id-LOC117798018, id-LOC117797799	ENST00000390285.4, ENST00000390297.3, ENST00000390294.2, ENST00000390301.3, ENST00000390290.3, ENST00000390299.2, ENST00000390291.2
OG0000024	rna-XM_002930630.3	ENST00000335238.4
OG0000024	rna-XM_019793192.2	ENST00000319813.3
OG0000024	rna-XM_034645999.1	ENST00000314644.2
OG0000025	id-LOC105234960	ENST00000443402.6, ENST00000436911.6
OG0000025	id-LOC105234961	ENST00000444775.2, ENST00000390341.2, ENST00000390340.2
OG0000026	rna-XM_019808319.2	ENST00000261383.3
OG0000026	rna-XM_019799401.2	ENST00000420323.6
OG0000026	rna-XM_034643547.1	ENST00000620169.4
OG0000026	rna-XM_034641543.1	ENST00000389840.6
OG0000026	rna-XM_034647281.1	ENST00000262442.8
OG0000026	rna-XM_034659452.1	ENST00000389394.7
OG0000026	rna-XM_034667630.1	ENST00000430092.5
OG0000026	rna-XM_034642450.1	ENST00000312428.10
OG0000026	rna-XM_034658502.1	ENST00000495027.5
OG0000027	rna-XM_034667730.1, rna-XM_002926087.4, rna-XM_034667616.1	ENST00000317254.3
OG0000027	rna-XM_019794055.2	ENST00000317093.2
OG0000027	rna-XM_034652629.1, rna-XM_002930581.3	ENST00000317078.1
OG0000027	rna-XM_011217419.3, rna-XM_034653289.1, rna-XM_034651443.1, rna-XM_002930582.2, rna-XM_002930587.4	ENST00000317037.2
OG0000028	rna-XM_019802703.2	ENST00000246635.7
OG0000028	rna-XM_034641051.1	ENST00000254043.7
OG0000028	rna-XM_002922160.4	ENST00000246662.8
OG0000028	rna-XM_034652696.1, rna-XM_034639721.1	ENST00000269576.5
OG0000028	rna-XM_034640779.1, rna-XM_034640778.1	ENST00000311208.12
OG0000028	rna-XM_002922161.4	ENST00000301653.8
OG0000028	rna-XM_002922114.4	ENST00000167586.6
OG0000029	rna-XM_002930847.3, rna-XM_002927215.3, rna-XM_002927219.2, rna-XM_002927216.2, rna-XM_002927214.4, rna-XM_002927208.2, rna-XM_002930846.2, rna-XM_034644782.1, rna-XM_002929995.3, rna-XM_011216694.3, rna-XM_002927218.2	ENST00000310194.1
OG0000030	rna-XM_034650186.1, rna-XM_002926085.4, rna-XM_011217984.2, rna-XM_002931045.2, rna-XM_034650187.1	ENST00000380367.1
OG0000030	rna-XM_034650081.1, rna-XM_002931189.2, rna-XM_002931242.4, rna-XM_034650891.1, rna-XM_011218101.2, rna-XM_002931190.2, rna-XM_002931090.2	ENST00000307388.1
OG0000031	rna-XM_002930608.4, rna-XM_034653338.1, rna-XM_034657196.1, rna-XM_002930713.4, rna-XM_034657195.1, rna-XM_002930607.4, rna-XM_034657197.1, rna-XM_019793538.2	ENST00000322107.1, ENST00000305892.1
OG0000031	rna-XM_002930606.4, rna-XM_002930716.3, rna-XM_002930605.4	ENST00000308940.8, ENST00000334920.3, ENST00000305899.4
OG0000032	rna-XM_002931096.4, rna-XM_034653438.1, rna-XM_034653407.1, rna-XM_002931337.4, rna-XM_034650212.1, rna-XM_034653405.1, rna-XM_034653406.1, rna-XM_034653392.1, rna-XM_034653441.1	ENST00000307832.2
OG0000032	rna-XM_002930755.3	ENST00000320002.3
OG0000033	rna-XM_034642847.1	ENST00000262717.8
OG0000033	rna-XM_019802760.2	ENST00000382275.5
OG0000033	rna-XM_034657064.1	ENST00000504376.6
OG0000033	rna-XM_002917048.2	ENST00000231021.8
OG0000033	rna-XM_002919906.4	ENST00000265071.2
OG0000033	rna-XM_034657062.1	ENST00000264463.8
OG0000033	rna-XM_002924875.4	ENST00000323011.7
OG0000033	rna-XM_034641584.1	ENST00000372262.7
OG0000034	rna-XM_034660159.1, rna-XM_034651690.1, rna-XM_002931255.4	ENST00000426406.2, ENST00000332831.3, ENST00000456475.1, ENST00000320901.3
OG0000034	rna-XM_002930302.1	ENST00000332238.4
OG0000034	rna-XM_002930301.3	ENST00000328882.5
OG0000035	rna-XM_002921817.2	ENST00000408906.2
OG0000035	rna-XM_034653915.1, rna-XM_002921829.4	ENST00000408949.2
OG0000035	rna-XM_002921827.4	ENST00000408899.2, ENST00000408979.2
OG0000035	rna-XM_002929133.2	ENST00000315453.3, ENST00000493325.1
OG0000035	rna-XM_002921816.2	ENST00000408898.2
OG0000036	rna-XM_034651676.1	ENST00000441343.5
OG0000036	rna-XM_019804162.2	ENST00000295598.9
OG0000036	rna-XM_034667301.1	ENST00000361216.7
OG0000036	rna-XM_034667296.1	ENST00000368081.8
OG0000036	rna-XM_034664929.1	ENST00000218548.10
OG0000036	rna-XM_034638257.1	ENST00000262623.3
OG0000037	id-LOC117798029	ENST00000390302.3
OG0000037	id-LOC105234852, id-LOC105235062, id-LOC117797997, id-LOC105235063, id-LOC117797993	ENST00000390310.2, ENST00000390312.2, ENST00000390306.2, ENST00000390314.2, ENST00000620395.2, ENST00000390287.2
OG0000038	rna-XM_011216996.2	ENST00000314706.3
OG0000038	rna-XM_019793062.1	ENST00000314721.3, ENST00000319760.7, ENST00000418689.1
OG0000038	rna-XM_034646065.1, rna-XM_034646064.1, rna-XM_034646613.1, rna-XM_034645874.1, rna-XM_034650404.1, rna-XM_034646538.1, rna-XM_034644808.1, rna-XM_034650305.1, rna-XM_034653136.1, rna-XM_019793643.2	ENST00000446524.1
OG0000039	rna-XM_034670040.1, rna-XM_034660420.1, rna-XM_034652147.1, rna-XM_034652067.1, rna-XM_034652640.1, rna-XM_034651468.1, rna-XM_034652149.1, rna-XM_034651913.1, rna-XM_034651917.1, rna-XM_034641559.1, rna-XM_034652439.1, rna-XM_034662592.1	ENST00000316292.13
OG0000039	rna-XM_034650077.1, rna-XM_034652899.1, rna-XM_002913271.4, rna-XM_034651557.1, rna-XM_034651560.1, rna-XM_034651456.1, rna-XM_034652425.1, rna-XM_034650499.1, rna-XM_034651670.1, rna-XM_034651746.1, rna-XM_034650853.1	ENST00000298049.11
OG0000040	rna-XM_034654035.1	ENST00000369851.5
OG0000040	rna-XM_011223692.3	ENST00000351004.7
OG0000040	rna-XM_002919208.4	ENST00000351050.7
OG0000040	rna-XM_002920527.4	ENST00000232461.7
OG0000040	rna-XM_002918261.4	ENST00000398291.3
OG0000040	rna-XM_011231771.3	ENST00000262493.11
OG0000040	rna-XM_011226623.3	ENST00000313601.10
OG0000041	rna-XM_034645235.1, rna-XM_034654505.1, rna-XM_034651363.1	ENST00000540430.5
OG0000041	rna-XM_034650883.1, rna-XM_034650880.1, rna-XM_034652624.1, rna-XM_034652654.1, rna-XM_002928987.4	ENST00000396076.5
OG0000041	rna-XM_011233500.3	ENST00000541669.5
OG0000041	rna-XM_002915119.4	ENST00000307144.5
OG0000041	rna-XM_011233514.3	ENST00000396213.7
OG0000042	rna-XM_034643019.1	ENST00000394709.2
OG0000042	rna-XM_034653053.1, rna-XM_034651347.1, rna-XM_034652471.1	ENST00000532636.5
OG0000042	rna-XM_019793821.2	ENST00000375654.4
OG0000042	rna-XM_002931069.4	ENST00000375650.4, ENST00000375651.6
OG0000043	rna-XM_002930259.2, rna-XM_034653250.1	ENST00000359682.2, ENST00000317965.3, ENST00000366476.1, ENST00000456743.2
OG0000043	rna-XM_002930261.2, rna-XM_002930260.4, rna-XM_019793089.2, rna-XM_002929675.2, rna-XM_002929677.2, rna-XM_011237720.3	ENST00000306687.1
OG0000046	rna-XM_011217598.3	ENST00000368167.7
OG0000046	rna-XM_019793557.2	ENST00000368168.3
OG0000046	rna-XM_019793558.2	ENST00000368170.7
OG0000047	rna-XM_002927275.4	ENST00000423932.4
OG0000047	rna-XM_011234811.3	ENST00000332217.5
OG0000047	rna-XM_011237480.3, rna-XM_011237481.2, rna-XM_034650114.1	ENST00000334857.3
OG0000049	rna-XM_002930914.2, rna-XM_002931217.2, rna-XM_034653262.1, rna-XM_034653263.1, rna-XM_034653274.1, rna-XM_002929840.2	ENST00000366473.3, ENST00000328570.4, ENST00000366475.1
OG0000050	rna-XM_011228336.2	ENST00000305444.2
OG0000050	rna-XM_002921919.4, rna-XM_034657224.1, rna-XM_002921920.4, rna-XM_002921921.4	ENST00000541538.1
OG0000050	rna-XM_002921925.4, rna-XM_002921926.4, rna-XM_002921922.4	ENST00000305456.2
OG0000051	rna-XM_034648398.1, rna-XM_034641239.1, rna-XM_034641240.1, rna-XM_034648682.1	ENST00000007735.3, ENST00000251646.7, ENST00000251645.2, ENST00000394001.1
OG0000051	rna-XM_002922111.4	ENST00000225899.3
OG0000051	rna-XM_002922113.4	ENST00000328119.10
OG0000051	rna-XM_002922112.4	ENST00000393989.1
OG0000052	rna-XM_019805397.2, rna-XM_034639499.1	ENST00000334181.4, ENST00000307658.11, ENST00000596400.1, ENST00000282282.3, ENST00000336128.11, ENST00000597658.1
OG0000052	rna-XM_034650411.1, rna-XM_019807812.2	ENST00000396154.6, ENST00000512439.6, ENST00000282308.3, ENST00000317178.9, ENST00000594684.1, ENST00000339656.7, ENST00000312026.5, ENST00000598031.1, ENST00000425570.7, ENST00000391701.1, ENST00000594901.1, ENST00000435989.6, ENST00000376233.7, ENST00000332854.10, ENST00000254166.3
OG0000053	rna-XM_034660461.1, rna-XM_034660207.1	ENST00000614012.4, ENST00000449934.6, ENST00000252229.6
OG0000053	rna-XM_034653156.1, rna-XM_034661690.1, rna-XM_034653258.1, rna-NM_001304845.1, rna-XM_034660460.1, rna-XM_034660459.1	ENST00000376630.4, ENST00000376828.6, ENST00000259951.11, ENST00000376806.9, ENST00000412585.6, ENST00000383329.7
OG0000054	rna-XM_019795580.2	ENST00000289272.2
OG0000054	rna-XM_034656137.1, rna-XM_034653093.1, rna-XM_034655628.1, rna-XM_034653092.1, rna-XM_034656135.1	ENST00000307360.5, ENST00000398631.2, ENST00000531613.1, ENST00000529310.5, ENST00000526136.1, ENST00000504120.3, ENST00000529859.1, ENST00000530339.1, ENST00000525929.1, ENST00000532602.1, ENST00000522353.2, ENST00000398640.6
OG0000055	rna-XM_034663715.1, rna-XM_002930671.2	ENST00000335302.5
OG0000055	rna-XM_011217520.3	ENST00000340750.1
OG0000055	rna-XM_019793497.2, rna-XM_002931256.2, rna-XM_011236465.3, rna-XM_002931317.4, rna-XM_034664456.1	ENST00000259357.3
OG0000056	rna-XM_011218129.3, rna-XM_034666171.1, rna-XM_034650117.1, rna-XM_034666107.1	ENST00000317121.4
OG0000056	rna-XM_002925001.2, rna-XM_034666476.1, rna-XM_034651771.1, rna-XM_002924997.2, rna-XM_002924985.4, rna-XM_002924998.4	ENST00000316529.3
OG0000057	rna-XM_019793500.2, rna-XM_034653272.1, rna-XM_002915958.4	ENST00000304865.3
OG0000057	rna-XM_002930725.3	ENST00000373686.1
OG0000057	rna-XM_002930728.3	ENST00000304820.3
OG0000058	rna-XM_002926106.4, rna-XM_034667610.1	ENST00000380219.1
OG0000058	rna-XM_002926107.1	ENST00000300773.3
OG0000058	rna-XM_002926082.2	ENST00000624187.1
OG0000058	rna-XM_002926083.3	ENST00000380224.1
OG0000059	rna-XM_034639057.1, rna-XM_034639067.1, rna-XM_034638125.1, rna-XM_034639126.1, rna-XM_034650371.1, rna-XM_034650262.1, rna-XM_019793917.2, rna-XM_034639104.1, rna-XM_011218170.2	ENST00000398696.3
OG0000060	rna-XM_002931011.2	ENST00000359350.4
OG0000060	rna-XM_002931213.4, rna-XM_002928570.2, rna-XM_034666461.1, rna-XM_034650104.1, rna-XM_002931013.4	ENST00000380371.1, ENST00000380373.3
OG0000061	rna-XM_002930731.4	ENST00000358120.2
OG0000062	rna-XM_002926072.4, rna-XM_034667722.1, rna-XM_034653264.1, rna-XM_002926097.2, rna-XM_034666467.1, rna-XM_011233415.1, rna-XM_002926100.4	ENST00000322653.5
OG0000063	id-LOC117797710, id-LOC105234920, id-LOC109488739, id-LOC117797716	ENST00000390441.2, ENST00000390431.3
OG0000065	rna-XM_011236154.3	ENST00000633222.1
OG0000065	rna-XM_002920437.4	ENST00000382545.4
OG0000065	rna-XM_002928302.3	ENST00000369769.3
OG0000065	rna-XM_002920436.4	ENST00000252321.4
OG0000065	rna-XM_034638981.1	ENST00000221444.1
OG0000065	rna-XM_011226481.3	ENST00000280684.3
OG0000066	rna-XM_034665468.1	ENST00000375820.8
OG0000066	rna-XM_002925583.4	ENST00000328300.10
OG0000066	rna-XM_034642590.1	ENST00000396578.7
OG0000066	rna-XM_034655281.1	ENST00000396625.3
OG0000066	rna-XM_034650007.1	ENST00000394872.6
OG0000066	rna-XM_034665466.1	ENST00000360467.5
OG0000067	rna-XM_011218801.3	ENST00000216181.9
OG0000067	rna-XM_034670322.1	ENST00000396324.7
OG0000067	rna-XM_019801732.2	ENST00000360416.7
OG0000067	rna-XM_034638974.1	ENST00000601313.5
OG0000068	rna-XM_034649918.1, rna-XM_019797283.2	ENST00000378981.7, ENST00000378982.3, ENST00000378988.4
OG0000068	rna-XM_019800609.2	ENST00000400004.6
OG0000068	rna-XM_034649752.1	ENST00000325250.1
OG0000068	rna-XM_019807464.2, rna-XM_011234171.2	ENST00000356790.2
OG0000069	rna-XM_002929941.3	ENST00000504543.1, ENST00000511681.1, ENST00000515574.1, ENST00000621388.1, ENST00000610514.1, ENST00000621472.1, ENST00000622713.1, ENST00000613757.1, ENST00000613973.1, ENST00000619296.1, ENST00000421288.3, ENST00000614762.1, ENST00000616303.1, ENST00000622009.1, ENST00000615989.1, ENST00000621432.2, ENST00000506619.2, ENST00000415041.1, ENST00000507227.1, ENST00000504104.1, ENST00000526929.1, ENST00000527080.1, ENST00000529559.1, ENST00000530484.1, ENST00000333796.3, ENST00000530447.4
OG0000071	rna-XM_011218338.2, rna-XM_034653320.1, rna-XM_002926914.4, rna-XM_034650586.1	ENST00000366480.4
OG0000072	rna-XM_002930341.2, rna-XM_002930339.2, rna-XM_011217113.2, rna-XM_002930337.4, rna-XM_002930338.2, rna-XM_011217112.3	ENST00000305377.5
OG0000073	rna-XM_011217181.3, rna-XM_002930388.2, rna-XM_034646283.1, rna-XM_034646377.1, rna-XM_034651808.1, rna-XM_034644807.1, rna-XM_034651354.1, rna-XM_011217186.2	ENST00000568934.1
OG0000074	rna-XM_002926878.3, rna-XM_002926881.3	ENST00000313447.1
OG0000077	rna-XM_034654611.1	ENST00000609664.2, ENST00000400365.3, ENST00000400368.1, ENST00000400374.4
OG0000077	rna-XM_034650335.1	ENST00000400372.1, ENST00000400375.1, ENST00000391620.1, ENST00000397911.4, ENST00000334670.9, ENST00000391621.1, ENST00000380095.2
OG0000078	rna-XM_002930878.3	ENST00000300127.2
OG0000078	rna-XM_002930877.1	ENST00000530162.1
OG0000078	rna-XM_034644823.1	ENST00000313253.1
OG0000078	rna-XM_034646554.1	ENST00000329328.3
OG0000079	rna-XM_034650092.1, rna-XM_034653229.1, rna-XM_002926094.4, rna-XM_034667604.1, rna-XM_002928582.1, rna-XM_002928571.2	ENST00000624801.3
OG0000080	rna-XM_034654784.1	ENST00000392524.6
OG0000080	rna-XM_034650387.1, rna-XM_034652861.1, rna-XM_011229264.3	ENST00000314940.6
OG0000080	rna-XM_034645486.1	ENST00000340913.10
OG0000080	rna-XM_034645564.1, rna-XM_034661816.1, rna-XM_019809931.2	ENST00000357495.3
OG0000081	rna-XM_034645322.1	ENST00000257901.7
OG0000081	rna-XM_034651744.1, rna-XM_034651421.1, rna-XM_034645785.1, rna-XM_034645786.1, rna-XM_034645784.1	ENST00000293670.3, ENST00000327741.9
OG0000082	rna-XM_034670228.1	ENST00000331351.5
OG0000082	rna-XM_034670262.1	ENST00000261374.3
OG0000082	rna-XM_034670623.1	ENST00000454677.2
OG0000082	rna-XM_034646947.1	ENST00000466596.5
OG0000082	rna-XM_034647203.1, rna-XM_034651651.1	ENST00000284110.1
OG0000083	rna-XM_034666477.1, rna-XM_002924988.4, rna-XM_002925007.4, rna-XM_002924987.4	ENST00000329564.6
OG0000083	rna-XM_002925003.4	ENST00000316650.5
OG0000083	rna-XM_002931185.4, rna-XM_002924986.4	ENST00000330728.4, ENST00000532411.2
OG0000084	rna-XM_002926852.4, rna-XM_011234340.2	ENST00000313264.5
OG0000084	rna-XM_002926865.2, rna-XM_002926873.2, rna-XM_011234347.3	ENST00000303059.3, ENST00000313033.3
OG0000085	rna-XM_034653427.1, rna-XM_034652811.1, rna-XM_034652810.1, rna-XM_011217839.1, rna-XM_034653430.1	ENST00000315683.1
OG0000086	rna-XM_034653842.1, rna-XM_034653843.1	ENST00000370456.4
OG0000086	rna-XM_002930364.4	ENST00000370459.7
OG0000086	rna-XM_011222974.3	ENST00000370481.8, ENST00000370473.4, ENST00000464839.5
OG0000087	rna-XM_019808677.2	ENST00000594154.5
OG0000087	rna-XM_019808666.2	ENST00000293471.10
OG0000087	rna-XM_034639122.1	ENST00000270649.10
OG0000087	rna-XM_011235184.3	ENST00000243644.8
OG0000087	rna-XM_034639111.1	ENST00000354957.7
OG0000088	rna-XM_034647604.1	ENST00000281456.10
OG0000088	rna-XM_034650632.1, rna-XM_034652292.1, rna-XM_034650580.1, rna-XM_034652822.1, rna-XM_034650599.1, rna-XM_034651012.1	ENST00000381401.10_PAR_Y, ENST00000381401.10
OG0000088	rna-XM_034652730.1, rna-XM_034652637.1, rna-XM_034652704.1	ENST00000317881.8
OG0000089	rna-XM_034653059.1, rna-XM_034642571.1	ENST00000334701.11
OG0000089	rna-XM_034667189.1	ENST00000620073.4
OG0000091	rna-XM_034652943.1, rna-XM_002923247.4	ENST00000552150.5
OG0000091	rna-XM_034652915.1	ENST00000331817.5
OG0000092	rna-XM_034647810.1, rna-XM_019794440.2	ENST00000398776.1
OG0000092	rna-XM_034644934.1	ENST00000533820.5
OG0000092	rna-XM_034667628.1	ENST00000366872.9
OG0000092	rna-XM_002922393.4	ENST00000295006.5
OG0000092	rna-XM_034663574.1	ENST00000271971.6
OG0000093	rna-XM_011217898.3	ENST00000337537.7
OG0000093	rna-XM_011222266.3	ENST00000261461.6
OG0000093	rna-XM_019796911.2	ENST00000164133.6
OG0000093	rna-XM_034648060.1	ENST00000485511.5
OG0000093	rna-XM_002926735.4	ENST00000422945.6
