Orthogroup	ailMel.longCDS.prots	homSap.longCDS.prots	ursAme.longCDS.prots	ursArc.longCDS.prots	ursMar.longCDS.prots
OG0000010	rna-XM_002921486.4, rna-XM_002926067.1, rna-XM_011218081.2, rna-XM_011218625.3, rna-XM_034644851.1, rna-XM_034650917.1, rna-XM_034651314.1, rna-XM_034651636.1, rna-XM_034652013.1, rna-XM_034652531.1, rna-XM_034652566.1, rna-XM_034652615.1, rna-XM_034652623.1, rna-XM_034652663.1, rna-XM_034652706.1, rna-XM_034652713.1, rna-XM_034652748.1, rna-XM_034652776.1, rna-XM_034652793.1, rna-XM_034652795.1, rna-XM_034652843.1, rna-XM_034652886.1, rna-XM_034652895.1, rna-XM_034652944.1, rna-XM_034661201.1, rna-XM_034662529.1	ENST00000224784.10, ENST00000290378.4, ENST00000331789.9, ENST00000331925.6, ENST00000345517.7, ENST00000366684.7, ENST00000423391.2	transcript_ENSUAMT00000005433, transcript_ENSUAMT00000020237, transcript_ENSUAMT00000021369, transcript_ENSUAMT00000024025, transcript_ENSUAMT00000026542, transcript_ENSUAMT00000034306	rna14004, rna19708, rna19888, rna34192, rna41988, rna4301, rna46027	rna10087, rna12158, rna15116, rna20059, rna21508, rna21985, rna24486, rna32395, rna9959
OG0000011	rna-XM_002919539.4, rna-XM_002920297.4, rna-XM_002925177.4, rna-XM_002928416.4, rna-XM_011223454.3, rna-XM_019808018.2, rna-XM_034643534.1, rna-XM_034657115.1, rna-XM_034661745.1, rna-XM_034661964.1, rna-XM_034671255.1	ENST00000166244.7, ENST00000281821.6, ENST00000330394.2, ENST00000336596.6, ENST00000358173.7, ENST00000358432.7, ENST00000369303.8, ENST00000389672.9, ENST00000398015.7, ENST00000400191.7, ENST00000622150.4	transcript_ENSUAMT00000002279, transcript_ENSUAMT00000005777, transcript_ENSUAMT00000010101, transcript_ENSUAMT00000020782, transcript_ENSUAMT00000026388, transcript_ENSUAMT00000027468, transcript_ENSUAMT00000029313, transcript_ENSUAMT00000033609, transcript_ENSUAMT00000040423, transcript_ENSUAMT00000041262	rna11734, rna1414, rna25400, rna28901, rna33950, rna35080, rna35087, rna38102, rna5586, rna595, rna614	rna10128, rna11074, rna15920, rna15926, rna16024, rna20231, rna23628, rna2734, rna27479, rna27723, rna3219
OG0000012	rna-XM_002923997.4, rna-XM_002928187.4, rna-XM_002928201.3, rna-XM_002929998.2	ENST00000306842.2, ENST00000328064.2, ENST00000341493.3, ENST00000354597.3, ENST00000375013.2	transcript_ENSUAMT00000004903, transcript_ENSUAMT00000006680, transcript_ENSUAMT00000007104, transcript_ENSUAMT00000007107, transcript_ENSUAMT00000019100, transcript_ENSUAMT00000019103, transcript_ENSUAMT00000019105, transcript_ENSUAMT00000020829, transcript_ENSUAMT00000022804, transcript_ENSUAMT00000022805, transcript_ENSUAMT00000022808, transcript_ENSUAMT00000024261, transcript_ENSUAMT00000024265, transcript_ENSUAMT00000024269, transcript_ENSUAMT00000024271, transcript_ENSUAMT00000034073, transcript_ENSUAMT00000034590, transcript_ENSUAMT00000034591	rna21330, rna21331, rna21332	rna35629, rna35630, rna35631, rna35632, rna35633, rna35634, rna35635, rna35636, rna35637, rna35638, rna35639, rna35644, rna35645, rna35646, rna35647, rna8357, rna8358, rna8359, rna8360, rna8361, rna8363, rna8368, rna8369, rna8370
OG0000013	rna-XM_034651155.1, rna-XM_034652742.1, rna-XM_034652743.1, rna-XM_034655700.1, rna-XM_034655701.1, rna-XM_034656145.1, rna-XM_034656170.1, rna-XM_034656171.1, rna-XM_034656172.1, rna-XM_034656173.1, rna-XM_034656174.1	ENST00000252085.3, ENST00000253812.7, ENST00000394576.2, ENST00000398587.6, ENST00000398594.3, ENST00000398604.2, ENST00000398610.2, ENST00000517417.2, ENST00000517434.2, ENST00000518069.1, ENST00000518325.1, ENST00000519479.1, ENST00000520790.1, ENST00000522605.1, ENST00000523390.1, ENST00000571252.2, ENST00000573521.1, ENST00000576222.1, ENST00000617380.1	transcript_ENSUAMT00000000681, transcript_ENSUAMT00000000708, transcript_ENSUAMT00000000730, transcript_ENSUAMT00000000741, transcript_ENSUAMT00000000748, transcript_ENSUAMT00000000770, transcript_ENSUAMT00000000787, transcript_ENSUAMT00000000800, transcript_ENSUAMT00000000807, transcript_ENSUAMT00000000824, transcript_ENSUAMT00000000911, transcript_ENSUAMT00000003467, transcript_ENSUAMT00000041696	rna24512	rna12262, rna12264, rna12265, rna12266, rna12267, rna12268, rna12269, rna12270, rna12271
OG0000014	rna-XM_002915516.4, rna-XM_002926120.4, rna-XM_011225512.1, rna-XM_034639053.1, rna-XM_034643153.1, rna-XM_034650745.1, rna-XM_034650953.1, rna-XM_034651101.1, rna-XM_034651534.1, rna-XM_034651617.1, rna-XM_034651631.1, rna-XM_034652674.1, rna-XM_034652819.1, rna-XM_034652893.1, rna-XM_034653051.1, rna-XM_034653288.1, rna-XM_034653402.1, rna-XM_034657626.1, rna-XM_034660394.1, rna-XM_034660444.1	ENST00000217133.1, ENST00000259818.7, ENST00000264071.6, ENST00000315491.11, ENST00000317702.9, ENST00000327892.12, ENST00000333628.3, ENST00000340384.4, ENST00000568584.5	transcript_ENSUAMT00000017707, transcript_ENSUAMT00000021786, transcript_ENSUAMT00000022001, transcript_ENSUAMT00000031071, transcript_ENSUAMT00000031586, transcript_ENSUAMT00000031792, transcript_ENSUAMT00000033546, transcript_ENSUAMT00000038478	rna19471, rna28285, rna28385, rna28386, rna43230, rna48620, rna52413, rna52474, rna8645	rna13874, rna21258, rna24281, rna25038, rna26712, rna34477
OG0000015	rna-XM_011217345.3, rna-XM_019793332.2, rna-XM_019801541.2, rna-XM_034657834.1	ENST00000242804.8, ENST00000293725.9, ENST00000301547.9, ENST00000304030.2, ENST00000304060.9, ENST00000311437.10, ENST00000318110.9, ENST00000323169.9, ENST00000334213.9, ENST00000339282.11, ENST00000341191.10, ENST00000343325.8, ENST00000343381.10, ENST00000343949.9, ENST00000343979.5, ENST00000344099.3, ENST00000344980.10, ENST00000356109.9, ENST00000357901.4, ENST00000361113.9, ENST00000366503.2, ENST00000397732.7, ENST00000428311.1, ENST00000429654.6, ENST00000430024.5, ENST00000430385.3, ENST00000435033.1, ENST00000439326.7, ENST00000439556.2, ENST00000543802.2, ENST00000547473.1, ENST00000547628.1, ENST00000590798.1, ENST00000595562.1, ENST00000598753.1, ENST00000622593.4	transcript_ENSUAMT00000025350, transcript_ENSUAMT00000028161, transcript_ENSUAMT00000036480	rna43550, rna50401, rna50403, rna50405	rna30920, rna34916, rna34917, rna34918
OG0000016		ENST00000240499.7, ENST00000261560.9, ENST00000282869.10, ENST00000300619.11, ENST00000307355.11, ENST00000309683.10, ENST00000311048.11, ENST00000322487.11, ENST00000328178.12, ENST00000328747.11, ENST00000330020.4, ENST00000331162.8, ENST00000335117.8, ENST00000343769.5, ENST00000343776.9, ENST00000344519.8, ENST00000356929.3, ENST00000357002.4, ENST00000357491.10, ENST00000357774.9, ENST00000358491.8, ENST00000359788.8, ENST00000392288.6, ENST00000397104.5, ENST00000397121.2, ENST00000397126.8, ENST00000402377.3, ENST00000418063.2, ENST00000418100.5, ENST00000419098.5, ENST00000420713.1, ENST00000421025.3, ENST00000427401.8, ENST00000429565.4, ENST00000456283.6, ENST00000456783.2, ENST00000476120.1, ENST00000510175.5, ENST00000511833.2, ENST00000589717.1, ENST00000591639.5, ENST00000594710.1, ENST00000594947.5, ENST00000597761.6, ENST00000597972.5, ENST00000601693.1, ENST00000608416.5, ENST00000610261.5, ENST00000611392.5, ENST00000612591.4, ENST00000620827.4			
OG0000017	rna-XM_002928528.4, rna-XM_002928543.4, rna-XM_011217917.3, rna-XM_011234659.3, rna-XM_019807841.2, rna-XM_019809268.2, rna-XM_034645991.1, rna-XM_034660131.1, rna-XM_034660132.1, rna-XM_034660133.1, rna-XM_034660134.1	ENST00000244537.5, ENST00000355057.2, ENST00000358064.3, ENST00000377745.3, ENST00000377803.3, ENST00000578186.2, ENST00000611927.1, ENST00000614247.1, ENST00000615164.2, ENST00000615353.1, ENST00000617569.1, ENST00000618305.1, ENST00000621520.1, ENST00000634956.1	transcript_ENSUAMT00000003983, transcript_ENSUAMT00000004951, transcript_ENSUAMT00000007131, transcript_ENSUAMT00000015959, transcript_ENSUAMT00000015998, transcript_ENSUAMT00000023276, transcript_ENSUAMT00000032587, transcript_ENSUAMT00000037780, transcript_ENSUAMT00000037816	rna17907, rna27990, rna27997, rna27998, rna28169, rna28185, rna49037, rna53628, rna54144, rna54146	rna13939, rna13962, rna14047, rna17080, rna29792
OG0000018	rna-XM_002929136.4, rna-XM_002929137.4, rna-XM_011234385.2, rna-XM_011237132.2, rna-XM_011237719.2, rna-XM_019809817.2, rna-XM_034653247.1, rna-XM_034653321.1	ENST00000317996.1, ENST00000318021.3, ENST00000319968.4	transcript_ENSUAMT00000000709, transcript_ENSUAMT00000001101, transcript_ENSUAMT00000001883, transcript_ENSUAMT00000003234, transcript_ENSUAMT00000006759, transcript_ENSUAMT00000007651, transcript_ENSUAMT00000014575, transcript_ENSUAMT00000020941, transcript_ENSUAMT00000021549, transcript_ENSUAMT00000025226, transcript_ENSUAMT00000034544	rna23721, rna23722, rna23725, rna23726, rna23754, rna23759, rna23760, rna23761, rna23762, rna23763, rna23764, rna23765, rna23766, rna23772, rna23773	rna32863, rna32864, rna32870, rna32901, rna32902, rna32906, rna32909, rna33289, rna33290, rna33296, rna33297, rna33298
OG0000019	rna-XM_002930584.4, rna-XM_002930586.4, rna-XM_002930588.1, rna-XM_002930589.3, rna-XM_002931130.2, rna-XM_011217418.3, rna-XM_034653121.1	ENST00000316987.3, ENST00000321522.2, ENST00000379946.2, ENST00000445557.1, ENST00000537935.1, ENST00000610445.1	transcript_ENSUAMT00000000079, transcript_ENSUAMT00000000542, transcript_ENSUAMT00000002262, transcript_ENSUAMT00000003296, transcript_ENSUAMT00000003328, transcript_ENSUAMT00000004193, transcript_ENSUAMT00000016673, transcript_ENSUAMT00000030903, transcript_ENSUAMT00000036482, transcript_ENSUAMT00000036483, transcript_ENSUAMT00000036485	rna36109, rna36110, rna36111, rna36113, rna36118, rna52169, rna52170, rna52172, rna52173, rna52174, rna52175, rna52177	rna32546, rna32547, rna32549, rna32550, rna32551, rna32552, rna32554, rna33757, rna33764, rna33765, rna33767, rna33769, rna33770
OG0000020	rna-XM_002922702.2, rna-XM_002928225.4, rna-XM_002928232.4, rna-XM_002928233.2, rna-XM_002930993.3, rna-XM_002930994.4, rna-XM_002930995.2, rna-XM_002930996.1, rna-XM_002930997.4, rna-XM_011229262.2, rna-XM_034651828.1	ENST00000302572.2, ENST00000302581.2, ENST00000309403.2, ENST00000357377.3	transcript_ENSUAMT00000036817, transcript_ENSUAMT00000036818, transcript_ENSUAMT00000036822, transcript_ENSUAMT00000036826, transcript_ENSUAMT00000036829, transcript_ENSUAMT00000036831, transcript_ENSUAMT00000036832, transcript_ENSUAMT00000036833, transcript_ENSUAMT00000036834	rna49447, rna49448, rna49449, rna49450, rna49451, rna49452, rna49453, rna54111, rna54112, rna54113, rna54114, rna54368	rna15367, rna15368, rna15369, rna15370, rna15371, rna15372, rna15373, rna15374, rna15375, rna15376, rna15377
OG0000021	rna-XM_002918886.2, rna-XM_002929574.4, rna-XM_011237621.3, rna-XM_019799301.2, rna-XM_019799304.2, rna-XM_034663705.1, rna-XM_034663707.1, rna-XM_034663708.1	ENST00000277216.3, ENST00000335040.1, ENST00000341959.2, ENST00000374781.2, ENST00000424348.1	transcript_ENSUAMT00000000865, transcript_ENSUAMT00000002483, transcript_ENSUAMT00000002841, transcript_ENSUAMT00000003909, transcript_ENSUAMT00000003971, transcript_ENSUAMT00000004224, transcript_ENSUAMT00000006392, transcript_ENSUAMT00000006941, transcript_ENSUAMT00000012086, transcript_ENSUAMT00000012088, transcript_ENSUAMT00000012093, transcript_ENSUAMT00000020738, transcript_ENSUAMT00000020741, transcript_ENSUAMT00000020742, transcript_ENSUAMT00000020751	rna21969, rna21974, rna21975, rna21976, rna22141, rna22142, rna22143, rna22144, rna22145	rna16492, rna30656, rna30657, rna30658, rna30659, rna30779, rna30780, rna30781, rna30785, rna32669
OG0000022	rna-XM_034638121.1, rna-XM_034639071.1, rna-XM_034639072.1, rna-XM_034639175.1, rna-XM_034639191.1, rna-XM_034650316.1, rna-XM_034650395.1	ENST00000311015.7, ENST00000339986.7, ENST00000355095.8, ENST00000456806.2, ENST00000465049.6, ENST00000590202.2, ENST00000600810.1	transcript_ENSUAMT00000000943, transcript_ENSUAMT00000001479, transcript_ENSUAMT00000001607, transcript_ENSUAMT00000002923, transcript_ENSUAMT00000002996, transcript_ENSUAMT00000003036, transcript_ENSUAMT00000003196, transcript_ENSUAMT00000003451, transcript_ENSUAMT00000004916, transcript_ENSUAMT00000006170, transcript_ENSUAMT00000006381, transcript_ENSUAMT00000006385, transcript_ENSUAMT00000006518, transcript_ENSUAMT00000010876, transcript_ENSUAMT00000010937, transcript_ENSUAMT00000016690	rna50577, rna50744, rna50747, rna50748, rna50749, rna50751, rna50752, rna54429	rna23713, rna23716, rna23718, rna23720, rna23722, rna23730, rna23731, rna4317
OG0000023	id-LOC105235206, id-LOC105235235, id-LOC109488775, id-LOC117797786, id-LOC117797798, id-LOC117797799, id-LOC117797804, id-LOC117797812, id-LOC117797864, id-LOC117797917, id-LOC117797938, id-LOC117798015, id-LOC117798016, id-LOC117798018, id-LOC117798022, id-LOC117800354	ENST00000390285.4, ENST00000390290.3, ENST00000390291.2, ENST00000390294.2, ENST00000390297.3, ENST00000390299.2, ENST00000390301.3	transcript_ENSUAMT00000000400, transcript_ENSUAMT00000000455, transcript_ENSUAMT00000001497, transcript_ENSUAMT00000001529, transcript_ENSUAMT00000001533, transcript_ENSUAMT00000003630, transcript_ENSUAMT00000003650, transcript_ENSUAMT00000004028, transcript_ENSUAMT00000004954, transcript_ENSUAMT00000004987, transcript_ENSUAMT00000005125, transcript_ENSUAMT00000005138, transcript_ENSUAMT00000005173, transcript_ENSUAMT00000005337, transcript_ENSUAMT00000014322, transcript_ENSUAMT00000021458	id578916, id578932, id578935, id578940	gene26560, gene26562
OG0000024	rna-XM_002930630.3, rna-XM_002930631.2, rna-XM_019793192.2, rna-XM_034645999.1	ENST00000314644.2, ENST00000319813.3, ENST00000328188.1, ENST00000335238.4, ENST00000555099.1	transcript_ENSUAMT00000018301, transcript_ENSUAMT00000018303, transcript_ENSUAMT00000018304, transcript_ENSUAMT00000028898, transcript_ENSUAMT00000028899, transcript_ENSUAMT00000028900, transcript_ENSUAMT00000033935, transcript_ENSUAMT00000033945	rna28978, rna49280, rna49286, rna49298, rna49314, rna49321, rna49323, rna49325, rna53528, rna53529, rna53530, rna53929	rna15203, rna15204, rna15212, rna15217, rna15222, rna15224, rna15226, rna22965, rna22979, rna22986, rna23001, rna23002, rna23003, rna23008, rna23012, rna23014
