Gene stable ID	Gene stable ID version	Gene name
ENSG00000156804	ENSG00000156804.7	FBXO32
ENSG00000156990	ENSG00000156990.14	RPUSD3
ENSG00000157211	ENSG00000157211.11	CDCP2
ENSG00000157322	ENSG00000157322.17	CLEC18A
ENSG00000157502	ENSG00000157502.13	PWWP3B
ENSG00000157625	ENSG00000157625.15	TAB3
ENSG00000157657	ENSG00000157657.14	ZNF618
ENSG00000157782	ENSG00000157782.9	CABP1
ENSG00000157895	ENSG00000157895.11	C12orf43
ENSG00000157992	ENSG00000157992.12	KRTCAP3
ENSG00000158062	ENSG00000158062.20	UBXN11
ENSG00000158104	ENSG00000158104.11	HPD
ENSG00000158234	ENSG00000158234.12	FAIM
ENSG00000158258	ENSG00000158258.16	CLSTN2
ENSG00000158373	ENSG00000158373.8	H2BC5
ENSG00000158411	ENSG00000158411.11	MITD1
ENSG00000158467	ENSG00000158467.16	AHCYL2
ENSG00000158470	ENSG00000158470.5	B4GALT5
ENSG00000158486	ENSG00000158486.13	DNAH3
ENSG00000158560	ENSG00000158560.14	DYNC1I1
ENSG00000158623	ENSG00000158623.14	COPG2
ENSG00000158636	ENSG00000158636.16	EMSY
ENSG00000158669	ENSG00000158669.11	GPAT4
ENSG00000158773	ENSG00000158773.14	USF1
ENSG00000158865	ENSG00000158865.12	SLC5A11
ENSG00000158874	ENSG00000158874.11	APOA2
ENSG00000158941	ENSG00000158941.16	CCAR2
ENSG00000159224	ENSG00000159224.4	GIP
ENSG00000159239	ENSG00000159239.13	
ENSG00000159314	ENSG00000159314.11	ARHGAP27
ENSG00000159339	ENSG00000159339.13	PADI4
ENSG00000159450	ENSG00000159450.12	TCHH
ENSG00000160124	ENSG00000160124.9	MIX23
ENSG00000160161	ENSG00000160161.9	CILP2
ENSG00000160202	ENSG00000160202.7	CRYAA
ENSG00000160318	ENSG00000160318.6	CLDND2
ENSG00000160685	ENSG00000160685.13	ZBTB7B
ENSG00000160783	ENSG00000160783.19	PMF1
ENSG00000160791	ENSG00000160791.13	CCR5
ENSG00000160999	ENSG00000160999.10	SH2B2
ENSG00000161040	ENSG00000161040.16	FBXL13
ENSG00000161203	ENSG00000161203.13	AP2M1
ENSG00000161204	ENSG00000161204.11	ABCF3
ENSG00000161610	ENSG00000161610.1	HCRT
ENSG00000161640	ENSG00000161640.15	SIGLEC11
ENSG00000161652	ENSG00000161652.12	IZUMO2
ENSG00000161807	ENSG00000161807.3	OR7G1
ENSG00000161849	ENSG00000161849.3	KRT84
ENSG00000161888	ENSG00000161888.11	SPC24
ENSG00000161911	ENSG00000161911.11	TREML1
ENSG00000161939	ENSG00000161939.19	RNASEK-C17orf49
ENSG00000161944	ENSG00000161944.16	ASGR2
ENSG00000162006	ENSG00000162006.9	MSLNL
ENSG00000162009	ENSG00000162009.8	SSTR5
ENSG00000162078	ENSG00000162078.11	ZG16B
ENSG00000162174	ENSG00000162174.12	ASRGL1
ENSG00000162267	ENSG00000162267.12	ITIH3
ENSG00000162367	ENSG00000162367.11	TAL1
ENSG00000162413	ENSG00000162413.16	KLHL21
ENSG00000162437	ENSG00000162437.14	RAVER2
ENSG00000162598	ENSG00000162598.13	C1orf87
ENSG00000162604	ENSG00000162604.12	TM2D1
ENSG00000162727	ENSG00000162727.3	OR2M5
ENSG00000162746	ENSG00000162746.14	FCRLB
ENSG00000162757	ENSG00000162757.4	C1orf74
ENSG00000162761	ENSG00000162761.14	LMX1A
ENSG00000162881	ENSG00000162881.6	OXER1
ENSG00000162949	ENSG00000162949.16	CAPN13
ENSG00000162972	ENSG00000162972.10	MAIP1
ENSG00000163291	ENSG00000163291.14	PAQR3
ENSG00000163352	ENSG00000163352.5	LENEP
ENSG00000163376	ENSG00000163376.11	KBTBD8
ENSG00000163453	ENSG00000163453.11	IGFBP7
ENSG00000163491	ENSG00000163491.16	NEK10
ENSG00000163530	ENSG00000163530.4	DPPA2
ENSG00000163611	ENSG00000163611.11	SPICE1
ENSG00000163638	ENSG00000163638.13	ADAMTS9
ENSG00000163673	ENSG00000163673.7	DCLK3
ENSG00000163734	ENSG00000163734.4	CXCL3
ENSG00000163792	ENSG00000163792.6	TCF23
ENSG00000163794	ENSG00000163794.6	UCN
ENSG00000163798	ENSG00000163798.13	SLC4A1AP
ENSG00000163882	ENSG00000163882.9	POLR2H
ENSG00000163939	ENSG00000163939.18	PBRM1
ENSG00000163961	ENSG00000163961.4	RNF168
ENSG00000164023	ENSG00000164023.14	SGMS2
ENSG00000164049	ENSG00000164049.14	FBXW12
ENSG00000164099	ENSG00000164099.3	PRSS12
ENSG00000164334	ENSG00000164334.15	FAM170A
ENSG00000164404	ENSG00000164404.8	GDF9
ENSG00000164451	ENSG00000164451.13	CALHM4
ENSG00000164463	ENSG00000164463.12	CREBRF
ENSG00000164506	ENSG00000164506.14	STXBP5
ENSG00000164684	ENSG00000164684.13	ZNF704
ENSG00000164729	ENSG00000164729.7	SLC35G3
ENSG00000164758	ENSG00000164758.7	MED30
ENSG00000164778	ENSG00000164778.4	EN2
ENSG00000164920	ENSG00000164920.9	OSR2
ENSG00000164935	ENSG00000164935.6	DCSTAMP
ENSG00000164975	ENSG00000164975.15	SNAPC3
ENSG00000165194	ENSG00000165194.15	PCDH19
ENSG00000165202	ENSG00000165202.3	OR1Q1
ENSG00000165204	ENSG00000165204.3	OR1K1
ENSG00000165215	ENSG00000165215.6	CLDN3
ENSG00000165238	ENSG00000165238.16	WNK2
ENSG00000165355	ENSG00000165355.7	FBXO33
ENSG00000165383	ENSG00000165383.11	LRRC18
ENSG00000165462	ENSG00000165462.5	PHOX2A
ENSG00000165494	ENSG00000165494.11	PCF11
ENSG00000165521	ENSG00000165521.15	EML5
ENSG00000165555	ENSG00000165555.9	NOXRED1
ENSG00000165637	ENSG00000165637.13	VDAC2
ENSG00000165682	ENSG00000165682.14	CLEC1B
ENSG00000165935	ENSG00000165935.9	SMCO2
ENSG00000165949	ENSG00000165949.12	IFI27
ENSG00000166090	ENSG00000166090.8	IL25
ENSG00000166140	ENSG00000166140.17	ZFYVE19
ENSG00000166160	ENSG00000166160.9	OPN1MW2
ENSG00000166263	ENSG00000166263.13	STXBP4
ENSG00000166473	ENSG00000166473.17	PKD1L2
ENSG00000166569	ENSG00000166569.8	CPLX4
ENSG00000166669	ENSG00000166669.13	ATF7IP2
ENSG00000166823	ENSG00000166823.5	MESP1
ENSG00000166855	ENSG00000166855.9	CLPX
ENSG00000166922	ENSG00000166922.8	SCG5
ENSG00000166960	ENSG00000166960.16	CCDC178
ENSG00000166965	ENSG00000166965.12	RCCD1
ENSG00000167104	ENSG00000167104.11	BPIFB6
ENSG00000167359	ENSG00000167359.8	OR51I1
ENSG00000167395	ENSG00000167395.10	ZNF646
ENSG00000167414	ENSG00000167414.4	GNG8
ENSG00000167476	ENSG00000167476.10	JSRP1
ENSG00000167515	ENSG00000167515.10	TRAPPC2L
ENSG00000167531	ENSG00000167531.6	LALBA
ENSG00000167633	ENSG00000167633.18	KIR3DL1
ENSG00000167664	ENSG00000167664.8	TMIGD2
ENSG00000167676	ENSG00000167676.4	PLIN4
ENSG00000167699	ENSG00000167699.13	GLOD4
ENSG00000167749	ENSG00000167749.11	KLK4
ENSG00000167768	ENSG00000167768.4	KRT1
ENSG00000167774	ENSG00000167774.2	
ENSG00000167807	ENSG00000167807.15	
ENSG00000167825	ENSG00000167825.3	OR5I1
ENSG00000168101	ENSG00000168101.14	NUDT16L1
ENSG00000168124	ENSG00000168124.2	OR1F1
ENSG00000168131	ENSG00000168131.4	OR2B2
ENSG00000168135	ENSG00000168135.4	KCNJ4
ENSG00000168412	ENSG00000168412.6	MTNR1A
ENSG00000168502	ENSG00000168502.17	MTCL1
ENSG00000168515	ENSG00000168515.3	SCGB1D1
ENSG00000168594	ENSG00000168594.15	ADAM29
ENSG00000168703	ENSG00000168703.5	WFDC12
ENSG00000168757	ENSG00000168757.12	TSPY2
ENSG00000168807	ENSG00000168807.16	SNTB2
ENSG00000168824	ENSG00000168824.14	NSG1
ENSG00000168907	ENSG00000168907.13	PLA2G4F
ENSG00000168930	ENSG00000168930.13	TRIM49
ENSG00000168952	ENSG00000168952.15	STXBP6
ENSG00000168970	ENSG00000168970.22	JMJD7-PLA2G4B
ENSG00000168995	ENSG00000168995.13	SIGLEC7
ENSG00000169045	ENSG00000169045.17	HNRNPH1
ENSG00000169116	ENSG00000169116.11	PARM1
ENSG00000169122	ENSG00000169122.11	FAM110B
ENSG00000169194	ENSG00000169194.9	IL13
ENSG00000169231	ENSG00000169231.13	THBS3
ENSG00000169398	ENSG00000169398.19	PTK2
ENSG00000169402	ENSG00000169402.15	RSPH10B2
ENSG00000169474	ENSG00000169474.4	SPRR1A
ENSG00000169507	ENSG00000169507.9	SLC38A11
ENSG00000169548	ENSG00000169548.3	ZNF280A
ENSG00000169641	ENSG00000169641.13	LUZP1
ENSG00000169684	ENSG00000169684.13	CHRNA5
ENSG00000169727	ENSG00000169727.12	GPS1
ENSG00000169760	ENSG00000169760.17	NLGN1
ENSG00000169851	ENSG00000169851.15	PCDH7
ENSG00000169906	ENSG00000169906.5	S100G
ENSG00000170017	ENSG00000170017.12	ALCAM
ENSG00000170160	ENSG00000170160.17	CCDC144A
ENSG00000170255	ENSG00000170255.7	MRGPRX1
ENSG00000170364	ENSG00000170364.12	SETMAR
ENSG00000170421	ENSG00000170421.12	KRT8
ENSG00000170523	ENSG00000170523.3	KRT83
ENSG00000170613	ENSG00000170613.4	FAM71B
ENSG00000170633	ENSG00000170633.16	RNF34
ENSG00000170782	ENSG00000170782.3	OR10A4
ENSG00000170909	ENSG00000170909.13	OSCAR
ENSG00000170920	ENSG00000170920.2	OR7G3
ENSG00000170921	ENSG00000170921.15	TANC2
ENSG00000170948	ENSG00000170948.3	MBD3L1
ENSG00000171004	ENSG00000171004.18	HS6ST2
ENSG00000171116	ENSG00000171116.7	HSFX1
ENSG00000171121	ENSG00000171121.16	KCNMB3
ENSG00000171189	ENSG00000171189.17	GRIK1
ENSG00000171209	ENSG00000171209.3	CSN3
ENSG00000171217	ENSG00000171217.5	CLDN20
ENSG00000171262	ENSG00000171262.11	FAM98B
ENSG00000171345	ENSG00000171345.13	KRT19
ENSG00000171489	ENSG00000171489.10	SPACA5
ENSG00000171492	ENSG00000171492.14	LRRC8D
ENSG00000171505	ENSG00000171505.5	OR1N1
ENSG00000171790	ENSG00000171790.15	SLFNL1
ENSG00000171914	ENSG00000171914.16	TLN2
ENSG00000172150	ENSG00000172150.4	OR1A2
ENSG00000172199	ENSG00000172199.1	OR8U1
ENSG00000172288	ENSG00000172288.7	CDY1
ENSG00000172318	ENSG00000172318.5	B3GALT1
ENSG00000172352	ENSG00000172352.5	CDY1B
ENSG00000172508	ENSG00000172508.10	CARNS1
ENSG00000172590	ENSG00000172590.18	MRPL52
ENSG00000172680	ENSG00000172680.1	MOS
ENSG00000172716	ENSG00000172716.16	SLFN11
ENSG00000172752	ENSG00000172752.14	COL6A5
ENSG00000172772	ENSG00000172772.3	OR10W1
ENSG00000172785	ENSG00000172785.18	CBWD1
ENSG00000172938	ENSG00000172938.3	MRGPRD
ENSG00000172955	ENSG00000172955.17	ADH6
ENSG00000173145	ENSG00000173145.11	NOC3L
ENSG00000173163	ENSG00000173163.10	COMMD1
ENSG00000173230	ENSG00000173230.15	GOLGB1
ENSG00000173302	ENSG00000173302.5	GPR148
ENSG00000173366	ENSG00000173366.11	
ENSG00000173431	ENSG00000173431.2	RNASE8
ENSG00000173464	ENSG00000173464.14	RNASE11
ENSG00000173531	ENSG00000173531.15	MST1
ENSG00000173546	ENSG00000173546.7	CSPG4
ENSG00000173572	ENSG00000173572.11	NLRP13
ENSG00000173610	ENSG00000173610.12	UGT2A1
ENSG00000173679	ENSG00000173679.2	OR1L1
ENSG00000173681	ENSG00000173681.16	BCLAF3
ENSG00000173702	ENSG00000173702.7	MUC13
ENSG00000173769	ENSG00000173769.4	TOPAZ1
ENSG00000173821	ENSG00000173821.19	RNF213
ENSG00000174010	ENSG00000174010.9	KLHL15
ENSG00000174016	ENSG00000174016.11	TENT5D
ENSG00000174130	ENSG00000174130.12	TLR6
ENSG00000174279	ENSG00000174279.4	EVX2
ENSG00000174292	ENSG00000174292.12	TNK1
ENSG00000174332	ENSG00000174332.5	GLIS1
ENSG00000174448	ENSG00000174448.8	STARD6
ENSG00000174482	ENSG00000174482.10	LINGO2
ENSG00000174521	ENSG00000174521.7	TTC9B
ENSG00000174529	ENSG00000174529.7	TMEM81
ENSG00000174547	ENSG00000174547.13	MRPL11
ENSG00000174562	ENSG00000174562.13	KLK15
ENSG00000174599	ENSG00000174599.5	TRAM1L1
ENSG00000174628	ENSG00000174628.16	IQCK
ENSG00000174796	ENSG00000174796.12	THAP6
ENSG00000174844	ENSG00000174844.14	DNAH12
ENSG00000174957	ENSG00000174957.1	OR5J2
ENSG00000175121	ENSG00000175121.11	WFDC5
ENSG00000175206	ENSG00000175206.10	NPPA
ENSG00000175325	ENSG00000175325.2	PROP1
ENSG00000175471	ENSG00000175471.19	MCTP1
ENSG00000175513	ENSG00000175513.9	TSGA10IP
ENSG00000175514	ENSG00000175514.2	GPR152
ENSG00000175535	ENSG00000175535.6	PNLIP
ENSG00000175711	ENSG00000175711.8	B3GNTL1
ENSG00000175756	ENSG00000175756.13	AURKAIP1
ENSG00000176009	ENSG00000176009.3	ASCL3
ENSG00000176040	ENSG00000176040.13	TMPRSS7
ENSG00000176076	ENSG00000176076.7	KCNE5
ENSG00000176108	ENSG00000176108.9	CHMP6
ENSG00000176136	ENSG00000176136.6	MC5R
ENSG00000176171	ENSG00000176171.11	BNIP3
ENSG00000176200	ENSG00000176200.1	OR4D11
ENSG00000176239	ENSG00000176239.7	OR51B6
ENSG00000176246	ENSG00000176246.1	OR4L1
ENSG00000176472	ENSG00000176472.10	ZNF575
ENSG00000176531	ENSG00000176531.10	PHLDB3
ENSG00000176540	ENSG00000176540.3	OR4C5
ENSG00000176555	ENSG00000176555.1	OR4S1
ENSG00000176567	ENSG00000176567.1	OR4X1
ENSG00000176681	ENSG00000176681.14	LRRC37A
ENSG00000176769	ENSG00000176769.9	TCERG1L
ENSG00000176787	ENSG00000176787.2	OR52E2
ENSG00000176896	ENSG00000176896.8	TCEANC
ENSG00000176900	ENSG00000176900.2	OR51T1
ENSG00000176927	ENSG00000176927.15	EFCAB5
ENSG00000176953	ENSG00000176953.12	NFATC2IP
ENSG00000177025	ENSG00000177025.3	C19orf18
ENSG00000177108	ENSG00000177108.5	ZDHHC22
ENSG00000177125	ENSG00000177125.5	ZBTB34
ENSG00000177174	ENSG00000177174.1	OR14C36
ENSG00000177186	ENSG00000177186.3	OR2M7
ENSG00000177191	ENSG00000177191.2	B3GNT8
ENSG00000177243	ENSG00000177243.3	DEFB103B
ENSG00000177453	ENSG00000177453.7	NIM1K
ENSG00000177463	ENSG00000177463.15	NR2C2
ENSG00000177476	ENSG00000177476.3	OR2G3
ENSG00000177489	ENSG00000177489.1	OR2G2
ENSG00000177551	ENSG00000177551.5	NHLH2
ENSG00000177558	ENSG00000177558.3	FAM187B
ENSG00000177602	ENSG00000177602.5	HASPIN
ENSG00000177689	ENSG00000177689.10	MAGEB10
ENSG00000177853	ENSG00000177853.14	ZNF518A
ENSG00000177951	ENSG00000177951.17	BET1L
ENSG00000178104	ENSG00000178104.19	PDE4DIP
ENSG00000178125	ENSG00000178125.14	PPP1R42
ENSG00000178342	ENSG00000178342.4	KCNG2
ENSG00000178522	ENSG00000178522.14	AMBN
ENSG00000178605	ENSG00000178605.13	GTPBP6
ENSG00000178732	ENSG00000178732.5	GP5
ENSG00000178928	ENSG00000178928.8	TPRX1
ENSG00000178935	ENSG00000178935.5	ZNF552
ENSG00000179002	ENSG00000179002.5	TAS1R2
ENSG00000179134	ENSG00000179134.15	SAMD4B
ENSG00000179213	ENSG00000179213.13	SIGLECL1
ENSG00000179256	ENSG00000179256.2	SMCO3
ENSG00000179344	ENSG00000179344.16	HLA-DQB1
ENSG00000179407	ENSG00000179407.3	DNAJB8
ENSG00000179456	ENSG00000179456.10	ZBTB18
ENSG00000179639	ENSG00000179639.10	FCER1A
ENSG00000179709	ENSG00000179709.8	NLRP8
ENSG00000179817	ENSG00000179817.5	MRGPRX4
ENSG00000179833	ENSG00000179833.4	SERTAD2
ENSG00000179841	ENSG00000179841.8	AKAP5
ENSG00000179873	ENSG00000179873.14	NLRP11
ENSG00000179912	ENSG00000179912.20	R3HDM2
ENSG00000179919	ENSG00000179919.3	OR10A7
ENSG00000180016	ENSG00000180016.2	OR1E1
ENSG00000180043	ENSG00000180043.11	FAM71E2
ENSG00000180098	ENSG00000180098.9	TRNAU1AP
ENSG00000180116	ENSG00000180116.15	C12orf40
ENSG00000180138	ENSG00000180138.7	CSNK1A1L
ENSG00000180185	ENSG00000180185.11	FAHD1
ENSG00000180304	ENSG00000180304.14	OAZ2
ENSG00000180357	ENSG00000180357.9	ZNF609
ENSG00000180370	ENSG00000180370.10	PAK2
ENSG00000180423	ENSG00000180423.4	HARBI1
ENSG00000180425	ENSG00000180425.11	C11orf71
ENSG00000180475	ENSG00000180475.4	OR10Q1
ENSG00000180574	ENSG00000180574.3	EIF2S3B
ENSG00000180596	ENSG00000180596.7	H2BC4
ENSG00000180881	ENSG00000180881.19	CAPS2
ENSG00000180919	ENSG00000180919.3	OR56B4
ENSG00000181016	ENSG00000181016.9	LSMEM1
ENSG00000181143	ENSG00000181143.15	MUC16
ENSG00000181218	ENSG00000181218.5	H2AW
ENSG00000181458	ENSG00000181458.10	TMEM45A
ENSG00000181609	ENSG00000181609.5	OR52D1
ENSG00000181619	ENSG00000181619.11	GPR135
ENSG00000181625	ENSG00000181625.17	SLX1B
ENSG00000181652	ENSG00000181652.19	ATG9B
ENSG00000181752	ENSG00000181752.3	OR8K5
ENSG00000181761	ENSG00000181761.5	OR8H3
ENSG00000181789	ENSG00000181789.14	COPG1
ENSG00000181803	ENSG00000181803.3	OR6S1
ENSG00000181885	ENSG00000181885.18	CLDN7
ENSG00000181963	ENSG00000181963.5	OR52K2
ENSG00000182050	ENSG00000182050.13	MGAT4C
ENSG00000182170	ENSG00000182170.3	MRGPRG
ENSG00000182185	ENSG00000182185.18	RAD51B
ENSG00000182223	ENSG00000182223.7	ZAR1
ENSG00000182315	ENSG00000182315.9	MBD3L3
ENSG00000182447	ENSG00000182447.4	OTOL1
ENSG00000182521	ENSG00000182521.5	TBPL2
ENSG00000182545	ENSG00000182545.6	RNASE10
ENSG00000182600	ENSG00000182600.9	SNORC
ENSG00000182612	ENSG00000182612.10	TSPAN10
ENSG00000182670	ENSG00000182670.13	TTC3
ENSG00000182798	ENSG00000182798.10	MAGEB17
ENSG00000182974	ENSG00000182974.3	OR4M2B
ENSG00000183019	ENSG00000183019.7	MCEMP1
ENSG00000183023	ENSG00000183023.18	SLC8A1
ENSG00000183066	ENSG00000183066.14	WBP2NL
ENSG00000183067	ENSG00000183067.5	IGSF5
ENSG00000183077	ENSG00000183077.15	AFMID
ENSG00000183090	ENSG00000183090.5	FREM3
ENSG00000183128	ENSG00000183128.7	CALHM3
ENSG00000183146	ENSG00000183146.4	PRORY
ENSG00000183185	ENSG00000183185.9	GABRR3
ENSG00000183260	ENSG00000183260.7	ABHD16B
ENSG00000183269	ENSG00000183269.5	OR52E8
ENSG00000183310	ENSG00000183310.3	OR2T34
ENSG00000183318	ENSG00000183318.11	SPDYE4
ENSG00000183336	ENSG00000183336.8	BOLA2
ENSG00000183549	ENSG00000183549.10	ACSM5
ENSG00000183560	ENSG00000183560.9	IZUMO1R
ENSG00000183621	ENSG00000183621.15	ZNF438
ENSG00000183665	ENSG00000183665.5	TRMT12
ENSG00000183671	ENSG00000183671.12	GPR1
ENSG00000183688	ENSG00000183688.4	RFLNB
ENSG00000183718	ENSG00000183718.5	TRIM52
ENSG00000183733	ENSG00000183733.6	FIGLA
ENSG00000183833	ENSG00000183833.16	CFAP91
ENSG00000183862	ENSG00000183862.5	CNGA2
ENSG00000183888	ENSG00000183888.4	SRARP
ENSG00000183914	ENSG00000183914.14	DNAH2
ENSG00000183921	ENSG00000183921.7	SDR42E2
ENSG00000183938	ENSG00000183938.5	TRBV21OR9-2
ENSG00000184076	ENSG00000184076.13	UQCR10
ENSG00000184155	ENSG00000184155.8	OR10J5
ENSG00000184163	ENSG00000184163.3	C1QTNF12
ENSG00000184205	ENSG00000184205.14	TSPYL2
ENSG00000184293	ENSG00000184293.7	CLECL1
ENSG00000184321	ENSG00000184321.1	OR51J1
ENSG00000184389	ENSG00000184389.9	A3GALT2
ENSG00000184451	ENSG00000184451.5	CCR10
ENSG00000184492	ENSG00000184492.6	FOXD4L1
ENSG00000184557	ENSG00000184557.4	SOCS3
ENSG00000184659	ENSG00000184659.5	FOXD4L4
ENSG00000184678	ENSG00000184678.10	H2BC21
ENSG00000184709	ENSG00000184709.7	LRRC26
ENSG00000184814	ENSG00000184814.5	PRR23B
ENSG00000184923	ENSG00000184923.12	NUTM2A
ENSG00000184954	ENSG00000184954.4	OR6C70
ENSG00000184985	ENSG00000184985.16	SORCS2
ENSG00000184988	ENSG00000184988.8	TMEM106A
ENSG00000184995	ENSG00000184995.7	IFNE
ENSG00000185008	ENSG00000185008.17	ROBO2
ENSG00000185013	ENSG00000185013.16	NT5C1B
ENSG00000185033	ENSG00000185033.14	SEMA4B
ENSG00000185038	ENSG00000185038.14	MROH2A
ENSG00000185069	ENSG00000185069.2	KRT76
ENSG00000185085	ENSG00000185085.2	INTS5
ENSG00000185105	ENSG00000185105.5	MYADML2
ENSG00000185127	ENSG00000185127.6	C6orf120
ENSG00000185158	ENSG00000185158.12	LRRC37B
ENSG00000185278	ENSG00000185278.15	ZBTB37
ENSG00000185340	ENSG00000185340.15	GAS2L1
ENSG00000185499	ENSG00000185499.16	MUC1
ENSG00000185523	ENSG00000185523.6	SPATA45
ENSG00000185610	ENSG00000185610.6	DBX2
ENSG00000185619	ENSG00000185619.18	PCGF3
ENSG00000185621	ENSG00000185621.11	LMLN
ENSG00000185633	ENSG00000185633.10	NDUFA4L2
ENSG00000185674	ENSG00000185674.9	LYG2
ENSG00000185821	ENSG00000185821.3	OR6C76
ENSG00000185860	ENSG00000185860.13	CCDC190
ENSG00000185888	ENSG00000185888.5	PRSS38
ENSG00000185899	ENSG00000185899.1	TAS2R60
ENSG00000185915	ENSG00000185915.5	KLHL34
ENSG00000185926	ENSG00000185926.1	OR4C46
ENSG00000185962	ENSG00000185962.1	LCE3A
ENSG00000186038	ENSG00000186038.9	HTR3E
ENSG00000186049	ENSG00000186049.8	KRT73
ENSG00000186106	ENSG00000186106.11	ANKRD46
ENSG00000186113	ENSG00000186113.1	OR5D14
ENSG00000186136	ENSG00000186136.1	TAS2R42
ENSG00000186190	ENSG00000186190.7	BPIFB3
ENSG00000186281	ENSG00000186281.12	GPAT2
ENSG00000186288	ENSG00000186288.5	PABPC1L2A
ENSG00000186306	ENSG00000186306.1	OR10T2
ENSG00000186329	ENSG00000186329.9	TMEM212
ENSG00000186393	ENSG00000186393.5	KRT26
ENSG00000186442	ENSG00000186442.7	KRT3
ENSG00000186469	ENSG00000186469.8	GNG2
ENSG00000186509	ENSG00000186509.4	OR9Q1
ENSG00000186523	ENSG00000186523.14	FAM86B1
ENSG00000186628	ENSG00000186628.12	FSD2
ENSG00000186795	ENSG00000186795.1	KCNK18
ENSG00000186838	ENSG00000186838.13	SELENOV
ENSG00000186881	ENSG00000186881.3	OR13F1
ENSG00000186924	ENSG00000186924.3	KRTAP22-1
ENSG00000186925	ENSG00000186925.6	KRTAP19-6
ENSG00000186943	ENSG00000186943.1	OR13C8
ENSG00000186951	ENSG00000186951.16	PPARA
ENSG00000186970	ENSG00000186970.4	KRTAP15-1
ENSG00000186971	ENSG00000186971.3	KRTAP13-4
ENSG00000186994	ENSG00000186994.11	KANK3
ENSG00000187033	ENSG00000187033.9	SAMD7
ENSG00000187082	ENSG00000187082.2	DEFB106B
ENSG00000187135	ENSG00000187135.7	VSTM2B
ENSG00000187144	ENSG00000187144.11	SPATA21
ENSG00000187151	ENSG00000187151.7	ANGPTL5
ENSG00000187166	ENSG00000187166.1	H1-7
ENSG00000187238	ENSG00000187238.5	LCE3B
ENSG00000187243	ENSG00000187243.16	MAGED4B
ENSG00000187612	ENSG00000187612.1	OR5W2
ENSG00000187642	ENSG00000187642.9	PERM1
ENSG00000187682	ENSG00000187682.2	ERAS
ENSG00000187699	ENSG00000187699.10	C2orf88
ENSG00000187715	ENSG00000187715.13	KBTBD12
ENSG00000187720	ENSG00000187720.14	THSD4
ENSG00000187747	ENSG00000187747.2	OR52B6
ENSG00000187766	ENSG00000187766.1	KRTAP10-8
ENSG00000187821	ENSG00000187821.8	HELT
ENSG00000187823	ENSG00000187823.3	RTL4
ENSG00000187833	ENSG00000187833.7	C2orf78
ENSG00000187871	ENSG00000187871.2	GFRAL
ENSG00000187905	ENSG00000187905.10	LRRC74B
ENSG00000187950	ENSG00000187950.8	OVCH1
ENSG00000187959	ENSG00000187959.9	CPSF4L
ENSG00000187987	ENSG00000187987.9	ZSCAN23
ENSG00000187997	ENSG00000187997.11	C17orf99
ENSG00000188011	ENSG00000188011.5	RTP5
ENSG00000188070	ENSG00000188070.9	C11orf95
ENSG00000188089	ENSG00000188089.13	PLA2G4E
ENSG00000188155	ENSG00000188155.11	KRTAP10-6
ENSG00000188186	ENSG00000188186.10	LAMTOR4
ENSG00000188199	ENSG00000188199.10	NUTM2B
ENSG00000188263	ENSG00000188263.10	IL17REL
ENSG00000188282	ENSG00000188282.12	RUFY4
ENSG00000188306	ENSG00000188306.6	LRRIQ4
ENSG00000188334	ENSG00000188334.3	BSPH1
ENSG00000188352	ENSG00000188352.12	FOCAD
ENSG00000188403	ENSG00000188403.7	IGHV1OR15-9
ENSG00000188408	ENSG00000188408.5	MAGEB5
ENSG00000188486	ENSG00000188486.3	H2AX
ENSG00000188501	ENSG00000188501.11	LCTL
ENSG00000188549	ENSG00000188549.12	CCDC9B
ENSG00000188610	ENSG00000188610.12	FAM72B
ENSG00000188655	ENSG00000188655.10	RNASE9
ENSG00000188676	ENSG00000188676.13	IDO2
ENSG00000188687	ENSG00000188687.17	SLC4A5
ENSG00000188691	ENSG00000188691.5	OR56A5
ENSG00000188766	ENSG00000188766.12	SPRED3
ENSG00000188784	ENSG00000188784.4	PLA2G2E
ENSG00000188818	ENSG00000188818.12	ZDHHC11
ENSG00000188878	ENSG00000188878.19	FBF1
ENSG00000188958	ENSG00000188958.9	UTS2B
ENSG00000188991	ENSG00000188991.3	SLC15A5
ENSG00000188996	ENSG00000188996.4	HUS1B
ENSG00000189013	ENSG00000189013.14	KIR2DL4
ENSG00000189023	ENSG00000189023.10	MAGEB16
ENSG00000189051	ENSG00000189051.5	RNF222
ENSG00000189099	ENSG00000189099.11	PRSS48
ENSG00000189169	ENSG00000189169.7	KRTAP10-12
ENSG00000189253	ENSG00000189253.7	TRIM64B
ENSG00000189280	ENSG00000189280.3	GJB5
ENSG00000196090	ENSG00000196090.12	PTPRT
ENSG00000196126	ENSG00000196126.11	HLA-DRB1
ENSG00000196131	ENSG00000196131.6	VN1R2
ENSG00000196152	ENSG00000196152.10	ZNF79
ENSG00000196171	ENSG00000196171.3	OR6K2
ENSG00000196289	ENSG00000196289.7	BECN2
ENSG00000196388	ENSG00000196388.8	INCA1
ENSG00000196420	ENSG00000196420.7	S100A5
ENSG00000196428	ENSG00000196428.12	TSC22D2
ENSG00000196440	ENSG00000196440.11	ARMCX4
ENSG00000196465	ENSG00000196465.10	MYL6B
ENSG00000196466	ENSG00000196466.10	ZNF799
ENSG00000196498	ENSG00000196498.13	NCOR2
