txid	geneid	name	chr
rna18322	gene10129	WNT5B	NW_020656135.1
rna1778	gene1013	NPC1L1	NW_020656122.1
rna18324	gene10131	ADIPOR2	NW_020656135.1
rna18328	gene10133	CACNA2D4	NW_020656135.1
rna18329	gene10134	LRTM2	NW_020656135.1
rna18331	gene10135	DCP1B	NW_020656135.1
rna18336	gene10136	CACNA1C	NW_020656135.1
rna1780	gene1014	NUDCD3	NW_020656122.1
rna18337	gene10140	IL17RA	NW_020656135.1
rna18338	gene10141	TMEM121B	NW_020656135.1
rna18339	gene10142	HDHD5	NW_020656135.1
rna18343	gene10144	ADA2	NW_020656135.1
rna18347	gene10147	LOC113258058	NW_020656135.1
rna18351	gene10148	SLC25A18	NW_020656135.1
rna18359	gene10149	ATP6V1E1	NW_020656135.1
rna1782	gene1015	CAMK2B	NW_020656122.1
rna18361	gene10151	BCL2L13	NW_020656135.1
rna18365	gene10154	BID	NW_020656135.1
rna18368	gene10155	MICAL3	NW_020656135.1
rna18373	gene10156	PEX26	NW_020656135.1
rna18378	gene10157	TUBA8	NW_020656135.1
rna18380	gene10158	USP18	NW_020656135.1
rna18383	gene10159	RALGAPA2	NW_020656136.1
rna1788	gene1016	YKT6	NW_020656122.1
rna18384	gene10160	INSM1	NW_020656136.1
rna18385	gene10161	CFAP61	NW_020656136.1
rna18386	gene10163	CRNKL1	NW_020656136.1
rna18387	gene10164	NAA20	NW_020656136.1
rna18392	gene10166	RIN2	NW_020656136.1
rna18399	gene10167	SLC24A3	NW_020656136.1
rna18401	gene10168	SCP2D1	NW_020656136.1
rna18403	gene10169	DTD1	NW_020656136.1
rna1789	gene1017	GCK	NW_020656122.1
rna18406	gene10171	SMIM26	NW_020656136.1
rna18407	gene10172	SEC23B	NW_020656136.1
rna18409	gene10173	RBBP9	NW_020656136.1
rna18411	gene10174	POLR3F	NW_020656136.1
rna18413	gene10175	DZANK1	NW_020656136.1
rna18418	gene10176	ZNF133	NW_020656136.1
rna18427	gene10178	KAT14	NW_020656136.1
rna18428	gene10179	PET117	NW_020656136.1
rna1794	gene1018	MYL7	NW_020656122.1
rna18429	gene10180	OVOL2	NW_020656136.1
rna18430	gene10181	MGME1	NW_020656136.1
rna18432	gene10182	SNX5	NW_020656136.1
rna18435	gene10185	BANF2	NW_020656136.1
rna18438	gene10186	RRBP1	NW_020656136.1
rna18440	gene10187	DSTN	NW_020656136.1
rna18441	gene10188	BFSP1	NW_020656136.1
rna18442	gene10189	PCSK2	NW_020656136.1
rna1795	gene1019	POLD2	NW_020656122.1
rna18443	gene10190	OTOR	NW_020656136.1
rna18444	gene10191	SNRPB2	NW_020656136.1
rna18448	gene10192	KIF16B	NW_020656136.1
rna18455	gene10194	MACROD2	NW_020656136.1
rna18457	gene10196	FLRT3	NW_020656136.1
rna18460	gene10198	SEL1L2	NW_020656136.1
rna18461	gene10199	NDUFAF5	NW_020656136.1
rna214	gene102	PCP4	NW_020656121.1
rna1798	gene1020	AEBP1	NW_020656122.1
rna18469	gene10200	ESF1	NW_020656136.1
rna18472	gene10203	TASP1	NW_020656136.1
rna18474	gene10204	ISM1	NW_020656136.1
rna18475	gene10205	SPTLC3	NW_020656136.1
rna18482	gene10209	BTBD3	NW_020656136.1
rna18483	gene10211	JAG1	NW_020656136.1
rna18485	gene10212	SLX4IP	NW_020656136.1
rna18488	gene10213	MKKS	NW_020656136.1
rna18493	gene10215	SNAP25	NW_020656136.1
rna18498	gene10219	ANKEF1	NW_020656136.1
rna1801	gene1022	POLM	NW_020656122.1
rna18500	gene10221	PAK5	NW_020656136.1
rna18501	gene10222	LAMP5	NW_020656136.1
rna18502	gene10223	PLCB4	NW_020656136.1
rna18503	gene10225	PLCB1	NW_020656136.1
rna18505	gene10228	LOC113258244	NW_020656136.1
rna18506	gene10229	TMX4	NW_020656136.1
rna1803	gene1023	PGAM2	NW_020656122.1
rna18507	gene10230	HAO1	NW_020656136.1
rna18509	gene10231	BMP2	NW_020656136.1
rna18510	gene10233	FERMT1	NW_020656136.1
rna18514	gene10235	LRRN4	NW_020656136.1
rna18515	gene10236	CRLS1	NW_020656136.1
rna18522	gene10238	MCM8	NW_020656136.1
rna18525	gene10239	TRMT6	NW_020656136.1
rna1805	gene1024	DBNL	NW_020656122.1
rna18528	gene10240	CHGB	NW_020656136.1
rna18530	gene10242	SHLD1	NW_020656136.1
rna18535	gene10244	GPCPD1	NW_020656136.1
rna18537	gene10246	PROKR2	NW_020656136.1
rna18539	gene10247	CDS2	NW_020656136.1
rna18540	gene10250	PCNA	NW_020656136.1
rna18541	gene10251	TMEM230	NW_020656136.1
rna18545	gene10252	SLC23A2	NW_020656136.1
rna18550	gene10254	RASSF2	NW_020656136.1
rna18557	gene10255	PRND	NW_020656136.1
rna18559	gene10257	PRNP	NW_020656136.1
rna18562	gene10262	ADRA1D	NW_020656136.1
rna18564	gene10263	SMOX	NW_020656136.1
rna18568	gene10265	RNF24	NW_020656136.1
rna18569	gene10266	PANK2	NW_020656136.1
rna18571	gene10267	MAVS	NW_020656136.1
rna18575	gene10268	AP5S1	NW_020656136.1
rna18579	gene10269	CDC25B	NW_020656136.1
rna18582	gene10270	CENPB	NW_020656136.1
rna18583	gene10271	SPEF1	NW_020656136.1
rna18585	gene10272	CUNH20orf27	NW_020656136.1
rna18587	gene10273	HSPA12B	NW_020656136.1
rna18589	gene10275	SIGLEC1	NW_020656136.1
rna18592	gene10276	ADAM33	NW_020656136.1
rna18603	gene10277	GFRA4	NW_020656136.1
rna18605	gene10278	ATRN	NW_020656136.1
rna1809	gene1028	LOC113257828	NW_020656122.1
rna18609	gene10280	CUNH20orf194	NW_020656136.1
rna18611	gene10282	SLC4A11	NW_020656136.1
rna18613	gene10283	ITPA	NW_020656136.1
rna18615	gene10284	DDRGK1	NW_020656136.1
rna18616	gene10285	LZTS3	NW_020656136.1
rna18619	gene10286	FASTKD5	NW_020656136.1
rna18621	gene10287	UBOX5	NW_020656136.1
rna18623	gene10288	AVP	NW_020656136.1
rna18624	gene10289	OXT	NW_020656136.1
rna1811	gene1029	MRPS24	NW_020656122.1
rna18625	gene10290	MRPS26	NW_020656136.1
rna18626	gene10291	GNRH2	NW_020656136.1
rna18627	gene10292	PTPRA	NW_020656136.1
rna18631	gene10293	VPS16	NW_020656136.1
rna18632	gene10294	PCED1A	NW_020656136.1
rna18634	gene10295	TMEM239	NW_020656136.1
rna18635	gene10296	CUNH20orf141	NW_020656136.1
rna18636	gene10297	CPXM1	NW_020656136.1
rna18639	gene10298	EBF4	NW_020656136.1
rna216	gene103	IGSF5	NW_020656121.1
rna1814	gene1030	BLVRA	NW_020656122.1
rna18646	gene10302	IDH3B	NW_020656136.1
rna18647	gene10303	NOP56	NW_020656136.1
rna18653	gene10309	TMC2	NW_020656136.1
rna1819	gene1031	LOC113258015	NW_020656122.1
rna18654	gene10310	ZNF343	NW_020656136.1
rna18655	gene10311	SNRPB	NW_020656136.1
rna18656	gene10312	TGM6	NW_020656136.1
rna18657	gene10313	TGM3	NW_020656136.1
rna18658	gene10314	STK35	NW_020656136.1
rna18661	gene10317	PDYN	NW_020656136.1
rna18664	gene10318	SIRPA	NW_020656136.1
rna18666	gene10320	LOC113258253	NW_020656136.1
rna18667	gene10321	LOC113258420	NW_020656136.1
rna18668	gene10322	LOC113258254	NW_020656136.1
rna18669	gene10323	LOC113258255	NW_020656136.1
rna18675	gene10324	LOC113258421	NW_020656136.1
rna18676	gene10325	LOC113258423	NW_020656136.1
rna18677	gene10326	NSFL1C	NW_020656136.1
rna18679	gene10327	FKBP1A	NW_020656136.1
rna1821	gene1033	STK17A	NW_020656122.1
rna18686	gene10330	SDCBP2	NW_020656136.1
rna18692	gene10331	SNPH	NW_020656136.1
rna18694	gene10332	RAD21L1	NW_020656136.1
rna18695	gene10333	CUNH20orf202	NW_020656136.1
rna18696	gene10334	TMEM74B	NW_020656136.1
rna18697	gene10335	PSMF1	NW_020656136.1
rna18698	gene10336	RSPO4	NW_020656136.1
rna18700	gene10337	ANGPT4	NW_020656136.1
rna18707	gene10339	FAM110A	NW_020656136.1
rna1822	gene1034	HECW1	NW_020656122.1
rna18709	gene10341	SLC52A3	NW_020656136.1
rna18715	gene10343	SRXN1	NW_020656136.1
rna18717	gene10345	TCF15	NW_020656136.1
rna18718	gene10346	CSNK2A1	NW_020656136.1
rna18721	gene10348	TBC1D20	NW_020656136.1
rna1823	gene1035	MRPL32	NW_020656122.1
rna18726	gene10350	RBCK1	NW_020656136.1
rna18728	gene10351	TRIB3	NW_020656136.1
rna18730	gene10352	NRSN2	NW_020656136.1
rna18731	gene10353	SOX12	NW_020656136.1
rna18732	gene10354	ZCCHC3	NW_020656136.1
rna18733	gene10355	CUNH20orf96	NW_020656136.1
rna18735	gene10356	DEFB129	NW_020656136.1
rna18736	gene10359	DEFB127	NW_020656136.1
rna1824	gene1036	PSMA2	NW_020656122.1
rna18737	gene10360	DEFB126	NW_020656136.1
rna18739	gene10362	DEFB116	NW_020656136.1
rna18740	gene10364	LOC113258454	NW_020656136.1
rna18741	gene10365	DEFB121	NW_020656136.1
rna18742	gene10367	DEFB123	NW_020656136.1
rna18744	gene10369	DEFB124	NW_020656136.1
rna1825	gene1037	CUNH7orf25	NW_020656122.1
rna18745	gene10370	REM1	NW_020656136.1
rna18746	gene10371	HM13	NW_020656136.1
rna18753	gene10372	ID1	NW_020656136.1
rna18754	gene10373	LOC113258460	NW_020656136.1
rna18762	gene10374	BCL2L1	NW_020656136.1
rna18768	gene10376	TPX2	NW_020656136.1
rna18771	gene10377	MYLK2	NW_020656136.1
rna18772	gene10378	FOXS1	NW_020656136.1
rna18773	gene10379	LOC113258465	NW_020656136.1
rna18774	gene10380	DUSP15	NW_020656136.1
rna18775	gene10381	TTLL9	NW_020656136.1
rna18776	gene10382	PDRG1	NW_020656136.1
rna18777	gene10383	XKR7	NW_020656136.1
rna18780	gene10385	CCM2L	NW_020656136.1
rna18783	gene10386	HCK	NW_020656136.1
rna18784	gene10387	TM9SF4	NW_020656136.1
rna18787	gene10390	PLAGL2	NW_020656136.1
rna18788	gene10391	POFUT1	NW_020656136.1
rna18793	gene10394	KIF3B	NW_020656136.1
rna18795	gene10395	ASXL1	NW_020656136.1
rna18803	gene10397	NOL4L	NW_020656136.1
rna18806	gene10399	LOC113258266	NW_020656136.1
rna217	gene104	B3GALT5	NW_020656121.1
rna18807	gene10400	COMMD7	NW_020656136.1
rna18812	gene10401	DNMT3B	NW_020656136.1
rna18817	gene10402	MAPRE1	NW_020656136.1
rna18819	gene10403	EFCAB8	NW_020656136.1
rna18820	gene10404	SUN5	NW_020656136.1
rna18821	gene10405	BPIFB2	NW_020656136.1
rna18822	gene10406	BPIFB6	NW_020656136.1
rna18823	gene10407	BPIFB3	NW_020656136.1
rna18824	gene10408	BPIFB4	NW_020656136.1
rna18825	gene10409	BPIFA2	NW_020656136.1
rna1828	gene1041	GLI3	NW_020656122.1
rna18826	gene10410	LOC113258270	NW_020656136.1
rna18827	gene10411	BPIFA3	NW_020656136.1
rna18828	gene10412	BPIFA1	NW_020656136.1
rna18829	gene10413	BPIFB1	NW_020656136.1
rna18830	gene10414	LOC113258489	NW_020656136.1
rna18832	gene10415	LOC113258491	NW_020656136.1
rna18834	gene10416	CDK5RAP1	NW_020656136.1
rna18836	gene10417	SNTA1	NW_020656136.1
rna18841	gene10419	CBFA2T2	NW_020656136.1
rna1830	gene1042	INHBA	NW_020656122.1
rna18843	gene10420	NECAB3	NW_020656136.1
rna18844	gene10421	CUNH20orf144	NW_020656136.1
rna18845	gene10422	ACTL10	NW_020656136.1
rna18846	gene10423	E2F1	NW_020656136.1
rna18848	gene10424	PXMP4	NW_020656136.1
rna18852	gene10426	ZNF341	NW_020656136.1
rna18855	gene10427	CHMP4B	NW_020656136.1
rna18862	gene10431	RALY	NW_020656136.1
rna18866	gene10433	EIF2S2	NW_020656136.1
rna18871	gene10435	ASIP	NW_020656136.1
rna18874	gene10436	AHCY	NW_020656136.1
rna18876	gene10439	ITCH	NW_020656136.1
rna18878	gene10440	DYNLRB1	NW_020656136.1
rna18879	gene10441	MAP1LC3A	NW_020656136.1
rna18881	gene10442	PIGU	NW_020656136.1
rna18887	gene10445	TP53INP2	NW_020656136.1
rna18891	gene10446	NCOA6	NW_020656136.1
rna18894	gene10447	GGT7	NW_020656136.1
rna18896	gene10448	ACSS2	NW_020656136.1
rna18898	gene10450	GSS	NW_020656136.1
rna18904	gene10452	MYH7B	NW_020656136.1
rna18907	gene10453	TRPC4AP	NW_020656136.1
rna18909	gene10454	LOC113258529	NW_020656136.1
rna18910	gene10455	PROCR	NW_020656136.1
rna18912	gene10457	MMP24	NW_020656136.1
rna18913	gene10458	MMP24OS	NW_020656136.1
rna18914	gene10459	EIF6	NW_020656136.1
rna1835	gene1046	SUGCT	NW_020656122.1
rna18916	gene10460	FAM83C	NW_020656136.1
rna18918	gene10461	LOC113258537	NW_020656136.1
rna18919	gene10462	GDF5	NW_020656136.1
rna18922	gene10463	CEP250	NW_020656136.1
rna18932	gene10464	ERGIC3	NW_020656136.1
rna18935	gene10465	LOC113258273	NW_020656136.1
rna18936	gene10466	LOC113258274	NW_020656136.1
rna18937	gene10467	SPAG4	NW_020656136.1
rna18945	gene10468	LOC113258542	NW_020656136.1
rna18950	gene10469	NFS1	NW_020656136.1
rna18951	gene10470	ROMO1	NW_020656136.1
rna18955	gene10471	RBM39	NW_020656136.1
rna18957	gene10473	PHF20	NW_020656136.1
rna18960	gene10477	SCAND1	NW_020656136.1
rna18961	gene10478	CNBD2	NW_020656136.1
rna18965	gene10479	LOC113258275	NW_020656136.1
rna18966	gene10480	EPB41L1	NW_020656136.1
rna18975	gene10481	LOC113258552	NW_020656136.1
rna18976	gene10482	AAR2	NW_020656136.1
rna18978	gene10483	DLGAP4	NW_020656136.1
rna18981	gene10484	MYL9	NW_020656136.1
rna18984	gene10486	TGIF2	NW_020656136.1
rna18991	gene10488	RAB5IF	NW_020656136.1
rna18992	gene10489	SLA2	NW_020656136.1
rna19000	gene10490	NDRG3	NW_020656136.1
rna19002	gene10492	DSN1	NW_020656136.1
rna19005	gene10495	SOGA1	NW_020656136.1
rna19010	gene10496	TLDC2	NW_020656136.1
rna19011	gene10497	SAMHD1	NW_020656136.1
rna1841	gene1050	MPLKIP	NW_020656122.1
rna19015	gene10500	RBL1	NW_020656136.1
rna19019	gene10501	MROH8	NW_020656136.1
rna19025	gene10502	RPN2	NW_020656136.1
rna19028	gene10503	GHRH	NW_020656136.1
rna19030	gene10504	MANBAL	NW_020656136.1
rna19033	gene10505	SRC	NW_020656136.1
rna19037	gene10507	BLCAP	NW_020656136.1
rna19039	gene10508	NNAT	NW_020656136.1
rna19042	gene10509	CTNNBL1	NW_020656136.1
rna1843	gene1051	CDK13	NW_020656122.1
rna19044	gene10510	VSTM2L	NW_020656136.1
rna19045	gene10511	TTI1	NW_020656136.1
rna19047	gene10512	RPRD1B	NW_020656136.1
rna19048	gene10513	TGM2	NW_020656136.1
rna19049	gene10514	KIAA1755	NW_020656136.1
rna19050	gene10515	BPI	NW_020656136.1
rna19051	gene10516	LBP	NW_020656136.1
rna19053	gene10517	LOC113258593	NW_020656136.1
rna19064	gene10525	RALGAPB	NW_020656136.1
rna19066	gene10526	ADIG	NW_020656136.1
rna19068	gene10528	SLC32A1	NW_020656136.1
rna19070	gene10529	ACTR5	NW_020656136.1
rna1846	gene1053	RALA	NW_020656122.1
rna19071	gene10530	LOC113258279	NW_020656136.1
rna19072	gene10531	PPP1R16B	NW_020656136.1
rna19073	gene10532	FAM83D	NW_020656136.1
rna19076	gene10534	DHX35	NW_020656136.1
rna19081	gene10538	MAFB	NW_020656136.1
rna19082	gene10539	TOP1	NW_020656136.1
rna19085	gene10541	PLCG1	NW_020656136.1
rna19087	gene10542	ZHX3	NW_020656136.1
rna19091	gene10543	LPIN3	NW_020656136.1
rna19093	gene10544	EMILIN3	NW_020656136.1
rna19096	gene10545	CHD6	NW_020656136.1
rna19101	gene10548	LOC113258616	NW_020656136.1
rna19102	gene10549	LOC113258280	NW_020656136.1
rna1851	gene1055	YAE1	NW_020656122.1
rna19103	gene10550	LOC113258281	NW_020656136.1
rna19105	gene10553	SRSF6	NW_020656136.1
rna19106	gene10554	L3MBTL1	NW_020656136.1
rna19110	gene10555	SGK2	NW_020656136.1
rna19114	gene10556	IFT52	NW_020656136.1
rna19116	gene10557	MYBL2	NW_020656136.1
rna19119	gene10559	GTSF1L	NW_020656136.1
rna1852	gene1056	POU6F2	NW_020656122.1
rna19120	gene10560	TOX2	NW_020656136.1
rna19123	gene10561	LOC113258282	NW_020656136.1
rna19124	gene10562	LOC113258625	NW_020656136.1
rna19125	gene10563	OSER1	NW_020656136.1
rna19142	gene10564	GDAP1L1	NW_020656136.1
rna19144	gene10565	FITM2	NW_020656136.1
rna19145	gene10566	R3HDML	NW_020656136.1
rna19149	gene10567	HNF4A	NW_020656136.1
rna19155	gene10568	TTPAL	NW_020656136.1
rna19160	gene10569	SERINC3	NW_020656136.1
rna19162	gene10570	PKIG	NW_020656136.1
rna19165	gene10571	ADA	NW_020656136.1
rna19169	gene10573	WISP2	NW_020656136.1
rna19173	gene10574	KCNK15	NW_020656136.1
rna19174	gene10575	RIMS4	NW_020656136.1
rna19179	gene10578	YWHAB	NW_020656136.1
rna19184	gene10579	PABPC1L	NW_020656136.1
rna1855	gene1058	VPS41	NW_020656122.1
rna19186	gene10580	TOMM34	NW_020656136.1
rna19187	gene10581	STK4	NW_020656136.1
rna19193	gene10584	KCNS1	NW_020656136.1
rna19194	gene10585	LOC113258284	NW_020656136.1
rna19195	gene10586	PI3	NW_020656136.1
rna19197	gene10588	LOC113258285	NW_020656136.1
rna19198	gene10589	LOC113258212	NW_020656136.1
rna1856	gene1059	AMPH	NW_020656122.1
rna19199	gene10590	MATN4	NW_020656136.1
rna19200	gene10591	RBPJL	NW_020656136.1
rna19201	gene10592	SDC4	NW_020656136.1
rna19202	gene10593	SYS1	NW_020656136.1
rna19206	gene10594	TP53TG5	NW_020656136.1
rna19207	gene10595	DBNDD2	NW_020656136.1
rna19210	gene10596	PIGT	NW_020656136.1
rna19211	gene10597	SPINT3	NW_020656136.1
rna19212	gene10598	WFDC2	NW_020656136.1
rna19213	gene10600	LOC113258288	NW_020656136.1
rna19215	gene10602	WFDC8	NW_020656136.1
rna19216	gene10603	LOC113258290	NW_020656136.1
rna19217	gene10604	WFDC13	NW_020656136.1
rna19218	gene10605	SPINT4	NW_020656136.1
rna19219	gene10606	LOC113258655	NW_020656136.1
rna19220	gene10607	WFDC3	NW_020656136.1
rna19222	gene10608	DNTTIP1	NW_020656136.1
rna19224	gene10609	UBE2C	NW_020656136.1
rna19227	gene10610	TNNC2	NW_020656136.1
rna19228	gene10611	SNX21	NW_020656136.1
rna19231	gene10612	ACOT8	NW_020656136.1
rna19232	gene10613	ZSWIM3	NW_020656136.1
rna19234	gene10614	ZSWIM1	NW_020656136.1
rna19236	gene10615	SPATA25	NW_020656136.1
rna19237	gene10616	NEURL2	NW_020656136.1
rna19238	gene10617	CTSA	NW_020656136.1
rna19239	gene10618	PLTP	NW_020656136.1
rna19241	gene10620	PCIF1	NW_020656136.1
rna19243	gene10621	ZNF335	NW_020656136.1
rna19245	gene10622	MMP9	NW_020656136.1
rna19246	gene10623	SLC12A5	NW_020656136.1
rna19248	gene10624	NCOA5	NW_020656136.1
rna19251	gene10625	CD40	NW_020656136.1
rna19256	gene10626	CDH22	NW_020656136.1
rna19257	gene10627	SLC35C2	NW_020656136.1
rna19261	gene10628	ELMO2	NW_020656136.1
rna19265	gene10629	ZNF334	NW_020656136.1
rna19266	gene10630	LOC113258294	NW_020656136.1
rna19267	gene10631	OCSTAMP	NW_020656136.1
rna19269	gene10632	SLC13A3	NW_020656136.1
rna19270	gene10633	TP53RK	NW_020656136.1
rna19271	gene10634	SLC2A10	NW_020656136.1
rna19273	gene10635	EYA2	NW_020656136.1
rna19287	gene10637	ZMYND8	NW_020656136.1
rna19299	gene10641	NCOA3	NW_020656136.1
rna19302	gene10642	SULF2	NW_020656136.1
rna19305	gene10643	PREX1	NW_020656136.1
rna19306	gene10644	ARFGEF2	NW_020656136.1
rna19307	gene10645	CSE1L	NW_020656136.1
rna19313	gene10647	STAU1	NW_020656136.1
rna19317	gene10648	DDX27	NW_020656136.1
rna19319	gene10649	ZNFX1	NW_020656136.1
rna19323	gene10653	LOC113258296	NW_020656136.1
rna19325	gene10654	KCNB1	NW_020656136.1
rna19326	gene10655	PTGIS	NW_020656136.1
rna19327	gene10656	B4GALT5	NW_020656136.1
rna19328	gene10657	SLC9A8	NW_020656136.1
rna19332	gene10658	LOC113258218	NW_020656136.1
rna19333	gene10659	SPATA2	NW_020656136.1
rna1861	gene1066	LOC113258331	NW_020656122.1
rna19334	gene10660	RNF114	NW_020656136.1
rna19335	gene10661	SNAI1	NW_020656136.1
rna19344	gene10663	UBE2V1	NW_020656136.1
rna19348	gene10665	TMEM189	NW_020656136.1
rna19351	gene10668	CEBPB	NW_020656136.1
rna19354	gene10671	PTPN1	NW_020656136.1
rna19362	gene10673	RIPOR3	NW_020656136.1
rna19364	gene10675	PARD6B	NW_020656136.1
rna19365	gene10676	BCAS4	NW_020656136.1
rna19368	gene10677	ADNP	NW_020656136.1
rna19375	gene10678	DPM1	NW_020656136.1
rna19377	gene10679	MOCS3	NW_020656136.1
rna19378	gene10680	KCNG1	NW_020656136.1
rna19380	gene10681	NFATC2	NW_020656136.1
rna19383	gene10682	ATP9A	NW_020656136.1
rna19386	gene10683	SALL4	NW_020656136.1
rna19390	gene10684	ZFP64	NW_020656136.1
rna19392	gene10686	TSHZ2	NW_020656136.1
rna19397	gene10689	ZNF217	NW_020656136.1
rna19402	gene10694	BCAS1	NW_020656136.1
rna19403	gene10695	LOC113258741	NW_020656136.1
rna19405	gene10696	PFDN4	NW_020656136.1
rna19406	gene10697	DOK5	NW_020656136.1
rna220	gene107	LOC113256824	NW_020656121.1
rna19409	gene10700	CBLN4	NW_020656136.1
rna19410	gene10701	MC3R	NW_020656136.1
