Orthogroup	ursAme.longCDS.prots	ailMel.longCDS.prots
OG0000025	transcript_ENSUAMT00000010652	id-LOC109488455, id-LOC105234961, id-LOC105234544
OG0000025	transcript_ENSUAMT00000017185	id-LOC109488456
OG0000025	transcript_ENSUAMT00000001130	id-LOC117795072
OG0000026	transcript_ENSUAMT00000025265	rna-XM_019808319.2
OG0000026	transcript_ENSUAMT00000008595	rna-XM_019799401.2
OG0000026	transcript_ENSUAMT00000021048, transcript_ENSUAMT00000025755	rna-XM_034643547.1
OG0000026	transcript_ENSUAMT00000040626	rna-XM_034647281.1
OG0000026	transcript_ENSUAMT00000022391	rna-XM_034659452.1, rna-XM_034667630.1
OG0000026	transcript_ENSUAMT00000031086, transcript_ENSUAMT00000018747	rna-XM_034642450.1, rna-XM_034658502.1
OG0000027	transcript_ENSUAMT00000012756	rna-XM_034667730.1
OG0000027	transcript_ENSUAMT00000014904	rna-XM_002926087.4
OG0000027	transcript_ENSUAMT00000014901	rna-XM_034667616.1
OG0000027	transcript_ENSUAMT00000003143, transcript_ENSUAMT00000023294	rna-XM_019794055.2
OG0000027	transcript_ENSUAMT00000023291	rna-XM_034652629.1, rna-XM_002930581.3
OG0000027	transcript_ENSUAMT00000001359, transcript_ENSUAMT00000003370	rna-XM_002930582.2
OG0000028	transcript_ENSUAMT00000011076	rna-XM_019802703.2
OG0000028	transcript_ENSUAMT00000011081	rna-XM_034641051.1
OG0000028	transcript_ENSUAMT00000011087	rna-XM_002922160.4
OG0000028	transcript_ENSUAMT00000011155	rna-XM_034640779.1
OG0000028	transcript_ENSUAMT00000011153	rna-XM_034640778.1
OG0000028	transcript_ENSUAMT00000011145	rna-XM_002922161.4
OG0000028	transcript_ENSUAMT00000011131	rna-XM_002922114.4
OG0000029	transcript_ENSUAMT00000010999	rna-XM_002930847.3
OG0000029	transcript_ENSUAMT00000021576	rna-XM_002927215.3
OG0000029	transcript_ENSUAMT00000021581	rna-XM_002927216.2
OG0000029	transcript_ENSUAMT00000039760	rna-XM_002927214.4
OG0000029	transcript_ENSUAMT00000021577	rna-XM_002927208.2
OG0000029	transcript_ENSUAMT00000010996	rna-XM_002930846.2, rna-XM_034644782.1
OG0000029	transcript_ENSUAMT00000031613	rna-XM_002929995.3
OG0000029	transcript_ENSUAMT00000031612	rna-XM_011216694.3
OG0000030	transcript_ENSUAMT00000007049	rna-XM_002931045.2
OG0000030	transcript_ENSUAMT00000000738, transcript_ENSUAMT00000001698, transcript_ENSUAMT00000003813, transcript_ENSUAMT00000003857, transcript_ENSUAMT00000005226, transcript_ENSUAMT00000004161	rna-XM_034650187.1
OG0000030	transcript_ENSUAMT00000005424	rna-XM_034650081.1, rna-XM_002931189.2
OG0000030	transcript_ENSUAMT00000003567, transcript_ENSUAMT00000008443, transcript_ENSUAMT00000003290	rna-XM_002931242.4, rna-XM_034650891.1
OG0000030	transcript_ENSUAMT00000001725	rna-XM_011218101.2
OG0000030	transcript_ENSUAMT00000003322	rna-XM_002931190.2
OG0000031	transcript_ENSUAMT00000026222	rna-XM_002930608.4
OG0000031	transcript_ENSUAMT00000026220	rna-XM_034657195.1
OG0000031	transcript_ENSUAMT00000005146	rna-XM_002930607.4
OG0000031	transcript_ENSUAMT00000026219	rna-XM_034657197.1
OG0000031	transcript_ENSUAMT00000005149	rna-XM_019793538.2
OG0000031	transcript_ENSUAMT00000004964	rna-XM_002930606.4
OG0000031	transcript_ENSUAMT00000026218	rna-XM_002930716.3
OG0000031	transcript_ENSUAMT00000004963	rna-XM_002930605.4
OG0000032	transcript_ENSUAMT00000001428	rna-XM_002931096.4
OG0000032	transcript_ENSUAMT00000036487	rna-XM_034653438.1, rna-XM_034653407.1, rna-XM_002931337.4, rna-XM_034650212.1, rna-XM_034653405.1, rna-XM_034653406.1, rna-XM_034653392.1, rna-XM_034653441.1
OG0000032	transcript_ENSUAMT00000018281	rna-XM_002930755.3
OG0000033	transcript_ENSUAMT00000038847	rna-XM_034642847.1
OG0000033	transcript_ENSUAMT00000014220	rna-XM_019802760.2
OG0000033	transcript_ENSUAMT00000006108	rna-XM_002917048.2
OG0000033	transcript_ENSUAMT00000002774	rna-XM_002919906.4
OG0000033	transcript_ENSUAMT00000002585	rna-XM_002924875.4
OG0000033	transcript_ENSUAMT00000034686, transcript_ENSUAMT00000017210	rna-XM_034641584.1
OG0000034	transcript_ENSUAMT00000000966	rna-XM_034660159.1, rna-XM_034651690.1
OG0000034	transcript_ENSUAMT00000021395	rna-XM_002930303.2, rna-XM_011218319.2
OG0000034	transcript_ENSUAMT00000005484	rna-XM_011217953.2
OG0000035	transcript_ENSUAMT00000016510	rna-XM_002921817.2
OG0000035	transcript_ENSUAMT00000007638	rna-XM_034653915.1
OG0000035	transcript_ENSUAMT00000016378	rna-XM_002921829.4
OG0000035	transcript_ENSUAMT00000021469	rna-XM_002921827.4
OG0000035	transcript_ENSUAMT00000033225	rna-XM_034648599.1
OG0000035	transcript_ENSUAMT00000033226	rna-XM_034648651.1
OG0000035	transcript_ENSUAMT00000033224	rna-XM_002929133.2
OG0000035	transcript_ENSUAMT00000016377	rna-XM_002921816.2
OG0000036	transcript_ENSUAMT00000034323	rna-XM_034651676.1
OG0000036	transcript_ENSUAMT00000006245	rna-XM_019804162.2
OG0000036	transcript_ENSUAMT00000018211	rna-XM_034667301.1
OG0000036	transcript_ENSUAMT00000028622	rna-XM_034667296.1
OG0000036	transcript_ENSUAMT00000000565	rna-XM_034664929.1
OG0000036	transcript_ENSUAMT00000029882	rna-XM_034638257.1
OG0000037	transcript_ENSUAMT00000021443, transcript_ENSUAMT00000002243	id-LOC117798029
OG0000037	transcript_ENSUAMT00000007129, transcript_ENSUAMT00000020812	id-LOC105234852
OG0000037	transcript_ENSUAMT00000021441	id-LOC117797997
OG0000037	transcript_ENSUAMT00000012648, transcript_ENSUAMT00000003503, transcript_ENSUAMT00000002687, transcript_ENSUAMT00000006962, transcript_ENSUAMT00000004166, transcript_ENSUAMT00000001455, transcript_ENSUAMT00000019169, transcript_ENSUAMT00000003009, transcript_ENSUAMT00000019157	id-LOC105235063
OG0000038	transcript_ENSUAMT00000026411	rna-XM_011216996.2
OG0000038	transcript_ENSUAMT00000026412	rna-XM_019793062.1
OG0000038	transcript_ENSUAMT00000026415	rna-XM_034646065.1
OG0000038	transcript_ENSUAMT00000018321	rna-XM_034646064.1
OG0000038	transcript_ENSUAMT00000018306	rna-XM_034646613.1
OG0000038	transcript_ENSUAMT00000018312	rna-XM_034645874.1
OG0000038	transcript_ENSUAMT00000018308	rna-XM_034650404.1
OG0000038	transcript_ENSUAMT00000018317	rna-XM_034646538.1
OG0000038	transcript_ENSUAMT00000026416	rna-XM_034644808.1, rna-XM_034650305.1
OG0000039	transcript_ENSUAMT00000007878	rna-XM_034652147.1, rna-XM_034652067.1, rna-XM_034652640.1
OG0000040	transcript_ENSUAMT00000009088	rna-XM_034654035.1
OG0000040	transcript_ENSUAMT00000009153	rna-XM_002919208.4
OG0000040	transcript_ENSUAMT00000041665	rna-XM_002920527.4
OG0000040	transcript_ENSUAMT00000020398	rna-XM_002918261.4
OG0000040	transcript_ENSUAMT00000011396	rna-XM_011231771.3
OG0000040	transcript_ENSUAMT00000041660	rna-XM_034650939.1, rna-XM_011226623.3
OG0000041	transcript_ENSUAMT00000027329	rna-XM_034654505.1
OG0000041	transcript_ENSUAMT00000006483	rna-XM_034651363.1
OG0000041	transcript_ENSUAMT00000005900	rna-XM_034650883.1, rna-XM_034650880.1, rna-XM_034652624.1, rna-XM_034652654.1, rna-XM_002928987.4
OG0000041	transcript_ENSUAMT00000027328, transcript_ENSUAMT00000019562	rna-XM_011233500.3
OG0000041	transcript_ENSUAMT00000027254	rna-XM_002915119.4
OG0000042	transcript_ENSUAMT00000028852	rna-XM_034643019.1
OG0000042	transcript_ENSUAMT00000031829	rna-XM_034653053.1, rna-XM_034651347.1, rna-XM_034652471.1
OG0000042	transcript_ENSUAMT00000035669	rna-XM_002931069.4
OG0000043	transcript_ENSUAMT00000030925, transcript_ENSUAMT00000026923	rna-XM_002930259.2, rna-XM_034653250.1
OG0000043	transcript_ENSUAMT00000007484	rna-XM_002930260.4
OG0000043	transcript_ENSUAMT00000015759	rna-XM_019793089.2
OG0000043	transcript_ENSUAMT00000026922	rna-XM_002929675.2
OG0000043	transcript_ENSUAMT00000030926	rna-XM_002929677.2
OG0000043	transcript_ENSUAMT00000026924	rna-XM_011237720.3
OG0000046	transcript_ENSUAMT00000008167, transcript_ENSUAMT00000004191	rna-XM_011217598.3
OG0000046	transcript_ENSUAMT00000017158	rna-XM_034650069.1
OG0000046	transcript_ENSUAMT00000003335	rna-XM_034667340.1
OG0000046	transcript_ENSUAMT00000006613	rna-XM_034667335.1
OG0000046	transcript_ENSUAMT00000005002	rna-XM_034667339.1
OG0000046	transcript_ENSUAMT00000020542, transcript_ENSUAMT00000020662	rna-XM_019793557.2
OG0000046	transcript_ENSUAMT00000006924	rna-XM_019793558.2
OG0000047	transcript_ENSUAMT00000039096, transcript_ENSUAMT00000039097	rna-XM_002927275.4
OG0000047	transcript_ENSUAMT00000039091	rna-XM_011234811.3
OG0000047	transcript_ENSUAMT00000006562, transcript_ENSUAMT00000000374, transcript_ENSUAMT00000022328	rna-XM_002930742.4, rna-XM_034667681.1
OG0000047	transcript_ENSUAMT00000039095	rna-XM_011234815.2
OG0000047	transcript_ENSUAMT00000017982	rna-XM_011237480.3
OG0000047	transcript_ENSUAMT00000021390	rna-XM_011237481.2, rna-XM_034650114.1
OG0000048	transcript_ENSUAMT00000024533	rna-XM_034650367.1
OG0000048	transcript_ENSUAMT00000006123, transcript_ENSUAMT00000001774, transcript_ENSUAMT00000002425	rna-XM_011217727.2
OG0000048	transcript_ENSUAMT00000005778	rna-XM_034650851.1, rna-XM_034650336.1
OG0000049	transcript_ENSUAMT00000025850	rna-XM_002930914.2
OG0000049	transcript_ENSUAMT00000003984, transcript_ENSUAMT00000004629	rna-XM_002931217.2
OG0000049	transcript_ENSUAMT00000007668	rna-XM_034653263.1
OG0000049	transcript_ENSUAMT00000006993, transcript_ENSUAMT00000000884	rna-XM_002929840.2
OG0000050	transcript_ENSUAMT00000020423	rna-XM_002921919.4
OG0000050	transcript_ENSUAMT00000020422	rna-XM_034657224.1
OG0000050	transcript_ENSUAMT00000020424	rna-XM_002921920.4, rna-XM_002921921.4
OG0000051	transcript_ENSUAMT00000020214	rna-XM_034648398.1
OG0000051	transcript_ENSUAMT00000025410	rna-XM_034641240.1
OG0000051	transcript_ENSUAMT00000020228	rna-XM_034648682.1
OG0000051	transcript_ENSUAMT00000011062	rna-XM_002922111.4
OG0000051	transcript_ENSUAMT00000011072, transcript_ENSUAMT00000011075	rna-XM_002922113.4
OG0000051	transcript_ENSUAMT00000011070	rna-XM_002922112.4
OG0000052	transcript_ENSUAMT00000016286	rna-XM_019805397.2
OG0000052	transcript_ENSUAMT00000016287	rna-XM_034639499.1
OG0000052	transcript_ENSUAMT00000005366	rna-XM_034650411.1, rna-XM_019807812.2
OG0000053	transcript_ENSUAMT00000041055	rna-XM_034660461.1, rna-XM_034660207.1
OG0000053	transcript_ENSUAMT00000018313	rna-XM_034653156.1
OG0000053	transcript_ENSUAMT00000006208	rna-XM_034653258.1
OG0000053	transcript_ENSUAMT00000001119, transcript_ENSUAMT00000040106, transcript_ENSUAMT00000010788	rna-XM_034660460.1, rna-XM_034660459.1
OG0000054	transcript_ENSUAMT00000005888, transcript_ENSUAMT00000016583	rna-XM_034656137.1
OG0000054	transcript_ENSUAMT00000016613, transcript_ENSUAMT00000005892	rna-XM_034653093.1, rna-XM_034655628.1, rna-XM_034653092.1
OG0000054	transcript_ENSUAMT00000016571	rna-XM_034656135.1
OG0000055	transcript_ENSUAMT00000016713	rna-XM_034663715.1, rna-XM_002930671.2
OG0000055	transcript_ENSUAMT00000016711	rna-XM_011217520.3
OG0000055	transcript_ENSUAMT00000034492	rna-XM_019793497.2
OG0000055	transcript_ENSUAMT00000016708	rna-XM_002931317.4
OG0000055	transcript_ENSUAMT00000016718	rna-XM_034664456.1
OG0000056	transcript_ENSUAMT00000006968, transcript_ENSUAMT00000006971	rna-XM_034666171.1, rna-XM_034650117.1
OG0000056	transcript_ENSUAMT00000014900	rna-XM_034666107.1
OG0000056	transcript_ENSUAMT00000024466	rna-XM_002924998.4
OG0000057	transcript_ENSUAMT00000016167	rna-XM_019793500.2
OG0000057	transcript_ENSUAMT00000020927	rna-XM_034653272.1
OG0000057	transcript_ENSUAMT00000019192	rna-XM_002915958.4
OG0000057	transcript_ENSUAMT00000026006	rna-XM_002915959.2
OG0000057	transcript_ENSUAMT00000005087	rna-XM_002930725.3
OG0000057	transcript_ENSUAMT00000038123, transcript_ENSUAMT00000038124	rna-XM_002930728.3
OG0000058	transcript_ENSUAMT00000037532, transcript_ENSUAMT00000000913, transcript_ENSUAMT00000004730	rna-XM_002926106.4, rna-XM_034667610.1
OG0000058	transcript_ENSUAMT00000037531	rna-XM_002926105.4
OG0000058	transcript_ENSUAMT00000000860	rna-XM_002926107.1
OG0000058	transcript_ENSUAMT00000000871	rna-XM_011233431.2
OG0000058	transcript_ENSUAMT00000000876	rna-XM_002926082.2
OG0000058	transcript_ENSUAMT00000000901	rna-XM_002926083.3
OG0000059	transcript_ENSUAMT00000031432, transcript_ENSUAMT00000008118	rna-XM_034639104.1
OG0000059	transcript_ENSUAMT00000006515	rna-XM_011218170.2
OG0000060	transcript_ENSUAMT00000003886, transcript_ENSUAMT00000007447	rna-XM_002931011.2
OG0000060	transcript_ENSUAMT00000007440	rna-XM_002931213.4
OG0000060	transcript_ENSUAMT00000006912	rna-XM_002928570.2
OG0000060	transcript_ENSUAMT00000020178	rna-XM_034666461.1, rna-XM_034650104.1
OG0000061	transcript_ENSUAMT00000005070, transcript_ENSUAMT00000003664, transcript_ENSUAMT00000008155, transcript_ENSUAMT00000005198, transcript_ENSUAMT00000002114, transcript_ENSUAMT00000006840, transcript_ENSUAMT00000004102, transcript_ENSUAMT00000000610, transcript_ENSUAMT00000002730, transcript_ENSUAMT00000006726, transcript_ENSUAMT00000035163, transcript_ENSUAMT00000015954, transcript_ENSUAMT00000001960, transcript_ENSUAMT00000001235, transcript_ENSUAMT00000006437, transcript_ENSUAMT00000003954, transcript_ENSUAMT00000006777, transcript_ENSUAMT00000026925, transcript_ENSUAMT00000006906, transcript_ENSUAMT00000026926, transcript_ENSUAMT00000006904	rna-XM_002930731.4
OG0000062	transcript_ENSUAMT00000004965	rna-XM_002926072.4, rna-XM_034667722.1
OG0000062	transcript_ENSUAMT00000005167, transcript_ENSUAMT00000004971, transcript_ENSUAMT00000004849	rna-XM_034653264.1
OG0000062	transcript_ENSUAMT00000010703	rna-XM_002926097.2
OG0000062	transcript_ENSUAMT00000001799, transcript_ENSUAMT00000001553, transcript_ENSUAMT00000004739	rna-XM_034666467.1
OG0000062	transcript_ENSUAMT00000003763, transcript_ENSUAMT00000001564	rna-XM_011233415.1
OG0000062	transcript_ENSUAMT00000001808, transcript_ENSUAMT00000002332	rna-XM_002926100.4
OG0000063	transcript_ENSUAMT00000004748	id-LOC117797710
OG0000063	transcript_ENSUAMT00000020945	id-LOC105234920
OG0000063	transcript_ENSUAMT00000006662	id-LOC117797716
OG0000064	transcript_ENSUAMT00000004374	rna-XM_011217535.3, rna-XM_034646220.1
OG0000064	transcript_ENSUAMT00000031535, transcript_ENSUAMT00000004052, transcript_ENSUAMT00000031538, transcript_ENSUAMT00000000436, transcript_ENSUAMT00000002002, transcript_ENSUAMT00000010689, transcript_ENSUAMT00000007106, transcript_ENSUAMT00000031561, transcript_ENSUAMT00000031543, transcript_ENSUAMT00000002025, transcript_ENSUAMT00000003878, transcript_ENSUAMT00000006754, transcript_ENSUAMT00000012099, transcript_ENSUAMT00000015887, transcript_ENSUAMT00000001150, transcript_ENSUAMT00000015885, transcript_ENSUAMT00000015883, transcript_ENSUAMT00000028644, transcript_ENSUAMT00000028830, transcript_ENSUAMT00000017318, transcript_ENSUAMT00000003858, transcript_ENSUAMT00000005217, transcript_ENSUAMT00000020531, transcript_ENSUAMT00000003226	rna-XM_034644642.1, rna-XM_002931311.4
OG0000065	transcript_ENSUAMT00000004807	rna-XM_011236154.3
OG0000065	transcript_ENSUAMT00000035166	rna-XM_002920437.4
OG0000065	transcript_ENSUAMT00000004804	rna-XM_002928302.3
OG0000065	transcript_ENSUAMT00000026826	rna-XM_002920436.4
OG0000065	transcript_ENSUAMT00000014841	rna-XM_034638981.1
OG0000065	transcript_ENSUAMT00000035168	rna-XM_011226481.3
OG0000066	transcript_ENSUAMT00000022546	rna-XM_034665468.1
OG0000066	transcript_ENSUAMT00000003833	rna-XM_002925583.4
OG0000066	transcript_ENSUAMT00000003011	rna-XM_034642590.1
OG0000066	transcript_ENSUAMT00000032674	rna-XM_034655281.1
OG0000066	transcript_ENSUAMT00000029149	rna-XM_034650007.1
OG0000066	transcript_ENSUAMT00000013294	rna-XM_034665466.1
OG0000067	transcript_ENSUAMT00000031915	rna-XM_011218801.3
OG0000067	transcript_ENSUAMT00000021981	rna-XM_034670322.1
OG0000067	transcript_ENSUAMT00000033162	rna-XM_019801732.2
OG0000067	transcript_ENSUAMT00000026643	rna-XM_034638974.1
OG0000068	transcript_ENSUAMT00000002268	rna-XM_034649918.1
OG0000068	transcript_ENSUAMT00000002290	rna-XM_019797283.2
OG0000068	transcript_ENSUAMT00000030262	rna-XM_019800609.2
