Orthogroup	ursAme.longCDS.prots	ursMar.longCDS.prots
OG0000012	transcript_ENSUAMT00000034590	rna35638
OG0000012	transcript_ENSUAMT00000007107	rna8358, rna35629, rna35630, rna8357, rna35631
OG0000012	transcript_ENSUAMT00000007104	rna35633
OG0000012	transcript_ENSUAMT00000034073	rna35632, rna35636
OG0000012	transcript_ENSUAMT00000022805	rna8360
OG0000012	transcript_ENSUAMT00000022804	rna8359
OG0000012	transcript_ENSUAMT00000034591, transcript_ENSUAMT00000004903	rna35639
OG0000012	transcript_ENSUAMT00000019105	rna35647
OG0000012	transcript_ENSUAMT00000019103, transcript_ENSUAMT00000019100	rna35646, rna35645
OG0000012	transcript_ENSUAMT00000006680	rna35644
OG0000012	transcript_ENSUAMT00000024271	rna8368
OG0000012	transcript_ENSUAMT00000024269	rna8369
OG0000012	transcript_ENSUAMT00000024261	rna8370
OG0000013	transcript_ENSUAMT00000000807, transcript_ENSUAMT00000000800	rna12267
OG0000013	transcript_ENSUAMT00000000911	rna12269
OG0000013	transcript_ENSUAMT00000000681	rna12265
OG0000013	transcript_ENSUAMT00000000787	rna12266
OG0000013	transcript_ENSUAMT00000041696	rna12264
OG0000013	transcript_ENSUAMT00000000824	rna12268
OG0000013	transcript_ENSUAMT00000000748	rna12271
OG0000013	transcript_ENSUAMT00000003467	rna12270
OG0000013	transcript_ENSUAMT00000000770	rna12262
OG0000014	transcript_ENSUAMT00000031792	rna21258
OG0000014	transcript_ENSUAMT00000038478	rna13874
OG0000014	transcript_ENSUAMT00000021786	rna25038, rna24281, rna26712, rna34477
OG0000015	transcript_ENSUAMT00000028161	rna34916
OG0000015	transcript_ENSUAMT00000036480	rna34918
OG0000015	transcript_ENSUAMT00000025350	rna34917
OG0000017	transcript_ENSUAMT00000037780	rna14047
OG0000017	transcript_ENSUAMT00000023276, transcript_ENSUAMT00000003983, transcript_ENSUAMT00000015959	rna29792
OG0000018	transcript_ENSUAMT00000003234, transcript_ENSUAMT00000000709	rna33298
OG0000018	transcript_ENSUAMT00000021549	rna32863
OG0000018	transcript_ENSUAMT00000006759	rna33296
OG0000018	transcript_ENSUAMT00000007651	rna32870
OG0000018	transcript_ENSUAMT00000025226	rna33289
OG0000018	transcript_ENSUAMT00000034544	rna32906
OG0000018	transcript_ENSUAMT00000014575	rna32864
OG0000019	transcript_ENSUAMT00000000079	rna32549, rna32547, rna33770
OG0000019	transcript_ENSUAMT00000030903	rna32546
OG0000019	transcript_ENSUAMT00000036482	rna33764
OG0000019	transcript_ENSUAMT00000036485	rna33767
OG0000019	transcript_ENSUAMT00000002262	rna33769
OG0000019	transcript_ENSUAMT00000036483	rna33757, rna33765
OG0000019	transcript_ENSUAMT00000004193, transcript_ENSUAMT00000003296, transcript_ENSUAMT00000000542	rna32554
OG0000019	transcript_ENSUAMT00000016673	rna32550, rna32551
OG0000019	transcript_ENSUAMT00000003328	rna32552
OG0000020	transcript_ENSUAMT00000036817	rna15377
OG0000020	transcript_ENSUAMT00000036818	rna15376
OG0000020	transcript_ENSUAMT00000036834	rna15368
OG0000020	transcript_ENSUAMT00000036829	rna15373
OG0000020	transcript_ENSUAMT00000036831	rna15372
OG0000020	transcript_ENSUAMT00000036833	rna15369, rna15370
OG0000020	transcript_ENSUAMT00000036826	rna15374
OG0000020	transcript_ENSUAMT00000036822	rna15375, rna15371
OG0000021	transcript_ENSUAMT00000020741	rna30780
OG0000021	transcript_ENSUAMT00000020738	rna30779
OG0000021	transcript_ENSUAMT00000012088	rna30657
OG0000021	transcript_ENSUAMT00000012093	rna30656
OG0000021	transcript_ENSUAMT00000003909, transcript_ENSUAMT00000000865, transcript_ENSUAMT00000004224	rna32669
OG0000021	transcript_ENSUAMT00000003971, transcript_ENSUAMT00000006941, transcript_ENSUAMT00000002483, transcript_ENSUAMT00000002841	rna16492
OG0000021	transcript_ENSUAMT00000012086	rna30658
OG0000021	transcript_ENSUAMT00000020751	rna30785
OG0000021	transcript_ENSUAMT00000020742	rna30781
OG0000022	transcript_ENSUAMT00000003451, transcript_ENSUAMT00000006170	rna23731
OG0000022	transcript_ENSUAMT00000016690	rna4317
OG0000022	transcript_ENSUAMT00000010937	rna23716
OG0000022	transcript_ENSUAMT00000006381, transcript_ENSUAMT00000006385	rna23722
OG0000022	transcript_ENSUAMT00000006518	rna23720
OG0000022	transcript_ENSUAMT00000002996, transcript_ENSUAMT00000003196, transcript_ENSUAMT00000003036, transcript_ENSUAMT00000001479, transcript_ENSUAMT00000002923, transcript_ENSUAMT00000001607	rna23730
OG0000023	transcript_ENSUAMT00000014322, transcript_ENSUAMT00000000455, transcript_ENSUAMT00000004028, transcript_ENSUAMT00000003630, transcript_ENSUAMT00000005173, transcript_ENSUAMT00000021458	gene26562
OG0000024	transcript_ENSUAMT00000018301	rna23003
OG0000024	transcript_ENSUAMT00000018304	rna23001
OG0000024	transcript_ENSUAMT00000018303	rna23002
OG0000024	transcript_ENSUAMT00000033935	rna22965
OG0000024	transcript_ENSUAMT00000033945	rna15204
OG0000024	transcript_ENSUAMT00000028899	rna15222
OG0000024	transcript_ENSUAMT00000028900	rna15212, rna15217
OG0000024	transcript_ENSUAMT00000028898	rna15224
OG0000025	transcript_ENSUAMT00000022235	gene19084, gene19083
OG0000025	transcript_ENSUAMT00000010646, transcript_ENSUAMT00000017186	gene19081
OG0000025	transcript_ENSUAMT00000010652	gene19074, gene19071, gene19080
OG0000025	transcript_ENSUAMT00000017185	gene19077
OG0000025	transcript_ENSUAMT00000001130	rna25870
OG0000026	transcript_ENSUAMT00000025265	rna18740
OG0000026	transcript_ENSUAMT00000008595	rna26051
OG0000026	transcript_ENSUAMT00000021048, transcript_ENSUAMT00000025755	rna6197
OG0000026	transcript_ENSUAMT00000040626	rna8247
OG0000026	transcript_ENSUAMT00000022391	rna22059, rna1701
OG0000026	transcript_ENSUAMT00000031086, transcript_ENSUAMT00000018747	rna7337, rna25967
OG0000027	transcript_ENSUAMT00000012756	rna32565
OG0000027	transcript_ENSUAMT00000022616, transcript_ENSUAMT00000003798	rna32568
OG0000027	transcript_ENSUAMT00000014904	rna32564
OG0000027	transcript_ENSUAMT00000014901	rna32563
OG0000027	transcript_ENSUAMT00000003143, transcript_ENSUAMT00000023294	rna32559
OG0000027	transcript_ENSUAMT00000023291	rna32558
OG0000027	transcript_ENSUAMT00000001359, transcript_ENSUAMT00000003370	rna32556
OG0000028	transcript_ENSUAMT00000011076	rna23331
OG0000028	transcript_ENSUAMT00000011081	rna23332
OG0000028	transcript_ENSUAMT00000011087	rna23334
OG0000028	transcript_ENSUAMT00000011155, transcript_ENSUAMT00000011153	rna23336
OG0000028	transcript_ENSUAMT00000011131	rna23335
OG0000029	transcript_ENSUAMT00000010999	rna26929
OG0000029	transcript_ENSUAMT00000021576	rna26934
OG0000029	transcript_ENSUAMT00000021581	rna26932
OG0000029	transcript_ENSUAMT00000039760	rna26936
OG0000029	transcript_ENSUAMT00000021577	rna26933
OG0000029	transcript_ENSUAMT00000010996	rna26928
OG0000029	transcript_ENSUAMT00000021583	rna26935
OG0000029	transcript_ENSUAMT00000031613	rna26926
OG0000029	transcript_ENSUAMT00000031612	rna26927
OG0000030	transcript_ENSUAMT00000007049	rna32630
OG0000030	transcript_ENSUAMT00000000738, transcript_ENSUAMT00000001698, transcript_ENSUAMT00000003813, transcript_ENSUAMT00000003857, transcript_ENSUAMT00000005226, transcript_ENSUAMT00000004161	rna33276, rna34706
OG0000030	transcript_ENSUAMT00000005424	rna33280
OG0000030	transcript_ENSUAMT00000003567, transcript_ENSUAMT00000008443, transcript_ENSUAMT00000003290	rna33796
OG0000030	transcript_ENSUAMT00000001725	rna33277
OG0000030	transcript_ENSUAMT00000003322	rna33279
OG0000031	transcript_ENSUAMT00000026222	rna29065, rna29066, rna32972
OG0000031	transcript_ENSUAMT00000026224	rna29062
OG0000031	transcript_ENSUAMT00000026220	rna32971
OG0000031	transcript_ENSUAMT00000005146	rna29064
OG0000031	transcript_ENSUAMT00000026219	rna32970
OG0000031	transcript_ENSUAMT00000005149	rna29063
OG0000031	transcript_ENSUAMT00000004964	rna29068
OG0000031	transcript_ENSUAMT00000026218	rna29061
OG0000031	transcript_ENSUAMT00000004963	rna29067
OG0000032	transcript_ENSUAMT00000003555, transcript_ENSUAMT00000006989, transcript_ENSUAMT00000023256	rna36062
OG0000032	transcript_ENSUAMT00000003373	rna34699
OG0000032	transcript_ENSUAMT00000001428	rna34705
OG0000032	transcript_ENSUAMT00000023258	rna33388
OG0000032	transcript_ENSUAMT00000036487	rna36061, rna34700, rna34703, rna34702, rna14151
OG0000032	transcript_ENSUAMT00000003492	rna34701
OG0000032	transcript_ENSUAMT00000018281	rna35166
OG0000032	transcript_ENSUAMT00000040543	rna35175
OG0000033	transcript_ENSUAMT00000038847	rna2802
OG0000033	transcript_ENSUAMT00000014220	rna10356
OG0000033	transcript_ENSUAMT00000006108	rna13649
OG0000033	transcript_ENSUAMT00000002774	rna13648
OG0000033	transcript_ENSUAMT00000002585	rna2765
OG0000033	transcript_ENSUAMT00000034686, transcript_ENSUAMT00000017210	rna19735
OG0000034	transcript_ENSUAMT00000000966	rna33150
OG0000034	transcript_ENSUAMT00000021395	rna32969, rna24519
OG0000034	transcript_ENSUAMT00000005484	rna24520, rna32968
OG0000035	transcript_ENSUAMT00000016510	rna18841
OG0000035	transcript_ENSUAMT00000007638	rna18838
OG0000035	transcript_ENSUAMT00000016378	rna18839
OG0000035	transcript_ENSUAMT00000021475	rna18837
OG0000035	transcript_ENSUAMT00000021469	rna18836
OG0000035	transcript_ENSUAMT00000033225	rna18833
OG0000035	transcript_ENSUAMT00000033226	rna18832
OG0000035	transcript_ENSUAMT00000033224	rna18834
OG0000035	transcript_ENSUAMT00000016377	rna18840
OG0000036	transcript_ENSUAMT00000034323	rna32695
OG0000036	transcript_ENSUAMT00000006245	rna19324
OG0000036	transcript_ENSUAMT00000018211	rna22713
OG0000036	transcript_ENSUAMT00000028622	rna22712
OG0000036	transcript_ENSUAMT00000000565	rna12872
OG0000036	transcript_ENSUAMT00000029882	rna35253
OG0000037	transcript_ENSUAMT00000007129, transcript_ENSUAMT00000020812	gene20013
OG0000037	transcript_ENSUAMT00000019157	gene20015
OG0000037	transcript_ENSUAMT00000007294	gene20014
OG0000038	transcript_ENSUAMT00000026411	rna22990
OG0000038	transcript_ENSUAMT00000026412	rna22991
OG0000038	transcript_ENSUAMT00000026415	rna22992
OG0000038	transcript_ENSUAMT00000018321	rna22994
OG0000038	transcript_ENSUAMT00000018306	rna23000
OG0000038	transcript_ENSUAMT00000018312	rna22998
OG0000038	transcript_ENSUAMT00000018308	rna22999
OG0000038	transcript_ENSUAMT00000018317	rna22993
OG0000040	transcript_ENSUAMT00000009088	rna26518
OG0000040	transcript_ENSUAMT00000009153	rna26519
OG0000040	transcript_ENSUAMT00000041665	rna26134
OG0000040	transcript_ENSUAMT00000020398	rna5944
OG0000040	transcript_ENSUAMT00000011396	rna24841
OG0000040	transcript_ENSUAMT00000041660	rna26132
OG0000041	transcript_ENSUAMT00000027329, transcript_ENSUAMT00000006483	rna6863
OG0000041	transcript_ENSUAMT00000005900	rna23220, rna27784, rna14159
OG0000041	transcript_ENSUAMT00000027328, transcript_ENSUAMT00000019562	rna6862
OG0000041	transcript_ENSUAMT00000027254	rna8737
OG0000042	transcript_ENSUAMT00000028852	rna2466
OG0000042	transcript_ENSUAMT00000035669	rna35015, rna35014
OG0000043	transcript_ENSUAMT00000030925	rna33287
OG0000043	transcript_ENSUAMT00000026923	rna33291
OG0000043	transcript_ENSUAMT00000007484	rna32959
OG0000043	transcript_ENSUAMT00000015759	rna33286
OG0000043	transcript_ENSUAMT00000030926	rna33288
OG0000043	transcript_ENSUAMT00000026924	rna33292
OG0000044	transcript_ENSUAMT00000006405	rna26971
OG0000044	transcript_ENSUAMT00000012490	rna30144
OG0000044	transcript_ENSUAMT00000009692	rna27894
OG0000044	transcript_ENSUAMT00000037765	rna27214
OG0000044	transcript_ENSUAMT00000025581	rna4753
OG0000044	transcript_ENSUAMT00000006370, transcript_ENSUAMT00000003210, transcript_ENSUAMT00000006412, transcript_ENSUAMT00000012418	rna26970
OG0000044	transcript_ENSUAMT00000009746	rna19137, rna19143
OG0000046	transcript_ENSUAMT00000008167, transcript_ENSUAMT00000004191	rna22777
OG0000046	transcript_ENSUAMT00000003335	rna22792
OG0000046	transcript_ENSUAMT00000006613	rna22790
OG0000046	transcript_ENSUAMT00000005002	rna22788
OG0000046	transcript_ENSUAMT00000020542, transcript_ENSUAMT00000020662	rna22778
OG0000046	transcript_ENSUAMT00000006924	rna22781
OG0000047	transcript_ENSUAMT00000039096	rna22737
OG0000047	transcript_ENSUAMT00000039097	rna22735
OG0000047	transcript_ENSUAMT00000039091	rna22734
OG0000047	transcript_ENSUAMT00000006562, transcript_ENSUAMT00000000374, transcript_ENSUAMT00000022328	rna22775
OG0000047	transcript_ENSUAMT00000017982	rna22732
OG0000048	transcript_ENSUAMT00000024533	rna10147
OG0000048	transcript_ENSUAMT00000006123, transcript_ENSUAMT00000001774, transcript_ENSUAMT00000002425	rna10143
OG0000048	transcript_ENSUAMT00000005778	rna10148
OG0000049	transcript_ENSUAMT00000025850	rna35739
OG0000049	transcript_ENSUAMT00000003984, transcript_ENSUAMT00000004629	rna35734
OG0000049	transcript_ENSUAMT00000025851	rna35738
OG0000049	transcript_ENSUAMT00000007668	rna35736
OG0000049	transcript_ENSUAMT00000006993, transcript_ENSUAMT00000000884	rna35726
OG0000050	transcript_ENSUAMT00000004207	rna27993
OG0000050	transcript_ENSUAMT00000020423	rna27997
OG0000050	transcript_ENSUAMT00000020422	rna27998
OG0000050	transcript_ENSUAMT00000020424	rna27996, rna27995
OG0000051	transcript_ENSUAMT00000020214	rna23323
OG0000051	transcript_ENSUAMT00000025410	rna23320
OG0000051	transcript_ENSUAMT00000020228	rna23322
OG0000051	transcript_ENSUAMT00000011062	rna23328
OG0000051	transcript_ENSUAMT00000011075	rna23330
OG0000051	transcript_ENSUAMT00000011070	rna23329
OG0000052	transcript_ENSUAMT00000016286	rna29222
OG0000052	transcript_ENSUAMT00000016287	rna29220
OG0000052	transcript_ENSUAMT00000005366	rna29119
OG0000053	transcript_ENSUAMT00000041055	rna13906
OG0000053	transcript_ENSUAMT00000018313	rna22997
OG0000054	transcript_ENSUAMT00000005888, transcript_ENSUAMT00000016583	rna12305
OG0000054	transcript_ENSUAMT00000016613, transcript_ENSUAMT00000005892	rna12309, rna12307, rna12308, rna12306, rna12303, rna12302
OG0000054	transcript_ENSUAMT00000016571	rna12304
OG0000055	transcript_ENSUAMT00000016713	rna20631
OG0000055	transcript_ENSUAMT00000016711	rna20630
OG0000055	transcript_ENSUAMT00000016730	rna20632
OG0000055	transcript_ENSUAMT00000034492	rna20635
OG0000055	transcript_ENSUAMT00000016708	rna20638
OG0000055	transcript_ENSUAMT00000016718	rna20629
OG0000056	transcript_ENSUAMT00000012752, transcript_ENSUAMT00000003801	rna32567, rna32566
OG0000056	transcript_ENSUAMT00000006971	rna32560
OG0000056	transcript_ENSUAMT00000014900	rna32562
OG0000056	transcript_ENSUAMT00000024466	rna34056
OG0000057	transcript_ENSUAMT00000016167	rna20628
OG0000057	transcript_ENSUAMT00000020927	rna20639
OG0000057	transcript_ENSUAMT00000019192	rna20637
OG0000057	transcript_ENSUAMT00000026006	rna20641
OG0000057	transcript_ENSUAMT00000005087	rna20619
OG0000057	transcript_ENSUAMT00000038123	rna20618
OG0000058	transcript_ENSUAMT00000037532, transcript_ENSUAMT00000000913, transcript_ENSUAMT00000004730	rna32619
OG0000058	transcript_ENSUAMT00000037531	rna32618
OG0000058	transcript_ENSUAMT00000000860	rna32620
OG0000058	transcript_ENSUAMT00000000871	rna32621
OG0000058	transcript_ENSUAMT00000000876	rna32622
OG0000058	transcript_ENSUAMT00000000901	rna32623
OG0000059	transcript_ENSUAMT00000031432	rna23723
OG0000059	transcript_ENSUAMT00000008118	rna23719
OG0000059	transcript_ENSUAMT00000006515	rna23714, rna23715, rna23717
OG0000060	transcript_ENSUAMT00000003886, transcript_ENSUAMT00000007447	rna33748
OG0000060	transcript_ENSUAMT00000007440	rna33747
OG0000060	transcript_ENSUAMT00000006912	rna33736
OG0000060	transcript_ENSUAMT00000020176	rna33753
OG0000060	transcript_ENSUAMT00000020178	rna33758, rna33752
OG0000061	transcript_ENSUAMT00000006904	rna33293
OG0000062	transcript_ENSUAMT00000004965	rna32595, rna32593
OG0000062	transcript_ENSUAMT00000010703	rna32591
OG0000062	transcript_ENSUAMT00000001799, transcript_ENSUAMT00000001553, transcript_ENSUAMT00000004739	rna32574
OG0000062	transcript_ENSUAMT00000003763, transcript_ENSUAMT00000001564	rna32575
OG0000062	transcript_ENSUAMT00000001808, transcript_ENSUAMT00000002332	rna32594
OG0000063	transcript_ENSUAMT00000006233	gene26067
OG0000063	transcript_ENSUAMT00000003509	gene25715
OG0000065	transcript_ENSUAMT00000004807	rna26552
OG0000065	transcript_ENSUAMT00000035166	rna35610
OG0000065	transcript_ENSUAMT00000004804	rna26555
OG0000065	transcript_ENSUAMT00000026826	rna35609
OG0000065	transcript_ENSUAMT00000014841	rna4126
OG0000065	transcript_ENSUAMT00000035168	rna32317
OG0000066	transcript_ENSUAMT00000022546	rna4538
OG0000066	transcript_ENSUAMT00000003833	rna32292
OG0000066	transcript_ENSUAMT00000003011	rna11035
OG0000066	transcript_ENSUAMT00000032674	rna11036
OG0000066	transcript_ENSUAMT00000029149	rna18754
OG0000066	transcript_ENSUAMT00000013294	rna4536
OG0000067	transcript_ENSUAMT00000031915	rna28172
OG0000067	transcript_ENSUAMT00000021981	rna18595
OG0000067	transcript_ENSUAMT00000033162	rna8202
OG0000067	transcript_ENSUAMT00000026643	rna4192
OG0000068	transcript_ENSUAMT00000002268	rna17875
OG0000068	transcript_ENSUAMT00000002290	rna17873
OG0000068	transcript_ENSUAMT00000032890	rna17861
OG0000068	transcript_ENSUAMT00000031529	rna17867, rna17866
OG0000069	transcript_ENSUAMT00000023503	rna28761
OG0000070	transcript_ENSUAMT00000031541	rna24100
OG0000070	transcript_ENSUAMT00000024539	rna10152, rna10149
OG0000070	transcript_ENSUAMT00000024497	rna10142, rna10145
OG0000070	transcript_ENSUAMT00000001433	rna10153
OG0000070	transcript_ENSUAMT00000024524	rna10146
OG0000070	transcript_ENSUAMT00000024540	rna10150
OG0000070	transcript_ENSUAMT00000007013, transcript_ENSUAMT00000035069	rna10154
OG0000071	transcript_ENSUAMT00000034545	rna32907
OG0000071	transcript_ENSUAMT00000027459	rna32904
OG0000071	transcript_ENSUAMT00000006272	rna32900
OG0000071	transcript_ENSUAMT00000001514	rna33081, rna33080
OG0000071	transcript_ENSUAMT00000003273, transcript_ENSUAMT00000003131	rna33079, rna33082
OG0000071	transcript_ENSUAMT00000014570, transcript_ENSUAMT00000003199, transcript_ENSUAMT00000006086	rna32865
OG0000072	transcript_ENSUAMT00000031565	rna34722
OG0000072	transcript_ENSUAMT00000031564, transcript_ENSUAMT00000004416	rna34726
OG0000072	transcript_ENSUAMT00000031570	rna34725
OG0000072	transcript_ENSUAMT00000031566, transcript_ENSUAMT00000031558	rna34723, rna34719
OG0000072	transcript_ENSUAMT00000031560	rna34720
OG0000072	transcript_ENSUAMT00000031568	rna34724
OG0000073	transcript_ENSUAMT00000018297	rna23010
OG0000073	transcript_ENSUAMT00000006389	rna23013, rna23016
OG0000073	transcript_ENSUAMT00000006396	rna23004
OG0000073	transcript_ENSUAMT00000018296	rna23011
OG0000073	transcript_ENSUAMT00000006391	rna23015
OG0000073	transcript_ENSUAMT00000018299	rna23007, rna23009
OG0000074	transcript_ENSUAMT00000035074, transcript_ENSUAMT00000035073	rna15279
OG0000074	transcript_ENSUAMT00000035072	rna15281, rna15280
OG0000074	transcript_ENSUAMT00000035075	rna15271, rna15277
OG0000074	transcript_ENSUAMT00000035077	rna15275, rna15273
OG0000075	transcript_ENSUAMT00000033757	rna3892
OG0000075	transcript_ENSUAMT00000009546	rna32709
OG0000075	transcript_ENSUAMT00000033604	rna3890
OG0000075	transcript_ENSUAMT00000014881	rna32671
OG0000076	transcript_ENSUAMT00000028492	rna17616
OG0000076	transcript_ENSUAMT00000028491	rna17615
OG0000076	transcript_ENSUAMT00000028490	rna17614
OG0000076	transcript_ENSUAMT00000028493	rna17618
OG0000076	transcript_ENSUAMT00000010898	rna17620
OG0000076	transcript_ENSUAMT00000006760, transcript_ENSUAMT00000003550	rna17623
OG0000076	transcript_ENSUAMT00000007717	rna17622
OG0000078	transcript_ENSUAMT00000027768	rna15400
OG0000078	transcript_ENSUAMT00000013071	rna15402
OG0000078	transcript_ENSUAMT00000013073	rna15403
OG0000078	transcript_ENSUAMT00000013075	rna15404
OG0000078	transcript_ENSUAMT00000013076	rna15405
OG0000078	transcript_ENSUAMT00000027769	rna15401
OG0000079	transcript_ENSUAMT00000023208	rna30065
OG0000079	transcript_ENSUAMT00000013913, transcript_ENSUAMT00000020817	rna32587
OG0000079	transcript_ENSUAMT00000001532	rna30064
OG0000079	transcript_ENSUAMT00000020819	rna30062
OG0000079	transcript_ENSUAMT00000004446	rna30061
OG0000081	transcript_ENSUAMT00000033652	rna27067
OG0000081	transcript_ENSUAMT00000033660	rna27066
OG0000081	transcript_ENSUAMT00000033714	rna27065
OG0000082	transcript_ENSUAMT00000023125	rna4801
OG0000082	transcript_ENSUAMT00000002222	rna18691
OG0000082	transcript_ENSUAMT00000027665	rna18267
OG0000082	transcript_ENSUAMT00000023533	rna8254, rna8257
OG0000084	transcript_ENSUAMT00000004232	rna15265
OG0000084	transcript_ENSUAMT00000004624	rna15270
OG0000084	transcript_ENSUAMT00000007088, transcript_ENSUAMT00000001866	rna15255
OG0000084	transcript_ENSUAMT00000004210	rna15267
OG0000084	transcript_ENSUAMT00000004212	rna15269
OG0000085	transcript_ENSUAMT00000009539	rna33269
OG0000085	transcript_ENSUAMT00000003337	rna36078
OG0000085	transcript_ENSUAMT00000009535	rna36080, rna36070
OG0000085	transcript_ENSUAMT00000009531	rna36071
OG0000085	transcript_ENSUAMT00000004358	rna36081, rna32996
OG0000085	transcript_ENSUAMT00000012653	rna32957
OG0000086	transcript_ENSUAMT00000000792	rna11215
OG0000086	transcript_ENSUAMT00000018989	rna11222
OG0000086	transcript_ENSUAMT00000018997	rna11223
OG0000086	transcript_ENSUAMT00000018999	rna11224
OG0000087	transcript_ENSUAMT00000026358	rna4292
OG0000087	transcript_ENSUAMT00000026359	rna4290
OG0000087	transcript_ENSUAMT00000026357	rna4293
OG0000087	transcript_ENSUAMT00000026355	rna4294
OG0000087	transcript_ENSUAMT00000012621	rna4286
OG0000088	transcript_ENSUAMT00000016740	rna15446
OG0000089	transcript_ENSUAMT00000026600	rna36261
OG0000089	transcript_ENSUAMT00000023695	rna12631
OG0000092	transcript_ENSUAMT00000023475	rna12642
OG0000092	transcript_ENSUAMT00000017778	rna31987
OG0000092	transcript_ENSUAMT00000031065	rna1716
OG0000092	transcript_ENSUAMT00000000684	rna1714
OG0000092	transcript_ENSUAMT00000003172	rna9975
OG0000093	transcript_ENSUAMT00000024947	rna2486
OG0000093	transcript_ENSUAMT00000022790	rna23254
OG0000093	transcript_ENSUAMT00000017111	rna31957
OG0000093	transcript_ENSUAMT00000024748	rna12690
OG0000093	transcript_ENSUAMT00000026839	rna36263
OG0000094	transcript_ENSUAMT00000028340	gene16288
OG0000096	transcript_ENSUAMT00000030019	rna6054
OG0000096	transcript_ENSUAMT00000008407	rna7283
OG0000096	transcript_ENSUAMT00000008420	rna7282
OG0000097	transcript_ENSUAMT00000035055	rna16159
OG0000097	transcript_ENSUAMT00000002419	rna8077
OG0000097	transcript_ENSUAMT00000039473	rna35540
OG0000099	transcript_ENSUAMT00000003470, transcript_ENSUAMT00000020375	rna11813
OG0000099	transcript_ENSUAMT00000012298	rna11809
OG0000099	transcript_ENSUAMT00000012301, transcript_ENSUAMT00000004608	rna11811, rna11808, rna11810
OG0000101	transcript_ENSUAMT00000025161	rna19788
OG0000101	transcript_ENSUAMT00000035593	rna9544
OG0000101	transcript_ENSUAMT00000000308	rna15514
