Orthogroup	ursAme.longCDS.prots	ursArc.longCDS.prots
OG0000017	transcript_ENSUAMT00000023276, transcript_ENSUAMT00000003983, transcript_ENSUAMT00000015959	rna27997, rna27998
OG0000017	transcript_ENSUAMT00000015998	rna17907
OG0000018	transcript_ENSUAMT00000003234, transcript_ENSUAMT00000000709	rna23760, rna23764
OG0000018	transcript_ENSUAMT00000021549	rna23763
OG0000018	transcript_ENSUAMT00000001883	rna23762
OG0000018	transcript_ENSUAMT00000020941	rna23761
OG0000018	transcript_ENSUAMT00000006759	rna23766
OG0000018	transcript_ENSUAMT00000007651	rna23754
OG0000018	transcript_ENSUAMT00000025226	rna23773
OG0000018	transcript_ENSUAMT00000034544	rna23722
OG0000018	transcript_ENSUAMT00000014575	rna23759
OG0000019	transcript_ENSUAMT00000000079	rna52172, rna52170, rna36109
OG0000019	transcript_ENSUAMT00000030903	rna52169
OG0000019	transcript_ENSUAMT00000036482, transcript_ENSUAMT00000036485	rna36111
OG0000019	transcript_ENSUAMT00000002262	rna36110
OG0000019	transcript_ENSUAMT00000036483	rna36118, rna36113
OG0000019	transcript_ENSUAMT00000004193, transcript_ENSUAMT00000003296, transcript_ENSUAMT00000000542	rna52177
OG0000019	transcript_ENSUAMT00000016673	rna52173, rna52174
OG0000019	transcript_ENSUAMT00000003328	rna52175
OG0000020	transcript_ENSUAMT00000036817	rna49453
OG0000020	transcript_ENSUAMT00000036818	rna49452
OG0000020	transcript_ENSUAMT00000036834	rna49448
OG0000020	transcript_ENSUAMT00000036829	rna49451
OG0000020	transcript_ENSUAMT00000036831	rna49450
OG0000020	transcript_ENSUAMT00000036833	rna49449, rna54112, rna54114
OG0000020	transcript_ENSUAMT00000036832	rna54368
OG0000020	transcript_ENSUAMT00000036822	rna54113, rna54111
OG0000021	transcript_ENSUAMT00000020741	rna21975
OG0000021	transcript_ENSUAMT00000020738	rna21976
OG0000021	transcript_ENSUAMT00000012088	rna22144
OG0000021	transcript_ENSUAMT00000012093	rna22145
OG0000021	transcript_ENSUAMT00000006392	rna22141
OG0000021	transcript_ENSUAMT00000012086	rna22143
OG0000021	transcript_ENSUAMT00000020751	rna21969
OG0000021	transcript_ENSUAMT00000020742	rna21974
OG0000022	transcript_ENSUAMT00000003451, transcript_ENSUAMT00000006170	rna50751
OG0000022	transcript_ENSUAMT00000000943	rna50747
OG0000022	transcript_ENSUAMT00000016690	rna50577
OG0000022	transcript_ENSUAMT00000006381, transcript_ENSUAMT00000006385	rna50744
OG0000022	transcript_ENSUAMT00000002996, transcript_ENSUAMT00000003196, transcript_ENSUAMT00000003036, transcript_ENSUAMT00000001479, transcript_ENSUAMT00000002923, transcript_ENSUAMT00000001607	rna54429
OG0000023	transcript_ENSUAMT00000001497, transcript_ENSUAMT00000005138	id578932
OG0000023	transcript_ENSUAMT00000004987, transcript_ENSUAMT00000005337, transcript_ENSUAMT00000005125	id578916
OG0000023	transcript_ENSUAMT00000014322, transcript_ENSUAMT00000000455, transcript_ENSUAMT00000004028, transcript_ENSUAMT00000003630, transcript_ENSUAMT00000005173, transcript_ENSUAMT00000021458	id578935
OG0000024	transcript_ENSUAMT00000018301	rna53530
OG0000024	transcript_ENSUAMT00000018304	rna53528
OG0000024	transcript_ENSUAMT00000018303	rna53529
OG0000024	transcript_ENSUAMT00000033935	rna49298
OG0000024	transcript_ENSUAMT00000033945	rna53929
OG0000024	transcript_ENSUAMT00000028899	rna49321
OG0000024	transcript_ENSUAMT00000028900	rna49314
OG0000024	transcript_ENSUAMT00000028898	rna49323
OG0000025	transcript_ENSUAMT00000022235	id21172, id21165
OG0000025	transcript_ENSUAMT00000010646, transcript_ENSUAMT00000017186	id21155
OG0000025	transcript_ENSUAMT00000019357	id21096
OG0000025	transcript_ENSUAMT00000010652	id21115, id21152
OG0000025	transcript_ENSUAMT00000017185	rna1861
OG0000025	transcript_ENSUAMT00000001130	id21144
OG0000026	transcript_ENSUAMT00000025265	rna33309
OG0000026	transcript_ENSUAMT00000008595	rna16336
OG0000026	transcript_ENSUAMT00000021048, transcript_ENSUAMT00000025755	rna2419
OG0000026	transcript_ENSUAMT00000040626	rna39505
OG0000026	transcript_ENSUAMT00000022391	rna4194, rna26004
OG0000026	transcript_ENSUAMT00000031086, transcript_ENSUAMT00000018747	rna6119, rna16452
OG0000027	transcript_ENSUAMT00000012756	rna52185
OG0000027	transcript_ENSUAMT00000022616, transcript_ENSUAMT00000003798	rna52188
OG0000027	transcript_ENSUAMT00000014904	rna52184
OG0000027	transcript_ENSUAMT00000014901	rna52183
OG0000027	transcript_ENSUAMT00000003143, transcript_ENSUAMT00000023294	rna52181
OG0000027	transcript_ENSUAMT00000023291	rna52180
OG0000027	transcript_ENSUAMT00000001359, transcript_ENSUAMT00000003370	rna54345, rna54346
OG0000028	transcript_ENSUAMT00000011076	rna30039
OG0000028	transcript_ENSUAMT00000011081	rna30038
OG0000028	transcript_ENSUAMT00000011087	rna30036
OG0000028	transcript_ENSUAMT00000011155	rna30032
OG0000028	transcript_ENSUAMT00000011153	rna30033
OG0000028	transcript_ENSUAMT00000011145	rna30034
OG0000028	transcript_ENSUAMT00000011131	rna30035
OG0000029	transcript_ENSUAMT00000010999	rna17463
OG0000029	transcript_ENSUAMT00000021576	rna17456
OG0000029	transcript_ENSUAMT00000021581	rna17458
OG0000029	transcript_ENSUAMT00000039760	rna17454
OG0000029	transcript_ENSUAMT00000021577	rna17457
OG0000029	transcript_ENSUAMT00000010996	rna17464
OG0000029	transcript_ENSUAMT00000021583	rna17455, rna17459
OG0000029	transcript_ENSUAMT00000031613	rna17466
OG0000029	transcript_ENSUAMT00000031612	rna17465
OG0000030	transcript_ENSUAMT00000007049	rna54379
OG0000030	transcript_ENSUAMT00000000738, transcript_ENSUAMT00000001698, transcript_ENSUAMT00000003813, transcript_ENSUAMT00000003857, transcript_ENSUAMT00000005226, transcript_ENSUAMT00000004161	rna53584
OG0000030	transcript_ENSUAMT00000005424	rna53587, rna36079
OG0000030	transcript_ENSUAMT00000003567, transcript_ENSUAMT00000008443, transcript_ENSUAMT00000003290	rna36083
OG0000030	transcript_ENSUAMT00000001725	rna53585
OG0000031	transcript_ENSUAMT00000026222	rna15707, rna15706, rna15705
OG0000031	transcript_ENSUAMT00000026220	rna15708
OG0000031	transcript_ENSUAMT00000026219	rna15709
OG0000031	transcript_ENSUAMT00000004964	rna15703
OG0000031	transcript_ENSUAMT00000026218	rna15710
OG0000031	transcript_ENSUAMT00000004963	rna15704
OG0000032	transcript_ENSUAMT00000001428	rna27978
OG0000032	transcript_ENSUAMT00000036487	rna52160
OG0000032	transcript_ENSUAMT00000003492	rna52161
OG0000032	transcript_ENSUAMT00000018281	rna51012
OG0000032	transcript_ENSUAMT00000040543	rna51023
OG0000033	transcript_ENSUAMT00000038847	rna11023
OG0000033	transcript_ENSUAMT00000014220	rna22730
OG0000033	transcript_ENSUAMT00000006108	rna22736
OG0000033	transcript_ENSUAMT00000002774	rna22740
OG0000033	transcript_ENSUAMT00000002585	rna11080
OG0000033	transcript_ENSUAMT00000015377	rna9094
OG0000033	transcript_ENSUAMT00000017210	rna19256
OG0000034	transcript_ENSUAMT00000000966	rna53550
OG0000034	transcript_ENSUAMT00000021395	rna53549
OG0000034	transcript_ENSUAMT00000005484	rna53695
OG0000035	transcript_ENSUAMT00000016510	rna3262
OG0000035	transcript_ENSUAMT00000007638	rna3265
OG0000035	transcript_ENSUAMT00000016378	rna3264
OG0000035	transcript_ENSUAMT00000016377	rna3263
OG0000036	transcript_ENSUAMT00000034323	rna44240
OG0000036	transcript_ENSUAMT00000006245	rna45780
OG0000036	transcript_ENSUAMT00000018211	rna49690
OG0000036	transcript_ENSUAMT00000028622	rna49689
OG0000036	transcript_ENSUAMT00000000565	rna6815
OG0000036	transcript_ENSUAMT00000029882	rna46542
OG0000037	transcript_ENSUAMT00000007129, transcript_ENSUAMT00000020812	id583479
OG0000037	transcript_ENSUAMT00000021441	id578889
OG0000037	transcript_ENSUAMT00000019157	id583832
OG0000038	transcript_ENSUAMT00000026411	rna49281
OG0000038	transcript_ENSUAMT00000026415	rna49279
OG0000039	transcript_ENSUAMT00000007878	rna23173
OG0000040	transcript_ENSUAMT00000009088	rna46795
OG0000040	transcript_ENSUAMT00000009153	rna46794
OG0000040	transcript_ENSUAMT00000041665	rna16233
OG0000040	transcript_ENSUAMT00000020398	rna2035
OG0000040	transcript_ENSUAMT00000011396	rna8956
OG0000040	transcript_ENSUAMT00000041660	rna16235
OG0000041	transcript_ENSUAMT00000027329	rna29398
OG0000041	transcript_ENSUAMT00000005900	rna17819
OG0000041	transcript_ENSUAMT00000027328, transcript_ENSUAMT00000019562	rna29397
OG0000041	transcript_ENSUAMT00000027254	rna20920
OG0000042	transcript_ENSUAMT00000028852	rna49235, rna49160
OG0000042	transcript_ENSUAMT00000035669	rna54433, rna54432
OG0000043	transcript_ENSUAMT00000030925	rna23776
OG0000043	transcript_ENSUAMT00000026923	rna23770
OG0000043	transcript_ENSUAMT00000007484	rna23778
OG0000043	transcript_ENSUAMT00000015759	rna23777
OG0000043	transcript_ENSUAMT00000026922	rna23771
OG0000043	transcript_ENSUAMT00000030926	rna23775
OG0000043	transcript_ENSUAMT00000026924	rna23769
OG0000044	transcript_ENSUAMT00000006405, transcript_ENSUAMT00000012490	rna17408
OG0000044	transcript_ENSUAMT00000009692	rna40387
OG0000044	transcript_ENSUAMT00000037765	rna18378
OG0000044	transcript_ENSUAMT00000025581	rna42632
OG0000044	transcript_ENSUAMT00000006370, transcript_ENSUAMT00000003210, transcript_ENSUAMT00000006412, transcript_ENSUAMT00000012418	rna17407
OG0000044	transcript_ENSUAMT00000009746	rna48487
OG0000046	transcript_ENSUAMT00000008167, transcript_ENSUAMT00000004191	rna49758
OG0000046	transcript_ENSUAMT00000006613	rna49764
OG0000046	transcript_ENSUAMT00000005002	rna49766
OG0000046	transcript_ENSUAMT00000020542, transcript_ENSUAMT00000020662	rna49760
OG0000046	transcript_ENSUAMT00000006924	rna49762
OG0000047	transcript_ENSUAMT00000039091	rna49723
OG0000047	transcript_ENSUAMT00000006562, transcript_ENSUAMT00000000374, transcript_ENSUAMT00000022328	rna53994, rna53991
OG0000047	transcript_ENSUAMT00000017982, transcript_ENSUAMT00000021390	rna49721
OG0000048	transcript_ENSUAMT00000024533	rna632
OG0000048	transcript_ENSUAMT00000006123, transcript_ENSUAMT00000001774, transcript_ENSUAMT00000002425	rna629
OG0000048	transcript_ENSUAMT00000005778	rna634
OG0000049	transcript_ENSUAMT00000003984, transcript_ENSUAMT00000004629	rna23789
OG0000049	transcript_ENSUAMT00000025851	rna23793
OG0000049	transcript_ENSUAMT00000007668	rna23791
OG0000049	transcript_ENSUAMT00000006993, transcript_ENSUAMT00000000884	rna23781
OG0000050	transcript_ENSUAMT00000004207	rna43366
OG0000050	transcript_ENSUAMT00000020423	rna43369
OG0000050	transcript_ENSUAMT00000020422	rna43370
OG0000050	transcript_ENSUAMT00000020424	rna43368
OG0000051	transcript_ENSUAMT00000020214	rna30048
OG0000051	transcript_ENSUAMT00000020228	rna53877
OG0000051	transcript_ENSUAMT00000011062	rna30042
OG0000051	transcript_ENSUAMT00000011072, transcript_ENSUAMT00000011075	rna30040
OG0000051	transcript_ENSUAMT00000011070	rna30041
OG0000052	transcript_ENSUAMT00000016286, transcript_ENSUAMT00000016287	rna51964
OG0000052	transcript_ENSUAMT00000005366	rna51867
OG0000053	transcript_ENSUAMT00000041055	rna28329
OG0000053	transcript_ENSUAMT00000006208	rna54408, rna53752
OG0000053	transcript_ENSUAMT00000007056	rna44518
OG0000055	transcript_ENSUAMT00000016713	rna31319, rna31321
OG0000055	transcript_ENSUAMT00000034492	rna31318
OG0000055	transcript_ENSUAMT00000016708	rna31315
OG0000055	transcript_ENSUAMT00000016718	rna31320
OG0000056	transcript_ENSUAMT00000012752, transcript_ENSUAMT00000003801	rna52187, rna52186
OG0000056	transcript_ENSUAMT00000006968	rna54171
OG0000056	transcript_ENSUAMT00000006971	rna52182
OG0000057	transcript_ENSUAMT00000016167	rna31322
OG0000057	transcript_ENSUAMT00000020927	rna31314
OG0000057	transcript_ENSUAMT00000019192	rna54078, rna54077
OG0000057	transcript_ENSUAMT00000026006	rna31312
OG0000057	transcript_ENSUAMT00000005087	rna31331
OG0000057	transcript_ENSUAMT00000038123	rna31333
OG0000057	transcript_ENSUAMT00000038124	rna31332
OG0000058	transcript_ENSUAMT00000037532, transcript_ENSUAMT00000000913, transcript_ENSUAMT00000004730	rna52232
OG0000058	transcript_ENSUAMT00000037531	rna52231
OG0000058	transcript_ENSUAMT00000000860	rna52233
OG0000058	transcript_ENSUAMT00000000871	rna52234
OG0000058	transcript_ENSUAMT00000000876	rna54365, rna54366
OG0000058	transcript_ENSUAMT00000000901	rna52235
OG0000059	transcript_ENSUAMT00000031432	rna53440
OG0000059	transcript_ENSUAMT00000008118	rna53961, rna53960
OG0000060	transcript_ENSUAMT00000003886, transcript_ENSUAMT00000007447	rna36129
OG0000060	transcript_ENSUAMT00000007440	rna36130
OG0000060	transcript_ENSUAMT00000006912	rna36136
OG0000060	transcript_ENSUAMT00000020176	rna36123
OG0000060	transcript_ENSUAMT00000020178	rna36117, rna36124
OG0000061	transcript_ENSUAMT00000026925, transcript_ENSUAMT00000006906, transcript_ENSUAMT00000026926	rna53839, rna54457, rna53841, rna54456
OG0000061	transcript_ENSUAMT00000006904	rna53838, rna53840, rna53833
OG0000062	transcript_ENSUAMT00000010703	rna52214
OG0000062	transcript_ENSUAMT00000001799, transcript_ENSUAMT00000001553, transcript_ENSUAMT00000004739	rna52192
OG0000062	transcript_ENSUAMT00000003763, transcript_ENSUAMT00000001564	rna52193
OG0000063	transcript_ENSUAMT00000006233	id583169
OG0000063	transcript_ENSUAMT00000005692	id583163
OG0000063	transcript_ENSUAMT00000003509	id589360, id581238
OG0000063	transcript_ENSUAMT00000006662	id581358
OG0000065	transcript_ENSUAMT00000004807	rna46756
OG0000065	transcript_ENSUAMT00000035166	rna18206
OG0000065	transcript_ENSUAMT00000004804	rna46750
OG0000065	transcript_ENSUAMT00000026826	rna18205
OG0000065	transcript_ENSUAMT00000014841	rna43873
OG0000065	transcript_ENSUAMT00000035168	rna18208
OG0000066	transcript_ENSUAMT00000022546	rna7696
OG0000066	transcript_ENSUAMT00000003833	rna40556
OG0000066	transcript_ENSUAMT00000003011	rna5529
OG0000066	transcript_ENSUAMT00000032674	rna5530
OG0000066	transcript_ENSUAMT00000029149	rna40555
OG0000066	transcript_ENSUAMT00000013294	rna7697
OG0000067	transcript_ENSUAMT00000031915	rna14832
OG0000067	transcript_ENSUAMT00000033162	rna39439
OG0000067	transcript_ENSUAMT00000026643	rna50740
OG0000068	transcript_ENSUAMT00000002268	rna30505
OG0000068	transcript_ENSUAMT00000002290	rna30503
OG0000068	transcript_ENSUAMT00000030262	rna42228
OG0000068	transcript_ENSUAMT00000032890	rna42102
OG0000068	transcript_ENSUAMT00000031529	rna30492, rna30491
OG0000069	transcript_ENSUAMT00000023503	rna24761
OG0000070	transcript_ENSUAMT00000031541	rna53506
OG0000070	transcript_ENSUAMT00000024539	rna635
OG0000070	transcript_ENSUAMT00000001433	rna53507
OG0000070	transcript_ENSUAMT00000024540	rna636
OG0000070	transcript_ENSUAMT00000007013, transcript_ENSUAMT00000035069	rna53505
OG0000071	transcript_ENSUAMT00000034545	rna54060
OG0000071	transcript_ENSUAMT00000006272	rna23727
OG0000071	transcript_ENSUAMT00000001514	rna53919, rna23706
OG0000072	transcript_ENSUAMT00000031565	rna17048
OG0000072	transcript_ENSUAMT00000031564, transcript_ENSUAMT00000004416	rna17052
OG0000072	transcript_ENSUAMT00000031570	rna17051
OG0000072	transcript_ENSUAMT00000031566, transcript_ENSUAMT00000031558	rna17045, rna17049
OG0000072	transcript_ENSUAMT00000031560	rna17046
OG0000072	transcript_ENSUAMT00000031568	rna17050
OG0000073	transcript_ENSUAMT00000006389	rna28981
OG0000073	transcript_ENSUAMT00000006391	rna28980
OG0000074	transcript_ENSUAMT00000035074, transcript_ENSUAMT00000035073	rna49365
OG0000074	transcript_ENSUAMT00000035072	rna49367, rna49366
OG0000074	transcript_ENSUAMT00000035075	rna53731, rna53734, rna49363
OG0000074	transcript_ENSUAMT00000035077	rna49361, rna53733, rna53736
OG0000075	transcript_ENSUAMT00000033757	rna53998
OG0000075	transcript_ENSUAMT00000033604	rna53702
OG0000075	transcript_ENSUAMT00000014881	rna44280
OG0000075	transcript_ENSUAMT00000033631	rna53701, rna53705, rna44227
OG0000077	transcript_ENSUAMT00000027149	rna54474, rna54473
OG0000078	transcript_ENSUAMT00000027768	rna53156
OG0000078	transcript_ENSUAMT00000013071	rna53158
OG0000078	transcript_ENSUAMT00000013073	rna53159
OG0000078	transcript_ENSUAMT00000013075	rna53160
OG0000078	transcript_ENSUAMT00000013076	rna53161
OG0000078	transcript_ENSUAMT00000027769	rna53157
OG0000079	transcript_ENSUAMT00000023208	rna36166
OG0000079	transcript_ENSUAMT00000013913, transcript_ENSUAMT00000020817	rna52211
OG0000079	transcript_ENSUAMT00000001532	rna36165
OG0000079	transcript_ENSUAMT00000020819	rna36163
OG0000079	transcript_ENSUAMT00000004446	rna36162
OG0000080	transcript_ENSUAMT00000000629	rna24357
OG0000081	transcript_ENSUAMT00000033652	rna17241
OG0000081	transcript_ENSUAMT00000033660	rna17243
OG0000081	transcript_ENSUAMT00000033742	rna17244
OG0000081	transcript_ENSUAMT00000033714	rna53935
OG0000082	transcript_ENSUAMT00000023125	rna33422
OG0000082	transcript_ENSUAMT00000002222	rna33356
OG0000082	transcript_ENSUAMT00000027665	rna47656
OG0000082	transcript_ENSUAMT00000035916	rna39525
OG0000082	transcript_ENSUAMT00000023533	rna39521
OG0000083	transcript_ENSUAMT00000011221, transcript_ENSUAMT00000000810	rna52164
OG0000083	transcript_ENSUAMT00000032372	rna52163
OG0000083	transcript_ENSUAMT00000024456	rna52168
OG0000084	transcript_ENSUAMT00000004232	rna49359
OG0000084	transcript_ENSUAMT00000004624	rna49360
OG0000084	transcript_ENSUAMT00000001866	rna49351
OG0000084	transcript_ENSUAMT00000004210	rna53953
OG0000085	transcript_ENSUAMT00000009539	rna53503
OG0000085	transcript_ENSUAMT00000003337	rna53777
OG0000085	transcript_ENSUAMT00000009535	rna53305
OG0000085	transcript_ENSUAMT00000009531	rna53306
OG0000085	transcript_ENSUAMT00000004358	rna53312
OG0000085	transcript_ENSUAMT00000012653	rna53876
OG0000086	transcript_ENSUAMT00000000792	rna12390
OG0000086	transcript_ENSUAMT00000018989	rna12395
OG0000086	transcript_ENSUAMT00000018999	rna12396
OG0000087	transcript_ENSUAMT00000026358	rna50602
OG0000087	transcript_ENSUAMT00000026359	rna50604
OG0000087	transcript_ENSUAMT00000026355	rna50600
OG0000088	transcript_ENSUAMT00000017636	rna24965
OG0000088	transcript_ENSUAMT00000021183	rna40670
OG0000089	transcript_ENSUAMT00000026600	rna32907
OG0000089	transcript_ENSUAMT00000023695	rna23490
OG0000092	transcript_ENSUAMT00000023475	rna23497
OG0000092	transcript_ENSUAMT00000017778	rna45338
OG0000092	transcript_ENSUAMT00000031065	rna25987
OG0000092	transcript_ENSUAMT00000000684	rna25988
OG0000092	transcript_ENSUAMT00000003172	rna19864
OG0000093	transcript_ENSUAMT00000024947	rna49208, rna49131
OG0000093	transcript_ENSUAMT00000022790	rna25512
OG0000093	transcript_ENSUAMT00000017111	rna45386
OG0000093	transcript_ENSUAMT00000024748	rna23570
OG0000093	transcript_ENSUAMT00000026839	rna32910
OG0000094	transcript_ENSUAMT00000028340	id45717
OG0000096	transcript_ENSUAMT00000030019	rna2196
OG0000096	transcript_ENSUAMT00000008407	rna6207
OG0000096	transcript_ENSUAMT00000008420	rna6208
OG0000097	transcript_ENSUAMT00000035055	rna38290
OG0000097	transcript_ENSUAMT00000002419	rna39206
OG0000097	transcript_ENSUAMT00000039473	rna18128
OG0000099	transcript_ENSUAMT00000003470, transcript_ENSUAMT00000020375	rna20571
OG0000099	transcript_ENSUAMT00000012298	rna20574
OG0000099	transcript_ENSUAMT00000012301, transcript_ENSUAMT00000004608	rna20572, rna20575, rna20573
OG0000101	transcript_ENSUAMT00000025161	rna19184
OG0000101	transcript_ENSUAMT00000035593	rna9989
OG0000101	transcript_ENSUAMT00000000308	rna34458
OG0000102	transcript_ENSUAMT00000002604	rna50089
OG0000103	transcript_ENSUAMT00000011200	rna27743
OG0000103	transcript_ENSUAMT00000034550	rna25206
OG0000103	transcript_ENSUAMT00000011204	rna27742
OG0000103	transcript_ENSUAMT00000040891	rna49862
OG0000104	transcript_ENSUAMT00000031706	rna16811
OG0000104	transcript_ENSUAMT00000013654	rna18273
OG0000104	transcript_ENSUAMT00000013823	rna18278
OG0000104	transcript_ENSUAMT00000031724	rna16904
OG0000106	transcript_ENSUAMT00000011775	id587022, id581866
OG0000107	transcript_ENSUAMT00000032635	rna18178, rna14268, rna24580
OG0000108	transcript_ENSUAMT00000041712	rna27031
OG0000108	transcript_ENSUAMT00000006394	rna22085
OG0000109	transcript_ENSUAMT00000024555	rna26471
OG0000109	transcript_ENSUAMT00000041705	rna40680
OG0000109	transcript_ENSUAMT00000038024	rna24242
OG0000109	transcript_ENSUAMT00000019583	rna5119
OG0000110	transcript_ENSUAMT00000023231	rna28163
OG0000110	transcript_ENSUAMT00000023313	rna53631
OG0000110	transcript_ENSUAMT00000007149	rna27991
OG0000110	transcript_ENSUAMT00000015996	rna28179
OG0000111	transcript_ENSUAMT00000010250	rna1533
OG0000111	transcript_ENSUAMT00000000089	rna33961
OG0000111	transcript_ENSUAMT00000039442	rna18137
OG0000112	transcript_ENSUAMT00000016664	rna53421
OG0000112	transcript_ENSUAMT00000001156	rna53422
OG0000112	transcript_ENSUAMT00000008207	rna53309
OG0000114	transcript_ENSUAMT00000010945	rna19102
OG0000114	transcript_ENSUAMT00000023140	rna19101
OG0000115	transcript_ENSUAMT00000012493	rna21957
OG0000115	transcript_ENSUAMT00000032793	rna52865, rna52777
OG0000115	transcript_ENSUAMT00000011003	rna42858
OG0000115	transcript_ENSUAMT00000040503	rna12298
OG0000116	transcript_ENSUAMT00000011616	rna49244, rna49169
OG0000116	transcript_ENSUAMT00000020090	rna45177
OG0000116	transcript_ENSUAMT00000009238	rna4694
OG0000116	transcript_ENSUAMT00000041820	rna44345
OG0000117	transcript_ENSUAMT00000005668	rna39773
OG0000117	transcript_ENSUAMT00000025859	rna45727, rna4187
OG0000118	transcript_ENSUAMT00000005023, transcript_ENSUAMT00000006686	rna54214, rna54213
OG0000118	transcript_ENSUAMT00000020507	rna54455, rna54454
OG0000118	transcript_ENSUAMT00000020509	rna35491
OG0000119	transcript_ENSUAMT00000005421	rna36080
OG0000119	transcript_ENSUAMT00000005418	rna36081
OG0000119	transcript_ENSUAMT00000001031	rna54357, rna54358, rna36084
OG0000119	transcript_ENSUAMT00000012829	rna36093
OG0000120	transcript_ENSUAMT00000001863	rna36040
OG0000120	transcript_ENSUAMT00000033591	rna36041
OG0000120	transcript_ENSUAMT00000001845	rna36037
OG0000120	transcript_ENSUAMT00000001858	rna36039
OG0000120	transcript_ENSUAMT00000001852	rna36038
OG0000122	transcript_ENSUAMT00000035130	rna33526
OG0000122	transcript_ENSUAMT00000020077	rna35821
OG0000123	transcript_ENSUAMT00000030791	rna28669
OG0000123	transcript_ENSUAMT00000012152	rna34852
OG0000123	transcript_ENSUAMT00000033634	rna19033
OG0000123	transcript_ENSUAMT00000002992	rna10529
OG0000124	transcript_ENSUAMT00000030940	rna12707
OG0000124	transcript_ENSUAMT00000034755	rna13983
OG0000124	transcript_ENSUAMT00000040234	rna15850
OG0000124	transcript_ENSUAMT00000026612	rna43442
OG0000125	transcript_ENSUAMT00000030795	rna44458
OG0000125	transcript_ENSUAMT00000015000	rna38016
OG0000125	transcript_ENSUAMT00000020920	rna45197
