Orthogroup	ursAme.longCDS.prots	homSap.longCDS.prots
OG0000023	transcript_ENSUAMT00000000400, transcript_ENSUAMT00000001529, transcript_ENSUAMT00000001533, transcript_ENSUAMT00000003650, transcript_ENSUAMT00000004954, transcript_ENSUAMT00000001497, transcript_ENSUAMT00000005138, transcript_ENSUAMT00000004987, transcript_ENSUAMT00000005337, transcript_ENSUAMT00000005125, transcript_ENSUAMT00000014322, transcript_ENSUAMT00000000455, transcript_ENSUAMT00000004028, transcript_ENSUAMT00000003630, transcript_ENSUAMT00000005173, transcript_ENSUAMT00000021458	ENST00000390285.4, ENST00000390297.3, ENST00000390294.2, ENST00000390301.3, ENST00000390290.3, ENST00000390299.2, ENST00000390291.2
OG0000024	transcript_ENSUAMT00000018301	ENST00000335238.4
OG0000024	transcript_ENSUAMT00000018303, transcript_ENSUAMT00000033935, transcript_ENSUAMT00000033945, transcript_ENSUAMT00000028899, transcript_ENSUAMT00000028900, transcript_ENSUAMT00000028898	ENST00000328188.1, ENST00000555099.1
OG0000025	transcript_ENSUAMT00000010646, transcript_ENSUAMT00000017186	ENST00000443402.6, ENST00000436911.6
OG0000025	transcript_ENSUAMT00000010652	ENST00000444775.2, ENST00000390341.2, ENST00000390340.2
OG0000026	transcript_ENSUAMT00000025265	ENST00000261383.3
OG0000026	transcript_ENSUAMT00000008595	ENST00000420323.6
OG0000026	transcript_ENSUAMT00000021048, transcript_ENSUAMT00000025755	ENST00000620169.4
OG0000026	transcript_ENSUAMT00000040626	ENST00000262442.8
OG0000026	transcript_ENSUAMT00000022391	ENST00000389394.7, ENST00000430092.5
OG0000026	transcript_ENSUAMT00000031086, transcript_ENSUAMT00000018747	ENST00000312428.10, ENST00000495027.5
OG0000027	transcript_ENSUAMT00000012756, transcript_ENSUAMT00000022616, transcript_ENSUAMT00000003798, transcript_ENSUAMT00000014904, transcript_ENSUAMT00000014901	ENST00000317254.3
OG0000027	transcript_ENSUAMT00000003143, transcript_ENSUAMT00000023294	ENST00000317093.2
OG0000027	transcript_ENSUAMT00000023291	ENST00000317078.1
OG0000027	transcript_ENSUAMT00000001359, transcript_ENSUAMT00000003370	ENST00000317037.2
OG0000028	transcript_ENSUAMT00000011076	ENST00000246635.7
OG0000028	transcript_ENSUAMT00000011081	ENST00000254043.7
OG0000028	transcript_ENSUAMT00000011087	ENST00000246662.8
OG0000028	transcript_ENSUAMT00000011155, transcript_ENSUAMT00000011153	ENST00000311208.12
OG0000028	transcript_ENSUAMT00000011145	ENST00000301653.8
OG0000028	transcript_ENSUAMT00000011131	ENST00000167586.6
OG0000029	transcript_ENSUAMT00000010999, transcript_ENSUAMT00000021576, transcript_ENSUAMT00000021581, transcript_ENSUAMT00000039760, transcript_ENSUAMT00000021577, transcript_ENSUAMT00000010996, transcript_ENSUAMT00000021583, transcript_ENSUAMT00000031613, transcript_ENSUAMT00000031612	ENST00000310194.1
OG0000030	transcript_ENSUAMT00000007049, transcript_ENSUAMT00000000738, transcript_ENSUAMT00000001698, transcript_ENSUAMT00000003813, transcript_ENSUAMT00000003857, transcript_ENSUAMT00000005226, transcript_ENSUAMT00000004161	ENST00000380367.1
OG0000030	transcript_ENSUAMT00000005424, transcript_ENSUAMT00000003567, transcript_ENSUAMT00000008443, transcript_ENSUAMT00000003290, transcript_ENSUAMT00000001725, transcript_ENSUAMT00000003322	ENST00000307388.1
OG0000031	transcript_ENSUAMT00000026222, transcript_ENSUAMT00000026224, transcript_ENSUAMT00000026220, transcript_ENSUAMT00000005146, transcript_ENSUAMT00000026219, transcript_ENSUAMT00000005149	ENST00000322107.1, ENST00000305892.1
OG0000031	transcript_ENSUAMT00000004964, transcript_ENSUAMT00000026218, transcript_ENSUAMT00000004963	ENST00000308940.8, ENST00000334920.3, ENST00000305899.4
OG0000032	transcript_ENSUAMT00000003555, transcript_ENSUAMT00000006989, transcript_ENSUAMT00000023256, transcript_ENSUAMT00000003373, transcript_ENSUAMT00000001428, transcript_ENSUAMT00000023258, transcript_ENSUAMT00000036487, transcript_ENSUAMT00000021688, transcript_ENSUAMT00000002259, transcript_ENSUAMT00000003492	ENST00000307832.2
OG0000032	transcript_ENSUAMT00000018281, transcript_ENSUAMT00000040543	ENST00000320002.3
OG0000033	transcript_ENSUAMT00000038847	ENST00000262717.8
OG0000033	transcript_ENSUAMT00000014220	ENST00000382275.5
OG0000033	transcript_ENSUAMT00000006108	ENST00000231021.8
OG0000033	transcript_ENSUAMT00000002774	ENST00000265071.2
OG0000033	transcript_ENSUAMT00000002585	ENST00000323011.7
OG0000033	transcript_ENSUAMT00000017210	ENST00000372262.7
OG0000034	transcript_ENSUAMT00000000966	ENST00000426406.2, ENST00000332831.3, ENST00000456475.1, ENST00000320901.3
OG0000035	transcript_ENSUAMT00000016510	ENST00000408906.2
OG0000035	transcript_ENSUAMT00000007638, transcript_ENSUAMT00000016378	ENST00000408949.2
OG0000035	transcript_ENSUAMT00000021475, transcript_ENSUAMT00000021469	ENST00000408899.2, ENST00000408979.2
OG0000035	transcript_ENSUAMT00000033224	ENST00000315453.3, ENST00000493325.1
OG0000035	transcript_ENSUAMT00000016377	ENST00000408898.2
OG0000036	transcript_ENSUAMT00000034323	ENST00000441343.5
OG0000036	transcript_ENSUAMT00000006245	ENST00000295598.9
OG0000036	transcript_ENSUAMT00000018211	ENST00000361216.7
OG0000036	transcript_ENSUAMT00000028622	ENST00000368081.8
OG0000036	transcript_ENSUAMT00000000565	ENST00000218548.10
OG0000036	transcript_ENSUAMT00000029882	ENST00000262623.3
OG0000037	transcript_ENSUAMT00000021443, transcript_ENSUAMT00000002243	ENST00000390302.3
OG0000037	transcript_ENSUAMT00000007129, transcript_ENSUAMT00000020812, transcript_ENSUAMT00000021441, transcript_ENSUAMT00000012648, transcript_ENSUAMT00000003503, transcript_ENSUAMT00000002687, transcript_ENSUAMT00000006962, transcript_ENSUAMT00000004166, transcript_ENSUAMT00000001455, transcript_ENSUAMT00000019169, transcript_ENSUAMT00000003009, transcript_ENSUAMT00000019157, transcript_ENSUAMT00000007294	ENST00000390310.2, ENST00000390312.2, ENST00000390306.2, ENST00000390314.2, ENST00000620395.2, ENST00000390287.2
OG0000038	transcript_ENSUAMT00000026411	ENST00000314706.3
OG0000038	transcript_ENSUAMT00000026412	ENST00000314721.3, ENST00000319760.7, ENST00000418689.1
OG0000038	transcript_ENSUAMT00000026415, transcript_ENSUAMT00000018321, transcript_ENSUAMT00000018306, transcript_ENSUAMT00000018312, transcript_ENSUAMT00000018308, transcript_ENSUAMT00000018317, transcript_ENSUAMT00000026416	ENST00000446524.1
OG0000039	transcript_ENSUAMT00000007878	ENST00000316292.13
OG0000040	transcript_ENSUAMT00000009088	ENST00000369851.5
OG0000040	transcript_ENSUAMT00000009153	ENST00000351050.7
OG0000040	transcript_ENSUAMT00000041665	ENST00000232461.7
OG0000040	transcript_ENSUAMT00000020398	ENST00000398291.3
OG0000040	transcript_ENSUAMT00000011396	ENST00000262493.11
OG0000040	transcript_ENSUAMT00000041660	ENST00000313601.10
OG0000041	transcript_ENSUAMT00000027329, transcript_ENSUAMT00000006483	ENST00000540430.5
OG0000041	transcript_ENSUAMT00000005900	ENST00000396076.5
OG0000041	transcript_ENSUAMT00000027328, transcript_ENSUAMT00000019562	ENST00000541669.5
OG0000041	transcript_ENSUAMT00000027254	ENST00000307144.5
OG0000042	transcript_ENSUAMT00000028852	ENST00000394709.2
OG0000042	transcript_ENSUAMT00000031829	ENST00000532636.5
OG0000042	transcript_ENSUAMT00000035669	ENST00000375650.4, ENST00000375651.6
OG0000043	transcript_ENSUAMT00000030925, transcript_ENSUAMT00000026923	ENST00000359682.2, ENST00000317965.3, ENST00000366476.1, ENST00000456743.2
OG0000043	transcript_ENSUAMT00000007484, transcript_ENSUAMT00000015759, transcript_ENSUAMT00000026922, transcript_ENSUAMT00000030926, transcript_ENSUAMT00000026924	ENST00000306687.1
OG0000044	transcript_ENSUAMT00000006405, transcript_ENSUAMT00000012490	ENST00000301071.11
OG0000044	transcript_ENSUAMT00000009692	ENST00000380419.7
OG0000044	transcript_ENSUAMT00000037765	ENST00000416740.1
OG0000044	transcript_ENSUAMT00000006370, transcript_ENSUAMT00000003210, transcript_ENSUAMT00000006412, transcript_ENSUAMT00000012418	ENST00000541364.5
OG0000044	transcript_ENSUAMT00000009746	ENST00000400113.7, ENST00000312988.8, ENST00000321253.6
OG0000045	transcript_ENSUAMT00000016840, transcript_ENSUAMT00000006266, transcript_ENSUAMT00000016660, transcript_ENSUAMT00000001948, transcript_ENSUAMT00000004297, transcript_ENSUAMT00000005162, transcript_ENSUAMT00000013874, transcript_ENSUAMT00000006201, transcript_ENSUAMT00000034360, transcript_ENSUAMT00000021812, transcript_ENSUAMT00000019132, transcript_ENSUAMT00000005157, transcript_ENSUAMT00000003615, transcript_ENSUAMT00000005572, transcript_ENSUAMT00000013552, transcript_ENSUAMT00000023334, transcript_ENSUAMT00000016371	ENST00000248072.3
OG0000045	transcript_ENSUAMT00000003723, transcript_ENSUAMT00000004735, transcript_ENSUAMT00000001694, transcript_ENSUAMT00000005161, transcript_ENSUAMT00000021650, transcript_ENSUAMT00000002960, transcript_ENSUAMT00000008148	ENST00000248058.1, ENST00000327462.3, ENST00000594432.1
OG0000046	transcript_ENSUAMT00000008167, transcript_ENSUAMT00000004191	ENST00000368167.7
OG0000046	transcript_ENSUAMT00000020542, transcript_ENSUAMT00000020662	ENST00000368168.3
OG0000046	transcript_ENSUAMT00000006924	ENST00000368170.7
OG0000047	transcript_ENSUAMT00000039096, transcript_ENSUAMT00000039097	ENST00000423932.4
OG0000047	transcript_ENSUAMT00000039091	ENST00000332217.5
OG0000047	transcript_ENSUAMT00000017982, transcript_ENSUAMT00000021390	ENST00000334857.3
OG0000049	transcript_ENSUAMT00000025850, transcript_ENSUAMT00000000525, transcript_ENSUAMT00000003984, transcript_ENSUAMT00000004629, transcript_ENSUAMT00000025851, transcript_ENSUAMT00000007668, transcript_ENSUAMT00000006993, transcript_ENSUAMT00000000884	ENST00000366473.3, ENST00000328570.4, ENST00000366475.1
OG0000050	transcript_ENSUAMT00000020423, transcript_ENSUAMT00000020422, transcript_ENSUAMT00000020424	ENST00000541538.1
OG0000051	transcript_ENSUAMT00000020214, transcript_ENSUAMT00000025410, transcript_ENSUAMT00000020228	ENST00000007735.3, ENST00000251646.7, ENST00000251645.2, ENST00000394001.1
OG0000051	transcript_ENSUAMT00000011062	ENST00000225899.3
OG0000051	transcript_ENSUAMT00000011072, transcript_ENSUAMT00000011075	ENST00000328119.10
OG0000051	transcript_ENSUAMT00000011070	ENST00000393989.1
OG0000052	transcript_ENSUAMT00000016286, transcript_ENSUAMT00000016287	ENST00000334181.4, ENST00000307658.11, ENST00000596400.1, ENST00000282282.3, ENST00000336128.11, ENST00000597658.1
OG0000052	transcript_ENSUAMT00000005366	ENST00000396154.6, ENST00000512439.6, ENST00000282308.3, ENST00000317178.9, ENST00000594684.1, ENST00000339656.7, ENST00000312026.5, ENST00000598031.1, ENST00000425570.7, ENST00000391701.1, ENST00000594901.1, ENST00000435989.6, ENST00000376233.7, ENST00000332854.10, ENST00000254166.3
OG0000053	transcript_ENSUAMT00000041055	ENST00000614012.4, ENST00000449934.6, ENST00000252229.6
OG0000053	transcript_ENSUAMT00000018313, transcript_ENSUAMT00000006208, transcript_ENSUAMT00000007056, transcript_ENSUAMT00000001119, transcript_ENSUAMT00000040106, transcript_ENSUAMT00000010788	ENST00000376630.4, ENST00000376828.6, ENST00000259951.11, ENST00000376806.9, ENST00000412585.6, ENST00000383329.7
OG0000054	transcript_ENSUAMT00000005902, transcript_ENSUAMT00000005888, transcript_ENSUAMT00000016583, transcript_ENSUAMT00000016613, transcript_ENSUAMT00000005892, transcript_ENSUAMT00000016571	ENST00000307360.5, ENST00000398631.2, ENST00000531613.1, ENST00000529310.5, ENST00000526136.1, ENST00000504120.3, ENST00000529859.1, ENST00000530339.1, ENST00000525929.1, ENST00000532602.1, ENST00000522353.2, ENST00000398640.6
OG0000055	transcript_ENSUAMT00000016713	ENST00000335302.5
OG0000055	transcript_ENSUAMT00000016711	ENST00000340750.1
OG0000055	transcript_ENSUAMT00000016730, transcript_ENSUAMT00000034492, transcript_ENSUAMT00000016708, transcript_ENSUAMT00000016718	ENST00000259357.3
OG0000056	transcript_ENSUAMT00000012752, transcript_ENSUAMT00000003801, transcript_ENSUAMT00000006968, transcript_ENSUAMT00000006971, transcript_ENSUAMT00000014900	ENST00000317121.4
OG0000056	transcript_ENSUAMT00000024466	ENST00000316529.3
OG0000057	transcript_ENSUAMT00000016167, transcript_ENSUAMT00000020927, transcript_ENSUAMT00000019192	ENST00000304865.3
OG0000057	transcript_ENSUAMT00000005087	ENST00000373686.1
OG0000057	transcript_ENSUAMT00000038123, transcript_ENSUAMT00000038124	ENST00000304820.3
OG0000058	transcript_ENSUAMT00000037532, transcript_ENSUAMT00000000913, transcript_ENSUAMT00000004730	ENST00000380219.1
OG0000058	transcript_ENSUAMT00000000860	ENST00000300773.3
OG0000058	transcript_ENSUAMT00000000876	ENST00000624187.1
OG0000058	transcript_ENSUAMT00000000901	ENST00000380224.1
OG0000059	transcript_ENSUAMT00000031432, transcript_ENSUAMT00000008118, transcript_ENSUAMT00000006515	ENST00000398696.3
OG0000060	transcript_ENSUAMT00000003886, transcript_ENSUAMT00000007447	ENST00000359350.4
OG0000060	transcript_ENSUAMT00000007440, transcript_ENSUAMT00000006912, transcript_ENSUAMT00000020176, transcript_ENSUAMT00000020178	ENST00000380371.1, ENST00000380373.3
OG0000061	transcript_ENSUAMT00000005070, transcript_ENSUAMT00000003664, transcript_ENSUAMT00000008155, transcript_ENSUAMT00000005198, transcript_ENSUAMT00000002114, transcript_ENSUAMT00000006840, transcript_ENSUAMT00000004102, transcript_ENSUAMT00000000610, transcript_ENSUAMT00000002730, transcript_ENSUAMT00000006726, transcript_ENSUAMT00000035163, transcript_ENSUAMT00000015954, transcript_ENSUAMT00000001960, transcript_ENSUAMT00000001235, transcript_ENSUAMT00000006437, transcript_ENSUAMT00000003954, transcript_ENSUAMT00000006777, transcript_ENSUAMT00000026925, transcript_ENSUAMT00000006906, transcript_ENSUAMT00000026926, transcript_ENSUAMT00000006904	ENST00000358120.2
OG0000062	transcript_ENSUAMT00000004965, transcript_ENSUAMT00000005167, transcript_ENSUAMT00000004971, transcript_ENSUAMT00000004849, transcript_ENSUAMT00000010703, transcript_ENSUAMT00000001799, transcript_ENSUAMT00000001553, transcript_ENSUAMT00000004739, transcript_ENSUAMT00000003763, transcript_ENSUAMT00000001564, transcript_ENSUAMT00000001808, transcript_ENSUAMT00000002332	ENST00000322653.5
OG0000063	transcript_ENSUAMT00000006233, transcript_ENSUAMT00000005692, transcript_ENSUAMT00000004748, transcript_ENSUAMT00000003509, transcript_ENSUAMT00000020945, transcript_ENSUAMT00000006662	ENST00000390441.2, ENST00000390431.3
OG0000065	transcript_ENSUAMT00000004807	ENST00000633222.1
OG0000065	transcript_ENSUAMT00000035166	ENST00000382545.4
OG0000065	transcript_ENSUAMT00000004804	ENST00000369769.3
OG0000065	transcript_ENSUAMT00000026826	ENST00000252321.4
OG0000065	transcript_ENSUAMT00000014841	ENST00000221444.1
OG0000065	transcript_ENSUAMT00000035168	ENST00000280684.3
OG0000066	transcript_ENSUAMT00000022546	ENST00000375820.8
OG0000066	transcript_ENSUAMT00000003833	ENST00000328300.10
OG0000066	transcript_ENSUAMT00000003011	ENST00000396578.7
OG0000066	transcript_ENSUAMT00000032674	ENST00000396625.3
OG0000066	transcript_ENSUAMT00000029149	ENST00000394872.6
OG0000066	transcript_ENSUAMT00000013294	ENST00000360467.5
OG0000067	transcript_ENSUAMT00000031915	ENST00000216181.9
OG0000067	transcript_ENSUAMT00000021981	ENST00000396324.7
OG0000067	transcript_ENSUAMT00000033162	ENST00000360416.7
OG0000067	transcript_ENSUAMT00000026643	ENST00000601313.5
OG0000068	transcript_ENSUAMT00000002268, transcript_ENSUAMT00000002290	ENST00000378981.7, ENST00000378982.3, ENST00000378988.4
OG0000068	transcript_ENSUAMT00000030262	ENST00000400004.6
OG0000068	transcript_ENSUAMT00000032890	ENST00000325250.1
OG0000068	transcript_ENSUAMT00000031529	ENST00000356790.2
OG0000069	transcript_ENSUAMT00000023503	ENST00000504543.1, ENST00000511681.1, ENST00000515574.1, ENST00000621388.1, ENST00000610514.1, ENST00000621472.1, ENST00000622713.1, ENST00000613757.1, ENST00000613973.1, ENST00000619296.1, ENST00000421288.3, ENST00000614762.1, ENST00000616303.1, ENST00000622009.1, ENST00000615989.1, ENST00000621432.2, ENST00000506619.2, ENST00000415041.1, ENST00000507227.1, ENST00000504104.1, ENST00000526929.1, ENST00000527080.1, ENST00000529559.1, ENST00000530484.1, ENST00000333796.3, ENST00000530447.4
OG0000071	transcript_ENSUAMT00000034545, transcript_ENSUAMT00000027459, transcript_ENSUAMT00000006272, transcript_ENSUAMT00000001514, transcript_ENSUAMT00000003273, transcript_ENSUAMT00000003131, transcript_ENSUAMT00000014570, transcript_ENSUAMT00000003199, transcript_ENSUAMT00000006086	ENST00000366480.4
OG0000072	transcript_ENSUAMT00000031565, transcript_ENSUAMT00000031564, transcript_ENSUAMT00000004416, transcript_ENSUAMT00000031570, transcript_ENSUAMT00000031566, transcript_ENSUAMT00000031558, transcript_ENSUAMT00000031560, transcript_ENSUAMT00000031568	ENST00000305377.5
OG0000073	transcript_ENSUAMT00000018297, transcript_ENSUAMT00000006389, transcript_ENSUAMT00000006396, transcript_ENSUAMT00000018296, transcript_ENSUAMT00000006391, transcript_ENSUAMT00000018299	ENST00000568934.1
OG0000074	transcript_ENSUAMT00000035074, transcript_ENSUAMT00000035073, transcript_ENSUAMT00000035072	ENST00000623845.1
OG0000074	transcript_ENSUAMT00000035075, transcript_ENSUAMT00000035077	ENST00000313447.1
OG0000078	transcript_ENSUAMT00000027768	ENST00000300127.2
