Orthogroup	ursMar.longCDS.prots	ursArc.longCDS.prots
OG0000020	rna15367	rna49447
OG0000020	rna15368	rna49448
OG0000020	rna15373	rna49451
OG0000020	rna15372	rna49450
OG0000020	rna15369	rna49449
OG0000020	rna15370	rna54112, rna54114
OG0000020	rna15375, rna15371	rna54113, rna54111
OG0000021	rna30780	rna21975
OG0000021	rna30779	rna21976
OG0000021	rna30657	rna22144
OG0000021	rna30656	rna22145
OG0000021	rna30659	rna22142
OG0000021	rna30658	rna22143
OG0000021	rna30785	rna21969
OG0000021	rna30781	rna21974
OG0000022	rna23731	rna50751
OG0000022	rna4317	rna50577
OG0000022	rna23718	rna50748, rna50752, rna50749
OG0000022	rna23722	rna50744
OG0000022	rna23730	rna54429
OG0000023	gene26562	id578935
OG0000023	gene26560	id578940
OG0000024	rna23003	rna53530
OG0000024	rna23001	rna53528
OG0000024	rna23008, rna23012, rna23014	rna28978
OG0000024	rna22986, rna22979	rna49286
OG0000024	rna23002	rna53529
OG0000024	rna22965	rna49298
OG0000024	rna15204	rna53929
OG0000024	rna15222	rna49321
OG0000024	rna15212, rna15217	rna49314
OG0000024	rna15224	rna49323
OG0000024	rna15226	rna49325
OG0000025	gene19084	id21172
OG0000025	gene19083	id21165
OG0000025	gene19081	id21155
OG0000025	gene19078	id21135
OG0000025	gene19075	id21121
OG0000025	gene19071	id21115
OG0000025	gene19080	id21152
OG0000025	gene19077	rna1861
OG0000025	rna25870	id21144
OG0000026	rna18740	rna33309
OG0000026	rna26051	rna16336
OG0000026	rna6197	rna2419
OG0000026	rna15050	rna46136
OG0000026	rna8247	rna39505
OG0000026	rna22059	rna4194
OG0000026	rna1701	rna26004
OG0000026	rna7337	rna6119
OG0000026	rna25967	rna16452
OG0000027	rna32565	rna52185
OG0000027	rna32568	rna52188
OG0000027	rna32564	rna52184
OG0000027	rna32563	rna52183
OG0000027	rna32559	rna52181
OG0000027	rna32558	rna52180
OG0000027	rna32557	rna52179
OG0000027	rna32556	rna54345, rna54346
OG0000027	rna32555	rna52178
OG0000028	rna23331	rna30039
OG0000028	rna23332	rna30038
OG0000028	rna23334	rna30036
OG0000028	rna1053	rna30072
OG0000028	rna23336	rna30032, rna30033
OG0000028	rna23335	rna30035
OG0000029	rna26929	rna17463
OG0000029	rna26934	rna17456
OG0000029	rna26931	rna17461
OG0000029	rna26932	rna17458
OG0000029	rna26936	rna17454
OG0000029	rna26933	rna17457
OG0000029	rna26928	rna17464
OG0000029	rna26935	rna17455, rna17459
OG0000029	rna26926	rna17466
OG0000029	rna26927	rna17465
OG0000029	rna33120	rna17460
OG0000030	rna33278	rna53586
OG0000030	rna32633, rna32630	rna54379
OG0000030	rna33276, rna34706	rna53584
OG0000030	rna33280	rna36079
OG0000030	rna33796	rna36083
OG0000030	rna33277	rna53585
OG0000031	rna29065	rna15706
OG0000031	rna29066	rna15705
OG0000031	rna32971	rna15708
OG0000031	rna32970	rna15709
OG0000031	rna29068	rna15703
OG0000031	rna29061	rna15710
OG0000031	rna29067	rna15704
OG0000032	rna34705	rna27978
OG0000032	rna14151	rna52160
OG0000032	rna34701	rna52161
OG0000032	rna35166	rna51012
OG0000032	rna35175	rna51023
OG0000033	rna2802	rna11023
OG0000033	rna10356	rna22730
OG0000033	rna13652	rna22733
OG0000033	rna13649	rna22736
OG0000033	rna13648	rna22740
OG0000033	rna13650	rna22735
OG0000033	rna2765	rna11080
OG0000033	rna19735	rna19256
OG0000034	rna33150	rna53550
OG0000034	rna24521	rna42023
OG0000034	rna24518	rna42022
OG0000034	rna24517	rna42021
OG0000034	rna24516	rna42020
OG0000034	rna32969, rna24519	rna53549
OG0000034	rna24515	rna42019
OG0000034	rna24514	rna42018
OG0000034	rna24520, rna32968	rna53695
OG0000035	rna18841	rna3262
OG0000035	rna18838	rna3265
OG0000035	rna18839	rna3264
OG0000035	rna18840	rna3263
OG0000036	rna32695	rna44240
OG0000036	rna19324	rna45780
OG0000036	rna22713	rna49690
OG0000036	rna22712	rna49689
OG0000036	rna12872	rna6815
OG0000036	rna35253	rna46542
OG0000037	gene20013	id583479
OG0000037	gene20016	id582740
OG0000037	gene20015	id583832
OG0000037	gene20017	id582746
OG0000038	rna22990	rna49281
OG0000038	rna22992	rna49279
OG0000039	rna102, rna32764, rna28497, rna19638, rna28925	rna23173
OG0000039	rna4359, rna15901, rna8307	rna19556
OG0000040	rna26518	rna46795
OG0000040	rna5940	rna2031
OG0000040	rna26519	rna46794
OG0000040	rna26134	rna16233
OG0000040	rna5944	rna2035
OG0000040	rna24841	rna8956
OG0000040	rna26132	rna16235
OG0000041	rna6863	rna29398
OG0000041	rna14159	rna17819
OG0000041	rna6862	rna29397
OG0000041	rna8737	rna20920
OG0000042	rna2466	rna49235, rna49160
OG0000042	rna10433	rna21395
OG0000042	rna35016	rna44597
OG0000042	rna35015, rna35014	rna54432
OG0000043	rna33287	rna23776
OG0000043	rna33291	rna23770
OG0000043	rna32960	rna23779
OG0000043	rna32959, rna35725	rna23778
OG0000043	rna33286	rna23777
OG0000043	rna33288	rna23775
OG0000043	rna33292	rna23769
OG0000044	rna26969	rna17409
OG0000044	rna26971, rna30144	rna17408
OG0000044	rna27894	rna40387
OG0000044	rna27214	rna18378
OG0000044	rna4753	rna42632
OG0000044	rna11099	rna5626
OG0000044	rna26970	rna17407
OG0000044	rna19137, rna19143	rna48487
OG0000046	rna22777	rna49758
OG0000046	rna22783, rna22784, rna22785	rna53866
OG0000046	rna22790	rna49764
OG0000046	rna22788	rna49766
OG0000046	rna22778	rna49760
OG0000046	rna22781	rna49762
OG0000047	rna22739	rna49727
OG0000047	rna22736	rna49724
OG0000047	rna22734	rna49723
OG0000047	rna22775	rna53994, rna53991
OG0000047	rna22732	rna49721
OG0000048	rna10147	rna632
OG0000048	rna10141	rna53861
OG0000048	rna10143	rna629
OG0000048	rna10140	rna628
OG0000048	rna10144	rna631
OG0000048	rna10148	rna634
OG0000048	rna10138	rna54435, rna54434
OG0000049	rna35734	rna23789
OG0000049	rna35737	rna23790
OG0000049	rna35738	rna23793
OG0000049	rna35736	rna23791
OG0000049	rna35733	rna23788
OG0000049	rna35726	rna23781
OG0000049	rna35727	rna23782
OG0000050	rna27999	rna43371
OG0000050	rna27993	rna43366
OG0000050	rna27997	rna43369
OG0000050	rna27998	rna43370
OG0000050	rna27996	rna43368
OG0000050	rna27991	rna43364
OG0000050	rna27990	rna43363
OG0000050	rna27992	rna43365
OG0000050	rna27994	rna43367
OG0000051	rna23323	rna30048
OG0000051	rna23321	rna53878
OG0000051	rna23322	rna53877
OG0000051	rna23328	rna30042
OG0000051	rna23330	rna30040
OG0000051	rna23329	rna30041
OG0000052	rna29222, rna29220	rna51964
OG0000052	rna29119	rna51867
OG0000053	rna13906	rna28329
OG0000055	rna20631	rna31319, rna31321
OG0000055	rna20635	rna31318
OG0000055	rna20636	rna31316
OG0000055	rna20638	rna31315
OG0000055	rna20629	rna31320
OG0000056	rna32567	rna52187
OG0000056	rna32566	rna52186
OG0000056	rna32560	rna52182
OG0000056	rna32561	rna54046
OG0000056	rna34054	rna48309
OG0000057	rna20628	rna31322
OG0000057	rna20639	rna31314
OG0000057	rna20637	rna54078, rna54077
OG0000057	rna20640	rna31313
OG0000057	rna20641	rna31312
OG0000057	rna20619	rna31331
OG0000057	rna20618	rna31333
OG0000058	rna32619	rna52232
OG0000058	rna32618	rna52231
OG0000058	rna32620	rna52233
OG0000058	rna32621	rna52234
OG0000058	rna32622	rna54365, rna54366
OG0000058	rna32623	rna52235
OG0000059	rna4320	rna50576
OG0000059	rna23728	rna53438
OG0000059	rna4318, rna4321	rna53884
OG0000059	rna23723	rna53440
OG0000059	rna23719	rna53961, rna53960, rna50746
OG0000060	rna33748	rna36129
OG0000060	rna33747	rna36130
OG0000060	rna33736	rna36136
OG0000060	rna33753	rna36123
OG0000060	rna33758	rna36117
OG0000060	rna33752	rna36124
OG0000060	rna33759	rna36116
OG0000060	rna33751	rna36125
OG0000061	rna33293	rna53838, rna53840, rna53833
OG0000062	rna32591	rna52214
OG0000062	rna32574	rna52192
OG0000062	rna32575	rna52193
OG0000063	gene26067	id583169
OG0000063	gene25715	id589360, id581238
OG0000063	gene26064, gene26061	id581220
OG0000063	gene26072	id589406, id581241
OG0000063	gene24266	id583176
OG0000063	gene26069	id581355
OG0000065	rna26552	rna46756
OG0000065	rna35610	rna18206
OG0000065	rna26555	rna46750
OG0000065	rna35609	rna18205
OG0000065	rna4126	rna43873
OG0000065	rna32317	rna18208
OG0000066	rna4538	rna7696
OG0000066	rna32292	rna40556
OG0000066	rna11035	rna5529
OG0000066	rna11036	rna5530
OG0000066	rna18754	rna40555
OG0000066	rna4536	rna7697
OG0000067	rna28172	rna14832
OG0000067	rna8202	rna39439
OG0000067	rna4192	rna50740
OG0000068	rna17875	rna30505
OG0000068	rna17873	rna30503
OG0000068	rna17861	rna42102
OG0000068	rna17867	rna30492
OG0000068	rna17866	rna30491
OG0000069	rna28761	rna24761
OG0000070	rna24100, rna10151	rna53506
OG0000070	rna10152, rna10149	rna635
OG0000070	rna10153	rna53507
OG0000070	rna10150	rna636
OG0000070	rna10154	rna53505
OG0000071	rna32905	rna23723
OG0000071	rna32907	rna54060
OG0000071	rna32900	rna23727
OG0000071	rna33081	rna53919
OG0000071	rna33080	rna23706
OG0000072	rna34722	rna17048
OG0000072	rna34726	rna17052
OG0000072	rna34725	rna17051
OG0000072	rna34723, rna34719	rna17045, rna17049
OG0000072	rna34720	rna17046
OG0000072	rna34724	rna17050
OG0000073	rna23005	rna53532
OG0000073	rna23016	rna28981
OG0000073	rna23015	rna28980
OG0000074	rna15279	rna49365
OG0000074	rna15281	rna49367
OG0000074	rna15280	rna49366
OG0000074	rna15271	rna53731, rna53734
OG0000074	rna15277	rna49363
OG0000074	rna15275	rna49361
OG0000074	rna15273	rna53733, rna53736
OG0000074	rna15278	rna49364
OG0000074	rna15283	rna49369
OG0000075	rna3892	rna53998
OG0000075	rna3890	rna53702
OG0000075	rna3891	rna53997
OG0000075	rna32671	rna44280
OG0000077	rna33197	rna95, rna91
OG0000077	rna33199	rna97, rna84, rna94
OG0000078	rna15400	rna53156
OG0000078	rna15402	rna53158
OG0000078	rna15403	rna53159
OG0000078	rna15404	rna53160
OG0000078	rna15405	rna53161
OG0000078	rna15401	rna53157
OG0000079	rna30065	rna36166
OG0000079	rna30066	rna36167
OG0000079	rna32587	rna52211
OG0000079	rna30063	rna36164
OG0000079	rna30064	rna36165
OG0000079	rna30062	rna36163
OG0000079	rna30061	rna36162
OG0000080	rna7184	rna6351
OG0000080	rna27183	rna17092
OG0000081	rna27067	rna17241
OG0000081	rna27066	rna17243
OG0000081	rna27065	rna53935
OG0000082	rna4801	rna33422
OG0000082	rna18691	rna33356
OG0000082	rna18267	rna47656
OG0000082	rna8254, rna8257, rna32310	rna39521
OG0000084	rna15265	rna49359
OG0000084	rna15270	rna49360
OG0000084	rna15255	rna49351
OG0000084	rna15267	rna53953
OG0000085	rna33269	rna53503
OG0000085	rna36078	rna53777
OG0000085	rna36080, rna36070	rna53305
OG0000085	rna36071	rna53306
OG0000085	rna32996	rna53312
OG0000085	rna32957	rna53876
OG0000086	rna11215	rna12390
OG0000086	rna11222	rna12395
OG0000086	rna11220	rna12393
OG0000086	rna11224	rna12396
OG0000087	rna4292	rna50602
OG0000087	rna4290	rna50604
OG0000087	rna4294	rna50600
OG0000087	rna4297	rna50599
OG0000089	rna36261	rna32907
OG0000089	rna12631	rna23490
OG0000091	rna27091	rna17216
OG0000091	rna27060	rna17245
OG0000092	rna12642	rna23497
OG0000092	rna31987	rna45338
OG0000092	rna1716	rna25987
OG0000092	rna1714	rna25988
OG0000092	rna9975	rna19864
OG0000093	rna2486	rna49208, rna49131
OG0000093	rna23254	rna25512
OG0000093	rna31957	rna45386
OG0000093	rna12690	rna23570
OG0000093	rna36263	rna32910
OG0000094	gene16288	id45717
OG0000096	rna6054	rna2196
OG0000096	rna7283	rna6207
OG0000096	rna7282	rna6208
OG0000096	rna26912	rna17482
OG0000096	rna822	rna30382
OG0000097	rna16159	rna38290
OG0000097	rna8077	rna39206
OG0000097	rna35540	rna18128
OG0000099	rna11813	rna20571
OG0000099	rna11809	rna20574
OG0000099	rna11812	rna54374
OG0000099	rna11811	rna20572
OG0000099	rna11808, rna11810	rna20575, rna20573
OG0000101	rna19788	rna19184
OG0000101	rna9544	rna9989
OG0000101	rna15514	rna34458
OG0000102	rna30316	rna50089
OG0000103	rna13259	rna27743
OG0000103	rna23527	rna25206
OG0000103	rna13260	rna27742
OG0000103	rna5266	rna49862
OG0000103	rna28983	rna26925
OG0000104	rna19561	rna16811
OG0000104	rna27267	rna18273
OG0000104	rna27266	rna18278
OG0000104	rna19485	rna16904
OG0000106	gene26822	id591311
OG0000106	gene26821	id581872
OG0000106	gene26820	id587022, id581866
OG0000107	rna4547	rna14268
OG0000107	rna3857	rna24580
OG0000108	rna7609	rna27031
OG0000108	rna11708, rna11709	rna37091
OG0000108	rna9172	rna32466
OG0000108	rna30707	rna22085
OG0000108	rna28633	rna36784
OG0000109	rna14335	rna26471
OG0000109	rna12466	rna24242
OG0000109	rna35371	rna5119
OG0000109	rna20392	rna33700
OG0000110	rna13957	rna28163
OG0000110	rna13963	rna53631
OG0000110	rna13948	rna28179
OG0000111	rna27810	rna1533
OG0000111	rna20224	rna33961
OG0000111	rna34734	rna38454
OG0000111	rna35547	rna18137
OG0000112	rna34161	rna53421
OG0000112	rna32724, rna34162	rna53422
OG0000114	rna19831	rna19102
OG0000114	rna1097	rna10440
OG0000114	rna11851	rna20524
OG0000114	rna15717	rna34764
OG0000115	rna30793	rna21957
OG0000115	rna26687	rna52865, rna52777
OG0000115	rna34282	rna42858
OG0000115	rna19286	rna12298
OG0000116	rna2462	rna49244, rna49169
OG0000116	rna32087	rna45177
OG0000116	rna21746	rna4694
OG0000116	rna8965	rna44345
OG0000117	rna35419	rna39773
OG0000117	rna6512	rna45727, rna4187
OG0000118	rna16884, rna16885	rna54214, rna54213
OG0000118	rna16887	rna54455, rna54454
OG0000118	rna16888	rna35491
OG0000119	rna33794	rna36085
OG0000119	rna33281	rna36080
OG0000119	rna33282	rna36081
OG0000119	rna33786	rna54357, rna54358
OG0000119	rna33795	rna36084
OG0000120	rna16528	rna36040
OG0000120	rna16527	rna36041
OG0000120	rna16529	rna36039
OG0000120	rna16530	rna36038
OG0000122	rna4866	rna33526
OG0000122	rna16654	rna35821
OG0000123	rna28848	rna28669
OG0000123	rna15778	rna34852
OG0000123	rna19879	rna19033
OG0000123	rna1147	rna10529
OG0000124	rna32401, rna11422	rna12707
OG0000124	rna12148	rna13983
OG0000124	rna26402	rna15850
OG0000124	rna30971	rna43442
OG0000125	rna8894	rna44458
OG0000125	rna2384	rna38016
OG0000125	rna32079	rna45197
OG0000125	rna10120	rna19645
OG0000126	rna24507	rna42011
OG0000126	rna24645	rna9250
OG0000126	rna19743	rna19246
OG0000126	rna31690	rna22607
OG0000127	rna35389	rna48024
OG0000127	rna15483	rna39849
OG0000127	rna8124	rna39299
OG0000127	rna27828	rna1566
OG0000128	rna26205	rna16114
OG0000128	rna27911	rna40417
OG0000128	rna4640	rna42778
OG0000128	rna34797	rna52885
OG0000129	rna30246	rna36432
OG0000129	rna30247, rna32763	rna38982
OG0000129	rna13252	rna27757
OG0000129	rna32254	rna24887
OG0000130	rna7722	rna15169
OG0000130	rna19562	rna16803
OG0000130	rna32228	rna51689
OG0000130	rna4777	rna42600
OG0000131	gene25716	id583166
OG0000132	rna18302	rna47722
OG0000132	rna18303	rna47724
OG0000132	rna18730	rna33321
OG0000132	rna18732	rna33319
OG0000132	rna18731	rna33320
OG0000134	gene14047	id553426
OG0000134	gene20010	id583385
OG0000135	rna21715	rna4748
OG0000135	rna2125	rna33218
OG0000136	rna15808	rna34891
OG0000136	rna8656	rna21008
OG0000136	rna22619	rna42072
OG0000136	rna17836	rna42151
OG0000137	rna15580	rna34561
OG0000137	rna20827	rna52523
OG0000137	rna15582	rna34563
OG0000137	rna15579	rna34554
OG0000138	rna8111	rna39275
OG0000138	rna35498	rna18083
OG0000138	rna21197	rna13223
OG0000139	rna11589	rna37514
OG0000139	rna10192	rna9497
OG0000139	rna10787	rna5125
OG0000140	rna20342	rna33760
OG0000140	rna31201	rna32152
OG0000140	rna35611	rna18209
OG0000140	rna35076	rna49058
OG0000141	rna35401	rna48014
OG0000141	rna23706	rna50762
OG0000142	rna33352	rna15238
OG0000142	rna21514	rna45032
OG0000142	rna4130	rna43865
OG0000142	rna4762	rna42618
OG0000143	rna24383	rna41836
OG0000143	rna4067	rna43962
OG0000143	rna22360	rna3772
OG0000143	rna31953	rna45392
OG0000144	rna15473	rna39868
OG0000144	rna15474	rna39867
OG0000144	rna15475	rna39866
OG0000144	rna15472	rna39871
OG0000145	rna4708	rna42693
OG0000145	rna116	rna30832
OG0000145	rna27240	rna18336
OG0000145	rna26007	rna16402
OG0000146	rna10707	rna21791
OG0000146	rna5182	rna14731
OG0000146	rna13348	rna27617
OG0000146	rna32752	rna38954
OG0000147	rna32189	rna51625
OG0000147	rna19424	rna16994
OG0000147	rna23297	rna25454
OG0000147	rna35183	rna3002
OG0000148	rna670	rna8527
OG0000148	rna24194	rna37235
OG0000148	rna12196	rna14055
OG0000148	rna5433	rna31855
OG0000149	rna24199	rna37241
OG0000149	rna5428	rna31845
OG0000149	rna12200	rna14062
OG0000149	rna659	rna8507
OG0000150	rna27514	rna37134
OG0000150	rna27515	rna37135
OG0000150	rna2360	rna37981
OG0000150	rna2362	rna53835, rna53834
OG0000151	rna17449	rna20217
OG0000151	rna9869	rna14318
OG0000151	rna9875	rna14329
OG0000151	rna13400	rna27540
OG0000152	rna6498	rna24533
OG0000152	rna571	rna8342
OG0000152	rna13139	rna27912
OG0000152	rna2884	rna48214
OG0000154	rna25444	rna16670
OG0000154	rna8586	rna21035
OG0000154	rna25440	rna16666
OG0000154	rna25445	rna16674
OG0000155	gene16287	id587541
OG0000156	rna28185	rna53825
OG0000156	rna28173	rna14834, rna53826
OG0000157	rna1048	rna30077
OG0000157	rna1050	rna30073
OG0000157	rna1049	rna30075
OG0000157	rna1046	rna30078
OG0000158	rna22762	rna49742
OG0000158	rna22765	rna49746
OG0000158	rna22764	rna49744
OG0000158	rna22763	rna49743
OG0000162	rna25527	rna18783
OG0000162	rna27522	rna37151
OG0000162	rna15677	rna34691
OG0000162	rna29393	rna34336
OG0000163	rna15616	rna34616, rna34620
OG0000163	rna31782	rna24784
OG0000163	rna9645	rna9861
OG0000164	rna31881	rna49543
OG0000164	rna4194	rna50737
OG0000164	rna26542	rna46771
OG0000164	rna3853	rna15308
OG0000165	rna33153	rna2
OG0000165	rna2952	rna48072
OG0000165	rna16944	rna48868
OG0000166	rna22381	rna3733
OG0000166	rna9160	rna32446
OG0000166	rna32109	rna45140
OG0000167	rna15052	rna46132
OG0000167	rna28133	rna41588
OG0000167	rna4093	rna43928
OG0000168	rna2650	rna52001
OG0000168	rna2691	rna45724
OG0000168	rna2675	rna54355, rna54353
OG0000169	rna20153	rna34049
OG0000169	rna20152	rna53743
OG0000169	rna20154	rna34048
OG0000170	rna27513	rna37132
OG0000170	rna13355	rna27606
OG0000170	rna17773	rna39742
OG0000170	rna2704	rna52044
OG0000171	rna170	rna30719
OG0000171	rna10114	rna19670
OG0000172	rna18888	rna3204
OG0000172	rna18896	rna54091, rna53940
OG0000172	rna18895	rna54100
OG0000173	rna29032	id578919
OG0000174	rna11734	rna37035
OG0000174	rna11741	rna37028
OG0000174	rna34373	rna43042
OG0000174	rna31448	rna40140
OG0000175	rna33689	rna54280
OG0000175	rna33695	rna54284
OG0000175	rna33693	rna53453
OG0000175	rna33687, rna36073	rna53308
OG0000176	rna9857	rna14301
OG0000176	rna13407	rna27530
OG0000176	rna17452	rna20218
OG0000177	rna1128	rna10499
OG0000177	rna19909	rna18981
OG0000178	rna26916	rna17479
OG0000178	rna33206	rna116
OG0000178	rna25075	rna40368
OG0000179	rna35917	rna53494, rna52934, rna52932, rna53712, rna45631
OG0000180	rna4988	rna33688
OG0000180	rna4985	rna33684
OG0000180	rna4989	rna33689
OG0000181	rna15395, rna15394	rna53153
OG0000182	rna14827	rna29492
OG0000182	rna14829	rna29491
OG0000182	rna14818	rna29503
OG0000182	rna14826	rna29497
OG0000183	rna34922	rna36948
OG0000183	rna34923	rna36947
OG0000183	rna34954	rna36891
OG0000184	rna15299	rna49381
OG0000184	rna15302	rna49383
OG0000184	rna15301	rna49382
OG0000185	rna15232	rna49330
OG0000185	rna15233	rna49331
OG0000185	rna15234	rna49332
OG0000185	rna15229	rna49327
OG0000185	rna15231	rna49329
OG0000186	rna36069	rna53303
OG0000186	rna33450	rna53812
OG0000187	rna18650	rna38572
OG0000187	rna18651	rna38569
OG0000187	rna32345	rna33286
OG0000188	rna34025	rna48348
OG0000188	rna34027	rna48346
OG0000188	rna34024	rna48349
OG0000188	rna34015, rna35887, rna35885	rna48358
OG0000189	rna27748	rna1455
OG0000189	rna27747	rna1454
OG0000189	rna27751	rna1457
OG0000189	rna27749	rna1456
OG0000190	gene13919	id35538
OG0000191	rna15313	rna49390
OG0000191	rna15315	rna49392
OG0000191	rna15310, rna15311, rna15312	rna49389
OG0000192	rna21193	rna13218
OG0000192	rna21191	rna13216
OG0000192	rna21187	rna13215
OG0000192	rna21192	rna13217
OG0000193	rna25139	rna41241
OG0000193	rna26198	rna16127
OG0000193	rna26491	rna46824
OG0000194	rna32205	rna51645
OG0000194	rna5216	rna14784
OG0000194	rna26013	rna16397
OG0000195	rna9007	rna32218
OG0000195	rna9008	rna32220
OG0000195	rna9006	rna32217
OG0000195	rna9001	rna32209
OG0000196	rna4304	rna50589
OG0000197	rna24497	rna42001
OG0000197	rna8891	rna44463
OG0000197	rna10117	rna19653
OG0000198	rna32252	rna24890
OG0000198	rna35667	rna53351
OG0000198	rna17739	rna39804, rna54121
OG0000198	rna13251	rna27762
OG0000199	rna31221	rna1211
OG0000199	rna8103	rna39260
OG0000199	rna35403	rna48011
OG0000200	rna24201	rna37244
OG0000200	rna13296	rna27693
OG0000200	rna653	rna8487
OG0000201	rna19631	rna16692
OG0000201	rna14206	rna17742
OG0000201	rna14517	rna44724
OG0000202	rna18020	rna47236
OG0000202	rna13491	rna23000
OG0000202	rna34259, rna31416	rna42813, rna40194
OG0000203	rna36038	rna36573
OG0000203	rna36042	rna53404
OG0000205	rna8136	rna39319
OG0000205	rna27678	rna1355
OG0000206	rna28011	rna43382
OG0000206	rna28010	rna43381
OG0000206	rna28008	rna43379
OG0000206	rna28009	rna43380
OG0000207	rna27016	rna17330
OG0000207	rna33155	rna4
OG0000207	rna25065	rna40353
OG0000208	rna15241	rna53922
OG0000208	rna15242, rna15243	rna49338
OG0000209	rna15285	rna49371
OG0000209	rna15274, rna15276	rna49362
OG0000209	rna15272	rna53735, rna53732
OG0000210	rna24046	rna287
OG0000210	rna24045	rna289
OG0000210	rna24039	rna290
OG0000212	rna26830	rna36569
OG0000212	rna26828	rna36568
OG0000213	rna1982	rna33023
OG0000213	rna3999	rna44072
OG0000213	rna22244	rna3946
