Orthogroup	ursMar.longCDS.prots	ailMel.longCDS.prots
OG0000035	rna18834	rna-XM_002929133.2
OG0000035	rna18840	rna-XM_002921816.2
OG0000036	rna32695	rna-XM_034651676.1
OG0000036	rna19324	rna-XM_019804162.2
OG0000036	rna22713	rna-XM_034667301.1
OG0000036	rna22712	rna-XM_034667296.1
OG0000036	rna12872	rna-XM_034664929.1
OG0000036	rna35253	rna-XM_034638257.1
OG0000037	gene20013	id-LOC105234852
OG0000037	gene20015	id-LOC105235063
OG0000037	gene20017	id-LOC117797993
OG0000038	rna22990	rna-XM_011216996.2
OG0000038	rna22991	rna-XM_019793062.1
OG0000038	rna22992	rna-XM_034646065.1
OG0000038	rna22994	rna-XM_034646064.1
OG0000038	rna23000	rna-XM_034646613.1
OG0000038	rna22998	rna-XM_034645874.1
OG0000038	rna22999	rna-XM_034650404.1
OG0000038	rna22993	rna-XM_034646538.1
OG0000038	rna22996	rna-XM_034653136.1
OG0000038	rna22995	rna-XM_019793643.2
OG0000039	rna102, rna32764	rna-XM_034651468.1, rna-XM_034652149.1, rna-XM_034651913.1, rna-XM_034651917.1, rna-XM_034641559.1
OG0000039	rna28497	rna-XM_034652439.1
OG0000039	rna28925	rna-XM_034662592.1
OG0000039	rna15901	rna-XM_034652899.1, rna-XM_002913271.4
OG0000039	rna8307	rna-XM_034651557.1, rna-XM_034651560.1, rna-XM_034651456.1, rna-XM_034652425.1, rna-XM_034650499.1, rna-XM_034651670.1, rna-XM_034651746.1, rna-XM_034650853.1
OG0000040	rna26518	rna-XM_034654035.1
OG0000040	rna5940	rna-XM_011223692.3
OG0000040	rna26519	rna-XM_002919208.4
OG0000040	rna26134	rna-XM_002920527.4
OG0000040	rna5944	rna-XM_002918261.4
OG0000040	rna24841	rna-XM_011231771.3
OG0000040	rna26132	rna-XM_034650939.1, rna-XM_011226623.3
OG0000041	rna6863	rna-XM_034645235.1, rna-XM_034654505.1, rna-XM_034651363.1
OG0000041	rna14159	rna-XM_002928987.4
OG0000041	rna6862	rna-XM_011233500.3
OG0000041	rna8737	rna-XM_002915119.4
OG0000041	rna6861	rna-XM_011233514.3
OG0000042	rna2466	rna-XM_034643019.1
OG0000042	rna10433	rna-XM_011216931.3, rna-XM_034652303.1, rna-XM_034652085.1, rna-XM_034672111.1, rna-XM_034650288.1, rna-XM_034651989.1, rna-XM_034652683.1, rna-XM_034650510.1
OG0000042	rna35016	rna-XM_019793821.2
OG0000042	rna35015, rna35014	rna-XM_002931069.4
OG0000043	rna33287, rna33291	rna-XM_002930259.2, rna-XM_034653250.1
OG0000043	rna32960	rna-XM_002930261.2
OG0000043	rna32959, rna35725	rna-XM_002930260.4
OG0000043	rna33286	rna-XM_019793089.2
OG0000043	rna33288	rna-XM_002929677.2
OG0000043	rna33292	rna-XM_011237720.3
OG0000046	rna22777	rna-XM_011217598.3
OG0000046	rna22783, rna22784, rna22785	rna-XM_034667338.1
OG0000046	rna22792	rna-XM_034667340.1
OG0000046	rna22790	rna-XM_034667335.1
OG0000046	rna22788	rna-XM_034667339.1
OG0000046	rna22778	rna-XM_019793557.2
OG0000046	rna22781	rna-XM_019793558.2
OG0000047	rna22737, rna22735, rna22739	rna-XM_002927275.4
OG0000047	rna22734	rna-XM_011234811.3
OG0000047	rna22775	rna-XM_002930742.4, rna-XM_034667681.1
OG0000047	rna22732	rna-XM_011237480.3
OG0000048	rna10147	rna-XM_034650367.1
OG0000048	rna10143	rna-XM_011217727.2
OG0000048	rna10140	rna-XM_034668363.1
OG0000048	rna10144	rna-XM_019793614.2
OG0000048	rna10148	rna-XM_034650851.1, rna-XM_034650336.1
OG0000048	rna10138	rna-XM_034651954.1, rna-XM_034664280.1
OG0000048	rna10139	rna-XM_034650312.1
OG0000049	rna35739	rna-XM_002930914.2
OG0000049	rna35734, rna35737	rna-XM_002931217.2
OG0000049	rna35736	rna-XM_034653263.1
OG0000049	rna35733	rna-XM_034653274.1
OG0000049	rna35726, rna35727	rna-XM_002929840.2
OG0000050	rna27999	rna-XM_011228336.2
OG0000050	rna27997	rna-XM_002921919.4
OG0000050	rna27998	rna-XM_034657224.1
OG0000050	rna27996	rna-XM_002921920.4
OG0000050	rna27995	rna-XM_002921921.4
OG0000050	rna27991	rna-XM_002921925.4
OG0000050	rna27990	rna-XM_002921926.4
OG0000050	rna27992, rna27994	rna-XM_002921922.4
OG0000051	rna23323	rna-XM_034648398.1
OG0000051	rna23321	rna-XM_034641239.1
OG0000051	rna23320	rna-XM_034641240.1
OG0000051	rna23322	rna-XM_034648682.1
OG0000051	rna23328	rna-XM_002922111.4
OG0000051	rna23330	rna-XM_002922113.4
OG0000051	rna23329	rna-XM_002922112.4
OG0000052	rna29222	rna-XM_019805397.2
OG0000052	rna29220	rna-XM_034639499.1
OG0000052	rna29119	rna-XM_034650411.1, rna-XM_019807812.2
OG0000053	rna13906	rna-XM_034660461.1, rna-XM_034660207.1
OG0000053	rna22997	rna-XM_034653156.1
OG0000053	rna32958	rna-NM_001304845.1
OG0000054	rna12305	rna-XM_034656137.1
OG0000054	rna12309	rna-XM_034653093.1
OG0000054	rna12307	rna-XM_034655628.1, rna-XM_034653092.1
OG0000054	rna12304	rna-XM_034656135.1
OG0000055	rna20631	rna-XM_034663715.1, rna-XM_002930671.2
OG0000055	rna20630	rna-XM_011217520.3
OG0000055	rna20635	rna-XM_019793497.2
OG0000055	rna20636	rna-XM_002931256.2
OG0000055	rna20638	rna-XM_002931317.4
OG0000055	rna20629	rna-XM_034664456.1
OG0000056	rna32560, rna32561	rna-XM_034666171.1, rna-XM_034650117.1
OG0000056	rna32562	rna-XM_034666107.1
OG0000056	rna34055	rna-XM_002925001.2, rna-XM_034666476.1, rna-XM_034651771.1, rna-XM_002924997.2
OG0000056	rna34054	rna-XM_002924985.4
OG0000056	rna34056	rna-XM_002924998.4
OG0000057	rna20628	rna-XM_019793500.2
OG0000057	rna20639	rna-XM_034653272.1
OG0000057	rna20637, rna20640	rna-XM_002915958.4
OG0000057	rna20641	rna-XM_002915959.2
OG0000057	rna20619	rna-XM_002930725.3
OG0000057	rna20618	rna-XM_002930728.3
OG0000058	rna32619	rna-XM_002926106.4, rna-XM_034667610.1
OG0000058	rna32618	rna-XM_002926105.4
OG0000058	rna32620	rna-XM_002926107.1
OG0000058	rna32621	rna-XM_011233431.2
OG0000058	rna32622	rna-XM_002926082.2
OG0000058	rna32623	rna-XM_002926083.3
OG0000059	rna4320, rna23728, rna4318, rna4321	rna-XM_034639057.1
OG0000059	rna23729	rna-XM_034639067.1, rna-XM_034638125.1
OG0000059	rna23727	rna-XM_034650371.1, rna-XM_034650262.1, rna-XM_019793917.2
OG0000059	rna23723, rna23719	rna-XM_034639104.1
OG0000059	rna23714, rna23715, rna23717	rna-XM_011218170.2
OG0000060	rna33748	rna-XM_002931011.2
OG0000060	rna33747	rna-XM_002931213.4
OG0000060	rna33736	rna-XM_002928570.2
OG0000060	rna33758	rna-XM_034666461.1
OG0000060	rna33752	rna-XM_034650104.1
OG0000060	rna33759, rna33751	rna-XM_002931013.4
OG0000061	rna33293	rna-XM_002930731.4
OG0000062	rna32595, rna32593	rna-XM_002926072.4, rna-XM_034667722.1
OG0000062	rna32591	rna-XM_002926097.2
OG0000062	rna32574	rna-XM_034666467.1
OG0000062	rna32575	rna-XM_011233415.1
OG0000062	rna32594	rna-XM_002926100.4
OG0000063	gene24367	id-LOC109488739
OG0000065	rna26552	rna-XM_011236154.3
OG0000065	rna35610	rna-XM_002920437.4
OG0000065	rna26555	rna-XM_002928302.3
OG0000065	rna35609	rna-XM_002920436.4
OG0000065	rna4126	rna-XM_034638981.1
OG0000065	rna32317	rna-XM_011226481.3
OG0000066	rna4538	rna-XM_034665468.1
OG0000066	rna32292	rna-XM_002925583.4
OG0000066	rna11035	rna-XM_034642590.1
OG0000066	rna11036	rna-XM_034655281.1
OG0000066	rna18754	rna-XM_034650007.1
OG0000066	rna4536	rna-XM_034665466.1
OG0000067	rna28172	rna-XM_011218801.3
OG0000067	rna18595	rna-XM_034670322.1
OG0000067	rna8202	rna-XM_019801732.2
OG0000067	rna4192	rna-XM_034638974.1
OG0000068	rna17875	rna-XM_034649918.1
OG0000068	rna17873	rna-XM_019797283.2
OG0000068	rna17861	rna-XM_034649752.1
OG0000068	rna17867	rna-XM_019807464.2
OG0000068	rna17866	rna-XM_011234171.2
OG0000069	rna28761	rna-XM_002929941.3
OG0000070	rna24100, rna10151	rna-XM_011232699.2
OG0000070	rna10152, rna10149	rna-XM_002931023.3
OG0000070	rna10142, rna10145	rna-XM_019793613.2
OG0000070	rna10153	rna-XM_034650688.1
OG0000070	rna10146, rna10150, rna10154	rna-XM_011217954.3
OG0000071	rna32905	rna-XM_011218338.2
OG0000071	rna32907, rna32904	rna-XM_034653320.1
OG0000071	rna32900	rna-XM_002926914.4
OG0000071	rna33081, rna33080, rna33079, rna33082	rna-XM_034650586.1
OG0000072	rna34722	rna-XM_002930341.2, rna-XM_002930339.2
OG0000072	rna34725	rna-XM_011217113.2
OG0000072	rna34723, rna34719	rna-XM_002930337.4
OG0000072	rna34720	rna-XM_002930338.2
OG0000072	rna34724	rna-XM_011217112.3
OG0000073	rna23010	rna-XM_011217181.3
OG0000073	rna23005	rna-XM_034646283.1, rna-XM_034646377.1
OG0000073	rna23013, rna23016	rna-XM_034651808.1
OG0000073	rna23004	rna-XM_034644807.1, rna-XM_034651354.1
OG0000073	rna23011, rna23015	rna-XM_011217186.2
OG0000074	rna15271, rna15277, rna15275, rna15273, rna15278	rna-XM_002926878.3
OG0000074	rna15283	rna-XM_002926881.3
OG0000075	rna3892	rna-XM_034672380.1
OG0000075	rna32710, rna32708, rna32706	rna-XM_034672383.1
OG0000075	rna32709	rna-XM_034650379.1
OG0000075	rna3890	rna-XM_034650274.1
OG0000075	rna3891	rna-XM_034650343.1
OG0000076	rna17616	rna-XM_002930898.3
OG0000076	rna17617	rna-XM_002930899.3
OG0000076	rna17619	rna-XM_011218067.2
OG0000076	rna17615	rna-XM_019793857.2
OG0000076	rna17614	rna-XM_002931117.3, rna-XM_034661799.1
OG0000076	rna17621	rna-XM_002930897.3
OG0000076	rna17620, rna17623	rna-XM_034650402.1, rna-XM_034651274.1
OG0000076	rna17622	rna-XM_034663551.1
OG0000077	rna33197	rna-XM_034654611.1
OG0000077	rna33199	rna-XM_034653924.1, rna-XM_034649716.1, rna-XM_034650335.1
OG0000078	rna15400	rna-XM_002930878.3
OG0000078	rna15402	rna-XM_002930877.1
OG0000078	rna15403	rna-XM_034644823.1
OG0000078	rna15404	rna-XM_034646554.1
OG0000078	rna15405	rna-XM_034646605.1
OG0000078	rna15401	rna-XM_002930879.2
OG0000079	rna30065	rna-XM_034650092.1
OG0000079	rna30066	rna-XM_034653229.1
OG0000079	rna32587, rna30063	rna-XM_002926094.4, rna-XM_034667604.1
OG0000079	rna30062	rna-XM_002928582.1
OG0000079	rna30061	rna-XM_002928571.2
OG0000080	rna7184	rna-XM_034654784.1
OG0000080	rna27183	rna-XM_034645486.1
OG0000080	rna3807	rna-XM_034645564.1, rna-XM_034661816.1, rna-XM_019809931.2
OG0000081	rna27067	rna-XM_034645322.1
OG0000081	rna27066	rna-XM_002930972.4
OG0000081	rna27065	rna-XM_034645784.1
OG0000082	rna4801	rna-XM_034670228.1
OG0000082	rna18691	rna-XM_034670262.1
OG0000082	rna18267	rna-XM_034670623.1
OG0000082	rna8254, rna8257	rna-XM_034647203.1
OG0000082	rna32310	rna-XM_034651651.1
OG0000084	rna15265	rna-XM_002926852.4
OG0000084	rna15270	rna-XM_011234340.2
OG0000084	rna15255	rna-XM_002926865.2
OG0000084	rna15269	rna-XM_002926873.2, rna-XM_011234347.3
OG0000085	rna36080, rna36070	rna-XM_034653427.1, rna-XM_034652811.1
OG0000085	rna36071	rna-XM_011217839.1
OG0000085	rna36081, rna32996	rna-XM_034653430.1
OG0000086	rna11215	rna-XM_034653842.1, rna-XM_034653843.1
OG0000086	rna11222	rna-XM_002930367.4
OG0000086	rna11223	rna-XM_034653832.1
OG0000086	rna11220	rna-XM_002930364.4
OG0000086	rna11224	rna-XM_011222974.3
OG0000087	rna4292	rna-XM_019808677.2
OG0000087	rna4290	rna-XM_019808666.2
OG0000087	rna4293	rna-XM_034639122.1
OG0000087	rna4297	rna-XM_011235184.3
OG0000087	rna4286	rna-XM_034639111.1
OG0000088	rna29722	rna-XM_011229078.3
OG0000088	rna33511	rna-XM_034651687.1
OG0000088	rna15446	rna-XM_019801319.2
OG0000089	rna36261	rna-XM_034642571.1
OG0000089	rna12631	rna-XM_034667189.1
OG0000090	rna36030	rna-XM_034646508.1, rna-XM_034650555.1
OG0000090	rna36032, rna11495	rna-XM_002930685.3, rna-XM_034653232.1
OG0000090	rna32364, rna31210	rna-XM_002930823.3
OG0000090	rna31211, rna31212, rna32956, rna36026, rna36028, rna36027, rna36025, rna33002, rna33003, rna36029, rna35070, rna35072, rna33552	rna-XM_019793758.2
OG0000091	rna27091	rna-XM_034652943.1, rna-XM_002923247.4
OG0000091	rna27060	rna-XM_034645559.1
OG0000092	rna12642	rna-XM_034647810.1, rna-XM_019794440.2
OG0000092	rna31987	rna-XM_034644934.1
OG0000092	rna1716	rna-XM_034667628.1
OG0000092	rna1714	rna-XM_002922393.4
OG0000092	rna9975	rna-XM_034663574.1
OG0000093	rna2486	rna-XM_011217898.3
OG0000093	rna23254	rna-XM_011222266.3
OG0000093	rna31957	rna-XM_019796911.2
OG0000093	rna12690	rna-XM_034648060.1
OG0000093	rna36263	rna-XM_002926735.4
OG0000094	gene16288	id-LOC105240710
OG0000096	rna6054	rna-XM_002918229.4
OG0000096	rna7283	rna-XM_011224218.3
OG0000096	rna7282	rna-XM_011224217.3
OG0000096	rna26912	rna-XM_011226315.3
OG0000096	rna822	rna-XM_034640604.1
OG0000097	rna16159	rna-XM_034652958.1, rna-XM_019799082.2
OG0000097	rna8077	rna-XM_011237023.3
OG0000097	rna35540	rna-XM_002922227.3
OG0000099	rna11813	rna-XM_002923031.3
OG0000099	rna11809	rna-XM_002923023.2
OG0000099	rna11812	rna-XM_002923022.3
OG0000099	rna11811, rna11808, rna11810	rna-XM_011229642.2, rna-XM_011229644.3
OG0000101	rna19788	rna-XM_034641930.1
OG0000101	rna9544	rna-XM_034668382.1, rna-XM_034651210.1, rna-XM_034653238.1
OG0000101	rna15514	rna-XM_034653535.1, rna-XM_034651779.1, rna-XM_034650227.1, rna-XM_034649850.1
OG0000102	rna30316	rna-XM_034645293.1
OG0000103	rna13259	rna-XM_002912520.4
OG0000103	rna23527	rna-XM_002917015.4
OG0000103	rna13260	rna-XM_002912519.2
OG0000103	rna5266	rna-XM_002927241.4
OG0000103	rna28983	rna-XM_019802399.2
OG0000104	rna19561	rna-XM_002929093.4
OG0000104	rna27267	rna-XM_034645916.1
OG0000104	rna27266	rna-XM_019793751.2
OG0000104	rna19485	rna-XM_034649988.1, rna-XM_034651311.1, rna-XM_034652634.1, rna-XM_034658832.1
OG0000106	gene26822	id-LOC117798844
OG0000106	gene26821	id-LOC117798737
OG0000106	gene26820	id-LOC117798776
OG0000107	rna1589	rna-XM_002924114.4
OG0000107	rna16727	rna-XM_034649040.1
OG0000107	rna4547, rna3857	rna-XM_034638851.1
OG0000108	rna7609	rna-XM_034667951.1
OG0000108	rna11708, rna11709	rna-XM_034653030.1
OG0000108	rna9172	rna-XM_002913054.4
OG0000108	rna30707	rna-XM_002914936.4
OG0000108	rna28633	rna-XM_034660919.1
OG0000109	rna14335	rna-XM_002929790.4
OG0000109	rna12466	rna-XM_034655998.1
OG0000109	rna35371	rna-XM_034658903.1
OG0000109	rna20392	rna-XM_019806489.2
OG0000110	rna13957	rna-XM_002928526.4
OG0000110	rna13963	rna-XM_002928550.4
OG0000110	rna13948	rna-XM_011236409.3
OG0000111	rna27810	rna-XM_002912448.4
OG0000111	rna20224	rna-XM_002927300.4
OG0000111	rna34734	rna-XM_011231236.3
OG0000111	rna35547	rna-XM_034652091.1, rna-XM_002922232.4
OG0000112	rna34161	rna-XM_002931351.2
OG0000112	rna33442	rna-XM_011218315.3
OG0000112	rna36074	rna-XM_034648664.1, rna-XM_034648665.1
OG0000113	rna32541	rna-XM_002931164.4
OG0000113	rna33123	rna-XM_019793765.2
