Orthogroup	ursMar.longCDS.prots	ursAme.longCDS.prots
OG0000020	rna15375, rna15371	transcript_ENSUAMT00000036822
OG0000021	rna30780	transcript_ENSUAMT00000020741
OG0000021	rna30779	transcript_ENSUAMT00000020738
OG0000021	rna30657	transcript_ENSUAMT00000012088
OG0000021	rna30656	transcript_ENSUAMT00000012093
OG0000021	rna32669	transcript_ENSUAMT00000003909, transcript_ENSUAMT00000000865, transcript_ENSUAMT00000004224
OG0000021	rna16492	transcript_ENSUAMT00000003971, transcript_ENSUAMT00000006941, transcript_ENSUAMT00000002483, transcript_ENSUAMT00000002841
OG0000021	rna30658	transcript_ENSUAMT00000012086
OG0000021	rna30785	transcript_ENSUAMT00000020751
OG0000021	rna30781	transcript_ENSUAMT00000020742
OG0000022	rna23731	transcript_ENSUAMT00000003451, transcript_ENSUAMT00000006170
OG0000022	rna4317	transcript_ENSUAMT00000016690
OG0000022	rna23716	transcript_ENSUAMT00000010937
OG0000022	rna23722	transcript_ENSUAMT00000006381, transcript_ENSUAMT00000006385
OG0000022	rna23720	transcript_ENSUAMT00000006518
OG0000022	rna23730	transcript_ENSUAMT00000002996, transcript_ENSUAMT00000003196, transcript_ENSUAMT00000003036, transcript_ENSUAMT00000001479, transcript_ENSUAMT00000002923, transcript_ENSUAMT00000001607
OG0000023	gene26562	transcript_ENSUAMT00000014322, transcript_ENSUAMT00000000455, transcript_ENSUAMT00000004028, transcript_ENSUAMT00000003630, transcript_ENSUAMT00000005173, transcript_ENSUAMT00000021458
OG0000024	rna23003	transcript_ENSUAMT00000018301
OG0000024	rna23001	transcript_ENSUAMT00000018304
OG0000024	rna23002	transcript_ENSUAMT00000018303
OG0000024	rna22965	transcript_ENSUAMT00000033935
OG0000024	rna15204	transcript_ENSUAMT00000033945
OG0000024	rna15222	transcript_ENSUAMT00000028899
OG0000024	rna15212, rna15217	transcript_ENSUAMT00000028900
OG0000024	rna15224	transcript_ENSUAMT00000028898
OG0000025	gene19084, gene19083	transcript_ENSUAMT00000022235
OG0000025	gene19081	transcript_ENSUAMT00000010646, transcript_ENSUAMT00000017186
OG0000025	gene19074, gene19071, gene19080	transcript_ENSUAMT00000010652
OG0000025	gene19077	transcript_ENSUAMT00000017185
OG0000025	rna25870	transcript_ENSUAMT00000001130
OG0000026	rna18740	transcript_ENSUAMT00000025265
OG0000026	rna26051	transcript_ENSUAMT00000008595
OG0000026	rna6197	transcript_ENSUAMT00000021048, transcript_ENSUAMT00000025755
OG0000026	rna8247	transcript_ENSUAMT00000040626
OG0000026	rna22059, rna1701	transcript_ENSUAMT00000022391
OG0000026	rna7337, rna25967	transcript_ENSUAMT00000031086, transcript_ENSUAMT00000018747
OG0000027	rna32565	transcript_ENSUAMT00000012756
OG0000027	rna32568	transcript_ENSUAMT00000022616, transcript_ENSUAMT00000003798
OG0000027	rna32564	transcript_ENSUAMT00000014904
OG0000027	rna32563	transcript_ENSUAMT00000014901
OG0000027	rna32559	transcript_ENSUAMT00000003143, transcript_ENSUAMT00000023294
OG0000027	rna32558	transcript_ENSUAMT00000023291
OG0000027	rna32556	transcript_ENSUAMT00000001359, transcript_ENSUAMT00000003370
OG0000028	rna23331	transcript_ENSUAMT00000011076
OG0000028	rna23332	transcript_ENSUAMT00000011081
OG0000028	rna23334	transcript_ENSUAMT00000011087
OG0000028	rna23336	transcript_ENSUAMT00000011155, transcript_ENSUAMT00000011153
OG0000028	rna23335	transcript_ENSUAMT00000011131
OG0000029	rna26929	transcript_ENSUAMT00000010999
OG0000029	rna26934	transcript_ENSUAMT00000021576
OG0000029	rna26932	transcript_ENSUAMT00000021581
OG0000029	rna26936	transcript_ENSUAMT00000039760
OG0000029	rna26933	transcript_ENSUAMT00000021577
OG0000029	rna26928	transcript_ENSUAMT00000010996
OG0000029	rna26935	transcript_ENSUAMT00000021583
OG0000029	rna26926	transcript_ENSUAMT00000031613
OG0000029	rna26927	transcript_ENSUAMT00000031612
OG0000030	rna32630	transcript_ENSUAMT00000007049
OG0000030	rna33276, rna34706	transcript_ENSUAMT00000000738, transcript_ENSUAMT00000001698, transcript_ENSUAMT00000003813, transcript_ENSUAMT00000003857, transcript_ENSUAMT00000005226, transcript_ENSUAMT00000004161
OG0000030	rna33280	transcript_ENSUAMT00000005424
OG0000030	rna33796	transcript_ENSUAMT00000003567, transcript_ENSUAMT00000008443, transcript_ENSUAMT00000003290
OG0000030	rna33277	transcript_ENSUAMT00000001725
OG0000030	rna33279	transcript_ENSUAMT00000003322
OG0000031	rna29065, rna29066, rna32972	transcript_ENSUAMT00000026222
OG0000031	rna29062	transcript_ENSUAMT00000026224
OG0000031	rna32971	transcript_ENSUAMT00000026220
OG0000031	rna29064	transcript_ENSUAMT00000005146
OG0000031	rna32970	transcript_ENSUAMT00000026219
OG0000031	rna29063	transcript_ENSUAMT00000005149
OG0000031	rna29068	transcript_ENSUAMT00000004964
OG0000031	rna29061	transcript_ENSUAMT00000026218
OG0000031	rna29067	transcript_ENSUAMT00000004963
OG0000032	rna36062	transcript_ENSUAMT00000003555, transcript_ENSUAMT00000006989, transcript_ENSUAMT00000023256
OG0000032	rna34699	transcript_ENSUAMT00000003373
OG0000032	rna34705	transcript_ENSUAMT00000001428
OG0000032	rna33388	transcript_ENSUAMT00000023258
OG0000032	rna36061, rna34700, rna34703, rna34702, rna14151	transcript_ENSUAMT00000036487
OG0000032	rna34701	transcript_ENSUAMT00000003492
OG0000032	rna35166	transcript_ENSUAMT00000018281
OG0000032	rna35175	transcript_ENSUAMT00000040543
OG0000033	rna2802	transcript_ENSUAMT00000038847
OG0000033	rna10356	transcript_ENSUAMT00000014220
OG0000033	rna13649	transcript_ENSUAMT00000006108
OG0000033	rna13648	transcript_ENSUAMT00000002774
OG0000033	rna2765	transcript_ENSUAMT00000002585
OG0000033	rna19735	transcript_ENSUAMT00000034686, transcript_ENSUAMT00000017210
OG0000034	rna33150	transcript_ENSUAMT00000000966
OG0000034	rna32969, rna24519	transcript_ENSUAMT00000021395
OG0000034	rna24520, rna32968	transcript_ENSUAMT00000005484
OG0000035	rna18841	transcript_ENSUAMT00000016510
OG0000035	rna18838	transcript_ENSUAMT00000007638
OG0000035	rna18839	transcript_ENSUAMT00000016378
OG0000035	rna18837	transcript_ENSUAMT00000021475
OG0000035	rna18836	transcript_ENSUAMT00000021469
OG0000035	rna18833	transcript_ENSUAMT00000033225
OG0000035	rna18832	transcript_ENSUAMT00000033226
OG0000035	rna18834	transcript_ENSUAMT00000033224
OG0000035	rna18840	transcript_ENSUAMT00000016377
OG0000036	rna32695	transcript_ENSUAMT00000034323
OG0000036	rna19324	transcript_ENSUAMT00000006245
OG0000036	rna22713	transcript_ENSUAMT00000018211
OG0000036	rna22712	transcript_ENSUAMT00000028622
OG0000036	rna12872	transcript_ENSUAMT00000000565
OG0000036	rna35253	transcript_ENSUAMT00000029882
OG0000037	gene20013	transcript_ENSUAMT00000007129, transcript_ENSUAMT00000020812
OG0000037	gene20015	transcript_ENSUAMT00000019157
OG0000037	gene20014	transcript_ENSUAMT00000007294
OG0000038	rna22990	transcript_ENSUAMT00000026411
OG0000038	rna22991	transcript_ENSUAMT00000026412
OG0000038	rna22992	transcript_ENSUAMT00000026415
OG0000038	rna22994	transcript_ENSUAMT00000018321
OG0000038	rna23000	transcript_ENSUAMT00000018306
OG0000038	rna22998	transcript_ENSUAMT00000018312
OG0000038	rna22999	transcript_ENSUAMT00000018308
OG0000038	rna22993	transcript_ENSUAMT00000018317
OG0000040	rna26518	transcript_ENSUAMT00000009088
OG0000040	rna26519	transcript_ENSUAMT00000009153
OG0000040	rna26134	transcript_ENSUAMT00000041665
OG0000040	rna5944	transcript_ENSUAMT00000020398
OG0000040	rna24841	transcript_ENSUAMT00000011396
OG0000040	rna26132	transcript_ENSUAMT00000041660
OG0000041	rna6863	transcript_ENSUAMT00000027329, transcript_ENSUAMT00000006483
OG0000041	rna23220, rna27784, rna14159	transcript_ENSUAMT00000005900
OG0000041	rna6862	transcript_ENSUAMT00000027328, transcript_ENSUAMT00000019562
OG0000041	rna8737	transcript_ENSUAMT00000027254
OG0000042	rna2466	transcript_ENSUAMT00000028852
OG0000042	rna35015, rna35014	transcript_ENSUAMT00000035669
OG0000043	rna33287	transcript_ENSUAMT00000030925
OG0000043	rna33291	transcript_ENSUAMT00000026923
OG0000043	rna32959	transcript_ENSUAMT00000007484
OG0000043	rna33286	transcript_ENSUAMT00000015759
OG0000043	rna33288	transcript_ENSUAMT00000030926
OG0000043	rna33292	transcript_ENSUAMT00000026924
OG0000044	rna26971	transcript_ENSUAMT00000006405
OG0000044	rna30144	transcript_ENSUAMT00000012490
OG0000044	rna27894	transcript_ENSUAMT00000009692
OG0000044	rna27214	transcript_ENSUAMT00000037765
OG0000044	rna4753	transcript_ENSUAMT00000025581
OG0000044	rna26970	transcript_ENSUAMT00000006370, transcript_ENSUAMT00000003210, transcript_ENSUAMT00000006412, transcript_ENSUAMT00000012418
OG0000044	rna19137, rna19143	transcript_ENSUAMT00000009746
OG0000046	rna22777	transcript_ENSUAMT00000008167, transcript_ENSUAMT00000004191
OG0000046	rna22792	transcript_ENSUAMT00000003335
OG0000046	rna22790	transcript_ENSUAMT00000006613
OG0000046	rna22788	transcript_ENSUAMT00000005002
OG0000046	rna22778	transcript_ENSUAMT00000020542, transcript_ENSUAMT00000020662
OG0000046	rna22781	transcript_ENSUAMT00000006924
OG0000047	rna22737	transcript_ENSUAMT00000039096
OG0000047	rna22735	transcript_ENSUAMT00000039097
OG0000047	rna22734	transcript_ENSUAMT00000039091
OG0000047	rna22775	transcript_ENSUAMT00000006562, transcript_ENSUAMT00000000374, transcript_ENSUAMT00000022328
OG0000047	rna22732	transcript_ENSUAMT00000017982
OG0000048	rna10147	transcript_ENSUAMT00000024533
OG0000048	rna10143	transcript_ENSUAMT00000006123, transcript_ENSUAMT00000001774, transcript_ENSUAMT00000002425
OG0000048	rna10148	transcript_ENSUAMT00000005778
OG0000049	rna35739	transcript_ENSUAMT00000025850
OG0000049	rna35734	transcript_ENSUAMT00000003984, transcript_ENSUAMT00000004629
OG0000049	rna35738	transcript_ENSUAMT00000025851
OG0000049	rna35736	transcript_ENSUAMT00000007668
OG0000049	rna35726	transcript_ENSUAMT00000006993, transcript_ENSUAMT00000000884
OG0000050	rna27993	transcript_ENSUAMT00000004207
OG0000050	rna27997	transcript_ENSUAMT00000020423
OG0000050	rna27998	transcript_ENSUAMT00000020422
OG0000050	rna27996, rna27995	transcript_ENSUAMT00000020424
OG0000051	rna23323	transcript_ENSUAMT00000020214
OG0000051	rna23320	transcript_ENSUAMT00000025410
OG0000051	rna23322	transcript_ENSUAMT00000020228
OG0000051	rna23328	transcript_ENSUAMT00000011062
OG0000051	rna23330	transcript_ENSUAMT00000011075
OG0000051	rna23329	transcript_ENSUAMT00000011070
OG0000052	rna29222	transcript_ENSUAMT00000016286
OG0000052	rna29220	transcript_ENSUAMT00000016287
OG0000052	rna29119	transcript_ENSUAMT00000005366
OG0000053	rna13906	transcript_ENSUAMT00000041055
OG0000053	rna22997	transcript_ENSUAMT00000018313
OG0000054	rna12305	transcript_ENSUAMT00000005888, transcript_ENSUAMT00000016583
OG0000054	rna12309, rna12307, rna12308, rna12306, rna12303, rna12302	transcript_ENSUAMT00000016613, transcript_ENSUAMT00000005892
OG0000054	rna12304	transcript_ENSUAMT00000016571
OG0000055	rna20631	transcript_ENSUAMT00000016713
OG0000055	rna20630	transcript_ENSUAMT00000016711
OG0000055	rna20632	transcript_ENSUAMT00000016730
OG0000055	rna20635	transcript_ENSUAMT00000034492
OG0000055	rna20638	transcript_ENSUAMT00000016708
OG0000055	rna20629	transcript_ENSUAMT00000016718
OG0000056	rna32567, rna32566	transcript_ENSUAMT00000012752, transcript_ENSUAMT00000003801
OG0000056	rna32560	transcript_ENSUAMT00000006971
OG0000056	rna32562	transcript_ENSUAMT00000014900
OG0000056	rna34056	transcript_ENSUAMT00000024466
OG0000057	rna20628	transcript_ENSUAMT00000016167
OG0000057	rna20639	transcript_ENSUAMT00000020927
OG0000057	rna20637	transcript_ENSUAMT00000019192
OG0000057	rna20641	transcript_ENSUAMT00000026006
OG0000057	rna20619	transcript_ENSUAMT00000005087
OG0000057	rna20618	transcript_ENSUAMT00000038123
OG0000058	rna32619	transcript_ENSUAMT00000037532, transcript_ENSUAMT00000000913, transcript_ENSUAMT00000004730
OG0000058	rna32618	transcript_ENSUAMT00000037531
OG0000058	rna32620	transcript_ENSUAMT00000000860
OG0000058	rna32621	transcript_ENSUAMT00000000871
OG0000058	rna32622	transcript_ENSUAMT00000000876
OG0000058	rna32623	transcript_ENSUAMT00000000901
OG0000059	rna23723	transcript_ENSUAMT00000031432
OG0000059	rna23719	transcript_ENSUAMT00000008118
OG0000059	rna23714, rna23715, rna23717	transcript_ENSUAMT00000006515
OG0000060	rna33748	transcript_ENSUAMT00000003886, transcript_ENSUAMT00000007447
OG0000060	rna33747	transcript_ENSUAMT00000007440
OG0000060	rna33736	transcript_ENSUAMT00000006912
OG0000060	rna33753	transcript_ENSUAMT00000020176
OG0000060	rna33758, rna33752	transcript_ENSUAMT00000020178
OG0000061	rna33293	transcript_ENSUAMT00000006904
OG0000062	rna32595, rna32593	transcript_ENSUAMT00000004965
OG0000062	rna32591	transcript_ENSUAMT00000010703
OG0000062	rna32574	transcript_ENSUAMT00000001799, transcript_ENSUAMT00000001553, transcript_ENSUAMT00000004739
OG0000062	rna32575	transcript_ENSUAMT00000003763, transcript_ENSUAMT00000001564
OG0000062	rna32594	transcript_ENSUAMT00000001808, transcript_ENSUAMT00000002332
OG0000063	gene26067	transcript_ENSUAMT00000006233
OG0000063	gene25715	transcript_ENSUAMT00000003509
OG0000065	rna26552	transcript_ENSUAMT00000004807
OG0000065	rna35610	transcript_ENSUAMT00000035166
OG0000065	rna26555	transcript_ENSUAMT00000004804
OG0000065	rna35609	transcript_ENSUAMT00000026826
OG0000065	rna4126	transcript_ENSUAMT00000014841
OG0000065	rna32317	transcript_ENSUAMT00000035168
OG0000066	rna4538	transcript_ENSUAMT00000022546
OG0000066	rna32292	transcript_ENSUAMT00000003833
OG0000066	rna11035	transcript_ENSUAMT00000003011
OG0000066	rna11036	transcript_ENSUAMT00000032674
OG0000066	rna18754	transcript_ENSUAMT00000029149
OG0000066	rna4536	transcript_ENSUAMT00000013294
OG0000067	rna28172	transcript_ENSUAMT00000031915
OG0000067	rna18595	transcript_ENSUAMT00000021981
OG0000067	rna8202	transcript_ENSUAMT00000033162
OG0000067	rna4192	transcript_ENSUAMT00000026643
OG0000068	rna17875	transcript_ENSUAMT00000002268
OG0000068	rna17873	transcript_ENSUAMT00000002290
OG0000068	rna17861	transcript_ENSUAMT00000032890
OG0000068	rna17867, rna17866	transcript_ENSUAMT00000031529
OG0000069	rna28761	transcript_ENSUAMT00000023503
OG0000070	rna24100	transcript_ENSUAMT00000031541
OG0000070	rna10152, rna10149	transcript_ENSUAMT00000024539
OG0000070	rna10142, rna10145	transcript_ENSUAMT00000024497
OG0000070	rna10153	transcript_ENSUAMT00000001433
OG0000070	rna10146	transcript_ENSUAMT00000024524
OG0000070	rna10150	transcript_ENSUAMT00000024540
OG0000070	rna10154	transcript_ENSUAMT00000007013, transcript_ENSUAMT00000035069
OG0000071	rna32907	transcript_ENSUAMT00000034545
OG0000071	rna32904	transcript_ENSUAMT00000027459
OG0000071	rna32900	transcript_ENSUAMT00000006272
OG0000071	rna33081, rna33080	transcript_ENSUAMT00000001514
OG0000071	rna33079, rna33082	transcript_ENSUAMT00000003273, transcript_ENSUAMT00000003131
OG0000071	rna32865	transcript_ENSUAMT00000014570, transcript_ENSUAMT00000003199, transcript_ENSUAMT00000006086
OG0000072	rna34722	transcript_ENSUAMT00000031565
OG0000072	rna34726	transcript_ENSUAMT00000031564, transcript_ENSUAMT00000004416
OG0000072	rna34725	transcript_ENSUAMT00000031570
OG0000072	rna34723, rna34719	transcript_ENSUAMT00000031566, transcript_ENSUAMT00000031558
OG0000072	rna34720	transcript_ENSUAMT00000031560
OG0000072	rna34724	transcript_ENSUAMT00000031568
OG0000073	rna23010	transcript_ENSUAMT00000018297
OG0000073	rna23013, rna23016	transcript_ENSUAMT00000006389
OG0000073	rna23004	transcript_ENSUAMT00000006396
OG0000073	rna23011	transcript_ENSUAMT00000018296
OG0000073	rna23015	transcript_ENSUAMT00000006391
OG0000073	rna23007, rna23009	transcript_ENSUAMT00000018299
OG0000074	rna15279	transcript_ENSUAMT00000035074, transcript_ENSUAMT00000035073
OG0000074	rna15281, rna15280	transcript_ENSUAMT00000035072
OG0000074	rna15271, rna15277	transcript_ENSUAMT00000035075
OG0000074	rna15275, rna15273	transcript_ENSUAMT00000035077
OG0000075	rna3892	transcript_ENSUAMT00000033757
OG0000075	rna32709	transcript_ENSUAMT00000009546
OG0000075	rna3890	transcript_ENSUAMT00000033604
OG0000075	rna32671	transcript_ENSUAMT00000014881
OG0000076	rna17616	transcript_ENSUAMT00000028492
OG0000076	rna17615	transcript_ENSUAMT00000028491
OG0000076	rna17614	transcript_ENSUAMT00000028490
OG0000076	rna17618	transcript_ENSUAMT00000028493
OG0000076	rna17620	transcript_ENSUAMT00000010898
OG0000076	rna17623	transcript_ENSUAMT00000006760, transcript_ENSUAMT00000003550
OG0000076	rna17622	transcript_ENSUAMT00000007717
OG0000078	rna15400	transcript_ENSUAMT00000027768
OG0000078	rna15402	transcript_ENSUAMT00000013071
OG0000078	rna15403	transcript_ENSUAMT00000013073
OG0000078	rna15404	transcript_ENSUAMT00000013075
OG0000078	rna15405	transcript_ENSUAMT00000013076
OG0000078	rna15401	transcript_ENSUAMT00000027769
OG0000079	rna30065	transcript_ENSUAMT00000023208
OG0000079	rna32587	transcript_ENSUAMT00000013913, transcript_ENSUAMT00000020817
OG0000079	rna30064	transcript_ENSUAMT00000001532
OG0000079	rna30062	transcript_ENSUAMT00000020819
OG0000079	rna30061	transcript_ENSUAMT00000004446
OG0000081	rna27067	transcript_ENSUAMT00000033652
OG0000081	rna27066	transcript_ENSUAMT00000033660
OG0000081	rna27065	transcript_ENSUAMT00000033714
OG0000082	rna4801	transcript_ENSUAMT00000023125
OG0000082	rna18691	transcript_ENSUAMT00000002222
OG0000082	rna18267	transcript_ENSUAMT00000027665
OG0000082	rna8254, rna8257	transcript_ENSUAMT00000023533
OG0000084	rna15265	transcript_ENSUAMT00000004232
OG0000084	rna15270	transcript_ENSUAMT00000004624
OG0000084	rna15255	transcript_ENSUAMT00000007088, transcript_ENSUAMT00000001866
OG0000084	rna15267	transcript_ENSUAMT00000004210
OG0000084	rna15269	transcript_ENSUAMT00000004212
OG0000085	rna33269	transcript_ENSUAMT00000009539
OG0000085	rna36078	transcript_ENSUAMT00000003337
OG0000085	rna36080, rna36070	transcript_ENSUAMT00000009535
OG0000085	rna36071	transcript_ENSUAMT00000009531
OG0000085	rna36081, rna32996	transcript_ENSUAMT00000004358
OG0000085	rna32957	transcript_ENSUAMT00000012653
OG0000086	rna11215	transcript_ENSUAMT00000000792
OG0000086	rna11222	transcript_ENSUAMT00000018989
OG0000086	rna11223	transcript_ENSUAMT00000018997
OG0000086	rna11224	transcript_ENSUAMT00000018999
OG0000087	rna4292	transcript_ENSUAMT00000026358
OG0000087	rna4290	transcript_ENSUAMT00000026359
OG0000087	rna4293	transcript_ENSUAMT00000026357
OG0000087	rna4294	transcript_ENSUAMT00000026355
OG0000087	rna4286	transcript_ENSUAMT00000012621
OG0000088	rna15446	transcript_ENSUAMT00000016740
OG0000089	rna36261	transcript_ENSUAMT00000026600
OG0000089	rna12631	transcript_ENSUAMT00000023695
OG0000092	rna12642	transcript_ENSUAMT00000023475
OG0000092	rna31987	transcript_ENSUAMT00000017778
OG0000092	rna1716	transcript_ENSUAMT00000031065
OG0000092	rna1714	transcript_ENSUAMT00000000684
OG0000092	rna9975	transcript_ENSUAMT00000003172
OG0000093	rna2486	transcript_ENSUAMT00000024947
OG0000093	rna23254	transcript_ENSUAMT00000022790
OG0000093	rna31957	transcript_ENSUAMT00000017111
OG0000093	rna12690	transcript_ENSUAMT00000024748
OG0000093	rna36263	transcript_ENSUAMT00000026839
OG0000094	gene16288	transcript_ENSUAMT00000028340
OG0000096	rna6054	transcript_ENSUAMT00000030019
OG0000096	rna7283	transcript_ENSUAMT00000008407
OG0000096	rna7282	transcript_ENSUAMT00000008420
OG0000097	rna16159	transcript_ENSUAMT00000035055
OG0000097	rna8077	transcript_ENSUAMT00000002419
OG0000097	rna35540	transcript_ENSUAMT00000039473
OG0000099	rna11813	transcript_ENSUAMT00000003470, transcript_ENSUAMT00000020375
OG0000099	rna11809	transcript_ENSUAMT00000012298
OG0000099	rna11811, rna11808, rna11810	transcript_ENSUAMT00000012301, transcript_ENSUAMT00000004608
OG0000101	rna19788	transcript_ENSUAMT00000025161
OG0000101	rna9544	transcript_ENSUAMT00000035593
OG0000101	rna15514	transcript_ENSUAMT00000000308
