hgnc_symbol	refseq_mrna	ensembl_gene_id
RRM1	NM_001033	ENSG00000167325
RPAIN	NM_001033002	ENSG00000129197
NGRN	NM_001033088	ENSG00000182768
ACOT9	NM_001033583	ENSG00000123130
ITPRIPL2	NM_001034841	ENSG00000205730
C18orf32	NM_001035005	ENSG00000177576
SRA1	NM_001035235	ENSG00000213523
BOLA3	NM_001035505	ENSG00000163170
NPRL3	NM_001039476	ENSG00000103148
USP9X	NM_001039590	ENSG00000124486
IAH1	NM_001039613	ENSG00000134330
CREBZF	NM_001039618	ENSG00000137504
SNAPC3	NM_001039697	ENSG00000164975
COA3	NM_001040431	ENSG00000183978
YARS2	NM_001040436	ENSG00000139131
ASB1	NM_001040445	ENSG00000065802
LINS1	NM_001040616	ENSG00000140471
PPAN-P2RY11	NM_001040664	ENSG00000243207
UEVLD	NM_001040697	ENSG00000151116
PGP	NM_001042371	ENSG00000184207
PSPC1	NM_001042414	ENSG00000121390
PIGY	NM_001042616	ENSG00000255072
ZSWIM7	NM_001042697	ENSG00000214941
MSMP	NM_001044264	ENSG00000215183
TOP2B	NM_001068	ENSG00000077097
PNKD	NM_001077399	ENSG00000127838
RAB6D	NM_001077637	ENSG00000233087
URGCP	NM_001077664	ENSG00000106608
MIER1	NM_001077701	ENSG00000198160
RTL8A	NM_001078172	ENSG00000203950
HNRNPUL2	NM_001079559	ENSG00000214753
FTO	NM_001080432	ENSG00000140718
GPR108	NM_001080452	ENSG00000125734
INTS1	NM_001080453	ENSG00000164880
RGP1	NM_001080496	ENSG00000107185
TMEM223	NM_001080501	ENSG00000168569
METTL23	NM_001080510	ENSG00000181038
SETD5	NM_001080517	ENSG00000168137
DNLZ	NM_001080849	ENSG00000213221
EARS2	NM_001083614	ENSG00000103356
PLOD3	NM_001084	ENSG00000106397
MZT2A	NM_001085365	ENSG00000173272
UQCC3	NM_001085372	ENSG00000204922
CTNND1	NM_001085458	ENSG00000198561
MAP1LC3B2	NM_001085481	ENSG00000258102
AAMP	NM_001087	ENSG00000127837
UQCRHL	NM_001089591	ENSG00000233954
ABCF1	NM_001090	ENSG00000236149
ABCF1	NM_001090	ENSG00000225989
ABCF1	NM_001090	ENSG00000232169
ABCF1	NM_001090	ENSG00000236342
ABCF1	NM_001090	ENSG00000206490
ABCF1	NM_001090	ENSG00000231129
ABCF1	NM_001090	ENSG00000204574
ACLY	NM_001096	ENSG00000131473
ZNF506	NM_001099269	ENSG00000081665
CCNK	NM_001099402	ENSG00000090061
POM121C	NM_001099415	ENSG00000272391
ULK3	NM_001099436	ENSG00000140474
RBIS	NM_001099670	ENSG00000176731
EIF5AL1	NM_001099692	ENSG00000253626
TMEM192	NM_001100389	ENSG00000170088
PDS5A	NM_001100399	ENSG00000121892
REX1BD	NM_001100418	ENSG00000006015
ACVR1	NM_001105	ENSG00000115170
ZNF142	NM_001105537	ENSG00000115568
FBXO45	NM_001105573	ENSG00000174013
TMEM87A	NM_001110503	ENSG00000103978
NACA	NM_001113202	ENSG00000196531
TBC1D14	NM_001113363	ENSG00000132405
NCBP3	NM_001114118	ENSG00000074356
SZRD1	NM_001114600	ENSG00000055070
JMJD7	NM_001114632	ENSG00000243789
LIN54	NM_001115007	ENSG00000189308
KANSL3	NM_001115016	ENSG00000114982
KYAT1	NM_001122672	ENSG00000171097
ADK	NM_001123	ENSG00000156110
ADPRH	NM_001125	ENSG00000144843
AP1B1	NM_001127	ENSG00000100280
AP1G1	NM_001128	ENSG00000166747
PMS1	NM_001128144	ENSG00000064933
TPRN	NM_001128228	ENSG00000176058
PSMG4	NM_001128591	ENSG00000180822
MTPN	NM_001128619	ENSG00000105887
TLE5	NM_001130	ENSG00000104964
STMP1	NM_001130929	ENSG00000243317
TOMM6	NM_001134493	ENSG00000214736
ZNF397	NM_001135178	ENSG00000186812
TPRA1	NM_001136053	ENSG00000163870
R3HCC1	NM_001136108	ENSG00000104679
ATXN7L3B	NM_001136262	ENSG00000253719
CISD3	NM_001136498	ENSG00000274768
CISD3	NM_001136498	ENSG00000277972
ATXN1L	NM_001137675	ENSG00000224470
GHDC	NM_001142623	ENSG00000167925
FBRSL1	NM_001142641	ENSG00000112787
GSTK1	NM_001143681	ENSG00000197448
RPEL1	NM_001143909	ENSG00000235376
C2orf74	NM_001143960	ENSG00000237651
PHB2	NM_001144831	ENSG00000215021
ZNF814	NM_001144989	ENSG00000204514
USP27X	NM_001145073	ENSG00000273820
ZNF805	NM_001145078	ENSG00000204524
SMIM20	NM_001145432	ENSG00000250317
BORCS8	NM_001145783	ENSG00000254901
PARP9	NM_001146106	ENSG00000138496
TATDN1	NM_001146160	ENSG00000147687
SLC25A5	NM_001152	ENSG00000005022
ANXA6	NM_001155	ENSG00000197043
ANXA7	NM_001156	ENSG00000138279
SETD6	NM_001160305	ENSG00000103037
NUDT2	NM_001161	ENSG00000164978
FBXL17	NM_001163315	ENSG00000145743
RAB2B	NM_001163380	ENSG00000129472
COPS9	NM_001163424	ENSG00000172428
TMED7-TICAM2	NM_001164468	ENSG00000251201
ASXL1	NM_001164603	ENSG00000171456
PET117	NM_001164811	ENSG00000232838
IDE	NM_001165946	ENSG00000119912
BIRC2	NM_001166	ENSG00000110330
NR3C2	NM_001166104	ENSG00000151623
XIAP	NM_001167	ENSG00000101966
STEEP1	NM_001170569	ENSG00000018610
PET100	NM_001171155	ENSG00000229833
MCPH1	NM_001172574	ENSG00000147316
ARHGAP5	NM_001173	ENSG00000100852
DGCR2	NM_001173533	ENSG00000070413
ZBED6	NM_001174108	ENSG00000257315
ARL1	NM_001177	ENSG00000120805
ATP6AP1	NM_001183	ENSG00000071553
BCAT2	NM_001190	ENSG00000105552
IP6K2	NM_001190316	ENSG00000068745
BCL2L1	NM_001191	ENSG00000171552
SIRT6	NM_001193285	ENSG00000077463
TUBD1	NM_001193612	ENSG00000108423
ANKRD28	NM_001195098	ENSG00000206560
CAMTA1	NM_001195563	ENSG00000171735
ZNF865	NM_001195605	ENSG00000261221
MLLT10	NM_001195628	ENSG00000078403
THAP3	NM_001195752	ENSG00000041988
ASCC1	NM_001198798	ENSG00000138303
RBM14-RBM4	NM_001198845	ENSG00000248643
ATP5MF-PTCD1	NM_001198879	ENSG00000248919
ARPIN-AP3S2	NM_001199058	ENSG00000250021
RPP21	NM_001199119	ENSG00000239927
RPP21	NM_001199119	ENSG00000241863
RPP21	NM_001199119	ENSG00000241779
RPP21	NM_001199119	ENSG00000243009
RPP21	NM_001199119	ENSG00000242726
RPP21	NM_001199119	ENSG00000239865
TRIM39-RPP21	NM_001199119	ENSG00000248167
TGIF2-RAB5IF	NM_001199535	ENSG00000259399
PMF1-BGLAP	NM_001199661	ENSG00000260238
GGCT	NM_001199816	ENSG00000006625
NEDD8-MDP1	NM_001199823	ENSG00000285425
NEDD8-MDP1	NM_001199823	ENSG00000255526
BCL2L2-PABPN1	NM_001199864	ENSG00000258643
PDK2	NM_001199900	ENSG00000005882
ZNF513	NM_001201459	ENSG00000163795
ASB6	NM_001202403	ENSG00000148331
HSPE1-MOB4	NM_001202485	ENSG00000270757
SYNJ2BP-COX16	NM_001202547	ENSG00000258644
FNTB	NM_001202558	ENSG00000257365
NDUFC2-KCTD14	NM_001203260	ENSG00000259112
COMMD3-BMI1	NM_001204062	ENSG00000269897
ZHX1-C8orf76	NM_001204180	ENSG00000259305
BIVM-ERCC5	NM_001204425	ENSG00000270181
SCNM1	NM_001204848	ENSG00000163156
ISY1-RAB43	NM_001204890	ENSG00000261796
BNIP1	NM_001205	ENSG00000113734
KLF9	NM_001206	ENSG00000119138
MAVS	NM_001206491	ENSG00000088888
ATF7	NM_001206682	ENSG00000170653
BTF3	NM_001207	ENSG00000145741
C1QBP	NM_001212	ENSG00000108561
CALU	NM_001219	ENSG00000128595
CASP7	NM_001227	ENSG00000165806
CASP9	NM_001229	ENSG00000132906
CCNH	NM_001239	ENSG00000134480
ACSS2	NM_001242393	ENSG00000131069
GLRX2	NM_001243399	ENSG00000023572
GFOD2	NM_001243650	ENSG00000141098
SLF2	NM_001243770	ENSG00000119906
CEP57	NM_001243777	ENSG00000166037
FMC1-LUC7L2	NM_001244584	ENSG00000269955
ENTPD6	NM_001247	ENSG00000197586
BBS4	NM_001252678	ENSG00000140463
CDC5L	NM_001253	ENSG00000096401
CYB5D2	NM_001254755	ENSG00000167740
CDC27	NM_001256	ENSG00000004897
ZNF620	NM_001256167	ENSG00000177842
ARAF	NM_001256197	ENSG00000078061
PDLIM5	NM_001256425	ENSG00000163110
CSNK2A3	NM_001256686	ENSG00000254598
FBXW7	NM_001257069	ENSG00000109670
ATPSCKMT	NM_001258388	ENSG00000150756
CDK8	NM_001260	ENSG00000132964
CDK9	NM_001261	ENSG00000136807
AARSD1	NM_001261434	ENSG00000266967
MCU	NM_001270680	ENSG00000156026
STRIP1	NM_001270768	ENSG00000143093
IST1	NM_001270977	ENSG00000182149
TTC19	NM_001271420	ENSG00000011295
PEX11A	NM_001271573	ENSG00000166821
SMIM10L1	NM_001271592	ENSG00000281930
SMIM10L1	NM_001271592	ENSG00000256537
THADA	NM_001271643	ENSG00000115970
ZNF138	NM_001271649	ENSG00000197008
IKZF5	NM_001271840	ENSG00000095574
TRAP1	NM_001272049	ENSG00000126602
C16orf91	NM_001272051	ENSG00000174109
CHD4	NM_001273	ENSG00000111642
NISCH	NM_001276293	ENSG00000010322
CHUK	NM_001278	ENSG00000213341
TBCB	NM_001281	ENSG00000105254
AP3S1	NM_001284	ENSG00000177879
CLCN7	NM_001287	ENSG00000103249
CLNS1A	NM_001293	ENSG00000074201
CLPTM1	NM_001294	ENSG00000104853
CPD	NM_001304	ENSG00000108582
CSNK2B	NM_001320	ENSG00000230700
CSNK2B	NM_001320	ENSG00000232960
CSNK2B	NM_001320	ENSG00000206406
CSNK2B	NM_001320	ENSG00000224774
CSNK2B	NM_001320	ENSG00000224398
CSNK2B	NM_001320	ENSG00000228875
CSNK2B	NM_001320	ENSG00000204435
CSTF1	NM_001324	ENSG00000101138
CTBP1	NM_001328	ENSG00000159692
DAD1	NM_001344	ENSG00000129562
DARS1	NM_001349	ENSG00000115866
DAXX	NM_001350	ENSG00000231617
DAXX	NM_001350	ENSG00000206206
DAXX	NM_001350	ENSG00000206279
DAXX	NM_001350	ENSG00000227046
DAXX	NM_001350	ENSG00000204209
DDX3X	NM_001356	ENSG00000215301
DHX9	NM_001357	ENSG00000135829
DHX15	NM_001358	ENSG00000109606
DKC1	NM_001363	ENSG00000130826
DNASE2	NM_001375	ENSG00000105612
DPAGT1	NM_001382	ENSG00000172269
DPH1	NM_001383	ENSG00000108963
DPH2	NM_001384	ENSG00000132768
DRG2	NM_001388	ENSG00000108591
ECH1	NM_001398	ENSG00000282853
ECH1	NM_001398	ENSG00000104823
EIF4A1	NM_001416	ENSG00000161960
EIF4G2	NM_001418	ENSG00000110321
ELAVL1	NM_001419	ENSG00000066044
EXTL3	NM_001440	ENSG00000012232
XRCC6	NM_001469	ENSG00000196419
BLOC1S1	NM_001487	ENSG00000135441
GDI2	NM_001494	ENSG00000057608
GCLC	NM_001498	ENSG00000001084
GLE1	NM_001499	ENSG00000119392
GTF2B	NM_001514	ENSG00000137947
GTF2H4	NM_001517	ENSG00000226384
GTF2H4	NM_001517	ENSG00000234370
GTF2H4	NM_001517	ENSG00000233149
GTF2H4	NM_001517	ENSG00000236895
GTF2H4	NM_001517	ENSG00000221974
GTF2H4	NM_001517	ENSG00000213780
GTF2I	NM_001518	ENSG00000263001
BRF1	NM_001519	ENSG00000185024
GTF3C1	NM_001520	ENSG00000077235
GTF3C2	NM_001521	ENSG00000115207
HDAC2	NM_001527	ENSG00000196591
HNRNPL	NM_001533	ENSG00000282947
HNRNPL	NM_001533	ENSG00000104824
HSBP1	NM_001537	ENSG00000230989
NDST1	NM_001543	ENSG00000070614
MRPL58	NM_001545	ENSG00000167862
IFRD1	NM_001550	ENSG00000006652
IL13RA1	NM_001560	ENSG00000131724
EIF3E	NM_001568	ENSG00000104408
IRAK1	NM_001569	ENSG00000184216
AARS1	NM_001605	ENSG00000090861
PARP1	NM_001618	ENSG00000143799
AK2	NM_001625	ENSG00000004455
AMD1	NM_001634	ENSG00000123505
APEH	NM_001640	ENSG00000164062
APEX1	NM_001641	ENSG00000100823
ARCN1	NM_001655	ENSG00000095139
ARF1	NM_001658	ENSG00000143761
ARF5	NM_001662	ENSG00000004059
ARF6	NM_001663	ENSG00000165527
RHOA	NM_001664	ENSG00000067560
ARNT	NM_001668	ENSG00000143437
ATF4	NM_001675	ENSG00000128272
ATP5PF	NM_001685	ENSG00000154723
ATP5F1B	NM_001686	ENSG00000110955
ATP5F1D	NM_001687	ENSG00000099624
ATP5PB	NM_001688	ENSG00000116459
ATP5MC3	NM_001689	ENSG00000154518
ATP6V0C	NM_001694	ENSG00000185883
ATP6V1C1	NM_001695	ENSG00000155097
ATP6V1E1	NM_001696	ENSG00000131100
ATP5PO	NM_001697	ENSG00000241837
AUH	NM_001698	ENSG00000148090
BCL7B	NM_001707	ENSG00000106635
BPGM	NM_001724	ENSG00000172331
BSG	NM_001728	ENSG00000172270
CANX	NM_001746	ENSG00000283777
CANX	NM_001746	ENSG00000127022
CAPNS1	NM_001749	ENSG00000126247
CARS1	NM_001751	ENSG00000278191
CARS1	NM_001751	ENSG00000110619
CCT6A	NM_001762	ENSG00000146731
CD63	NM_001780	ENSG00000135404
CDC42	NM_001791	ENSG00000070831
CEBPG	NM_001806	ENSG00000153879
CENPB	NM_001810	ENSG00000125817
CLCN3	NM_001829	ENSG00000109572
CLTA	NM_001833	ENSG00000122705
CLTB	NM_001834	ENSG00000175416
COX4I1	NM_001861	ENSG00000131143
COX5B	NM_001862	ENSG00000135940
COX6B1	NM_001863	ENSG00000126267
COX7A2	NM_001865	ENSG00000112695
COX7C	NM_001867	ENSG00000127184
ATF2	NM_001880	ENSG00000115966
CSNK1A1	NM_001892	ENSG00000113712
CSNK1D	NM_001893	ENSG00000141551
CTNNA1	NM_001903	ENSG00000044115
CTNNB1	NM_001904	ENSG00000168036
CTSD	NM_001909	ENSG00000117984
CUX1	NM_001913	ENSG00000257923
CYC1	NM_001916	ENSG00000179091
DBT	NM_001918	ENSG00000137992
ECI1	NM_001919	ENSG00000167969
DCTD	NM_001921	ENSG00000129187
DDB1	NM_001923	ENSG00000167986
DHPS	NM_001930	ENSG00000095059
DLST	NM_001933	ENSG00000119689
DR1	NM_001938	ENSG00000117505
DUT	NM_001948	ENSG00000128951
E2F4	NM_001950	ENSG00000205250
EEF1B2	NM_001959	ENSG00000283391
EEF1B2	NM_001959	ENSG00000114942
EEF2	NM_001961	ENSG00000167658
EIF5	NM_001969	ENSG00000100664
EIF5A	NM_001970	ENSG00000288145
EIF5A	NM_001970	ENSG00000132507
ELK4	NM_001973	ENSG00000158711
ERCC1	NM_001983	ENSG00000012061
ESD	NM_001984	ENSG00000139684
ETFB	NM_001985	ENSG00000105379
ETV6	NM_001987	ENSG00000139083
FDPS	NM_002004	ENSG00000160752
FKBP3	NM_002013	ENSG00000100442
FNTA	NM_002027	ENSG00000168522
FNTB	NM_002028	ENSG00000257365
KDSR	NM_002035	ENSG00000119537
GABPB1	NM_002041	ENSG00000104064
GALK2	NM_002044	ENSG00000156958
GARS1	NM_002047	ENSG00000106105
GCLM	NM_002061	ENSG00000023909
GNB1	NM_002074	ENSG00000078369
GNS	NM_002076	ENSG00000135677
GOLGA1	NM_002077	ENSG00000136935
GPX4	NM_002085	ENSG00000167468
GRSF1	NM_002092	ENSG00000132463
GSK3B	NM_002093	ENSG00000082701
GSPT1	NM_002094	ENSG00000103342
GTF2F1	NM_002096	ENSG00000125651
GTF3A	NM_002097	ENSG00000122034
H2AX	NM_002105	ENSG00000188486
H2AZ1	NM_002106	ENSG00000164032
HARS1	NM_002109	ENSG00000170445
HTT	NM_002111	ENSG00000197386
HIVEP1	NM_002114	ENSG00000095951
HMGB1	NM_002128	ENSG00000189403
HMOX2	NM_002134	ENSG00000277424
HMOX2	NM_002134	ENSG00000103415
HNRNPA2B1	NM_002137	ENSG00000122566
HNRNPD	NM_002138	ENSG00000138668
RBMX	NM_002139	ENSG00000147274
HNRNPK	NM_002140	ENSG00000165119
HSPA4	NM_002154	ENSG00000170606
IARS1	NM_002161	ENSG00000196305
IL6ST	NM_002184	ENSG00000134352
ITGB1	NM_002211	ENSG00000150093
EIF6	NM_002212	ENSG00000242372
JAK1	NM_002227	ENSG00000162434
CD82	NM_002231	ENSG00000085117
KPNA1	NM_002264	ENSG00000114030
KPNB1	NM_002265	ENSG00000108424
TNPO1	NM_002270	ENSG00000083312
LAMP2	NM_002294	ENSG00000005893
LIG3	NM_002311	ENSG00000005156
LIG4	NM_002312	ENSG00000174405
LRPAP1	NM_002337	ENSG00000163956
LSS	NM_002340	ENSG00000281289
LSS	NM_002340	ENSG00000160285
M6PR	NM_002355	ENSG00000003056
MAGOH	NM_002370	ENSG00000162385
MARK3	NM_002376	ENSG00000075413
MAX	NM_002382	ENSG00000125952
MAZ	NM_002383	ENSG00000103495
MBD1	NM_002384	ENSG00000141644
ME2	NM_002396	ENSG00000082212
MGAT2	NM_002408	ENSG00000168282
MGMT	NM_002412	ENSG00000170430
MIF	NM_002415	ENSG00000276701
MIF	NM_002415	ENSG00000240972
MNAT1	NM_002431	ENSG00000020426
MPG	NM_002434	ENSG00000103152
MPI	NM_002435	ENSG00000178802
MSH3	NM_002439	ENSG00000113318
MTRR	NM_002454	ENSG00000124275
MVD	NM_002461	ENSG00000167508
NUBP1	NM_002484	ENSG00000103274
NBN	NM_002485	ENSG00000104320
NDUFA2	NM_002488	ENSG00000131495
NDUFA4	NM_002489	ENSG00000189043
NDUFA6	NM_002490	ENSG00000277365
NDUFA6	NM_002490	ENSG00000272765
NDUFA6	NM_002490	ENSG00000273397
NDUFA6	NM_002490	ENSG00000281013
NDUFA6	NM_002490	ENSG00000184983
NDUFB3	NM_002491	ENSG00000119013
NDUFB5	NM_002492	ENSG00000136521
NDUFB6	NM_002493	ENSG00000165264
NDUFC1	NM_002494	ENSG00000109390
NDUFS4	NM_002495	ENSG00000164258
NDUFS8	NM_002496	ENSG00000110717
NFKBIB	NM_002503	ENSG00000282905
NFKBIB	NM_002503	ENSG00000104825
NFX1	NM_002504	ENSG00000086102
NME2	NM_002512	ENSG00000243678
NME3	NM_002513	ENSG00000103024
OAZ2	NM_002537	ENSG00000180304
ODC1	NM_002539	ENSG00000115758
ORC4	NM_002552	ENSG00000115947
OSBP	NM_002556	ENSG00000110048
PEBP1	NM_002567	ENSG00000089220
PRDX1	NM_002574	ENSG00000117450
PAK2	NM_002577	ENSG00000180370
PARN	NM_002582	ENSG00000274829
PARN	NM_002582	ENSG00000140694
PBX2	NM_002586	ENSG00000236353
PBX2	NM_002586	ENSG00000225987
PBX2	NM_002586	ENSG00000224952
PBX2	NM_002586	ENSG00000232005
PBX2	NM_002586	ENSG00000206315
PBX2	NM_002586	ENSG00000237344
PBX2	NM_002586	ENSG00000204304
PCNA	NM_002592	ENSG00000132646
PDCD2	NM_002598	ENSG00000071994
PDE6D	NM_002601	ENSG00000156973
PEX13	NM_002618	ENSG00000162928
PFDN4	NM_002623	ENSG00000101132
PFDN5	NM_002624	ENSG00000123349
PHB	NM_002634	ENSG00000167085
SLC25A3	NM_002635	ENSG00000075415
PIGC	NM_002642	ENSG00000135845
PIGF	NM_002643	ENSG00000151665
PIK3C3	NM_002647	ENSG00000078142
PI4KB	NM_002651	ENSG00000143393
PLRG1	NM_002669	ENSG00000171566
EXOSC10	NM_002685	ENSG00000171824
PNN	NM_002687	ENSG00000100941
POLG	NM_002693	ENSG00000140521
POLR2E	NM_002695	ENSG00000099817
POLR2G	NM_002696	ENSG00000168002
PPM1B	NM_002706	ENSG00000138032
PPP1CA	NM_002708	ENSG00000172531
PPP1CC	NM_002710	ENSG00000186298
PPP1R7	NM_002712	ENSG00000115685
PPP1R8	NM_002713	ENSG00000117751
PPP1R10	NM_002714	ENSG00000230995
PPP1R10	NM_002714	ENSG00000238104
PPP1R10	NM_002714	ENSG00000231737
PPP1R10	NM_002714	ENSG00000206489
PPP1R10	NM_002714	ENSG00000235291
PPP1R10	NM_002714	ENSG00000227804
PPP1R10	NM_002714	ENSG00000204569
PPP2CA	NM_002715	ENSG00000113575
PPP2R2A	NM_002717	ENSG00000221914
PPP2R5C	NM_002719	ENSG00000078304
