Orthogroup	ursArc.longCDS.prots	ursAme.longCDS.prots
OG0000028	rna30036	transcript_ENSUAMT00000011087
OG0000028	rna30032	transcript_ENSUAMT00000011155
OG0000028	rna30033	transcript_ENSUAMT00000011153
OG0000028	rna30034	transcript_ENSUAMT00000011145
OG0000028	rna30035	transcript_ENSUAMT00000011131
OG0000029	rna17463	transcript_ENSUAMT00000010999
OG0000029	rna17456	transcript_ENSUAMT00000021576
OG0000029	rna17458	transcript_ENSUAMT00000021581
OG0000029	rna17454	transcript_ENSUAMT00000039760
OG0000029	rna17457	transcript_ENSUAMT00000021577
OG0000029	rna17464	transcript_ENSUAMT00000010996
OG0000029	rna17455, rna17459	transcript_ENSUAMT00000021583
OG0000029	rna17466	transcript_ENSUAMT00000031613
OG0000029	rna17465	transcript_ENSUAMT00000031612
OG0000030	rna54379	transcript_ENSUAMT00000007049
OG0000030	rna53584	transcript_ENSUAMT00000000738, transcript_ENSUAMT00000001698, transcript_ENSUAMT00000003813, transcript_ENSUAMT00000003857, transcript_ENSUAMT00000005226, transcript_ENSUAMT00000004161
OG0000030	rna53587, rna36079	transcript_ENSUAMT00000005424
OG0000030	rna36083	transcript_ENSUAMT00000003567, transcript_ENSUAMT00000008443, transcript_ENSUAMT00000003290
OG0000030	rna53585	transcript_ENSUAMT00000001725
OG0000031	rna15707, rna15706, rna15705	transcript_ENSUAMT00000026222
OG0000031	rna15708	transcript_ENSUAMT00000026220
OG0000031	rna15709	transcript_ENSUAMT00000026219
OG0000031	rna15703	transcript_ENSUAMT00000004964
OG0000031	rna15710	transcript_ENSUAMT00000026218
OG0000031	rna15704	transcript_ENSUAMT00000004963
OG0000032	rna27978	transcript_ENSUAMT00000001428
OG0000032	rna52160	transcript_ENSUAMT00000036487
OG0000032	rna52161	transcript_ENSUAMT00000003492
OG0000032	rna51012	transcript_ENSUAMT00000018281
OG0000032	rna51023	transcript_ENSUAMT00000040543
OG0000033	rna11023	transcript_ENSUAMT00000038847
OG0000033	rna22730	transcript_ENSUAMT00000014220
OG0000033	rna22736	transcript_ENSUAMT00000006108
OG0000033	rna22740	transcript_ENSUAMT00000002774
OG0000033	rna11080	transcript_ENSUAMT00000002585
OG0000033	rna9094	transcript_ENSUAMT00000015377
OG0000033	rna19256	transcript_ENSUAMT00000017210
OG0000034	rna53550	transcript_ENSUAMT00000000966
OG0000034	rna53549	transcript_ENSUAMT00000021395
OG0000034	rna53695	transcript_ENSUAMT00000005484
OG0000035	rna3262	transcript_ENSUAMT00000016510
OG0000035	rna3265	transcript_ENSUAMT00000007638
OG0000035	rna3264	transcript_ENSUAMT00000016378
OG0000035	rna3263	transcript_ENSUAMT00000016377
OG0000036	rna44240	transcript_ENSUAMT00000034323
OG0000036	rna45780	transcript_ENSUAMT00000006245
OG0000036	rna49690	transcript_ENSUAMT00000018211
OG0000036	rna49689	transcript_ENSUAMT00000028622
OG0000036	rna6815	transcript_ENSUAMT00000000565
OG0000036	rna46542	transcript_ENSUAMT00000029882
OG0000037	id583479	transcript_ENSUAMT00000007129, transcript_ENSUAMT00000020812
OG0000037	id578889	transcript_ENSUAMT00000021441
OG0000037	id583832	transcript_ENSUAMT00000019157
OG0000038	rna49281	transcript_ENSUAMT00000026411
OG0000038	rna49279	transcript_ENSUAMT00000026415
OG0000039	rna23173	transcript_ENSUAMT00000007878
OG0000040	rna46795	transcript_ENSUAMT00000009088
OG0000040	rna46794	transcript_ENSUAMT00000009153
OG0000040	rna16233	transcript_ENSUAMT00000041665
OG0000040	rna2035	transcript_ENSUAMT00000020398
OG0000040	rna8956	transcript_ENSUAMT00000011396
OG0000040	rna16235	transcript_ENSUAMT00000041660
OG0000041	rna29398	transcript_ENSUAMT00000027329
OG0000041	rna17819	transcript_ENSUAMT00000005900
OG0000041	rna29397	transcript_ENSUAMT00000027328, transcript_ENSUAMT00000019562
OG0000041	rna20920	transcript_ENSUAMT00000027254
OG0000042	rna49235, rna49160	transcript_ENSUAMT00000028852
OG0000042	rna54433, rna54432	transcript_ENSUAMT00000035669
OG0000043	rna23776	transcript_ENSUAMT00000030925
OG0000043	rna23770	transcript_ENSUAMT00000026923
OG0000043	rna23778	transcript_ENSUAMT00000007484
OG0000043	rna23777	transcript_ENSUAMT00000015759
OG0000043	rna23771	transcript_ENSUAMT00000026922
OG0000043	rna23775	transcript_ENSUAMT00000030926
OG0000043	rna23769	transcript_ENSUAMT00000026924
OG0000044	rna17408	transcript_ENSUAMT00000006405, transcript_ENSUAMT00000012490
OG0000044	rna40387	transcript_ENSUAMT00000009692
OG0000044	rna18378	transcript_ENSUAMT00000037765
OG0000044	rna42632	transcript_ENSUAMT00000025581
OG0000044	rna17407	transcript_ENSUAMT00000006370, transcript_ENSUAMT00000003210, transcript_ENSUAMT00000006412, transcript_ENSUAMT00000012418
OG0000044	rna48487	transcript_ENSUAMT00000009746
OG0000046	rna49758	transcript_ENSUAMT00000008167, transcript_ENSUAMT00000004191
OG0000046	rna49764	transcript_ENSUAMT00000006613
OG0000046	rna49766	transcript_ENSUAMT00000005002
OG0000046	rna49760	transcript_ENSUAMT00000020542, transcript_ENSUAMT00000020662
OG0000046	rna49762	transcript_ENSUAMT00000006924
OG0000047	rna49723	transcript_ENSUAMT00000039091
OG0000047	rna53994, rna53991	transcript_ENSUAMT00000006562, transcript_ENSUAMT00000000374, transcript_ENSUAMT00000022328
OG0000047	rna49721	transcript_ENSUAMT00000017982, transcript_ENSUAMT00000021390
OG0000048	rna632	transcript_ENSUAMT00000024533
OG0000048	rna629	transcript_ENSUAMT00000006123, transcript_ENSUAMT00000001774, transcript_ENSUAMT00000002425
OG0000048	rna634	transcript_ENSUAMT00000005778
OG0000049	rna23789	transcript_ENSUAMT00000003984, transcript_ENSUAMT00000004629
OG0000049	rna23793	transcript_ENSUAMT00000025851
OG0000049	rna23791	transcript_ENSUAMT00000007668
OG0000049	rna23781	transcript_ENSUAMT00000006993, transcript_ENSUAMT00000000884
OG0000050	rna43366	transcript_ENSUAMT00000004207
OG0000050	rna43369	transcript_ENSUAMT00000020423
OG0000050	rna43370	transcript_ENSUAMT00000020422
OG0000050	rna43368	transcript_ENSUAMT00000020424
OG0000051	rna30048	transcript_ENSUAMT00000020214
OG0000051	rna53877	transcript_ENSUAMT00000020228
OG0000051	rna30042	transcript_ENSUAMT00000011062
OG0000051	rna30040	transcript_ENSUAMT00000011072, transcript_ENSUAMT00000011075
OG0000051	rna30041	transcript_ENSUAMT00000011070
OG0000052	rna51964	transcript_ENSUAMT00000016286, transcript_ENSUAMT00000016287
OG0000052	rna51867	transcript_ENSUAMT00000005366
OG0000053	rna28329	transcript_ENSUAMT00000041055
OG0000053	rna54408, rna53752	transcript_ENSUAMT00000006208
OG0000053	rna44518	transcript_ENSUAMT00000007056
OG0000055	rna31319, rna31321	transcript_ENSUAMT00000016713
OG0000055	rna31318	transcript_ENSUAMT00000034492
OG0000055	rna31315	transcript_ENSUAMT00000016708
OG0000055	rna31320	transcript_ENSUAMT00000016718
OG0000056	rna52187, rna52186	transcript_ENSUAMT00000012752, transcript_ENSUAMT00000003801
OG0000056	rna54171	transcript_ENSUAMT00000006968
OG0000056	rna52182	transcript_ENSUAMT00000006971
OG0000057	rna31322	transcript_ENSUAMT00000016167
OG0000057	rna31314	transcript_ENSUAMT00000020927
OG0000057	rna54078, rna54077	transcript_ENSUAMT00000019192
OG0000057	rna31312	transcript_ENSUAMT00000026006
OG0000057	rna31331	transcript_ENSUAMT00000005087
OG0000057	rna31333	transcript_ENSUAMT00000038123
OG0000057	rna31332	transcript_ENSUAMT00000038124
OG0000058	rna52232	transcript_ENSUAMT00000037532, transcript_ENSUAMT00000000913, transcript_ENSUAMT00000004730
OG0000058	rna52231	transcript_ENSUAMT00000037531
OG0000058	rna52233	transcript_ENSUAMT00000000860
OG0000058	rna52234	transcript_ENSUAMT00000000871
OG0000058	rna54365, rna54366	transcript_ENSUAMT00000000876
OG0000058	rna52235	transcript_ENSUAMT00000000901
OG0000059	rna53440	transcript_ENSUAMT00000031432
OG0000059	rna53961, rna53960	transcript_ENSUAMT00000008118
OG0000060	rna36129	transcript_ENSUAMT00000003886, transcript_ENSUAMT00000007447
OG0000060	rna36130	transcript_ENSUAMT00000007440
OG0000060	rna36136	transcript_ENSUAMT00000006912
OG0000060	rna36123	transcript_ENSUAMT00000020176
OG0000060	rna36117, rna36124	transcript_ENSUAMT00000020178
OG0000061	rna53839, rna54457, rna53841, rna54456	transcript_ENSUAMT00000026925, transcript_ENSUAMT00000006906, transcript_ENSUAMT00000026926
OG0000061	rna53838, rna53840, rna53833	transcript_ENSUAMT00000006904
OG0000062	rna52214	transcript_ENSUAMT00000010703
OG0000062	rna52192	transcript_ENSUAMT00000001799, transcript_ENSUAMT00000001553, transcript_ENSUAMT00000004739
OG0000062	rna52193	transcript_ENSUAMT00000003763, transcript_ENSUAMT00000001564
OG0000063	id583169	transcript_ENSUAMT00000006233
OG0000063	id583163	transcript_ENSUAMT00000005692
OG0000063	id589360, id581238	transcript_ENSUAMT00000003509
OG0000063	id581358	transcript_ENSUAMT00000006662
OG0000065	rna46756	transcript_ENSUAMT00000004807
OG0000065	rna18206	transcript_ENSUAMT00000035166
OG0000065	rna46750	transcript_ENSUAMT00000004804
OG0000065	rna18205	transcript_ENSUAMT00000026826
OG0000065	rna43873	transcript_ENSUAMT00000014841
OG0000065	rna18208	transcript_ENSUAMT00000035168
OG0000066	rna7696	transcript_ENSUAMT00000022546
OG0000066	rna40556	transcript_ENSUAMT00000003833
OG0000066	rna5529	transcript_ENSUAMT00000003011
OG0000066	rna5530	transcript_ENSUAMT00000032674
OG0000066	rna40555	transcript_ENSUAMT00000029149
OG0000066	rna7697	transcript_ENSUAMT00000013294
OG0000067	rna14832	transcript_ENSUAMT00000031915
OG0000067	rna39439	transcript_ENSUAMT00000033162
OG0000067	rna50740	transcript_ENSUAMT00000026643
OG0000068	rna30505	transcript_ENSUAMT00000002268
OG0000068	rna30503	transcript_ENSUAMT00000002290
OG0000068	rna42228	transcript_ENSUAMT00000030262
OG0000068	rna42102	transcript_ENSUAMT00000032890
OG0000068	rna30492, rna30491	transcript_ENSUAMT00000031529
OG0000069	rna24761	transcript_ENSUAMT00000023503
OG0000070	rna53506	transcript_ENSUAMT00000031541
OG0000070	rna635	transcript_ENSUAMT00000024539
OG0000070	rna53507	transcript_ENSUAMT00000001433
OG0000070	rna636	transcript_ENSUAMT00000024540
OG0000070	rna53505	transcript_ENSUAMT00000007013, transcript_ENSUAMT00000035069
OG0000071	rna54060	transcript_ENSUAMT00000034545
OG0000071	rna23727	transcript_ENSUAMT00000006272
OG0000071	rna53919, rna23706	transcript_ENSUAMT00000001514
OG0000072	rna17048	transcript_ENSUAMT00000031565
OG0000072	rna17052	transcript_ENSUAMT00000031564, transcript_ENSUAMT00000004416
OG0000072	rna17051	transcript_ENSUAMT00000031570
OG0000072	rna17045, rna17049	transcript_ENSUAMT00000031566, transcript_ENSUAMT00000031558
OG0000072	rna17046	transcript_ENSUAMT00000031560
OG0000072	rna17050	transcript_ENSUAMT00000031568
OG0000073	rna28981	transcript_ENSUAMT00000006389
OG0000073	rna28980	transcript_ENSUAMT00000006391
OG0000074	rna49365	transcript_ENSUAMT00000035074, transcript_ENSUAMT00000035073
OG0000074	rna49367, rna49366	transcript_ENSUAMT00000035072
OG0000074	rna53731, rna53734, rna49363	transcript_ENSUAMT00000035075
OG0000074	rna49361, rna53733, rna53736	transcript_ENSUAMT00000035077
OG0000075	rna53998	transcript_ENSUAMT00000033757
OG0000075	rna53702	transcript_ENSUAMT00000033604
OG0000075	rna44280	transcript_ENSUAMT00000014881
OG0000075	rna53701, rna53705, rna44227	transcript_ENSUAMT00000033631
OG0000077	rna54474, rna54473	transcript_ENSUAMT00000027149
OG0000078	rna53156	transcript_ENSUAMT00000027768
OG0000078	rna53158	transcript_ENSUAMT00000013071
OG0000078	rna53159	transcript_ENSUAMT00000013073
OG0000078	rna53160	transcript_ENSUAMT00000013075
OG0000078	rna53161	transcript_ENSUAMT00000013076
OG0000078	rna53157	transcript_ENSUAMT00000027769
OG0000079	rna36166	transcript_ENSUAMT00000023208
OG0000079	rna52211	transcript_ENSUAMT00000013913, transcript_ENSUAMT00000020817
OG0000079	rna36165	transcript_ENSUAMT00000001532
OG0000079	rna36163	transcript_ENSUAMT00000020819
OG0000079	rna36162	transcript_ENSUAMT00000004446
OG0000080	rna24357	transcript_ENSUAMT00000000629
OG0000081	rna17241	transcript_ENSUAMT00000033652
OG0000081	rna17243	transcript_ENSUAMT00000033660
OG0000081	rna17244	transcript_ENSUAMT00000033742
OG0000081	rna53935	transcript_ENSUAMT00000033714
OG0000082	rna33422	transcript_ENSUAMT00000023125
OG0000082	rna33356	transcript_ENSUAMT00000002222
OG0000082	rna47656	transcript_ENSUAMT00000027665
OG0000082	rna39525	transcript_ENSUAMT00000035916
OG0000082	rna39521	transcript_ENSUAMT00000023533
OG0000083	rna52164	transcript_ENSUAMT00000011221, transcript_ENSUAMT00000000810
OG0000083	rna52163	transcript_ENSUAMT00000032372
OG0000083	rna52168	transcript_ENSUAMT00000024456
OG0000084	rna49359	transcript_ENSUAMT00000004232
OG0000084	rna49360	transcript_ENSUAMT00000004624
OG0000084	rna49351	transcript_ENSUAMT00000001866
OG0000084	rna53953	transcript_ENSUAMT00000004210
OG0000085	rna53503	transcript_ENSUAMT00000009539
OG0000085	rna53777	transcript_ENSUAMT00000003337
OG0000085	rna53305	transcript_ENSUAMT00000009535
OG0000085	rna53306	transcript_ENSUAMT00000009531
OG0000085	rna53312	transcript_ENSUAMT00000004358
OG0000085	rna53876	transcript_ENSUAMT00000012653
OG0000086	rna12390	transcript_ENSUAMT00000000792
OG0000086	rna12395	transcript_ENSUAMT00000018989
OG0000086	rna12396	transcript_ENSUAMT00000018999
OG0000087	rna50602	transcript_ENSUAMT00000026358
OG0000087	rna50604	transcript_ENSUAMT00000026359
OG0000087	rna50600	transcript_ENSUAMT00000026355
OG0000088	rna24965	transcript_ENSUAMT00000017636
OG0000088	rna40670	transcript_ENSUAMT00000021183
OG0000089	rna32907	transcript_ENSUAMT00000026600
OG0000089	rna23490	transcript_ENSUAMT00000023695
OG0000092	rna23497	transcript_ENSUAMT00000023475
OG0000092	rna45338	transcript_ENSUAMT00000017778
OG0000092	rna25987	transcript_ENSUAMT00000031065
OG0000092	rna25988	transcript_ENSUAMT00000000684
OG0000092	rna19864	transcript_ENSUAMT00000003172
OG0000093	rna49208, rna49131	transcript_ENSUAMT00000024947
OG0000093	rna25512	transcript_ENSUAMT00000022790
OG0000093	rna45386	transcript_ENSUAMT00000017111
OG0000093	rna23570	transcript_ENSUAMT00000024748
OG0000093	rna32910	transcript_ENSUAMT00000026839
OG0000094	id45717	transcript_ENSUAMT00000028340
OG0000096	rna2196	transcript_ENSUAMT00000030019
OG0000096	rna6207	transcript_ENSUAMT00000008407
OG0000096	rna6208	transcript_ENSUAMT00000008420
OG0000097	rna38290	transcript_ENSUAMT00000035055
OG0000097	rna39206	transcript_ENSUAMT00000002419
OG0000097	rna18128	transcript_ENSUAMT00000039473
OG0000099	rna20571	transcript_ENSUAMT00000003470, transcript_ENSUAMT00000020375
OG0000099	rna20574	transcript_ENSUAMT00000012298
OG0000099	rna20572, rna20575, rna20573	transcript_ENSUAMT00000012301, transcript_ENSUAMT00000004608
OG0000101	rna19184	transcript_ENSUAMT00000025161
OG0000101	rna9989	transcript_ENSUAMT00000035593
OG0000101	rna34458	transcript_ENSUAMT00000000308
OG0000102	rna50089	transcript_ENSUAMT00000002604
OG0000103	rna27743	transcript_ENSUAMT00000011200
OG0000103	rna25206	transcript_ENSUAMT00000034550
OG0000103	rna27742	transcript_ENSUAMT00000011204
OG0000103	rna49862	transcript_ENSUAMT00000040891
OG0000104	rna16811	transcript_ENSUAMT00000031706
OG0000104	rna18273	transcript_ENSUAMT00000013654
OG0000104	rna18278	transcript_ENSUAMT00000013823
OG0000104	rna16904	transcript_ENSUAMT00000031724
OG0000106	id587022, id581866	transcript_ENSUAMT00000011775
OG0000107	rna18178, rna14268, rna24580	transcript_ENSUAMT00000032635
OG0000108	rna27031	transcript_ENSUAMT00000041712
OG0000108	rna22085	transcript_ENSUAMT00000006394
OG0000109	rna26471	transcript_ENSUAMT00000024555
OG0000109	rna40680	transcript_ENSUAMT00000041705
OG0000109	rna24242	transcript_ENSUAMT00000038024
OG0000109	rna5119	transcript_ENSUAMT00000019583
OG0000110	rna28163	transcript_ENSUAMT00000023231
OG0000110	rna53631	transcript_ENSUAMT00000023313
OG0000110	rna27991	transcript_ENSUAMT00000007149
OG0000110	rna28179	transcript_ENSUAMT00000015996
OG0000111	rna1533	transcript_ENSUAMT00000010250
OG0000111	rna33961	transcript_ENSUAMT00000000089
OG0000111	rna18137	transcript_ENSUAMT00000039442
OG0000112	rna53421	transcript_ENSUAMT00000016664
OG0000112	rna53422	transcript_ENSUAMT00000001156
OG0000112	rna53309	transcript_ENSUAMT00000008207
OG0000114	rna19102	transcript_ENSUAMT00000010945
OG0000114	rna19101	transcript_ENSUAMT00000023140
OG0000115	rna21957	transcript_ENSUAMT00000012493
OG0000115	rna52865, rna52777	transcript_ENSUAMT00000032793
OG0000115	rna42858	transcript_ENSUAMT00000011003
OG0000115	rna12298	transcript_ENSUAMT00000040503
OG0000116	rna49244, rna49169	transcript_ENSUAMT00000011616
OG0000116	rna45177	transcript_ENSUAMT00000020090
OG0000116	rna4694	transcript_ENSUAMT00000009238
OG0000116	rna44345	transcript_ENSUAMT00000041820
OG0000117	rna39773	transcript_ENSUAMT00000005668
OG0000117	rna45727, rna4187	transcript_ENSUAMT00000025859
OG0000118	rna54214, rna54213	transcript_ENSUAMT00000005023, transcript_ENSUAMT00000006686
OG0000118	rna54455, rna54454	transcript_ENSUAMT00000020507
OG0000118	rna35491	transcript_ENSUAMT00000020509
OG0000119	rna36080	transcript_ENSUAMT00000005421
OG0000119	rna36081	transcript_ENSUAMT00000005418
OG0000119	rna54357, rna54358, rna36084	transcript_ENSUAMT00000001031
OG0000119	rna36093	transcript_ENSUAMT00000012829
OG0000120	rna36040	transcript_ENSUAMT00000001863
OG0000120	rna36041	transcript_ENSUAMT00000033591
OG0000120	rna36037	transcript_ENSUAMT00000001845
OG0000120	rna36039	transcript_ENSUAMT00000001858
OG0000120	rna36038	transcript_ENSUAMT00000001852
OG0000122	rna33526	transcript_ENSUAMT00000035130
OG0000122	rna35821	transcript_ENSUAMT00000020077
OG0000123	rna28669	transcript_ENSUAMT00000030791
OG0000123	rna34852	transcript_ENSUAMT00000012152
OG0000123	rna19033	transcript_ENSUAMT00000033634
OG0000123	rna10529	transcript_ENSUAMT00000002992
OG0000124	rna12707	transcript_ENSUAMT00000030940
OG0000124	rna13983	transcript_ENSUAMT00000034755
OG0000124	rna15850	transcript_ENSUAMT00000040234
OG0000124	rna43442	transcript_ENSUAMT00000026612
OG0000125	rna44458	transcript_ENSUAMT00000030795
OG0000125	rna38016	transcript_ENSUAMT00000015000
OG0000125	rna45197	transcript_ENSUAMT00000020920
