Orthogroup	ursArc.longCDS.prots	ailMel.longCDS.prots
OG0000010	rna19888	rna-XM_034652615.1, rna-XM_034652531.1, rna-XM_034652566.1, rna-XM_034652623.1, rna-XM_034652706.1, rna-XM_034652843.1
OG0000010	rna19708	rna-XM_011218625.3
OG0000010	rna4301	rna-XM_002921486.4
OG0000010	rna41988	rna-XM_034661201.1
OG0000010	rna14004	rna-XM_002926067.1
OG0000010	rna34192	rna-XM_034652944.1, rna-XM_034652886.1, rna-XM_034652776.1, rna-XM_034650917.1
OG0000011	rna595	rna-XM_002928416.4
OG0000011	rna25400	rna-XM_011223454.3
OG0000011	rna35087	rna-XM_034643534.1
OG0000011	rna28901	rna-XM_002920297.4
OG0000011	rna38102	rna-XM_034671255.1
OG0000011	rna33950	rna-XM_019808018.2
OG0000011	rna35080	rna-XM_002919539.4
OG0000011	rna11734	rna-XM_034661964.1
OG0000011	rna1414	rna-XM_034661745.1
OG0000011	rna5586	rna-XM_002925177.4
OG0000011	rna614	rna-XM_034657115.1
OG0000012	rna21330	rna-XM_002923997.4
OG0000014	rna19471	rna-XM_002915516.4
OG0000014	rna8645	rna-XM_011225512.1, rna-XM_034660394.1, rna-XM_034639053.1
OG0000014	rna52474, rna52413	rna-XM_002926120.4
OG0000014	rna43230	rna-XM_034657626.1
OG0000014	rna28285	rna-XM_034660444.1
OG0000015	rna50405	rna-XM_034657834.1
OG0000015	rna50403	rna-XM_019801541.2
OG0000015	rna50401	rna-XM_011217345.3
OG0000015	rna43550	rna-XM_019793332.2
OG0000017	rna54146, rna49037, rna53628	rna-XM_011217917.3
OG0000017	rna27997, rna27998	rna-XM_002928543.4, rna-XM_034660134.1
OG0000017	rna17907	rna-XM_034660133.1
OG0000018	rna23760, rna23764	rna-XM_002929137.4
OG0000018	rna23772	rna-XM_034653247.1
OG0000018	rna23765	rna-XM_002929136.4
OG0000018	rna23766	rna-XM_019809817.2
OG0000018	rna23773	rna-XM_011237719.2
OG0000018	rna23721	rna-XM_034653321.1
OG0000018	rna23722	rna-XM_011234385.2
OG0000018	rna23726, rna23759	rna-XM_011237132.2
OG0000019	rna52172, rna52170	rna-XM_002930584.4, rna-XM_002930586.4
OG0000019	rna52169	rna-XM_002930589.3
OG0000019	rna36111	rna-XM_002931130.2
OG0000019	rna36118, rna36113	rna-XM_034653121.1
OG0000019	rna52177	rna-XM_002930588.1
OG0000019	rna52173, rna52174, rna52175	rna-XM_011217418.3
OG0000020	rna49453	rna-XM_002928225.4
OG0000020	rna49452	rna-XM_002928232.4
OG0000020	rna49447	rna-XM_011229262.2
OG0000020	rna49448	rna-XM_002922702.2
OG0000020	rna49451	rna-XM_002930995.2
OG0000020	rna49450	rna-XM_002930993.3
OG0000020	rna49449, rna54112, rna54114	rna-XM_034651828.1, rna-XM_002928233.2
OG0000020	rna54368	rna-XM_002930994.4
OG0000020	rna54113, rna54111	rna-XM_002930997.4
OG0000021	rna21975	rna-XM_002929574.4
OG0000021	rna21976	rna-XM_034663707.1
OG0000021	rna22144	rna-XM_002918886.2
OG0000021	rna22145, rna22141	rna-XM_019799304.2
OG0000021	rna21969	rna-XM_011237621.3
OG0000021	rna21974	rna-XM_034663708.1
OG0000022	rna50577	rna-XM_034639175.1
OG0000022	rna50748	rna-XM_034639072.1
OG0000022	rna50752	rna-XM_034639071.1
OG0000022	rna54429	rna-XM_034650316.1
OG0000023	id578932	id-LOC117797917
OG0000023	id578916	id-LOC117797864, id-LOC105235206
OG0000023	id578935	id-LOC105235235, id-LOC117797938, id-LOC117797786, id-LOC117797812, id-LOC117798016, id-LOC117798015, id-LOC117800354
OG0000023	id578940	id-LOC117797799
OG0000024	rna53530	rna-XM_002930630.3
OG0000024	rna53528	rna-XM_002930631.2
OG0000024	rna28978	rna-XM_019793192.2
OG0000024	rna49286	rna-XM_034645999.1
OG0000025	id21172, id21165	id-LOC105240638
OG0000025	id21155	id-LOC105234960
OG0000025	id21135	rna-XM_034665944.1
OG0000025	id21121	rna-XM_034665897.1
OG0000025	id21096	id-LOC105234754
OG0000025	id21106	id-LOC105234752
OG0000025	id21152	id-LOC105234544
OG0000025	rna1861	id-LOC109488456
OG0000025	id21144	id-LOC117795072
OG0000026	rna33309	rna-XM_019808319.2
OG0000026	rna16336	rna-XM_019799401.2
OG0000026	rna2419	rna-XM_034643547.1
OG0000026	rna46136	rna-XM_034641543.1
OG0000026	rna39505	rna-XM_034647281.1
OG0000026	rna4194	rna-XM_034659452.1
OG0000026	rna26004	rna-XM_034667630.1
OG0000026	rna6119	rna-XM_034642450.1
OG0000026	rna16452	rna-XM_034658502.1
OG0000027	rna52185	rna-XM_034667730.1
OG0000027	rna52184	rna-XM_002926087.4
OG0000027	rna52183	rna-XM_034667616.1
OG0000027	rna52181	rna-XM_019794055.2
OG0000027	rna52180	rna-XM_034652629.1, rna-XM_002930581.3
OG0000027	rna52179	rna-XM_011217419.3
OG0000027	rna54345, rna54346	rna-XM_002930582.2
OG0000027	rna52178	rna-XM_002930587.4
OG0000028	rna30039	rna-XM_019802703.2
OG0000028	rna30038	rna-XM_034641051.1
OG0000028	rna30036	rna-XM_002922160.4
OG0000028	rna30072	rna-XM_034639721.1
OG0000028	rna30032	rna-XM_034640779.1
OG0000028	rna30033	rna-XM_034640778.1
OG0000028	rna30034	rna-XM_002922161.4
OG0000028	rna30035	rna-XM_002922114.4
OG0000029	rna17463	rna-XM_002930847.3
OG0000029	rna17456	rna-XM_002927215.3
OG0000029	rna17461	rna-XM_002927219.2
OG0000029	rna17458	rna-XM_002927216.2
OG0000029	rna17454	rna-XM_002927214.4
OG0000029	rna17457	rna-XM_002927208.2
OG0000029	rna17464	rna-XM_002930846.2, rna-XM_034644782.1
OG0000029	rna17466	rna-XM_002929995.3
OG0000029	rna17465	rna-XM_011216694.3
OG0000029	rna17460	rna-XM_002927218.2
OG0000030	rna53586	rna-XM_034650186.1
OG0000030	rna54379	rna-XM_002926085.4, rna-XM_011217984.2, rna-XM_002931045.2
OG0000030	rna53584	rna-XM_034650187.1
OG0000030	rna53587	rna-XM_034650081.1
OG0000030	rna36079	rna-XM_002931189.2
OG0000030	rna36083	rna-XM_002931242.4, rna-XM_034650891.1
OG0000030	rna53585	rna-XM_011218101.2
OG0000030	rna36078	rna-XM_002931090.2
OG0000031	rna15707, rna15706, rna15705	rna-XM_002930608.4
OG0000031	rna15708	rna-XM_034657195.1
OG0000031	rna15709	rna-XM_034657197.1
OG0000031	rna15703	rna-XM_002930606.4
OG0000031	rna15710	rna-XM_002930716.3
OG0000031	rna15704	rna-XM_002930605.4
OG0000032	rna27978	rna-XM_002931096.4
OG0000032	rna52160	rna-XM_034653441.1
OG0000032	rna51012	rna-XM_002930755.3
OG0000033	rna11023	rna-XM_034642847.1
OG0000033	rna22730	rna-XM_019802760.2
OG0000033	rna22733	rna-XM_034657064.1
OG0000033	rna22736	rna-XM_002917048.2
OG0000033	rna22740	rna-XM_002919906.4
OG0000033	rna22735	rna-XM_034657062.1
OG0000033	rna11080	rna-XM_002924875.4
OG0000033	rna19256	rna-XM_034641584.1
OG0000034	rna53550	rna-XM_034660159.1, rna-XM_034651690.1
OG0000034	rna42023	rna-XM_002931255.4
OG0000034	rna42022	rna-XM_002930302.1
OG0000034	rna42021	rna-XM_002930301.3
OG0000034	rna42020	rna-XM_002930300.3
OG0000034	rna53549	rna-XM_002930303.2, rna-XM_011218319.2
OG0000034	rna42019	rna-XM_011217079.3
OG0000034	rna42018	rna-XM_002930299.2
OG0000034	rna53695	rna-XM_011217953.2
OG0000035	rna3262	rna-XM_002921817.2
OG0000035	rna3265	rna-XM_034653915.1
OG0000035	rna3264	rna-XM_002921829.4
OG0000035	rna3263	rna-XM_002921816.2
OG0000036	rna44240	rna-XM_034651676.1
OG0000036	rna45780	rna-XM_019804162.2
OG0000036	rna49690	rna-XM_034667301.1
OG0000036	rna49689	rna-XM_034667296.1
OG0000036	rna6815	rna-XM_034664929.1
OG0000036	rna46542	rna-XM_034638257.1
OG0000037	id583479	id-LOC105234852
OG0000037	id578889	id-LOC117797997
OG0000037	id583832	id-LOC105235063
OG0000037	id582746	id-LOC117797993
OG0000038	rna49281	rna-XM_011216996.2
OG0000038	rna49279	rna-XM_034646065.1
OG0000039	rna23173	rna-XM_034670040.1, rna-XM_034660420.1, rna-XM_034652147.1, rna-XM_034652067.1, rna-XM_034652640.1, rna-XM_034651468.1, rna-XM_034652149.1, rna-XM_034651913.1, rna-XM_034651917.1, rna-XM_034641559.1, rna-XM_034652439.1, rna-XM_034662592.1
OG0000039	rna19556	rna-XM_034650077.1, rna-XM_034652899.1, rna-XM_002913271.4, rna-XM_034651557.1, rna-XM_034651560.1, rna-XM_034651456.1, rna-XM_034652425.1, rna-XM_034650499.1, rna-XM_034651670.1, rna-XM_034651746.1, rna-XM_034650853.1
OG0000040	rna46795	rna-XM_034654035.1
OG0000040	rna2031	rna-XM_011223692.3
OG0000040	rna46794	rna-XM_002919208.4
OG0000040	rna16233	rna-XM_002920527.4
OG0000040	rna2035	rna-XM_002918261.4
OG0000040	rna8956	rna-XM_011231771.3
OG0000040	rna16235	rna-XM_011226623.3
OG0000041	rna29398	rna-XM_034645235.1, rna-XM_034654505.1
OG0000041	rna17819	rna-XM_034652654.1, rna-XM_002928987.4
OG0000041	rna29397	rna-XM_011233500.3
OG0000041	rna20920	rna-XM_002915119.4
OG0000042	rna49235, rna49160	rna-XM_034643019.1
OG0000042	rna21395	rna-XM_011216931.3, rna-XM_034652303.1, rna-XM_034652085.1, rna-XM_034672111.1, rna-XM_034650288.1, rna-XM_034651989.1, rna-XM_034652683.1, rna-XM_034650510.1
OG0000042	rna44597	rna-XM_019793821.2
OG0000042	rna54433, rna54432	rna-XM_002931069.4
OG0000043	rna23776, rna23770	rna-XM_002930259.2, rna-XM_034653250.1
OG0000043	rna23779	rna-XM_002930261.2
OG0000043	rna23778	rna-XM_002930260.4
OG0000043	rna23777	rna-XM_019793089.2
OG0000043	rna23771	rna-XM_002929675.2
OG0000043	rna23775	rna-XM_002929677.2
OG0000043	rna23769	rna-XM_011237720.3
OG0000046	rna49758	rna-XM_011217598.3
OG0000046	rna53866	rna-XM_034667338.1
OG0000046	rna49764	rna-XM_034667335.1
OG0000046	rna49766	rna-XM_034667339.1
OG0000046	rna49760	rna-XM_019793557.2
OG0000046	rna49762	rna-XM_019793558.2
OG0000047	rna49727	rna-XM_002927275.4
OG0000047	rna49723	rna-XM_011234811.3
OG0000047	rna53994, rna53991	rna-XM_002930742.4, rna-XM_034667681.1
OG0000047	rna49725	rna-XM_034667322.1
OG0000047	rna49721	rna-XM_011237480.3, rna-XM_011237481.2, rna-XM_034650114.1
OG0000048	rna630	rna-XM_034668519.1, rna-XM_034668467.1
OG0000048	rna632	rna-XM_034650367.1
OG0000048	rna629	rna-XM_011217727.2
OG0000048	rna628	rna-XM_034668363.1
OG0000048	rna631	rna-XM_019793614.2
OG0000048	rna634	rna-XM_034650851.1, rna-XM_034650336.1
OG0000048	rna54435, rna54434	rna-XM_034651954.1, rna-XM_034664280.1
OG0000049	rna23789, rna23790	rna-XM_002931217.2
OG0000049	rna23792	rna-XM_034653262.1
OG0000049	rna23791	rna-XM_034653263.1
OG0000049	rna23788	rna-XM_034653274.1
OG0000049	rna23781, rna23782	rna-XM_002929840.2
OG0000050	rna43371	rna-XM_011228336.2
OG0000050	rna43369	rna-XM_002921919.4
OG0000050	rna43370	rna-XM_034657224.1
OG0000050	rna43368	rna-XM_002921920.4
OG0000050	rna43364	rna-XM_002921925.4
OG0000050	rna43363	rna-XM_002921926.4
OG0000050	rna43365, rna43367	rna-XM_002921922.4
OG0000051	rna30048	rna-XM_034648398.1
OG0000051	rna53878	rna-XM_034641239.1
OG0000051	rna53877	rna-XM_034648682.1
OG0000051	rna30042	rna-XM_002922111.4
OG0000051	rna30040	rna-XM_002922113.4
OG0000051	rna30041	rna-XM_002922112.4
OG0000052	rna51964	rna-XM_019805397.2, rna-XM_034639499.1
OG0000052	rna51867	rna-XM_034650411.1, rna-XM_019807812.2
OG0000053	rna28329	rna-XM_034660461.1, rna-XM_034660207.1
OG0000053	rna44520, rna44879	rna-XM_034661690.1
OG0000053	rna54408, rna53752	rna-XM_034653258.1
OG0000055	rna31319	rna-XM_034663715.1
OG0000055	rna31321	rna-XM_002930671.2
OG0000055	rna31318	rna-XM_019793497.2
OG0000055	rna31316	rna-XM_002931256.2
OG0000055	rna31315	rna-XM_002931317.4
OG0000055	rna31320	rna-XM_034664456.1
OG0000056	rna54171, rna52182, rna54046	rna-XM_034666171.1, rna-XM_034650117.1
OG0000056	rna48309	rna-XM_002924985.4
OG0000057	rna31322	rna-XM_019793500.2
OG0000057	rna31314	rna-XM_034653272.1
OG0000057	rna54078, rna54077, rna31313	rna-XM_002915958.4
OG0000057	rna31312	rna-XM_002915959.2
OG0000057	rna31331	rna-XM_002930725.3
OG0000057	rna31333, rna31332	rna-XM_002930728.3
OG0000058	rna52232	rna-XM_002926106.4, rna-XM_034667610.1
OG0000058	rna52231	rna-XM_002926105.4
OG0000058	rna52233	rna-XM_002926107.1
OG0000058	rna52234	rna-XM_011233431.2
OG0000058	rna54365, rna54366	rna-XM_002926082.2
OG0000058	rna52235	rna-XM_002926083.3
OG0000059	rna50576, rna53438, rna53884	rna-XM_034639057.1
OG0000059	rna53440, rna53961, rna53960, rna50746	rna-XM_034639104.1
OG0000060	rna36129	rna-XM_002931011.2
OG0000060	rna36130	rna-XM_002931213.4
OG0000060	rna36136	rna-XM_002928570.2
OG0000060	rna36117	rna-XM_034666461.1
OG0000060	rna36124	rna-XM_034650104.1
OG0000060	rna36116, rna36125	rna-XM_002931013.4
OG0000061	rna53839, rna54457, rna53841, rna54456, rna53838, rna53840, rna53833	rna-XM_002930731.4
OG0000062	rna52214	rna-XM_002926097.2
OG0000062	rna52192	rna-XM_034666467.1
OG0000062	rna52193	rna-XM_011233415.1
OG0000063	id581358	id-LOC117797716
OG0000065	rna46756	rna-XM_011236154.3
OG0000065	rna18206	rna-XM_002920437.4
OG0000065	rna46750	rna-XM_002928302.3
OG0000065	rna18205	rna-XM_002920436.4
OG0000065	rna43873	rna-XM_034638981.1
OG0000065	rna18208	rna-XM_011226481.3
OG0000066	rna7696	rna-XM_034665468.1
OG0000066	rna40556	rna-XM_002925583.4
OG0000066	rna5529	rna-XM_034642590.1
OG0000066	rna5530	rna-XM_034655281.1
OG0000066	rna40555	rna-XM_034650007.1
OG0000066	rna7697	rna-XM_034665466.1
OG0000067	rna14832	rna-XM_011218801.3
OG0000067	rna39439	rna-XM_019801732.2
OG0000067	rna50740	rna-XM_034638974.1
OG0000068	rna30505	rna-XM_034649918.1
OG0000068	rna30503	rna-XM_019797283.2
OG0000068	rna42228	rna-XM_019800609.2
OG0000068	rna42102	rna-XM_034649752.1
OG0000068	rna30492	rna-XM_019807464.2
OG0000068	rna30491	rna-XM_011234171.2
OG0000069	rna24761	rna-XM_002929941.3
OG0000070	rna53506	rna-XM_011232699.2
OG0000070	rna635	rna-XM_002931023.3
OG0000070	rna53507	rna-XM_034650688.1
OG0000070	rna636, rna53505	rna-XM_011217954.3
OG0000071	rna23723	rna-XM_011218338.2
OG0000071	rna54060	rna-XM_034653320.1
OG0000071	rna23727	rna-XM_002926914.4
OG0000071	rna53919, rna23706	rna-XM_034650586.1
OG0000072	rna17048	rna-XM_002930341.2, rna-XM_002930339.2
OG0000072	rna17051	rna-XM_011217113.2
OG0000072	rna17045, rna17049	rna-XM_002930337.4
OG0000072	rna17046	rna-XM_002930338.2
OG0000072	rna17050	rna-XM_011217112.3
OG0000073	rna53532	rna-XM_034646283.1, rna-XM_034646377.1
OG0000073	rna28981	rna-XM_034651808.1
OG0000073	rna28980	rna-XM_011217186.2
OG0000074	rna53731, rna53734, rna49363, rna49361, rna53733, rna53736, rna49364	rna-XM_002926878.3
OG0000074	rna49369	rna-XM_002926881.3
OG0000075	rna53998	rna-XM_034672380.1
OG0000075	rna53702	rna-XM_034650274.1
OG0000075	rna53997	rna-XM_034650343.1
OG0000075	rna53701, rna53705, rna44227	rna-XM_034650286.1
OG0000077	rna95, rna91	rna-XM_034654611.1
OG0000077	rna84	rna-XM_034653924.1, rna-XM_034649716.1
OG0000077	rna94	rna-XM_034650335.1
OG0000077	rna54474, rna54473	rna-XM_034650574.1
OG0000078	rna53156	rna-XM_002930878.3
OG0000078	rna53158	rna-XM_002930877.1
OG0000078	rna53159	rna-XM_034644823.1
OG0000078	rna53160	rna-XM_034646554.1
OG0000078	rna53161	rna-XM_034646605.1
OG0000078	rna53157	rna-XM_002930879.2
OG0000079	rna36166	rna-XM_034650092.1
OG0000079	rna36167	rna-XM_034653229.1
OG0000079	rna52211, rna36164	rna-XM_002926094.4, rna-XM_034667604.1
OG0000079	rna36163	rna-XM_002928582.1
OG0000079	rna36162	rna-XM_002928571.2
OG0000080	rna6351	rna-XM_034654784.1
OG0000080	rna24357	rna-XM_011229264.3
OG0000080	rna17092	rna-XM_034645486.1
OG0000081	rna17241	rna-XM_034645322.1
OG0000081	rna17243	rna-XM_002930972.4
OG0000081	rna53936	rna-XM_034651744.1, rna-XM_034651421.1
OG0000081	rna17244	rna-XM_034645785.1
OG0000081	rna53935	rna-XM_034645784.1
OG0000082	rna33422	rna-XM_034670228.1
OG0000082	rna33356	rna-XM_034670262.1
OG0000082	rna47656	rna-XM_034670623.1
OG0000082	rna39525	rna-XM_034646947.1
OG0000082	rna39521	rna-XM_034647203.1, rna-XM_034651651.1
OG0000083	rna52164	rna-XM_034666477.1
OG0000083	rna52163	rna-XM_002924987.4
OG0000083	rna52168	rna-XM_002931185.4
OG0000084	rna49359	rna-XM_002926852.4
OG0000084	rna49360	rna-XM_011234340.2
OG0000084	rna49351	rna-XM_002926865.2
OG0000085	rna53305	rna-XM_034653427.1, rna-XM_034652811.1
OG0000085	rna53306	rna-XM_011217839.1
OG0000085	rna53312	rna-XM_034653430.1
OG0000086	rna12390	rna-XM_034653842.1, rna-XM_034653843.1
OG0000086	rna12395	rna-XM_002930367.4
OG0000086	rna12393	rna-XM_002930364.4
OG0000086	rna12396	rna-XM_011222974.3
OG0000087	rna50602	rna-XM_019808677.2
OG0000087	rna50604	rna-XM_019808666.2
OG0000087	rna50599	rna-XM_011235184.3
OG0000088	rna24965	rna-XM_034647604.1
OG0000088	rna39894	rna-XM_034650632.1, rna-XM_034652292.1, rna-XM_034650580.1, rna-XM_034652822.1, rna-XM_034650599.1, rna-XM_034651012.1
OG0000088	rna40670	rna-XM_034652730.1, rna-XM_034652637.1, rna-XM_034652704.1
OG0000089	rna32907	rna-XM_034642571.1
OG0000089	rna23490	rna-XM_034667189.1
OG0000091	rna17216	rna-XM_002923247.4
OG0000091	rna17245	rna-XM_034645559.1
OG0000092	rna23497	rna-XM_034647810.1, rna-XM_019794440.2
OG0000092	rna45338	rna-XM_034644934.1
OG0000092	rna25987	rna-XM_034667628.1
OG0000092	rna25988	rna-XM_002922393.4
OG0000092	rna19864	rna-XM_034663574.1
OG0000093	rna49208, rna49131	rna-XM_011217898.3
OG0000093	rna25512	rna-XM_011222266.3
OG0000093	rna45386	rna-XM_019796911.2
OG0000093	rna23570	rna-XM_034648060.1
OG0000093	rna32910	rna-XM_002926735.4
OG0000094	id45717	id-LOC105240710
OG0000095	rna15693	rna-XM_034652813.1
OG0000095	rna15684, rna54155, rna54164, rna54165	rna-XM_002930822.3
OG0000095	rna53261, rna15696, rna15698, rna53865, rna15685, rna15686, rna15687	rna-XM_011218265.2
OG0000095	rna15690	rna-XM_034643067.1
OG0000095	rna15689	rna-XM_011217814.2
OG0000096	rna2196	rna-XM_002918229.4
OG0000096	rna6207	rna-XM_011224218.3
OG0000096	rna6208	rna-XM_011224217.3
OG0000096	rna17482	rna-XM_011226315.3
OG0000096	rna30382	rna-XM_034640604.1
OG0000097	rna38290	rna-XM_034652958.1, rna-XM_019799082.2
OG0000097	rna39206	rna-XM_011237023.3
OG0000097	rna18128	rna-XM_034650314.1, rna-XM_002922227.3
OG0000098	rna49291, rna54059, rna54047, rna49300, rna54406, rna54407, rna53928, rna53882, rna49299, rna49296, rna49293, rna54308, rna49304, rna49303, rna49297, rna49306, rna49302, rna53749, rna53758, rna49287, rna49294, rna49288, rna53750, rna53759	rna-XM_002929980.2
OG0000099	rna20571	rna-XM_002923031.3
OG0000099	rna20574	rna-XM_002923023.2
OG0000099	rna54374	rna-XM_002923022.3
OG0000099	rna20572, rna20575, rna20573	rna-XM_011229642.2, rna-XM_011229644.3
OG0000101	rna19184	rna-XM_034641930.1
OG0000101	rna9989	rna-XM_034668382.1, rna-XM_034651210.1, rna-XM_034653238.1
OG0000101	rna34458	rna-XM_034653535.1, rna-XM_034651779.1, rna-XM_034650227.1, rna-XM_034649850.1
OG0000102	rna50089	rna-XM_034645293.1
OG0000103	rna27743	rna-XM_002912520.4
OG0000103	rna25206	rna-XM_002917015.4
OG0000103	rna27742	rna-XM_002912519.2
OG0000103	rna49862	rna-XM_002927241.4
OG0000103	rna26925	rna-XM_019802399.2
OG0000104	rna16811	rna-XM_002929093.4
OG0000104	rna18273	rna-XM_034645916.1
OG0000104	rna18278	rna-XM_019793751.2
OG0000104	rna16904	rna-XM_034649988.1, rna-XM_034651311.1, rna-XM_034652634.1, rna-XM_034658832.1
OG0000106	id591311	id-LOC117798844
OG0000106	id581872	id-LOC117798737
OG0000106	id581875	id-LOC109488358
OG0000106	id588979, id589680	id-LOC117798617
OG0000106	id587022, id581866	id-LOC117798776
OG0000106	id592085	id-LOC117798537, id-LOC117798759
OG0000107	rna18178	rna-NM_001304846.1
OG0000107	rna14268, rna24580	rna-XM_034638851.1
OG0000108	rna27031	rna-XM_034667951.1
OG0000108	rna37091	rna-XM_034653030.1
OG0000108	rna32466	rna-XM_002913054.4
OG0000108	rna22085	rna-XM_002914936.4
OG0000108	rna36784	rna-XM_034660919.1
OG0000109	rna26471	rna-XM_002929790.4
OG0000109	rna40680	rna-XM_034649928.1
OG0000109	rna24242	rna-XM_034655998.1
OG0000109	rna5119	rna-XM_034658903.1
OG0000109	rna33700	rna-XM_019806489.2
OG0000110	rna28163	rna-XM_002928526.4
OG0000110	rna53631	rna-XM_002928550.4
OG0000110	rna28158	rna-XM_019809269.2
OG0000110	rna27991	rna-XM_002927084.4
OG0000110	rna28179	rna-XM_011236409.3
OG0000111	rna1533	rna-XM_002912448.4
OG0000111	rna33961	rna-XM_002927300.4
OG0000111	rna38454	rna-XM_011231236.3
OG0000111	rna18137	rna-XM_034652091.1
OG0000112	rna53421	rna-XM_002931351.2
OG0000112	rna53309, rna53345	rna-XM_034648664.1, rna-XM_034648665.1
OG0000114	rna19102	rna-XM_034641590.1
OG0000114	rna10440	rna-XM_034642280.1
OG0000114	rna20524	rna-XM_034669107.1
OG0000114	rna19101	rna-XM_034650399.1
OG0000114	rna34764	rna-XM_034650079.1, rna-XM_034645122.1, rna-XM_019810249.2
OG0000115	rna21957	rna-XM_034665569.1
OG0000115	rna52865, rna52777	rna-XM_034651827.1
OG0000115	rna42858	rna-XM_034657364.1
OG0000115	rna12298	rna-XM_019798266.2
OG0000116	rna49244, rna49169	rna-XM_034642336.1
OG0000116	rna45177	rna-XM_034645430.1
OG0000116	rna4694	rna-XM_002914046.4
OG0000116	rna44345	rna-XM_034639013.1
OG0000117	rna39773	rna-XM_002915055.4
OG0000117	rna45727	rna-XM_034653189.1, rna-XM_002930093.4
OG0000117	rna4187	rna-XM_034658820.1
OG0000118	rna54214, rna54213	rna-XM_034650748.1
OG0000118	rna35491	rna-XM_002929402.2
OG0000119	rna36085	rna-XM_034665613.1
OG0000119	rna36080	rna-XM_002931089.2
OG0000119	rna36081	rna-XM_034650087.1
OG0000119	rna54357, rna54358, rna36084, rna36093	rna-XM_034650110.1
OG0000120	rna36040	rna-XM_011217730.3
OG0000120	rna36041	rna-XM_011218027.2
OG0000120	rna36037	rna-XM_002930850.3
OG0000120	rna36039	rna-XM_002930852.2
OG0000120	rna36038	rna-XM_002930851.3
OG0000122	rna33526	rna-XM_034670157.1
OG0000122	rna35821	rna-XM_034652876.1, rna-XM_034652867.1, rna-XM_034652866.1, rna-XM_034652794.1, rna-XM_034652872.1, rna-XM_034652574.1, rna-XM_034650752.1, rna-XM_034652205.1, rna-XM_034650541.1, rna-XM_034652803.1, rna-XM_002912326.4
OG0000123	rna28669	rna-XM_011222248.3
OG0000123	rna34852	rna-XM_002913321.4
OG0000123	rna19033	rna-XM_034639960.1
OG0000123	rna10529	rna-XM_034642471.1
OG0000124	rna12707	rna-XM_019804216.2
OG0000124	rna13983	rna-XM_034656261.1
OG0000124	rna15850	rna-XM_011222201.3
OG0000124	rna43442	rna-XM_034657764.1
OG0000125	rna44458	rna-XM_002925838.4
OG0000125	rna38016	rna-XM_034642784.1
OG0000125	rna45197	rna-XM_034645217.1
OG0000125	rna19645	rna-XM_002928596.4
OG0000126	rna42011	rna-XM_034661217.1
OG0000126	rna9250	rna-XM_034639210.1
OG0000126	rna19246	rna-XM_034641039.1
OG0000126	rna22607	rna-XM_034637793.1
OG0000127	rna48024	rna-XM_034648895.1
OG0000127	rna39849	rna-XM_034649473.1
