Orthogroup	ursArc.longCDS.prots	homSap.longCDS.prots
OG0000017	rna27997, rna27998	ENST00000614247.1
OG0000017	rna28185	ENST00000618305.1
OG0000017	rna27990	ENST00000611927.1
OG0000017	rna17907	ENST00000358064.3
OG0000018	rna23760, rna23764, rna23763, rna23762, rna23761, rna23772, rna23765, rna23766, rna23754, rna23773, rna23721, rna23722, rna23725, rna23726, rna23759	ENST00000317996.1, ENST00000318021.3, ENST00000319968.4
OG0000019	rna52172, rna52170, rna36109	ENST00000316987.3
OG0000019	rna52169	ENST00000610445.1
OG0000019	rna36111	ENST00000321522.2
OG0000019	rna36110, rna36118, rna36113	ENST00000445557.1
OG0000019	rna52177, rna52173, rna52174, rna52175	ENST00000379946.2, ENST00000537935.1
OG0000020	rna49453	ENST00000302572.2
OG0000020	rna49450	ENST00000302581.2
OG0000020	rna49449, rna54112, rna54114	ENST00000357377.3
OG0000020	rna54368, rna54113, rna54111	ENST00000309403.2
OG0000021	rna21975	ENST00000374781.2
OG0000021	rna21976	ENST00000277216.3
OG0000021	rna22144, rna22145, rna22141	ENST00000341959.2
OG0000021	rna22142, rna22143	ENST00000424348.1
OG0000021	rna21969, rna21974	ENST00000335040.1
OG0000022	rna50751, rna50747	ENST00000339986.7, ENST00000465049.6, ENST00000456806.2, ENST00000355095.8, ENST00000590202.2
OG0000022	rna50577, rna50748, rna50752, rna50749, rna50744, rna54429	ENST00000600810.1, ENST00000311015.7
OG0000023	id578932, id578916, id578935, id578940	ENST00000390285.4, ENST00000390297.3, ENST00000390294.2, ENST00000390301.3, ENST00000390290.3, ENST00000390299.2, ENST00000390291.2
OG0000024	rna53530	ENST00000335238.4
OG0000024	rna28978	ENST00000319813.3
OG0000024	rna49286	ENST00000314644.2
OG0000024	rna53529, rna49298, rna53929, rna49321, rna49314, rna49323, rna49325	ENST00000328188.1, ENST00000555099.1
OG0000025	id21155	ENST00000443402.6, ENST00000436911.6
OG0000026	rna33309	ENST00000261383.3
OG0000026	rna16336	ENST00000420323.6
OG0000026	rna2419	ENST00000620169.4
OG0000026	rna46136	ENST00000389840.6
OG0000026	rna39505	ENST00000262442.8
OG0000026	rna4194	ENST00000389394.7
OG0000026	rna26004	ENST00000430092.5
OG0000026	rna6119	ENST00000312428.10
OG0000026	rna16452	ENST00000495027.5
OG0000027	rna52185, rna52188, rna52184, rna52183	ENST00000317254.3
OG0000027	rna52181	ENST00000317093.2
OG0000027	rna52180	ENST00000317078.1
OG0000027	rna52179, rna54345, rna54346, rna52178	ENST00000317037.2
OG0000028	rna30039	ENST00000246635.7
OG0000028	rna30038	ENST00000254043.7
OG0000028	rna30036	ENST00000246662.8
OG0000028	rna30072	ENST00000269576.5
OG0000028	rna30032, rna30033	ENST00000311208.12
OG0000028	rna30034	ENST00000301653.8
OG0000028	rna30035	ENST00000167586.6
OG0000029	rna17463, rna17456, rna17461, rna17458, rna17454, rna17457, rna17464, rna17455, rna17459, rna17466, rna17465, rna17460	ENST00000310194.1
OG0000030	rna53586, rna54379, rna53584	ENST00000380367.1
OG0000030	rna53587, rna36079, rna36083, rna53585, rna36078	ENST00000307388.1
OG0000031	rna15707, rna15706, rna15705, rna15708, rna15709	ENST00000322107.1, ENST00000305892.1
OG0000031	rna15703, rna15710, rna15704	ENST00000308940.8, ENST00000334920.3, ENST00000305899.4
OG0000032	rna27978, rna52160, rna52161	ENST00000307832.2
OG0000032	rna51012, rna51023	ENST00000320002.3
OG0000033	rna11023	ENST00000262717.8
OG0000033	rna22730	ENST00000382275.5
OG0000033	rna22733	ENST00000504376.6
OG0000033	rna22736	ENST00000231021.8
OG0000033	rna22740	ENST00000265071.2
OG0000033	rna22735	ENST00000264463.8
OG0000033	rna11080	ENST00000323011.7
OG0000033	rna19256	ENST00000372262.7
OG0000034	rna53550, rna42023	ENST00000426406.2, ENST00000332831.3, ENST00000456475.1, ENST00000320901.3
OG0000034	rna42022	ENST00000332238.4
OG0000034	rna42021	ENST00000328882.5
OG0000035	rna3262	ENST00000408906.2
OG0000035	rna3265, rna3264	ENST00000408949.2
OG0000035	rna3263	ENST00000408898.2
OG0000036	rna44240	ENST00000441343.5
OG0000036	rna45780	ENST00000295598.9
OG0000036	rna49690	ENST00000361216.7
OG0000036	rna49689	ENST00000368081.8
OG0000036	rna6815	ENST00000218548.10
OG0000036	rna46542	ENST00000262623.3
OG0000037	id583829, id583479, id578889, id582740, id583832, id582746	ENST00000390310.2, ENST00000390312.2, ENST00000390306.2, ENST00000390314.2, ENST00000620395.2, ENST00000390287.2
OG0000038	rna49281	ENST00000314706.3
OG0000038	rna49279	ENST00000446524.1
OG0000039	rna23173	ENST00000316292.13
OG0000039	rna19556	ENST00000298049.11
OG0000040	rna46795	ENST00000369851.5
OG0000040	rna2031	ENST00000351004.7
OG0000040	rna46794	ENST00000351050.7
OG0000040	rna16233	ENST00000232461.7
OG0000040	rna2035	ENST00000398291.3
OG0000040	rna8956	ENST00000262493.11
OG0000040	rna16235	ENST00000313601.10
OG0000041	rna29398	ENST00000540430.5
OG0000041	rna17819	ENST00000396076.5
OG0000041	rna29397	ENST00000541669.5
OG0000041	rna20920	ENST00000307144.5
OG0000042	rna49235, rna49160	ENST00000394709.2
OG0000042	rna44597	ENST00000375654.4
OG0000042	rna54433, rna54432	ENST00000375650.4, ENST00000375651.6
OG0000043	rna23776, rna23770	ENST00000359682.2, ENST00000317965.3, ENST00000366476.1, ENST00000456743.2
OG0000043	rna23779, rna23778, rna23777, rna23771, rna23775, rna23769	ENST00000306687.1
OG0000044	rna17409	ENST00000336023.9
OG0000044	rna17408	ENST00000301071.11
OG0000044	rna40387	ENST00000380419.7
OG0000044	rna18378	ENST00000416740.1
OG0000044	rna5626	ENST00000248437.8
OG0000044	rna17407	ENST00000541364.5
OG0000044	rna48487	ENST00000400113.7, ENST00000312988.8, ENST00000321253.6
OG0000046	rna49758	ENST00000368167.7
OG0000046	rna49760	ENST00000368168.3
OG0000046	rna49762	ENST00000368170.7
OG0000047	rna49727	ENST00000423932.4
OG0000047	rna49724	ENST00000504970.1
OG0000047	rna49723	ENST00000332217.5
OG0000047	rna49721	ENST00000334857.3
OG0000049	rna23789, rna23790, rna23793, rna23792, rna23791, rna23788, rna23781, rna23782	ENST00000366473.3, ENST00000328570.4, ENST00000366475.1
OG0000050	rna43371	ENST00000305444.2
OG0000050	rna43369, rna43370, rna43368	ENST00000541538.1
OG0000050	rna43364, rna43363, rna43365, rna43367	ENST00000305456.2
OG0000051	rna30048, rna53878, rna53877	ENST00000007735.3, ENST00000251646.7, ENST00000251645.2, ENST00000394001.1
OG0000051	rna30042	ENST00000225899.3
OG0000051	rna30040	ENST00000328119.10
OG0000051	rna30041	ENST00000393989.1
OG0000052	rna51964	ENST00000334181.4, ENST00000307658.11, ENST00000596400.1, ENST00000282282.3, ENST00000336128.11, ENST00000597658.1
OG0000052	rna51867	ENST00000396154.6, ENST00000512439.6, ENST00000282308.3, ENST00000317178.9, ENST00000594684.1, ENST00000339656.7, ENST00000312026.5, ENST00000598031.1, ENST00000425570.7, ENST00000391701.1, ENST00000594901.1, ENST00000435989.6, ENST00000376233.7, ENST00000332854.10, ENST00000254166.3
OG0000053	rna28329	ENST00000614012.4, ENST00000449934.6, ENST00000252229.6
OG0000053	rna44520, rna44879, rna54408, rna53752, rna44518	ENST00000376630.4, ENST00000376828.6, ENST00000259951.11, ENST00000376806.9, ENST00000412585.6, ENST00000383329.7
OG0000055	rna31319, rna31321	ENST00000335302.5
OG0000055	rna31318, rna31316, rna31315, rna31320	ENST00000259357.3
OG0000056	rna52187, rna52186, rna54171, rna52182, rna54046	ENST00000317121.4
OG0000056	rna48309	ENST00000316529.3
OG0000057	rna31322, rna31314, rna54078, rna54077, rna31313	ENST00000304865.3
OG0000057	rna31331	ENST00000373686.1
OG0000057	rna31333, rna31332	ENST00000304820.3
OG0000058	rna52232	ENST00000380219.1
OG0000058	rna52233	ENST00000300773.3
OG0000058	rna54365, rna54366	ENST00000624187.1
OG0000058	rna52235	ENST00000380224.1
OG0000059	rna50576, rna53438, rna53884, rna53440, rna53961, rna53960, rna50746	ENST00000398696.3
OG0000060	rna36129	ENST00000359350.4
OG0000060	rna36130, rna36136, rna36123, rna36117, rna36124, rna36116, rna36125	ENST00000380371.1, ENST00000380373.3
OG0000061	rna53839, rna54457, rna53841, rna54456, rna53838, rna53840, rna53833	ENST00000358120.2
OG0000062	rna52214, rna52192, rna52193	ENST00000322653.5
OG0000063	id581235, id583169, id583163, id589360, id581238, id581220, id589406, id581241, id583176, id581355, id581358	ENST00000390441.2, ENST00000390431.3
OG0000065	rna46756	ENST00000633222.1
OG0000065	rna18206	ENST00000382545.4
OG0000065	rna46750	ENST00000369769.3
OG0000065	rna18205	ENST00000252321.4
OG0000065	rna43873	ENST00000221444.1
OG0000065	rna18208	ENST00000280684.3
OG0000066	rna7696	ENST00000375820.8
OG0000066	rna40556	ENST00000328300.10
OG0000066	rna5529	ENST00000396578.7
OG0000066	rna5530	ENST00000396625.3
OG0000066	rna40555	ENST00000394872.6
OG0000066	rna7697	ENST00000360467.5
OG0000067	rna14832	ENST00000216181.9
OG0000067	rna39439	ENST00000360416.7
OG0000067	rna50740	ENST00000601313.5
OG0000068	rna30505, rna30503	ENST00000378981.7, ENST00000378982.3, ENST00000378988.4
OG0000068	rna42228	ENST00000400004.6
OG0000068	rna42102	ENST00000325250.1
OG0000068	rna30492, rna30491	ENST00000356790.2
OG0000069	rna24761	ENST00000504543.1, ENST00000511681.1, ENST00000515574.1, ENST00000621388.1, ENST00000610514.1, ENST00000621472.1, ENST00000622713.1, ENST00000613757.1, ENST00000613973.1, ENST00000619296.1, ENST00000421288.3, ENST00000614762.1, ENST00000616303.1, ENST00000622009.1, ENST00000615989.1, ENST00000621432.2, ENST00000506619.2, ENST00000415041.1, ENST00000507227.1, ENST00000504104.1, ENST00000526929.1, ENST00000527080.1, ENST00000529559.1, ENST00000530484.1, ENST00000333796.3, ENST00000530447.4
OG0000071	rna23723, rna54060, rna23727, rna53919, rna23706	ENST00000366480.4
OG0000072	rna17048, rna17052, rna17051, rna17045, rna17049, rna17046, rna17050	ENST00000305377.5
OG0000073	rna53532, rna53531, rna28981, rna28980	ENST00000568934.1
OG0000074	rna49365, rna49367, rna49366	ENST00000623845.1
OG0000074	rna53731, rna53734, rna49363, rna49361, rna53733, rna53736, rna49364, rna49369	ENST00000313447.1
OG0000077	rna95, rna91	ENST00000609664.2, ENST00000400365.3, ENST00000400368.1, ENST00000400374.4
OG0000077	rna94	ENST00000400372.1, ENST00000400375.1, ENST00000391620.1, ENST00000397911.4, ENST00000334670.9, ENST00000391621.1, ENST00000380095.2
OG0000078	rna53156	ENST00000300127.2
OG0000078	rna53158	ENST00000530162.1
OG0000078	rna53159	ENST00000313253.1
OG0000078	rna53160	ENST00000329328.3
OG0000079	rna36166, rna36167, rna52211, rna36164, rna36165, rna36163, rna36162	ENST00000624801.3
OG0000080	rna6351	ENST00000392524.6
OG0000080	rna24357	ENST00000314940.6
OG0000080	rna17092	ENST00000340913.10
OG0000081	rna17241	ENST00000257901.7
OG0000081	rna53936, rna17244, rna53935	ENST00000293670.3, ENST00000327741.9
OG0000082	rna33422	ENST00000331351.5
OG0000082	rna33356	ENST00000261374.3
OG0000082	rna47656	ENST00000454677.2
OG0000082	rna39525	ENST00000466596.5
OG0000082	rna39521	ENST00000284110.1
OG0000083	rna52164, rna52163	ENST00000329564.6
OG0000083	rna52168	ENST00000330728.4, ENST00000532411.2
OG0000084	rna49359, rna49360	ENST00000313264.5
OG0000084	rna49351, rna53953	ENST00000303059.3, ENST00000313033.3
OG0000085	rna53503, rna53777, rna53305, rna53306, rna53312, rna53876	ENST00000315683.1
OG0000086	rna12390	ENST00000370456.4
OG0000086	rna12393	ENST00000370459.7
OG0000086	rna12396	ENST00000370481.8, ENST00000370473.4, ENST00000464839.5
OG0000087	rna50602	ENST00000594154.5
OG0000087	rna50604	ENST00000293471.10
OG0000087	rna50600	ENST00000594083.5
OG0000087	rna50599	ENST00000243644.8
OG0000088	rna24965	ENST00000281456.10
OG0000088	rna39894	ENST00000381401.10_PAR_Y, ENST00000381401.10
OG0000088	rna40670	ENST00000317881.8
OG0000089	rna32907	ENST00000334701.11
OG0000089	rna23490	ENST00000620073.4
OG0000091	rna17216	ENST00000552150.5
OG0000092	rna23497	ENST00000398776.1
OG0000092	rna45338	ENST00000533820.5
OG0000092	rna25987	ENST00000366872.9
OG0000092	rna25988	ENST00000295006.5
OG0000092	rna19864	ENST00000271971.6
OG0000093	rna49208, rna49131	ENST00000337537.7
OG0000093	rna25512	ENST00000261461.6
OG0000093	rna45386	ENST00000164133.6
OG0000093	rna23570	ENST00000485511.5
OG0000093	rna32910	ENST00000422945.6
OG0000094	id45717	ENST00000453673.3, ENST00000448155.2, ENST00000498574.1, ENST00000509129.1, ENST00000465170.1, ENST00000390265.2, ENST00000473726.1, ENST00000498435.1, ENST00000390278.3, ENST00000468879.1, ENST00000471857.2, ENST00000495489.1, ENST00000611391.1, ENST00000493819.1, ENST00000483379.1, ENST00000490686.1, ENST00000464162.1, ENST00000377032.5, ENST00000480492.1, ENST00000479981.1, ENST00000492446.1, ENST00000496168.1
OG0000096	rna2196	ENST00000297268.10
OG0000096	rna6207	ENST00000374866.7
OG0000096	rna6208	ENST00000304636.7
OG0000096	rna17482	ENST00000380518.7
OG0000096	rna30382	ENST00000225964.9
OG0000097	rna38290	ENST00000234590.8
OG0000097	rna39206	ENST00000323997.10
OG0000097	rna18128	ENST00000541477.5
OG0000099	rna20571	ENST00000434551.2
OG0000099	rna54374	ENST00000275200.1
OG0000099	rna20572, rna20575, rna20573	ENST00000275198.1
OG0000101	rna19184	ENST00000255136.7
OG0000101	rna9989	ENST00000318607.9
OG0000101	rna34458	ENST00000372858.7
OG0000103	rna27743	ENST00000638159.1
OG0000103	rna25206	ENST00000507069.5
OG0000103	rna27742	ENST00000274545.9
OG0000103	rna49862	ENST00000370314.8
OG0000103	rna26925	ENST00000335625.9
OG0000104	rna16811	ENST00000254488.6
OG0000104	rna18273	ENST00000397296.6
OG0000104	rna18278	ENST00000343164.8
OG0000104	rna16904	ENST00000613060.4
OG0000107	rna18178, rna14268, rna24580	ENST00000229239.9
OG0000108	rna27031	ENST00000329841.9
OG0000108	rna37091	ENST00000297785.7
OG0000108	rna32466	ENST00000261733.6
OG0000108	rna22085	ENST00000377698.3
OG0000108	rna36784	ENST00000249750.8
OG0000109	rna26471	ENST00000510515.5
OG0000109	rna40680	ENST00000343984.5
OG0000109	rna24242	ENST00000378719.6
OG0000109	rna5119	ENST00000356688.8
OG0000109	rna33700	ENST00000388975.3
OG0000110	rna28163	ENST00000304218.5
OG0000110	rna27991	ENST00000331442.4
OG0000110	rna28179	ENST00000343677.3
OG0000111	rna1533	ENST00000232564.7
OG0000111	rna33961	ENST00000303210.8
OG0000111	rna38454	ENST00000610897.4
OG0000111	rna18137	ENST00000229264.7
OG0000112	rna53421, rna53339, rna53422, rna53309, rna53345	ENST00000357366.3
OG0000114	rna19102	ENST00000373193.7
OG0000114	rna10440	ENST00000580170.5
OG0000114	rna20524	ENST00000368207.7
OG0000114	rna34764	ENST00000345512.7
OG0000115	rna21957	ENST00000374736.7
OG0000115	rna52865, rna52777	ENST00000614293.4
OG0000115	rna42858	ENST00000263094.10
OG0000115	rna12298	ENST00000370225.3
OG0000116	rna49244, rna49169	ENST00000556626.5
OG0000116	rna45177	ENST00000533211.5
OG0000116	rna4694	ENST00000615901.4
OG0000116	rna44345	ENST00000392025.5
OG0000117	rna52367	ENST00000451311.6
OG0000117	rna39773	ENST00000284856.3
OG0000117	rna45727	ENST00000289373.4, ENST00000419165.5
OG0000117	rna4187	ENST00000233143.5
OG0000118	rna54214, rna54213	ENST00000545221.1
OG0000118	rna35491	ENST00000268912.5
OG0000119	rna36085, rna36080, rna36081, rna54357, rna54358, rna36084, rna36093	ENST00000321255.1
OG0000120	rna36040, rna36041, rna36037	ENST00000408891.2, ENST00000291231.1
OG0000120	rna36039, rna36038	ENST00000615105.1
OG0000122	rna33526	ENST00000395248.5
OG0000122	rna35821	ENST00000395321.6
OG0000123	rna28669	ENST00000354650.7
OG0000123	rna34852	ENST00000374005.7
OG0000123	rna19033	ENST00000373558.2
OG0000123	rna10529	ENST00000577961.5
OG0000124	rna12707	ENST00000329654.8
OG0000124	rna13983	ENST00000340635.10
OG0000124	rna15850	ENST00000355502.7
OG0000124	rna43442	ENST00000380702.6
OG0000125	rna44458	ENST00000252699.6
OG0000125	rna38016	ENST00000538545.6
OG0000125	rna45197	ENST00000502692.5
OG0000125	rna19645	ENST00000542672.5
OG0000126	rna42011	ENST00000560611.5
OG0000126	rna9250	ENST00000422611.6
OG0000126	rna19246	ENST00000454036.6
OG0000126	rna22607	ENST00000264930.9
OG0000127	rna48024	ENST00000358741.3
OG0000127	rna39849	ENST00000382868.5, ENST00000538097.5
OG0000127	rna39299	ENST00000575301.5
OG0000127	rna1566	ENST00000457714.5
OG0000128	rna16114	ENST00000232375.7
OG0000128	rna40417	ENST00000640683.1
OG0000128	rna42778	ENST00000367080.7
OG0000128	rna52885	ENST00000375006.7
OG0000129	rna36432	ENST00000278550.11
OG0000129	rna38982	ENST00000422452.2
OG0000129	rna27757	ENST00000518659.5
OG0000129	rna24887	ENST00000511685.5
OG0000130	rna15169	ENST00000261173.6
OG0000130	rna16803	ENST00000352432.8
OG0000130	rna51689	ENST00000349466.6
OG0000130	rna42600	ENST00000357681.9
OG0000131	id581226, id583166	ENST00000390436.2, ENST00000390439.2, ENST00000390427.3
OG0000132	rna47722, rna47724, rna33321, rna33319, rna33320	ENST00000301732.9
OG0000134	id553426	ENST00000390313.2, ENST00000390308.2, ENST00000390316.2
OG0000134	id583385	ENST00000390311.2, ENST00000390305.2, ENST00000390304.2, ENST00000390315.2, ENST00000390307.2, ENST00000390303.3, ENST00000390309.2
OG0000135	rna4748, rna33218, rna44019	ENST00000291295.13
OG0000136	rna34891	ENST00000531382.5
OG0000136	rna21008	ENST00000510118.5
OG0000136	rna42072	ENST00000620340.4
OG0000136	rna42151	ENST00000379565.7
OG0000137	rna34561	ENST00000373204.5
OG0000137	rna52523	ENST00000220592.9
OG0000137	rna34563	ENST00000373210.3
OG0000137	rna34554	ENST00000373191.8
OG0000138	rna39275	ENST00000317370.12
OG0000138	rna18083	ENST00000539924.5, ENST00000075120.11
OG0000138	rna13223	ENST00000426263.7
OG0000139	rna37514	ENST00000297668.10, ENST00000377561.6
OG0000139	rna9497	ENST00000563764.2, ENST00000476707.1
OG0000139	rna5125	ENST00000431078.1
OG0000140	rna33760	ENST00000333538.9
OG0000140	rna32152	ENST00000328957.12
OG0000140	rna18209	ENST00000252318.6
OG0000140	rna49058	ENST00000227756.4
OG0000141	rna48014, rna54190, rna54192, rna50762	ENST00000374299.7
OG0000142	rna15238	ENST00000549396.5
OG0000142	rna45032	ENST00000253925.11
OG0000142	rna43865	ENST00000334186.8
OG0000142	rna42618	ENST00000367240.6
OG0000143	rna41836	ENST00000220325.8
OG0000143	rna43962	ENST00000263277.7
OG0000143	rna3772	ENST00000322054.9
OG0000143	rna45392	ENST00000621096.4
OG0000144	rna39868	ENST00000545496.5
OG0000144	rna39867	ENST00000381130.2
OG0000144	rna39866	ENST00000381127.5
OG0000144	rna39871	ENST00000381154.5
OG0000145	rna42693	ENST00000362061.3
OG0000145	rna30832	ENST00000376265.2
OG0000145	rna18336	ENST00000399634.5
OG0000145	rna16402	ENST00000288139.9
OG0000146	rna21791	ENST00000282499.9
OG0000146	rna14731	ENST00000296526.11
OG0000146	rna27617	ENST00000448073.8
OG0000146	rna38954	ENST00000622768.4
OG0000147	rna51625	ENST00000369682.4
OG0000147	rna16994	ENST00000393409.2
OG0000147	rna25454	ENST00000367033.3
OG0000147	rna3002	ENST00000321063.8
OG0000148	rna8527	ENST00000338492.8
OG0000148	rna37235	ENST00000521913.6
OG0000148	rna14055	ENST00000343218.9
OG0000148	rna31855	ENST00000324989.11
OG0000149	rna37241	ENST00000315985.7
OG0000149	rna31845	ENST00000335585.9
OG0000149	rna14062	ENST00000394414.5
OG0000149	rna8507	ENST00000455566.5
OG0000150	rna37134	ENST00000615367.4
OG0000150	rna37981	ENST00000256389.3
OG0000150	rna53835, rna53834	ENST00000603540.1
OG0000151	rna20217	ENST00000299641.8, ENST00000603027.5
OG0000151	rna14318	ENST00000264363.6
OG0000151	rna14329	ENST00000296499.5
OG0000151	rna27540	ENST00000261797.6
OG0000152	rna24533	ENST00000425967.7
OG0000152	rna8342	ENST00000457416.6
OG0000152	rna27912	ENST00000292408.8
OG0000152	rna48214	ENST00000340107.8
OG0000154	rna16670	ENST00000446702.6
OG0000154	rna21035	ENST00000528682.5
OG0000154	rna16666	ENST00000263665.6
OG0000154	rna16674	ENST00000418658.5
OG0000155	id587541, id587546	ENST00000429992.2, ENST00000620613.1, ENST00000390268.2, ENST00000491977.1, ENST00000462693.1, ENST00000484817.1, ENST00000474213.1, ENST00000468494.1, ENST00000482769.1, ENST00000453166.2
OG0000156	rna53825, rna14834, rna53826	ENST00000451256.6, ENST00000319136.8, ENST00000352371.5, ENST00000349314.6
OG0000157	rna30077	ENST00000335552.4
OG0000157	rna30073	ENST00000306658.7
OG0000157	rna30075	ENST00000301656.3
OG0000157	rna30078	ENST00000312150.4
OG0000158	rna49742	ENST00000368144.2
OG0000158	rna49746, rna49744, rna49743, rna49745	ENST00000368146.1
OG0000162	rna18783	ENST00000375852.2
OG0000162	rna37151	ENST00000259089.8
OG0000162	rna34691	ENST00000333070.4
OG0000162	rna34336	ENST00000519728.5
OG0000163	rna34616, rna34620	ENST00000373381.8
OG0000163	rna24784	ENST00000520002.5
OG0000163	rna9861	ENST00000297405.9
OG0000164	rna49543	ENST00000265969.7
OG0000164	rna50737	ENST00000477616.1
OG0000164	rna46771	ENST00000469655.5
OG0000164	rna15308	ENST00000549446.5
OG0000165	rna2	ENST00000367071.4
OG0000165	rna47416	ENST00000368698.3
OG0000165	rna48072	ENST00000296370.3
OG0000165	rna48868	ENST00000368804.5
OG0000166	rna3733	ENST00000358506.6
OG0000166	rna32446	ENST00000340766.9
OG0000166	rna45140	ENST00000312989.11
OG0000167	rna46132	ENST00000361101.8
OG0000167	rna41588	ENST00000248901.10
OG0000167	rna34142	ENST00000396741.3
OG0000167	rna43928	ENST00000427476.4
OG0000168	rna52001	ENST00000395065.7
OG0000168	rna45724	ENST00000537026.5, ENST00000625106.3, ENST00000604395.5
OG0000169	rna34049, rna53743, rna34048	ENST00000222382.5, ENST00000222982.8, ENST00000611620.4, ENST00000336374.3, ENST00000336411.6
OG0000170	rna37132	ENST00000274093.7
