Orthogroup	ursArc.longCDS.prots	ursMar.longCDS.prots
OG0000018	rna23763	rna32863
OG0000018	rna23772	rna33290
OG0000018	rna23765	rna33297
OG0000018	rna23766	rna33296
OG0000018	rna23754	rna32870
OG0000018	rna23773	rna33289
OG0000018	rna23721	rna32909
OG0000018	rna23722	rna32906
OG0000018	rna23725	rna32902
OG0000018	rna23726	rna32901
OG0000018	rna23759	rna32864
OG0000019	rna52172, rna52170	rna32549, rna32547
OG0000019	rna36109	rna33770
OG0000019	rna52169	rna32546
OG0000019	rna36111	rna33764, rna33767
OG0000019	rna36110	rna33769
OG0000019	rna36118	rna33757
OG0000019	rna36113	rna33765
OG0000019	rna52177	rna32554
OG0000019	rna52173	rna32550
OG0000019	rna52174	rna32551
OG0000019	rna52175	rna32552
OG0000020	rna49453	rna15377
OG0000020	rna49452	rna15376
OG0000020	rna49447	rna15367
OG0000020	rna49448	rna15368
OG0000020	rna49451	rna15373
OG0000020	rna49450	rna15372
OG0000020	rna49449	rna15369
OG0000020	rna54112, rna54114	rna15370
OG0000020	rna54113, rna54111	rna15375, rna15371
OG0000021	rna21975	rna30780
OG0000021	rna21976	rna30779
OG0000021	rna22144	rna30657
OG0000021	rna22145	rna30656
OG0000021	rna22142	rna30659
OG0000021	rna22143	rna30658
OG0000021	rna21969	rna30785
OG0000021	rna21974	rna30781
OG0000022	rna50751	rna23731
OG0000022	rna50577	rna4317
OG0000022	rna50748, rna50752, rna50749	rna23718
OG0000022	rna50744	rna23722
OG0000022	rna54429	rna23730
OG0000023	id578935	gene26562
OG0000023	id578940	gene26560
OG0000024	rna53530	rna23003
OG0000024	rna53528	rna23001
OG0000024	rna28978	rna23008, rna23012, rna23014
OG0000024	rna49286	rna22986, rna22979
OG0000024	rna53529	rna23002
OG0000024	rna49298	rna22965
OG0000024	rna53929	rna15204
OG0000024	rna49321	rna15222
OG0000024	rna49314	rna15212, rna15217
OG0000024	rna49323	rna15224
OG0000024	rna49325	rna15226
OG0000025	id21172	gene19084
OG0000025	id21165	gene19083
OG0000025	id21155	gene19081
OG0000025	id21135	gene19078
OG0000025	id21121	gene19075
OG0000025	id21115	gene19071
OG0000025	id21152	gene19080
OG0000025	rna1861	gene19077
OG0000025	id21144	rna25870
OG0000026	rna33309	rna18740
OG0000026	rna16336	rna26051
OG0000026	rna2419	rna6197
OG0000026	rna46136	rna15050
OG0000026	rna39505	rna8247
OG0000026	rna4194	rna22059
OG0000026	rna26004	rna1701
OG0000026	rna6119	rna7337
OG0000026	rna16452	rna25967
OG0000027	rna52185	rna32565
OG0000027	rna52188	rna32568
OG0000027	rna52184	rna32564
OG0000027	rna52183	rna32563
OG0000027	rna52181	rna32559
OG0000027	rna52180	rna32558
OG0000027	rna52179	rna32557
OG0000027	rna54345, rna54346	rna32556
OG0000027	rna52178	rna32555
OG0000028	rna30039	rna23331
OG0000028	rna30038	rna23332
OG0000028	rna30036	rna23334
OG0000028	rna30072	rna1053
OG0000028	rna30032, rna30033	rna23336
OG0000028	rna30035	rna23335
OG0000029	rna17463	rna26929
OG0000029	rna17456	rna26934
OG0000029	rna17461	rna26931
OG0000029	rna17458	rna26932
OG0000029	rna17454	rna26936
OG0000029	rna17457	rna26933
OG0000029	rna17464	rna26928
OG0000029	rna17455, rna17459	rna26935
OG0000029	rna17466	rna26926
OG0000029	rna17465	rna26927
OG0000029	rna17460	rna33120
OG0000030	rna53586	rna33278
OG0000030	rna54379	rna32633, rna32630
OG0000030	rna53584	rna33276, rna34706
OG0000030	rna36079	rna33280
OG0000030	rna36083	rna33796
OG0000030	rna53585	rna33277
OG0000031	rna15706	rna29065
OG0000031	rna15705	rna29066
OG0000031	rna15708	rna32971
OG0000031	rna15709	rna32970
OG0000031	rna15703	rna29068
OG0000031	rna15710	rna29061
OG0000031	rna15704	rna29067
OG0000032	rna27978	rna34705
OG0000032	rna52160	rna14151
OG0000032	rna52161	rna34701
OG0000032	rna51012	rna35166
OG0000032	rna51023	rna35175
OG0000033	rna11023	rna2802
OG0000033	rna22730	rna10356
OG0000033	rna22733	rna13652
OG0000033	rna22736	rna13649
OG0000033	rna22740	rna13648
OG0000033	rna22735	rna13650
OG0000033	rna11080	rna2765
OG0000033	rna19256	rna19735
OG0000034	rna53550	rna33150
OG0000034	rna42023	rna24521
OG0000034	rna42022	rna24518
OG0000034	rna42021	rna24517
OG0000034	rna42020	rna24516
OG0000034	rna53549	rna32969, rna24519
OG0000034	rna42019	rna24515
OG0000034	rna42018	rna24514
OG0000034	rna53695	rna24520, rna32968
OG0000035	rna3262	rna18841
OG0000035	rna3265	rna18838
OG0000035	rna3264	rna18839
OG0000035	rna3263	rna18840
OG0000036	rna44240	rna32695
OG0000036	rna45780	rna19324
OG0000036	rna49690	rna22713
OG0000036	rna49689	rna22712
OG0000036	rna6815	rna12872
OG0000036	rna46542	rna35253
OG0000037	id583479	gene20013
OG0000037	id582740	gene20016
OG0000037	id583832	gene20015
OG0000037	id582746	gene20017
OG0000038	rna49281	rna22990
OG0000038	rna49279	rna22992
OG0000039	rna23173	rna102, rna32764, rna28497, rna19638, rna28925
OG0000039	rna19556	rna4359, rna15901, rna8307
OG0000040	rna46795	rna26518
OG0000040	rna2031	rna5940
OG0000040	rna46794	rna26519
OG0000040	rna16233	rna26134
OG0000040	rna2035	rna5944
OG0000040	rna8956	rna24841
OG0000040	rna16235	rna26132
OG0000041	rna29398	rna6863
OG0000041	rna17819	rna14159
OG0000041	rna29397	rna6862
OG0000041	rna20920	rna8737
OG0000042	rna49235, rna49160	rna2466
OG0000042	rna21395	rna10433
OG0000042	rna44597	rna35016
OG0000042	rna54432	rna35015, rna35014
OG0000043	rna23776	rna33287
OG0000043	rna23770	rna33291
OG0000043	rna23779	rna32960
OG0000043	rna23778	rna32959, rna35725
OG0000043	rna23777	rna33286
OG0000043	rna23775	rna33288
OG0000043	rna23769	rna33292
OG0000044	rna17409	rna26969
OG0000044	rna17408	rna26971, rna30144
OG0000044	rna40387	rna27894
OG0000044	rna18378	rna27214
OG0000044	rna42632	rna4753
OG0000044	rna5626	rna11099
OG0000044	rna17407	rna26970
OG0000044	rna48487	rna19137, rna19143
OG0000046	rna49758	rna22777
OG0000046	rna53866	rna22783, rna22784, rna22785
OG0000046	rna49764	rna22790
OG0000046	rna49766	rna22788
OG0000046	rna49760	rna22778
OG0000046	rna49762	rna22781
OG0000047	rna49727	rna22739
OG0000047	rna49724	rna22736
OG0000047	rna49723	rna22734
OG0000047	rna53994, rna53991	rna22775
OG0000047	rna49721	rna22732
OG0000048	rna632	rna10147
OG0000048	rna53861	rna10141
OG0000048	rna629	rna10143
OG0000048	rna628	rna10140
OG0000048	rna631	rna10144
OG0000048	rna634	rna10148
OG0000048	rna54435, rna54434	rna10138
OG0000049	rna23789	rna35734
OG0000049	rna23790	rna35737
OG0000049	rna23793	rna35738
OG0000049	rna23791	rna35736
OG0000049	rna23788	rna35733
OG0000049	rna23781	rna35726
OG0000049	rna23782	rna35727
OG0000050	rna43371	rna27999
OG0000050	rna43366	rna27993
OG0000050	rna43369	rna27997
OG0000050	rna43370	rna27998
OG0000050	rna43368	rna27996
OG0000050	rna43364	rna27991
OG0000050	rna43363	rna27990
OG0000050	rna43365	rna27992
OG0000050	rna43367	rna27994
OG0000051	rna30048	rna23323
OG0000051	rna53878	rna23321
OG0000051	rna53877	rna23322
OG0000051	rna30042	rna23328
OG0000051	rna30040	rna23330
OG0000051	rna30041	rna23329
OG0000052	rna51964	rna29222, rna29220
OG0000052	rna51867	rna29119
OG0000053	rna28329	rna13906
OG0000055	rna31319, rna31321	rna20631
OG0000055	rna31318	rna20635
OG0000055	rna31316	rna20636
OG0000055	rna31315	rna20638
OG0000055	rna31320	rna20629
OG0000056	rna52187	rna32567
OG0000056	rna52186	rna32566
OG0000056	rna52182	rna32560
OG0000056	rna54046	rna32561
OG0000056	rna48309	rna34054
OG0000057	rna31322	rna20628
OG0000057	rna31314	rna20639
OG0000057	rna54078, rna54077	rna20637
OG0000057	rna31313	rna20640
OG0000057	rna31312	rna20641
OG0000057	rna31331	rna20619
OG0000057	rna31333	rna20618
OG0000058	rna52232	rna32619
OG0000058	rna52231	rna32618
OG0000058	rna52233	rna32620
OG0000058	rna52234	rna32621
OG0000058	rna54365, rna54366	rna32622
OG0000058	rna52235	rna32623
OG0000059	rna50576	rna4320
OG0000059	rna53438	rna23728
OG0000059	rna53884	rna4318, rna4321
OG0000059	rna53440	rna23723
OG0000059	rna53961, rna53960, rna50746	rna23719
OG0000060	rna36129	rna33748
OG0000060	rna36130	rna33747
OG0000060	rna36136	rna33736
OG0000060	rna36123	rna33753
OG0000060	rna36117	rna33758
OG0000060	rna36124	rna33752
OG0000060	rna36116	rna33759
OG0000060	rna36125	rna33751
OG0000061	rna53838, rna53840, rna53833	rna33293
OG0000062	rna52214	rna32591
OG0000062	rna52192	rna32574
OG0000062	rna52193	rna32575
OG0000063	id583169	gene26067
OG0000063	id589360, id581238	gene25715
OG0000063	id581220	gene26064, gene26061
OG0000063	id589406, id581241	gene26072
OG0000063	id583176	gene24266
OG0000063	id581355	gene26069
OG0000065	rna46756	rna26552
OG0000065	rna18206	rna35610
OG0000065	rna46750	rna26555
OG0000065	rna18205	rna35609
OG0000065	rna43873	rna4126
OG0000065	rna18208	rna32317
OG0000066	rna7696	rna4538
OG0000066	rna40556	rna32292
OG0000066	rna5529	rna11035
OG0000066	rna5530	rna11036
OG0000066	rna40555	rna18754
OG0000066	rna7697	rna4536
OG0000067	rna14832	rna28172
OG0000067	rna39439	rna8202
OG0000067	rna50740	rna4192
OG0000068	rna30505	rna17875
OG0000068	rna30503	rna17873
OG0000068	rna42102	rna17861
OG0000068	rna30492	rna17867
OG0000068	rna30491	rna17866
OG0000069	rna24761	rna28761
OG0000070	rna53506	rna24100, rna10151
OG0000070	rna635	rna10152, rna10149
OG0000070	rna53507	rna10153
OG0000070	rna636	rna10150
OG0000070	rna53505	rna10154
OG0000071	rna23723	rna32905
OG0000071	rna54060	rna32907
OG0000071	rna23727	rna32900
OG0000071	rna53919	rna33081
OG0000071	rna23706	rna33080
OG0000072	rna17048	rna34722
OG0000072	rna17052	rna34726
OG0000072	rna17051	rna34725
OG0000072	rna17045, rna17049	rna34723, rna34719
OG0000072	rna17046	rna34720
OG0000072	rna17050	rna34724
OG0000073	rna53532	rna23005
OG0000073	rna28981	rna23016
OG0000073	rna28980	rna23015
OG0000074	rna49365	rna15279
OG0000074	rna49367	rna15281
OG0000074	rna49366	rna15280
OG0000074	rna53731, rna53734	rna15271
OG0000074	rna49363	rna15277
OG0000074	rna49361	rna15275
OG0000074	rna53733, rna53736	rna15273
OG0000074	rna49364	rna15278
OG0000074	rna49369	rna15283
OG0000075	rna53998	rna3892
OG0000075	rna53702	rna3890
OG0000075	rna53997	rna3891
OG0000075	rna44280	rna32671
OG0000077	rna95, rna91	rna33197
OG0000077	rna97, rna84, rna94	rna33199
OG0000078	rna53156	rna15400
OG0000078	rna53158	rna15402
OG0000078	rna53159	rna15403
OG0000078	rna53160	rna15404
OG0000078	rna53161	rna15405
OG0000078	rna53157	rna15401
OG0000079	rna36166	rna30065
OG0000079	rna36167	rna30066
OG0000079	rna52211	rna32587
OG0000079	rna36164	rna30063
OG0000079	rna36165	rna30064
OG0000079	rna36163	rna30062
OG0000079	rna36162	rna30061
OG0000080	rna6351	rna7184
OG0000080	rna17092	rna27183
OG0000081	rna17241	rna27067
OG0000081	rna17243	rna27066
OG0000081	rna53935	rna27065
OG0000082	rna33422	rna4801
OG0000082	rna33356	rna18691
OG0000082	rna47656	rna18267
OG0000082	rna39521	rna8254, rna8257, rna32310
OG0000084	rna49359	rna15265
OG0000084	rna49360	rna15270
OG0000084	rna49351	rna15255
OG0000084	rna53953	rna15267
OG0000085	rna53503	rna33269
OG0000085	rna53777	rna36078
OG0000085	rna53305	rna36080, rna36070
OG0000085	rna53306	rna36071
OG0000085	rna53312	rna32996
OG0000085	rna53876	rna32957
OG0000086	rna12390	rna11215
OG0000086	rna12395	rna11222
OG0000086	rna12393	rna11220
OG0000086	rna12396	rna11224
OG0000087	rna50602	rna4292
OG0000087	rna50604	rna4290
OG0000087	rna50600	rna4294
OG0000087	rna50599	rna4297
OG0000089	rna32907	rna36261
OG0000089	rna23490	rna12631
OG0000091	rna17216	rna27091
OG0000091	rna17245	rna27060
OG0000092	rna23497	rna12642
OG0000092	rna45338	rna31987
OG0000092	rna25987	rna1716
OG0000092	rna25988	rna1714
OG0000092	rna19864	rna9975
OG0000093	rna49208, rna49131	rna2486
OG0000093	rna25512	rna23254
OG0000093	rna45386	rna31957
OG0000093	rna23570	rna12690
OG0000093	rna32910	rna36263
OG0000094	id45717	gene16288
OG0000096	rna2196	rna6054
OG0000096	rna6207	rna7283
OG0000096	rna6208	rna7282
OG0000096	rna17482	rna26912
OG0000096	rna30382	rna822
OG0000097	rna38290	rna16159
OG0000097	rna39206	rna8077
OG0000097	rna18128	rna35540
OG0000099	rna20571	rna11813
OG0000099	rna20574	rna11809
OG0000099	rna54374	rna11812
OG0000099	rna20572	rna11811
OG0000099	rna20575, rna20573	rna11808, rna11810
OG0000101	rna19184	rna19788
OG0000101	rna9989	rna9544
OG0000101	rna34458	rna15514
OG0000102	rna50089	rna30316
OG0000103	rna27743	rna13259
OG0000103	rna25206	rna23527
OG0000103	rna27742	rna13260
OG0000103	rna49862	rna5266
OG0000103	rna26925	rna28983
OG0000104	rna16811	rna19561
OG0000104	rna18273	rna27267
OG0000104	rna18278	rna27266
OG0000104	rna16904	rna19485
OG0000106	id591311	gene26822
OG0000106	id581872	gene26821
OG0000106	id587022, id581866	gene26820
OG0000107	rna14268	rna4547
OG0000107	rna24580	rna3857
OG0000108	rna27031	rna7609
OG0000108	rna37091	rna11708, rna11709
OG0000108	rna32466	rna9172
OG0000108	rna22085	rna30707
OG0000108	rna36784	rna28633
OG0000109	rna26471	rna14335
OG0000109	rna24242	rna12466
OG0000109	rna5119	rna35371
OG0000109	rna33700	rna20392
OG0000110	rna28163	rna13957
OG0000110	rna53631	rna13963
OG0000110	rna28179	rna13948
OG0000111	rna1533	rna27810
OG0000111	rna33961	rna20224
OG0000111	rna38454	rna34734
OG0000111	rna18137	rna35547
OG0000112	rna53421	rna34161
OG0000112	rna53422	rna32724, rna34162
OG0000114	rna19102	rna19831
OG0000114	rna10440	rna1097
OG0000114	rna20524	rna11851
OG0000114	rna34764	rna15717
OG0000115	rna21957	rna30793
OG0000115	rna52865, rna52777	rna26687
OG0000115	rna42858	rna34282
OG0000115	rna12298	rna19286
OG0000116	rna49244, rna49169	rna2462
OG0000116	rna45177	rna32087
OG0000116	rna4694	rna21746
OG0000116	rna44345	rna8965
OG0000117	rna39773	rna35419
OG0000117	rna45727, rna4187	rna6512
OG0000118	rna54214, rna54213	rna16884, rna16885
OG0000118	rna54455, rna54454	rna16887
OG0000118	rna35491	rna16888
OG0000119	rna36085	rna33794
OG0000119	rna36080	rna33281
OG0000119	rna36081	rna33282
OG0000119	rna54357, rna54358	rna33786
OG0000119	rna36084	rna33795
OG0000120	rna36040	rna16528
OG0000120	rna36041	rna16527
OG0000120	rna36039	rna16529
OG0000120	rna36038	rna16530
OG0000122	rna33526	rna4866
OG0000122	rna35821	rna16654
OG0000123	rna28669	rna28848
OG0000123	rna34852	rna15778
OG0000123	rna19033	rna19879
OG0000123	rna10529	rna1147
OG0000124	rna12707	rna32401, rna11422
OG0000124	rna13983	rna12148
OG0000124	rna15850	rna26402
OG0000124	rna43442	rna30971
OG0000125	rna44458	rna8894
OG0000125	rna38016	rna2384
OG0000125	rna45197	rna32079
OG0000125	rna19645	rna10120
OG0000126	rna42011	rna24507
OG0000126	rna9250	rna24645
OG0000126	rna19246	rna19743
OG0000126	rna22607	rna31690
OG0000127	rna48024	rna35389
OG0000127	rna39849	rna15483
OG0000127	rna39299	rna8124
OG0000127	rna1566	rna27828
OG0000128	rna16114	rna26205
OG0000128	rna40417	rna27911
OG0000128	rna42778	rna4640
OG0000128	rna52885	rna34797
OG0000129	rna36432	rna30246
OG0000129	rna38982	rna30247, rna32763
OG0000129	rna27757	rna13252
OG0000129	rna24887	rna32254
OG0000130	rna15169	rna7722
OG0000130	rna16803	rna19562
OG0000130	rna51689	rna32228
OG0000130	rna42600	rna4777
OG0000131	id583166	gene25716
OG0000132	rna47722	rna18302
OG0000132	rna47724	rna18303
OG0000132	rna33321	rna18730
OG0000132	rna33319	rna18732
OG0000132	rna33320	rna18731
OG0000134	id553426	gene14047
OG0000134	id583385	gene20010
OG0000135	rna4748	rna21715
OG0000135	rna33218	rna2125
OG0000136	rna34891	rna15808
OG0000136	rna21008	rna8656
OG0000136	rna42072	rna22619
OG0000136	rna42151	rna17836
OG0000137	rna34561	rna15580
OG0000137	rna52523	rna20827
OG0000137	rna34563	rna15582
OG0000137	rna34554	rna15579
OG0000138	rna39275	rna8111
OG0000138	rna18083	rna35498
OG0000138	rna13223	rna21197
OG0000139	rna37514	rna11589
OG0000139	rna9497	rna10192
OG0000139	rna5125	rna10787
OG0000140	rna33760	rna20342
OG0000140	rna32152	rna31201
OG0000140	rna18209	rna35611
OG0000140	rna49058	rna35076
OG0000141	rna48014	rna35401
OG0000141	rna50762	rna23706
OG0000142	rna15238	rna33352
OG0000142	rna45032	rna21514
OG0000142	rna43865	rna4130
OG0000142	rna42618	rna4762
OG0000143	rna41836	rna24383
OG0000143	rna43962	rna4067
OG0000143	rna3772	rna22360
OG0000143	rna45392	rna31953
OG0000144	rna39868	rna15473
OG0000144	rna39867	rna15474
OG0000144	rna39866	rna15475
OG0000144	rna39871	rna15472
OG0000145	rna42693	rna4708
OG0000145	rna30832	rna116
OG0000145	rna18336	rna27240
OG0000145	rna16402	rna26007
OG0000146	rna21791	rna10707
OG0000146	rna14731	rna5182
OG0000146	rna27617	rna13348
OG0000146	rna38954	rna32752
OG0000147	rna51625	rna32189
OG0000147	rna16994	rna19424
OG0000147	rna25454	rna23297
OG0000147	rna3002	rna35183
OG0000148	rna8527	rna670
OG0000148	rna37235	rna24194
OG0000148	rna14055	rna12196
OG0000148	rna31855	rna5433
OG0000149	rna37241	rna24199
OG0000149	rna31845	rna5428
OG0000149	rna14062	rna12200
OG0000149	rna8507	rna659
OG0000150	rna37134	rna27514
OG0000150	rna37135	rna27515
OG0000150	rna37981	rna2360
OG0000150	rna53835, rna53834	rna2362
OG0000151	rna20217	rna17449
OG0000151	rna14318	rna9869
OG0000151	rna14329	rna9875
OG0000151	rna27540	rna13400
OG0000152	rna24533	rna6498
OG0000152	rna8342	rna571
OG0000152	rna27912	rna13139
OG0000152	rna48214	rna2884
OG0000154	rna16670	rna25444
OG0000154	rna21035	rna8586
OG0000154	rna16666	rna25440
OG0000154	rna16674	rna25445
OG0000155	id587541	gene16287
OG0000156	rna53825	rna28185
OG0000156	rna14834, rna53826	rna28173
OG0000157	rna30077	rna1048
OG0000157	rna30073	rna1050
OG0000157	rna30075	rna1049
OG0000157	rna30078	rna1046
OG0000158	rna49742	rna22762
OG0000158	rna49746	rna22765
OG0000158	rna49744	rna22764
OG0000158	rna49743	rna22763
OG0000162	rna18783	rna25527
OG0000162	rna37151	rna27522
OG0000162	rna34691	rna15677
OG0000162	rna34336	rna29393
OG0000163	rna34616, rna34620	rna15616
OG0000163	rna24784	rna31782
OG0000163	rna9861	rna9645
OG0000164	rna49543	rna31881
OG0000164	rna50737	rna4194
OG0000164	rna46771	rna26542
OG0000164	rna15308	rna3853
OG0000165	rna2	rna33153
OG0000165	rna48072	rna2952
OG0000165	rna48868	rna16944
OG0000166	rna3733	rna22381
OG0000166	rna32446	rna9160
OG0000166	rna45140	rna32109
OG0000167	rna46132	rna15052
OG0000167	rna41588	rna28133
OG0000167	rna43928	rna4093
OG0000168	rna52001	rna2650
OG0000168	rna45724	rna2691
OG0000168	rna54355, rna54353	rna2675
OG0000169	rna34049	rna20153
OG0000169	rna53743	rna20152
OG0000169	rna34048	rna20154
OG0000170	rna37132	rna27513
OG0000170	rna27606	rna13355
OG0000170	rna39742	rna17773
OG0000170	rna52044	rna2704
OG0000171	rna30719	rna170
OG0000171	rna19670	rna10114
OG0000172	rna3204	rna18888
OG0000172	rna54091, rna53940	rna18896
OG0000172	rna54100	rna18895
OG0000173	id578919	rna29032
OG0000174	rna37035	rna11734
OG0000174	rna37028	rna11741
OG0000174	rna43042	rna34373
OG0000174	rna40140	rna31448
OG0000175	rna54280	rna33689
OG0000175	rna54284	rna33695
OG0000175	rna53453	rna33693
OG0000175	rna53308	rna33687, rna36073
OG0000176	rna14301	rna9857
OG0000176	rna27530	rna13407
OG0000176	rna20218	rna17452
OG0000177	rna10499	rna1128
OG0000177	rna18981	rna19909
OG0000178	rna17479	rna26916
OG0000178	rna116	rna33206
OG0000178	rna40368	rna25075
OG0000179	rna53494, rna52934, rna52932, rna53712, rna45631	rna35917
OG0000180	rna33688	rna4988
OG0000180	rna33684	rna4985
OG0000180	rna33689	rna4989
OG0000181	rna53153	rna15395, rna15394
OG0000182	rna29492	rna14827
OG0000182	rna29491	rna14829
OG0000182	rna29503	rna14818
OG0000182	rna29497	rna14826
OG0000183	rna36948	rna34922
OG0000183	rna36947	rna34923
OG0000183	rna36891	rna34954
OG0000184	rna49381	rna15299
OG0000184	rna49383	rna15302
OG0000184	rna49382	rna15301
OG0000185	rna49330	rna15232
OG0000185	rna49331	rna15233
OG0000185	rna49332	rna15234
OG0000185	rna49327	rna15229
OG0000185	rna49329	rna15231
OG0000186	rna53303	rna36069
OG0000186	rna53812	rna33450
OG0000187	rna38572	rna18650
OG0000187	rna38569	rna18651
OG0000187	rna33286	rna32345
OG0000188	rna48348	rna34025
OG0000188	rna48346	rna34027
OG0000188	rna48349	rna34024
OG0000188	rna48358	rna34015, rna35887, rna35885
OG0000189	rna1455	rna27748
OG0000189	rna1454	rna27747
OG0000189	rna1457	rna27751
OG0000189	rna1456	rna27749
OG0000190	id35538	gene13919
OG0000191	rna49390	rna15313
OG0000191	rna49392	rna15315
OG0000191	rna49389	rna15310, rna15311, rna15312
OG0000192	rna13218	rna21193
OG0000192	rna13216	rna21191
OG0000192	rna13215	rna21187
OG0000192	rna13217	rna21192
OG0000193	rna41241	rna25139
OG0000193	rna16127	rna26198
OG0000193	rna46824	rna26491
OG0000194	rna51645	rna32205
OG0000194	rna14784	rna5216
OG0000194	rna16397	rna26013
OG0000195	rna32218	rna9007
OG0000195	rna32220	rna9008
OG0000195	rna32217	rna9006
OG0000195	rna32209	rna9001
OG0000196	rna50589	rna4304
OG0000197	rna42001	rna24497
OG0000197	rna44463	rna8891
OG0000197	rna19653	rna10117
OG0000198	rna24890	rna32252
OG0000198	rna53351	rna35667
OG0000198	rna39804, rna54121	rna17739
OG0000198	rna27762	rna13251
OG0000199	rna1211	rna31221
OG0000199	rna39260	rna8103
OG0000199	rna48011	rna35403
OG0000200	rna37244	rna24201
OG0000200	rna27693	rna13296
OG0000200	rna8487	rna653
OG0000201	rna16692	rna19631
OG0000201	rna17742	rna14206
OG0000201	rna44724	rna14517
OG0000202	rna47236	rna18020
OG0000202	rna23000	rna13491
OG0000202	rna42813, rna40194	rna34259, rna31416
OG0000203	rna36573	rna36038
OG0000203	rna53404	rna36042
OG0000205	rna39319	rna8136
OG0000205	rna1355	rna27678
OG0000206	rna43382	rna28011
OG0000206	rna43381	rna28010
OG0000206	rna43379	rna28008
OG0000206	rna43380	rna28009
OG0000207	rna17330	rna27016
OG0000207	rna4	rna33155
OG0000207	rna40353	rna25065
OG0000208	rna53922	rna15241
OG0000208	rna49338	rna15242, rna15243
OG0000209	rna49371	rna15285
OG0000209	rna49362	rna15274, rna15276
OG0000209	rna53735, rna53732	rna15272
OG0000210	rna287	rna24046
OG0000210	rna289	rna24045
OG0000210	rna290	rna24039
OG0000212	rna36569	rna26830
OG0000212	rna36568	rna26828
OG0000213	rna33023	rna1982
OG0000213	rna44072	rna3999
OG0000213	rna3946	rna22244
