Orthogroup	homSap.longCDS.prots	ursMar.longCDS.prots
OG0000012	ENST00000341493.3	rna35639, rna35647, rna35646, rna35645, rna35644
OG0000012	ENST00000328064.2	rna8368
OG0000012	ENST00000306842.2	rna8370
OG0000013	ENST00000617380.1, ENST00000519479.1	rna12267
OG0000013	ENST00000576222.1	rna12269
OG0000013	ENST00000522605.1	rna12265
OG0000013	ENST00000520790.1	rna12266
OG0000013	ENST00000252085.3	rna12264
OG0000013	ENST00000517417.2	rna12271
OG0000013	ENST00000518069.1	rna12270
OG0000013	ENST00000398610.2	rna12262
OG0000014	ENST00000217133.1	rna21258
OG0000014	ENST00000327892.12	rna13874
OG0000015	ENST00000339282.11	rna34916
OG0000015	ENST00000598753.1, ENST00000435033.1, ENST00000547473.1, ENST00000430024.5, ENST00000543802.2, ENST00000323169.9	rna34917
OG0000015	ENST00000622593.4, ENST00000590798.1, ENST00000343949.9, ENST00000429654.6, ENST00000304060.9, ENST00000304030.2, ENST00000439326.7, ENST00000547628.1, ENST00000344980.10, ENST00000439556.2, ENST00000334213.9, ENST00000242804.8, ENST00000293725.9, ENST00000356109.9, ENST00000301547.9, ENST00000430385.3, ENST00000595562.1, ENST00000357901.4, ENST00000341191.10, ENST00000343979.5, ENST00000361113.9	rna30920
OG0000017	ENST00000578186.2, ENST00000244537.5, ENST00000615164.2, ENST00000615353.1, ENST00000634956.1	rna14047
OG0000017	ENST00000614247.1	rna17080, rna29792, rna13962
OG0000018	ENST00000317996.1, ENST00000318021.3, ENST00000319968.4	rna33298, rna32863, rna33290, rna33297, rna33296, rna32870, rna33289, rna32909, rna32906, rna32902, rna32901, rna32864
OG0000019	ENST00000316987.3	rna32549, rna32547, rna33770
OG0000019	ENST00000610445.1	rna32546
OG0000019	ENST00000321522.2	rna33764, rna33767
OG0000019	ENST00000445557.1	rna33769, rna33757, rna33765
OG0000019	ENST00000379946.2, ENST00000537935.1	rna32554, rna32550, rna32551, rna32552
OG0000020	ENST00000302572.2	rna15377
OG0000020	ENST00000302581.2	rna15372
OG0000020	ENST00000357377.3	rna15369, rna15370
OG0000020	ENST00000309403.2	rna15374, rna15375, rna15371
OG0000021	ENST00000374781.2	rna30780
OG0000021	ENST00000277216.3	rna30779
OG0000021	ENST00000341959.2	rna30657, rna30656, rna32669, rna16492
OG0000021	ENST00000424348.1	rna30659, rna30658
OG0000021	ENST00000335040.1	rna30785, rna30781
OG0000022	ENST00000339986.7, ENST00000465049.6, ENST00000456806.2, ENST00000355095.8, ENST00000590202.2	rna23731
OG0000022	ENST00000600810.1, ENST00000311015.7	rna4317, rna23716, rna23713, rna23718, rna23722, rna23720, rna23730
OG0000023	ENST00000390285.4, ENST00000390297.3, ENST00000390294.2, ENST00000390301.3, ENST00000390290.3, ENST00000390299.2, ENST00000390291.2	gene26562, gene26560
OG0000024	ENST00000335238.4	rna23003
OG0000024	ENST00000319813.3	rna23008, rna23012, rna23014
OG0000024	ENST00000314644.2	rna22986, rna22979
OG0000024	ENST00000328188.1, ENST00000555099.1	rna23002, rna22965, rna15204, rna15222, rna15212, rna15217, rna15224, rna15203, rna15226
OG0000025	ENST00000443402.6, ENST00000436911.6	gene19081
OG0000026	ENST00000261383.3	rna18740
OG0000026	ENST00000420323.6	rna26051
OG0000026	ENST00000620169.4	rna6197
OG0000026	ENST00000389840.6	rna15050
OG0000026	ENST00000262442.8	rna8247
OG0000026	ENST00000389394.7	rna22059
OG0000026	ENST00000430092.5	rna1701
OG0000026	ENST00000312428.10	rna7337
OG0000026	ENST00000495027.5	rna25967
OG0000027	ENST00000317254.3	rna32565, rna32568, rna32564, rna32563
OG0000027	ENST00000317093.2	rna32559
OG0000027	ENST00000317078.1	rna32558
OG0000027	ENST00000317037.2	rna32557, rna32556, rna32555
OG0000028	ENST00000246635.7	rna23331
OG0000028	ENST00000254043.7	rna23332
OG0000028	ENST00000246662.8	rna23334
OG0000028	ENST00000269576.5	rna1053
OG0000028	ENST00000311208.12	rna23336
OG0000028	ENST00000167586.6	rna23335
OG0000029	ENST00000310194.1	rna26929, rna26934, rna26931, rna26932, rna26936, rna26933, rna26928, rna26935, rna26926, rna26927, rna33120
OG0000030	ENST00000380367.1	rna33278, rna32633, rna32630, rna33276, rna34706
OG0000030	ENST00000307388.1	rna33280, rna33796, rna33277, rna33279
OG0000031	ENST00000322107.1, ENST00000305892.1	rna29065, rna29066, rna32972, rna29062, rna32971, rna29064, rna32970, rna29063
OG0000031	ENST00000308940.8, ENST00000334920.3, ENST00000305899.4	rna29068, rna29061, rna29067
OG0000032	ENST00000307832.2	rna36062, rna34699, rna34705, rna33388, rna36061, rna34700, rna34703, rna34702, rna14151, rna34701
OG0000032	ENST00000320002.3	rna35166, rna35175
OG0000033	ENST00000262717.8	rna2802
OG0000033	ENST00000382275.5	rna10356
OG0000033	ENST00000504376.6	rna13652
OG0000033	ENST00000231021.8	rna13649
OG0000033	ENST00000265071.2	rna13648
OG0000033	ENST00000264463.8	rna13650
OG0000033	ENST00000323011.7	rna2765
OG0000033	ENST00000372262.7	rna19735
OG0000034	ENST00000426406.2, ENST00000332831.3, ENST00000456475.1, ENST00000320901.3	rna33150, rna24521
OG0000034	ENST00000332238.4	rna24518
OG0000034	ENST00000328882.5	rna24517
OG0000035	ENST00000408906.2	rna18841
OG0000035	ENST00000408949.2	rna18838, rna18839
OG0000035	ENST00000408899.2, ENST00000408979.2	rna18835, rna18837, rna18836
OG0000035	ENST00000315453.3, ENST00000493325.1	rna18834
OG0000035	ENST00000408898.2	rna18840
OG0000036	ENST00000441343.5	rna32695
OG0000036	ENST00000295598.9	rna19324
OG0000036	ENST00000361216.7	rna22713
OG0000036	ENST00000368081.8	rna22712
OG0000036	ENST00000218548.10	rna12872
OG0000036	ENST00000262623.3	rna35253
OG0000037	ENST00000390310.2, ENST00000390312.2, ENST00000390306.2, ENST00000390314.2, ENST00000620395.2, ENST00000390287.2	gene20013, gene20016, gene20015, gene20014, gene20017
OG0000038	ENST00000314706.3	rna22990
OG0000038	ENST00000314721.3, ENST00000319760.7, ENST00000418689.1	rna22991
OG0000038	ENST00000446524.1	rna22992, rna22994, rna23000, rna22998, rna22999, rna22993, rna22996, rna22995
OG0000039	ENST00000316292.13	rna102, rna32764, rna28497, rna19638, rna28925
OG0000039	ENST00000298049.11	rna4359, rna15901, rna8307
OG0000040	ENST00000369851.5	rna26518
OG0000040	ENST00000351004.7	rna5940
OG0000040	ENST00000351050.7	rna26519
OG0000040	ENST00000232461.7	rna26134
OG0000040	ENST00000398291.3	rna5944
OG0000040	ENST00000262493.11	rna24841
OG0000040	ENST00000313601.10	rna26132
OG0000041	ENST00000540430.5	rna6863
OG0000041	ENST00000396076.5	rna23220, rna27784, rna14159
OG0000041	ENST00000541669.5	rna6862
OG0000041	ENST00000307144.5	rna8737
OG0000041	ENST00000396213.7	rna6861
OG0000042	ENST00000394709.2	rna2466
OG0000042	ENST00000375654.4	rna35016
OG0000042	ENST00000375650.4, ENST00000375651.6	rna35015, rna35014
OG0000043	ENST00000359682.2, ENST00000317965.3, ENST00000366476.1, ENST00000456743.2	rna33287, rna33291
OG0000043	ENST00000306687.1	rna32960, rna32959, rna35725, rna33285, rna33286, rna33288, rna33292
OG0000044	ENST00000336023.9	rna26969
OG0000044	ENST00000301071.11	rna26971, rna30144
OG0000044	ENST00000380419.7	rna27894
OG0000044	ENST00000416740.1	rna27214
OG0000044	ENST00000248437.8	rna11099
OG0000044	ENST00000541364.5	rna26970
OG0000044	ENST00000400113.7, ENST00000312988.8, ENST00000321253.6	rna19137, rna19143
OG0000046	ENST00000368167.7	rna22777
OG0000046	ENST00000368168.3	rna22778
OG0000046	ENST00000368170.7	rna22781
OG0000047	ENST00000423932.4	rna22737, rna22735, rna22739
OG0000047	ENST00000504970.1	rna22736
OG0000047	ENST00000332217.5	rna22734
OG0000047	ENST00000334857.3	rna22732
OG0000049	ENST00000366473.3, ENST00000328570.4, ENST00000366475.1	rna35735, rna35739, rna35734, rna35737, rna35738, rna35736, rna35733, rna35726, rna35727
OG0000050	ENST00000305444.2	rna27999
OG0000050	ENST00000541538.1	rna27997, rna27998, rna27996, rna27995
OG0000050	ENST00000305456.2	rna27991, rna27990, rna27992, rna27994
OG0000051	ENST00000007735.3, ENST00000251646.7, ENST00000251645.2, ENST00000394001.1	rna23323, rna23321, rna23320, rna23322
OG0000051	ENST00000225899.3	rna23328
OG0000051	ENST00000328119.10	rna23330
OG0000051	ENST00000393989.1	rna23329
OG0000052	ENST00000334181.4, ENST00000307658.11, ENST00000596400.1, ENST00000282282.3, ENST00000336128.11, ENST00000597658.1	rna29222, rna29220
OG0000052	ENST00000396154.6, ENST00000512439.6, ENST00000282308.3, ENST00000317178.9, ENST00000594684.1, ENST00000339656.7, ENST00000312026.5, ENST00000598031.1, ENST00000425570.7, ENST00000391701.1, ENST00000594901.1, ENST00000435989.6, ENST00000376233.7, ENST00000332854.10, ENST00000254166.3	rna29119
OG0000053	ENST00000614012.4, ENST00000449934.6, ENST00000252229.6	rna13906
OG0000053	ENST00000376630.4, ENST00000376828.6, ENST00000259951.11, ENST00000376806.9, ENST00000412585.6, ENST00000383329.7	rna22997, rna32958
OG0000054	ENST00000307360.5, ENST00000398631.2, ENST00000531613.1, ENST00000529310.5, ENST00000526136.1, ENST00000504120.3, ENST00000529859.1, ENST00000530339.1, ENST00000525929.1, ENST00000532602.1, ENST00000522353.2, ENST00000398640.6	rna12305, rna12309, rna12307, rna12308, rna12306, rna12303, rna12302, rna12304
OG0000055	ENST00000335302.5	rna20631
OG0000055	ENST00000340750.1	rna20630
OG0000055	ENST00000259357.3	rna20632, rna20635, rna20636, rna20638, rna20633, rna20634, rna20629
OG0000056	ENST00000317121.4	rna32567, rna32566, rna32560, rna32561, rna32562
OG0000056	ENST00000316529.3	rna34055, rna34054, rna34056
OG0000057	ENST00000304865.3	rna20628, rna20639, rna20637, rna20640
OG0000057	ENST00000373686.1	rna20619
OG0000057	ENST00000304820.3	rna20618
OG0000058	ENST00000380219.1	rna32619
OG0000058	ENST00000300773.3	rna32620
OG0000058	ENST00000624187.1	rna32622
OG0000058	ENST00000380224.1	rna32623
OG0000059	ENST00000398696.3	rna4320, rna23728, rna4318, rna4321, rna23729, rna23727, rna23723, rna23719, rna23714, rna23715, rna23717
OG0000060	ENST00000359350.4	rna33748
OG0000060	ENST00000380371.1, ENST00000380373.3	rna33747, rna33736, rna33753, rna33758, rna33752, rna33759, rna33751
OG0000061	ENST00000358120.2	rna33293
OG0000062	ENST00000322653.5	rna32595, rna32593, rna32591, rna32574, rna32575, rna32592, rna32596, rna32594
OG0000063	ENST00000390441.2, ENST00000390431.3	gene26067, gene25715, gene26064, gene26061, gene26072, gene24367, gene24266, gene26069
OG0000065	ENST00000633222.1	rna26552
OG0000065	ENST00000382545.4	rna35610
OG0000065	ENST00000369769.3	rna26555
OG0000065	ENST00000252321.4	rna35609
OG0000065	ENST00000221444.1	rna4126
OG0000065	ENST00000280684.3	rna32317
OG0000066	ENST00000375820.8	rna4538
OG0000066	ENST00000328300.10	rna32292
OG0000066	ENST00000396578.7	rna11035
OG0000066	ENST00000396625.3	rna11036
OG0000066	ENST00000394872.6	rna18754
OG0000066	ENST00000360467.5	rna4536
OG0000067	ENST00000216181.9	rna28172
OG0000067	ENST00000396324.7	rna18595
OG0000067	ENST00000360416.7	rna8202
OG0000067	ENST00000601313.5	rna4192
OG0000068	ENST00000378981.7, ENST00000378982.3, ENST00000378988.4	rna17875, rna17873
OG0000068	ENST00000325250.1	rna17861
OG0000068	ENST00000356790.2	rna17867, rna17866
OG0000069	ENST00000504543.1, ENST00000511681.1, ENST00000515574.1, ENST00000621388.1, ENST00000610514.1, ENST00000621472.1, ENST00000622713.1, ENST00000613757.1, ENST00000613973.1, ENST00000619296.1, ENST00000421288.3, ENST00000614762.1, ENST00000616303.1, ENST00000622009.1, ENST00000615989.1, ENST00000621432.2, ENST00000506619.2, ENST00000415041.1, ENST00000507227.1, ENST00000504104.1, ENST00000526929.1, ENST00000527080.1, ENST00000529559.1, ENST00000530484.1, ENST00000333796.3, ENST00000530447.4	rna28761
OG0000071	ENST00000366480.4	rna32905, rna32908, rna32907, rna32904, rna32900, rna33081, rna33080, rna33079, rna33082, rna32865
OG0000072	ENST00000305377.5	rna34722, rna34726, rna34725, rna34723, rna34719, rna34720, rna34724
OG0000073	ENST00000568934.1	rna23010, rna23005, rna23013, rna23016, rna23004, rna23006, rna23011, rna23015, rna23007, rna23009
OG0000074	ENST00000623845.1	rna15279, rna15281, rna15280
OG0000074	ENST00000313447.1	rna15271, rna15277, rna15275, rna15273, rna15278, rna15283
OG0000077	ENST00000609664.2, ENST00000400365.3, ENST00000400368.1, ENST00000400374.4	rna33197
OG0000077	ENST00000400372.1, ENST00000400375.1, ENST00000391620.1, ENST00000397911.4, ENST00000334670.9, ENST00000391621.1, ENST00000380095.2	rna33199
OG0000078	ENST00000300127.2	rna15400
OG0000078	ENST00000530162.1	rna15402
OG0000078	ENST00000313253.1	rna15403
OG0000078	ENST00000329328.3	rna15404
OG0000079	ENST00000624801.3	rna30065, rna30066, rna32587, rna30063, rna30064, rna30062, rna30061
OG0000080	ENST00000392524.6	rna7184
OG0000080	ENST00000340913.10	rna27183
OG0000080	ENST00000357495.3	rna3807
OG0000081	ENST00000257901.7	rna27067
OG0000081	ENST00000293670.3, ENST00000327741.9	rna27065
OG0000081	ENST00000423955.6	rna27064, rna27061, rna27063
OG0000082	ENST00000331351.5	rna4801
OG0000082	ENST00000261374.3	rna18691
OG0000082	ENST00000454677.2	rna18267
OG0000082	ENST00000284110.1	rna8254, rna8257, rna32310
OG0000084	ENST00000313264.5	rna15265, rna15270
OG0000084	ENST00000303059.3, ENST00000313033.3	rna15255, rna15267, rna15269, rna15266, rna15268
OG0000085	ENST00000315683.1	rna33269, rna36078, rna36077, rna36080, rna36070, rna36071, rna36081, rna32996, rna32957
OG0000086	ENST00000370456.4	rna11215
OG0000086	ENST00000370459.7	rna11220
OG0000086	ENST00000370481.8, ENST00000370473.4, ENST00000464839.5	rna11224
OG0000087	ENST00000594154.5	rna4292
OG0000087	ENST00000293471.10	rna4290
OG0000087	ENST00000270649.10	rna4293
OG0000087	ENST00000594083.5	rna4294
OG0000087	ENST00000243644.8	rna4297
OG0000087	ENST00000354957.7	rna4286
OG0000089	ENST00000334701.11	rna36261
OG0000089	ENST00000620073.4	rna12631
OG0000091	ENST00000552150.5	rna27091
OG0000092	ENST00000398776.1	rna12642
OG0000092	ENST00000533820.5	rna31987
OG0000092	ENST00000366872.9	rna1716
OG0000092	ENST00000295006.5	rna1714
OG0000092	ENST00000271971.6	rna9975
OG0000093	ENST00000337537.7	rna2486
OG0000093	ENST00000261461.6	rna23254
OG0000093	ENST00000164133.6	rna31957
OG0000093	ENST00000485511.5	rna12690
OG0000093	ENST00000422945.6	rna36263
OG0000094	ENST00000453673.3, ENST00000448155.2, ENST00000498574.1, ENST00000509129.1, ENST00000465170.1, ENST00000390265.2, ENST00000473726.1, ENST00000498435.1, ENST00000390278.3, ENST00000468879.1, ENST00000471857.2, ENST00000495489.1, ENST00000611391.1, ENST00000493819.1, ENST00000483379.1, ENST00000490686.1, ENST00000464162.1, ENST00000377032.5, ENST00000480492.1, ENST00000479981.1, ENST00000492446.1, ENST00000496168.1	gene16288
OG0000096	ENST00000297268.10	rna6054
OG0000096	ENST00000374866.7	rna7283
OG0000096	ENST00000304636.7	rna7282
OG0000096	ENST00000380518.7	rna26912
OG0000096	ENST00000225964.9	rna822
OG0000097	ENST00000234590.8	rna16159
OG0000097	ENST00000323997.10	rna8077
OG0000097	ENST00000541477.5	rna35540
OG0000099	ENST00000434551.2	rna11813
OG0000099	ENST00000275200.1	rna11812
OG0000099	ENST00000275198.1	rna11811, rna11808, rna11810
OG0000101	ENST00000255136.7	rna19788
OG0000101	ENST00000318607.9	rna9544
OG0000101	ENST00000372858.7	rna15514
OG0000103	ENST00000638159.1	rna13259
OG0000103	ENST00000507069.5	rna23527
OG0000103	ENST00000274545.9	rna13260
OG0000103	ENST00000370314.8	rna5266
OG0000103	ENST00000335625.9	rna28983
OG0000104	ENST00000254488.6	rna19561
OG0000104	ENST00000397296.6	rna27267
OG0000104	ENST00000343164.8	rna27266
OG0000104	ENST00000613060.4	rna19485
OG0000107	ENST00000229239.9	rna1589, rna16727, rna28965, rna35584, rna4547, rna3857
OG0000108	ENST00000329841.9	rna7609
OG0000108	ENST00000297785.7	rna11708, rna11709
OG0000108	ENST00000261733.6	rna9172
OG0000108	ENST00000377698.3	rna30707
OG0000108	ENST00000249750.8	rna28633
OG0000109	ENST00000510515.5	rna14335
OG0000109	ENST00000378719.6	rna12466
OG0000109	ENST00000356688.8	rna35371
OG0000109	ENST00000388975.3	rna20392
OG0000110	ENST00000304218.5	rna13957
OG0000110	ENST00000343677.3	rna13948
OG0000110	ENST00000244573.4	rna13973
OG0000111	ENST00000232564.7	rna27810
OG0000111	ENST00000303210.8	rna20224
OG0000111	ENST00000610897.4	rna34734
OG0000111	ENST00000229264.7	rna35547
OG0000112	ENST00000357366.3	rna34161, rna32724, rna34162, rna32725, rna33442, rna36074
OG0000114	ENST00000373193.7	rna19831
OG0000114	ENST00000580170.5	rna1097
OG0000114	ENST00000368207.7	rna11851
OG0000114	ENST00000345512.7	rna15717
OG0000115	ENST00000374736.7	rna30793
OG0000115	ENST00000614293.4	rna26687
OG0000115	ENST00000263094.10	rna34282
OG0000115	ENST00000370225.3	rna19286
OG0000116	ENST00000556626.5	rna2462
OG0000116	ENST00000533211.5	rna32087
OG0000116	ENST00000615901.4	rna21746
OG0000116	ENST00000392025.5	rna8965
OG0000117	ENST00000284856.3	rna35419
OG0000117	ENST00000289373.4, ENST00000419165.5, ENST00000233143.5	rna6512
OG0000118	ENST00000545221.1	rna16884, rna16885
OG0000118	ENST00000268912.5	rna16888
OG0000119	ENST00000321255.1	rna33794, rna33281, rna33282, rna33786, rna33795
OG0000120	ENST00000408891.2, ENST00000291231.1	rna16528, rna16527
OG0000120	ENST00000615105.1	rna16529, rna16530
OG0000122	ENST00000395248.5	rna4866
OG0000122	ENST00000395321.6	rna16654
OG0000123	ENST00000354650.7	rna28848
OG0000123	ENST00000374005.7	rna15778
OG0000123	ENST00000373558.2	rna19879
OG0000123	ENST00000577961.5	rna1147
OG0000124	ENST00000329654.8	rna32401, rna11422
OG0000124	ENST00000340635.10	rna12148
OG0000124	ENST00000355502.7	rna26402
OG0000124	ENST00000380702.6	rna30971
OG0000125	ENST00000252699.6	rna8894
OG0000125	ENST00000538545.6	rna2384
OG0000125	ENST00000502692.5	rna32079
OG0000125	ENST00000542672.5	rna10120
OG0000126	ENST00000560611.5	rna32365, rna24507
OG0000126	ENST00000422611.6	rna24645
OG0000126	ENST00000454036.6	rna19743
OG0000126	ENST00000264930.9	rna31690
OG0000127	ENST00000358741.3	rna35389
OG0000127	ENST00000382868.5, ENST00000538097.5	rna15483
OG0000127	ENST00000575301.5	rna8124
OG0000127	ENST00000457714.5	rna27828
OG0000128	ENST00000232375.7	rna26205
OG0000128	ENST00000640683.1	rna27911
OG0000128	ENST00000367080.7	rna4640
OG0000128	ENST00000375006.7	rna34797
OG0000129	ENST00000278550.11	rna30246
OG0000129	ENST00000422452.2	rna32763
OG0000129	ENST00000518659.5	rna13252
OG0000129	ENST00000511685.5	rna32254
OG0000130	ENST00000261173.6	rna7722
OG0000130	ENST00000352432.8	rna19562
OG0000130	ENST00000349466.6	rna32228
OG0000130	ENST00000357681.9	rna4777
OG0000131	ENST00000390436.2, ENST00000390439.2, ENST00000390427.3	gene25714, gene25718, gene25363, gene24268, gene24368, gene26071, gene24366, gene25716
OG0000132	ENST00000301732.9	rna18302, rna18303, rna18730, rna18732, rna18731
OG0000134	ENST00000390313.2, ENST00000390308.2, ENST00000390316.2	gene14047
OG0000134	ENST00000390311.2, ENST00000390305.2, ENST00000390304.2, ENST00000390315.2, ENST00000390307.2, ENST00000390303.3, ENST00000390309.2	gene20010, gene14048
OG0000135	ENST00000291295.13	rna21715, rna2125
OG0000136	ENST00000531382.5	rna15808
OG0000136	ENST00000510118.5	rna8656
OG0000136	ENST00000620340.4	rna22619
OG0000136	ENST00000379565.7	rna17836
OG0000137	ENST00000373204.5	rna15580
OG0000137	ENST00000220592.9	rna20827
OG0000137	ENST00000373210.3	rna15582
OG0000137	ENST00000373191.8	rna15579
OG0000138	ENST00000317370.12	rna8111
OG0000138	ENST00000539924.5, ENST00000075120.11	rna35498
OG0000138	ENST00000426263.7	rna21197
OG0000139	ENST00000297668.10, ENST00000377561.6	rna11589
OG0000139	ENST00000563764.2, ENST00000476707.1	rna10192
OG0000139	ENST00000431078.1	rna10787, rna5843
OG0000140	ENST00000333538.9	rna20342
OG0000140	ENST00000328957.12	rna31201
OG0000140	ENST00000252318.6	rna35611
OG0000140	ENST00000227756.4	rna35076
OG0000141	ENST00000374299.7	rna35401, rna33547, rna14153, rna23706
OG0000142	ENST00000549396.5	rna33352
OG0000142	ENST00000253925.11	rna21514
OG0000142	ENST00000334186.8	rna4130
OG0000142	ENST00000367240.6	rna4762
OG0000143	ENST00000220325.8	rna24383
OG0000143	ENST00000263277.7	rna4067
OG0000143	ENST00000322054.9	rna22360
OG0000143	ENST00000621096.4	rna31953
OG0000144	ENST00000545496.5	rna15473
OG0000144	ENST00000381130.2	rna15474
OG0000144	ENST00000381127.5	rna15475
OG0000144	ENST00000381154.5	rna15472
OG0000145	ENST00000362061.3	rna4708
OG0000145	ENST00000376265.2	rna116
OG0000145	ENST00000399634.5	rna27240
OG0000145	ENST00000288139.9	rna26007
OG0000146	ENST00000282499.9	rna10707
OG0000146	ENST00000296526.11	rna5182
OG0000146	ENST00000448073.8	rna13348
OG0000146	ENST00000622768.4	rna32752
OG0000147	ENST00000369682.4	rna32189
OG0000147	ENST00000393409.2	rna19424
OG0000147	ENST00000367033.3	rna23297
OG0000147	ENST00000321063.8	rna35183
OG0000148	ENST00000338492.8	rna670
OG0000148	ENST00000521913.6	rna24194
OG0000148	ENST00000343218.9	rna12196
OG0000148	ENST00000324989.11	rna5433
OG0000149	ENST00000315985.7	rna24199
OG0000149	ENST00000335585.9	rna5428
OG0000149	ENST00000394414.5	rna12200
OG0000149	ENST00000455566.5	rna659
OG0000150	ENST00000615367.4	rna27514
OG0000150	ENST00000256389.3	rna2360
OG0000150	ENST00000603540.1	rna2362
OG0000151	ENST00000299641.8, ENST00000603027.5	rna17449
OG0000151	ENST00000264363.6	rna9869
OG0000151	ENST00000296499.5	rna9875
OG0000151	ENST00000261797.6	rna13400
OG0000152	ENST00000425967.7	rna6498
OG0000152	ENST00000457416.6	rna571
OG0000152	ENST00000292408.8	rna13139
OG0000152	ENST00000340107.8	rna2884
OG0000154	ENST00000446702.6	rna25444
OG0000154	ENST00000528682.5	rna8586
OG0000154	ENST00000263665.6	rna25440
OG0000154	ENST00000418658.5	rna25445
OG0000155	ENST00000429992.2, ENST00000620613.1, ENST00000390268.2, ENST00000491977.1, ENST00000462693.1, ENST00000484817.1, ENST00000474213.1, ENST00000468494.1, ENST00000482769.1, ENST00000453166.2	gene16287
OG0000156	ENST00000451256.6, ENST00000319136.8, ENST00000352371.5, ENST00000349314.6	rna28185, rna28173, rna28182
OG0000157	ENST00000335552.4	rna1048
OG0000157	ENST00000306658.7	rna1050
OG0000157	ENST00000301656.3	rna1049
OG0000157	ENST00000312150.4	rna1046
OG0000158	ENST00000368144.2	rna22762
OG0000158	ENST00000368146.1	rna22765, rna22764, rna22763
OG0000159	ENST00000360093.7	rna6986
OG0000159	ENST00000375437.6	rna6989
OG0000159	ENST00000423058.6	rna7003
OG0000159	ENST00000303354.10	rna7004
OG0000159	ENST00000599343.5	rna27047
OG0000159	ENST00000409855.5	rna7008
OG0000159	ENST00000435607.3	rna14730
OG0000159	ENST00000413689.5	rna3488
OG0000159	ENST00000302328.7	rna3486
OG0000159	ENST00000449082.2	rna3487
OG0000162	ENST00000375852.2	rna25527
OG0000162	ENST00000259089.8	rna27522
OG0000162	ENST00000333070.4	rna15677
OG0000162	ENST00000519728.5	rna29393
