Orthogroup	homSap.longCDS.prots	ursArc.longCDS.prots
OG0000007	ENST00000390618.2, ENST00000570121.2, ENST00000390632.2, ENST00000390627.3, ENST00000434710.1, ENST00000390606.3, ENST00000390604.2, ENST00000390617.2, ENST00000390607.2, ENST00000390624.3, ENST00000390602.3, ENST00000425181.3, ENST00000390609.3, ENST00000632099.1, ENST00000454421.2, ENST00000603660.1, ENST00000390615.2, ENST00000562905.2, ENST00000424969.2, ENST00000390603.2, ENST00000558565.2, ENST00000390636.2, ENST00000390625.3, ENST00000433072.2, ENST00000569103.2, ENST00000354689.6, ENST00000565407.2, ENST00000390601.3, ENST00000390598.2	id586842
OG0000007	ENST00000632950.2, ENST00000390626.2, ENST00000624687.1, ENST00000390633.2, ENST00000390594.3, ENST00000630556.1, ENST00000604066.1, ENST00000390605.2, ENST00000390639.2, ENST00000631943.1, ENST00000390621.3, ENST00000390628.3, ENST00000390595.3, ENST00000622028.1, ENST00000338912.5, ENST00000390622.2, ENST00000632209.1, ENST00000390610.2	id586421
OG0000008	ENST00000366696.1	rna50995
OG0000008	ENST00000369163.3	rna53627
OG0000008	ENST00000340398.4, ENST00000366816.5	rna46274
OG0000008	ENST00000392948.3	rna54409, rna49034, rna49038, rna54410
OG0000010	ENST00000331925.6	rna46027
OG0000010	ENST00000224784.10	rna19708
OG0000010	ENST00000345517.7	rna4301
OG0000010	ENST00000290378.4	rna41988
OG0000010	ENST00000423391.2	rna14004
OG0000010	ENST00000331789.9	rna34192
OG0000011	ENST00000336596.6	rna595
OG0000011	ENST00000622150.4	rna25400
OG0000011	ENST00000166244.7	rna35087
OG0000011	ENST00000369303.8	rna28901
OG0000011	ENST00000358432.7	rna38102
OG0000011	ENST00000358173.7	rna33950
OG0000011	ENST00000400191.7	rna35080
OG0000011	ENST00000398015.7	rna11734
OG0000011	ENST00000330394.2	rna1414
OG0000011	ENST00000281821.6	rna5586
OG0000011	ENST00000389672.9	rna614
OG0000012	ENST00000306842.2	rna21330
OG0000013	ENST00000517417.2	rna24512
OG0000014	ENST00000217133.1	rna19471
OG0000014	ENST00000317702.9	rna48620
OG0000014	ENST00000315491.11	rna8645
OG0000014	ENST00000333628.3	rna28385
OG0000014	ENST00000259818.7	rna28386
OG0000014	ENST00000340384.4	rna52474, rna52413
OG0000014	ENST00000264071.6	rna43230
OG0000014	ENST00000327892.12	rna28285
OG0000015	ENST00000339282.11	rna50405
OG0000015	ENST00000622593.4, ENST00000590798.1, ENST00000343949.9, ENST00000429654.6, ENST00000304060.9, ENST00000304030.2, ENST00000439326.7, ENST00000547628.1, ENST00000344980.10, ENST00000439556.2, ENST00000334213.9, ENST00000242804.8, ENST00000293725.9, ENST00000356109.9, ENST00000301547.9, ENST00000430385.3, ENST00000595562.1, ENST00000357901.4, ENST00000341191.10, ENST00000343979.5, ENST00000361113.9	rna43550
OG0000017	ENST00000578186.2, ENST00000244537.5, ENST00000615164.2, ENST00000615353.1, ENST00000634956.1	rna54146, rna49037
OG0000017	ENST00000621520.1	rna53628
OG0000017	ENST00000614247.1	rna27997, rna27998
OG0000017	ENST00000618305.1	rna28185
OG0000017	ENST00000611927.1	rna27990
OG0000017	ENST00000358064.3	rna17907
OG0000018	ENST00000317996.1, ENST00000318021.3, ENST00000319968.4	rna23760, rna23764, rna23763, rna23762, rna23761, rna23772, rna23765, rna23766, rna23754, rna23773, rna23721, rna23722, rna23725, rna23726, rna23759
OG0000019	ENST00000316987.3	rna52172, rna52170, rna36109
OG0000019	ENST00000610445.1	rna52169
OG0000019	ENST00000321522.2	rna36111
OG0000019	ENST00000445557.1	rna36110, rna36118, rna36113
OG0000019	ENST00000379946.2, ENST00000537935.1	rna52177, rna52173, rna52174, rna52175
OG0000020	ENST00000302572.2	rna49453
OG0000020	ENST00000302581.2	rna49450
OG0000020	ENST00000357377.3	rna49449, rna54112, rna54114
OG0000020	ENST00000309403.2	rna54368, rna54113, rna54111
OG0000021	ENST00000374781.2	rna21975
OG0000021	ENST00000277216.3	rna21976
OG0000021	ENST00000341959.2	rna22144, rna22145, rna22141
OG0000021	ENST00000424348.1	rna22142, rna22143
OG0000021	ENST00000335040.1	rna21969, rna21974
OG0000022	ENST00000339986.7, ENST00000465049.6, ENST00000456806.2, ENST00000355095.8, ENST00000590202.2	rna50751, rna50747
OG0000022	ENST00000600810.1, ENST00000311015.7	rna50577, rna50748, rna50752, rna50749, rna50744, rna54429
OG0000023	ENST00000390285.4, ENST00000390297.3, ENST00000390294.2, ENST00000390301.3, ENST00000390290.3, ENST00000390299.2, ENST00000390291.2	id578932, id578916, id578935, id578940
OG0000024	ENST00000335238.4	rna53530
OG0000024	ENST00000319813.3	rna28978
OG0000024	ENST00000314644.2	rna49286
OG0000024	ENST00000328188.1, ENST00000555099.1	rna53529, rna49298, rna53929, rna49321, rna49314, rna49323, rna49325
OG0000025	ENST00000443402.6, ENST00000436911.6	id21155
OG0000026	ENST00000261383.3	rna33309
OG0000026	ENST00000420323.6	rna16336
OG0000026	ENST00000620169.4	rna2419
OG0000026	ENST00000389840.6	rna46136
OG0000026	ENST00000262442.8	rna39505
OG0000026	ENST00000389394.7	rna4194
OG0000026	ENST00000430092.5	rna26004
OG0000026	ENST00000312428.10	rna6119
OG0000026	ENST00000495027.5	rna16452
OG0000027	ENST00000317254.3	rna52185, rna52188, rna52184, rna52183
OG0000027	ENST00000317093.2	rna52181
OG0000027	ENST00000317078.1	rna52180
OG0000027	ENST00000317037.2	rna52179, rna54345, rna54346, rna52178
OG0000028	ENST00000246635.7	rna30039
OG0000028	ENST00000254043.7	rna30038
OG0000028	ENST00000246662.8	rna30036
OG0000028	ENST00000269576.5	rna30072
OG0000028	ENST00000311208.12	rna30032, rna30033
OG0000028	ENST00000301653.8	rna30034
OG0000028	ENST00000167586.6	rna30035
OG0000029	ENST00000310194.1	rna17463, rna17456, rna17461, rna17458, rna17454, rna17457, rna17464, rna17455, rna17459, rna17466, rna17465, rna17460
OG0000030	ENST00000380367.1	rna53586, rna54379, rna53584
OG0000030	ENST00000307388.1	rna53587, rna36079, rna36083, rna53585, rna36078
OG0000031	ENST00000322107.1, ENST00000305892.1	rna15707, rna15706, rna15705, rna15708, rna15709
OG0000031	ENST00000308940.8, ENST00000334920.3, ENST00000305899.4	rna15703, rna15710, rna15704
OG0000032	ENST00000307832.2	rna27978, rna52160, rna52161
OG0000032	ENST00000320002.3	rna51012, rna51023
OG0000033	ENST00000262717.8	rna11023
OG0000033	ENST00000382275.5	rna22730
OG0000033	ENST00000504376.6	rna22733
OG0000033	ENST00000231021.8	rna22736
OG0000033	ENST00000265071.2	rna22740
OG0000033	ENST00000264463.8	rna22735
OG0000033	ENST00000323011.7	rna11080
OG0000033	ENST00000372262.7	rna19256
OG0000034	ENST00000426406.2, ENST00000332831.3, ENST00000456475.1, ENST00000320901.3	rna53550, rna42023
OG0000034	ENST00000332238.4	rna42022
OG0000034	ENST00000328882.5	rna42021
OG0000035	ENST00000408906.2	rna3262
OG0000035	ENST00000408949.2	rna3265, rna3264
OG0000035	ENST00000408898.2	rna3263
OG0000036	ENST00000441343.5	rna44240
OG0000036	ENST00000295598.9	rna45780
OG0000036	ENST00000361216.7	rna49690
OG0000036	ENST00000368081.8	rna49689
OG0000036	ENST00000218548.10	rna6815
OG0000036	ENST00000262623.3	rna46542
OG0000037	ENST00000390310.2, ENST00000390312.2, ENST00000390306.2, ENST00000390314.2, ENST00000620395.2, ENST00000390287.2	id583829, id583479, id578889, id582740, id583832, id582746
OG0000038	ENST00000314706.3	rna49281
OG0000038	ENST00000446524.1	rna49279
OG0000039	ENST00000316292.13	rna23173
OG0000039	ENST00000298049.11	rna19556
OG0000040	ENST00000369851.5	rna46795
OG0000040	ENST00000351004.7	rna2031
OG0000040	ENST00000351050.7	rna46794
OG0000040	ENST00000232461.7	rna16233
OG0000040	ENST00000398291.3	rna2035
OG0000040	ENST00000262493.11	rna8956
OG0000040	ENST00000313601.10	rna16235
OG0000041	ENST00000540430.5	rna29398
OG0000041	ENST00000396076.5	rna17819
OG0000041	ENST00000541669.5	rna29397
OG0000041	ENST00000307144.5	rna20920
OG0000042	ENST00000394709.2	rna49235, rna49160
OG0000042	ENST00000375654.4	rna44597
OG0000042	ENST00000375650.4, ENST00000375651.6	rna54433, rna54432
OG0000043	ENST00000359682.2, ENST00000317965.3, ENST00000366476.1, ENST00000456743.2	rna23776, rna23770
OG0000043	ENST00000306687.1	rna23779, rna23778, rna23777, rna23771, rna23775, rna23769
OG0000044	ENST00000336023.9	rna17409
OG0000044	ENST00000301071.11	rna17408
OG0000044	ENST00000380419.7	rna40387
OG0000044	ENST00000416740.1	rna18378
OG0000044	ENST00000248437.8	rna5626
OG0000044	ENST00000541364.5	rna17407
OG0000044	ENST00000400113.7, ENST00000312988.8, ENST00000321253.6	rna48487
OG0000046	ENST00000368167.7	rna49758
OG0000046	ENST00000368168.3	rna49760
OG0000046	ENST00000368170.7	rna49762
OG0000047	ENST00000423932.4	rna49727
OG0000047	ENST00000504970.1	rna49724
OG0000047	ENST00000332217.5	rna49723
OG0000047	ENST00000334857.3	rna49721
OG0000049	ENST00000366473.3, ENST00000328570.4, ENST00000366475.1	rna23789, rna23790, rna23793, rna23792, rna23791, rna23788, rna23781, rna23782
OG0000050	ENST00000305444.2	rna43371
OG0000050	ENST00000541538.1	rna43369, rna43370, rna43368
OG0000050	ENST00000305456.2	rna43364, rna43363, rna43365, rna43367
OG0000051	ENST00000007735.3, ENST00000251646.7, ENST00000251645.2, ENST00000394001.1	rna30048, rna53878, rna53877
OG0000051	ENST00000225899.3	rna30042
OG0000051	ENST00000328119.10	rna30040
OG0000051	ENST00000393989.1	rna30041
OG0000052	ENST00000334181.4, ENST00000307658.11, ENST00000596400.1, ENST00000282282.3, ENST00000336128.11, ENST00000597658.1	rna51964
OG0000052	ENST00000396154.6, ENST00000512439.6, ENST00000282308.3, ENST00000317178.9, ENST00000594684.1, ENST00000339656.7, ENST00000312026.5, ENST00000598031.1, ENST00000425570.7, ENST00000391701.1, ENST00000594901.1, ENST00000435989.6, ENST00000376233.7, ENST00000332854.10, ENST00000254166.3	rna51867
OG0000053	ENST00000614012.4, ENST00000449934.6, ENST00000252229.6	rna28329
OG0000053	ENST00000376630.4, ENST00000376828.6, ENST00000259951.11, ENST00000376806.9, ENST00000412585.6, ENST00000383329.7	rna44520, rna44879, rna54408, rna53752, rna44518
OG0000055	ENST00000335302.5	rna31319, rna31321
OG0000055	ENST00000259357.3	rna31318, rna31316, rna31315, rna31320
OG0000056	ENST00000317121.4	rna52187, rna52186, rna54171, rna52182, rna54046
OG0000056	ENST00000316529.3	rna48309
OG0000057	ENST00000304865.3	rna31322, rna31314, rna54078, rna54077, rna31313
OG0000057	ENST00000373686.1	rna31331
OG0000057	ENST00000304820.3	rna31333, rna31332
OG0000058	ENST00000380219.1	rna52232
OG0000058	ENST00000300773.3	rna52233
OG0000058	ENST00000624187.1	rna54365, rna54366
OG0000058	ENST00000380224.1	rna52235
OG0000059	ENST00000398696.3	rna50576, rna53438, rna53884, rna53440, rna53961, rna53960, rna50746
OG0000060	ENST00000359350.4	rna36129
OG0000060	ENST00000380371.1, ENST00000380373.3	rna36130, rna36136, rna36123, rna36117, rna36124, rna36116, rna36125
OG0000061	ENST00000358120.2	rna53839, rna54457, rna53841, rna54456, rna53838, rna53840, rna53833
OG0000062	ENST00000322653.5	rna52214, rna52192, rna52193
OG0000063	ENST00000390441.2, ENST00000390431.3	id581235, id583169, id583163, id589360, id581238, id581220, id589406, id581241, id583176, id581355, id581358
OG0000065	ENST00000633222.1	rna46756
OG0000065	ENST00000382545.4	rna18206
OG0000065	ENST00000369769.3	rna46750
OG0000065	ENST00000252321.4	rna18205
OG0000065	ENST00000221444.1	rna43873
OG0000065	ENST00000280684.3	rna18208
OG0000066	ENST00000375820.8	rna7696
OG0000066	ENST00000328300.10	rna40556
OG0000066	ENST00000396578.7	rna5529
OG0000066	ENST00000396625.3	rna5530
OG0000066	ENST00000394872.6	rna40555
OG0000066	ENST00000360467.5	rna7697
OG0000067	ENST00000216181.9	rna14832
OG0000067	ENST00000360416.7	rna39439
OG0000067	ENST00000601313.5	rna50740
OG0000068	ENST00000378981.7, ENST00000378982.3, ENST00000378988.4	rna30505, rna30503
OG0000068	ENST00000400004.6	rna42228
OG0000068	ENST00000325250.1	rna42102
OG0000068	ENST00000356790.2	rna30492, rna30491
OG0000069	ENST00000504543.1, ENST00000511681.1, ENST00000515574.1, ENST00000621388.1, ENST00000610514.1, ENST00000621472.1, ENST00000622713.1, ENST00000613757.1, ENST00000613973.1, ENST00000619296.1, ENST00000421288.3, ENST00000614762.1, ENST00000616303.1, ENST00000622009.1, ENST00000615989.1, ENST00000621432.2, ENST00000506619.2, ENST00000415041.1, ENST00000507227.1, ENST00000504104.1, ENST00000526929.1, ENST00000527080.1, ENST00000529559.1, ENST00000530484.1, ENST00000333796.3, ENST00000530447.4	rna24761
OG0000071	ENST00000366480.4	rna23723, rna54060, rna23727, rna53919, rna23706
OG0000072	ENST00000305377.5	rna17048, rna17052, rna17051, rna17045, rna17049, rna17046, rna17050
OG0000073	ENST00000568934.1	rna53532, rna53531, rna28981, rna28980
OG0000074	ENST00000623845.1	rna49365, rna49367, rna49366
OG0000074	ENST00000313447.1	rna53731, rna53734, rna49363, rna49361, rna53733, rna53736, rna49364, rna49369
OG0000077	ENST00000609664.2, ENST00000400365.3, ENST00000400368.1, ENST00000400374.4	rna95, rna91
OG0000077	ENST00000400372.1, ENST00000400375.1, ENST00000391620.1, ENST00000397911.4, ENST00000334670.9, ENST00000391621.1, ENST00000380095.2	rna94
OG0000078	ENST00000300127.2	rna53156
OG0000078	ENST00000530162.1	rna53158
OG0000078	ENST00000313253.1	rna53159
OG0000078	ENST00000329328.3	rna53160
OG0000079	ENST00000624801.3	rna36166, rna36167, rna52211, rna36164, rna36165, rna36163, rna36162
OG0000080	ENST00000392524.6	rna6351
OG0000080	ENST00000314940.6	rna24357
OG0000080	ENST00000340913.10	rna17092
OG0000081	ENST00000257901.7	rna17241
OG0000081	ENST00000293670.3, ENST00000327741.9	rna53936, rna17244, rna53935
OG0000082	ENST00000331351.5	rna33422
OG0000082	ENST00000261374.3	rna33356
OG0000082	ENST00000454677.2	rna47656
OG0000082	ENST00000466596.5	rna39525
OG0000082	ENST00000284110.1	rna39521
OG0000083	ENST00000329564.6	rna52164, rna52163
OG0000083	ENST00000330728.4, ENST00000532411.2	rna52168
OG0000084	ENST00000313264.5	rna49359, rna49360
OG0000084	ENST00000303059.3, ENST00000313033.3	rna49351, rna53953
OG0000085	ENST00000315683.1	rna53503, rna53777, rna53305, rna53306, rna53312, rna53876
OG0000086	ENST00000370456.4	rna12390
OG0000086	ENST00000370459.7	rna12393
OG0000086	ENST00000370481.8, ENST00000370473.4, ENST00000464839.5	rna12396
OG0000087	ENST00000594154.5	rna50602
OG0000087	ENST00000293471.10	rna50604
OG0000087	ENST00000594083.5	rna50600
OG0000087	ENST00000243644.8	rna50599
OG0000088	ENST00000281456.10	rna24965
OG0000088	ENST00000381401.10_PAR_Y, ENST00000381401.10	rna39894
OG0000088	ENST00000317881.8	rna40670
OG0000089	ENST00000334701.11	rna32907
OG0000089	ENST00000620073.4	rna23490
OG0000091	ENST00000552150.5	rna17216
OG0000092	ENST00000398776.1	rna23497
OG0000092	ENST00000533820.5	rna45338
OG0000092	ENST00000366872.9	rna25987
OG0000092	ENST00000295006.5	rna25988
OG0000092	ENST00000271971.6	rna19864
OG0000093	ENST00000337537.7	rna49208, rna49131
OG0000093	ENST00000261461.6	rna25512
OG0000093	ENST00000164133.6	rna45386
OG0000093	ENST00000485511.5	rna23570
OG0000093	ENST00000422945.6	rna32910
OG0000094	ENST00000453673.3, ENST00000448155.2, ENST00000498574.1, ENST00000509129.1, ENST00000465170.1, ENST00000390265.2, ENST00000473726.1, ENST00000498435.1, ENST00000390278.3, ENST00000468879.1, ENST00000471857.2, ENST00000495489.1, ENST00000611391.1, ENST00000493819.1, ENST00000483379.1, ENST00000490686.1, ENST00000464162.1, ENST00000377032.5, ENST00000480492.1, ENST00000479981.1, ENST00000492446.1, ENST00000496168.1	id45717
OG0000096	ENST00000297268.10	rna2196
OG0000096	ENST00000374866.7	rna6207
OG0000096	ENST00000304636.7	rna6208
OG0000096	ENST00000380518.7	rna17482
OG0000096	ENST00000225964.9	rna30382
OG0000097	ENST00000234590.8	rna38290
OG0000097	ENST00000323997.10	rna39206
OG0000097	ENST00000541477.5	rna18128
OG0000099	ENST00000434551.2	rna20571
OG0000099	ENST00000275200.1	rna54374
OG0000099	ENST00000275198.1	rna20572, rna20575, rna20573
OG0000101	ENST00000255136.7	rna19184
OG0000101	ENST00000318607.9	rna9989
OG0000101	ENST00000372858.7	rna34458
OG0000103	ENST00000638159.1	rna27743
OG0000103	ENST00000507069.5	rna25206
OG0000103	ENST00000274545.9	rna27742
OG0000103	ENST00000370314.8	rna49862
OG0000103	ENST00000335625.9	rna26925
OG0000104	ENST00000254488.6	rna16811
OG0000104	ENST00000397296.6	rna18273
OG0000104	ENST00000343164.8	rna18278
OG0000104	ENST00000613060.4	rna16904
OG0000107	ENST00000229239.9	rna18178, rna14268, rna24580
OG0000108	ENST00000329841.9	rna27031
OG0000108	ENST00000297785.7	rna37091
OG0000108	ENST00000261733.6	rna32466
OG0000108	ENST00000377698.3	rna22085
OG0000108	ENST00000249750.8	rna36784
OG0000109	ENST00000510515.5	rna26471
OG0000109	ENST00000343984.5	rna40680
OG0000109	ENST00000378719.6	rna24242
OG0000109	ENST00000356688.8	rna5119
OG0000109	ENST00000388975.3	rna33700
OG0000110	ENST00000304218.5	rna28163
OG0000110	ENST00000331442.4	rna27991
OG0000110	ENST00000343677.3	rna28179
OG0000111	ENST00000232564.7	rna1533
OG0000111	ENST00000303210.8	rna33961
OG0000111	ENST00000610897.4	rna38454
OG0000111	ENST00000229264.7	rna18137
OG0000112	ENST00000357366.3	rna53421, rna53339, rna53422, rna53309, rna53345
OG0000114	ENST00000373193.7	rna19102
OG0000114	ENST00000580170.5	rna10440
OG0000114	ENST00000368207.7	rna20524
OG0000114	ENST00000345512.7	rna34764
OG0000115	ENST00000374736.7	rna21957
OG0000115	ENST00000614293.4	rna52865, rna52777
OG0000115	ENST00000263094.10	rna42858
OG0000115	ENST00000370225.3	rna12298
OG0000116	ENST00000556626.5	rna49244, rna49169
OG0000116	ENST00000533211.5	rna45177
OG0000116	ENST00000615901.4	rna4694
OG0000116	ENST00000392025.5	rna44345
OG0000117	ENST00000451311.6	rna52367
OG0000117	ENST00000284856.3	rna39773
OG0000117	ENST00000289373.4, ENST00000419165.5	rna45727
OG0000117	ENST00000233143.5	rna4187
OG0000118	ENST00000545221.1	rna54214, rna54213
OG0000118	ENST00000268912.5	rna35491
OG0000119	ENST00000321255.1	rna36085, rna36080, rna36081, rna54357, rna54358, rna36084, rna36093
OG0000120	ENST00000408891.2, ENST00000291231.1	rna36040, rna36041, rna36037
OG0000120	ENST00000615105.1	rna36039, rna36038
OG0000122	ENST00000395248.5	rna33526
OG0000122	ENST00000395321.6	rna35821
OG0000123	ENST00000354650.7	rna28669
OG0000123	ENST00000374005.7	rna34852
OG0000123	ENST00000373558.2	rna19033
OG0000123	ENST00000577961.5	rna10529
OG0000124	ENST00000329654.8	rna12707
OG0000124	ENST00000340635.10	rna13983
OG0000124	ENST00000355502.7	rna15850
OG0000124	ENST00000380702.6	rna43442
OG0000125	ENST00000252699.6	rna44458
OG0000125	ENST00000538545.6	rna38016
OG0000125	ENST00000502692.5	rna45197
OG0000125	ENST00000542672.5	rna19645
OG0000126	ENST00000560611.5	rna42011
OG0000126	ENST00000422611.6	rna9250
OG0000126	ENST00000454036.6	rna19246
OG0000126	ENST00000264930.9	rna22607
OG0000127	ENST00000358741.3	rna48024
OG0000127	ENST00000382868.5, ENST00000538097.5	rna39849
OG0000127	ENST00000575301.5	rna39299
OG0000127	ENST00000457714.5	rna1566
OG0000128	ENST00000232375.7	rna16114
OG0000128	ENST00000640683.1	rna40417
OG0000128	ENST00000367080.7	rna42778
OG0000128	ENST00000375006.7	rna52885
OG0000129	ENST00000278550.11	rna36432
OG0000129	ENST00000422452.2	rna38982
OG0000129	ENST00000518659.5	rna27757
OG0000129	ENST00000511685.5	rna24887
OG0000130	ENST00000261173.6	rna15169
OG0000130	ENST00000352432.8	rna16803
OG0000130	ENST00000349466.6	rna51689
OG0000130	ENST00000357681.9	rna42600
OG0000131	ENST00000390436.2, ENST00000390439.2, ENST00000390427.3	id581226, id583166
OG0000132	ENST00000301732.9	rna47722, rna47724, rna33321, rna33319, rna33320
OG0000134	ENST00000390313.2, ENST00000390308.2, ENST00000390316.2	id553426
OG0000134	ENST00000390311.2, ENST00000390305.2, ENST00000390304.2, ENST00000390315.2, ENST00000390307.2, ENST00000390303.3, ENST00000390309.2	id583385
OG0000135	ENST00000291295.13	rna4748, rna33218, rna44019
OG0000136	ENST00000531382.5	rna34891
OG0000136	ENST00000510118.5	rna21008
OG0000136	ENST00000620340.4	rna42072
OG0000136	ENST00000379565.7	rna42151
OG0000137	ENST00000373204.5	rna34561
OG0000137	ENST00000220592.9	rna52523
OG0000137	ENST00000373210.3	rna34563
OG0000137	ENST00000373191.8	rna34554
OG0000138	ENST00000317370.12	rna39275
OG0000138	ENST00000539924.5, ENST00000075120.11	rna18083
OG0000138	ENST00000426263.7	rna13223
OG0000139	ENST00000297668.10, ENST00000377561.6	rna37514
OG0000139	ENST00000563764.2, ENST00000476707.1	rna9497
OG0000139	ENST00000431078.1	rna5125
OG0000140	ENST00000333538.9	rna33760
OG0000140	ENST00000328957.12	rna32152
OG0000140	ENST00000252318.6	rna18209
OG0000140	ENST00000227756.4	rna49058
OG0000141	ENST00000374299.7	rna48014, rna54190, rna54192, rna50762
OG0000142	ENST00000549396.5	rna15238
OG0000142	ENST00000253925.11	rna45032
OG0000142	ENST00000334186.8	rna43865
OG0000142	ENST00000367240.6	rna42618
OG0000143	ENST00000220325.8	rna41836
OG0000143	ENST00000263277.7	rna43962
OG0000143	ENST00000322054.9	rna3772
OG0000143	ENST00000621096.4	rna45392
OG0000144	ENST00000545496.5	rna39868
OG0000144	ENST00000381130.2	rna39867
OG0000144	ENST00000381127.5	rna39866
OG0000144	ENST00000381154.5	rna39871
OG0000145	ENST00000362061.3	rna42693
OG0000145	ENST00000376265.2	rna30832
OG0000145	ENST00000399634.5	rna18336
OG0000145	ENST00000288139.9	rna16402
OG0000146	ENST00000282499.9	rna21791
OG0000146	ENST00000296526.11	rna14731
OG0000146	ENST00000448073.8	rna27617
OG0000146	ENST00000622768.4	rna38954
OG0000147	ENST00000369682.4	rna51625
OG0000147	ENST00000393409.2	rna16994
OG0000147	ENST00000367033.3	rna25454
OG0000147	ENST00000321063.8	rna3002
OG0000148	ENST00000338492.8	rna8527
OG0000148	ENST00000521913.6	rna37235
OG0000148	ENST00000343218.9	rna14055
OG0000148	ENST00000324989.11	rna31855
OG0000149	ENST00000315985.7	rna37241
OG0000149	ENST00000335585.9	rna31845
OG0000149	ENST00000394414.5	rna14062
OG0000149	ENST00000455566.5	rna8507
OG0000150	ENST00000615367.4	rna37134
OG0000150	ENST00000256389.3	rna37981
OG0000150	ENST00000603540.1	rna53835, rna53834
OG0000151	ENST00000299641.8, ENST00000603027.5	rna20217
OG0000151	ENST00000264363.6	rna14318
OG0000151	ENST00000296499.5	rna14329
OG0000151	ENST00000261797.6	rna27540
OG0000152	ENST00000425967.7	rna24533
OG0000152	ENST00000457416.6	rna8342
OG0000152	ENST00000292408.8	rna27912
OG0000152	ENST00000340107.8	rna48214
OG0000154	ENST00000446702.6	rna16670
OG0000154	ENST00000528682.5	rna21035
OG0000154	ENST00000263665.6	rna16666
OG0000154	ENST00000418658.5	rna16674
OG0000155	ENST00000429992.2, ENST00000620613.1, ENST00000390268.2, ENST00000491977.1, ENST00000462693.1, ENST00000484817.1, ENST00000474213.1, ENST00000468494.1, ENST00000482769.1, ENST00000453166.2	id587541, id587546
OG0000156	ENST00000451256.6, ENST00000319136.8, ENST00000352371.5, ENST00000349314.6	rna53825, rna14834, rna53826
OG0000157	ENST00000335552.4	rna30077
OG0000157	ENST00000306658.7	rna30073
OG0000157	ENST00000301656.3	rna30075
OG0000157	ENST00000312150.4	rna30078
OG0000158	ENST00000368144.2	rna49742
OG0000158	ENST00000368146.1	rna49746, rna49744, rna49743, rna49745
OG0000162	ENST00000375852.2	rna18783
OG0000162	ENST00000259089.8	rna37151
OG0000162	ENST00000333070.4	rna34691
OG0000162	ENST00000519728.5	rna34336
OG0000163	ENST00000373381.8	rna34616, rna34620
OG0000163	ENST00000520002.5	rna24784
OG0000163	ENST00000297405.9	rna9861
OG0000164	ENST00000265969.7	rna49543
OG0000164	ENST00000477616.1	rna50737
OG0000164	ENST00000469655.5	rna46771
OG0000164	ENST00000549446.5	rna15308
OG0000165	ENST00000367071.4	rna2
OG0000165	ENST00000368698.3	rna47416
OG0000165	ENST00000296370.3	rna48072
OG0000165	ENST00000368804.5	rna48868
OG0000166	ENST00000358506.6	rna3733
OG0000166	ENST00000340766.9	rna32446
OG0000166	ENST00000312989.11	rna45140
OG0000167	ENST00000361101.8	rna46132
OG0000167	ENST00000248901.10	rna41588
OG0000167	ENST00000396741.3	rna34142
OG0000167	ENST00000427476.4	rna43928
OG0000168	ENST00000395065.7	rna52001
OG0000168	ENST00000537026.5, ENST00000625106.3, ENST00000604395.5	rna45724
OG0000169	ENST00000222382.5, ENST00000222982.8, ENST00000611620.4, ENST00000336374.3, ENST00000336411.6	rna34049, rna53743, rna34048
OG0000170	ENST00000274093.7	rna37132
